video_id,publish_date,passive_voice_count,relative_frequency_ipm,vvn_strings,preceding_strings
2S1Jq58-Krs,20240407,22,10742.1875,"killed, kidnapped, murdered, shot, appointed, kidnapped, kidnapped, murdered, kidnapped, kidnapped, released, done, Overjoyed, released, kidnapped, released, happened, murdered, locked, released, shut, saved","kerit, yardan, them, misses, that, that, that, K, Kam, that, and, what, must, wife, that, that, that, that, they, they, door, could"
HkhyP7-LCw8,20231124,18,6147.540983606557,"freed, freed, released, released, released, released, released, broken, released, released, taken, concerned, released, summoned, involved, convicted, agreed, held","have, who, pictures, names, uh, that, they, that, that, citizens, some, author, hostages, they, who, Terror, will, who"
Cd4DHesX1sU,20231126,3,2676.1819803746653,"displaced, exposed, delivered","many, we, trucks"
wzrFCDo-QXY,20240702,0,0.0,,
D-W-DL3AJcI,20240622,1,1652.892561983471,destroyed,infrastructure
Y52gkXzJgtk,20240803,4,5354.75234270415,"told, changed, killed, killed","Nationals, have, Wing, Palestinians"
vuTUeoxRxKA,20231115,7,4572.175048987589,"discovered, treated, invaded, exploded, used, taken, affected","devices, who, Israeli, scan, hospital, hostages, who"
8zB4HN2h01I,20240731,8,2060.793405461103,"killed, supposed, killed, founded, arrested, exiled, seen, killed","Hamas, It, bodyguard, it, and, Hano, Ania, grandchildren"
kdfIJyfhbwI,20240220,0,0.0,,
PdVMtjFu5Uc,20240123,6,2429.1497975708503,"leveled, told, subjected, killed, focused, subjected","accusation, I, hanun, people, military, Gaza"
ltul06q2pd0,20231101,17,9209.100758396533,"targeted, killed, struck, allowed, injured, allowed, released, struck, created, struck, killed, injured, killed, injured, allowed, sent, approved","Commander, people, what, have, civilians, gazin, that, it, that, it, people, hundreds, least, were, people, where, were"
lvhBl-GjKwA,20240108,0,0.0,,
SB5_vNQgTKs,20231012,11,4504.504504504504,"forced, killed, crushed, treated, displayed, taken, killed, touched, committed, killed, lost","people, people, Isis, Isis, that, that, them, know, that, who, that"
P7vXJY21Fow,20240419,1,1015.2284263959391,issued,that
DVTYyvQvLTM,20240104,3,3128.2586027111574,"killed, caused, evacuated","official, it, that"
hQ4fJ1Ey4rU,20240118,7,2875.924404272802,"loaded, lost, preserved, set, armed, set, floated","that, 1,500, have, know, group, things, that"
BfMO5snTG2I,20240221,2,1759.014951627089,"killed, displaced","journalists, Gaza"
VrgBQlq9w_o,20240416,5,3103.6623215394166,"damaged, designed, seen, put, lifted","ter, that, weekend, have, they"
SigTwH0T5KY,20231117,2,883.0022075055188,"cancelled, sponsored","bookings, they"
KTJ38RPZlGs,20240115,2,5305.039787798408,"killed, marked","people, day"
bG1PL37OAiM,20231130,9,5813.953488372093,"killed, posted, killed, extended, brought, released, treated, abducted, taken","people, attack, suspects, militants, truth, dead, she, she, she"
onUWmPAb6Fw,20240205,1,524.3838489774515,accused,Iran
HtIa2H9MU-4,20240406,2,7168.458781362007,"seen, built","had, which"
BqFOwduKHSA,20240527,0,0.0,,
X7SqqvhmyaM,20231222,9,6401.137980085348,"described, displaced, damaged, damaged, killed, injured, wiped, flattened, called","7th, population, by, neighborhoods, people, course, Hamas, Gaza, past"
IUTqD0xWG5A,20231026,4,2196.595277320154,"written, announced, exposed, taken","mean, government, that, that"
V2IX9tnzhyI,20240306,1,964.3201542912248,dropped,meals
87jeUSQ8jHg,20240610,2,2906.9767441860463,"expected, displaced","resignation, that"
sjbwH5MKwtI,20231022,2,1241.4649286157667,"taken, asked","who, that"
Cjh8TtaifyY,20240213,3,1749.271137026239,"compressed, made, destroyed","Palestinians, nothing, strip"
YQCy4mFyH54,20231020,0,0.0,,
_Uzi8jSAkE4,20240817,4,2450.9803921568628,"informed, targeted, released, killed","they, leaders, which, people"
kQhahxoGMl0,20240105,5,2077.274615704196,"caught, voiced, heard, brought, destroyed","it, that, um, which, Israel"
QKweW3yiG-U,20240818,3,3198.2942430703624,"killed, fired, made","people, Rockets, is"
6CVqQiPDJzM,20240109,1,370.0962250185048,displaced,population
J208Jszbnp0,20240611,1,1371.7421124828531,concerned,US
XxCOzdpwKX8,20231103,9,2713.2951462164606,"strengthened, evacuated, forced, killed, hit, damaged, impacted, damaged, killed","it's, who, people, she, you've, infrastructure, they, people, who"
8HPzQxnqNz0,20231016,1,965.2509652509652,aimed,that
XDAVCAoFuto,20240429,1,809.0614886731393,cancelled,Rafa
cAW0jx0WDOA,20240819,5,5219.206680584551,"put, presented, closed, accused, asked","that, that, that, Netanyahu, people"
0rdutewdOB8,20240107,1,1219.5121951219512,killed,Palestinians
MNl2XPJI1kc,20240205,6,6329.113924050633,"killed, surprised, released, laid, set, set","Palestinians, we, footage, that, uh, framework"
NC0G3GwQgTM,20240321,1,1024.5901639344263,declared,famine
-SfSJIFcFsU,20231106,1,722.0216606498194,heated,has
yXWX1P6Lc98,20240429,4,2230.897936419409,"bombed, displaced, killed, closed","house, Martyrs, displaced, portion"
fHDZbWWX-as,20240725,4,3303.055326176713,"arrested, conducted, postponed, agreed","several, that, trip, framework"
MUPktKGykPY,20240730,3,3293.084522502744,"heard, targeted, killed","uh, that, civilian"
YfCVbWKaqHQ,20240205,1,775.1937984496124,mixed,far
GQVgo-d8I_Q,20240818,1,1256.2814070351758,killed,family
vhIw-_FHGYg,20231028,4,6968.641114982578,"solved, cancelled, thrown, detained","that, groups, fireworks, people"
UFKgle1hpyA,20240417,0,0.0,,
j5t7IF4yxQM,20240626,26,1777.291680907786,"taken, involved, announced, killed, followed, formed, ramped, evacuated, evacuated, sent, relieved, conceived, founded, killed, killed, defeated, affected, killed, formed, ignored, used, killed, killed, killed, killed, killed","so, um, this, Fighters, this, it, Ric, that, that, I, people, they, they, journalists, members, we, who, who, DNA, because, which, friend, friends, civilians, operatives, Israeli"
yIlEUF5Iqwc,20240207,5,3373.819163292848,"rocked, handed, rushed, handed, raised","agency, has, decision, list, issue"
fcST76QCRp8,20240509,3,1139.384732244588,"martyred, accused, tied","people, and, she"
EMCrICXrN3A,20231020,1,1090.5125408942204,impacted,who
yb5HI5aZNvo,20231109,7,7478.6324786324785,"seen, driven, born, seen, heard, released, presented","he, he, he, also, message, hostages, deal"
NM_kOaI3Nys,20240823,1,1317.5230566534915,made,any
-nH9LYNAnKQ,20240307,0,0.0,,
W6MfuI04tnM,20240108,1,1061.5711252653928,adjudicated,that
tC6alA9utqg,20240319,0,0.0,,
vUA6XrdH0Ig,20240504,2,1506.0240963855422,"described, quoted","now, that"
ygao73eup5k,20240715,3,2325.5813953488373,"welcomed, offered, destroyed","who, that, has"
4VcIhEjQARk,20240403,0,0.0,,
SiGusU0uu3c,20231212,4,5298.013245033113,"sent, displaced, displaced, asked","they, that, some, they"
MOUFa6Kr7VM,20231011,19,5504.055619930475,"launched, abducted, taken, posted, dragged, closed, discovered, released, attacked, abducted, got, pulled, found, taken, created, programed, slaughtered, programed, bound","Rockets, may, to, that, that, that, bodies, he, it, uh, he, also, relatives, that, state, that, movement, slaughtered, they"
RVMGvEvNr_A,20240506,5,3952.569169960474,"told, promised, targeted, overtaken, made","East, we, Rafa, building, that"
q7q4ifX3g4s,20240813,1,1175.0881316098707,said,on
8fk7a35sMP8,20240229,5,5133.470225872689,"killed, injured, overwhelmed, overwhelmed, run","people, others, and, trucks, people"
sllsUZSQ9Po,20240204,3,2538.0710659898477,"killed, shipped, released","Palestinians, fuel, prisoners"
w1ev26-7uAw,20240524,5,3037.667071688943,"announced, recalled, established, called, reached","that, countries, and, that, conclusion"
rMiO3DoaudU,20231023,0,0.0,,
5wX7rtI-U2g,20240903,3,2597.4025974025976,"killed, bulldozed, left","people, camp, Palestinians"
HcRbfI-BzEo,20231108,1,487.56704046806436,tainted,protests
9v_lhmFGzug,20240809,6,1694.915254237288,"killed, killed, revived, released, killed, killed","he, leader, deal, that, people, people"
OTsjNUHECyo,20231122,11,11099.899091826439,"confirmed, injured, killed, buried, killed, killed, forced, killed, killed, killed, told","workers, reporters, who, al-mamari, who, who, journalists, who, Gaza, they, they"
ZpS3rq4htyA,20240402,5,3092.1459492888066,"killed, killed, killed, killed, said","commanders, said, Lebanon, that, that"
75P2jJsxK5E,20240707,14,11226.944667201284,"killed, killed, estimated, killed, rushed, treated, made, displaced, killed, injured, displaced, revived, put, dropped","people, people, people, civilians, wounded, children, progress, who, people, who, who, efforts, US, demand"
0qcrdGLFj_4,20240703,1,2777.777777777778,killed,Palestinians
RuAKfNWogg4,20231108,10,4514.672686230248,"killed, limited, called, described, built, built, used, designed, collapsed, described","soldiers, Warfare, have, militants, it, been, they, bombs, that, mentioning"
N59I35ug18o,20231126,13,9206.798866855523,"delayed, held, released, killed, murdered, agreed, delayed, selected, released, handed, brought, agreed, talked","release, who, captives, brother, who, that, were, uh, hostages, they, then, that, this"
lFqohsr2JUE,20240816,10,7898.894154818325,"destroyed, destroyed, raised, put, put, destroyed, asked, told, sprayed, lost","Farms, that, Earth, Roads, Earthworks, Gaza, we, we, herbicides, what"
EzuhWgbH-MM,20231213,6,2967.359050445104,"bombed, displaced, asked, killed, displaced, killed","home, population, I, people, people, they"
e28HUQemxro,20231228,3,2371.541501976285,"killed, displaced, evacuated","people, population, here"
JiARfFE_AiM,20240131,4,4395.604395604396,"forced, forced, displaced, forced","they, people, population, amilies"
K30VZ5-Iepo,20240120,2,2341.9203747072597,"concerned, reported","that, that"
wh3QTVj8ta4,20240407,1,3584.2293906810037,forced,I
dTRVE4lV_sc,20240823,0,0.0,,
Ruq6YlmvXHU,20231106,3,1347.7088948787064,"involved, provided, surprised","Iran, that, they"
u7UF4sooLEk,20240215,1,1273.8853503184712,ordered,troops
WGmUq0UP5GQ,20240225,0,0.0,,
1CpJCOk17w4,20240719,1,1140.2508551881415,supposed,they
NsNDr6Su65I,20240821,0,0.0,,
cBSUICMFDiE,20231031,8,3664.6816307833255,"intercepted, displaced, killed, killed, martyred, killed, hit, stried","that, they, people, have, he, children, Gaza, who"
QW-cWj7WatE,20240710,9,6574.141709276844,"killed, fired, come, killed, harmed, harmed, hid, asked, seen","dozens, Rockets, might, people, civilians, civilians, uh, Gaza, which"
YT3CV8T6_vY,20240810,3,4329.004329004329,"reported, taken, trapped","people, steps, that"
mex-jSmyh48,20231225,6,2376.237623762376,"killed, produced, told, stolen, released, used","people, weapons, I, dignity, that, that"
RaI0NwxzDWw,20240102,10,4990.0199600798405,"carried, killed, killed, engaged, launched, launched, cancelled, supposed, founded, killed","and, people, identifyed, who, that, that, meeting, that, organization, he"
3RRSZ-l4uGs,20240129,5,4149.377593360996,"killed, killed, carried, conducted, coordinated","troops, troops, it, attack, attack"
t1zqjgGKxzU,20240129,1,768.6395080707148,killed,forces
L5wEjLNUGlc,20231112,19,5621.301775147929,"displaced, displaced, shot, shot, suspended, exposed, bombarded, comped, attacked, attacked, killed, injured, inured, shot, destructed, killed, killed, killed, killed","that, displaced, hospital, hospital, operations, sha, it, building, Building, building, people, many, team, team, building, people, who, who, people"
6H5qelKTDew,20240311,5,3028.4675953967294,"given, granted, told, dented, predicted","Aid, permissions, tons, politicians, this"
NslmiNi8g_8,20240221,5,3041.3625304136253,"banned, closed, held, shown, done","them, street, hostages, Israel, we"
JgbVZq1BhI8,20240216,3,2379.064234734338,"confirmed, told, displaced","that, and, them"
fwV2P9PuWng,20240304,6,1456.3106796116506,"taken, moved, reported, destroyed, taken, asked","they, people, know, what, 250, Egyptians"
wyqHuhmsA28,20240331,0,0.0,,
dDFk9IBdRj0,20240501,1,767.4597083653108,closed,that
KpiaMIhCmtQ,20231026,0,0.0,,
Es8fY901Tbk,20240521,1,1062.6992561105208,issued,which
8PeQPFfDhi4,20240321,3,4815.409309791332,"taken, kicked, put","decision, that, that"
K7b9ZJUCmNc,20231026,0,0.0,,
6PMv_Z6a_yU,20240122,1,975.609756097561,leaked,that
W17RwKG33hQ,20231111,5,3021.1480362537764,"committed, committed, United, divided, supported","crimes, might, also, Europe, Europe"
Q7v5BPloG10,20240212,3,6637.168141592921,"involved, involved, founded","workers, staffers, unra"
9eUjeGQXpTQ,20240119,0,0.0,,
1WsLMJbbh2o,20240510,3,2958.5798816568044,"decided, met, started","have, place, it"
aFAMlKG62hs,20231024,0,0.0,,
aFAMlKG62hs,20231024,0,0.0,,
Uar3I_LUSyM,20231011,13,3688.9897843359818,"involved, involved, inspired, confirmed, kidnapped, done, done, released, offered, released, made, financed, forced","they, they, that, that, which, deals, swaps, prisoners, deal, that, it, Hamas, they"
1BG-qGf7_-c,20240522,10,2403.846153846154,"sought, done, faced, done, allowed, attacked, done, used, done, protected","have, could, Israel, could&nbsp;&nbsp;, they, who, must, could&nbsp;, little, movement"
Bq-egJlwHlo,20240422,2,4132.231404958678,"found, found","that, said"
ZT8d9-98PIs,20240803,31,4891.132849479331,"turned, approved, leveled, brought, displaced, denied, surrounded, prosecuted, set, prosecuted, raided, destroyed, detained, abducted, shut, stripped, left, killed, killed, brought, brought, attacked, stationed, found, taken, killed, killed, given, destroyed, destroyed, killed","I, what, that, had, they, I, we, that, conditions, war, it, unit, he, he, hospital, he, he, stuff, Lad, who, he, lives, literally, them, would, that, that, has, systems, Systems, that"
Ux5Zk8CzGec,20231011,6,5763.688760806916,"kidnapped, raided, burned, kidnapped, done, born","to, kibuts, houses, who, nothing, I"
qcg07VlxBT4,20240509,4,3703.703703703704,"engaged, displaced, struck, fired","Forces, Border, Matula, Rockets"
C87Aknwdfug,20231106,6,3908.7947882736157,"killed, killed, pulled, born, forced, born","children, civilians, she, who, but, imod"
eZdCXC1ubOw,20240804,7,5533.596837944664,"injured, killed, killed, shot, confirmed, done, shot","who, they, people, Bank, but, it, that"
RJ72FmcnLRA,20231101,11,3174.6031746031745,"forced, allowed, injured, allowed, put, told, killed, transferred, let, released, released","Strip, holders, civilians, gazin, who, Nationals, soldiers, uh, people, hostages, hostages"
wM3WA2Eafl4,20231125,21,8430.349257326376,"freed, released, released, jailed, released, set, included, killed, released, returned, jailed, jailed, shot, felt, reunited, paraded, wounded, released, shot, killed, involved","inmates, hostages, Palestinians, that, prisons, CHS, they, people, Palestinians, she's, daughter, she, she, family, prisoners, prisoners, people, who, Bank, two, was"
_q70phXW2es,20240307,3,2096.4360587002097,"turned, looted, suppressed","organizations, uh, rule"
MgeO5qIGmqU,20231123,9,3918.15411406182,"done, supposed, involved, agreed, bombed, taken, released, captured, captured","that, he, who, so, it, they, prisoners, that, who"
O4TAt3-qMXY,20240226,2,1235.3304508956146,"entitled, entitled","they, we"
AcfMmP4-Xkg,20240602,6,2914.0359397765906,"laid, put, proposed, worked, crossed, accomplished","it, it, what, has, lines, steps"
pghyvBNaG_4,20231229,12,9188.361408882083,"destroyed, killed, killed, displaced, destroyed, classified, killed, bombed, displaced, killed, killed, wounded","house, children, people, 80%, houses, which, children, house, population, who, people, more"
9tMD7wTRcZ4,20231031,3,2629.2725679228747,"kidnapped, found, assured","11, have, you"
_2SbkxtSl8g,20240105,5,3419.972640218878,"killed, considered, laid, killed, caused","who, aruri, members, official, it"
B8Nznaz4SY8,20240327,6,3151.2605042016808,"surprised, killed, denied, denied, announced, announced","we, people, have, hospital, that, that"
xJSMk7Ey17U,20231123,17,5426.109160548995,"reported, killed, exerted, killed, delayed, achieved, delayed, taken, opposed, struck, discussed, arrested, convicted, delayed, delayed, made, delayed","have, civilians, pressure, who, group, improvement, deal, they, who, deal, um, uh, have, has, the, mention, already"
Ipb25CX0fEY,20231222,0,0.0,,
LYVQrakhMqI,20231020,2,1386.9625520110958,"bombed, destroyed","out, buildings"
BK-W8EjLCOk,20231106,0,0.0,,
rbgU5S1rH-Q,20231124,11,2932.551319648094,"killed, expected, told, notified, told, approved, displaced, discharged, taken, left, told","Israelis, that, we, are, we, names, that, and, were, was, people"
oLiqtXezpuM,20240815,0,0.0,,
g37yu-lfdxA,20240815,6,2076.8431983385253,"released, accused, suggested, assassinated, involved, Left","was, that's, that, Hamas, you, whoever"
uzQBNEz_k50,20240826,0,0.0,,
KOFcIP-lc6M,20231013,8,5079.3650793650795,"killed, disbanded, killed, killed, set, engaged, heated, asked","Fighters, militias, soldiers, Fighters, that, hasah, has, uh"
ngzBDjPIj18,20240729,3,2599.653379549394,"driven, coopted, made","population, have, aid"
knm9ILovWlk,20240510,5,3335.5570380253503,"displaced, displaced, raised, asked, displaced","who've, Gaza, has, have, that"
psr9UMCbfb4,20240319,3,1735.106998264893,"allowed, based, targeted","trickle, who, were"
Q4hgtJy2zNI,20240127,4,2038.7359836901123,"killed, involved, involved, reported","people, staffers, employees, employees"
L3W9fvtTHKs,20240713,2,2869.4404591104735,"taken, deemed","dead, war"
HsAgj-mZLYg,20231014,4,1482.0303816228231,"given, cut, killed, announced","they, Israel, commander, has"
c7VoO1mKZIw,20231015,7,4569.190600522194,"taken, represented, abducted, killed, taken, killed, struck","she, nationalities, people, holding, hostages, Abdullah, Israel"
n-UkvlrIkug,20240103,1,2415.4589371980674,reported,shelling
d2m7WC5nem4,20240316,0,0.0,,
kNgUiYzUlWc,20231106,15,4349.086691794723,"killed, killed, allowed, deemed, struck, cut, struck, made, carried, shuttered, freed, killed, injured, inflicted, weakened","people, says, that, which, also, communication, mentioned, drop, operation, it, who, Palestinians, people, that, Hamas"
EHqq66hs68Y,20231105,5,3320.0531208499337,"conducted, cut, centered, killed, based","that, services, bombardments, children, strike"
4iFfFJcCc1Y,20240123,4,3603.6036036036035,"killed, engaged, mined, attacked","people, that, it, building"
CMUIiVuf0q4,20231111,7,2220.812182741117,"suspended, struck, allowed, embedded, kidnapped, called, relocated","Hospital, hospital, that, far, that, people, refugees"
qLW2CzsF_b8,20231107,6,2027.712064886786,"kidnapped, suggested, killed, told, given, described","who, now, khed, what, that, that"
EZRYRDPIuiY,20231106,6,3911.342894393742,"killed, conducted, bombed, told, completed, killed","people, that, hospital, civilians, operation, those"
fw3FYfcR6GE,20240107,0,0.0,,
dzcSrGxrTNc,20231015,7,3448.2758620689656,"killed, displaced, evacuated, told, given, Unleashed, killed","civilians, I, area, north, that, attack, Israel"
hYC4XmIAJ5M,20240126,4,4926.108374384236,"martyred, hit, killed, committed","people, I, to, that"
i99qdu2QH0w,20231011,7,3216.911764705882,"killed, told, hit, shut, caught, weakened, stored","people, person, facilities, has, Israel, had, um"
UW7fo9FPdys,20240517,3,2892.9604628736743,"designed, accused, disrupted","and, have, operations"
w8K0unl_SYY,20240111,4,5291.005291005291,"hit, buried, killed, committed","they, Martyrs, them, that"
U8LQIxpXv8M,20231105,3,2076.1245674740485,"killed, damaged, supposed","people, road, is"
62FAnfkm6vU,20231019,6,3949.967083607637,"killed, caused, bombed, displaced, spoken, spared","people, say, in, uh, have, Crossing"
zCnUBmIVTh8,20231206,2,1194.0298507462687,"told, indicated","people, that"
2A5yuft_ep4,20231211,8,2952.029520295203,"reported, killed, blocked, produced, called, displaced, displaced, displaced","battles, people, one, that, they, them, they, Palestinians"
Zfse3uZvHjM,20231112,3,1307.18954248366,"born, allowed, confirmed","she, Cross, nothing"
gYiEEu4-f0s,20231124,7,1691.638472692122,"displaced, filmed, destroyed, Riven, mentioned, built, killed","I, vehicles, that, weeks, they, this, workers"
Q5paF8cALsc,20231205,5,2534.2118601115053,"born, taken, displaced, asked, bombed","he, footage, we, uh, have"
qLwNWATuVVw,20231123,8,2522.068095838588,"postponed, arrested, charged, arrested, eliminated, released, told, mounted","exchange, hospital, that, that, commanders, hostages, were, criticism"
DJPNkvLvnl0,20240218,2,2721.0884353741494,"killed, arrested","were, were"
uLdv113Mn9w,20231204,11,2873.5632183908046,"reported, told, cut, instructed, released, killed, averted, averted, told, told, eliminated","bombing, they, ourselves, we, uh, civilians, could, could, they, Gaza, Hamas"
TPDSbBydLW4,20231023,7,4046.2427745664736,"displaced, killed, destroyed, displaced, allowed, killed, called","people, people, houses, population, fuel, Soldier, have"
87m6LOCi_Cw,20231028,5,2385.496183206107,"knocked, consulted, damaged, targeted, cut","Gaza, they, ambulances, that, services"
F-qKjLxYYSw,20231220,8,4484.304932735426,"killed, killed, displaced, killed, lost, held, delayed, expected","civilians, grandkids, gazans, brother, communication, protests, vote, it"
sVmsNN_RN7w,20231221,11,8320.72617246596,"used, killed, damaged, delayed, delayed, reported, accused, supposed, released, used, used","tunnels, have, infrastructure, vote, fighting, progress, has, civilians, bodies, says, it"
q7BrwJ8LREc,20231207,18,5136.986301369862,"told, defined, surprised, handled, held, held, scared, scared, terrified, perceived, deemed, killed, killed, taken, released, held, taken, taken","people, has, Israel, the, who, they, they, they, they, has, that, people, belongings, IAI, that, and, he, that"
opUDordkmZk,20240207,4,2475.2475247524753,"displaced, halted, agreed, struck","Gaza, Gaza, basically, deal"
iHbEhdnz9qM,20231206,5,2639.9155227032734,"told, driven, engaged, pushed, told","gazans, population, yesterday, who, because"
_IRYYHoQS9g,20240215,6,8888.888888888889,"seized, killed, killed, evacuated, pushed, echoed","who, patient, have, has, they, this"
HEFnxGufZhU,20240822,4,4825.090470446321,"killed, blown, built, broken","people, house, had, still"
xO3OF0C5yjQ,20240719,0,0.0,,
LEDlu-3Ujek,20231025,6,4784.688995215311,"allowed, destroyed, allowed, allowed, intensified, subjected","Medicine, it, has, Aid, strikes, people"
H2EycTjH97I,20240323,7,2657.5550493545934,"blocked, vetoed, bombed, killed, attempted, justified, claimed","it, it, mosque, Palestinians, that, feel, potential"
fcaIVECkzo4,20231120,7,4242.424242424243,"killed, seen, reported, reported, displaced, released, reduced","people, flares, has, also, Move, footage, has"
1SDUpFTw7ms,20240310,0,0.0,,
uZNW781wFXM,20240424,6,3006.012024048096,"arrested, supposed, arrested, signed, stalled, passed","who, deadline, that, that, that, that"
m5VzJ9-idQI,20240902,1,1169.5906432748538,vaccinated,kids
ELHgcce_-f8,20240724,2,2614.37908496732,"detected, done","irus, what"
YWM1O-7Xj-o,20231113,4,1475.4703061600885,"killed, updated, killed, killed","would, releases, who, who"
Kbl3MtCVMD0,20231116,0,0.0,,
eq3B3bvdYl4,20231030,8,3063.960168517809,"destroyed, told, limited, killed, injured, killed, risen, allowed","houses, officials, had, have, children, soldiers, actually, trucks"
hW7iR5iBfrQ,20231110,8,2536.461636017755,"wounded, mared, targeted, started, caused, killed, murdered, quoted","we, she, Gaza, that, that, those, who, he"
IlqFJmKgkQ0,20240105,7,2341.9203747072597,"worked, limited, done, withdrawn, carried, concerned, encountered","we, actions, what, it, that, um, that"
uVbs-3av77E,20231114,6,2410.6066693451185,"devastated, committed, killed, defined, banned, created","we, crime, civilians, might, they, Israel"
Qjvi1JD_OsE,20231012,4,3303.055326176713,"scheduled, abducted, abducted, scheduled","who, who, who, these"
vc6olTfIb7o,20240317,0,0.0,,
eAmAomEt9qA,20240108,1,736.3770250368188,recorded,that
vXflBsxd6as,20240325,0,0.0,,
wZy9nSnDeME,20240414,0,0.0,,
mHnGNImxolI,20231127,1,1479.2899408284022,attacked,which
keANY7X6oKI,20240517,11,21653.543307086613,"presumed, seen, killed, taken, murdered, transferred, completed, recovered, presumed, identified, taken","who, truck, three, bodies, they, bodies, procedure, remains, she, that, they"
0ty8qaFBK-k,20231030,20,9099.181073703367,"confirmed, found, located, taken, relieved, dashed, abducted, evacuated, evacuated, taken, worried, found, kidnapped, found, kidnapped, murdered, murdered, taken, taken, allowed","who, has, um, sample, hostages, now, people, remained, beri, might, how, Berry, family, have, family, uncle, uncle, they, they, Cross"
9uLG_9kDAQs,20231015,5,5720.823798627002,"made, made, shot, killed, killed","um, that, that, residents, commanders"
1jZDRjR7zck,20231103,6,5263.157894736842,"viewed, published, taken, prohibited, prohibited, committed","that, it, poll, that, they, incidents"
QSolxH97vhE,20231112,0,0.0,,
QHw-qHongT0,20240426,7,10115.606936416185,"harassed, prohibited, repeated, deemed, located, broken, broken","and, Camp, there, protest, it, law, has"
eZziwjKVn1E,20240208,2,2195.3896816684965,"carried, taken","sites, that"
oBXYkljqmKk,20240424,3,2643.171806167401,"postponed, flagged, made","guillotine, course, decisions"
Iuqh5sCASyE,20240113,1,1503.7593984962407,born,convention
wuKAvpcUPDQ,20231121,8,1525.8439824527943,"abducted, forced, liberated, carried, talked, built, kidnapped, committed","daughters, 26, mosul, penalty, it, law, children, crimes"
OKjW2Ahd1fo,20240906,1,1474.9262536873157,expected,talks
hh1ehe3GjTw,20231011,9,2499.305748403221,"hoped, cut, broken, represented, preceded, chased, beaten, stated, established","it, Strip, it, groups, that, life, children, has, contact"
PdUFGWWh6Uw,20240209,0,0.0,,
Uxmbq3ouoE8,20231119,1,1010.10101010101,done,dock
LAJNbrGeiYI,20240728,0,0.0,,
I8ZQHGcPYh8,20231206,3,2084.7810979847113,"released, held, exposed","children, they, they"
ofY1__7U4EE,20231025,5,2506.265664160401,"received, shocked, refused, misinterpreted, involved","gutes, he, Visa, that, personally"
Ug1S32X1BZQ,20240528,11,4659.042778483694,"killed, killed, displaced, reduced, displaced, hit, killed, carried, used, used, crossed","people, people, members, here, there, camp, civilians, strike, Munitions, Jets, line"
WUH4pgLAkuQ,20240812,4,5763.688760806916,"freed, scheduled, made, heard","100, they, that, warnings"
kAZ5kg4c-l0,20240526,2,5813.953488372093,"launched, launched","rocket, projectiles"
fkSdFgX7pXw,20240731,15,2945.2189279403106,"assassinated, killed, targeted, connected, pictured, born, found, crossed, assassinated, killed, targeted, established, accused, done, killed","Hanah, bodyguard, he, it, hania, he, Hamas, line, hania, hania, strike, it, Shakur, was, leader"
IGlBIACbkb8,20240228,2,2159.8272138228945,"described, told","this, they"
