<video_id>3PntaOSdyto</video_id>	JJ	<video_id>3PntaOSdyto</video_id>
their	PP$	their
special	JJ	special
operations	NNS	operation
forces	NNS	force
come	VVP	come
in	IN	in
and	CC	and
they	PP	they
actually	RB	actually
have	VHP	have
a	DT	a
successful	JJ	successful
mission,	NP	mission,
of	IN	of
course.	NP	course.
We	PP	we
don't	VVD	don't
know	VV	know
yet	RB	yet
whether	IN	whether
or	CC	or
not	RB	not
the	DT	the
mission	NN	mission
has	VHZ	have
been	VBN	be
successful.	JJ	successful.
We	PP	we
have	VHP	have
no	DT	no
idea,	NN	idea,
you	PP	you
know,	VVP	know,
what	WP	what
the	DT	the
actual	JJ	actual
targets	NNS	target
were.	NN	were.
But	CC	but
it	PP	it
seems	VVZ	seem
as	RB	as
if	IN	if
this	DT	this
is	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
mission	NN	mission
where	WRB	where
special	JJ	special
operations	NNS	operation
forces	NNS	force
would	MD	would
go	VV	go
in	RB	in
and	CC	and
have	VHP	have
very	RB	very
final	JJ	final
find	VVP	find
its	PP$	its
targets,	JJ	targets,
finite	JJ	finite
targets	NNS	target
that	WDT	that
would	MD	would
go	VV	go
in,	NP	in,
and	CC	and
they	PP	they
would	MD	would
be	VB	be
able	JJ	able
to	TO	to
take	VV	take
actions	NNS	action
on	IN	on
them	PP	them
and	CC	and
meet	VV	meet
limited	JJ	limited
objectives	NNS	objective
in	IN	in
that	DT	that
way.	NP	way.
Colonel,	NP	Colonel,
I'm	NP	I'm
just	RB	just
being	VBG	be
told	VVN	tell
in	IN	in
my	PP$	my
ear	NN	ear
that	IN/that	that
the	DT	the
IDF	NP	IDF
says	VVZ	say
that	IN/that	that
they	PP	they
were,	NNS	were,
in	IN	in
fact,	NP	fact,
searching	VVG	search
for	IN	for
hostages	NNS	hostage
as	IN	as
part	NN	part
of	IN	of
this	DT	this
raid.	NN	raid.
We	PP	we
do	VVP	do
not	RB	not
know	VV	know
if	IN	if
that	WDT	that
was	VBD	be
successful.	NP	successful.
Again,	NP	Again,
what	WP	what
does	VVZ	do
that	RB	that
tell	VV	tell
you	PP	you
as	IN	as
a	DT	a
former	JJ	former
intelligence	NN	intelligence
officer?	NN	officer?
So	IN	so
the	DT	the
likelihood	NN	likelihood
is	VBZ	be
very	RB	very
high	JJ	high
that	IN/that	that
we	PP	we
might	MD	might
be	VB	be
disappointed	VVN	disappoint
with	IN	with
the	DT	the
outcome	NN	outcome
of	IN	of
this,	NP	this,
Dana,	NP	Dana,
because	IN	because
of	IN	of
the	DT	the
way	NN	way
in	IN	in
which	WDT	which
Hamas	NP	Hamas
operates.	NP	operates.
But	CC	but
we	PP	we
could	MD	could
see	VV	see
hopefully	RB	hopefully
some	DT	some
success.	NN	success.
But	CC	but
I	PP	I
don't	VVD	don't
want	VV	want
to	TO	to
give	VV	give
anybody	NN	anybody
any	DT	any
false	JJ	false
hope	NN	hope
at	IN	at
this	DT	this
point	NN	point
in	IN	in
time.	NP	time.
It's	NP	It's
very	RB	very
early	RB	early
in	IN	in
this,	VVG	this,
the	DT	the
IDF.	NP	IDF.
If	IN	if
things	NNS	thing
are	VBP	be
successful	JJ	successful
at	IN	at
some	DT	some
point,	NP	point,
the	DT	the
IDF	NP	IDF
is	VBZ	be
clearly	RB	clearly
going	VVG	go
to	TO	to
announce	VV	announce
that	IN/that	that
they	PP	they
have	VHP	have
rescued	VVN	rescue
hostages.	JJ	hostages.
And	CC	and
of	IN	of
course,	NP	course,
that	WDT	that
would	MD	would
be	VB	be
a	DT	a
big	JJ	big
political	JJ	political
as	RB	as
well	RB	well
as	IN	as
military	JJ	military
victory	NN	victory
for	IN	for
the	DT	the
Israelis.	NP	Israelis.
And	CC	and
it	PP	it
would	MD	would
also	RB	also
clear	VV	clear
the	DT	the
way	NN	way
for	IN	for
further	JJR	further
incursions	NNS	incursion
from	IN	from
an	DT	an
operational	JJ	operational
standpoint	NN	standpoint
on	IN	on
the	DT	the
military	JJ	military
side,	NP	side,
further	JJR	further
incursions	NNS	incursion
of	IN	of
a	DT	a
more	RBR	more
conventional	JJ	conventional
nature	NN	nature
if	IN	if
they	PP	they
choose	VVP	choose
to	TO	to
do	VV	do
them	PP	them
into	IN	into
Gaza	NP	Gaza
so	IN	so
that,	NP	that,
you	PP	you
know,	NP	know,
we're	NN	we're
kind	NN	kind
of	IN	of
in	IN	in
this	DT	this
environment	NN	environment
now.	NN	now.
So	RB	so
if	IN	if
this	DT	this
was	VBD	be
a	DT	a
hostage	NN	hostage
rescue	NN	rescue
mission	NN	mission
or	CC	or
trying	VVG	try
to	TO	to
find	VV	find
out	RP	out
where	WRB	where
the	DT	the
hostages	NNS	hostage
are	VBP	be
that	DT	that
would	MD	would
be	VB	be
a	DT	a
classic	JJ	classic
special	JJ	special
operations	NNS	operation
mission	NN	mission
and	CC	and
it	PP	it
would	MD	would
be	VB	be
something	NN	something
that	WDT	that
would	MD	would
have	VH	have
a	DT	a
high	JJ	high
payoff	NN	payoff
for	IN	for
the	DT	the
Israeli	JJ	Israeli
political	JJ	political
and	CC	and
military	JJ	military
leadership.	JJ	leadership.
More	RBR	more
on	IN	on
that	DT	that
breaking	VVG	break
news	NN	news
into	IN	into
CNN.	NP	CNN.
The	DT	the
Israeli	JJ	Israeli
Defense	NN	defense
Forces	NNS	force
say	VVP	say
they	PP	they
have	VHP	have
carried	VVN	carry
out	RP	out
some	DT	some
raids	NNS	raid
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip.	NP	Strip.
They	PP	they
say	VVP	say
that	IN/that	that
they	PP	they
are	VBP	be
searching	VVG	search
for	IN	for
hostages.	NN	hostages.
I	PP	I
want	VVP	want
to	TO	to
bring	VV	bring
in	IN	in
Matthew	NP	Matthew
Chance,	NP	Chance,
who	WP	who
is	VBZ	be
across	IN	across
this	DT	this
story	NN	story
following	VVG	follow
the	DT	the
developments	NNS	development
reporting	VVG	report
today	NN	today
from	IN	from
Tel	NP	Tel
Aviv.	NP	Aviv.
Matthew,	NP	Matthew,
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
Well,	NP	Well,
I	NP	I
mean,	NP	mean,
look,	NP	look,
I	NP	I
mean,	NP	mean,
we're	NN	we're
all	DT	all
bracing,	NP	bracing,
of	IN	of
course,	NP	course,
for	IN	for
the	DT	the
I'm	NP	I'm
coming	VVG	come
back	RB	back
in	IN	in
my	PP$	my
ear	NN	ear
here.	NP	here.
We're	NP	We're
all	RB	all
bracing	VVG	brace
for	IN	for
the	DT	the
possibility	NN	possibility
of	IN	of
a	DT	a
large	JJ	large
scale	NN	scale
Israeli	JJ	Israeli
invasion	NN	invasion
by	IN	by
land	NN	land
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip.	NP	Strip.
But,	NP	But,
of	IN	of
course,	NP	course,
we	PP	we
have	VHP	have
to	TO	to
remember	VV	remember
that	IN/that	that
complicating	VVG	complicate
that	DT	that
military	JJ	military
operation	NN	operation
is	VBZ	be
the	DT	the
fact	NN	fact
that	IN/that	that
there	EX	there
are	VBP	be
between	IN	between
100	CD	@card@
and	CC	and
150	CD	@card@
Israeli	JJ	Israeli
hostages	NNS	hostage
that	WDT	that
have	VHP	have
been	VBN	be
hidden	VVN	hide
by	IN	by
Hamas	JJ	Hamas
militants	NNS	militant
after	IN	after
they	PP	they
were	VBD	be
seized	VVN	seize
inside	IN	inside
Israel,	NP	Israel,
all	DT	all
across	IN	across
that	DT	that
territory.	NN	territory.
And	CC	and
I	PP	I
think	VVP	think
what	WP	what
we're	NN	we're
seeing	VVG	see
now,	NP	now,
according	VVG	accord
to	TO	to
the	DT	the
IDF,	NP	IDF,
small,	NP	small,
limited	JJ	limited
incursions	NNS	incursion
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
with	IN	with
the	DT	the
express	JJ	express
purpose	NN	purpose
of,	VVD	of,
you	PP	you
know,	VVZ	know,
first	JJ	first
of	IN	of
all,	NP	all,
trying	VVG	try
to	TO	to
neutralize	VV	neutralize
terrorist	JJ	terrorist
locations	NNS	location
is	VBZ	be
the	DT	the
first	JJ	first
thing	NN	thing
to	TO	to
say,	NP	say,
but	CC	but
also	RB	also
to	TO	to
try	VV	try
and	CC	and
locate	VV	locate
the	DT	the
whereabouts	NN	whereabouts
of	IN	of
some	DT	some
of	IN	of
those	DT	those
hostages	NNS	hostage
In	IN	in
fact,	VVG	fact,
the	DT	the
newly	RB	newly
appointed	VVN	appoint
hostage	NN	hostage
affairs	NNS	affair
coordinator	NN	coordinator
here	RB	here
in	IN	in
Israel	NP	Israel
gave	VVD	give
me	PP	me
a	DT	a
statement	NN	statement
earlier	RBR	earlier
saying	VVG	say
that	IN/that	that
they	PP	they
were	VBD	be
doing	VVG	do
everything	NN	everything
they	PP	they
could	MD	could
on	IN	on
every	DT	every
level	NN	level
to	TO	to
try	VV	try
and,	JJ	and,
search	NN	search
every	DT	every
area	NN	area
of	IN	of
ground	NN	ground
to	TO	to
try	VV	try
and	CC	and
find	VV	find
where	WRB	where
these	DT	these
people	NNS	people
are,	NN	are,
where	WRB	where
people	NNS	people
are	VBP	be
located.	JJ	located.
And	CC	and
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
a	DT	a
part	NN	part
of	IN	of
it.	NN	it.
But	CC	but
to	TO	to
be	VB	be
clear,	VVG	clear,
it	PP	it
is	VBZ	be
not	RB	not
we	PP	we
don't	VVD	don't
think	VV	think
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
large	JJ	large
scale	NN	scale
land	NN	land
invasion	NN	invasion
that	IN/that	that
that	DT	that
everybody's	NNS	everybody's
braced	VVN	brace
for	IN	for
But	CC	but
again,	NNS	again,
to	TO	to
reiterate,	NP	reiterate,
when	WRB	when
that	DT	that
happens,	NP	happens,
the	DT	the
presence	NN	presence
of	IN	of
those	DT	those
captives	NNS	captive
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
something	NN	something
that	IN/that	that
the	DT	the
military	JJ	military
planners	NNS	planner
are	VBP	be
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
take	VV	take
into	IN	into
account	NN	account
already.	NP	already.
Hamas	NP	Hamas
militants	NNS	militant
say	VVP	say
that	IN/that	that
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
ferocious	JJ	ferocious
air	NN	air
strikes	NNS	strike
that	WDT	that
have	VHP	have
been	VBN	be
pounding	VVG	pound
areas	NNS	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
for	IN	for
the	DT	the
past	JJ	past
several	JJ	several
days,	NNS	days,
at	IN	at
least	JJS	least
13	CD	@card@
of	IN	of
the	DT	the
hostages	NNS	hostage
they	PP	they
took	VVD	take
have	VH	have
been	VBN	be
killed.	NP	killed.
That's	NP	That's
not	RB	not
been	VBN	be
corroborated	VVN	corroborate
by	IN	by
the	DT	the
Israelis	NPS	Israelis
or	CC	or
by	IN	by
the	DT	the
United	NP	United
States,	NP	States,
but	CC	but
it	PP	it
does	VVZ	do
underline	VV	underline
what	WP	what
a	DT	a
precarious	JJ	precarious
situation	NN	situation
the	DT	the
military	JJ	military
planners	NNS	planner
are	VBP	be
and	CC	and
we	PP	we
all	RB	all
are	VBP	be
currently	RB	currently
involved	VVN	involve
in,	NP	in,
Becky.	NP	Becky.
Yeah,	NP	Yeah,
and	CC	and
diplomatic	JJ	diplomatic
sources	NNS	source
had	VHD	have
told	VVN	tell
me	PP	me
earlier	RBR	earlier
in	IN	in
the	DT	the
week,	NP	week,
can	MD	can
confirm	VV	confirm
now	RB	now
by	IN	by
the	DT	the
prime	JJ	prime
minister	NN	minister
of	IN	of
Qatar	NP	Qatar
speaking	VVG	speak
alongside	IN	alongside
the	DT	the
US	NP	US
secretary	NN	secretary
of	IN	of
state	NN	state
today,	NNS	today,
saying	VVG	say
that	IN/that	that
there	EX	there
are	VBP	be
efforts	NNS	effort
that	IN/that	that
they	PP	they
are	VBP	be
mediating	VVG	mediate
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
to	TO	to
try	VV	try
and	CC	and
effort	NN	effort
the	DT	the
release	NN	release
of	IN	of
those	DT	those
hostages	NNS	hostage
earlier	RBR	earlier
on	IN	on
in	IN	in
the	DT	the
week.	NN	week.
We	PP	we
were	VBD	be
told	VVN	tell
that	IN/that	that
the	DT	the
efforts	NNS	effort
were	VBD	be
around	RB	around
an	DT	an
exchange	NN	exchange
of	IN	of
hostages,	NP	hostages,
women	NNS	woman
and	CC	and
children,	JJ	children,
Israeli	JJ	Israeli
women	NNS	woman
and	CC	and
children	NNS	child
in	IN	in
Gaza	NP	Gaza
for	IN	for
women	NNS	woman
and	CC	and
youth	NN	youth
in	IN	in
prisons.	NP	prisons.
In	IN	in
Israel.	NP	Israel.
So	IN	so
we	PP	we
know	VVP	know
that	IN/that	that
that	DT	that
is	VBZ	be
ongoing.	JJ	ongoing.
We	PP	we
also	RB	also
know	VVP	know
that	IN/that	that
the	DT	the
Secretary	NP	Secretary
of	IN	of
State,	NP	State,
Antony	NP	Antony
Blinken,	NP	Blinken,
who's	NN	who's
been	VBN	be
in	IN	in
Jordan	NP	Jordan
and	CC	and
is	VBZ	be
now	RB	now
in	IN	in
the	DT	the
Gulf,	NP	Gulf,
doing	VVG	do
the	DT	the
rounds,	NN	rounds,
trying	VVG	try
to	TO	to
ensure	VV	ensure
that	IN/that	that
there	EX	there
is	VBZ	be
some	DT	some
sort	NN	sort
of	IN	of
humanitarian	JJ	humanitarian
corridor	NN	corridor
set	VVN	set
up	RP	up
for	IN	for
and	CC	and
some	DT	some
sort	NN	sort
of	IN	of
safe	JJ	safe
zones	NNS	zone
set	VVN	set
up	RP	up
for	IN	for
these	DT	these
gardens.	NP	gardens.
Gazans,	NP	Gazans,
we	PP	we
just	RB	just
spoke	VVD	speak
to	TO	to
the	DT	the
Jordanian	JJ	Jordanian
foreign	JJ	foreign
minister	NN	minister
who	WP	who
said,	VVZ	said,
the	DT	the
Gazans	NNS	Gazan
need	VVP	need
to	TO	to
stay	VV	stay
within	IN	within
the	DT	the
country	NN	country
as	RB	as
far	RB	far
as	IN	as
Jordan	NP	Jordan
is	VBZ	be
concerned,	VVG	concerned,
within	IN	within
the	DT	the
enclave,	NP	enclave,
as	RB	as
far	RB	far
as	IN	as
Jordan	NP	Jordan
is	VBZ	be
concerned.	JJ	concerned.
They	PP	they
don't	VVD	don't
want	VV	want
to	TO	to
see	VV	see
the	DT	the
spillage	NN	spillage
of	IN	of
Gazans	NNS	Gazan
outside	JJ	outside
of	IN	of
the	DT	the
enclave.	NP	enclave.
But	CC	but
clearly,	NP	clearly,
as	IN	as
they	PP	they
are	VBP	be
told	VVN	tell
by	IN	by
the	DT	the
IDF	NP	IDF
to	TO	to
move	VV	move
from	IN	from
northern	JJ	northern
Gaza,	NP	Gaza,
one	CD	one
assumes,	NNS	assumes,
because	IN	because
there	EX	there
is	VBZ	be
this	DT	this
imminent	JJ	imminent
air	NN	air
assault	NN	assault
by	IN	by
ground	NN	ground
and	CC	and
air	NN	air
forthcoming,	VVZ	forthcoming,
the	DT	the
IDF	NP	IDF
trying	VVG	try
to	TO	to
ensure	VV	ensure
that	IN/that	that
Gazans	NNS	Gazan
are	VBP	be
evacuated	VVN	evacuate
out	RP	out
of	IN	of
the	DT	the
way.	NP	way.
Hamas,	NP	Hamas,
of	IN	of
course,	NP	course,
telling	VVG	tell
Gazans	NNS	Gazan
to	TO	to
stay	VV	stay
in	IN	in
place.	NP	place.
There	EX	there
is	VBZ	be
an	DT	an
awful	JJ	awful
lot	NN	lot
going	VVG	go
on.	NP	on.
The	DT	the
secretary	NN	secretary
of	IN	of
state	NN	state
not	RB	not
only	RB	only
looking	VVG	look
at	IN	at
the	DT	the
humanitarian	JJ	humanitarian
corridors	NNS	corridor
and	CC	and
the	DT	the
hostage	NN	hostage
issue,	NN	issue,
also	RB	also
speaking	VVG	speak
to	TO	to
the	DT	the
Israelis	NPS	Israelis
and	CC	and
the	DT	the
region	NN	region
about	IN	about
how	WRB	how
to	TO	to
de-escalate	VV	de-escalate
what	WP	what
is	VBZ	be
going	VVG	go
on,	NP	on,
both	CC	both
in	IN	in
the	DT	the
short	JJ	short
term,	NN	term,
in	IN	in
the	DT	the
hours	NNS	hour
to	TO	to
come	VV	come
and	CC	and
trying	VVG	try
to	TO	to
ensure	VV	ensure
that	IN/that	that
this	DT	this
conflict,	NP	conflict,
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
here	RB	here
now	RB	now
in	IN	in
Israel	NP	Israel
and	CC	and
in	IN	in
Gaza,	NP	Gaza,
that	WDT	that
does	VVZ	do
not	RB	not
spill	VV	spill
outside	JJ	outside
of	IN	of
these	DT	these
borders.	JJ	borders.
</doc>	NN	</doc>
