<	SYM	<
spoken	VVN	speak
to	TO	to
the	DT	the
families	NNS	family
of	IN	of
the	DT	the
hostages	NNS	hostage
.	SENT	.
We	PP	we
had	VHD	have
the	DT	the
granddaughter	NN	granddaughter
of	IN	of
one	CD	one
hostage	NN	hostage
on	IN	on
about	RB	about
20	CD	@card@
minutes	NNS	minute
ago	RB	ago
and	CC	and
she	PP	she
said	VVD	say
she	PP	she
'	POS	'
s	NN	S
had	VHD	have
no	DT	no
communication	NN	communication
whatsoever	RB	whatsoever
from	IN	from
the	DT	the
prime	JJ	prime
minister	NN	minister
'	POS	'
s	NN	S
office	NN	office
.	SENT	.
So	RB	so
how	WRB	how
is	VBZ	be
the	DT	the
prime	JJ	prime
minister	NN	minister
,	,	,
insofar	RB	insofar
as	IN	as
we	PP	we
know	VVP	know
,	,	,
reaching	VVG	reach
out	RP	out
Yes	RB	yes
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
Gal	NP	Gal
Hirsch	NP	Hirsch
.	SENT	.
He	PP	he
is	VBZ	be
the	DT	the
special	JJ	special
coordinator	NN	coordinator
for	IN	for
hostages	NNS	hostage
for	IN	for
the	DT	the
prime	JJ	prime
minister	NN	minister
.	SENT	.
He	PP	he
didn	NP	didn
'	POS	'
t	NN	t
say	VVP	say
exactly	RB	exactly
how	WRB	how
,	,	,
but	CC	but
he	PP	he
said	VVD	say
he	PP	he
delivered	VVD	deliver
a	DT	a
message	NN	message
to	TO	to
the	DT	the
families	NNS	family
of	IN	of
these	DT	these
hostages	NNS	hostage
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NN	S
also	RB	also
clear	JJ	clear
is	VBZ	be
that	IN/that	that
,	,	,
you	PP	you
know	VVP	know
,	,	,
they	PP	they
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
yet	RB	yet
exactly	RB	exactly
which	WDT	which
families	NNS	family
of	IN	of
hostages	NNS	hostage
are	VBP	be
going	VVG	go
to	TO	to
see	VV	see
their	PP$	their
loved	VVN	love
ones	NNS	one
released	VVN	release
.	SENT	.
He	PP	he
would	MD	would
not	RB	not
get	VV	get
into	IN	into
that	DT	that
.	SENT	.
But	CC	but
I	PP	I
also	RB	also
think	VVP	think
it	PP	it
was	VBD	be
interesting	JJ	interesting
that	IN/that	that
when	WRB	when
he	PP	he
was	VBD	be
talking	VVG	talk
about	IN	about
the	DT	the
50	CD	@card@
individuals	NNS	individual
who	WP	who
will	MD	will
get	VV	get
out	RP	out
,	,	,
he	PP	he
said	VVD	say
children	NNS	child
and	CC	and
their	PP$	their
mothers	NNS	mother
.	SENT	.
We	PP	we
have	VHP	have
been	VBN	be
reporting	VVG	report
that	IN/that	that
it	PP	it
would	MD	would
be	VB	be
children	NNS	child
and	CC	and
women	NNS	woman
.	SENT	.
But	CC	but
I	PP	I
think	VVP	think
it	PP	it
was	VBD	be
really	RB	really
interesting	JJ	interesting
that	IN/that	that
he	PP	he
was	VBD	be
specifying	VVG	specify
that	IN/that	that
it	PP	it
would	MD	would
be	VB	be
children	NNS	child
and	CC	and
their	PP$	their
mothers	NNS	mother
.	SENT	.
We	PP	we
know	VVP	know
,	,	,
of	IN	of
course	NN	course
,	,	,
of	IN	of
multiple	JJ	multiple
cases	NNS	case
of	IN	of
children	NNS	child
who	WP	who
are	VBP	be
being	VBG	be
held	VVN	hold
hostage	NN	hostage
in	IN	in
Gaza	NP	Gaza
and	CC	and
who	WP	who
were	VBD	be
taken	VVN	take
hostage	NN	hostage
with	IN	with
their	PP$	their
mothers	NNS	mother
as	RB	as
well	RB	well
.	SENT	.
And	CC	and
so	RB	so
that	WDT	that
may	MD	may
give	VV	give
us	PP	us
some	DT	some
indication	NN	indication
of	IN	of
the	DT	the
families	NNS	family
that	WDT	that
are	VBP	be
most	RBS	most
likely	JJ	likely
to	TO	to
get	VV	get
out	RP	out
in	IN	in
this	DT	this
first	JJ	first
round	NN	round
.	SENT	.
Of	IN	of
of	IN	of
hostage	NN	hostage
releases	NNS	release
over	IN	over
these	DT	these
four	CD	four
days	NNS	day
for	IN	for
those	DT	those
50	CD	@card@
different	JJ	different
individuals	NNS	individual
.	SENT	.
That	DT	that
is	VBZ	be
perhaps	RB	perhaps
an	DT	an
indication	NN	indication
there	RB	there
.	SENT	.
All	DT	all
right	NN	right
.	SENT	.
Jeremy	NP	Jeremy
Diamond	NP	Diamond
right	NN	right
on	IN	on
the	DT	the
border	NN	border
between	IN	between
Israel	NP	Israel
and	CC	and
Gaza	NP	Gaza
,	,	,
where	WRB	where
artillery	NN	artillery
fire	NN	fire
has	VHZ	have
continued	VVN	continue
even	RB	even
after	IN	after
the	DT	the
deal	NN	deal
has	VHZ	have
been	VBN	be
reached	VVN	reach
.	SENT	.
Jeremy	NP	Jeremy
,	,	,
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
reporting	NN	reporting
.	SENT	.
With	IN	with
me	PP	me
now	RB	now
is	VBZ	be
Rami	NP	Rami
Igarashi	NP	Igarashi
,	,	,
former	JJ	former
chief	NN	chief
of	IN	of
the	DT	the
Hostages	NNS	hostage
in	IN	in
MIA	NP	MIA
Unit	NP	Unit
of	IN	of
the	DT	the
Mossad	NN	Mossad
and	CC	and
retired	VVD	retire
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Army	NP	Army
Major	NP	Major
General	NP	General
James	NP	James
Spider	NN	spider
Marks	NP	Marks
,	,	,
a	DT	a
CNN	NP	CNN
military	JJ	military
analyst	NN	analyst
.	SENT	.
Rami	NP	Rami
,	,	,
let	VVD	let
me	PP	me
start	VVP	start
with	IN	with
you	PP	you
.	SENT	.
You	PP	you
'	POS	'
ve	RB	ve
been	VBN	be
skeptical	JJ	skeptical
of	IN	of
the	DT	the
possibility	NN	possibility
of	IN	of
this	DT	this
deal	NN	deal
as	IN	as
it	PP	it
was	VBD	be
being	VBG	be
negotiated	VVN	negotiate
now	RB	now
that	IN/that	that
they	PP	they
have	VHP	have
reached	VVN	reach
a	DT	a
deal	NN	deal
.	SENT	.
What	WP	what
are	VBP	be
your	PP$	your
opinions	NNS	opinion
on	IN	on
it	PP	it
?	SENT	?
This	DT	this
deal	NN	deal
is	VBZ	be
has	VHZ	have
been	VBN	be
that	DT	that
has	VHZ	have
been	VBN	be
negotiated	VVN	negotiate
on	IN	on
the	DT	the
basis	NN	basis
that	IN/that	that
the	DT	the
Hamas	NN	Hamas
wants	VVZ	want
a	DT	a
cease	VVP	cease
fire	NN	fire
.	SENT	.
Hamas	NP	Hamas
wants	VVZ	want
to	TO	to
be	VB	be
to	TO	to
be	VB	be
saved	VVN	save
from	IN	from
the	DT	the
Israeli	JJ	Israeli
military	NN	military
.	SENT	.
On	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
the	DT	the
Israeli	JJ	Israeli
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
determined	VVN	determine
to	TO	to
eradicate	VV	eradicate
the	DT	the
Hamas	NN	Hamas
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
something	NN	something
that	IN/that	that
we	PP	we
want	VVP	want
to	TO	to
do	VV	do
is	VBZ	be
something	NN	something
that	IN/that	that
we	PP	we
have	VHP	have
to	TO	to
do	VV	do
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
way	NN	way
that	IN/that	that
Israel	NP	Israel
can	MD	can
continue	VV	continue
living	VVG	live
in	IN	in
any	DT	any
form	NN	form
with	IN	with
Hamas	NNS	Hamas
over	IN	over
the	DT	the
border	NN	border
.	SENT	.
Now	RB	now
,	,	,
this	DT	this
deal	NN	deal
was	VBD	be
reached	VVN	reach
because	IN	because
of	IN	of
the	DT	the
Israeli	JJ	Israeli
public	JJ	public
opinion	NN	opinion
and	CC	and
the	DT	the
the	DT	the
belief	NN	belief
that	IN/that	that
the	DT	the
moral	JJ	moral
duty	NN	duty
that	IN/that	that
the	DT	the
government	NN	government
has	VHZ	have
is	VBZ	be
such	JJ	such
that	IN/that	that
it	PP	it
is	VBZ	be
it	PP	it
overrides	VVZ	override
the	DT	the
main	JJ	main
objective	NN	objective
of	IN	of
this	DT	this
war	NN	war
.	SENT	.
And	CC	and
the	DT	the
main	JJ	main
objective	NN	objective
of	IN	of
this	DT	this
war	NN	war
is	VBZ	be
to	TO	to
eradicate	VV	eradicate
the	DT	the
Hamas	NN	Hamas
It	PP	it
is	VBZ	be
a	DT	a
very	RB	very
,	,	,
very	RB	very
bad	JJ	bad
deal	NN	deal
for	IN	for
Israel	NP	Israel
in	IN	in
many	JJ	many
,	,	,
many	JJ	many
ways	NNS	way
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
militarily	RB	militarily
,	,	,
it	PP	it
is	VBZ	be
not	RB	not
an	DT	an
easy	JJ	easy
deal	NN	deal
.	SENT	.
How	WRB	how
are	VBP	be
they	PP	they
going	VVG	go
to	TO	to
restart	VV	restart
the	DT	the
war	NN	war
in	IN	in
four	CD	four
or	CC	or
five	CD	five
days	NNS	day
?	SENT	?
Secondly	RB	secondly
,	,	,
we	PP	we
know	VVP	know
that	IN/that	that
the	DT	the
Hamas	NN	Hamas
is	VBZ	be
going	VVG	go
to	TO	to
play	VV	play
all	DT	all
kinds	NNS	kind
of	IN	of
tricks	NNS	trick
on	IN	on
the	DT	the
way	NN	way
,	,	,
trying	VVG	try
to	TO	to
to	TO	to
release	VV	release
this	DT	this
prison	NN	prison
,	,	,
less	CC	less
kidnap	VV	kidnap
personnel	NNS	personnel
that	IN/that	that
it	PP	it
has	VHZ	have
.	SENT	.
And	CC	and
and	CC	and
on	IN	on
the	DT	the
second	JJ	second
hand	NN	hand
,	,	,
it	PP	it
is	VBZ	be
not	RB	not
an	DT	an
easy	JJ	easy
deal	NN	deal
on	IN	on
the	DT	the
Israeli	JJ	Israeli
internal	JJ	internal
front	NN	front
.	SENT	.
Remember	VV	remember
,	,	,
there	EX	there
are	VBP	be
families	NNS	family
that	IN/that	that
their	PP$	their
loved	VVN	love
ones	NNS	one
are	VBP	be
not	RB	not
going	VVG	go
to	TO	to
be	VB	be
released	VVN	release
and	CC	and
there	EX	there
are	VBP	be
families	NNS	family
that	WDT	that
have	VHP	have
soldiers	NNS	soldier
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
they	PP	they
know	VVP	know
of	IN	of
fighting	VVG	fight
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
four	CD	four
days	NNS	day
time	NN	time
or	CC	or
in	IN	in
five	CD	five
days	NNS	day
time	NN	time
.	SENT	.
Is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
lot	NN	lot
more	RBR	more
difficult	JJ	difficult
than	IN	than
it	PP	it
is	VBZ	be
right	RB	right
now	RB	now
.	SENT	.
General	NP	General
Marks	NP	Marks
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
talked	VVD	talk
about	IN	about
this	DT	this
.	SENT	.
What	WP	what
is	VBZ	be
the	DT	the
military	JJ	military
impact	NN	impact
of	IN	of
a	DT	a
multiday	NN	multiday
pause	VVP	pause
The	DT	the
primary	JJ	primary
impact	NN	impact
is	VBZ	be
that	IN/that	that
the	DT	the
IDF	NP	IDF
loses	VVZ	lose
targetable	JJ	targetable
intelligence	NN	intelligence
.	SENT	.
It	PP	it
starts	VVZ	start
to	TO	to
atrophy	VV	atrophy
the	DT	the
intelligence	NN	intelligence
that	IN/that	that
they	PP	they
'	POS	'
ve	NN	ve
gathered	VVD	gather
over	IN	over
the	DT	the
course	NN	course
of	IN	of
days	NNS	day
in	IN	in
Gaza	NP	Gaza
begins	VVZ	begin
to	TO	to
crumble	VV	crumble
around	IN	around
them	PP	them
because	IN	because
over	IN	over
this	DT	this
pause	NN	pause
,	,	,
Hamas	NP	Hamas
will	MD	will
resupply	RB	resupply
reposition	VV	reposition
,	,	,
do	VV	do
everything	NN	everything
in	IN	in
their	PP$	their
power	NN	power
to	TO	to
increase	VV	increase
their	PP$	their
security	NN	security
.	SENT	.
And	CC	and
let	VVP	let
there	EX	there
be	VB	be
no	DT	no
doubt	NN	doubt
this	DT	this
is	VBZ	be
not	RB	not
being	VBG	be
done	VVN	do
by	IN	by
Hamas	NNS	Hamas
for	IN	for
any	DT	any
humanitarian	JJ	humanitarian
reasons	NNS	reason
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
transaction	NN	transaction
to	TO	to
them	PP	them
.	SENT	.
And	CC	and
I	PP	I
think	VVP	think
we	PP	we
'	''	'
re	NN	re
at	IN	at
the	DT	the
point	NN	point
where	WRB	where
the	DT	the
military	NN	military
has	VHZ	have
got	VVN	get
a	DT	a
very	JJ	very
,	,	,
very	RB	very
tough	JJ	tough
decision	NN	decision
to	TO	to
make	VV	make
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Excuse	VV	excuse
me	PP	me
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
in	IN	in
Gaza	NP	Gaza
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
exposed	VVD	expose
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VVD	get
Hamas	NNS	Hamas
all	RB	all
around	RB	around
.	SENT	.
You	PP	you
still	RB	still
active	JJ	active
in	IN	in
the	DT	the
tunnel	NN	tunnel
network	NN	network
system	NN	system
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
been	VBN	be
completely	RB	completely
taken	VVN	take
over	RP	over
by	IN	by
the	DT	the
Israelis	NPS	Israelis
.	SENT	.
By	IN	by
any	DT	any
means	NNS	mean
.	SENT	.
And	CC	and
so	RB	so
these	DT	these
Israeli	JJ	Israeli
soldiers	NNS	soldier
are	VBP	be
targets	NNS	target
.	SENT	.
That	IN/that	that
'	POS	'
s	NNS	s
the	DT	the
challenge	NN	challenge
.	SENT	.
And	CC	and
then	RB	then
at	IN	at
the	DT	the
end	NN	end
of	IN	of
a	DT	a
certain	JJ	certain
amount	NN	amount
of	IN	of
time	NN	time
,	,	,
as	RB	as
has	VHZ	have
been	VBN	be
described	VVN	describe
that	IN/that	that
four	CD	four
days	NNS	day
could	MD	could
turn	VV	turn
into	IN	into
five	CD	five
or	CC	or
six	CD	six
days	NNS	day
.	SENT	.
If	IN	if
they	PP	they
continue	VVP	continue
to	TO	to
to	TO	to
move	VV	move
hostages	NNS	hostage
back	RB	back
across	IN	across
into	IN	into
Israel	NP	Israel
,	,	,
that	WDT	that
becomes	VVZ	become
a	DT	a
very	JJ	very
,	,	,
very	RB	very
tough	JJ	tough
military	JJ	military
task	NN	task
.	SENT	.
The	DT	the
Israelis	NPS	Israelis
at	IN	at
that	DT	that
point	NN	point
are	VBP	be
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
transition	NN	transition
into	IN	into
a	DT	a
defensive	JJ	defensive
posture	NN	posture
,	,	,
pause	NN	pause
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
not	RB	not
a	DT	a
military	JJ	military
term	NN	term
.	SENT	.
You	PP	you
attack	VVP	attack
or	CC	or
you	PP	you
defend	VVP	defend
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
start	VV	start
to	TO	to
defend	VV	defend
.	SENT	.
That	DT	that
changes	NNS	change
the	DT	the
mission	NN	mission
set	VVD	set
entirely	RB	entirely
.	SENT	.
This	DT	this
becomes	VVZ	become
a	DT	a
very	JJ	very
,	,	,
very	RB	very
difficult	JJ	difficult
test	NN	test
for	IN	for
military	JJ	military
commanders	NNS	commander
to	TO	to
execute	VV	execute
.	SENT	.
Romney	NP	Romney
,	,	,
is	VBZ	be
there	RB	there
anything	NN	anything
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
or	CC	or
Israeli	JJ	Israeli
government	NN	government
can	MD	can
do	VV	do
?	SENT	?
What	WP	what
can	MD	can
they	PP	they
do	VV	do
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
Hamas	NP	Hamas
lives	VVZ	live
up	RP	up
to	TO	to
its	PP$	its
side	NN	side
of	IN	of
the	DT	the
deal	NN	deal
?	SENT	?
Hamas	NP	Hamas
is	VBZ	be
not	RB	not
trustworthy	JJ	trustworthy
.	SENT	.
As	IN	as
you	PP	you
can	MD	can
understand	VV	understand
.	SENT	.
It	PP	it
'	POS	'
s	NNS	s
a	DT	a
terror	NN	terror
group	NN	group
run	VVN	run
by	IN	by
a	DT	a
psychopath	NN	psychopath
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
do	VV	do
anything	NN	anything
in	IN	in
their	PP$	their
power	NN	power
to	TO	to
kill	VV	kill
Israeli	JJ	Israeli
soldiers	NNS	soldier
and	CC	and
to	TO	to
continue	VV	continue
to	TO	to
continue	VV	continue
regrouping	VVG	regroup
and	CC	and
strengthening	VVG	strengthen
themselves	PP	themselves
as	IN	as
they	PP	they
can	MD	can
But	CC	but
the	DT	the
Israeli	JJ	Israeli
army	NN	army
has	VHZ	have
already	RB	already
said	VVN	say
that	IN/that	that
if	IN	if
any	DT	any
breach	NN	breach
of	IN	of
the	DT	the
agreement	NN	agreement
,	,	,
even	RB	even
the	DT	the
smallest	JJS	small
breach	NN	breach
.	SENT	.
It	PP	it
will	MD	will
go	VV	go
back	RB	back
into	IN	into
fighting	VVG	fight
full	JJ	full
force	NN	force
,	,	,
saying	VVG	say
that	IN/that	that
I	PP	I
don	VV	don
'	''	'
t	NN	t
see	VV	see
the	DT	the
Israeli	JJ	Israeli
military	NN	military
doing	VVG	do
that	DT	that
.	SENT	.
If	IN	if
there	EX	there
'	''	'
s	VVG	s
any	DT	any
more	JJR	more
hostages	NNS	hostage
to	TO	to
be	VB	be
had	VHN	have
and	CC	and
and	CC	and
and	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
we	PP	we
are	VBP	be
.	SENT	.
We	PP	we
are	VBP	be
at	IN	at
a	DT	a
very	JJ	very
we	PP	we
'	''	'
re	IN	re
a	DT	a
very	RB	very
difficult	JJ	difficult
situation	NN	situation
where	WRB	where
this	DT	this
deal	NN	deal
is	VBZ	be
a	DT	a
bad	JJ	bad
deal	NN	deal
.	SENT	.
But	CC	but
we	PP	we
have	VHP	have
to	TO	to
to	TO	to
go	VV	go
through	IN	through
it	PP	it
in	IN	in
order	NN	order
to	TO	to
release	VV	release
our	PP$	our
people	NNS	people
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
our	PP$	our
moral	JJ	moral
obligation	NN	obligation
.	SENT	.
But	CC	but
I	PP	I
mean	VVP	mean
,	,	,
don	NN	don
'	POS	'
t	NN	t
forget	VV	forget
,	,	,
I	PP	I
think	VVP	think
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
,	,	,
