<	SYM	<
on	IN	on
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
And	CC	and
I	PP	I
describe	VVP	describe
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Efforts	NNS	effort
in	IN	in
coordination	NN	coordination
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
with	IN	with
allies	NNS	ally
and	CC	and
partners	NNS	partner
to	TO	to
deter	VV	deter
attempts	NNS	attempt
to	TO	to
disk	NN	disk
&	CC	&
nbsp	NN	nbsp
;	:	;
spend	VV	spend
the	DT	the
conflict	NN	conflict
regionally	RB	regionally
including	VVG	include
in	IN	in
the	DT	the
red	NN	red
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
sea	NN	sea
and	CC	and
expressed	VVD	express
president	NN	president
Biden	NP	Biden
'	POS	'
s	NN	S
commitment	NN	commitment
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
express	VV	express
income	NN	income
on	IN	on
the	DT	the
blue	JJ	blue
line	NN	line
through	IN	through
a	DT	a
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
combination	NN	combination
of	IN	of
deterrence	NN	deterrence
and	CC	and
diplomacy	NN	diplomacy
.	SENT	.
Later	RBR	later
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
today	NN	today
in	IN	in
,	,	,
fact	NN	fact
I	PP	I
will	MD	will
visit	VV	visit
from	IN	from
all	RB	all
of	IN	of
to	TO	to
be	VB	be
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
with	IN	with
president	NN	president
abbas	NNS	abbas
and	CC	and
discuss	VV	discuss
ongoing	JJ	ongoing
promotion	NN	promotion
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
stability	NN	stability
he	PP	he
west	RB	west
bank	NN	bank
.	SENT	.
Including	VVG	include
efforts	NNS	effort
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
confront	VV	confront
terrorist	JJ	terrorist
attacks	NNS	attack
him	PP	him
to	TO	to
support	NN	support
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
Palestinian	JJ	Palestinian
authority	NN	authority
security	NN	security
forces	NNS	force
[	SYM	[
3	CD	@card@
:	:	:
51	CD	@card@
:	:	:
04	NP	@card@
AM	NP	AM
]	SYM	]
authority	NN	authority
security	NN	security
forces	NNS	force
through	IN	through
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
Security	NP	Security
cordon	NN	cordon
either	CC	either
through	IN	through
Israel	NP	Israel
and	NP	and
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
Palestinian	JJ	Palestinian
authority	NN	authority
.	SENT	.
And	CC	and
their	PP$	their
ongoing	JJ	ongoing
&	CC	&
nbsp	JJ	nbsp
;	:	;
efforts	NNS	effort
to	TO	to
revisit	VV	revisit
and	CC	and
revitalize	VV	revitalize
the	DT	the
Palestinian	JJ	Palestinian
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
authority	NN	authority
.	SENT	.
And	CC	and
their	PP$	their
initiatives	NNS	initiative
to	TO	to
hold	VV	hold
extremist	NN	extremist
&	CC	&
nbsp	NN	nbsp
;	:	;
settlers	NNS	settler
against	IN	against
Palestinians	NPS	Palestinians
.	SENT	.
I	PP	I
have	VHP	have
and	CC	and
will	NN	will
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
continue	VV	continue
to	TO	to
stay	VV	stay
president	NN	president
Biden	NP	Biden
in	IN	in
the	DT	the
United	NP	United
&	CC	&
nbsp	NP	nbsp
;	:	;
States	NPS	States
commitment	NN	commitment
to	TO	to
preserving	VVG	preserve
space	NN	space
for	IN	for
,	,	,
peace	NN	peace
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
for	IN	for
a	DT	a
two	CD	two
-	NN	-
state	NN	state
solution	NN	solution
where	WRB	where
Israel	NP	Israel
security	NN	security
is	VBZ	be
&	CC	&
nbsp	NN	nbsp
;	:	;
guaranteed	VVN	guarantee
.	SENT	.
The	DT	the
Israeli	JJ	Israeli
people	NNS	people
need	VVP	need
and	CC	and
deserve	VVP	deserve
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
live	VV	live
in	IN	in
peace	NN	peace
and	CC	and
security	NN	security
with	IN	with
their	PP$	their
neighbors	NNS	neighbor
in	IN	in
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
region	NN	region
that	WDT	that
is	VBZ	be
integrated	JJ	integrated
,	,	,
dynamic	JJ	dynamic
and	CC	and
stable	JJ	stable
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
That	DT	that
is	VBZ	be
what	WP	what
we	PP	we
'	POS	'
re	NN	re
working	VVG	work
to	TO	to
court	NN	court
.	SENT	.
That	DT	that
is	VBZ	be
what	WP	what
&	CC	&
nbsp	NN	nbsp
;	:	;
I	PP	I
discussed	VVD	discuss
with	IN	with
my	PP$	my
counterpart	NN	counterpart
here	RB	here
in	IN	in
Israel	NP	Israel
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Kim	NP	Kim
.	SENT	.
This	DT	this
will	MD	will
be	VB	be
for	IN	for
the	DT	the
future	NN	future
,	,	,
and	CC	and
will	MD	will
that	DT	that
&	CC	&
nbsp	NN	nbsp
;	:	;
will	MD	will
be	VB	be
happy	JJ	happy
to	TO	to
take	VV	take
your	PP$	your
questions	NNS	question
.	SENT	.
With	IN	with
that	DT	that
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
I	PP	I
'	POS	'
ll	JJ	ll
start	NN	start
with	IN	with
Alex	NP	Alex
on	IN	on
CNN	NP	CNN
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Thanks	NNS	thanks
very	RB	very
much	JJ	much
Jake	NN	Jake
.	SENT	.
The	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
administration	NN	administration
has	VHZ	have
made	VVN	make
it	PP	it
clear	JJ	clear
that	IN/that	that
you	PP	you
are	VBP	be
&	CC	&
nbsp	JJ	nbsp
;	:	;
hoping	VVG	hope
that	IN/that	that
this	DT	this
vital	JJ	vital
transition	NN	transition
at	IN	at
some	DT	some
point	NN	point
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
from	IN	from
the	DT	the
science	NN	science
entity	NN	entity
face	NN	face
to	TO	to
a	DT	a
lower	JJR	low
&	CC	&
nbsp	NN	nbsp
;	:	;
intensity	NN	intensity
face	NN	face
.	SENT	.
What	WP	what
does	VVZ	do
this	DT	this
tell	VV	tell
you	PP	you
in	RP	in
[	SYM	[
3	CD	@card@
:	:	:
52	CD	@card@
:	:	:
04	NP	@card@
AM	NP	AM
]	SYM	]
What	WP	what
does	VVZ	do
this	DT	this
tell	VV	tell
you	PP	you
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
conditions	NNS	condition
&	CC	&
nbsp	NN	nbsp
;	:	;
that	WDT	that
need	VVP	need
to	TO	to
begin	VV	begin
for	IN	for
that	WDT	that
to	TO	to
happen	VV	happen
?	SENT	?
And	CC	and
how	WRB	how
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
does	VVZ	do
that	RB	that
sink	VV	sink
up	RP	up
with	IN	with
your	PP$	your
preferred	JJ	preferred
timeline	NN	timeline
?	SENT	?
&	CC	&
nbsp	NN	nbsp
;	:	;
Tim	NP	Tim
the	DT	the
administration	NN	administration
has	VHZ	have
insisted	VVN	insist
that	IN/that	that
they	PP	they
have	VHP	have
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
attempt	NN	attempt
to	TO	to
keep	VV	keep
the	DT	the
civilian	JJ	civilian
safe	NN	safe
.	SENT	.
And	CC	and
,	,	,
we	PP	we
&	CC	&
nbsp	NP	nbsp
;	:	;
have	VHP	have
CNN	NP	CNN
and	CC	and
others	NNS	other
reporting	VVG	report
that	IN/that	that
almost	RB	almost
half	JJ	half
of	IN	of
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
30	CD	@card@
,	,	,
000	CD	@card@
bombs	NNS	bomb
have	VHP	have
been	VBN	be
dropped	VVN	drop
on	IN	on
gaza	NN	gaza
,	,	,
from	IN	from
&	CC	&
nbsp	NN	nbsp
;	:	;
so	RB	so
-	NN	-
called	VVD	call
gun	NN	gun
bombs	NNS	bomb
and	CC	and
precise	JJ	precise
and	CC	and
if	IN	if
there	EX	there
was	VBD	be
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
a	DT	a
real	JJ	real
intent	NN	intent
to	TO	to
protect	VV	protect
civilians	NNS	civilian
wouldn	NN	wouldn
'	POS	'
t	NN	t
they	PP	they
&	CC	&
nbsp	NP	nbsp
;	:	;
be	VB	be
using	VVG	use
much	RB	much
more	JJR	more
precise	JJ	precise
smaller	JJR	small
I	PP	I
munitions	VVZ	munition
?	SENT	?
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Tim	NP	Tim
&	CC	&
gt	NP	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
really	RB	really
appreciate	VVP	appreciate
the	DT	the
questions	NNS	question
&	CC	&
nbsp	NN	nbsp
;	:	;
of	IN	of
the	DT	the
conflict	NN	conflict
,	,	,
and	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
there	EX	there
'	''	'
s	NN	S
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
been	VBN	be
some	DT	some
misunderstanding	NN	misunderstanding
in	IN	in
the	DT	the
reporting	NN	reporting
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
Not	RB	not
for	IN	for
me	PP	me
.	SENT	.
But	CC	but
from	IN	from
others	NNS	other
thin	JJ	thin
when	WRB	when
Israel	NP	Israel
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
launched	VVD	launch
this	DT	this
campaign	NN	campaign
to	TO	to
rule	VV	rule
out	RP	out
the	DT	the
terrorist	NN	terrorist
&	CC	&
nbsp	NN	nbsp
;	:	;
threat	NN	threat
that	IN/that	that
hamas	NN	hamas
poses	VVZ	pose
to	TO	to
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
it	PP	it
may	MD	may
clear	VV	clear
from	IN	from
the	DT	the
beginning	NN	beginning
that	IN/that	that
this	DT	this
world	NN	world
&	CC	&
nbsp	NN	nbsp
;	:	;
will	MD	will
proceed	VV	proceed
.	SENT	.
We	PP	we
are	VBP	be
now	RB	now
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
high	JJ	high
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
intensity	NN	intensity
phase	NN	phase
with	IN	with
ongoing	JJ	ongoing
operations	NNS	operation
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
military	JJ	military
operations	NNS	operation
and	CC	and
in	IN	in
the	DT	the
southern	JJ	southern
[	SYM	[
3	CD	@card@
:	:	:
53	CD	@card@
:	:	:
05	NP	@card@
AM	NP	AM
]	SYM	]
operations	NNS	operation
and	CC	and
in	IN	in
the	DT	the
southern	JJ	southern
half	NN	half
of	IN	of
gaza	NN	gaza
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
But	CC	but
there	EX	there
will	MD	will
be	VB	be
a	DT	a
transition	NN	transition
to	TO	to
another	DT	another
face	NN	face
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
in	IN	in
this	DT	this
world	NN	world
.	SENT	.
One	CD	one
that	WDT	that
is	VBZ	be
focused	VVN	focus
in	IN	in
more	JJR	more
&	CC	&
nbsp	NN	nbsp
;	:	;
precise	JJ	precise
ways	NNS	way
on	IN	on
targeting	VVG	target
the	DT	the
leadership	NN	leadership
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
an	DT	an
intelligence	NN	intelligence
driven	VVN	drive
up	RP	up
that	DT	that
continues	VVZ	continue
to	TO	to
deal	NN	deal
&	CC	&
nbsp	NN	nbsp
;	:	;
with	IN	with
the	DT	the
ongoing	JJ	ongoing
threat	NN	threat
that	IN/that	that
hamas	JJ	hamas
poses	NNS	pose
.	SENT	.
Tim	NP	Tim
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
so	RB	so
it	PP	it
was	VBD	be
obviously	RB	obviously
a	DT	a
subject	NN	subject
of	IN	of
conversation	NN	conversation
&	CC	&
nbsp	NN	nbsp
;	:	;
that	IN/that	that
I	PP	I
had	VHD	have
with	IN	with
the	DT	the
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
with	IN	with
the	DT	the
war	NN	war
cabinet	NN	cabinet
and	CC	and
with	IN	with
the	DT	the
leadership	NN	leadership
&	CC	&
nbsp	NN	nbsp
;	:	;
on	IN	on
the	DT	the
idf	NN	idf
and	CC	and
the	DT	the
defense	NN	defense
minister	NN	minister
.	SENT	.
Tim	NP	Tim
and	NP	and
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
that	IN/that	that
this	DT	this
conversation	NN	conversation
is	VBZ	be
,	,	,
first	JJ	first
&	CC	&
nbsp	JJ	nbsp
;	:	;
we	PP	we
'	POS	'
re	NN	re
not	RB	not
here	RB	here
to	TO	to
tell	VV	tell
anybody	NN	anybody
that	IN/that	that
you	PP	you
must	MD	must
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NP	nbsp
;	:	;
be	VB	be
,	,	,
-	NN	-
-	NN	-
this	DT	this
is	VBZ	be
our	PP$	our
perspective	NN	perspective
,	,	,
our	PP$	our
,	,	,
partner	NN	partner
as	IN	as
&	CC	&
nbsp	NN	nbsp
;	:	;
your	PP$	your
.	SENT	.
From	IN	from
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
believe	VVP	believe
is	VBZ	be
the	DT	the
best	JJS	good
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
way	NN	way
to	TO	to
achieve	VV	achieve
both	DT	both
tactical	JJ	tactical
and	CC	and
strategic	JJ	strategic
goals	NNS	goal
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
And	CC	and
then	RB	then
second	JJ	second
,	,	,
it	PP	it
has	VHZ	have
to	TO	to
take	VV	take
place	NN	place
in	IN	in
private	JJ	private
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Because	IN	because
we	PP	we
can	MD	can
'	''	'
t	NN	t
telegraph	NN	telegraph
for	IN	for
the	DT	the
enemy	NN	enemy
what	WP	what
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
plan	NN	plan
is	VBZ	be
.	SENT	.
Tim	NP	Tim
so	IN	so
I	PP	I
have	VHP	have
to	TO	to
speak	VV	speak
to	TO	to
timelines	NNS	timelines
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
I	PP	I
have	VHP	have
to	TO	to
speak	VV	speak
to	TO	to
conditions	NNS	condition
here	RB	here
from	IN	from
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
podium	NN	podium
.	SENT	.
But	CC	but
we	PP	we
have	VHP	have
very	RB	very
constructive	JJ	constructive
[	SYM	[
3	CD	@card@
:	:	:
54	CD	@card@
:	:	:
05	NP	@card@
AM	NP	AM
]	SYM	]
But	CC	but
we	PP	we
have	VHP	have
very	RB	very
constructive	JJ	constructive
conversation	NN	conversation
&	CC	&
nbsp	NN	nbsp
;	:	;
yesterday	NN	yesterday
.	SENT	.
About	IN	about
the	DT	the
transition	NN	transition
about	IN	about
the	DT	the
high	JJ	high
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
intensity	NN	intensity
face	NN	face
forward	RB	forward
.	SENT	.
And	CC	and
I	PP	I
expected	VVD	expect
that	WDT	that
would	MD	would
&	CC	&
nbsp	NN	nbsp
;	:	;
occur	VV	occur
,	,	,
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
When	WRB	when
exactly	RB	exactly
that	DT	that
happens	VVZ	happen
an	DT	an
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
exactly	RB	exactly
under	IN	under
what	WP	what
conditions	NNS	condition
,	,	,
will	MD	will
be	VB	be
continuing	VVG	continue
&	CC	&
nbsp	NN	nbsp
;	:	;
intensive	JJ	intensive
discussion	NN	discussion
between	IN	between
the	DT	the
united	JJ	united
States	NPS	States
and	CC	and
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Israel	NP	Israel
.	SENT	.
Tim	NP	Tim
I	PP	I
will	MD	will
make	VV	make
sure	RB	sure
that	DT	that
conversation	NN	conversation
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
it	PP	it
least	RBS	least
us	PP	us
far	RB	far
as	IN	as
I	PP	I
can	MD	can
do	VV	do
it	PP	it
is	VBZ	be
going	VVG	go
to	TO	to
stay	VV	stay
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
and	CC	and
take	VV	take
place	NN	place
behind	IN	behind
closed	JJ	closed
doors	NNS	door
.	SENT	.
Love	VV	love
when	WRB	when
&	CC	&
nbsp	NN	nbsp
;	:	;
it	PP	it
comes	VVZ	come
