Just	RB	just
move	VVP	move
through	RP	through
.	SENT	.
And	CC	and
you	PP	you
brought	VVD	bring
up	RP	up
another	DT	another
point	NN	point
here	RB	here
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
,	,	,
the	DT	the
developments	NNS	development
the	DT	the
twists	NNS	twist
today	NN	today
is	VBZ	be
not	RB	not
only	RB	only
has	VHZ	have
the	DT	the
number	NN	number
of	IN	of
hostages	NNS	hostage
been	VBN	be
turned	VVN	turn
over	RP	over
from	IN	from
Hamas	NN	Hamas
to	TO	to
the	DT	the
Red	NP	Red
Cross	NP	Cross
,	,	,
believed	VVD	believe
to	TO	to
be	VB	be
Israeli	JJ	Israeli
hostages	NNS	hostage
,	,	,
but	CC	but
several	JJ	several
Thai	JJ	Thai
hostages	NNS	hostage
,	,	,
people	NNS	people
from	IN	from
Thailand	NP	Thailand
who	WP	who
had	VHD	have
been	VBN	be
held	VVN	hold
.	SENT	.
We	PP	we
understand	VVP	understand
they	PP	they
'	''	'
ve	RB	ve
been	VBN	be
turned	VVN	turn
over	RP	over
as	RB	as
well	RB	well
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
completely	RB	completely
clear	JJ	clear
if	IN	if
those	DT	those
two	CD	two
groups	NNS	group
are	VBP	be
traveling	VVG	travel
together	RB	together
or	CC	or
separate	VV	separate
at	IN	at
this	DT	this
point	NN	point
,	,	,
Kaitlin	NP	Kaitlin
?	SENT	?
Yeah	RB	yeah
,	,	,
that	WDT	that
is	VBZ	be
still	RB	still
something	NN	something
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
figure	VV	figure
out	RP	out
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
really	RB	really
fast	JJ	fast
moving	VVG	move
process	NN	process
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
it	PP	it
'	POS	'
s	JJ	s
taking	VVG	take
time	NN	time
for	IN	for
them	PP	them
to	TO	to
get	VV	get
from	IN	from
place	NN	place
to	TO	to
place	VV	place
.	SENT	.
But	CC	but
there	EX	there
are	VBP	be
several	JJ	several
different	JJ	different
layers	NNS	layer
of	IN	of
government	NN	government
involved	VVN	involve
here	RB	here
,	,	,
different	JJ	different
governments	NNS	government
that	WDT	that
are	VBP	be
involved	VVN	involve
in	IN	in
this	DT	this
process	NN	process
.	SENT	.
This	DT	this
had	VHD	have
been	VBN	be
something	NN	something
that	IN/that	that
as	IN	as
we	PP	we
were	VBD	be
hearing	VVG	hear
,	,	,
as	IN	as
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
were	VBD	be
getting	VVG	get
closer	RBR	closer
to	TO	to
this	DT	this
deal	NN	deal
,	,	,
which	WDT	which
was	VBD	be
being	VBG	be
negotiated	VVN	negotiate
by	IN	by
Qatar	NP	Qatar
,	,	,
that	IN/that	that
there	EX	there
were	VBD	be
also	RB	also
questions	NNS	question
of	IN	of
other	JJ	other
governments	NNS	government
also	RB	also
negotiating	VVG	negotiate
for	IN	for
their	PP$	their
foreign	JJ	foreign
nationals	NNS	national
who	WP	who
were	VBD	be
being	VBG	be
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
in	IN	in
Gaza	NP	Gaza
to	TO	to
also	RB	also
be	VB	be
released	VVN	release
.	SENT	.
You	PP	you
know	VVP	know
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
that	WDT	that
we	PP	we
had	VHD	have
heard	VVN	hear
of	IN	of
that	DT	that
had	VHD	have
been	VBN	be
taken	VVN	take
into	IN	into
into	IN	into
Gaza	NP	Gaza
.	SENT	.
The	DT	the
point	NN	point
of	IN	of
this	DT	this
and	CC	and
what	WP	what
we	PP	we
were	VBD	be
hearing	VVG	hear
as	IN	as
we	PP	we
were	VBD	be
talking	VVG	talk
about	IN	about
this	DT	this
from	IN	from
the	DT	the
ideological	JJ	ideological
perspective	NN	perspective
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
were	VBD	be
laborers	NNS	laborer
who	WP	who
were	VBD	be
at	IN	at
the	DT	the
kibbutz	NN	kibbutz
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
something	NN	something
that	IN/that	that
we	PP	we
heard	VVD	hear
,	,	,
you	PP	you
know	VVP	know
,	,	,
when	WRB	when
I	PP	I
went	VVD	go
to	TO	to
kibbutz	NN	kibbutz
is	VBZ	be
a	DT	a
theme	NN	theme
.	SENT	.
They	PP	they
talked	VVD	talk
about	IN	about
the	DT	the
laborers	NNS	laborer
who	WP	who
had	VHD	have
just	RB	just
been	VBN	be
been	VBN	be
working	VVG	work
there	RB	there
at	IN	at
that	IN/that	that
that	DT	that
particular	JJ	particular
kibbutz	NN	kibbutz
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
had	VHD	have
also	RB	also
been	VBN	be
taken	VVN	take
hostage	NN	hostage
.	SENT	.
Some	DT	some
of	IN	of
these	DT	these
are	VBP	be
people	NNS	people
who	WP	who
they	PP	they
'	POS	'
re	NN	re
not	RB	not
Jewish	JJ	Jewish
they	PP	they
'	''	'
re	IN	re
not	RB	not
Israeli	JJ	Israeli
.	SENT	.
Yet	RB	yet
they	PP	they
were	VBD	be
also	RB	also
taken	VVN	take
by	IN	by
Hamas	NP	Hamas
into	IN	into
Gaza	NP	Gaza
.	SENT	.
And	CC	and
so	RB	so
that	WDT	that
is	VBZ	be
something	NN	something
we	PP	we
'	POS	'
re	NN	re
watching	VVG	watch
with	IN	with
the	DT	the
numbers	NNS	number
here	RB	here
,	,	,
because	IN	because
that	WDT	that
has	VHZ	have
been	VBN	be
another	DT	another
critical	JJ	critical
part	NN	part
of	IN	of
this	DT	this
is	VBZ	be
that	IN/that	that
ultimately	RB	ultimately
we	PP	we
'	POS	'
re	NN	re
told	VVD	tell
it	PP	it
'	POS	'
s	NN	S
50	CD	@card@
hostages	NNS	hostage
that	WDT	that
are	VBP	be
being	VBG	be
released	VVN	release
.	SENT	.
We	PP	we
got	VVD	get
this	DT	this
additional	JJ	additional
information	NN	information
just	RB	just
a	DT	a
short	JJ	short
time	NN	time
ago	RB	ago
ago	RB	ago
from	IN	from
Egyptian	JJ	Egyptian
officials	NNS	official
that	IN/that	that
these	DT	these
Thai	JJ	Thai
nationals	NNS	national
are	VBP	be
also	RB	also
part	NN	part
of	IN	of
this	DT	this
.	SENT	.
It	PP	it
is	VBZ	be
still	RB	still
a	DT	a
question	NN	question
of	IN	of
whether	IN	whether
or	CC	or
not	RB	not
they	PP	they
are	VBP	be
moving	VVG	move
in	IN	in
this	DT	this
group	NN	group
together	RB	together
,	,	,
whether	IN	whether
all	DT	all
of	IN	of
them	PP	them
were	VBD	be
in	IN	in
that	DT	that
convoy	NN	convoy
that	IN/that	that
we	PP	we
saw	VVD	see
just	RB	just
passed	VVN	pass
through	IN	through
the	DT	the
Rafah	NP	Rafah
crossing	NN	crossing
.	SENT	.
Those	DT	those
are	VBP	be
things	NNS	thing
that	IN/that	that
we	PP	we
'	POS	'
ll	NNS	ll
have	VHP	have
better	JJR	good
clarity	NN	clarity
on	IN	on
once	IN	once
they	PP	they
'	POS	'
ve	NN	ve
made	VVD	make
it	PP	it
through	RP	through
.	SENT	.
We	PP	we
do	VVP	do
know	VV	know
Israel	NP	Israel
expects	VVZ	expect
to	TO	to
publish	VV	publish
a	DT	a
list	NN	list
of	IN	of
who	WP	who
has	VHZ	have
made	VVN	make
it	PP	it
into	IN	into
Israel	NP	Israel
.	SENT	.
Once	IN	once
those	DT	those
hostages	NNS	hostage
have	VHP	have
made	VVN	make
it	PP	it
here	RB	here
.	SENT	.
They	PP	they
said	VVD	say
they	PP	they
will	MD	will
not	RB	not
do	VV	do
so	RB	so
beforehand	RB	beforehand
.	SENT	.
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
watching	VVG	watch
very	RB	very
closely	RB	closely
.	SENT	.
I	PP	I
know	VVP	know
CNN	NP	CNN
'	POS	'
s	JJ	s
international	JJ	international
anchor	NN	anchor
Becky	NP	Becky
Anderson	NP	Anderson
also	RB	also
tracking	VVG	track
this	DT	this
closely	RB	closely
.	SENT	.
And	CC	and
Becky	NP	Becky
,	,	,
you	PP	you
'	POS	'
ve	RB	ve
been	VBN	be
checking	VVG	check
in	IN	in
with	IN	with
sources	NNS	source
about	IN	about
the	DT	the
Thai	JJ	Thai
nationals	NNS	national
who	WP	who
are	VBP	be
also	RB	also
being	VBG	be
released	VVN	release
by	IN	by
Hamas	JJ	Hamas
today	NN	today
.	SENT	.
What	WP	what
else	RB	else
are	VBP	be
you	PP	you
hearing	VVG	hear
about	RB	about
?	SENT	?
Not	RB	not
just	RB	just
that	IN/that	that
,	,	,
but	CC	but
also	RB	also
what	WP	what
we	PP	we
just	RB	just
saw	VVD	see
happen	VV	happen
,	,	,
that	WDT	that
convoy	VVP	convoy
the	DT	the
Red	NP	Red
Cross	NP	Cross
convoy	NN	convoy
passing	VVG	pass
That	DT	that
'	''	'
s	NN	S
right	NN	right
.	SENT	.
They	PP	they
just	RB	just
left	VVD	leave
Gaza	NP	Gaza
through	IN	through
that	DT	that
crossing	NN	crossing
and	CC	and
they	PP	they
will	MD	will
be	VB	be
making	VVG	make
their	PP$	their
way	NN	way
through	IN	through
that	DT	that
crossing	NN	crossing
on	IN	on
a	DT	a
few	JJ	few
.	SENT	.
If	IN	if
you	PP	you
were	VBD	be
doing	VVG	do
that	IN/that	that
as	IN	as
a	DT	a
normal	JJ	normal
individual	NN	individual
,	,	,
it	PP	it
would	MD	would
take	VV	take
some	DT	some
time	NN	time
to	TO	to
get	VV	get
through	IN	through
that	DT	that
crossing	NN	crossing
.	SENT	.
But	CC	but
clearly	RB	clearly
,	,	,
that	IN/that	that
Red	NP	Red
Cross	NP	Cross
convoy	NN	convoy
will	MD	will
move	VV	move
very	RB	very
quickly	RB	quickly
through	IN	through
that	DT	that
crossing	NN	crossing
and	CC	and
into	IN	into
Egypt	NP	Egypt
.	SENT	.
As	IN	as
we	PP	we
understand	VVP	understand
it	PP	it
,	,	,
this	DT	this
group	NN	group
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
are	VBP	be
traveling	VVG	travel
in	IN	in
the	DT	the
same	JJ	same
convoy	NN	convoy
as	IN	as
these	DT	these
Thai	JJ	Thai
nationals	NNS	national
,	,	,
Thai	JJ	Thai
nationals	NNS	national
and	CC	and
their	PP$	their
release	NN	release
was	VBD	be
a	DT	a
separate	JJ	separate
and	CC	and
unconditional	JJ	unconditional
deal	NN	deal
and	CC	and
struck	VVN	strike
.	SENT	.
And	CC	and
separately	RB	separately
from	IN	from
the	DT	the
hostage	NN	hostage
deal	NN	deal
,	,	,
Hamas	NP	Hamas
,	,	,
Israel	NP	Israel
,	,	,
that	WDT	that
was	VBD	be
baked	VVN	bake
into	IN	into
this	DT	this
wider	JJR	wide
humanitarian	JJ	humanitarian
pause	NN	pause
.	SENT	.
I	PP	I
did	VVD	do
put	VV	put
this	DT	this
question	NN	question
about	RB	about
whether	IN	whether
there	EX	there
was	VBD	be
any	DT	any
separate	JJ	separate
tracks	NNS	track
being	VBG	be
negotiated	VVN	negotiate
by	IN	by
the	DT	the
country	NN	country
mediators	NNS	mediator
to	TO	to
the	DT	the
spokesman	NN	spokesman
of	IN	of
the	DT	the
Ministry	NP	Ministry
of	IN	of
Foreign	NP	Foreign
Affairs	NPS	Affairs
.	SENT	.
Just	RB	just
yesterday	NN	yesterday
,	,	,
and	CC	and
he	PP	he
described	VVD	describe
this	DT	this
without	IN	without
answering	VVG	answer
the	DT	the
question	NN	question
specifically	RB	specifically
.	SENT	.
He	PP	he
described	VVD	describe
this	DT	this
as	IN	as
a	DT	a
humanitarian	JJ	humanitarian
effort	NN	effort
.	SENT	.
So	RB	so
I	PP	I
think	VVP	think
what	WP	what
we	PP	we
can	MD	can
understand	VV	understand
from	IN	from
that	WDT	that
is	VBZ	be
that	IN/that	that
the	DT	the
Thai	NP	Thai
minister	NN	minister
who	WP	who
was	VBD	be
here	RB	here
in	IN	in
Doha	NP	Doha
a	DT	a
week	NN	week
or	CC	or
so	RB	so
ago	RB	ago
,	,	,
had	VHD	have
successfully	RB	successfully
worked	VVN	work
with	IN	with
the	DT	the
country	NN	country
mediation	NN	mediation
team	NN	team
with	IN	with
support	NN	support
from	IN	from
the	DT	the
Egyptians	NNS	Egyptian
and	CC	and
others	NNS	other
,	,	,
including	VVG	include
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
he	PP	he
'	POS	'
s	RB	s
been	VBN	be
very	RB	very
,	,	,
very	RB	very
,	,	,
very	RB	very
involved	VVN	involve
in	IN	in
what	WP	what
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
.	SENT	.
The	DT	the
Thais	NNS	Thai
have	VHP	have
been	VBN	be
able	JJ	able
to	TO	to
to	TO	to
pull	VV	pull
off	RP	off
a	DT	a
separate	JJ	separate
and	CC	and
unconditional	JJ	unconditional
deal	NN	deal
to	TO	to
ensure	VV	ensure
that	IN/that	that
some	DT	some
of	IN	of
those	DT	those
Thai	JJ	Thai
nationals	NNS	national
who	WP	who
got	VVD	get
caught	VVN	catch
up	RP	up
in	IN	in
this	DT	this
workers	NNS	worker
at	IN	at
these	DT	these
at	IN	at
these	DT	these
kibbutzim	NNS	kibbutz
have	VHP	have
also	RB	also
been	VBN	be
released	VVN	release
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
think	VVP	think
we	PP	we
have	VHP	have
to	TO	to
be	VB	be
very	RB	very
clear	JJ	clear
that	IN/that	that
we	PP	we
are	VBP	be
not	RB	not
absolutely	RB	absolutely
sure	JJ	sure
of	IN	of
the	DT	the
numbers	NNS	number
as	IN	as
we	PP	we
understood	VVD	understand
it	PP	it
.	SENT	.
We	PP	we
were	VBD	be
looking	VVG	look
at	IN	at
12	CD	@card@
Thai	JJ	Thai
nationals	NNS	national
to	TO	to
be	VB	be
released	VVN	release
into	IN	into
ICR	NP	ICR
hands	NNS	hand
,	,	,
ICRC	NP	ICRC
hands	NNS	hand
today	NN	today
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
as	IN	as
we	PP	we
understood	VVD	understand
it	PP	it
,	,	,
there	EX	there
will	MD	will
be	VB	be
13	CD	@card@
Israeli	JJ	Israeli
hostages	NNS	hostage
released	VVN	release
by	IN	by
Hamas	NNS	Hamas
as	IN	as
part	NN	part
of	IN	of
the	DT	the
main	JJ	main
deal	NN	deal
to	TO	to
be	VB	be
released	VVN	release
into	IN	into
the	DT	the
hands	NNS	hand
of	IN	of
the	DT	the
ICRC	NP	ICRC
.	SENT	.
I	PP	I
think	VVP	think
what	WP	what
we	PP	we
need	VVP	need
to	TO	to
do	VV	do
now	RB	now
is	VBZ	be
just	RB	just
wait	VV	wait
to	TO	to
see	VV	see
who	WP	who
is	VBZ	be
in	IN	in
those	DT	those
convoys	NNS	convoy
as	IN	as
they	PP	they
leave	VVP	leave
Egypt	NP	Egypt
and	CC	and
then	RB	then
make	VV	make
their	PP$	their
way	NN	way
into	IN	into
Israel	NP	Israel
if	IN	if
indeed	RB	indeed
that	DT	that
is	VBZ	be
what	WP	what
the	DT	the
ties	NNS	tie
are	VBP	be
doing	VVG	do
.	SENT	.
One	PP	one
probably	RB	probably
make	VVP	make
a	DT	a
sort	NN	sort
of	IN	of
a	DT	a
loose	JJ	loose
assumption	NN	assumption
that	IN/that	that
everybody	NN	everybody
will	MD	will
be	VB	be
traveling	VVG	travel
together	RB	together
now	RB	now
into	IN	into
Israel	NP	Israel
,	,	,
into	IN	into
the	DT	the
hands	NNS	hand
of	IN	of
the	DT	the
IDF	NP	IDF
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
reporting	VVG	report
all	DT	all
morning	NN	morning
,	,	,
haven	NN	haven
'	POS	'
t	NN	t
we	PP	we
,	,	,
about	IN	about
the	DT	the
the	DT	the
sensitivities	NNS	sensitivity
with	IN	with
which	WDT	which
the	DT	the
IDF	NP	IDF
will	MD	will
be	VB	be
dealing	VVG	deal
with	IN	with
those	DT	those
Israeli	JJ	Israeli
hostages	NNS	hostage
and	CC	and
specifically	RB	specifically
the	DT	the
and	CC	and
we	PP	we
have	VHP	have
to	TO	to
assume	VV	assume
that	IN/that	that
they	PP	they
'	POS	'
ve	NN	ve
got	VVD	get
we	PP	we
know	VVP	know
that	IN/that	that
they	PP	they
got	VVD	get
specific	JJ	specific
instructions	NNS	instruction
about	IN	about
how	WRB	how
to	TO	to
deal	VV	deal
with	IN	with
the	DT	the
with	IN	with
the	DT	the
kids	NNS	kid
who	WP	who
'	POS	'
ve	RB	ve
been	VBN	be
,	,	,
you	PP	you
know	VVP	know
,	,	,
through	IN	through
this	DT	this
traumatic	JJ	traumatic
ordeal	NN	ordeal
.	SENT	.
One	CD	one
can	MD	can
I	PP	I
mean	VV	mean
,	,	,
one	PP	one
can	MD	can
'	''	'
t	NN	t
even	RB	even
imagine	VV	imagine
it	PP	it
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
mom	NN	mom
,	,	,
but	CC	but
you	PP	you
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
to	TO	to
be	VB	be
a	DT	a
mom	NN	mom
to	TO	to
to	TO	to
to	TO	to
try	VV	try
and	CC	and
imagine	VV	imagine
what	WP	what
it	PP	it
is	VBZ	be
that	DT	that
everybody	NN	everybody
'	POS	'
s	RB	s
been	VBN	be
through	IN	through
,	,	,
not	RB	not
least	RBS	least
these	DT	these
little	JJ	little
kids	NNS	kid
.	SENT	.
And	CC	and
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
who	WP	who
'	POS	'
s	NNS	s
being	VBG	be
released	VVN	release
,	,	,
specifically	RB	specifically
the	DT	the
Thai	JJ	Thai
authorities	NNS	authority
do	VVP	do
know	VV	know
and	CC	and
who	WP	who
is	VBZ	be
released	VVN	release
today	NN	today
in	IN	in
that	DT	that
group	NN	group
.	SENT	.
But	CC	but
what	WP	what
we	PP	we
do	VVP	do
know	VV	know
is	VBZ	be
that	IN/that	that
they	PP	they
are	VBP	be
all	RB	all
traveling	VVG	travel
together	RB	together
in	IN	in
that	DT	that
convoy	NN	convoy
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
seen	VVN	see
go	NN	go
through	IN	through
the	DT	the
Rafah	NP	Rafah
crossing	VVG	cross
from	IN	from
the	DT	the
Gaza	NP	Gaza
side	NN	side
,	,	,
traveling	VVG	travel
into	IN	into
the	DT	the
Egypt	NP	Egypt
side	NN	side
and	CC	and
then	RB	then
into	IN	into
into	IN	into
Israel	NP	Israel
as	IN	as
assets	NNS	asset
things	NNS	thing
stand	VVP	stand
at	IN	at
the	DT	the
moment	NN	moment
.	SENT	.
Again	RB	again
,	,	,
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
saying	VVG	say
this	DT	this
all	DT	all
morning	NN	morning
.	SENT	.
We	PP	we
'	''	'
re	IN	re
nearly	RB	nearly
2	CD	@card@
hours	NNS	hour
after	IN	after
what	WP	what
was	VBD	be
the	DT	the
scheduled	VVN	schedule
release	NN	release
of	IN	of
these	DT	these
hostages	NNS	hostage
.	SENT	.
This	DT	this
has	VHZ	have
happened	VVN	happen
a	DT	a
lot	NN	lot
quicker	RBR	quicker
,	,	,
I	PP	I
think	VVP	think
,	,	,
than	IN	than
perhaps	RB	perhaps
many	JJ	many
people	NNS	people
had	VHD	have
anticipated	VVN	anticipate
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VVP	know
,	,	,
that	IN/that	that
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
thing	NN	thing
.	SENT	.
And	CC	and
obviously	RB	obviously
,	,	,
now	RB	now
we	PP	we
just	RB	just
have	VH	have
to	TO	to
wait	VV	wait
to	TO	to
see	VV	see
what	WP	what
happens	VVZ	happen
when	WRB	when
when	WRB	when
when	WRB	when
we	PP	we
get	VVP	get
some	DT	some
sort	NN	sort
of	IN	of
iSight	NN	iSight
on	IN	on
on	IN	on
these	DT	these
hostages	NNS	hostage
as	IN	as
they	PP	they
are	VBP	be
as	IN	as
they	PP	they
are	VBP	be
delivered	VVN	deliver
to	TO	to
the	DT	the
IDF	NP	IDF
and	CC	and
then	RB	then
obviously	RB	obviously
into	IN	into
the	DT	the
care	NN	care
of	IN	of
psychologists	NNS	psychologist
,	,	,
hospital	NN	hospital
workers	NNS	worker
,	,	,
medics	NNS	medic
,	,	,
some	DT	some
are	VBP	be
going	VVG	go
to	TO	to
need	VV	need
treatment	NN	treatment
.	SENT	.
We	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
whom	WP	whom
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VV	know
how	WRB	how
they	PP	they
are	VBP	be
at	IN	at
this	DT	this
stage	NN	stage
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
at	IN	at
least	JJS	least
just	RB	just
seeing	VVG	see
those	DT	those
scenes	NNS	scene
of	IN	of
that	DT	that
Red	NP	Red
Cross	NP	Cross
convoy	NN	convoy
to	TO	to
cheers	NNS	cheer
going	VVG	go
through	IN	through
that	DT	that
border	NN	border
crossing	VVG	cross
it	PP	it
just	RB	just
suggests	VVZ	suggest
where	WRB	where
we	PP	we
are	VBP	be
at	IN	at
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
biggest	JJS	big
diplomatic	JJ	diplomatic
breakthrough	NN	breakthrough
since	IN	since
this	DT	this
conflict	NN	conflict
began	VVD	begin
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	s
remember	VVP	remember
just	RB	just
a	DT	a
couple	NN	couple
of	IN	of
weeks	NNS	week
ago	RB	ago
,	,	,
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
finally	RB	finally
got	VVD	get
a	DT	a
resolution	NN	resolution
through	IN	through
asking	VVG	ask
pushing	VVG	push
for	IN	for
not	RB	not
just	RB	just
one	CD	one
,	,	,
but	CC	but
multiple	JJ	multiple
humanitarian	JJ	humanitarian
pauses	NNS	pause
at	IN	at
this	DT	this
stage	NN	stage
.	SENT	.
We	PP	we
have	VHP	have
this	DT	this
one	CD	one
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
four	CD	four
days	NNS	day
plus	IN	plus
an	DT	an
extension	NN	extension
if	IN	if
Hamas	NNS	Hamas
are	VBP	be
prepared	VVN	prepare
to	TO	to
release	VV	release
more	JJR	more
hostages	NNS	hostage
.	SENT	.
But	CC	but
let	VV	let
'	''	'
s	NNS	s
just	RB	just
see	VVP	see
how	WRB	how
this	DT	this
goes	VVZ	go
today	NN	today
,	,	,
whether	IN	whether
all	DT	all
25	CD	@card@
hostages	NNS	hostage
are	VBP	be
indeed	RB	indeed
in	IN	in
that	DT	that
convoy	NN	convoy
,	,	,
whether	IN	whether
those	DT	those
numbers	NNS	number
are	VBP	be
sufficient	JJ	sufficient
to	TO	to
suggest	VV	suggest
that	IN/that	that
Hamas	NP	Hamas
has	VHZ	have
fulfilled	VVN	fulfill
its	PP$	its
obligations	NNS	obligation
.	SENT	.
We	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
that	IN/that	that
because	IN	because
we	PP	we
can	MD	can
'	''	'
t	NN	t
see	VV	see
who	WP	who
'	POS	'
s	NN	S
in	IN	in
those	DT	those
convoys	NNS	convoy
.	SENT	.
But	CC	but
we	PP	we
do	VVP	do
know	VV	know
that	IN/that	that
it	PP	it
was	VBD	be
expected	VVN	expect
that	IN/that	that
there	EX	there
would	MD	would
be	VB	be
13	CD	@card@
Israeli	JJ	Israeli
hostages	NNS	hostage
and	CC	and
12	CD	@card@
ties	NNS	tie
At	IN	at
this	DT	this
point	NN	point
,	,	,
it	PP	it
is	VBZ	be
not	RB	not
clear	JJ	clear
how	WRB	how
many	JJ	many
people	NNS	people
are	VBP	be
in	IN	in
those	DT	those
calls	NNS	call
.	SENT	.
