According	VVG	accord
I	PP	I
contest	VVP	contest
the	DT	the
fact	NN	fact
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
a	DT	a
blackout	NN	blackout
because	IN	because
I	PP	I
saw	VVD	see
lots	NNS	lot
of	IN	of
cameras	NNS	camera
ou	NN	ou
when	WRB	when
our	PP$	our
hostages	NNS	hostage
were	VBD	be
being	VBG	be
ret	VV	ret
And	CC	and
I	PP	I
saw	VVD	see
lots	NNS	lot
of	IN	of
live	JJ	live
footage	NN	footage
from	IN	from
those	DT	those
occasions	NNS	occasion
as	RB	as
well	RB	well
.	SENT	.
Well	RB	well
,	,	,
tonight	RB	tonight
,	,	,
though	RB	though
,	,	,
tonight	RB	tonight
,	,	,
though	RB	though
,	,	,
there	EX	there
is	VBZ	be
I	PP	I
was	VBD	be
actually	RB	actually
going	VVG	go
to	TO	to
intervie	NN	intervie
the	DT	the
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Red	NP	Red
Cro	NP	Cro
We	PP	we
were	VBD	be
unable	JJ	unable
to	TO	to
get	VV	get
communications	NNS	communication
,	,	,
Colonel	NP	Colonel
,	,	,
for	IN	for
45	CD	@card@
minutes	NNS	minute
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
widespread	JJ	widespread
blackout	NN	blackout
tonight	NN	tonight
.	SENT	.
I	NP	I
'	POS	'
ve	RB	ve
seen	VVN	see
the	DT	the
spokesperson	NN	spokesperson
of	IN	of
UNICEF	NP	UNICEF
on	IN	on
CNN	NP	CNN
and	CC	and
every	DT	every
other	JJ	other
living	NN	living
network	NN	network
.	SENT	.
And	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
there	RB	there
isn	NP	isn
'	POS	'
t	NN	t
really	RB	really
such	JJ	such
a	DT	a
blackout	NN	blackout
because	IN	because
obediently	RB	obediently
he	PP	he
has	VHZ	have
service	NN	service
and	CC	and
many	JJ	many
others	NNS	other
h	NN	h
And	CC	and
there	EX	there
'	''	'
s	NN	S
video	NN	video
coming	VVG	come
out	RP	out
.	SENT	.
Listen	VV	listen
,	,	,
I	PP	I
understand	VVP	understand
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
perfe	NN	perfe
but	CC	but
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
are	VBP	be
trying	VVG	try
t	NN	t
We	PP	we
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
reach	VV	reach
out	RP	out
to	TO	to
Palestinians	NPS	Palestinians
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
inform	VV	inform
them	PP	them
ahead	RB	ahead
of	IN	of
time	NN	time
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
fighting	NN	fighting
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
in	IN	in
for	IN	for
them	PP	them
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
take	VV	take
precautions	NNS	precaution
a	DT	a
from	IN	from
where	WRB	where
there	EX	there
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VV	know
how	WRB	how
else	RB	else
we	PP	we
can	MD	can
squ	NN	squ
that	IN/that	that
circle	NN	circle
of	IN	of
defeating	VVG	defeat
Hamas	NNS	Hamas
where	WRB	where
Hamas	NN	Hamas
is	VBZ	be
and	CC	and
minimizing	VVG	minimize
civilian	JJ	civilian
casualti	NNS	casualti
I	PP	I
think	VVP	think
running	VVG	run
with	IN	with
military	JJ	military
experience	NN	experience
has	VHZ	have
an	DT	an
idea	NN	idea
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
open	JJ	open
for	IN	for
suggestions	NNS	suggestion
,	,	,
but	CC	but
it	PP	it
has	VHZ	have
to	TO	to
square	VV	square
in	IN	in
defeatin	NN	defeatin
not	RB	not
ceasing	VVG	cease
operations	NNS	operation
and	CC	and
letting	VVG	let
Hamas	NNS	Hamas
win	VV	win
,	,	,
but	CC	but
defeating	VVG	defeat
Hamas	NNS	Hamas
and	CC	and
minimizing	VVG	minimize
collateral	NN	collateral
or	CC	or
damage	NN	damage
to	TO	to
civilians	NNS	civilian
.	SENT	.
Colonel	NP	Colonel
,	,	,
one	CD	one
final	JJ	final
point	NN	point
on	IN	on
the	DT	the
blackout	NN	blackout
that	IN/that	that
that	WDT	that
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
the	DT	the
past	JJ	past
few	JJ	few
hours	NNS	hour
and	CC	and
the	DT	the
Red	NP	Red
Cross	NP	Cross
was	VBD	be
there	RB	there
earl	NN	earl
There	EX	there
was	VBD	be
video	JJ	video
earlier	RBR	earlier
than	IN	than
thi	NNS	thi
And	CC	and
that	IN/that	that
'	POS	'
s	NNS	s
actually	RB	actually
why	WRB	why
we	PP	we
had	VHD	have
the	DT	the
interview	NN	interview
scheduled	VVN	schedule
with	IN	with
the	DT	the
Red	NP	Red
Cross	NP	Cross
.	SENT	.
Then	RB	then
the	DT	the
blackout	NN	blackout
affecting	VVG	affect
most	JJS	most
of	IN	of
Gaza	NP	Gaza
has	VHZ	have
been	VBN	be
in	IN	in
effect	NN	effect
.	SENT	.
Do	VV	do
you	PP	you
know	VV	know
if	IN	if
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
resolve	NN	resolve
Do	VVP	do
you	PP	you
know	VVP	know
why	WRB	why
it	PP	it
'	POS	'
s	NN	S
in	IN	in
place	NN	place
?	SENT	?
I	PP	I
am	VBP	be
not	RB	not
aware	JJ	aware
of	IN	of
a	DT	a
blackout	NN	blackout
.	SENT	.
I	PP	I
am	VBP	be
aware	JJ	aware
of	IN	of
problems	NNS	problem
with	IN	with
coverage	NN	coverage
in	IN	in
local	NN	local
There	EX	there
have	VHP	have
been	VBN	be
reports	NNS	report
of	IN	of
it	PP	it
.	SENT	.
But	CC	but
I	PP	I
see	VVP	see
live	VV	live
streaming	VVG	stream
by	IN	by
a	DT	a
Palestinian	JJ	Palestinian
propagandist	NN	propagandist
from	IN	from
various	JJ	various
areas	NNS	area
,	,	,
including	VVG	include
from	IN	from
20	CD	@card@
minutes	NNS	minute
ago	RB	ago
.	SENT	.
I	PP	I
watched	VVD	watch
it	PP	it
live	VVP	live
of	IN	of
a	DT	a
very	RB	very
known	VVN	know
notorious	JJ	notorious
Palestinian	JJ	Palestinian
propagandi	NN	propagandi
He	PP	he
was	VBD	be
live	JJ	live
on	IN	on
Tik	NP	Tik
-	NP	-
Tok	NP	Tok
.	SENT	.
So	RB	so
there	EX	there
is	VBZ	be
why	WRB	why
,	,	,
if	IN	if
I	PP	I
may	MD	may
be	VB	be
not	RB	not
specifically	RB	specifically
with	IN	with
the	DT	the
Red	NP	Red
Cross	NP	Cross
that	IN/that	that
you	PP	you
were	VBD	be
speaking	VVG	speak
with	IN	with
,	,	,
but	CC	but
I	PP	I
am	VBP	be
factually	RB	factually
aware	JJ	aware
that	IN/that	that
there	EX	there
is	VBZ	be
live	JJ	live
Internet	NN	Internet
services	NNS	service
in	IN	in
Gaza	NP	Gaza
not	RB	not
perfect	JJ	perfect
and	CC	and
not	RB	not
5G	JJ	5G
Manhattan	NP	Manhattan
speed	NN	speed
,	,	,
but	CC	but
there	EX	there
definitely	RB	definitely
is	VBZ	be
internat	NN	internat
in	IN	in
Internet	NN	Internet
service	NN	service
.	SENT	.
Well	RB	well
,	,	,
Colonel	NP	Colonel
Conricus	NP	Conricus
,	,	,
I	PP	I
appreciate	VVP	appreciate
your	PP$	your
time	NN	time
.	SENT	.
Thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
,	,	,
sir	NN	sir
.	SENT	.
Thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
.	SENT	.
