Joining	VVG	join
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
power	NN	power
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
risk	NN	risk
that	IN/that	that
you	PP	you
&	CC	&
nbsp	NN	nbsp
;	:	;
might	MD	might
not	RB	not
get	VV	get
that	DT	that
message	NN	message
.	SENT	.
The	DT	the
Israelis	NPS	Israelis
have	VHP	have
in	IN	in
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
past	JJ	past
distributed	VVN	distribute
flyers	NNS	flyer
.	SENT	.
They	PP	they
air	VVP	air
dropped	VVN	drop
&	CC	&
nbsp	NN	nbsp
;	:	;
flyers	NNS	flyer
into	IN	into
the	DT	the
Palestinian	JJ	Palestinian
areas	NNS	area
to	TO	to
get	VV	get
them	PP	them
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
that	DT	that
kind	NN	kind
of	IN	of
a	DT	a
message	NN	message
.	SENT	.
Whether	IN	whether
or	CC	or
not	RB	not
they	PP	they
&	CC	&
nbsp	NN	nbsp
;	:	;
did	VVD	do
that	IN/that	that
in	IN	in
this	DT	this
case	NN	case
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
sure	JJ	sure
.	SENT	.
But	CC	but
they	PP	they
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
are	VBP	be
definitely	RB	definitely
-	JJ	-
-	NN	-
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
definitely	RB	definitely
&	CC	&
nbsp	NN	nbsp
;	:	;
trying	VVG	try
several	JJ	several
ways	NNS	way
to	TO	to
get	VV	get
the	DT	the
message	NN	message
to	TO	to
them	PP	them
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Thoblem	NN	Thoblem
that	IN/that	that
they	PP	they
have	VHP	have
is	VBZ	be
it	PP	it
'	POS	'
s	NN	S
not	RB	not
coordinated	VVN	coordinate
&	CC	&
nbsp	NN	nbsp
;	:	;
with	IN	with
other	JJ	other
aspects	NNS	aspect
of	IN	of
their	PP$	their
military	JJ	military
operation	NN	operation
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
or	CC	or
doesn	NP	doesn
'	POS	'
t	NN	t
seem	VVP	seem
to	TO	to
be	VB	be
,	,	,
at	IN	at
least	JJS	least
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
You	PP	you
know	VVP	know
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
aid	VV	aid
still	RB	still
at	IN	at
the	DT	the
border	NN	border
that	WDT	that
needs	VVZ	need
to	TO	to
get	VV	get
in	IN	in
.	SENT	.
[	SYM	[
6	CD	@card@
:	:	:
12	CD	@card@
:	:	:
47	NP	@card@
AM	NP	AM
]	SYM	]
needs	VVZ	need
to	TO	to
get	VV	get
in	IN	in
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
we	PP	we
are	VBP	be
still	RB	still
&	CC	&
nbsp	NN	nbsp
;	:	;
talking	VVG	talk
about	IN	about
hostages	NNS	hostage
that	IN/that	that
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
And	CC	and
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Israel	NP	Israel
are	VBP	be
quite	RB	quite
involved	VVN	involve
in	IN	in
trying	VVG	try
to	TO	to
get	VV	get
&	CC	&
nbsp	NN	nbsp
;	:	;
released	VVN	release
.	SENT	.
But	CC	but
there	EX	there
is	VBZ	be
also	RB	also
what	WP	what
seems	VVZ	seem
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NP	nbsp
;	:	;
be	VB	be
a	DT	a
public	JJ	public
split	NN	split
that	RB	that
'	POS	'
s	NNS	s
forming	VVG	form
between	IN	between
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
And	CC	and
Israel	NP	Israel
.	SENT	.
That	IN/that	that
how	WRB	how
you	PP	you
see	VVP	see
it	PP	it
?	SENT	?
Because	IN	because
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
you	PP	you
have	VHP	have
Netanyahu	NN	Netanyahu
who	WP	who
is	VBZ	be
saying	VVG	say
there	RB	there
will	MD	will
&	CC	&
nbsp	NN	nbsp
;	:	;
not	RB	not
be	VB	be
any	DT	any
kind	NN	kind
of	IN	of
ceasefire	NN	ceasefire
or	CC	or
a	DT	a
pause	NN	pause
until	IN	until
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
all	DT	all
hostages	NNS	hostage
are	VBP	be
released	VVN	release
.	SENT	.
But	CC	but
then	RB	then
you	PP	you
also	RB	also
&	CC	&
nbsp	NN	nbsp
;	:	;
have	VHP	have
the	DT	the
secretary	NN	secretary
of	IN	of
state	NN	state
blinken	NNS	blinken
publicly	RB	publicly
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
stating	VVG	state
there	RB	there
needs	VVZ	need
to	TO	to
be	VB	be
a	DT	a
humanitarian	JJ	humanitarian
pause	NN	pause
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Yeah	RB	yeah
,	,	,
the	DT	the
secretary	NN	secretary
of	IN	of
state	NN	state
is	VBZ	be
trying	VVG	try
to	TO	to
very	JJ	very
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
much	JJ	much
bridge	NN	bridge
the	DT	the
gap	NN	gap
between	IN	between
the	DT	the
dezur	NN	dezur
for	IN	for
&	CC	&
nbsp	NN	nbsp
;	:	;
a	DT	a
complete	JJ	complete
ceasefire	NN	ceasefire
and	CC	and
Israel	NP	Israel
'	POS	'
s	NN	S
public	NN	public
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
stance	NN	stance
at	IN	at
least	JJS	least
on	IN	on
the	DT	the
issue	NN	issue
of	IN	of
either	CC	either
a	DT	a
&	CC	&
nbsp	NN	nbsp
;	:	;
ceasefire	NN	ceasefire
or	CC	or
humanitarian	JJ	humanitarian
pause	NN	pause
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
they	PP	they
are	VBP	be
doing	VVG	do
some	DT	some
humanitarian	JJ	humanitarian
pauses	NNS	pause
&	CC	&
nbsp	NN	nbsp
;	:	;
like	IN	like
the	DT	the
one	CD	one
that	WDT	that
'	POS	'
s	NN	S
in	IN	in
existence	NN	existence
right	RB	right
now	RB	now
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
but	CC	but
the	DT	the
fact	NN	fact
of	IN	of
the	DT	the
matter	NN	matter
is	VBZ	be
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
&	CC	&
nbsp	NN	nbsp
;	:	;
its	PP$	its
war	NN	war
aims	NNS	aim
and	CC	and
it	PP	it
believes	VVZ	believe
it	PP	it
can	MD	can
'	''	'
t	NN	t
be	VB	be
seen	VVN	see
to	RB	to
[	SYM	[
6	CD	@card@
:	:	:
13	CD	@card@
:	:	:
49	NP	@card@
AM	NP	AM
]	SYM	]
it	PP	it
believes	VVZ	believe
it	PP	it
can	MD	can
'	''	'
t	NN	t
be	VB	be
seen	VVN	see
to	TO	to
be	VB	be
deviating	VVG	deviate
from	IN	from
&	CC	&
nbsp	NN	nbsp
;	:	;
them	PP	them
,	,	,
and	CC	and
they	PP	they
think	VVP	think
this	DT	this
kind	NN	kind
of	IN	of
a	DT	a
humanitarian	JJ	humanitarian
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
pause	NN	pause
may	MD	may
be	VB	be
a	DT	a
slight	JJ	slight
deviation	NN	deviation
or	CC	or
a	DT	a
large	JJ	large
&	CC	&
nbsp	JJ	nbsp
;	:	;
deviation	NN	deviation
in	IN	in
their	PP$	their
minds	NNS	mind
,	,	,
perhaps	RB	perhaps
R	NN	R
from	IN	from
their	PP$	their
war	NN	war
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
aims	VVZ	aim
.	SENT	.
So	IN	so
the	DT	the
secretary	NN	secretary
has	VHZ	have
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
problem	NN	problem
here	RB	here
&	CC	&
nbsp	NN	nbsp
;	:	;
in	IN	in
the	DT	the
effort	NN	effort
to	TO	to
kind	NN	kind
of	IN	of
bridge	NN	bridge
that	IN/that	that
that	DT	that
gap	NN	gap
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
It	PP	it
'	POS	'
s	NN	S
a	DT	a
difficult	JJ	difficult
needle	NN	needle
to	TO	to
thread	VV	thread
in	IN	in
this	DT	this
case	NN	case
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
What	WP	what
is	VBZ	be
your	PP$	your
sense	NN	sense
of	IN	of
what	WP	what
is	VBZ	be
happening	VVG	happen
on	IN	on
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
ground	NN	ground
?	SENT	?
Last	RB	last
we	PP	we
heard	VVD	hear
Friday	NP	Friday
is	VBZ	be
that	IN/that	that
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Israel	NP	Israel
encircled	VVD	encircle
gaza	NN	gaza
city	NN	city
.	SENT	.
What	WP	what
happens	VVZ	happen
next	JJ	next
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Yeah	RB	yeah
,	,	,
so	IN	so
I	PP	I
'	POS	'
m	NN	m
not	RB	not
sure	JJ	sure
that	IN/that	that
the	DT	the
encirclement	NN	encirclement
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
has	VHZ	have
been	VBN	be
completed	VVN	complete
but	CC	but
may	MD	may
have	VH	have
been	VBN	be
by	IN	by
this	DT	this
time	NN	time
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
You	PP	you
know	VVP	know
,	,	,
the	DT	the
encirclement	NN	encirclement
is	VBZ	be
designed	VVN	design
to	TO	to
besiege	VV	besiege
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
or	CC	or
starve	VV	starve
out	RP	out
the	DT	the
hamas	JJ	hamas
fighters	NNS	fighter
.	SENT	.
When	WRB	when
they	PP	they
do	VVP	do
&	CC	&
nbsp	VVP	nbsp
;	:	;
that	IN/that	that
and	CC	and
we	PP	we
see	VVP	see
the	DT	the
map	NN	map
of	IN	of
gaza	NN	gaza
right	RB	right
there	RB	there
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
gaza	NN	gaza
city	NN	city
in	IN	in
particular	NN	particular
,	,	,
that	WDT	that
'	POS	'
s	NN	S
in	IN	in
the	DT	the
center	NN	center
of	IN	of
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
gaza	NN	gaza
strip	NN	strip
.	SENT	.
And	CC	and
the	DT	the
idea	NN	idea
there	EX	there
is	VBZ	be
not	RB	not
only	RB	only
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
encircle	VV	encircle
that	DT	that
area	NN	area
,	,	,
but	CC	but
also	RB	also
to	TO	to
make	VV	make
it	PP	it
possible	JJ	possible
&	CC	&
nbsp	JJ	nbsp
;	:	;
for	IN	for
Israeli	JJ	Israeli
ground	NN	ground
forces	NNS	force
to	TO	to
enter	VV	enter
a	DT	a
certain	JJ	certain
[	SYM	[
6	CD	@card@
:	:	:
14	CD	@card@
:	:	:
52	NP	@card@
AM	NP	AM
]	SYM	]
ground	NN	ground
forces	NNS	force
to	TO	to
enter	VV	enter
a	DT	a
certain	JJ	certain
zone	NN	zone
within	IN	within
&	CC	&
nbsp	NN	nbsp
;	:	;
that	DT	that
city	NN	city
and	CC	and
then	RB	then
be	VB	be
able	JJ	able
to	TO	to
go	VV	go
in	RP	in
and	CC	and
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
in	IN	in
essence	NN	essence
,	,	,
clear	VV	clear
that	DT	that
zone	NN	zone
.	SENT	.
That	IN/that	that
'	POS	'
s	NN	S
going	VVG	go
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
be	VB	be
difficult	JJ	difficult
for	IN	for
the	DT	the
Israelis	NPS	Israelis
to	TO	to
do	VV	do
.	SENT	.
I	PP	I
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
think	VV	think
that	WDT	that
might	MD	might
be	VB	be
the	DT	the
next	JJ	next
step	NN	step
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
but	CC	but
they	PP	they
have	VHP	have
to	TO	to
watch	VV	watch
the	DT	the
tunnels	NNS	tunnel
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
they	PP	they
are	VBP	be
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
they	PP	they
&	CC	&
nbsp	NN	nbsp
;	:	;
don	NN	don
'	POS	'
t	NN	t
get	VV	get
ambushed	VVN	ambush
and	CC	and
,	,	,
you	PP	you
know	VVP	know
,	,	,
also	RB	also
watch	VVP	watch
for	IN	for
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
improvised	VVD	improvise
explosive	JJ	explosive
devices	NNS	device
.	SENT	.
So	RB	so
those	DT	those
are	VBP	be
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
kinds	NNS	kind
of	IN	of
challenges	NNS	challenge
that	IN/that	that
they	PP	they
have	VHP	have
right	RB	right
now	RB	now
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Yeah	RB	yeah
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
risks	NNS	risk
&	CC	&
nbsp	NN	nbsp
;	:	;
going	VVG	go
in	IN	in
there	RB	there
on	IN	on
the	DT	the
ground	NN	ground
.	SENT	.
