SIDNER	NP	SIDNER
INTELLIGENCE	NN	intelligence
THAT	IN/that	that
ISRAEL	NP	Israel
WAS	VBD	be
NOT	RB	not
RESPONSIBLE	JJ	responsible
FOR	IN	for
THAT	DT	that
BLAST	NN	blast
.	SENT	.
AND	CC	and
THEY	PP	they
DON	VVP	don
'	''	'
T	NN	T
BELIEVE	VVP	believe
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
INTELLIGENCE	NN	intelligence
THAT	WDT	that
SEEMS	VVZ	seem
TO	TO	to
AT	IN	at
THIS	DT	this
POINT	NN	point
CONFIRM	VVP	confirm
THE	DT	the
ISRAELI	JJ	Israeli
INTELLIGENCE	NN	intelligence
.	SENT	.
THEY	PP	they
BELIEVE	VVP	believe
THAT	IN/that	that
IT	PP	it
WAS	VBD	be
UNDERTAKEN	VVN	undertake
BY	IN	by
ISRAEL	NP	Israel
AND	CC	and
THAT	DT	that
IS	VBZ	be
SOMETHING	NN	something
THAT	IN/that	that
THEY	PP	they
CERTAINLY	RB	certainly
CANNOT	MD	can
FORGIVE	VV	forgive
AND	CC	and
HAVE	VHP	have
BEEN	VBN	be
OUT	RB	out
PROTESTING	VVG	protest
IN	IN	in
VERY	RB	very
LARGE	JJ	large
NUMBERS	NNS	number
.	SENT	.
BUT	CC	but
THERE	EX	there
HAVE	VHP	have
BEEN	VBN	be
SMALLER	JJR	small
SCALE	NN	scale
CLASHES	NNS	clash
THAT	WDT	that
HAVE	VHP	have
ENDED	VVN	end
IN	IN	in
DEATHS	NNS	death
OF	IN	of
PALESTINIANS	NPS	Palestinians
.	SENT	.
THE	DT	the
PALESTINIAN	JJ	Palestinian
AUTHORITIES	NNS	authority
SAY	VVP	say
THERE	EX	there
WERE	VBD	be
ABOUT	RB	about
SEVEN	CD	seven
PALESTINIANS	NPS	Palestinians
WHO	WP	who
HAVE	VHP	have
BEEN	VBN	be
KILLED	VVN	kill
OVERNIGHT	RB	overnight
DURING	IN	during
ONE	CD	one
OF	IN	of
THOSE	DT	those
RAIDS	NNS	raid
BY	IN	by
THE	DT	the
ISRAELI	JJ	Israeli
MILITARY	NN	military
.	SENT	.
AND	CC	and
SO	RB	so
,	,	,
YOU	PP	you
KNOW	VVP	know
,	,	,
THE	DT	the
ISRAELI	JJ	Israeli
MILITARY	NN	military
SAYS	VVZ	say
IN	IN	in
THAT	DT	that
OPERATION	NN	operation
IN	IN	in
TOKARENE	NP	TOKARENE
,	,	,
THEY	PP	they
WENT	VVD	go
INTO	IN	into
A	DT	a
REFUGEE	NN	refugee
CAMP	NN	camp
AND	CC	and
ENDED	VVD	end
UP	RP	up
ARRESTING	VVG	arrest
ABOUT	RB	about
TEN	CD	ten
PEOPLE	NNS	people
THERE	RB	there
.	SENT	.
SEVEN	CD	seven
PALESTINIANS	NPS	Palestinians
ACCORDING	VVG	accord
TO	TO	to
THE	DT	the
PA	NN	pa
,	,	,
WERE	VBD	be
KILLED	VVN	kill
.	SENT	.
THAT	DT	that
IS	VBZ	be
JUST	RB	just
RATCHETING	VVG	ratchete
UP	RP	up
THE	DT	the
TENSIONS	NNS	tension
AS	IN	as
YOU	PP	you
MIGHT	MD	might
IMAGINE	VV	imagine
IN	IN	in
THE	DT	the
WEST	JJ	west
BANK	NP	BANK
,	,	,
WHICH	WDT	which
IS	VBZ	be
NOT	RB	not
RUN	VVN	run
BY	IN	by
HAMAS	NP	HAMAS
.	SENT	.
IT	PP	it
IS	VBZ	be
RUN	VVN	run
BY	IN	by
WHAT	WP	what
THE	DT	the
INTERNATIONAL	NP	INTERNATIONAL
COMMUNITY	NN	community
RECOGNIZES	VVZ	recognize
AS	IN	as
THE	DT	the
LEADER	NN	leader
OF	IN	of
THE	DT	the
PALESTINIAN	JJ	Palestinian
PEOPLE	NNS	people
,	,	,
THE	DT	the
PALESTINIAN	JJ	Palestinian
AUTHORITY	NN	authority
,	,	,
WOLF	NN	wolf
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
HOW	WRB	how
FEARFUL	JJ	fearful
ARE	VBP	be
PALESTINIANS	NPS	Palestinians
ON	IN	on
THE	DT	the
WEST	JJ	west
BANK	NP	BANK
OF	IN	of
ISRAELI	JJ	Israeli
SETTLER	NN	settler
VIOLENCE	NN	violence
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Reporter	NN	reporter
:	:	:
THERE	EX	there
HAVE	VHP	have
BEEN	VBN	be
AN	DT	an
UPTICK	NN	uptick
,	,	,
A	DT	a
BIG	JJ	big
UPTICK	NN	uptick
,	,	,
OF	IN	of
VIOLENCE	NN	violence
BY	IN	by
SETTLERS	NNS	settler
AGAINST	IN	against
PALESTINIANS	NPS	Palestinians
.	SENT	.
I	PP	I
DON	VVP	don
'	''	'
T	NN	T
KNOW	VVP	know
IF	IN	if
THE	DT	the
WORD	NN	word
IS	VBZ	be
FEAR	NN	fear
,	,	,
BUT	CC	but
IT	PP	it
'	POS	'
S	NP	S
MORE	JJR	more
ANGER	NN	anger
.	SENT	.
IT	PP	it
'	POS	'
S	NP	S
MORE	JJR	more
RAGE	NN	rage
IN	IN	in
HAVING	VHG	have
TO	TO	to
DEAL	VV	deal
WITH	IN	with
THAT	DT	that
AS	NP	AS
WELL	RB	well
.	SENT	.
WE	PP	we
DO	VVP	do
KNOW	VV	know
THAT	IN/that	that
THERE	EX	there
HAS	VHZ	have
BEEN	VBN	be
AN	DT	an
UPTICK	NN	uptick
BECAUSE	IN	because
OF	IN	of
THIS	DT	this
GROUP	NP	GROUP
NAMED	VVD	name
BAIT	NN	bait
SALEM	NP	Salem
AND	CC	and
OTHERS	NNS	other
LOOKING	VVG	look
AT	IN	at
THE	DT	the
ACTIVITY	NN	activity
OF	IN	of
SETTLERS	NNS	settler
IN	IN	in
THE	DT	the
AREA	NN	area
WHICH	WDT	which
HAS	VHZ	have
ALWAYS	RB	always
BEEN	VBN	be
A	DT	a
FLASH	JJ	flash
POINT	NN	point
OF	IN	of
PALESTINIANS	NNS	Palestinian
EVERYWHERE	RB	everywhere
,	,	,
BUT	CC	but
PARTICULARLY	RB	particularly
IN	IN	in
THE	DT	the
WEST	JJ	west
BANK	NP	BANK
.	SENT	.
I	PP	I
WANTED	VVD	want
TO	TO	to
LET	VV	let
YOU	PP	you
SEE	VV	see
WHAT	WP	what
BAIT	VVP	bait
SALEM	NP	Salem
GROUP	NP	GROUP
,	,	,
THIS	DT	this
GROUP	NP	GROUP
THAT	WDT	that
TRACKS	VVZ	track
SETTLER	NN	settler
VIOLENCE	NN	violence
,	,	,
THAT	WDT	that
BELIEVES	VVZ	believe
IT	PP	it
'	''	'
S	NN	S
A	DT	a
FULL	JJ	full
OCCUPATION	NN	occupation
BY	IN	by
ISRAEL	NP	Israel
THAT	WDT	that
NEEDS	VVZ	need
TO	TO	to
END	VV	end
.	SENT	.
THEY	PP	they
SAY	VVP	say
THE	DT	the
SETTLER	NN	settler
VIOLENCE	NN	violence
AGAINST	IN	against
PALESTINIANS	NPS	Palestinians
HAS	VHZ	have
RISEN	VVN	rise
IN	IN	in
BOTH	DT	both
FREQUENCY	NN	frequency
AND	CC	and
INTENSITY	NN	intensity
WITH	IN	with
SOLDIERS	NNS	soldier
AND	CC	and
POLICE	NN	police
OFFICERS	NNS	officer
FULLY	RB	fully
BACKING	VVG	back
THE	DT	the
ASSAILANTS	NNS	assailant
UNDER	IN	under
THE	DT	the
COVER	NN	cover
OF	IN	of
WAR	NP	WAR
.	SENT	.
SETTLERS	NNS	settler
ARE	VBP	be
CARRYING	VVG	carry
OUT	RP	out
SUCH	JJ	such
ASSAULTS	NNS	assault
VIRTUALLY	RB	virtually
UNCHECKED	JJ	unchecked
.	SENT	.
THAT	DT	that
IS	VBZ	be
THE	DT	the
GROUP	NP	GROUP
,	,	,
THE	DT	the
ISRAELI	JJ	Israeli
HUMAN	JJ	human
RIGHTS	NNS	right
ORGANIZATION	NN	organization
.	SENT	.
I	PP	I
ALSO	RB	also
WANT	VVP	want
TO	TO	to
MENTION	VV	mention
THERE	EX	there
ARE	VBP	be
ABOUT	RB	about
700	CD	@card@
,	,	,
000	CD	@card@
SETTLERS	NNS	settler
IN	IN	in
THE	DT	the
WEST	JJ	west
BANK	NP	BANK
BUT	CC	but
CONVERSELY	RB	conversely
,	,	,
THEY	PP	they
'	POS	'
RE	NN	re
TERRIFIED	VVN	terrify
AS	IN	as
WELL	RB	well
AND	CC	and
THEY	PP	they
'	POS	'
LL	NP	LL
TELL	VV	tell
YOU	PP	you
SO	RB	so
.	SENT	.
THEY	PP	they
CONSTANTLY	RB	constantly
SAY	VVP	say
,	,	,
LOOK	VVP	look
,	,	,
WE	PP	we
FEEL	VVP	feel
LIKE	IN	like
WE	PP	we
ARE	VBP	be
JUST	RB	just
DEFENDING	VVG	defend
OURSELVES	PP	ourselves
.	SENT	.
OUR	PP$	our
FAMILIES	NNS	family
.	SENT	.
SO	RB	so
YOU	PP	you
HAVE	VHP	have
THIS	DT	this
AWFUL	JJ	awful
BACK	NN	back
AND	CC	and
FORTH	RB	forth
BETWEEN	IN	between
THE	DT	the
TWO	CD	two
GROUPS	NNS	group
BUT	CC	but
INTERNATIONALLY	RB	internationally
,	,	,
THE	DT	the
SETTLEMENTS	NNS	settlement
ARE	VBP	be
NOT	RB	not
RECOGNIZED	VVN	recognize
AND	CC	and
ARE	VBP	be
CONSIDERED	VVN	consider
ILLEGAL	JJ	illegal
BUT	CC	but
THIS	DT	this
IS	VBZ	be
A	DT	a
BATTLE	NN	battle
THAT	WDT	that
HAS	VHZ	have
BEEN	VBN	be
GOING	VVG	go
ON	RP	on
LONG	JJ	long
BEF	NP	BEF
