<video_id>ywOzeZl7uIU</video_id>	JJ	<video_id>ywOzeZl7uIU</video_id>
CHAOS	NN	chaos
BUT	CC	but
ARE	VBP	be
EYEWITNESSES	NNS	eyewitness
ON	IN	on
THE	DT	the
GROUND	NN	ground
INDICATE	VVP	indicate
THAT	IN/that	that
IT	PP	it
WAS	VBD	be
THE	DT	the
ISRAELI	JJ	Israeli
GUNFIRE	NN	gunfire
THAT	WDT	that
PROMPTED	VVD	prompt
SOME	DT	some
OF	IN	of
THOSE	DT	those
TRUCKS	NNS	truck
TO	TO	to
FLEE	VV	flee
THE	DT	the
SCENE.	NP	SCENE.
AND	CC	and
IN	IN	in
THE	DT	the
PROCESS,	NP	PROCESS,
RUN	NN	run
OVER	IN	over
SOME	DT	some
OF	IN	of
THESE	DT	these
INDIVIDUALS.	NP	INDIVIDUALS.
BUT	CC	but
WE	PP	we
ARE	VBP	be
STILL	RB	still
WORKING	VVG	work
TOGETHER	RB	together
ADDITIONAL	JJ	additional
DETAILS.	NP	DETAILS.
THE	DT	the
ISRAELI	JJ	Israeli
MILITARY	NN	military
SAYS	VVZ	say
FOR	IN	for
ITS	PP$	its
PART	NN	part
THAT	IN/that	that
THE	DT	the
INCIDENT	NN	incident
IS	VBZ	be
UNDER	IN	under
REVIEW	NP	REVIEW
AND	CC	and
THEY	PP	they
ARE	VBP	be
ALSO	RB	also
SAYING	VVG	say
IN	IN	in
A	DT	a
STATEMENT	NN	statement
THAT	IN/that	that
GAZAN	NP	GAZAN
RESIDENTS	NNS	resident
SURROUNDED	VVD	surround
THE	DT	the
TRUCKS,	NP	TRUCKS,
LOADED	VVD	load
THE	DT	the
SUPPLIES	NNS	supply
BEING	VBG	be
DELIVERED,	NP	DELIVERED,
AND	CC	and
THAT	IN/that	that
DURING	IN	during
THE	DT	the
INCIDENT,	NP	INCIDENT,
DOZENS	NNS	dozen
OF	IN	of
GAZANS,	NP	GAZANS,
THEY	PP	they
SAY	VVP	say
WERE	VBD	be
INJURED	VVN	injure
AS	IN	as
A	DT	a
RESULT	NN	result
OF	IN	of
PUSHING	VVG	push
AND	NP	AND
TRAMPLING.	NP	TRAMPLING.
THIS	DT	this
WAS	VBD	be
CLEARLY	RB	clearly
MORE	JJR	more
THAN	IN	than
JUST	RB	just
PUSHING	VVG	push
AND	NP	AND
TRAMPLING.	NP	TRAMPLING.
AND	CC	and
WE	PP	we
HAVE	VHP	have
EYEWITNESSES	NNS	eyewitness
MAKING	VVG	make
VERY	RB	very
CLEAR	JJ	clear
THAT	IN/that	that
THE	DT	the
ISRAELI	JJ	Israeli
MILITARY	NN	military
DID	VVD	do
INDEED	RB	indeed
OPEN	VV	open
FIRE	NN	fire
HAIR	NN	hair
ON	IN	on
THESE	DT	these
INDIVIDUALS	NNS	individual
AS	IN	as
WELL.	NP	WELL.
NOW,	NP	NOW,
WE	PP	we
SHOULD	MD	should
NOTE	VV	note
THAT	IN/that	that
THIS	DT	this
IS	VBZ	be
ONLY	RB	only
HAPPENING	VVG	happen
BECAUSE	RB	because
OF	IN	of
HOW	WRB	how
DESPERATE	JJ	desperate
THE	DT	the
HUMANITARIAN	JJ	humanitarian
SITUATION	NN	situation
IS	VBZ	be
IN	IN	in
NORTHERN	NP	NORTHERN
GAZA.	NP	GAZA.
VERY	RB	very
FEW	JJ	few
AID	NN	aid
TRUCKS	NNS	truck
HAVE	VHP	have
ACTUALLY	RB	actually
BEEN	VBN	be
ABLE	JJ	able
TO	TO	to
MAKE	VV	make
IT	PP	it
IN	IN	in
THERE.	NP	THERE.
THE	DT	the
WORLD	NN	world
FOOD	NN	food
PROGRAM	NN	program
RECENTLY	RB	recently
SUSPENDED	VVD	suspend
AID	NN	aid
DELIVERIES	NNS	delivery
TO	TO	to
NORTHERN	NP	NORTHERN
GAZA,	NP	GAZA,
SAYING	VVG	say
THAT	IN/that	that
IT	PP	it
WAS	VBD	be
TOO	RB	too
UNSAFE.	JJ	UNSAFE.
PART	NN	part
OF	IN	of
THAT	WDT	that
HAS	VHZ	have
TO	TO	to
DO	VV	do
DO	VV	do
WITH	IN	with
A	DT	a
LACK	NN	lack
OF	IN	of
COORDINATION	NN	coordination
WITH	IN	with
THE	DT	the
ISRAELI	JJ	Israeli
MILITARY	NN	military
TO	TO	to
GET	VV	get
THOSE	DT	those
TRUCKS	NNS	truck
INTO	IN	into
A	DT	a
WARZONE	NP	WARZONE
SAFELY	RB	safely
IN	IN	in
A	DT	a
WAY	NN	way
THAT	IN/that	that
THEY	PP	they
ARE	VBP	be
NOT	RB	not
TARGETED.	JJ	TARGETED.
AND	CC	and
IT	PP	it
ALSO	RB	also
HAS	VHZ	have
TO	TO	to
DO	VV	do
WITH	IN	with
THE	DT	the
FACT	NN	fact
THAT	IN/that	that
THE	DT	the
ISRAELI	JJ	Israeli
MILITARY	NN	military
IN	IN	in
THE	DT	the
PAST	NN	past
HAS	VHZ	have
TARGETED	VVN	target
POLICE	NN	police
OFFICERS	NNS	officer
WHO	WP	who
HAVE	VHP	have
BEEN	VBN	be
AROUND	IN	around
THOSE	DT	those
AID	NN	aid
CONVOYS.	NP	CONVOYS.
AND	NP	AND
SO	IN	so
THERE'S	NP	THERE'S
VERY	RB	very
LITTLE	JJ	little
SECURITY	NN	security
FOR	IN	for
THESE.	NP	THESE.
YOU	PP	you
COMBINE	VVP	combine
THAT	DT	that
LACK	NN	lack
OF	IN	of
SIX	CD	six
PURITY.	NN	PURITY.
YOU	PP	you
COMBINE	VVP	combine
THAT	IN/that	that
WITH	IN	with
THE	DT	the
FACT	NN	fact
THAT	IN/that	that
PEOPLE	NNS	people
ARE	VBP	be
ON	IN	on
THE	DT	the
BRINK	NN	brink
OF	IN	of
FAMINE	NN	famine
IN	IN	in
NORTHERN	NP	NORTHERN
</doc>	NP	</doc>
