Israelis	NPS	Israelis
Israel	NP	Israel
must	MD	must
be	VB	be
eliminated	VVN	eliminate
and	CC	and
Hamas	NNS	Hamas
cannot	MD	can
control	VV	control
Gaza	NP	Gaza
.	SENT	.
The	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
,	,	,
too	RB	too
,	,	,
have	VHP	have
suffered	VVN	suffer
under	IN	under
Hamas	JJ	Hamas
rule	NN	rule
for	IN	for
nearly	RB	nearly
two	CD	two
decades	NNS	decade
.	SENT	.
Here	RB	here
with	IN	with
me	PP	me
now	RB	now
is	VBZ	be
IDF	NP	IDF
spokesman	NN	spokesman
Lieutenant	NN	lieutenant
Colonel	NP	Colonel
Nadav	NP	Nadav
Shoshana	NP	Shoshana
.	SENT	.
Thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
being	VBG	be
here	RB	here
.	SENT	.
We	PP	we
are	VBP	be
so	RB	so
incredibly	RB	incredibly
devastated	VVN	devastate
.	SENT	.
for	IN	for
for	IN	for
Israel	NP	Israel
,	,	,
for	IN	for
all	DT	all
of	IN	of
the	DT	the
families	NNS	family
.	SENT	.
it	PP	it
'	POS	'
s	NN	S
just	RB	just
hard	JJ	hard
to	TO	to
even	RB	even
imagine	VV	imagine
how	WRB	how
much	JJ	much
pain	NN	pain
everybody	NN	everybody
is	VBZ	be
in	IN	in
.	SENT	.
And	CC	and
as	IN	as
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
IDF	NP	IDF
,	,	,
I	NP	I
'	POS	'
d	NN	d
like	IN	like
for	IN	for
you	PP	you
to	TO	to
explain	VV	explain
exactly	RB	exactly
what	WP	what
happened	VVD	happen
when	WRB	when
these	DT	these
six	CD	six
bodies	NNS	body
were	VBD	be
found	VVN	find
.	SENT	.
Thank	VV	thank
you	PP	you
.	SENT	.
Thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
.	SENT	.
This	DT	this
is	VBZ	be
,	,	,
a	DT	a
very	RB	very
sad	JJ	sad
morning	NN	morning
in	IN	in
Israel	NP	Israel
.	SENT	.
Very	RB	very
sad	JJ	sad
news	NN	news
coming	VVG	come
out	RP	out
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
And	CC	and
,	,	,
announcing	VVG	announce
today	NN	today
after	IN	after
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
talk	VV	talk
to	TO	to
the	DT	the
families	NNS	family
and	CC	and
inform	VV	inform
them	PP	them
about	IN	about
finding	VVG	find
the	DT	the
bodies	NNS	body
of	IN	of
their	PP$	their
loved	VVN	love
ones	NNS	one
.	SENT	.
these	DT	these
were	VBD	be
six	CD	six
people	NNS	people
that	WDT	that
were	VBD	be
taken	VVN	take
on	IN	on
October	NP	October
7th	JJ	7th
,	,	,
and	CC	and
,	,	,
in	IN	in
our	PP$	our
operations	NNS	operation
in	IN	in
Lofa	NP	Lofa
,	,	,
in	IN	in
an	DT	an
underground	JJ	underground
tunnel	NN	tunnel
.	SENT	.
We	PP	we
found	VVD	find
their	PP$	their
bodies	NNS	body
,	,	,
and	CC	and
we	PP	we
thought	VVD	think
we	PP	we
brought	VVD	bring
them	PP	them
back	RB	back
to	TO	to
Israel	NP	Israel
.	SENT	.
We	PP	we
examined	VVD	examine
them	PP	them
,	,	,
and	CC	and
we	PP	we
found	VVD	find
that	IN/that	that
they	PP	they
were	VBD	be
,	,	,
murdered	VVN	murder
by	IN	by
Hamas	NNS	Hamas
recently	RB	recently
.	SENT	.
and	CC	and
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
inform	VV	inform
the	DT	the
families	NNS	family
about	IN	about
it	PP	it
and	CC	and
share	VV	share
the	DT	the
news	NN	news
today	NN	today
,	,	,
the	DT	the
very	JJ	very
,	,	,
very	RB	very
sad	JJ	sad
news	NN	news
about	IN	about
them	PP	them
.	SENT	.
And	CC	and
and	CC	and
just	RB	just
to	TO	to
be	VB	be
clear	JJ	clear
,	,	,
just	RB	just
because	IN	because
we	PP	we
'	POS	'
re	NN	re
obviously	RB	obviously
,	,	,
trying	VVG	try
to	TO	to
get	VV	get
information	NN	information
about	RB	about
exactly	RB	exactly
how	WRB	how
this	DT	this
this	NN	this
happened	VVD	happen
were	VBD	be
,	,	,
IDF	NP	IDF
soldiers	NNS	soldier
actually	RB	actually
looking	VVG	look
for	IN	for
these	DT	these
six	CD	six
hostages	NNS	hostage
,	,	,
or	CC	or
did	VVD	do
they	PP	they
find	VVP	find
them	PP	them
as	IN	as
part	NN	part
of	IN	of
a	DT	a
separate	JJ	separate
,	,	,
mission	NN	mission
?	SENT	?
But	CC	but
we	PP	we
we	PP	we
have	VHP	have
been	VBN	be
operating	VVG	operate
above	RB	above
and	CC	and
underground	RB	underground
in	IN	in
that	DT	that
area	NN	area
,	,	,
combating	VVG	combat
terrorists	NNS	terrorist
and	CC	and
,	,	,
searching	VVG	search
in	IN	in
the	DT	the
underground	JJ	underground
tunnels	NNS	tunnel
,	,	,
as	IN	as
we	PP	we
'	POS	'
ve	NNS	ve
done	VVN	do
in	IN	in
recent	JJ	recent
weeks	NNS	week
in	IN	in
Lofa	NP	Lofa
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
an	DT	an
area	NN	area
,	,	,
I	PP	I
remind	VVP	remind
you	PP	you
,	,	,
it	PP	it
'	POS	'
s	NN	S
,	,	,
less	JJR	less
than	IN	than
a	DT	a
mile	NN	mile
from	IN	from
where	WRB	where
we	PP	we
found	VVD	find
off	RP	off
on	IN	on
the	DT	the
,	,	,
the	DT	the
hostage	NN	hostage
that	IN/that	that
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
rescue	VV	rescue
alive	RB	alive
a	DT	a
few	JJ	few
days	NNS	day
ago	RB	ago
.	SENT	.
So	RB	so
there	EX	there
was	VBD	be
some	DT	some
idea	NN	idea
of	IN	of
hostages	NNS	hostage
being	VBG	be
in	IN	in
the	DT	the
area	NN	area
,	,	,
but	CC	but
this	DT	this
was	VBD	be
not	RB	not
a	DT	a
specific	JJ	specific
mission	NN	mission
to	TO	to
release	VV	release
hostages	NNS	hostage
.	SENT	.
But	CC	but
,	,	,
part	NN	part
of	IN	of
our	PP$	our
ordinary	JJ	ordinary
,	,	,
combat	NN	combat
missions	NNS	mission
against	IN	against
Hamas	NNS	Hamas
above	IN	above
an	DT	an
underground	NN	underground
.	SENT	.
So	RB	so
you	PP	you
said	VVD	say
that	IN/that	that
you	PP	you
believe	VVP	believe
that	IN/that	that
they	PP	they
were	VBD	be
murdered	VVN	murder
recently	RB	recently
?	SENT	?
can	MD	can
you	PP	you
be	VB	be
more	RBR	more
specific	JJ	specific
about	IN	about
how	WRB	how
recently	RB	recently
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
are	VBP	be
still	RB	still
,	,	,
examining	VVG	examine
the	DT	the
information	NN	information
also	RB	also
operationally	RB	operationally
in	IN	in
the	DT	the
tunnel	NN	tunnel
and	CC	and
also	RB	also
examining	VVG	examine
the	DT	the
bodies	NNS	body
.	SENT	.
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
process	NN	process
that	WDT	that
might	MD	might
take	VV	take
a	DT	a
while	NN	while
,	,	,
and	CC	and
we	PP	we
are	VBP	be
personally	RB	personally
obligated	VVN	obligate
to	TO	to
inform	VV	inform
the	DT	the
families	NNS	family
.	SENT	.
and	CC	and
then	RB	then
we	PP	we
'	POS	'
ll	NNS	ll
have	VHP	have
the	DT	the
information	NN	information
more	RBR	more
public	JJ	public
.	SENT	.
But	CC	but
according	VVG	accord
to	TO	to
our	PP$	our
initial	JJ	initial
,	,	,
inquiry	NN	inquiry
of	IN	of
the	DT	the
situation	NN	situation
,	,	,
they	PP	they
were	VBD	be
murdered	VVN	murder
recently	RB	recently
by	IN	by
Hamas	JJ	Hamas
terrorists	NNS	terrorist
.	SENT	.
They	PP	they
were	VBD	be
taken	VVN	take
alive	JJ	alive
from	IN	from
Israel	NP	Israel
.	SENT	.
They	PP	they
were	VBD	be
,	,	,
living	VVG	live
in	IN	in
horrible	JJ	horrible
conditions	NNS	condition
for	IN	for
almost	RB	almost
a	DT	a
month	NN	month
.	SENT	.
And	CC	and
recently	RB	recently
,	,	,
they	PP	they
were	VBD	be
murdered	VVN	murder
by	IN	by
the	DT	the
terror	NN	terror
organization	NN	organization
.	SENT	.
and	CC	and
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
find	VV	find
them	PP	them
,	,	,
yesterday	NN	yesterday
.	SENT	.
do	VV	do
you	PP	you
have	VHP	have
any	DT	any
idea	NN	idea
?	SENT	?
And	CC	and
I	PP	I
realize	VVP	realize
this	DT	this
is	VBZ	be
early	JJ	early
and	CC	and
obviously	RB	obviously
,	,	,
understandably	RB	understandably
,	,	,
very	RB	very
delicate	JJ	delicate
.	SENT	.
Delicate	JJ	delicate
.	SENT	.
But	CC	but
do	VVP	do
you	PP	you
have	VHP	have
any	DT	any
idea	NN	idea
,	,	,
based	VVN	base
on	IN	on
,	,	,
when	WRB	when
and	CC	and
where	WRB	where
,	,	,
these	DT	these
,	,	,
individuals	NNS	individual
and	CC	and
their	PP$	their
bodies	NNS	body
were	VBD	be
found	VVN	find
that	IN/that	that
they	PP	they
were	VBD	be
murdered	VVN	murder
.	SENT	.
After	IN	after
hearing	VVG	hear
or	CC	or
sensing	VVG	sense
that	IN/that	that
the	DT	the
IDF	NP	IDF
was	VBD	be
close	JJ	close
by	IN	by
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
we	PP	we
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
put	VV	put
that	DT	that
information	NN	information
later	RBR	later
,	,	,
but	CC	but
I	PP	I
think	VVP	think
that	IN/that	that
that	DT	that
'	''	'
s	NNS	s
not	RB	not
the	DT	the
question	NN	question
.	SENT	.
Hamas	NP	Hamas
is	VBZ	be
a	DT	a
terrorist	JJ	terrorist
organization	NN	organization
that	WDT	that
came	VVD	come
to	TO	to
Israel	NP	Israel
,	,	,
murdered	VVN	murder
thousands	NNS	thousand
of	IN	of
people	NNS	people
and	CC	and
abducted	VVD	abduct
these	DT	these
innocent	JJ	innocent
civilian	JJ	civilian
young	JJ	young
people	NNS	people
from	IN	from
a	DT	a
party	NN	party
,	,	,
and	CC	and
and	CC	and
they	PP	they
murdered	VVD	murder
them	PP	them
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
because	IN	because
they	PP	they
'	''	'
re	IN	re
a	DT	a
terrorist	JJ	terrorist
organization	NN	organization
.	SENT	.
And	CC	and
I	PP	I
think	VVP	think
I	PP	I
would	MD	would
I	PP	I
would	MD	would
not	RB	not
be	VB	be
the	DT	the
one	CD	one
looking	VVG	look
for	IN	for
reasons	NNS	reason
from	IN	from
us	PP	us
for	IN	for
why	WRB	why
this	DT	this
this	NN	this
.	SENT	.
No	UH	no
.	SENT	.
The	DT	the
terror	NN	terror
organization	NN	organization
killing	VVG	kill
innocent	JJ	innocent
civilians	NNS	civilian
.	SENT	.
One	CD	one
of	IN	of
them	PP	them
,	,	,
an	DT	an
American	JJ	American
civilian	NN	civilian
.	SENT	.
you	PP	you
all	RB	all
know	VVP	know
of	IN	of
that	WDT	that
was	VBD	be
was	VBD	be
killed	VVN	kill
brutally	RB	brutally
.	SENT	.
Yeah	RB	yeah
.	SENT	.
I	PP	I
yeah	RB	yeah
.	SENT	.
And	CC	and
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
make	VV	make
no	DT	no
mistake	NN	mistake
about	IN	about
this	DT	this
.	SENT	.
Hamas	NP	Hamas
is	VBZ	be
a	DT	a
terror	NN	terror
organization	NN	organization
,	,	,
and	CC	and
they	PP	they
are	VBP	be
the	DT	the
ones	NNS	one
,	,	,
to	TO	to
blame	VV	blame
for	IN	for
this	DT	this
.	SENT	.
I	PP	I
guess	VVP	guess
the	DT	the
reason	NN	reason
I	PP	I
was	VBD	be
asking	VVG	ask
that	IN/that	that
question	NN	question
is	VBZ	be
whether	IN	whether
or	CC	or
not	RB	not
they	PP	they
were	VBD	be
close	JJ	close
to	TO	to
being	VBG	be
rescued	VVN	rescue
.	SENT	.
That	DT	that
was	VBD	be
the	DT	the
basis	NN	basis
for	IN	for
my	PP$	my
question	NN	question
.	SENT	.
Right	RB	right
.	SENT	.
We	PP	we
'	''	'
re	IN	re
we	PP	we
'	POS	'
re	NN	re
operating	VVG	operate
and	CC	and
we	PP	we
have	VHP	have
a	DT	a
moral	JJ	moral
obligation	NN	obligation
and	CC	and
an	DT	an
operational	JJ	operational
priority	NN	priority
to	TO	to
bring	VV	bring
home	RB	home
their	PP$	their
two	CD	two
101	CD	@card@
hostages	NNS	hostage
.	SENT	.
And	CC	and
we	PP	we
are	VBP	be
working	VVG	work
to	TO	to
bring	VV	bring
them	PP	them
home	NN	home
as	IN	as
we	PP	we
have	VHP	have
been	VBN	be
able	JJ	able
to	TO	to
bring	VV	bring
,	,	,
a	DT	a
few	JJ	few
home	NN	home
one	CD	one
.	SENT	.
Right	RB	right
.	SENT	.
just	RB	just
last	JJ	last
week	NN	week
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
operating	VVG	operate
for	IN	for
that	DT	that
and	CC	and
that	DT	that
that	WDT	that
was	VBD	be
part	NN	part
of	IN	of
our	PP$	our
operation	NN	operation
in	IN	in
that	DT	that
area	NN	area
.	SENT	.
Hoping	VVG	hope
to	TO	to
find	VV	find
hostages	NNS	hostage
.	SENT	.
And	CC	and
sadly	RB	sadly
,	,	,
we	PP	we
found	VVD	find
them	PP	them
.	SENT	.
we	PP	we
found	VVD	find
bodies	NNS	body
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
still	RB	still
operating	VVG	operate
in	IN	in
all	DT	all
parts	NNS	part
of	IN	of
Gaza	NP	Gaza
,	,	,
hoping	VVG	hope
to	TO	to
find	VV	find
hostages	NNS	hostage
.	SENT	.
There	EX	there
are	VBP	be
still	RB	still
many	JJ	many
hostages	NNS	hostage
alive	JJ	alive
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
it	PP	it
'	POS	'
s	NNS	s
important	JJ	important
for	IN	for
us	PP	us
to	TO	to
continue	VV	continue
this	DT	this
pressure	NN	pressure
and	CC	and
to	TO	to
try	VV	try
and	CC	and
bring	VV	bring
them	PP	them
home	RB	home
alive	JJ	alive
.	SENT	.
Lieutenant	NN	lieutenant
Colonel	NP	Colonel
Shoshana	NP	Shoshana
,	,	,
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
being	VBG	be
here	RB	here
.	SENT	.
And	CC	and
again	RB	again
,	,	,
we	PP	we
are	VBP	be
just	RB	just
devastated	VVN	devastate
by	IN	by
the	DT	the
news	NN	news
.	SENT	.
My	PP$	my
next	JJ	next
guest	NN	guest
spoke	VVD	speak
forcefully	RB	forcefully
at	IN	at
the	DT	the
Republican	JJ	Republican
convention	NN	convention
in	IN	in
July	NP	July
,	,	,
leading	VVG	lead
the	DT	the
crowd	NN	crowd
in	IN	in
chants	NNS	chant
of	IN	of
bring	VV	bring
them	PP	them
home	NN	home
!	SENT	!
Here	RB	here
with	IN	with
me	PP	me
now	RB	now
are	VBP	be
Ronen	NP	Ronen
and	CC	and
Orna	NP	Orna
Neutra	NP	Neutra
,	,	,
the	DT	the
parents	NNS	parent
of	IN	of
Israeli	JJ	Israeli
American	JJ	American
citizen	NN	citizen
Omar	NP	Omar
Neutra	NP	Neutra
held	VVD	hold
hostage	NN	hostage
by	IN	by
Hamas	NP	Hamas
.	SENT	.
Thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
being	VBG	be
here	RB	here
this	DT	this
morning	NN	morning
.	SENT	.
particularly	RB	particularly
given	VVN	give
the	DT	the
fact	NN	fact
that	IN/that	that
I	PP	I
know	VVP	know
how	WRB	how
close	JJ	close
you	PP	you
are	VBP	be
to	TO	to
all	DT	all
of	IN	of
the	DT	the
hostage	NN	hostage
families	NNS	family
,	,	,
but	CC	but
particularly	RB	particularly
,	,	,
the	DT	the
the	DT	the
Goldberg	NP	Goldberg
pollens	NNS	pollen
,	,	,
the	DT	the
two	CD	two
.	SENT	.
Hirsh	NP	Hirsh
and	CC	and
Omar	NP	Omar
,	,	,
almost	RB	almost
the	DT	the
same	JJ	same
age	NN	age
.	SENT	.
Omar	NP	Omar
is	VBZ	be
going	VVG	go
to	TO	to
turn	VV	turn
23	CD	@card@
next	JJ	next
month	NN	month
,	,	,
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
imagine	VV	imagine
how	WRB	how
difficult	JJ	difficult
it	PP	it
must	MD	must
be	VB	be
to	TO	to
watch	VV	watch
this	DT	this
news	NN	news
,	,	,
knowing	VVG	know
that	IN/that	that
your	PP$	your
beautiful	JJ	beautiful
son	NN	son
is	VBZ	be
still	RB	still
in	IN	in
captivity	NN	captivity
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
absolutely	RB	absolutely
right	RB	right
,	,	,
Dana	NP	Dana
.	SENT	.
There	EX	there
are	VBP	be
no	DT	no
words	NNS	word
for	IN	for
us	PP	us
,	,	,
really	RB	really
,	,	,
to	TO	to
comfort	VV	comfort
all	PDT	all
the	DT	the
families	NNS	family
.	SENT	.
But	CC	but
specifically	RB	specifically
,	,	,
we	PP	we
'	POS	'
ve	NNS	ve
become	VVP	become
very	RB	very
close	VV	close
with	IN	with
the	DT	the
Goldberg	NP	Goldberg
pollens	NNS	pollen
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
like	IN	like
our	PP$	our
family	NN	family
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
traveled	VVD	travel
the	DT	the
world	NN	world
with	IN	with
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
met	VVD	meet
together	RB	together
with	IN	with
leaders	NNS	leader
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
completely	RB	completely
devastated	VVN	devastate
by	IN	by
this	DT	this
news	NN	news
.	SENT	.
You	PP	you
know	VVP	know
,	,	,
we	PP	we
were	VBD	be
holding	VVG	hold
on	IN	on
to	TO	to
this	DT	this
vision	NN	vision
that	IN/that	that
,	,	,
Omer	NP	Omer
and	CC	and
Hirsch	NP	Hirsch
are	VBP	be
together	RB	together
,	,	,
that	IN/that	that
they	PP	they
would	MD	would
come	VV	come
out	RP	out
together	RB	together
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
just	RB	just
completely	RB	completely
devastating	JJ	devastating
and	CC	and
a	DT	a
stark	JJ	stark
reminder	NN	reminder
to	TO	to
the	DT	the
conditions	NNS	condition
that	IN/that	that
these	DT	these
hostages	NNS	hostage
are	VBP	be
being	VBG	be
held	VVN	hold
in	IN	in
,	,	,
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
terrorist	JJ	terrorist
group	NN	group
that	WDT	that
is	VBZ	be
holding	VVG	hold
on	IN	on
to	TO	to
them	PP	them
,	,	,
and	CC	and
that	IN/that	that
things	NNS	thing
have	VHP	have
to	TO	to
work	VV	work
much	RB	much
faster	RBR	faster
for	IN	for
them	PP	them
to	TO	to
come	VV	come
out	RP	out
.	SENT	.
Well	RB	well
,	,	,
on	IN	on
that	WDT	that
,	,	,
Prime	NP	Prime
Minister	NP	Minister
Netanyahu	NP	Netanyahu
said	VVD	say
he	PP	he
is	VBZ	be
personally	RB	personally
committed	VVN	commit
to	TO	to
achieving	VVG	achieve
a	DT	a
deal	NN	deal
to	TO	to
free	VV	free
the	DT	the
remaining	VVG	remain
hostages	NNS	hostage
.	SENT	.
What	WP	what
is	VBZ	be
your	PP$	your
message	NN	message
to	TO	to
him	PP	him
right	RB	right
now	RB	now
?	SENT	?
You	PP	you
know	VVP	know
,	,	,
Dana	NP	Dana
,	,	,
we	PP	we
we	PP	we
we	PP	we
are	VBP	be
just	RB	just
hoping	VVG	hope
that	IN/that	that
he	PP	he
'	POS	'
s	JJ	s
doing	VVG	do
everything	NN	everything
he	PP	he
can	MD	can
.	SENT	.
the	DT	the
situation	NN	situation
is	VBZ	be
dire	JJ	dire
.	SENT	.
It	PP	it
'	POS	'
s	NNS	s
urgent	JJ	urgent
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
him	PP	him
putting	VVG	put
all	DT	all
kind	NN	kind
of	IN	of
hurdles	NNS	hurdle
.	SENT	.
We	PP	we
know	VVP	know
the	DT	the
Israeli	JJ	Israeli
people	NNS	people
are	VBP	be
going	VVG	go
out	RP	out
in	IN	in
large	JJ	large
numbers	NNS	number
and	CC	and
calling	VVG	call
the	DT	the
government	NN	government
to	TO	to
do	VV	do
what	WP	what
their	PP$	their
job	NN	job
is	VBZ	be
,	,	,
to	TO	to
bring	VV	bring
the	DT	the
hostages	NNS	hostage
home	NN	home
.	SENT	.
101	CD	@card@
hostage	NN	hostage
is	VBZ	be
left	VVN	leave
.	SENT	.
And	CC	and
,	,	,
dying	VVG	die
there	RB	there
.	SENT	.
And	CC	and
every	DT	every
day	NN	day
is	VBZ	be
huge	JJ	huge
risk	NN	risk
for	IN	for
each	DT	each
one	CD	one
of	IN	of
them	PP	them
.	SENT	.
So	IN	so
we	PP	we
we	PP	we
urge	VVP	urge
him	PP	him
to	TO	to
do	VV	do
what	WP	what
is	VBZ	be
tasked	VVN	task
to	TO	to
do	VV	do
,	,	,
in	IN	in
Israel	NP	Israel
.	SENT	.
but	CC	but
just	RB	just
as	RB	as
well	RB	well
,	,	,
we	PP	we
are	VBP	be
calling	VVG	call
on	IN	on
our	PP$	our
leaders	NNS	leader
here	RB	here
in	IN	in
United	NP	United
States	NPS	States
to	TO	to
do	VV	do
what	WP	what
they	PP	they
want	VVP	want
us	PP	us
to	TO	to
do	VV	do
.	SENT	.
We	PP	we
are	VBP	be
calling	VVG	call
on	IN	on
President	NP	President
Biden	NP	Biden
,	,	,
on	IN	on
Vice	NP	Vice
President	NP	President
Harris	NP	Harris
to	TO	to
do	VV	do
everything	NN	everything
in	IN	in
their	PP$	their
power	NN	power
to	TO	to
reach	VV	reach
a	DT	a
deal	NN	deal
and	CC	and
bring	VV	bring
the	DT	the
hostages	NNS	hostage
back	RB	back
.	SENT	.
We	PP	we
were	VBD	be
warning	VVG	warn
about	IN	about
that	DT	that
kind	NN	kind
of	IN	of
situation	NN	situation
.	SENT	.
It	PP	it
'	POS	'
s	VVG	s
such	PDT	such
a	DT	a
risky	JJ	risky
time	NN	time
for	IN	for
all	PDT	all
those	DT	those
hostages	NNS	hostage
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
Hirsch	NP	Hirsch
managed	VVD	manage
to	TO	to
survive	VV	survive
11	CD	@card@
months	NNS	month
in	IN	in
captivity	NN	captivity
.	SENT	.
He	PP	he
lost	VVD	lose
his	PP$	his
arm	NN	arm
.	SENT	.
And	CC	and
after	IN	after
all	DT	all
of	IN	of
this	DT	this
,	,	,
to	TO	to
be	VB	be
killed	VVN	kill
a	DT	a
few	JJ	few
days	NNS	day
,	,	,
maybe	RB	maybe
before	IN	before
a	DT	a
deal	NN	deal
.	SENT	.
Yeah	RB	yeah
,	,	,
it	PP	it
'	POS	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
really	RB	really
devastating	JJ	devastating
.	SENT	.
Really	RB	really
is	VBZ	be
.	SENT	.
Of	IN	of
course	NN	course
it	PP	it
is	VBZ	be
.	SENT	.
Or	CC	or
not	RB	not
.	SENT	.
Finally	RB	finally
,	,	,
you	PP	you
say	VVP	say
a	DT	a
verse	NN	verse
from	IN	from
Psalm	NN	psalm
23	CD	@card@
every	DT	every
day	NN	day
,	,	,
the	DT	the
Psalm	NN	psalm
of	IN	of
David	NP	David
,	,	,
to	TO	to
send	VV	send
your	PP$	your
son	NN	son
protection	NN	protection
.	SENT	.
Can	MD	can
you	PP	you
share	VV	share
what	WP	what
you	PP	you
say	VVP	say
before	IN	before
we	PP	we
let	VVP	let
you	PP	you
go	VV	go
?	SENT	?
You	PP	you
know	VVP	know
,	,	,
I	PP	I
,	,	,
I	PP	I
not	RB	not
only	RB	only
say	VV	say
the	DT	the
Psalm	NN	psalm
,	,	,
you	PP	you
know	VVP	know
,	,	,
I	PP	I
pray	VVP	pray
for	IN	for
my	PP$	my
son	NN	son
every	DT	every
single	JJ	single
day	NN	day
.	SENT	.
I	PP	I
pray	VVP	pray
for	IN	for
the	DT	the
hostages	NNS	hostage
,	,	,
as	RB	as
did	VVD	do
Rachel	NP	Rachel
Goldberg	NP	Goldberg
.	SENT	.
You	PP	you
know	VVP	know
,	,	,
we	PP	we
we	PP	we
feel	VVP	feel
that	IN/that	that
we	PP	we
'	''	'
re	IN	re
doing	VVG	do
our	PP$	our
share	NN	share
.	SENT	.
You	PP	you
know	VVP	know
,	,	,
and	CC	and
and	CC	and
and	CC	and
praying	VVG	pray
and	CC	and
advocating	VVG	advocate
and	CC	and
speaking	VVG	speak
up	RP	up
for	IN	for
them	PP	them
.	SENT	.
It	PP	it
'	POS	'
s	JJ	s
time	NN	time
for	IN	for
the	DT	the
leaders	NNS	leader
to	TO	to
get	VV	get
this	DT	this
done	VVN	do
and	CC	and
get	VV	get
them	PP	them
out	RP	out
.	SENT	.
Enough	RB	enough
is	VBZ	be
enough	JJ	enough
.	SENT	.
the	DT	the
families	NNS	family
have	VHP	have
been	VBN	be
warning	VVG	warn
about	IN	about
this	DT	this
.	SENT	.
The	DT	the
writing	NN	writing
