OPTIMISM	NN	optimism
THAT	IN/that	that
I	PP	I
WAS	VBD	be
HOPING	VVG	hope
FOR	IN	for
.	SENT	.
SHE	PP	she
WAS	VBD	be
EITHER	RB	either
DEAD	JJ	dead
OR	CC	or
IN	IN	in
GAZA	NP	Gaza
.	SENT	.
AND	CC	and
IF	IN	if
YOU	PP	you
KNOW	VVP	know
ANYTHING	NN	anything
ABOUT	IN	about
WHAT	WP	what
THEY	PP	they
DO	VVP	do
TO	TO	to
PEOPLE	NNS	people
IN	IN	in
GAZA	NP	Gaza
,	,	,
THAT	WDT	that
IS	VBZ	be
WORSE	JJR	bad
THAN	IN	than
DEATH	NN	death
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
EMILY	NP	Emily
'	POS	'
S	NP	S
FATHER	NN	father
WAS	VBD	be
PLANNING	VVG	plan
TO	TO	to
BURR	VV	burr
ARE	VBP	be
YOU	PP	you
HIS	PP$	his
DAUGHTER	NN	daughter
ALONGSIDE	IN	alongside
HER	PP$	her
MOTHER	NN	mother
,	,	,
WITH	IN	with
WHO	WP	who
DIED	VVD	die
FROM	IN	from
CANCER	NN	cancer
SEVERAL	JJ	several
YEARS	NNS	year
AGO	RB	ago
,	,	,
AND	CC	and
NOW	RB	now
HE	PP	he
IS	VBZ	be
WAITING	VVG	wait
FOR	IN	for
A	DT	a
CHANCE	NN	chance
TO	TO	to
HUG	VV	hug
HIS	PP$	his
BEAUTIFUL	JJ	beautiful
LITTLE	JJ	little
GIRL	NN	girl
.	SENT	.
EMILY	NP	Emily
TURNS	VVZ	turn
9	CD	@card@
THIS	DT	this
FRIDAY	NP	Friday
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
SHE	PP	she
WON	VVD	win
'	''	'
T	NN	T
EVEN	RB	even
KNOW	VV	know
WHAT	WDT	what
DAY	NN	day
IT	PP	it
IS	VBZ	be
.	SENT	.
SHE	PP	she
WON	VVD	win
'	''	'
T	NN	T
KNOW	VVP	know
IT	PP	it
'	''	'
S	NN	S
HER	PP$	her
BIRTHDAY	NN	birthday
.	SENT	.
THERE	EX	there
WILL	MD	will
BE	VB	be
NO	DT	no
BIRTHDAY	NN	birthday
CAKE	NN	cake
.	SENT	.
NO	DT	no
PARTY	NN	party
.	SENT	.
NO	DT	no
FRIENDS	NNS	friend
.	SENT	.
JUST	RB	just
BE	VB	be
PETRIFIED	VVN	petrify
IN	IN	in
A	DT	a
TUNNEL	NN	tunnel
UNDER	IN	under
GAZA	NP	Gaza
.	SENT	.
THAT	IN/that	that
'	POS	'
S	NP	S
HER	PP$	her
BIRTHDAY	NN	birthday
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
EMILY	NP	Emily
'	POS	'
S	NP	S
FATHER	NN	father
,	,	,
THOMAS	NP	Thomas
HAND	NN	hand
,	,	,
IS	VBZ	be
WITH	IN	with
US	NP	US
NOW	NP	NOW
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
GOOD	JJ	good
MORNING	NN	morning
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
GOOD	JJ	good
MORNING	NN	morning
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
WE	PP	we
HAVE	VHP	have
BEEN	VBN	be
WATCHING	VVG	watch
YOU	PP	you
,	,	,
GRIEVING	VVG	grieve
WITH	IN	with
YOU	PP	you
,	,	,
HOPING	VVG	hope
FOR	IN	for
YOU	PP	you
.	SENT	.
NOW	RB	now
YOU	PP	you
ARE	VBP	be
HERE	RB	here
IN	IN	in
THE	DT	the
FIGHT	NN	fight
OF	IN	of
YOUR	PP$	your
LIFE	NN	life
FOR	IN	for
YOUR	PP$	your
DAUGHTER	NN	daughter
,	,	,
WHO	WP	who
TURNS	VVZ	turn
9	CD	@card@
ON	NP	ON
FRIDAY	NP	Friday
.	SENT	.
TELL	VV	tell
US	PP	us
ABOUT	IN	about
THAT	DT	that
FIGHT	NN	fight
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
WE	PP	we
HAVE	VHP	have
BEEN	VBN	be
WORKING	VVG	work
NON	JJ	non
-	NN	-
STOP	NN	stop
TO	TO	to
PUT	VV	put
PRESSURE	NN	pressure
ON	IN	on
ALL	PDT	all
THE	DT	the
GOVERNMENTS	NNS	government
ALL	RB	all
OVER	IN	over
THE	DT	the
WORLD	NN	world
TO	TO	to
DO	VV	do
THEIR	PP$	their
BEST	JJS	good
TO	TO	to
GET	VV	get
,	,	,
PARTICULARLY	RB	particularly
MY	PP$	my
LITTLE	JJ	little
EMILY	NP	Emily
,	,	,
BACK	RB	back
HOME	NP	HOME
.	SENT	.
SHE	PP	she
IS	VBZ	be
AN	DT	an
IRISH	JJ	Irish
CITIZEN	NN	citizen
,	,	,
SO	RB	so
WE	PP	we
PUT	VVD	put
A	DT	a
LOT	NN	lot
OF	IN	of
PRESSURE	NN	pressure
ON	IN	on
THE	DT	the
IRISH	JJ	Irish
GOVERNMENT	NN	government
.	SENT	.
WE	PP	we
ARE	VBP	be
DOING	VVG	do
EVERYTHING	NN	everything
THAT	IN/that	that
WE	PP	we
POSSIBLY	RB	possibly
CAN	MD	can
TO	TO	to
GET	VV	get
HER	PP$	her
HOME	NP	HOME
,	,	,
AND	CC	and
ALL	PDT	all
THE	DT	the
HOSTAGES	NNS	hostage
.	SENT	.
AT	IN	at
LEAST	JJS	least
THE	DT	the
CHILDREN	NNS	child
.	SENT	.
THEY	PP	they
COULD	MD	could
START	VV	start
OFF	RP	off
WITH	IN	with
THE	DT	the
BABIES	NNS	baby
AND	CC	and
THE	DT	the
CHILDREN	NNS	child
.	SENT	.
THEY	PP	they
'	POS	'
VE	JJ	VE
GOT	VVN	get
BABIES	NNS	baby
BEING	VBG	be
KIDNAPPED	VVN	kidnap
OVERRE	NP	OVERRE
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
POPPY	NN	poppy
MAKES	VVZ	make
A	DT	a
SALIENT	JJ	salient
POINT	NN	point
.	SENT	.
ALL	DT	all
OF	IN	of
US	PP	us
WERE	VBD	be
SHAKEN	VVN	shake
WHEN	WRB	when
WE	PP	we
WATCHED	VVD	watch
YOUR	PP$	your
INTERVIEW	NN	interview
WITH	IN	with
CLARISSA	NP	Clarissa
WARD	NN	ward
,	,	,
I	PP	I
THINK	VVP	think
,	,	,
AND	CC	and
WE	PP	we
KIND	RB	kind
OF	IN	of
RODE	VVD	ride
THE	DT	the
ROLLER	NN	roller
COASTER	NN	coaster
WITH	IN	with
YOU	PP	you
,	,	,
OBVIOUSLY	RB	obviously
,	,	,
TO	TO	to
A	DT	a
SIGNIFICANTLY	RB	significantly
LESS	JJR	less
DEGREE	NN	degree
WHEN	WRB	when
WE	PP	we
SAW	VVD	see
YOUR	PP$	your
INTERVIEW	NN	interview
WITH	IN	with
ED	NN	editor
LAVANDERA	NP	LAVANDERA
WHERE	WRB	where
THINGS	NNS	thing
HAD	VHD	have
CHANGED	VVN	change
.	SENT	.
WHAT	WP	what
HAS	VHZ	have
BEEN	VBN	be
THE	DT	the
RESPONSE	NN	response
TO	TO	to
YOU	PP	you
?	SENT	?
I	PP	I
CAN	MD	can
'	''	'
T	NN	T
IMAGINE	VV	imagine
HOW	WRB	how
PAINFUL	JJ	painful
AND	CC	and
DIFFICULT	JJ	difficult
IT	PP	it
IS	VBZ	be
TO	TO	to
HAVE	VH	have
TO	TO	to
COME	VV	come
OUT	RP	out
AND	CC	and
TALK	NP	TALK
ABOUT	IN	about
THIS	DT	this
.	SENT	.
I	PP	I
ALSO	RB	also
IMAGINE	VV	imagine
THE	DT	the
SUPPORT	NP	SUPPORT
FOR	IN	for
WHAT	WP	what
YOU	PP	you
HAVE	VHP	have
BEEN	VBN	be
SAYING	VVG	say
HAS	VHZ	have
BEEN	VBN	be
TREMENDOUS	JJ	tremendous
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
THE	DT	the
SUPPORT	NP	SUPPORT
WORLDWIDE	RB	worldwide
IS	VBZ	be
TREMENDOUS	JJ	tremendous
,	,	,
AND	CC	and
I	PP	I
'	POS	'
VE	NN	VE
GOT	VVD	get
PEOPLE	NNS	people
IN	IN	in
BRAZIL	NN	brazil
SENDING	VVG	send
ME	PP	me
MESSAGES	NNS	message
,	,	,
COMFORT	NN	comfort
AND	CC	and
SUPPORT	NP	SUPPORT
.	SENT	.
YEAH	RB	yeah
.	SENT	.
THE	DT	the
CAMPAIGN	NN	campaign
IS	VBZ	be
VIRAL	JJ	viral
,	,	,
I	PP	I
SUPPOSE	VVP	suppose
YOU	PP	you
'	''	'
D	NP	D
CALLED	VVD	call
IT	PP	it
.	SENT	.
AND	CC	and
IT	PP	it
'	POS	'
S	NP	S
BEEN	VBN	be
GREAT	JJ	great
,	,	,
THE	DT	the
SUPPORT	NP	SUPPORT
THAT	IN/that	that
WE	PP	we
'	POS	'
RE	NN	re
BEING	VBG	be
GIVEN	VVN	give
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
IN	IN	in
THE	DT	the
LAST	JJ	last
24	CD	@card@
HOURS	NNS	hour
,	,	,
PRESIDENT	NN	president
BIDEN	NP	Biden
HAD	VHD	have
A	DT	a
LENGTHY	JJ	lengthy
CALL	NN	call
WITH	IN	with
PRIME	JJ	prime
MINISTER	NN	minister
BENJAMIN	NN	benjamin
NETANYAHU	NP	NETANYAHU
AND	NP	AND
PRESIDENT	NN	president
BIDEN	NP	Biden
CAME	VVD	come
OUT	RP	out
OF	IN	of
THAT	DT	that
CALL	NN	call
AND	CC	and
SAID	VVD	say
HE	PP	he
BELIEVES	VVZ	believe
IT	PP	it
'	''	'
S	NP	S
,	,	,
QUOTE	NN	quote
,	,	,
GOING	VVG	go
TO	TO	to
HAPPEN	VV	happen
.	SENT	.
DOES	VVZ	do
THAT	RB	that
GIVE	VV	give
YOU	PP	you
MORE	JJR	more
HOPE	NN	hope
?	SENT	?
THAT	IN/that	that
THEY	PP	they
ARE	VBP	be
GOING	VVG	go
TO	TO	to
GET	VV	get
OUT	RP	out
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
OF	IN	of
COURSE	NN	course
.	SENT	.
YOU	PP	you
KNOW	VVP	know
,	,	,
AMERICA	NP	America
HAS	VHZ	have
A	DT	a
LOT	NN	lot
OF	IN	of
INFLUENCE	NN	influence
ALL	RB	all
OVER	IN	over
THE	DT	the
WORLD	NN	world
.	SENT	.
IF	IN	if
HE	PP	he
SAYS	VVZ	say
THAT	IN/that	that
,	,	,
OBVIOUSLY	RB	obviously
,	,	,
HE	PP	he
KNOWS	VVZ	know
MORE	JJR	more
THAN	IN	than
I	PP	I
DO	VVP	do
,	,	,
AND	CC	and
EVERY	DT	every
LITTLE	JJ	little
BIT	NN	bit
OF	IN	of
INFORMATION	NN	information
GIVES	VVZ	give
US	PP	us
HOPE	VVP	hope
THAT	IN/that	that
WE	PP	we
CAN	MD	can
GET	VV	get
EMILY	NP	Emily
AND	CC	and
AT	IN	at
LEAST	JJS	least
THE	DT	the
CHILDREN	NNS	child
AND	CC	and
BABIES	NNS	baby
OUT	RP	out
OF	IN	of
GAZA	NP	Gaza
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
HOW	WRB	how
OFTEN	RB	often
ARE	VBP	be
YOU	PP	you
GETTING	VVG	get
INFORMATION	NN	information
EITHER	CC	either
FROM	IN	from
THE	DT	the
IRISH	JJ	Irish
OFFICIALS	NNS	official
,	,	,
THE	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
OFFICIALS	NNS	official
-	NN	-
-	NN	-
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
VERY	RB	very
,	,	,
VERY	RB	very
LITTLE	JJ	little
.	SENT	.
NOBODY	NN	nobody
REALLY	RB	really
KNOWS	VVZ	know
ANYTHING	NN	anything
.	SENT	.
I	PP	I
JUST	RB	just
-	JJ	-
-	NN	-
I	PP	I
KNOW	VVP	know
FOR	IN	for
A	DT	a
FACT	NN	fact
THAT	IN/that	that
SHE	PP	she
'	POS	'
S	NN	S
NOT	RB	not
DEAD	JJ	dead
.	SENT	.
YOU	PP	you
KNOW	VVP	know
FOR	IN	for
A	DT	a
FACT	NN	fact
THAT	IN/that	that
SHE	PP	she
WAS	VBD	be
LED	VVN	lead
AWAY	RB	away
BY	IN	by
HAMAS	JJ	HAMAS
TERRORISTS	NNS	terrorist
.	SENT	.
THERE	EX	there
IS	VBZ	be
EYEWITNESS	NN	eyewitness
ACCOUNTS	NNS	account
OF	IN	of
IT	PP	it
.	SENT	.
SOMEONE	NN	someone
SAW	VVD	see
HER	PP$	her
BEING	VBG	be
LED	VVN	lead
AWAY	RP	away
.	SENT	.
HER	PP	her
AND	CC	and
HER	PP$	her
FRIEND	NN	friend
AND	CC	and
HER	PP$	her
FRIEND	NN	friend
'	POS	'
S	NP	S
MOTHER	NN	mother
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
CAN	MD	can
I	PP	I
ASK	VV	ask
YOU	PP	you
,	,	,
I	PP	I
KNOW	VVP	know
FOR	IN	for
A	DT	a
FACT	NN	fact
,	,	,
THAT	WDT	that
IS	VBZ	be
THE	DT	the
REPORTING	NN	reporting
,	,	,
BUT	CC	but
DO	VVP	do
YOU	PP	you
ALSO	RB	also
FEEL	VVP	feel
IT	PP	it
?	SENT	?
YOU	PP	you
KNOW	VVP	know
,	,	,
PARENTS	NNS	parent
FEEL	VVP	feel
SOMETHING	NN	something
WITH	IN	with
THEIR	PP$	their
CHILDREN	NNS	child
,	,	,
RIGHT	RB	right
,	,	,
A	DT	a
BOND	NN	bond
LIKE	IN	like
NO	DT	no
OTHER	JJ	other
.	SENT	.
CAN	MD	can
YOU	PP	you
FEEL	VV	feel
EMILY	NP	Emily
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
NO	UH	no
.	SENT	.
NO	UH	no
.	SENT	.
MY	PP$	my
FEELINGS	NNS	feeling
,	,	,
I	PP	I
CAN	MD	can
'	''	'
T	NN	T
LET	VV	let
MY	PP$	my
FEELINGS	NNS	feeling
INTERFERE	VV	interfere
WITH	IN	with
GETTING	VVG	get
HER	PP$	her
BACK	NN	back
.	SENT	.
IT	PP	it
'	POS	'
S	NN	S
LIKE	IN	like
A	DT	a
CAMPAIGN	NN	campaign
.	SENT	.
WE	PP	we
JUST	RB	just
KEEP	VVP	keep
MOVING	VVG	move
FORWARD	RB	forward
.	SENT	.
I	PP	I
DON	VVP	don
'	''	'
T	NN	T
EVEN	RB	even
SEE	VVP	see
THE	DT	the
INTERVIEWS	NNS	interview
.	SENT	.
I	PP	I
DON	VVP	don
'	''	'
T	NN	T
HAVE	VHP	have
TIME	NN	time
TO	TO	to
LOOK	VV	look
AT	IN	at
THE	DT	the
INTERVIEWS	NNS	interview
.	SENT	.
I	PP	I
DON	VVP	don
'	''	'
T	NN	T
WATCH	VVP	watch
THE	DT	the
NEWS	NN	news
.	SENT	.
I	PP	I
HAVEN	NN	haven
'	POS	'
T	NN	T
GOT	VVD	get
TIME	NN	time
FOR	IN	for
IT	PP	it
.	SENT	.
IT	PP	it
'	POS	'
S	NN	S
JUST	RB	just
FULL	RB	full
ON	IN	on
GET	VV	get
IT	PP	it
EMILY	NP	Emily
BACK	RB	back
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
TO	TO	to
THAT	DT	that
POINT	NN	point
,	,	,
PART	NN	part
OF	IN	of
THAT	WDT	that
IS	VBZ	be
GOING	VVG	go
TO	TO	to
HAPPEN	VV	happen
IN	IN	in
TIMES	NNS	time
SQUARE	JJ	square
RIGHT	NN	right
IN	IN	in
THE	DT	the
MIDDLE	NN	middle
OF	IN	of
NEW	NP	NEW
YORK	VVP	york
,	,	,
RIGHT	RB	right
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
YEAH	RB	yeah
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
WHAT	WP	what
ARE	VBP	be
YOU	PP	you
DOING	VVG	do
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
BIG	JJ	big
BILLBOARDS	NNS	billboard
.	SENT	.
I	PP	I
GUESS	VVP	guess
,	,	,
FOR	IN	for
SURE	JJ	sure
EMILY	NP	Emily
AND	CC	and
MARCHING	VVG	march
ON	RP	on
FROM	IN	from
THERE	RB	there
.	SENT	.
JUST	RB	just
TO	TO	to
KEEP	VV	keep
EMILY	NP	Emily
-	NN	-
-	NN	-
JUST	RB	just
TO	TO	to
KEEP	VV	keep
HER	PP$	her
ALIVE	JJ	alive
IN	IN	in
PEOPLE	NNS	people
'	POS	'
S	NN	S
MINDS	NNS	mind
AND	CC	and
HEARTS	NNS	heart
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
WE	PP	we
MENTIONED	VVD	mention
,	,	,
AND	CC	and
YOU	PP	you
HAVE	VHP	have
SPOKEN	VVN	speak
ABOUT	RB	about
,	,	,
HER	PP$	her
BIRTHDAY	NN	birthday
ON	IN	on
FRIDAY	NP	Friday
.	SENT	.
BILLBOARDS	NNS	billboard
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
AND	CC	and
DRIVING	VVG	drive
AND	CC	and
NOT	RB	not
BEING	VBG	be
ABLE	JJ	able
TO	TO	to
STOP	VV	stop
AND	CC	and
THINK	VV	think
.	SENT	.
HOW	WRB	how
MUCH	JJ	much
OF	IN	of
THAT	WDT	that
IS	VBZ	be
BECAUSE	IN	because
YOU	PP	you
HAVE	VHP	have
A	DT	a
GOAL	NN	goal
HERE	RB	here
,	,	,
BECAUSE	IN	because
YOU	PP	you
HAVE	VHP	have
A	DT	a
TRUE	JJ	true
PORPS	NP	PORPS
,	,	,
A	DT	a
NORTH	JJ	north
STAR	NN	star
,	,	,
AND	CC	and
HOW	WRB	how
MUCH	JJ	much
OF	IN	of
THAT	WDT	that
IS	VBZ	be
BECAUSE	IN	because
YOU	PP	you
DON	NN	don
'	POS	'
T	NN	T
WANT	VVP	want
TO	TO	to
STOP	VV	stop
AND	CC	and
THINK	VV	think
ABOUT	RB	about
WHAT	WP	what
'	POS	'
S	NP	S
GOING	VVG	go
ON	RP	on
RIGHT	RB	right
NOW	RB	now
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
YEAH	RB	yeah
.	SENT	.
I	PP	I
CAN	MD	can
'	''	'
T	NN	T
.	SENT	.
I	PP	I
ACTUALLY	RB	actually
KEEP	VV	keep
HER	PP	her
IN	IN	in
A	DT	a
SPECIAL	JJ	special
PLACE	NN	place
,	,	,
AND	CC	and
I	PP	I
DON	VVP	don
'	''	'
T	NN	T
WANT	VVP	want
TO	TO	to
IMAGINE	VV	imagine
WHAT	WP	what
SHE	PP	she
'	POS	'
S	NP	S
GOING	VVG	go
THROUGH	RP	through
.	SENT	.
EVERY	DT	every
DAY	NN	day
,	,	,
38	CD	@card@
DAYS	NNS	day
NOW	RB	now
.	SENT	.
I	PP	I
CAN	MD	can
'	''	'
T	NN	T
THINK	VVP	think
ABOUT	IN	about
IT	PP	it
.	SENT	.
IT	PP	it
WOULD	MD	would
BE	VB	be
TOO	RB	too
PAINFUL	JJ	painful
.	SENT	.
SHE	PP	she
IS	VBZ	be
DOWN	RB	down
IN	IN	in
THE	DT	the
TUNNELS	NNS	tunnel
OF	IN	of
GAZA	NP	Gaza
WITH	IN	with
HAMAS	NP	HAMAS
.	SENT	.
I	PP	I
DON	VVP	don
'	''	'
T	NN	T
WANT	VVP	want
TO	TO	to
THINK	VV	think
OF	IN	of
WHAT	WDT	what
CONDITIONS	NNS	condition
SHE	PP	she
'	POS	'
S	NP	S
IN	IN	in
.	SENT	.
HOW	WRB	how
SHE	PP	she
IS	VBZ	be
BEING	VBG	be
TREATED	VVN	treat
.	SENT	.
HOW	WRB	how
SHE	PP	she
IS	VBZ	be
BEING	VBG	be
FED	VVN	feed
.	SENT	.
HOW	WRB	how
SHE	PP	she
IS	VBZ	be
-	NN	-
-	NN	-
IF	IN	if
SHE	PP	she
HAS	VHZ	have
BEEN	VBN	be
GIVEN	VVN	give
WATER	NN	water
.	SENT	.
JUST	RB	just
HAS	VHZ	have
SHE	PP	she
GOT	VVD	get
A	DT	a
TOOTHBRUSH	NN	toothbrush
AND	CC	and
TOOTHPASTE	NN	toothpaste
.	SENT	.
TOILET	NN	toilet
FACILITIES	NNS	facility
.	SENT	.
THESE	DT	these
ARE	VBP	be
TUNNELS	NNS	tunnel
UNDERNEATH	IN	underneath
GAZA	NP	Gaza
.	SENT	.
I	PP	I
DON	VVP	don
'	''	'
T	NN	T
KNOW	VVP	know
.	SENT	.
COULD	MD	could
BE	VB	be
LIKE	IN	like
THE	DT	the
TRAIN	NN	train
CARTS	NNS	cart
IN	IN	in
THE	DT	the
SECOND	JJ	second
WORLD	NN	world
WAR	NN	war
.	SENT	.
THEY	PP	they
WERE	VBD	be
JUST	RB	just
ALL	RB	all
IN	IN	in
A	DT	a
CATTLE	NNS	cattle
CAR	NN	car
AND	CC	and
PE	NN	pe
E	NN	E
&	CC	&
amp	NN	amp
;	:	;
P	NN	P
OO	NP	Oo
WHERE	WRB	where
YOU	PP	you
STOOD	VVD	stand
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
KNOW	VVP	know
YOU	PP	you
SAID	VVD	say
WHEN	WRB	when
YOU	PP	you
GET	VVP	get
HER	PP	her
BACK	RB	back
,	,	,
YOU	PP	you
WILL	MD	will
TAKE	VV	take
HER	PP	her
TO	TO	to
DISNEY	NP	Disney
WORLD	NN	world
AND	CC	and
GIVE	VV	give
HER	PP	her
THE	DT	the
WORLD	NN	world
.	SENT	.
SHE	PP	she
IS	VBZ	be
SO	RB	so
LUCKY	JJ	lucky
TO	TO	to
HAVE	VH	have
YOU	PP	you
.	SENT	.
THANK	VV	thank
YOU	PP	you
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
THANK	VV	thank
YOU	PP	you
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
WE	PP	we
'	POS	'
RE	NN	re
-	NN	-
-	NN	-
I	NP	I
'	POS	'
M	NN	M
NOT	RB	not
GOING	VVG	go
TO	TO	to
SEND	VV	send
HER	PP	her
TO	TO	to
SCHOOL	NN	school
FOR	IN	for
AT	IN	at
LEAST	JJS	least
A	DT	a
YEAR	NN	year
.	SENT	.
WE	PP	we
'	POS	'
RE	NN	re
GOING	VVG	go
TO	TO	to
GIVE	VV	give
HER	PP	her
THE	DT	the
JUST	RB	just
HAPPY	JJ	happy
TIMES	NNS	time
.	SENT	.
AND	CC	and
FIX	VV	fix
HER	PP	her
.	SENT	.
YOU	PP	you
KNOW	VVP	know
,	,	,
SHE	PP	she
IS	VBZ	be
NOT	RB	not
GOING	VVG	go
TO	TO	to
COME	VV	come
BACK	RB	back
-	JJ	-
-	NN	-
NONE	NN	none
OF	IN	of
THEM	PP	them
ARE	VBP	be
GOING	VVG	go
TO	TO	to
COME	VV	come
BACK	RB	back
THE	DT	the
WAY	NN	way
THEY	PP	they
WENT	VVD	go
IN	IN	in
.	SENT	.
THEY	PP	they
ARE	VBP	be
GOING	VVG	go
TO	TO	to
BE	VB	be
MENTALLY	RB	mentally
AND	CC	and
PHYSICALLY	RB	physically
AND	CC	and
EMOTIONALLY	RB	emotionally
BROKEN	VVN	break
.	SENT	.
AND	CC	and
THAT	WDT	that
'	POS	'
S	NP	S
GOING	VVG	go
TO	TO	to
TAKE	VV	take
A	DT	a
LOT	NN	lot
OF	IN	of
FIXING	VVG	fix
.	SENT	.
THAT	IN/that	that
'	POS	'
S	NP	S
GOING	VVG	go
TO	TO	to
TAKE	VV	take
A	DT	a
LOT	NN	lot
OF	IN	of
TIME	NN	time
AND	CC	and
