Breaking	VVG	break
That	WDT	that
'	POS	'
s	NN	S
,	,	,
the	DT	the
Israeli	JJ	Israeli
equivalent	NN	equivalent
of	IN	of
the	DT	the
Navy	NP	Navy
Seals	NP	Seals
,	,	,
as	RB	as
well	RB	well
as	IN	as
by	IN	by
Air	NP	Air
Harlem	NP	Harlem
and	CC	and
,	,	,
Shin	NP	Shin
Bet	NP	Bet
forces	NNS	force
,	,	,
under	IN	under
the	DT	the
command	NN	command
of	IN	of
the	DT	the
162nd	NP	162nd
Division	NP	Division
.	SENT	.
This	DT	this
happened	VVD	happen
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
and	CC	and
that	DT	that
is	VBZ	be
the	DT	the
extent	NN	extent
of	IN	of
the	DT	the
,	,	,
details	NNS	detail
that	WDT	that
we	PP	we
have	VHP	have
for	IN	for
now	RB	now
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
only	RB	only
one	CD	one
of	IN	of
a	DT	a
handful	NN	handful
of	IN	of
,	,	,
Israeli	NP	Israeli
,	,	,
hostages	NNS	hostage
who	WP	who
have	VHP	have
actually	RB	actually
been	VBN	be
rescued	VVN	rescue
in	IN	in
Israeli	JJ	Israeli
military	JJ	military
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
.	SENT	.
I	PP	I
believe	VVP	believe
that	IN/that	that
there	EX	there
have	VHP	have
been	VBN	be
at	IN	at
least	JJS	least
six	CD	six
others	NNS	other
so	RB	so
far	RB	far
who	WP	who
have	VHP	have
been	VBN	be
rescued	VVN	rescue
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
hostages	NNS	hostage
,	,	,
of	IN	of
course	NN	course
,	,	,
who	WP	who
have	VHP	have
actually	RB	actually
gotten	VVN	get
out	RP	out
of	IN	of
Gaza	NP	Gaza
,	,	,
got	VVD	get
out	RP	out
during	IN	during
that	DT	that
November	NP	November
week	NN	week
long	JJ	long
truce	NN	truce
.	SENT	.
but	CC	but
no	DT	no
doubt	NN	doubt
that	IN/that	that
this	DT	this
is	VBZ	be
incredible	JJ	incredible
news	NN	news
for	IN	for
his	PP$	his
family	NN	family
,	,	,
this	DT	this
52	CD	@card@
year	NN	year
old	JJ	old
man	NN	man
,	,	,
Kaid	NP	Kaid
Farhan	NP	Farhan
al	NP	al
-	NP	-
Khatib	NP	Khatib
.	SENT	.
He	PP	he
was	VBD	be
actually	RB	actually
working	VVG	work
as	IN	as
a	DT	a
security	NN	security
guard	NN	guard
near	IN	near
the	DT	the
Gaza	NP	Gaza
border	NN	border
on	IN	on
the	DT	the
morning	NN	morning
of	IN	of
October	NP	October
7th	JJ	7th
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
when	WRB	when
he	PP	he
was	VBD	be
taken	VVN	take
captive	NN	captive
by	IN	by
Hamas	NNS	Hamas
and	CC	and
whisked	VVN	whisk
away	RB	away
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
He	PP	he
has	VHZ	have
been	VBN	be
there	RB	there
now	RB	now
,	,	,
for	IN	for
the	DT	the
last	JJ	last
,	,	,
ten	CD	ten
and	CC	and
a	DT	a
half	JJ	half
months	NNS	month
as	IN	as
a	DT	a
captive	NN	captive
of	IN	of
Hamas	NP	Hamas
.	SENT	.
So	RB	so
obviously	RB	obviously
some	DT	some
very	RB	very
rare	JJ	rare
and	CC	and
very	RB	very
good	JJ	good
news	NN	news
,	,	,
today	NN	today
,	,	,
for	IN	for
him	PP	him
and	CC	and
his	PP$	his
family	NN	family
,	,	,
ten	CD	ten
and	CC	and
a	DT	a
half	JJ	half
months	NNS	month
in	IN	in
captivity	NN	captivity
,	,	,
just	RB	just
incredible	JJ	incredible
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
we	PP	we
'	POS	'
ll	NN	ll
,	,	,
you	PP	you
know	VVP	know
,	,	,
are	VBP	be
awaiting	VVG	await
the	DT	the
details	NNS	detail
of	IN	of
this	DT	this
operation	NN	operation
as	IN	as
to	TO	to
how	WRB	how
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
pinpoint	VV	pinpoint
where	WRB	where
he	PP	he
was	VBD	be
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
,	,	,
you	PP	you
know	VVP	know
,	,	,
the	DT	the
,	,	,
the	DT	the
ongoing	JJ	ongoing
the	NP	the
,	,	,
the	DT	the
hostage	NN	hostage
,	,	,
release	NN	release
and	CC	and
ceasefire	NN	ceasefire
talks	NNS	talk
that	WDT	that
remain	VVP	remain
ongoing	JJ	ongoing
.	SENT	.
Do	VV	do
you	PP	you
see	VV	see
this	DT	this
rescue	NN	rescue
operation	NN	operation
impacting	VVG	impact
the	DT	the
talks	NNS	talk
in	IN	in
any	DT	any
way	NN	way
?	SENT	?
Jeremy	NP	Jeremy
?	SENT	?
It	PP	it
is	VBZ	be
really	RB	really
difficult	JJ	difficult
to	TO	to
know	VV	know
the	DT	the
extent	NN	extent
to	TO	to
which	WDT	which
this	DT	this
will	MD	will
actually	RB	actually
impact	VV	impact
the	DT	the
talks	NNS	talk
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
anytime	RB	anytime
something	NN	something
happens	VVZ	happen
on	IN	on
the	DT	the
ground	NN	ground
,	,	,
whether	IN	whether
it	PP	it
is	VBZ	be
a	DT	a
strike	NN	strike
in	IN	in
Gaza	NP	Gaza
,	,	,
a	DT	a
rescue	NN	rescue
operation	NN	operation
or	CC	or
anything	NN	anything
else	RB	else
,	,	,
it	PP	it
can	MD	can
have	VH	have
some	DT	some
kind	NN	kind
of	IN	of
an	DT	an
impact	NN	impact
if	IN	if
not	RB	not
on	IN	on
the	DT	the
talks	NNS	talk
themselves	PP	themselves
,	,	,
and	CC	and
certainly	RB	certainly
on	IN	on
the	DT	the
psychology	NN	psychology
of	IN	of
the	DT	the
populations	NNS	population
that	WDT	that
are	VBP	be
being	VBG	be
represented	VVN	represent
by	IN	by
the	DT	the
different	JJ	different
parties	NNS	party
at	IN	at
the	DT	the
negotiated	VVN	negotiate
table	NN	table
.	SENT	.
and	CC	and
this	DT	this
will	MD	will
be	VB	be
a	DT	a
boost	NN	boost
,	,	,
of	IN	of
course	NN	course
,	,	,
for	IN	for
Israeli	JJ	Israeli
morale	NN	morale
to	TO	to
see	VV	see
that	IN/that	that
another	DT	another
hostage	NN	hostage
has	VHZ	have
indeed	RB	indeed
been	VBN	be
rescued	VVN	rescue
from	IN	from
captivity	NN	captivity
.	SENT	.
But	CC	but
I	PP	I
think	VVP	think
that	IN/that	that
all	DT	all
of	IN	of
the	DT	the
families	NNS	family
of	IN	of
the	DT	the
hostages	NNS	hostage
are	VBP	be
pretty	RB	pretty
clear	JJ	clear
eyed	VVN	eye
at	IN	at
this	DT	this
point	NN	point
,	,	,
that	WDT	that
they	PP	they
are	VBP	be
not	RB	not
counting	VVG	count
on	IN	on
additional	JJ	additional
Israeli	JJ	Israeli
rescue	NN	rescue
operations	NNS	operation
to	TO	to
get	VV	get
all	DT	all
of	IN	of
their	PP$	their
loved	VVN	love
ones	NNS	one
out	RP	out
of	IN	of
Gaza	NP	Gaza
.	SENT	.
They	PP	they
know	VVP	know
and	CC	and
certainly	RB	certainly
a	DT	a
big	JJ	big
portion	NN	portion
of	IN	of
the	DT	the
Israeli	JJ	Israeli
government	NN	government
knows	VVZ	know
,	,	,
that	IN/that	that
it	PP	it
is	VBZ	be
ultimately	RB	ultimately
a	DT	a
deal	NN	deal
with	IN	with
Hamas	NNS	Hamas
that	WDT	that
will	MD	will
lead	VV	lead
to	TO	to
the	DT	the
release	NN	release
of	IN	of
the	DT	the
remaining	VVG	remain
hostages	NNS	hostage
and	CC	and
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
can	MD	can
that	RB	that
happen	VV	happen
quickly	RB	quickly
enough	RB	enough
for	IN	for
,	,	,
more	JJR	more
of	IN	of
them	PP	them
to	TO	to
come	VV	come
home	NN	home
alive	RB	alive
rather	RB	rather
than	IN	than
dead	JJ	dead
,	,	,
as	IN	as
we	PP	we
have	VHP	have
seen	VVN	see
a	DT	a
number	NN	number
of	IN	of
the	DT	the
bodies	NNS	body
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
,	,	,
some	DT	some
of	IN	of
whom	WP	whom
,	,	,
died	VVN	die
only	RB	only
in	IN	in
recent	JJ	recent
months	NNS	month
,	,	,
being	VBG	be
brought	VVN	bring
back	RB	back
to	TO	to
Israel	NP	Israel
,	,	,
in	IN	in
body	NN	body
bags	NNS	bag
.	SENT	.
Sadly	RB	sadly
,	,	,
rather	RB	rather
than	IN	than
coming	VVG	come
home	NN	home
alive	RB	alive
,	,	,
we	PP	we
know	VVP	know
that	IN/that	that
those	DT	those
negotiations	NNS	negotiation
are	VBP	be
still	RB	still
ongoing	JJ	ongoing
at	IN	at
a	DT	a
technical	JJ	technical
level	NN	level
in	IN	in
Cairo	NP	Cairo
right	RB	right
now	RB	now
.	SENT	.
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
said	VVN	say
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
significant	JJ	significant
progress	NN	progress
over	IN	over
the	DT	the
weekend	NN	weekend
towards	IN	towards
a	DT	a
deal	NN	deal
.	SENT	.
but	CC	but
it	PP	it
is	VBZ	be
still	RB	still
very	RB	very
difficult	JJ	difficult
to	TO	to
know	VV	know
whether	IN	whether
or	CC	or
not	RB	not
these	DT	these
talks	NNS	talk
will	MD	will
actually	RB	actually
lead	VV	lead
to	TO	to
an	DT	an
agreement	NN	agreement
that	WDT	that
would	MD	would
see	VV	see
dozens	NNS	dozen
more	JJR	more
hostages	NNS	hostage
released	VVN	release
.	SENT	.
Yeah	RB	yeah
.	SENT	.
The	DT	the
last	JJ	last
rescue	NN	rescue
that	IN/that	that
we	PP	we
saw	VVD	see
,	,	,
happened	VVD	happen
,	,	,
in	IN	in
June	NP	June
where	WRB	where
we	PP	we
for	IN	for
captives	NNS	captive
were	VBD	be
released	VVN	release
.	SENT	.
And	CC	and
that	DT	that
came	VVD	come
,	,	,
amid	IN	amid
a	DT	a
major	JJ	major
Israeli	JJ	Israeli
air	NN	air
and	CC	and
ground	NN	ground
offensive	NN	offensive
where	WRB	where
dozens	NNS	dozen
of	IN	of
people	NNS	people
,	,	,
were	VBD	be
killed	VVN	kill
as	IN	as
a	DT	a
result	NN	result
.	SENT	.
Are	VBP	be
we	PP	we
getting	VVG	get
any	DT	any
more	JJR	more
information	NN	information
about	IN	about
this	DT	this
hostage	NN	hostage
rescue	NN	rescue
operation	NN	operation
?	SENT	?
As	RB	as
of	IN	of
now	RB	now
,	,	,
no	UH	no
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
we	PP	we
are	VBP	be
looking	VVG	look
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN/that	that
I	PP	I
will	MD	will
be	VB	be
looking	VVG	look
for	IN	for
as	RB	as
well	RB	well
is	VBZ	be
to	TO	to
see	VV	see
,	,	,
you	PP	you
know	VVP	know
,	,	,
how	WRB	how
heavy	JJ	heavy
was	VBD	be
this	DT	this
Israeli	JJ	Israeli
military	JJ	military
operation	NN	operation
in	IN	in
terms	NNS	term
of	IN	of
,	,	,
collateral	JJ	collateral
damage	NN	damage
and	CC	and
casualties	NNS	casualty
on	IN	on
the	DT	the
ground	NN	ground
?	SENT	?
We	PP	we
have	VHP	have
seen	VVN	see
in	IN	in
the	DT	the
past	NN	past
that	IN/that	that
when	WRB	when
the	DT	the
Israeli	JJ	Israeli
military	NN	military
does	VVZ	do
carry	VV	carry
out	RP	out
these	DT	these
rescue	NN	rescue
operations	NNS	operation
,	,	,
they	PP	they
tend	VVP	tend
to	TO	to
,	,	,
do	VV	do
quite	RB	quite
a	DT	a
bit	NN	bit
of	IN	of
damage	NN	damage
on	IN	on
the	DT	the
ground	NN	ground
,	,	,
bombing	VVG	bomb
the	DT	the
area	NN	area
in	IN	in
order	NN	order
to	TO	to
try	VV	try
and	CC	and
send	VV	send
their	PP$	their
special	JJ	special
forces	NNS	force
in	IN	in
safely	RB	safely
to	TO	to
rescue	VV	rescue
these	DT	these
hostages	NNS	hostage
.	SENT	.
But	CC	but
as	IN	as
we	PP	we
saw	VVD	see
in	IN	in
the	DT	the
previous	JJ	previous
instance	NN	instance
,	,	,
of	IN	of
course	NN	course
,	,	,
of	IN	of
those	DT	those
four	CD	four
hostages	NNS	hostage
who	WP	who
were	VBD	be
rescued	VVN	rescue
,	,	,
back	RB	back
in	IN	in
June	NP	June
,	,	,
dozens	NNS	dozen
of	IN	of
Palestinians	NPS	Palestinians
on	IN	on
the	DT	the
ground	NN	ground
were	VBD	be
killed	VVN	kill
,	,	,
including	VVG	include
a	DT	a
number	NN	number
of	IN	of
civilians	NNS	civilian
who	WP	who
were	VBD	be
part	NN	part
of	IN	of
that	DT	that
death	NN	death
.	SENT	.
All	DT	all
right	NN	right
.	SENT	.
Jeremy	NP	Jeremy
Diamond	NP	Diamond
,	,	,
I	PP	I
know	VVP	know
this	DT	this
is	VBZ	be
a	DT	a
developing	VVG	develop
story	NN	story
,	,	,
right	RB	right
?	SENT	?
We	PP	we
have	VHP	have
,	,	,
Gideon	NP	Gideon
Levy	NP	Levy
with	IN	with
us	PP	us
now	RB	now
from	IN	from
Haaretz	NP	Haaretz
.	SENT	.
to	TO	to
talk	VV	talk
more	JJR	more
about	IN	about
this	DT	this
.	SENT	.
Jeremy	NP	Jeremy
,	,	,
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
,	,	,
for	IN	for
getting	VVG	get
up	RP	up
quickly	RB	quickly
for	IN	for
that	DT	that
report	NN	report
.	SENT	.
first	RB	first
off	RB	off
,	,	,
Gideon	NP	Gideon
,	,	,
please	VVP	please
give	VV	give
me	PP	me
your	PP$	your
reaction	NN	reaction
to	TO	to
this	DT	this
latest	JJS	late
,	,	,
hostage	NN	hostage
rescue	NN	rescue
operation	NN	operation
.	SENT	.
What	WP	what
do	VVP	do
you	PP	you
know	VVP	know
?	SENT	?
First	JJ	first
of	IN	of
all	DT	all
,	,	,
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
it	PP	it
'	POS	'
s	JJ	s
happy	JJ	happy
news	NN	news
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
on	IN	on
a	DT	a
humanitarian	JJ	humanitarian
basis	NN	basis
,	,	,
everyone	NN	everyone
is	VBZ	be
something	NN	something
.	SENT	.
And	CC	and
in	IN	in
this	DT	this
case	NN	case
,	,	,
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
Bedouin	NN	Bedouin
of	IN	of
Israel	NP	Israel
.	SENT	.
I	PP	I
think	VVP	think
he	PP	he
got	VVD	get
a	DT	a
granddaughter	NN	granddaughter
,	,	,
by	IN	by
the	DT	the
time	NN	time
that	IN/that	that
he	PP	he
was	VBD	be
in	IN	in
,	,	,
in	IN	in
captivity	NN	captivity
and	CC	and
,	,	,
and	CC	and
,	,	,
you	PP	you
know	VVP	know
,	,	,
each	DT	each
hostages	NNS	hostage
a	DT	a
whole	JJ	whole
world	NN	world
.	SENT	.
But	CC	but
it	PP	it
shouldn	NP	shouldn
'	POS	'
t	NN	t
change	VV	change
our	PP$	our
minds	NNS	mind
.	SENT	.
The	DT	the
hostages	NNS	hostage
will	MD	will
not	RB	not
be	VB	be
released	VVN	release
by	IN	by
such	JJ	such
operations	NNS	operation
here	RB	here
and	CC	and
there	RB	there
,	,	,
here	RB	here
at	IN	at
both	CC	both
the	DT	the
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
living	NN	living
hostage	NN	hostage
.	SENT	.
But	CC	but
the	DT	the
hostages	NNS	hostage
will	MD	will
be	VB	be
released	VVN	release
only	RB	only
in	IN	in
a	DT	a
deal	NN	deal
which	WDT	which
will	MD	will
end	VV	end
this	DT	this
war	NN	war
.	SENT	.
There	EX	there
are	VBP	be
no	DT	no
shortcuts	NNS	shortcut
.	SENT	.
and	CC	and
I	PP	I
'	POS	'
ll	NNS	ll
ask	VVP	ask
you	PP	you
the	DT	the
question	VVP	question
that	IN/that	that
I	PP	I
asked	VVD	ask
Jeremy	NP	Jeremy
about	RB	about
,	,	,
you	PP	you
know	VVP	know
,	,	,
how	WRB	how
do	VVP	do
you	PP	you
see	VV	see
how	WRB	how
do	VVP	do
you	PP	you
see	VVP	see
these	DT	these
rescue	NN	rescue
operations	NNS	operation
?	SENT	?
And	CC	and
the	DT	the
last	JJ	last
one	CD	one
in	IN	in
June	NP	June
,	,	,
we	PP	we
saw	VVD	see
,	,	,
quite	RB	quite
a	DT	a
high	JJ	high
number	NN	number
of	IN	of
casualties	NNS	casualty
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
.	SENT	.
How	WRB	how
do	VVP	do
you	PP	you
see	VVP	see
these	DT	these
hostage	NN	hostage
rescue	NN	rescue
operations	NNS	operation
potentially	RB	potentially
impacting	VVG	impact
,	,	,
the	DT	the
ongoing	JJ	ongoing
talks	NNS	talk
where	WRB	where
we	PP	we
know	VVP	know
there	EX	there
are	VBP	be
huge	JJ	huge
sticking	VVG	stick
points	NNS	point
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
the	DT	the
ongoing	JJ	ongoing
talks	NNS	talk
,	,	,
leading	VVG	lead
to	TO	to
nowhere	NN	nowhere
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
much	JJ	much
to	TO	to
put	VV	put
in	IN	in
risk	NN	risk
.	SENT	.
But	CC	but
what	WP	what
is	VBZ	be
in	IN	in
risk	NN	risk
,	,	,
obviously	RB	obviously
,	,	,
are	VBP	be
lives	NNS	life
of	IN	of
innocent	JJ	innocent
Palestinians	NNS	Palestinian
in	IN	in
those	DT	those
operations	NNS	operation
.	SENT	.
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
about	IN	about
this	DT	this
one	CD	one
.	SENT	.
The	DT	the
last	JJ	last
operation	NN	operation
in	IN	in
which	WDT	which
there	EX	there
were	VBD	be
only	RB	only
bodies	NNS	body
brought	VVN	bring
to	TO	to
Israel	NP	Israel
,	,	,
dozens	NNS	dozen
of	IN	of
Palestinians	NNS	Palestinian
sprayed	VVN	spray
in	IN	in
their	PP$	their
lives	NNS	life
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
obviously	RB	obviously
unacceptable	JJ	unacceptable
,	,	,
especially	RB	especially
when	WRB	when
it	PP	it
is	VBZ	be
about	RB	about
both	CC	both
these	DT	these
dead	JJ	dead
bodies	NNS	body
and	CC	and
living	VVG	live
hostages	NNS	hostage
.	SENT	.
In	IN	in
this	DT	this
case	NN	case
,	,	,
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
the	DT	the
details	NNS	detail
yet	RB	yet
because	IN	because
they	PP	they
are	VBP	be
not	RB	not
very	RB	very
clear	JJ	clear
,	,	,
but	CC	but
I	PP	I
hope	VVP	hope
that	IN/that	that
not	RB	not
too	RB	too
many	JJ	many
Palestinians	NNS	Palestinian
in	IN	in
their	PP$	their
lives	NNS	life
,	,	,
they	PP	they
don	VVP	don
'	''	'
t	NN	t
deserve	VVP	deserve
.	SENT	.
if	IN	if
you	PP	you
are	VBP	be
just	RB	just
joining	VVG	join
us	PP	us
,	,	,
we	PP	we
'	POS	'
re	NN	re
following	VVG	follow
breaking	JJ	breaking
news	NN	news
.	SENT	.
we	PP	we
have	VHP	have
just	RB	just
learned	VVN	learn
that	IN/that	that
a	DT	a
hostage	NN	hostage
who	WP	who
was	VBD	be
abducted	VVN	abduct
by	IN	by
Hamas	NP	Hamas
on	IN	on
October	NP	October
7th	JJ	7th
has	VHZ	have
been	VBN	be
rescued	VVN	rescue
,	,	,
not	RB	not
released	VVN	release
,	,	,
rescued	VVN	rescue
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
.	SENT	.
This	DT	this
happened	VVN	happen
today	NN	today
.	SENT	.
his	PP$	his
name	NN	name
is	VBZ	be
Kade	NP	Kade
.	SENT	.
Farhan	NP	Farhan
.	SENT	.
Al	NP	Al
Shorty	NP	Shorty
.	SENT	.
he	PP	he
is	VBZ	be
52	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
as	IN	as
we	PP	we
understand	VVP	understand
it	PP	it
.	SENT	.
And	CC	and
he	PP	he
was	VBD	be
rescued	VVN	rescue
by	IN	by
the	DT	the
,	,	,
401st	JJ	401st
Brigade	NN	brigade
and	CC	and
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
.	SENT	.
And	CC	and
moments	NNS	moment
ago	RB	ago
,	,	,
we	PP	we
heard	VVD	hear
from	IN	from
a	DT	a
spokesman	NN	spokesman
from	IN	from
the	DT	the
Israeli	JJ	Israeli
government	NN	government
.	SENT	.
Listen	VV	listen
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
in	IN	in
a	DT	a
stable	JJ	stable
medical	JJ	medical
condition	NN	condition
and	CC	and
is	VBZ	be
being	VBG	be
transferred	VVN	transfer
for	IN	for
medical	JJ	medical
checks	NNS	check
right	RB	right
now	RB	now
at	IN	at
a	DT	a
Israeli	JJ	Israeli
hospital	NN	hospital
.	SENT	.
His	PP$	his
overjoyed	VVN	overjoy
family	NN	family
,	,	,
has	VHZ	have
been	VBN	be
updated	VVN	update
with	IN	with
the	DT	the
details	NNS	detail
,	,	,
and	CC	and
the	DT	the
IDF	NP	IDF
is	VBZ	be
accompanying	VVG	accompany
them	PP	them
at	IN	at
this	DT	this
crucial	JJ	crucial
moment	NN	moment
.	SENT	.
Israeli	JJ	Israeli
security	NN	security
forces	NNS	force
will	MD	will
continue	VV	continue
to	TO	to
operate	VV	operate
with	IN	with
all	DT	all
means	NNS	mean
necessary	JJ	necessary
.	SENT	.
All	DT	all
means	VVZ	mean
necessary	JJ	necessary
to	TO	to
bring	VV	bring
home	RB	home
all	RB	all
of	IN	of
our	PP$	our
hostages	NNS	hostage
.	SENT	.
This	DT	this
is	VBZ	be
truly	RB	truly
uplifting	VVG	uplift
news	NN	news
.	SENT	.
Everyone	NN	everyone
that	WDT	that
cares	VVZ	care
about	IN	about
the	DT	the
lives	NNS	life
of	IN	of
our	PP$	our
people	NNS	people
here	RB	here
in	IN	in
Israel	NP	Israel
.	SENT	.
And	CC	and
I	PP	I
think	VVP	think
right	RB	right
thinking	VVG	think
people	NNS	people
around	IN	around
the	DT	the
world	NN	world
,	,	,
it	PP	it
'	POS	'
s	NNS	s
incredible	JJ	incredible
.	SENT	.
But	CC	but
here	RB	here
he	PP	he
is	VBZ	be
in	IN	in
stable	JJ	stable
condition	NN	condition
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
52	CD	@card@
year	NN	year
old	JJ	old
man	NN	man
who	WP	who
was	VBD	be
rescued	VVN	rescue
.	SENT	.
Jim	NP	Jim
Sciutto	NP	Sciutto
is	VBZ	be
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
,	,	,
with	IN	with
the	DT	the
latest	JJS	late
.	SENT	.
Hi	UH	hi
there	RB	there
Jim	NP	Jim
.	SENT	.
So	RB	so
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
?	SENT	?
I	PP	I
know	VVP	know
it	PP	it
'	POS	'
s	JJ	s
early	JJ	early
days	NNS	day
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
just	RB	just
getting	VVG	get
the	DT	the
information	NN	information
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
questions	NNS	question
about	RB	about
,	,	,
the	DT	the
rescue	NN	rescue
operation	NN	operation
itself	PP	itself
.	SENT	.
But	CC	but
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
about	IN	about
the	DT	the
man	NN	man
who	WP	who
is	VBZ	be
now	RB	now
a	DT	a
free	JJ	free
man	NN	man
?	SENT	?
Yeah	RB	yeah
.	SENT	.
Listen	VV	listen
,	,	,
some	DT	some
rare	JJ	rare
good	JJ	good
news	NN	news
in	IN	in
this	DT	this
conflict	NN	conflict
,	,	,
given	VVN	give
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
close	NN	close
to	TO	to
11	CD	@card@
months	NNS	month
out	RB	out
since	IN	since
the	DT	the
attacks	NNS	attack
on	IN	on
October	NP	October
7th	JJ	7th
and	CC	and
so	RB	so
many	JJ	many
families	NNS	family
in	IN	in
Israel	NP	Israel
suffering	NN	suffering
,	,	,
waiting	VVG	wait
for	IN	for
news	NN	news
of	IN	of
their	PP$	their
loved	VVN	love
ones	NNS	one
.	SENT	.
Here	RB	here
'	''	'
s	NNS	s
what	WP	what
we	PP	we
know	VVP	know
about	IN	about
this	DT	this
rescued	VVN	rescue
hostage	NN	hostage
,	,	,
52	CD	@card@
year	NN	year
old	JJ	old
kid	NN	kid
,	,	,
Farhan	NP	Farhan
al	NP	al
-	NP	-
Khatib	NP	Khatib
.	SENT	.
He	PP	he
was	VBD	be
a	DT	a
Bedouin	NN	Bedouin
.	SENT	.
and	CC	and
according	VVG	accord
to	TO	to
the	DT	the
Hostages	NNS	hostage
Family	NN	family
forum	NN	forum
,	,	,
he	PP	he
was	VBD	be
October	NP	October
,	,	,
abducted	VVN	abduct
on	IN	on
October	NP	October
7th	JJ	7th
from	IN	from
a	DT	a
security	NN	security
job	NN	job
at	IN	at
Kibbutz	NN	kibbutz
Mugen	NP	Mugen
.	SENT	.
down	RB	down
in	IN	in
the	DT	the
south	NN	south
,	,	,
of	IN	of
