also	RB	also
and	CC	and
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
we	PP	we
'	POS	'
ve	NN	ve
got	VVD	get
a	DT	a
joint	JJ	joint
plan	NN	plan
going	VVG	go
on	IN	on
with	IN	with
Israelis	NPS	Israelis
.	SENT	.
If	IN	if
we	PP	we
could	MD	could
locate	VV	locate
the	DT	the
hostages	NNS	hostage
,	,	,
if	IN	if
it	PP	it
'	POS	'
s	NN	S
possible	JJ	possible
to	TO	to
pull	VV	pull
off	RP	off
an	DT	an
extraction	NN	extraction
mission	NN	mission
,	,	,
sure	RB	sure
we	PP	we
would	MD	would
work	VV	work
with	IN	with
the	DT	the
Israelis	NPS	Israelis
to	TO	to
do	VV	do
that	DT	that
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
also	RB	also
the	DT	the
possibility	NN	possibility
of	IN	of
those	DT	those
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Forces	NNS	force
in	IN	in
the	DT	the
north	NN	north
actually	RB	actually
having	VHG	have
to	TO	to
engage	VV	engage
,	,	,
should	MD	should
Hezbollah	NP	Hezbollah
decide	VV	decide
to	TO	to
launch	VV	launch
its	PP$	its
hundred	CD	hundred
50	CD	@card@
,	,	,
000	CD	@card@
rockets	NNS	rocket
against	IN	against
Israel	NP	Israel
.	SENT	.
And	CC	and
Iran	NP	Iran
should	MD	should
be	VB	be
under	IN	under
no	DT	no
illusions	NNS	illusion
.	SENT	.
Those	DT	those
ships	NNS	ship
are	VBP	be
not	RB	not
just	RB	just
there	RB	there
for	IN	for
show	NN	show
,	,	,
those	DT	those
ships	NNS	ship
are	VBP	be
ready	JJ	ready
to	TO	to
go	VV	go
and	CC	and
on	IN	on
the	DT	the
presidential	JJ	presidential
order	NN	order
they	PP	they
could	MD	could
go	VV	go
.	SENT	.
As	IN	as
president	NN	president
Biden	NP	Biden
said	VVD	say
,	,	,
we	PP	we
'	POS	'
re	NN	re
100	CD	@card@
percent	NN	percent
committed	VVN	commit
to	TO	to
Israel	NP	Israel
were	VBD	be
not	RB	not
going	VVG	go
to	TO	to
allow	VV	allow
the	DT	the
destruction	NN	destruction
of	IN	of
Israel	NP	Israel
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
really	RB	really
want	VVP	want
to	TO	to
get	VV	get
your	PP$	your
perspective	NN	perspective
on	IN	on
what	WP	what
is	VBZ	be
happening	VVG	happen
inside	IN	inside
gaza	NN	gaza
.	SENT	.
And	CC	and
Thea	NP	Thea
that	IN/that	that
,	,	,
according	VVG	accord
to	TO	to
the	DT	the
white	JJ	white
house	NN	house
,	,	,
hamas	NNS	hamas
,	,	,
they	PP	they
'	POS	'
re	NN	re
the	DT	the
ones	NNS	one
who	WP	who
stopped	VVD	stop
Americans	NNS	American
from	IN	from
getting	VVG	get
into	IN	into
Egypt	NP	Egypt
,	,	,
via	IN	via
the	DT	the
rafah	NN	rafah
border	NN	border
crossing	NN	crossing
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
Palestinians	NNS	Palestinian
,	,	,
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
in	IN	in
this	DT	this
case	NN	case
about	IN	about
Americans	NPS	Americans
who	WP	who
are	VBP	be
inside	IN	inside
gaza	NN	gaza
.	SENT	.
These	DT	these
are	VBP	be
civilians	NNS	civilian
.	SENT	.
What	WP	what
does	VVZ	do
it	PP	it
tell	VV	tell
you	PP	you
,	,	,
first	JJ	first
of	IN	of
all	DT	all
,	,	,
that	DT	that
crossing	VVG	cross
was	VBD	be
closed	VVN	close
,	,	,
and	CC	and
what	WP	what
is	VBZ	be
your	PP$	your
sense	NN	sense
of	IN	of
why	WRB	why
this	DT	this
really	RB	really
happened	VVN	happen
.	SENT	.
We	PP	we
'	''	'
re	IN	re
showing	VVG	show
our	PP$	our
viewers	NNS	viewer
a	DT	a
map	NN	map
of	IN	of
the	DT	the
area	NN	area
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	RB	about
.	SENT	.
Now	RB	now
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Dana	NP	Dana
,	,	,
we	PP	we
look	VVP	look
at	IN	at
this	DT	this
a	DT	a
as	IN	as
a	DT	a
two	CD	two
phase	NN	phase
-	NN	-
-	NN	-
show	VVP	show
how	WRB	how
powerful	JJ	powerful
you	PP	you
are	VBP	be
,	,	,
and	CC	and
then	RB	then
fall	VV	fall
back	RB	back
into	IN	into
gaza	NN	gaza
,	,	,
and	CC	and
use	VV	use
civilian	JJ	civilian
population	NN	population
as	IN	as
a	DT	a
shield	NN	shield
,	,	,
and	CC	and
then	RB	then
attack	VV	attack
Israel	NP	Israel
on	IN	on
the	DT	the
stage	NN	stage
of	IN	of
world	NN	world
opinion	NN	opinion
,	,	,
and	CC	and
cause	VV	cause
Israel	NP	Israel
to	TO	to
look	VV	look
like	IN	like
an	DT	an
evil	JJ	evil
force	NN	force
that	WDT	that
is	VBZ	be
anti	JJ	anti
humanitarian	NN	humanitarian
.	SENT	.
What	WP	what
'	POS	'
s	JJ	s
happening	VVG	happen
right	NN	right
now	RB	now
is	VBZ	be
that	IN/that	that
hamas	NN	hamas
is	VBZ	be
losing	VVG	lose
the	DT	the
second	JJ	second
phase	NN	phase
already	RB	already
,	,	,
before	IN	before
the	DT	the
fighting	NN	fighting
is	VBZ	be
even	RB	even
started	VVN	start
,	,	,
violence	NN	violence
of	IN	of
people	NNS	people
there	RB	there
are	VBP	be
getting	VVG	get
out	RP	out
of	IN	of
the	DT	the
way	NN	way
.	SENT	.
Hamas	NNS	Hamas
may	MD	may
be	VB	be
trying	VVG	try
to	TO	to
keep	VV	keep
them	PP	them
in	IN	in
position	NN	position
,	,	,
but	CC	but
hamas	NN	hamas
is	VBZ	be
failing	VVG	fail
to	TO	to
do	VV	do
that	IN/that	that
,	,	,
they	PP	they
are	VBP	be
evacuating	VVG	evacuate
the	DT	the
northern	JJ	northern
area	NN	area
.	SENT	.
Despite	IN	despite
hamas	JJ	hamas
roadblocks	NNS	roadblock
-	NN	-
-	NN	-
on	IN	on
a	DT	a
main	JJ	main
evacuation	NN	evacuation
route	NN	route
,	,	,
that	WDT	that
looks	VVZ	look
like	IN	like
something	NN	something
engineered	VVN	engineer
by	IN	by
hamas	NNS	hamas
to	TO	to
intimidate	VV	intimidate
its	PP$	its
own	JJ	own
people	NNS	people
.	SENT	.
Their	PP$	their
view	NN	view
is	VBZ	be
that	IN/that	that
those	DT	those
people	NNS	people
,	,	,
they	PP	they
'	POS	'
re	NN	re
just	RB	just
human	JJ	human
shields	NNS	shield
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
collateral	NN	collateral
,	,	,
they	PP	they
don	VVP	don
'	''	'
t	NN	t
care	NN	care
about	IN	about
those	DT	those
people	NNS	people
,	,	,
what	WP	what
they	PP	they
'	POS	'
re	NN	re
interested	JJ	interested
in	IN	in
is	VBZ	be
the	DT	the
destruction	NN	destruction
of	IN	of
Israel	NP	Israel
,	,	,
and	CC	and
so	RB	so
the	DT	the
poor	JJ	poor
people	NNS	people
in	IN	in
gaza	NNS	gaza
,	,	,
,	,	,
they	PP	they
'	POS	'
re	NN	re
not	RB	not
all	DT	all
hamas	NN	hamas
.	SENT	.
There	EX	there
are	VBP	be
innocent	JJ	innocent
people	NNS	people
there	RB	there
.	SENT	.
They	PP	they
need	VVP	need
to	TO	to
be	VB	be
protected	VVN	protect
too	RB	too
.	SENT	.
And	CC	and
the	DT	the
United	NP	United
States	NPS	States
-	NN	-
-	NN	-
hamas	NN	hamas
needs	VVZ	need
to	TO	to
be	VB	be
eliminated	VVN	eliminate
,	,	,
and	CC	and
that	IN/that	that
'	POS	'
s	VVG	s
what	WP	what
the	DT	the
Israeli	JJ	Israeli
objective	NN	objective
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
eventually	RB	eventually
.	SENT	.
In	IN	in
this	DT	this
phase	NN	phase
,	,	,
it	PP	it
'	POS	'
s	NN	S
already	RB	already
underway	JJ	underway
,	,	,
hamas	NN	hamas
is	VBZ	be
losing	VVG	lose
control	NN	control
of	IN	of
the	DT	the
population	NN	population
,	,	,
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
a	DT	a
huge	JJ	huge
loss	NN	loss
for	IN	for
hamas	NNS	hamas
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Just	RB	just
to	TO	to
underscore	VV	underscore
,	,	,
we	PP	we
'	POS	'
re	NN	re
at	IN	at
a	DT	a
time	NN	time
,	,	,
but	CC	but
just	RB	just
to	TO	to
underscore	VV	underscore
what	WP	what
you	PP	you
said	VVD	say
,	,	,
which	WDT	which
is	VBZ	be
that	IN/that	that
hamas	NNS	hamas
with	IN	with
,	,	,
just	RB	just
for	IN	for
speed	VV	speed
the	DT	the
leadership	NN	leadership
of	IN	of
gaza	NN	gaza
,	,	,
is	VBZ	be
trying	VVG	try
to	TO	to
prevent	VV	prevent
innocent	JJ	innocent
civilians	NNS	civilian
from	IN	from
getting	VVG	get
out	RP	out
of	IN	of
harm	NN	harm
'	POS	'
s	NN	S
way	NN	way
.	SENT	.
And	CC	and
getting	VVG	get
out	RP	out
of	IN	of
a	DT	a
war	NN	war
zone	NN	zone
,	,	,
because	IN	because
I	PP	I
think	VVP	think
it	PP	it
helps	VVZ	help
them	PP	them
,	,	,
in	IN	in
the	DT	the
propaganda	NN	propaganda
war	NN	war
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
to	TO	to
talk	VV	talk
