<video_id>FD28jY6vkhs</video_id>	NP	<video_id>FD28jY6vkhs</video_id>
been	VBN	be
very,	VVG	very,
very	RB	very
difficult,	RB	difficult,
but	CC	but
as	RB	as
we	PP	we
[10:02:06	JJ	[10:02:06
AM]	NP	AM]
very	JJ	very
difficult,	NP	difficult,
but	CC	but
as	IN	as
we	PP	we
understand	VVP	understand
it	PP	it
now,	VVP	now,
this	DT	this
is	VBZ	be
Benjamin	NP	Benjamin
Netanyahu,	NP	Netanyahu,
the	DT	the
prime	JJ	prime
minister,	NN	minister,
in	IN	in
unity	NN	unity
now	RB	now
in	IN	in
a	DT	a
coalition	NN	coalition
government	NN	government
in	IN	in
a	DT	a
car	NN	car
cabinet	NN	cabinet
with	IN	with
Benny	NP	Benny
Gantz	NP	Gantz
who	WP	who
is	VBZ	be
the	DT	the
leader	NN	leader
of	IN	of
the	DT	the
national	JJ	national
unity	NN	unity
party	NN	party
and	CC	and
opposition	NN	opposition
leader	NN	leader
and	CC	and
former	JJ	former
defense	NN	defense
minister,	NP	minister,
of	IN	of
course,	NP	course,
and	CC	and
the	DT	the
defense	NN	defense
minister	NN	minister
Yoav	NP	Yoav
Gallant	NN	gallant
this	DT	this
is	VBZ	be
an	DT	an
emergency	NN	emergency
situation	NN	situation
that	WDT	that
is	VBZ	be
being	VBG	be
addressed	VVN	address
now	RB	now
by	IN	by
those	DT	those
who	WP	who
have	VHP	have
experience	NN	experience
of	IN	of
war	NN	war
in	IN	in
government	NN	government
here.	NN	here.
What	WP	what
isn't	VVD	isn't
clear	JJ	clear
is	VBZ	be
what	WP	what
the	DT	the
makeup	NN	makeup
of	IN	of
this	DT	this
wider	JJR	wide
group	NN	group
will	MD	will
be	VB	be
and	CC	and
sources	NNS	source
have	VHP	have
been	VBN	be
telling	VVG	tell
me	PP	me
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
much	JJ	much
discussion	NN	discussion
and	CC	and
demands	NNS	demand
made	VVN	make
by	IN	by
those	DT	those
in	IN	in
opposition	NN	opposition
that	IN/that	that
the	DT	the
right	JJ	right
wing	NN	wing
ministers,	VVZ	ministers,
the	DT	the
finance	NN	finance
and	CC	and
security	NN	security
ministers	NNS	minister
being	VBG	be
veer,	VVN	veer,
will	MD	will
not	RB	not
be	VB	be
part	NN	part
of	IN	of
[10:03:09	JJ	[10:03:09
AM]	NN	AM]
being	VBG	be
veer,	VVN	veer,
will	MD	will
not	RB	not
be	VB	be
part	NN	part
of	IN	of
it.	NP	it.
All	NP	All
we	PP	we
know	VVP	know
at	IN	at
this	DT	this
time	NN	time
is	VBZ	be
that	IN/that	that
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
is	VBZ	be
now	RB	now
in	IN	in
unity	NN	unity
with	IN	with
Benny	NP	Benny
Gantz	NP	Gantz
and	CC	and
the	DT	the
defense	NN	defense
minister	NN	minister
here	RB	here
gallant	NN	gallant
to	TO	to
to	TO	to
address	VV	address
what	WP	what
happens	VVZ	happen
next	JJ	next
and	CC	and
the	DT	the
sense	NN	sense
is	VBZ	be
here	RB	here
that	IN/that	that
what	WP	what
you	PP	you
didn't	VVD	didn't
have	VH	have
in	IN	in
the	DT	the
cabinet,	NN	cabinet,
in	IN	in
the	DT	the
government	NN	government
until	IN	until
Saturday	NP	Saturday
morning	NN	morning
was	VBD	be
experience.	JJ	experience.
And	CC	and
what	WP	what
you	PP	you
need	VVP	need
is	VBZ	be
Spencer	NP	Spencer
and	CC	and
authority	NN	authority
of	IN	of
characters	NNS	character
in	IN	in
position	NN	position
who	WP	who
reflect	VVP	reflect
the	DT	the
unity	NN	unity
of	IN	of
--	:	--
of	IN	of
the	DT	the
Israelis.	NP	Israelis.
I	PP	I
am	VBP	be
being	VBG	be
told	VVN	tell
now,	VVP	now,
I	PP	I
am	VBP	be
just	RB	just
getting	VVG	get
reporting	NN	reporting
on	IN	on
this.	NP	this.
This	NP	This
is	VBZ	be
an	DT	an
emergency	NN	emergency
cabinet,	VVD	cabinet,
a	DT	a
war	NN	war
cabinet	NN	cabinet
at	IN	at
this	DT	this
point.	JJ	point.
&gt;&gt;	NN	&gt;&gt;
Becky,	NP	Becky,
for	IN	for
those	DT	those
who	WP	who
--	:	--
I	PP	I
mean,	VVP	mean,
who	WP	who
aren't	NN	aren't
familiar	JJ	familiar
with	IN	with
the	DT	the
players	NNS	player
within	IN	within
Israeli	JJ	Israeli
politics	NNS	politics
so	IN	so
much,	NP	much,
just	RB	just
some	DT	some
[10:04:10	JJ	[10:04:10
AM]	NP	AM]
politics	NNS	politics
so	IN	so
much,	NP	much,
just	RB	just
some	DT	some
background	NN	background
here	RB	here
of	IN	of
what	WP	what
a	DT	a
G	NP	G
deal	NN	deal
this	DT	this
is	VBZ	be
as	IN	as
you	PP	you
describe	VVP	describe
it	PP	it
because	IN	because
these	DT	these
are	VBP	be
political	JJ	political
parties	NNS	party
and	CC	and
these	DT	these
are	VBP	be
men	NNS	man
who	WP	who
are	VBP	be
until	IN	until
now,	NP	now,
deeply	RB	deeply
hostile	JJ	hostile
with	IN	with
each	DT	each
other	JJ	other
and	CC	and
it	PP	it
does	VVZ	do
underline	VV	underline
the	DT	the
scale	NN	scale
of	IN	of
the	DT	the
crisis	NN	crisis
and	CC	and
how	WRB	how
much	RB	much
has	VHZ	have
changed	VVN	change
in	IN	in
Israel	NP	Israel
since	IN	since
Saturday.	NP	Saturday.
Just	RB	just
the	DT	the
background,	NN	background,
if	IN	if
you	PP	you
can	MD	can
offer	VV	offer
kind	NN	kind
of	IN	of
--	:	--
Earth	NN	earth
shattering	VVG	shatter
is	VBZ	be
what	WP	what
Saturday	NP	Saturday
was	VBD	be
with	IN	with
the	DT	the
hamas	JJ	hamas
terror	NN	terror
attack	NN	attack
and	CC	and
this	DT	this
as	IN	as
a	DT	a
response	NN	response
to	TO	to
it.	VV	it.
Just	RB	just
the	DT	the
perspective	NN	perspective
on	IN	on
that.	JJ	that.
&gt;&gt;	NN	&gt;&gt;
If	IN	if
we	PP	we
step	VVP	step
back	RB	back
and	CC	and
consider	VV	consider
what's	NNS	what's
going	VVG	go
on	IN	on
for	IN	for
months	NNS	month
and	CC	and
months	NNS	month
as	IN	as
being	VBG	be
this	DT	this
deep,	NP	deep,
deep	JJ	deep
division	NN	division
and	CC	and
reflected	VVD	reflect
on	IN	on
the	DT	the
streets	NNS	street
of	IN	of
tel	NP	Tel
aviv	NP	Aviv
and	CC	and
reflected	VVD	reflect
in	IN	in
this	DT	this
country	NN	country
with	IN	with
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Israelis	NPS	Israelis
demonstrating	VVG	demonstrate
and	CC	and
[10:05:11	JJ	[10:05:11
AM]	NP	AM]
Israelis	NPS	Israelis
demonstrating	VVG	demonstrate
and	CC	and
protesting	VVG	protest
against	IN	against
what	WP	what
has	VHZ	have
been	VBN	be
Israel's	JJ	Israel's
most	RBS	most
right-wing	JJ	right-wing
government	NN	government
ever.	NN	ever.
This	DT	this
sense	NN	sense
now	RB	now
that	IN/that	that
there	EX	there
is	VBZ	be
an	DT	an
absolute	JJ	absolute
need	NN	need
to	TO	to
bring	VV	bring
those	DT	those
who	WP	who
are	VBP	be
running	VVG	run
this	DT	this
country	NN	country
together	RB	together
in	IN	in
a	DT	a
war	NN	war
cabinet	NN	cabinet
that	WDT	that
can	MD	can
now	RB	now
address	VV	address
the	DT	the
security	NN	security
concerns	VVZ	concern
that	IN/that	that
Israel	NP	Israel
now	RB	now
face	VVP	face
Wes	NP	Wes
experience.	NP	experience.
There	RB	there
has	VHZ	have
been	VBN	be
much	JJ	much
talk	NN	talk
around	IN	around
the	DT	the
judicial	JJ	judicial
reform	NN	reform
about	IN	about
how	WRB	how
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
and	CC	and
his	PP$	his
right	JJ	right
wing	NN	wing
have	VHP	have
want	VVP	want
been	VBN	be
focused	VVN	focus
on	IN	on
what	WP	what
Israelis	NNS	Israeli
themselves	PP	themselves
believe	VVP	believe
is	VBZ	be
important	JJ	important
for	IN	for
them	PP	them
and	CC	and
on	IN	on
Saturday	NP	Saturday
morning,	NP	morning,
you	PP	you
know,	NP	know,
that	WDT	that
was	VBD	be
revealed.	NP	revealed.
Security	NP	Security
and	CC	and
protection.	NP	protection.
Where	WRB	where
was	VBD	be
--	:	--
why	WRB	why
was	VBD	be
there	RB	there
such	JJ	such
a	DT	a
failure	NN	failure
of	IN	of
intelligence?	NN	intelligence?
Why	WRB	why
is	VBZ	be
it	PP	it
now	RB	now
that	IN/that	that
Israelis	NNS	Israeli
feel	VVP	feel
such	PDT	such
a	DT	a
sense	NN	sense
of	IN	of
insecurity	NN	insecurity
and	CC	and
[10:06:12	NN	[10:06:12
AM]	NN	AM]
such	PDT	such
a	DT	a
sense	NN	sense
of	IN	of
insecurity	NN	insecurity
and	CC	and
vulnerability?	NN	vulnerability?
And	CC	and
it	PP	it
was	VBD	be
to	TO	to
the	DT	the
prime	JJ	prime
minister,	NN	minister,
to	TO	to
organize	VV	organize
around	IN	around
him,	NP	him,
to	TO	to
ensure	VV	ensure
now	RB	now
the	DT	the
fingers	NNS	finger
of	IN	of
blame	NN	blame
are	VBP	be
pointed	VVN	point
to	TO	to
him	PP	him
squarely	RB	squarely
on	IN	on
what	WP	what
happens	VVZ	happen
going	VVG	go
forward	RB	forward
and	CC	and
now	RB	now
the	DT	the
crucial	JJ	crucial
nature	NN	nature
of	IN	of
what	WP	what
is	VBZ	be
in	IN	in
play	NN	play
here.	NN	here.
The	DT	the
complexity	NN	complexity
of	IN	of
what	WP	what
happens	VVZ	happen
next	JJ	next
with	IN	with
regard	NN	regard
of	IN	of
any	DT	any
incursion,	NP	incursion,
ground	NN	ground
incursion	NN	incursion
into	IN	into
gaza.	NN	gaza.
The	DT	the
sense	NN	sense
now	RB	now
that	IN/that	that
the	DT	the
decisionses	NNS	decisionses
that	WDT	that
are	VBP	be
made	VVN	make
here	RB	here
in	IN	in
Israel	NP	Israel
about	IN	about
what	WP	what
happens	VVZ	happen
in	IN	in
the	DT	the
days	NNS	day
and	CC	and
weeks	NNS	week
ahead	RB	ahead
should	MD	should
not	RB	not
be	VB	be
left	VVN	leave
to	TO	to
a	DT	a
government	NN	government
that,	NP	that,
frankly,	NP	frankly,
didn't	NP	didn't
have	VHP	have
the	DT	the
experience	NN	experience
in	IN	in
cabinet	NN	cabinet
to	TO	to
address	VV	address
these	DT	these
issues.	NN	issues.
So	IN	so
that	WDT	that
now	RB	now
looks	VVZ	look
like	IN	like
the	DT	the
makeup	NN	makeup
that	IN/that	that
we	PP	we
have	VHP	have
in	IN	in
what	WP	what
is	VBZ	be
this	DT	this
new	JJ	new
war	NN	war
cabinet,	NNS	cabinet,
if	IN	if
I	PP	I
can	MD	can
describe	VV	describe
it	PP	it
as	RB	as
such	JJ	such
with	IN	with
the	DT	the
current	JJ	current
defense	NN	defense
minister,	VVZ	minister,
the	DT	the
[10:07:13	JJ	[10:07:13
AM]	NP	AM]
current	JJ	current
defense	NN	defense
minister,	VVZ	minister,
the	DT	the
former	JJ	former
defense	NN	defense
minister	NN	minister
Benny	NP	Benny
Gantz	NP	Gantz
and	CC	and
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
and	CC	and
heading	VVG	head
up	RP	up
the	DT	the
decision	NN	decision
making	VVG	make
for	IN	for
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
to	TO	to
address,	NP	address,
as	IN	as
I	PP	I
say,	VVZ	say,
the	DT	the
complexities	NNS	complexity
of	IN	of
what	WP	what
happens	VVZ	happen
next.	NP	next.
Let's	NP	Let's
just	RB	just
consider	VVP	consider
those.	JJ	those.
They	PP	they
have	VHP	have
a	DT	a
ground	NN	ground
incursion	NN	incursion
on	IN	on
the	DT	the
table.	NN	table.
They	PP	they
have	VHP	have
described	VVN	describe
by	IN	by
the	DT	the
idf	NN	idf
saturated	VVD	saturate
the	DT	the
southern	JJ	southern
border	NN	border
with	IN	with
troops	NNS	troop
no	RB	no
in	IN	in
anticipation,	NP	anticipation,
one	CD	one
assumes,	NN	assumes,
of	IN	of
a	DT	a
ground	NN	ground
incursion.	NP	incursion.
We're	NP	We're
not	RB	not
seeing	VVG	see
that	IN/that	that
as	RB	as
of	IN	of
yet,	NP	yet,
but	CC	but
the	DT	the
complexities	NNS	complexity
we've	NN	we've
been	VBN	be
reporting	VVG	report
now	RB	now
for	IN	for
hours	NNS	hour
in	IN	in
that	WDT	that
you	PP	you
have	VHP	have
these	DT	these
hostages	NNS	hostage
being	VBG	be
held	VVN	hold
in	IN	in
various	JJ	various
locations	NNS	location
as	IN	as
described	VVN	describe
by	IN	by
hamas	NNS	hamas
around	IN	around
gaza	NN	gaza
and	CC	and
then	RB	then
the	DT	the
wider	JJR	wide
story	NN	story
which	WDT	which
is	VBZ	be
the	DT	the
plight	NN	plight
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
who	WP	who
are	VBP	be
in	IN	in
gaza.	NN	gaza.
We	PP	we
have	VHP	have
a	DT	a
thousand	CD	thousand
dead	JJ	dead
and	CC	and
a	DT	a
total	JJ	total
siege	NN	siege
of	IN	of
gaza	NN	gaza
and	CC	and
hospitals	NNS	hospital
being	VBG	be
bombed	VVN	bomb
and	CC	and
no	DT	no
fuel	NN	fuel
now	RB	now
to	TO	to
the	DT	the
palace	NN	palace
station	NN	station
[10:08:17	JJ	[10:08:17
AM]	NP	AM]
fuel	NN	fuel
now	RB	now
to	TO	to
the	DT	the
palace	NN	palace
station	NN	station
there.	NP	there.
Palestinians	NPS	Palestinians
do	VVP	do
work	NN	work
with	IN	with
H	NN	H
generators	NNS	generator
in	IN	in
gaza.	JJ	gaza.
So	CC	so
there	EX	there
will	MD	will
be	VB	be
some	DT	some
generation	NN	generation
of	IN	of
electricity	NN	electricity
and	CC	and
provided	VVN	provide
by	IN	by
generators,	NP	generators,
but	CC	but
you	PP	you
know,	VVZ	know,
considering	VVG	consider
what	WP	what
it	PP	it
is	VBZ	be
that	IN/that	that
Israel	NP	Israel
faces	VVZ	face
is	VBZ	be
decision	NN	decision
making	VVG	make
now	RB	now
and	CC	and
it	PP	it
has	VHZ	have
been	VBN	be
clear	JJ	clear
for	IN	for
some	DT	some
time	NN	time
that	IN/that	that
there	EX	there
was	VBD	be
a	DT	a
need	NN	need
for	IN	for
--	:	--
I	PP	I
don't	VVD	don't
want	VV	want
to	TO	to
call	VV	call
it	PP	it
levelheadedness,	NP	levelheadedness,
but	CC	but
experience,	NP	experience,
and	CC	and
this	DT	this
will	MD	will
be	VB	be
--	:	--
this	DT	this
will	MD	will
be	VB	be
demands	NNS	demand
from	IN	from
the	DT	the
outside	JJ	outside
--	:	--
from	IN	from
the	DT	the
international	JJ	international
community,	NN	community,
from	IN	from
capitals	NNS	capital
around	IN	around
the	DT	the
world,	NP	world,
particularly	RB	particularly
from	IN	from
Washington	NP	Washington
demands	VVZ	demand
that	IN/that	that
this	DT	this
war	NN	war
cabinet	NN	cabinet
</doc>	NN	</doc>
