Let	NP	Let
nbsp	NN	nbsp
;	:	;
That	DT	that
'	''	'
s	VVG	s
the	DT	the
number	NN	number
of	IN	of
rockets	NNS	rocket
that	WDT	that
are	VBP	be
falling	VVG	fall
all	DT	all
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
time	NN	time
on	IN	on
our	PP$	our
cities	NNS	city
,	,	,
may	MD	may
fall	VV	fall
during	IN	during
this	DT	this
&	CC	&
nbsp	NN	nbsp
;	:	;
interview	NN	interview
,	,	,
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
,	,	,
and	CC	and
I	PP	I
'	POS	'
ll	NNS	ll
have	VHP	have
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
go	VV	go
to	TO	to
a	DT	a
shelter	NN	shelter
.	SENT	.
What	WP	what
would	MD	would
America	NP	America
do	VV	do
?	SENT	?
It	PP	it
&	CC	&
nbsp	NN	nbsp
;	:	;
would	MD	would
take	VV	take
all	PDT	all
its	PP$	its
force	NN	force
and	CC	and
go	VV	go
after	IN	after
these	DT	these
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
killers	NNS	killer
.	SENT	.
What	WP	what
if	IN	if
these	DT	these
killers	NNS	killer
embed	VVP	embed
themselves	PP	themselves
&	CC	&
nbsp	NN	nbsp
;	:	;
in	IN	in
hospitals	NNS	hospital
,	,	,
schools	NNS	school
,	,	,
U	NP	U
.	SENT	.
N	NP	N
.	SENT	.
Facilities	NNS	facility
?	SENT	?
You	PP	you
'	POS	'
d	NN	d
do	VVP	do
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
everything	NN	everything
in	IN	in
your	PP$	your
power	NN	power
to	TO	to
get	VV	get
the	DT	the
civilians	NNS	civilian
&	CC	&
nbsp	NN	nbsp
;	:	;
out	RB	out
,	,	,
which	WDT	which
is	VBZ	be
what	WP	what
we	PP	we
'	''	'
re	IN	re
doing	VVG	do
.	SENT	.
We	PP	we
call	VVP	call
them	PP	them
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
leave	VV	leave
.	SENT	.
You	PP	you
certainly	RB	certainly
wouldn	NN	wouldn
'	POS	'
t	NN	t
give	VV	give
immunity	NN	immunity
&	CC	&
nbsp	NN	nbsp
;	:	;
top	VV	top
the	DT	the
terrorists	NNS	terrorist
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
obviously	RB	obviously
treading	VVG	tread
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
carefully	RB	carefully
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
hospitals	NNS	hospital
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
&	CC	&
nbsp	NN	nbsp
;	:	;
also	RB	also
not	RB	not
going	VVG	go
to	TO	to
give	VV	give
immunity	NN	immunity
to	TO	to
the	DT	the
terrorists	NNS	terrorist
.	SENT	.
[	SYM	[
9	CD	@card@
:	:	:
04	CD	@card@
:	:	:
41	NP	@card@
AM	NP	AM
]	SYM	]
terrorists	NNS	terrorist
.	SENT	.
So	RB	so
far	RB	far
,	,	,
even	RB	even
though	IN	though
hamas	NNS	hamas
has	VHZ	have
&	CC	&
nbsp	NN	nbsp
;	:	;
tried	VVD	try
to	TO	to
prevent	VV	prevent
the	DT	the
civilians	NNS	civilian
from	IN	from
leaving	VVG	leave
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
have	VHP	have
left	VVN	leave
,	,	,
sometimes	RB	sometimes
&	CC	&
nbsp	NN	nbsp
;	:	;
having	VHG	have
to	TO	to
go	VV	go
through	IN	through
hamas	JJ	hamas
gun	NN	gun
points	NNS	point
and	CC	and
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
gunfire	NN	gunfire
and	CC	and
wants	VVZ	want
to	TO	to
keep	VV	keep
them	PP	them
in	IN	in
harm	NN	harm
'	POS	'
s	NN	S
way	NN	way
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Just	RB	just
to	TO	to
be	VB	be
clear	JJ	clear
,	,	,
sir	NN	sir
,	,	,
Israel	NP	Israel
will	MD	will
aid	VV	aid
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
help	VV	help
these	DT	these
civilians	NNS	civilian
who	WP	who
are	VBP	be
quite	RB	quite
sick	JJ	sick
&	CC	&
nbsp	JJ	nbsp
;	:	;
and	CC	and
inside	IN	inside
these	DT	these
hospitals	NNS	hospital
come	VVP	come
out	RP	out
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
not	RB	not
just	RB	just
in	IN	in
Al	NP	Al
shifa	NP	Shifa
,	,	,
but	CC	but
there	EX	there
are	VBP	be
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
other	JJ	other
hospitals	NNS	hospital
where	WRB	where
this	DT	this
is	VBZ	be
happening	VVG	happen
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Yes	UH	yes
.	SENT	.
Yes	UH	yes
,	,	,
we	PP	we
'	POS	'
re	NN	re
telling	VVG	tell
them	PP	them
to	TO	to
leave	VV	leave
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Telling	VVG	tell
them	PP	them
or	CC	or
helping	VVG	help
them	PP	them
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Helping	VVG	help
them	PP	them
by	IN	by
creating	VVG	create
safe	JJ	safe
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
corridors	NNS	corridor
.	SENT	.
We	PP	we
have	VHP	have
designated	VVN	designate
routes	NNS	route
to	TO	to
a	DT	a
safe	JJ	safe
&	CC	&
nbsp	JJ	nbsp
;	:	;
zone	NN	zone
south	NN	south
of	IN	of
gaza	NN	gaza
city	NN	city
where	WRB	where
there	EX	there
'	''	'
s	VVG	s
no	DT	no
fighting	NN	fighting
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
and	CC	and
we	PP	we
'	POS	'
re	NN	re
telling	VVG	tell
them	PP	them
,	,	,
go	VV	go
ahead	RB	ahead
,	,	,
move	NN	move
.	SENT	.
By	IN	by
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
way	NN	way
,	,	,
70	CD	@card@
,	,	,
000	CD	@card@
have	VHP	have
moved	VVN	move
.	SENT	.
Three	CD	three
days	NNS	day
ago	RB	ago
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
I	PP	I
think	VVP	think
50	CD	@card@
,	,	,
000	CD	@card@
moved	VVD	move
yesterday	NN	yesterday
.	SENT	.
More	JJR	more
will	MD	will
move	VV	move
&	CC	&
nbsp	NN	nbsp
;	:	;
today	NN	today
.	SENT	.
We	PP	we
want	VVP	want
all	PDT	all
the	DT	the
civilians	NNS	civilian
to	TO	to
be	VB	be
moved	VVN	move
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
out	RB	out
of	IN	of
harm	NN	harm
'	POS	'
s	NN	S
way	NN	way
.	SENT	.
Hamas	NP	Hamas
is	VBZ	be
doing	VVG	do
everything	NN	everything
in	IN	in
&	CC	&
nbsp	NN	nbsp
;	:	;
their	PP$	their
power	NN	power
to	TO	to
keep	VV	keep
them	PP	them
in	IN	in
harm	NN	harm
'	POS	'
s	NN	S
way	NN	way
.	SENT	.
Go	VV	go
ahead	RB	ahead
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Do	VVP	do
you	PP	you
believe	VVP	believe
there	EX	there
are	VBP	be
&	CC	&
nbsp	JJ	nbsp
;	:	;
hostages	NNS	hostage
below	IN	below
that	DT	that
hospital	NN	hospital
,	,	,
[	SYM	[
9	CD	@card@
:	:	:
05	CD	@card@
:	:	:
41	NP	@card@
AM	NP	AM
]	SYM	]
hostages	NNS	hostage
below	IN	below
that	DT	that
hospital	NN	hospital
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
Israeli	JJ	Israeli
or	CC	or
American	JJ	American
hostages	NNS	hostage
?	SENT	?
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VVG	go
to	TO	to
go	VV	go
into	IN	into
the	DT	the
intelligence	NN	intelligence
&	CC	&
nbsp	NN	nbsp
;	:	;
picture	NN	picture
we	PP	we
have	VHP	have
,	,	,
but	CC	but
you	PP	you
know	VVP	know
there	EX	there
'	''	'
s	RB	s
been	VBN	be
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
this	DT	this
vicious	JJ	vicious
thing	NN	thing
-	NN	-
-	NN	-
they	PP	they
take	VVP	take
hostages	NNS	hostage
-	NN	-
-	NN	-
&	CC	&
nbsp	NN	nbsp
;	:	;
imagine	VV	imagine
a	DT	a
baby	NN	baby
is	VBZ	be
held	VVN	hold
hostage	NN	hostage
.	SENT	.
Who	WP	who
takes	VVZ	take
a	DT	a
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
baby	NN	baby
hostage	NN	hostage
?	SENT	?
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
if	IN	if
you	PP	you
have	VHP	have
children	NNS	child
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
Dana	NP	Dana
,	,	,
I	NP	I
'	POS	'
m	NN	m
sure	RB	sure
your	PP$	your
camera	NN	camera
crew	NN	crew
has	VHZ	have
,	,	,
we	PP	we
all	RB	all
have	VHP	have
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
children	NNS	child
.	SENT	.
What	WP	what
is	VBZ	be
this	DT	this
taking	VVG	take
children	NNS	child
hostage	NN	hostage
?	SENT	?
&	CC	&
nbsp	NN	nbsp
;	:	;
Threatening	VVG	threaten
to	TO	to
kill	VV	kill
them	PP	them
.	SENT	.
This	DT	this
is	VBZ	be
savagery	NN	savagery
of	IN	of
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
highest	JJS	high
order	NN	order
.	SENT	.
We	PP	we
'	''	'
re	IN	re
doing	VVG	do
everything	NN	everything
in	IN	in
our	PP$	our
&	CC	&
nbsp	NN	nbsp
;	:	;
power	NN	power
to	TO	to
achieve	VV	achieve
two	CD	two
things	NNS	thing
.	SENT	.
One	PP	one
,	,	,
destroy	VV	destroy
hamas	NN	hamas
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
because	IN	because
without	IN	without
it	PP	it
,	,	,
none	NN	none
of	IN	of
us	PP	us
have	VHP	have
a	DT	a
future	NN	future
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
It	PP	it
'	POS	'
s	NN	S
not	RB	not
only	RB	only
our	PP$	our
war	NN	war
.	SENT	.
It	PP	it
'	''	'
s	VVG	s
your	PP$	your
war	NN	war
,	,	,
too	RB	too
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
battle	NN	battle
of	IN	of
civilization	NN	civilization
against	IN	against
barberism	NN	barberism
.	SENT	.
It	PP	it
&	CC	&
nbsp	NN	nbsp
;	:	;
will	MD	will
pass	VV	pass
to	TO	to
other	JJ	other
places	NNS	place
.	SENT	.
Middle	NP	Middle
East	NP	East
will	MD	will
fall	VV	fall
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Europe	NP	Europe
is	VBZ	be
next	JJ	next
,	,	,
you	PP	you
'	POS	'
ll	NNS	ll
be	VB	be
next	JJ	next
.	SENT	.
The	DT	the
first	JJ	first
goal	NN	goal
is	VBZ	be
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
destroy	VV	destroy
hamas	NNS	hamas
and	CC	and
the	DT	the
second	JJ	second
goal	NN	goal
is	VBZ	be
to	TO	to
bring	VV	bring
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
back	RB	back
our	PP$	our
hostages	NNS	hostage
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
do	VV	do
both	DT	both
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Those	DT	those
are	VBP	be
completely	RB	completely
understandable	JJ	understandable
goals	NNS	goal
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
goals	NNS	goal
that	WDT	that
[	SYM	[
9	CD	@card@
:	:	:
06	CD	@card@
:	:	:
41	NP	@card@
AM	NP	AM
]	SYM	]
understandable	JJ	understandable
goals	NNS	goal
,	,	,
goals	NNS	goal
that	IN/that	that
the	DT	the
United	NP	United
&	CC	&
nbsp	NP	nbsp
;	:	;
States	NPS	States
very	RB	very
much	JJ	much
supports	NNS	support
,	,	,
understanding	VVG	understand
that	IN/that	that
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
hamas	NN	hamas
is	VBZ	be
a	DT	a
barbaric	JJ	barbaric
terrorist	JJ	terrorist
organization	NN	organization
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
Israel	NP	Israel
is	VBZ	be
not	RB	not
hamas	JJ	hamas
,	,	,
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
also	RB	also
makes	VVZ	make
very	RB	very
clear	VV	clear
that	IN/that	that
democracies	NNS	democracy
have	VHP	have
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
do	VVP	do
better	RBR	well
.	SENT	.
The	DT	the
secretary	NN	secretary
of	IN	of
state	NN	state
,	,	,
Tony	NP	Tony
blinken	NP	blinken
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
said	VVD	say
that	IN/that	that
far	RB	far
too	RB	too
many	JJ	many
Palestinian	JJ	Palestinian
civilians	NNS	civilian
&	CC	&
nbsp	NN	nbsp
;	:	;
have	VHP	have
been	VBN	be
killed	VVN	kill
.	SENT	.
What	WP	what
is	VBZ	be
your	PP$	your
response	NN	response
to	TO	to
that	DT	that
?	SENT	?
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
think	VVP	think
any	DT	any
civilian	JJ	civilian
loss	NN	loss
is	VBZ	be
a	DT	a
tragedy	NN	tragedy
and	CC	and
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
blame	NN	blame
should	MD	should
be	VB	be
placed	VVN	place
squarely	RB	squarely
on	IN	on
hamas	NN	hamas
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
because	IN	because
it	PP	it
prevents	VVZ	prevent
them	PP	them
from	IN	from
leaving	VVG	leave
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
war	NN	war
zone	NN	zone
,	,	,
sometimes	RB	sometimes
at	IN	at
gunpoint	NN	gunpoint
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
fired	VVD	fire
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
in	IN	in
the	DT	the
safe	JJ	safe
zone	NN	zone
and	CC	and
the	DT	the
safe	JJ	safe
corridor	NN	corridor
that	IN/that	that
we	PP	we
&	CC	&
nbsp	NN	nbsp
;	:	;
enacted	VVN	enact
.	SENT	.
The	DT	the
other	JJ	other
day	NN	day
to	TO	to
prevent	VV	prevent
Palestinians	NNS	Palestinian
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
from	IN	from
leaving	VVG	leave
harm	NN	harm
'	POS	'
s	NN	S
way	NN	way
,	,	,
it	PP	it
puts	VVZ	put
rockets	NNS	rocket
inside	IN	inside
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
schools	NNS	school
,	,	,
hospitals	NNS	hospital
.	SENT	.
It	PP	it
has	VHZ	have
tunnels	NNS	tunnel
below	IN	below
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
children	NNS	child
'	POS	'
s	NN	S
beds	NNS	bed
.	SENT	.
That	IN/that	that
'	POS	'
s	VVG	s
what	WP	what
we	PP	we
'	POS	'
re	NN	re
dealing	VVG	deal
with	IN	with
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Absolutely	RB	absolutely
,	,	,
but	CC	but
because	IN	because
Israel	NP	Israel
isn	NP	isn
'	POS	'
t	NN	t
hamas	NN	hamas
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
is	VBZ	be
Israel	NP	Israel
doing	VVG	do
everything	NN	everything
possible	JJ	possible
to	TO	to
take	VV	take
that	IN/that	that
&	CC	&
nbsp	NN	nbsp
;	:	;
into	IN	into
consideration	NN	consideration
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Yes	UH	yes
,	,	,
Dana	NP	Dana
,	,	,
more	JJR	more
than	IN	than
that	DT	that
.	SENT	.
[	SYM	[
9	CD	@card@
:	:	:
07	CD	@card@
:	:	:
43	NP	@card@
AM	NP	AM
]	SYM	]
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Yes	UH	yes
,	,	,
Dana	NP	Dana
,	,	,
more	JJR	more
than	IN	than
that	DT	that
.	SENT	.
And	CC	and
more	RBR	more
than	IN	than
that	DT	that
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
We	PP	we
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
minimize	VV	minimize
civilian	JJ	civilian
casualties	NNS	casualty
as	IN	as
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
a	DT	a
result	NN	result
of	IN	of
our	PP$	our
ground	NN	ground
action	NN	action
,	,	,
I	PP	I
think	VVP	think
the	DT	the
number	NN	number
&	CC	&
nbsp	NN	nbsp
;	:	;
of	IN	of
civilian	JJ	civilian
carpalities	NNS	carpalities
is	VBZ	be
actually	RB	actually
being	VBG	be
reduced	VVN	reduce
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
because	IN	because
people	NNS	people
are	VBP	be
heeding	VVG	heed
our	PP$	our
calls	NNS	call
to	TO	to
leave	VV	leave
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
area	NN	area
and	CC	and
defying	VVG	defy
hamas	NNS	hamas
'	POS	'
attempt	NN	attempt
to	TO	to
keep	VV	keep
them	PP	them
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
there	RB	there
,	,	,
and	CC	and
we	PP	we
'	POS	'
ll	NNS	ll
do	VVP	do
everything	NN	everything
in	IN	in
our	PP$	our
power	NN	power
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
do	VVP	do
that	DT	that
.	SENT	.
The	DT	the
one	CD	one
example	NN	example
I	PP	I
can	MD	can
give	VV	give
you	PP	you
is	VBZ	be
this	DT	this
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
These	DT	these
savages	NNS	savage
,	,	,
they	PP	they
