Ambassador	NP	Ambassador
for	IN	for
75	CD	@card@
years	NNS	year
that	WDT	that
have	VHP	have
been	VBN	be
paying	VVG	pay
the	DT	the
price	NN	price
for	IN	for
this	DT	this
inhumane	JJ	inhumane
conflict	NN	conflict
the	DT	the
continuation	NN	continuation
of	IN	of
which	WDT	which
is	VBZ	be
untenable	JJ	untenable
does	VVZ	do
not	RB	not
make	VV	make
sense	NN	sense
is	VBZ	be
in	IN	in
breach	NN	breach
of	IN	of
every	DT	every
international	JJ	international
law	NN	law
of	IN	of
every	DT	every
humanitarian	JJ	humanitarian
principle	NN	principle
of	IN	of
every	DT	every
morality	NN	morality
every	DT	every
fact	NN	fact
every	DT	every
principle	NN	principle
of	IN	of
decency	NN	decency
the	DT	the
Israel	NP	Israel
and	CC	and
also	RB	also
Germany	NP	Germany
the	DT	the
United	NP	United
States	NPS	States
have	VHP	have
said	VVN	say
this	DT	this
aggression	NN	aggression
has	VHZ	have
been	VBN	be
started	VVN	start
by	IN	by
that	DT	that
attack	NN	attack
of	IN	of
Hamas	NP	Hamas
on	IN	on
Israel	NP	Israel
otherwise	RB	otherwise
there	RB	there
wouldn	JJ	wouldn
'	''	'
t	NN	t
be	VB	be
this	DT	this
conflict	NN	conflict
going	VVG	go
on	IN	on
at	IN	at
the	DT	the
moment	NN	moment
I	PP	I
think	VVP	think
I	PP	I
think	VVP	think
the	DT	the
conflict	NN	conflict
has	VHZ	have
been	VBN	be
ongoing	JJ	ongoing
for	IN	for
75	CD	@card@
years	NNS	year
I	PP	I
think	VVP	think
the	DT	the
occupation	NN	occupation
the	DT	the
illegal	JJ	illegal
occupation	NN	occupation
of	IN	of
Palestine	NP	Palestine
has	VHZ	have
been	VBN	be
ongoing	JJ	ongoing
for	IN	for
many	JJ	many
decades	NNS	decade
I	PP	I
think	VVP	think
that	IN/that	that
the	DT	the
peace	NN	peace
agreements	NNS	agreement
that	IN/that	that
we	PP	we
sign	VV	sign
mind	NN	mind
promised	VVD	promise
an	DT	an
end	NN	end
to	TO	to
the	DT	the
conflict	NN	conflict
24	CD	@card@
years	NNS	year
ago	RB	ago
they	PP	they
have	VHP	have
been	VBN	be
breached	VVN	breach
this	DT	this
conflict	NN	conflict
it	PP	it
'	POS	'
s	NNS	s
important	JJ	important
as	IN	as
ugly	JJ	ugly
as	IN	as
the	DT	the
events	NNS	event
that	IN/that	that
we	PP	we
'	''	'
re	IN	re
all	DT	all
witnessing	VVG	witness
are	VBP	be
it	PP	it
is	VBZ	be
important	JJ	important
not	RB	not
to	TO	to
lose	VV	lose
sight	NN	sight
of	IN	of
the	DT	the
fact	NN	fact
that	IN/that	that
this	DT	this
conflict	NN	conflict
did	VVD	do
not	RB	not
start	VV	start
eight	CD	eight
or	CC	or
nine	CD	nine
days	NNS	day
ago	RB	ago
this	DT	this
conflict	NN	conflict
has	VHZ	have
been	VBN	be
ongoing	JJ	ongoing
for	IN	for
decades	NNS	decade
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
in	IN	in
the	DT	the
last	JJ	last
10	CD	@card@
years	NNS	year
alone	RB	alone
at	IN	at
least	JJS	least
four	CD	four
uh	UH	uh
assaults	NNS	assault
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
military	JJ	military
assaults	NNS	assault
that	WDT	that
have	VHP	have
claimed	VVN	claim
the	DT	the
lives	NNS	life
of	IN	of
thousands	NNS	thousand
of	IN	of
innocent	JJ	innocent
people	NNS	people
that	WDT	that
'	POS	'
s	NNS	s
not	RB	not
forget	VVP	forget
the	DT	the
ongoing	JJ	ongoing
the	DT	the
unhinged	VVN	unhinge
the	DT	the
unabated	JJ	unabated
assaults	NNS	assault
that	WDT	that
have	VHP	have
been	VBN	be
taking	VVG	take
place	NN	place
against	IN	against
the	DT	the
innocent	JJ	innocent
civilians	NNS	civilian
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
have	VHP	have
been	VBN	be
ongoing	JJ	ongoing
for	IN	for
years	NNS	year
have	VHP	have
been	VBN	be
ongoing	JJ	ongoing
for	IN	for
years	NNS	year
had	VHD	have
the	DT	the
International	NP	International
Community	NP	Community
rid	VVD	rid
its	PP$	its
support	NN	support
behind	IN	behind
a	DT	a
peace	NN	peace
process	NN	process
that	WDT	that
would	MD	would
end	VV	end
an	DT	an
that	WDT	that
would	MD	would
bring	VV	bring
an	DT	an
end	NN	end
to	TO	to
this	DT	this
conflict	NN	conflict
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
international	JJ	international
law	NN	law
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
the	DT	the
signed	VVN	sign
agreements	NNS	agreement
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
security	NN	security
Council	NP	Council
resolutions	NNS	resolution
we	PP	we
would	MD	would
have	VH	have
been	VBN	be
in	IN	in
a	DT	a
different	JJ	different
place	NN	place
now	RB	now
what	WP	what
role	NN	role
can	MD	can
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
play	NN	play
in	IN	in
this	DT	this
process	NN	process
now	RB	now
what	WP	what
help	NN	help
can	MD	can
you	PP	you
offer	VV	offer
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
do	VVP	do
you	PP	you
have	VHP	have
any	DT	any
influence	NN	influence
on	IN	on
Hamas	NNS	Hamas
at	IN	at
all	PDT	all
our	PP$	our
number	NN	number
one	CD	one
priority	NN	priority
right	NN	right
now	RB	now
is	VBZ	be
to	TO	to
bring	VV	bring
an	DT	an
end	NN	end
to	TO	to
the	DT	the
ongoing	JJ	ongoing
aggression	NN	aggression
that	RB	that
'	''	'
s	VVG	s
our	PP$	our
top	JJ	top
top	JJ	top
priority	NN	priority
our	PP$	our
top	JJ	top
priority	NN	priority
is	VBZ	be
to	TO	to
protect	VV	protect
the	DT	the
innocent	JJ	innocent
and	CC	and
civilians	NNS	civilian
that	WDT	that
are	VBP	be
by	IN	by
that	WDT	that
are	VBP	be
being	VBG	be
targeted	VVN	target
by	IN	by
this	DT	this
ongoing	JJ	ongoing
aggression	NN	aggression
and	CC	and
the	DT	the
aggression	NN	aggression
end	NN	end
the	DT	the
war	NN	war
save	IN	save
lives	NNS	life
that	RB	that
'	''	'
s	VVG	s
our	PP$	our
that	RB	that
'	''	'
s	VVG	s
our	PP$	our
priority	NN	priority
but	CC	but
what	WP	what
can	MD	can
you	PP	you
do	VV	do
to	TO	to
do	VV	do
to	TO	to
to	TO	to
achieve	VV	achieve
that	IN/that	that
once	RB	once
again	RB	again
we	PP	we
have	VHP	have
made	VVN	make
our	PP$	our
position	NN	position
abundantly	RB	abundantly
clear	VV	clear
we	PP	we
reject	VV	reject
the	DT	the
killing	NN	killing
of	IN	of
innocent	JJ	innocent
civilians	NNS	civilian
we	PP	we
renew	VVP	renew
the	DT	the
call	NN	call
for	IN	for
ending	VVG	end
the	DT	the
targeting	VVG	target
of	IN	of
uh	UH	uh
uh	UH	uh
civilians	NNS	civilian
everywhere	RB	everywhere
we	PP	we
call	VVP	call
for	IN	for
an	DT	an
immediate	JJ	immediate
release	NN	release
or	CC	or
all	DT	all
hostages	NNS	hostage
detes	NNS	detes
prisoners	NNS	prisoner
on	IN	on
both	DT	both
sides	NNS	side
and	CC	and
we	PP	we
are	VBP	be
exerting	VVG	exert
every	DT	every
possible	JJ	possible
effort	NN	effort
with	IN	with
the	DT	the
International	NP	International
Community	NP	Community
for	IN	for
a	DT	a
meaningful	JJ	meaningful
intervention	NN	intervention
that	WDT	that
would	MD	would
bring	VV	bring
an	DT	an
end	NN	end
to	TO	to
this	DT	this
aggression	NN	aggression
okay	JJ	okay
so	IN	so
you	PP	you
are	VBP	be
influencing	VVG	influence
the	DT	the
International	NP	International
Community	NP	Community
in	IN	in
turn	NN	turn
to	TO	to
influence	VV	influence
Israel	NP	Israel
to	TO	to
stop	VV	stop
the	DT	the
aggression	NN	aggression
is	VBZ	be
that	IN/that	that
your	PP$	your
position	NN	position
at	IN	at
this	DT	this
point	NN	point
blood	NN	blood
is	VBZ	be
being	VBG	be
spilled	VVN	spill
on	IN	on
the	DT	the
on	IN	on
on	IN	on
on	IN	on
the	DT	the
streets	NNS	street
uh	UH	uh
neighborhoods	NNS	neighborhood
are	VBP	be
being	VBG	be
uh	UH	uh
destroyed	VVD	destroy
one	CD	one
neighborhood	NN	neighborhood
at	IN	at
a	DT	a
time	NN	time
over	IN	over
1	CD	@card@
million	CD	million
Palestinians	NPS	Palestinians
are	VBP	be
being	VBG	be
forcibly	RB	forcibly
uh	UH	uh
uh	UH	uh
expelled	VVN	expel
from	IN	from
their	PP$	their
homes	NNS	home
uh	UH	uh
the	DT	the
continuation	NN	continuation
of	IN	of
the	DT	the
current	JJ	current
aggression	NN	aggression
would	MD	would
lead	VV	lead
probably	RB	probably
to	TO	to
the	DT	the
expulsion	NN	expulsion
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
as	RB	as
was	VBD	be
made	VVN	make
clear	JJ	clear
by	IN	by
uh	UH	uh
by	IN	by
by	IN	by
by	IN	by
the	DT	the
official	JJ	official
Israeli	JJ	Israeli
spokespersons	NNS	spokesperson
as	IN	as
one	CD	one
of	IN	of
the	DT	the
uh	UH	uh
objectives	NNS	objective
of	IN	of
the	DT	the
ongoing	JJ	ongoing
aggression	NN	aggression
is	VBZ	be
to	TO	to
expel	VV	expel
uh	UH	uh
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
living	VVG	live
in	IN	in
Gaza	NP	Gaza
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we	PP	we
are	VBP	be
witnessing	VVG	witness
a	DT	a
catastrophe	NN	catastrophe
we	PP	we
are	VBP	be
witnessing	VVG	witness
the	DT	the
continuation	NN	continuation
of	IN	of
the	DT	the
current	JJ	current
trajectory	NN	trajectory
portends	VVZ	portend
another	DT	another
nakba	NN	nakba
our	PP$	our
number	NN	number
one	CD	one
priority	NN	priority
now	RB	now
is	VBZ	be
to	TO	to
save	VV	save
lives	NNS	life
is	VBZ	be
to	TO	to
bring	VV	bring
an	DT	an
end	NN	end
to	TO	to
the	DT	the
aggression	NN	aggression
is	VBZ	be
to	TO	to
save	VV	save
the	DT	the
lives	NNS	life
of	IN	of
the	DT	the
innocent	JJ	innocent
people	NNS	people
from	IN	from
all	DT	all
sides	NNS	side
now	RB	now
German	JJ	German
Chancellor	NP	Chancellor
Olaf	NP	Olaf
schs	NNS	schs
is	VBZ	be
in	IN	in
Israel	NP	Israel
is	VBZ	be
visiting	VVG	visit
Israel	NP	Israel
today	NN	today
um	NNS	um
as	IN	as
a	DT	a
show	NN	show
of	IN	of
solidarity	NN	solidarity
also	RB	also
in	IN	in
terms	NNS	term
of	IN	of
diplom	NN	diplom
diplomacy	NN	diplomacy
Germany	NP	Germany
says	VVZ	say
that	IN/that	that
protecting	VVG	protect
Israel	NP	Israel
or	CC	or
the	DT	the
existence	NN	existence
of	IN	of
Israel	NP	Israel
is	VBZ	be
part	NN	part
of	IN	of
its	PP$	its
um	VVG	um
it	PP	it
'	POS	'
s	NN	S
called	VVN	call
ST	NP	St
which	WDT	which
as	IN	as
I	PP	I
say	VVP	say
in	IN	in
German	JJ	German
so	IN	so
a	DT	a
fundamental	JJ	fundamental
principle	NN	principle
of	IN	of
the	DT	the
German	JJ	German
State	NN	state
what	WP	what
role	NN	role
can	MD	can
Germany	NP	Germany
play	NN	play
in	IN	in
this	DT	this
whole	JJ	whole
situation	NN	situation
well	RB	well
I	PP	I
think	VVP	think
this	DT	this
question	NN	question
ought	MD	ought
to	TO	to
be	VB	be
asked	VVN	ask
to	TO	to
the	DT	the
government	NN	government
to	TO	to
give	VV	give
an	DT	an
explanation	NN	explanation
as	IN	as
what	WP	what
the	DT	the
concept	NN	concept
ofon	VV	ofon
uh	UH	uh
uh	UH	uh
uh	UH	uh
actually	RB	actually
means	VVZ	mean
but	CC	but
uh	UH	uh
I	NP	I
'	POS	'
m	NN	m
100	CD	@card@
%	NN	%
confident	JJ	confident
that	IN/that	that
also	RB	also
Germany	NP	Germany
is	VBZ	be
sincere	JJ	sincere
uh	UH	uh
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
its	PP$	its
commitment	NN	commitment
to	TO	to
international	JJ	international
law	NN	law
to	TO	to
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
and	CC	and
to	TO	to
human	JJ	human
rights	NNS	right
law	NN	law
and	CC	and
uh	UH	uh
it	PP	it
'	POS	'
s	NNS	s
clear	VVP	clear
that	IN/that	that
the	DT	the
current	JJ	current
events	NNS	event
are	VBP	be
in	IN	in
grave	JJ	grave
contradiction	NN	contradiction
of	IN	of
international	JJ	international
law	NN	law
of	IN	of
international	JJ	international
humanitarian	NN	humanitarian
in	IN	in
law	NN	law
hence	RB	hence
the	DT	the
values	NNS	value
that	IN/that	that
Germany	NP	Germany
Champions	NNS	champion
and	CC	and
stands	NNS	stand
for	IN	for
now	RB	now
uh	UH	uh
you	PP	you
'	POS	'
ve	NN	ve
repeatedly	RB	repeatedly
criticized	VVD	criticize
um	NNS	um
that	IN/that	that
here	RB	here
in	IN	in
Germany	NP	Germany
demonstrations	NNS	demonstration
in	IN	in
favor	NN	favor
of	IN	of
Palestinians	NPS	Palestinians
Pro	NP	Pro
Palestinian	NP	Palestinian
demonstrations	NNS	demonstration
have	VHP	have
been	VBN	be
uh	UH	uh
banned	VVN	ban
um	NNS	um
the	DT	the
police	NNS	police
have	VHP	have
said	VVN	say
that	IN/that	that
these	DT	these
will	MD	will
lead	VV	lead
to	TO	to
incitement	NN	incitement
to	TO	to
uh	UH	uh
hate	VV	hate
crimes	NNS	crime
possibly	RB	possibly
what	WP	what
can	MD	can
be	VB	be
done	VVN	do
to	TO	to
to	TO	to
kind	NN	kind
of	IN	of
how	WRB	how
shall	MD	shall
I	PP	I
say	VVP	say
to	TO	to
calm	VV	calm
tempers	NNS	temper
here	RB	here
in	IN	in
Germany	NP	Germany
amongst	IN	amongst
the	DT	the
Palestinian	JJ	Palestinian
Community	NN	community
well	RB	well
first	JJ	first
and	CC	and
foremost	RB	foremost
let	VV	let
me	PP	me
uh	UH	uh
make	VV	make
myself	PP	myself
very	RB	very
clear	VV	clear
we	PP	we
reject	VV	reject
incitement	NN	incitement
we	PP	we
reject	VVP	reject
all	DT	all
forms	NNS	form
of	IN	of
hate	NN	hate
speech	NN	speech
this	DT	this
applies	VVZ	apply
Palestine	NP	Palestine
and	CC	and
certainly	RB	certainly
applies	VVZ	apply
here	RB	here
in	IN	in
Germany	NP	Germany
and	CC	and
I	PP	I
think	VVP	think
in	IN	in
order	NN	order
to	TO	to
address	VV	address
incitement	NN	incitement
one	PP	one
needs	VVZ	need
to	TO	to
address	VV	address
the	DT	the
root	NN	root
causes	VVZ	cause
of	IN	of
incitement	NN	incitement
and	CC	and
let	VV	let
'	''	'
s	NNS	s
not	RB	not
lose	VVP	lose
sight	NN	sight
of	IN	of
the	DT	the
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
events	NNS	event
on	IN	on
the	DT	the
ground	NN	ground
are	VBP	be
the	DT	the
most	RBS	most
powerful	JJ	powerful
source	NN	source
of	IN	of
incitement	NN	incitement
the	DT	the
events	NNS	event
on	IN	on
the	DT	the
ground	NN	ground
are	VBP	be
the	DT	the
ones	NNS	one
that	WDT	that
are	VBP	be
fueling	VVG	fuel
all	PDT	all
the	DT	the
emotions	NNS	emotion
amongst	IN	amongst
everyone	NN	everyone
that	IN/that	that
being	NN	being
said	VVD	say
I	PP	I
urge	VVP	urge
everyone	NN	everyone
to	TO	to
respect	VV	respect
the	DT	the
laws	NNS	law
to	TO	to
respect	VV	respect
the	DT	the
values	NNS	value
of	IN	of
the	DT	the
societies	NNS	society
and	CC	and
as	RB	as
much	RB	much
as	IN	as
I	PP	I
urge	VVP	urge
each	DT	each
and	CC	and
every	DT	every
citizen	NN	citizen
to	TO	to
do	VV	do
so	IN	so
I	PP	I
urge	VVP	urge
the	DT	the
authorities	NNS	authority
in	IN	in
every	DT	every
capital	NN	capital
and	CC	and
particularly	RB	particularly
in	IN	in
the	DT	the
capitals	NNS	capital
of	IN	of
the	DT	the
Free	NP	Free
World	NP	World
also	RB	also
to	TO	to
respect	VV	respect
the	DT	the
laws	NNS	law
and	CC	and
to	TO	to
respect	VV	respect
the	DT	the
values	NNS	value
that	WDT	that
serve	VVP	serve
as	IN	as
a	DT	a
distinctive	JJ	distinctive
Mark	NN	mark
in	IN	in
these	DT	these
societies	NNS	society
such	JJ	such
as	IN	as
the	DT	the
values	NNS	value
of	IN	of
free	JJ	free
speech	NN	speech
and	CC	and
expression	NN	expression
I	PP	I
believe	VVP	believe
I	PP	I
believe	VVP	believe
that	IN/that	that
these	DT	these
values	NNS	value
or	CC	or
the	DT	the
wide	JJ	wide
space	NN	space
for	IN	for
free	JJ	free
expression	NN	expression
is	VBZ	be
being	VBG	be
Abed	NP	Abed
probably	RB	probably
unintentionally	RB	unintentionally
probably	RB	probably
out	IN	out
of	IN	of
impulse	NN	impulse
but	CC	but
this	DT	this
is	VBZ	be
where	WRB	where
author	NN	author
parties	NNS	party
should	MD	should
intervene	VV	intervene
reassess	VV	reassess
I	PP	I
assure	VV	assure
you	PP	you
that	IN/that	that
the	DT	the
rallies	NNS	rally
and	CC	and
events	NNS	event
that	WDT	that
are	VBP	be
being	VBG	be
most	JJS	most
of	IN	of
them	PP	them
that	WDT	that
are	VBP	be
being	VBG	be
restricted	VVN	restrict
wish	VVP	wish
to	TO	to
express	VV	express
rejection	NN	rejection
to	TO	to
war	VV	war
rejection	NN	rejection
to	TO	to
violence	NN	violence
rejection	NN	rejection
to	TO	to
attempts	NNS	attempt
to	TO	to
violate	VV	violate
international	JJ	international
law	NN	law
they	PP	they
are	VBP	be
calling	VVG	call
for	IN	for
upholding	VVG	uphold
human	JJ	human
rights	NNS	right
I	PP	I
think	VVP	think
it	PP	it
would	MD	would
be	VB	be
uh	UH	uh
inappropriate	JJ	inappropriate
unwise	JJ	unwise
to	TO	to
restrict	VV	restrict
them	PP	them
now	RB	now
what	WP	what
do	VVP	do
what	WP	what
chance	NN	chance
do	VVP	do
you	PP	you
see	VVP	see
for	IN	for
peace	NN	peace
what	WP	what
what	WDT	what
is	VBZ	be
your	PP$	your
vision	NN	vision
for	IN	for
Gaza	NP	Gaza
as	IN	as
you	PP	you
would	MD	would
imagine	VV	imagine
I	PP	I
'	POS	'
m	NN	m
very	RB	very
sad	JJ	sad
I	PP	I
'	''	'
m	NN	m
very	RB	very
upset	VV	upset
I	PP	I
'	POS	'
m	NN	m
worried	VVN	worry
for	IN	for
the	DT	the
millions	NNS	million
that	WDT	that
are	VBP	be
being	VBG	be
made	VVN	make
to	TO	to
pay	VV	pay
the	DT	the
price	NN	price
of	IN	of
this	DT	this
conflict	NN	conflict
the	DT	the
millions	NNS	million
of	IN	of
