meanwhile	RB	meanwhile
more	RBR	more
often	RB	often
than	IN	than
we	PP	we
stay	VVP	stay
put	VV	put
every	DT	every
day	NN	day
we	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
different	JJ	different
area	NN	area
in	IN	in
the	DT	the
North	NP	North
in	IN	in
the	DT	the
south	NN	south
in	IN	in
the	DT	the
East	NNS	East
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
where	WRB	where
to	TO	to
go	VV	go
gaza	NP	Gaza
'	POS	'
s	JJ	s
Southernmost	JJ	southernmost
city	NN	city
Rafa	NP	Rafa
was	VBD	be
long	RB	long
considered	VVN	consider
the	DT	the
safest	JJS	safe
place	NN	place
left	VVD	leave
in	IN	in
the	DT	the
strip	NN	strip
but	CC	but
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
now	RB	now
trying	VVG	try
to	TO	to
root	VV	root
out	RP	out
Hamas	JJ	Hamas
Fighters	NNS	fighter
here	RB	here
too	RB	too
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
have	VHP	have
already	RB	already
left	VVN	leave
the	DT	the
city	NN	city
according	VVG	accord
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
while	IN	while
more	JJR	more
are	VBP	be
still	RB	still
trying	VVG	try
to	TO	to
leave	VV	leave
many	JJ	many
of	IN	of
those	DT	those
displaced	VVN	displace
by	IN	by
the	DT	the
fighting	NN	fighting
in	IN	in
Rafa	NP	Rafa
have	VHP	have
headed	VVN	head
north	RB	north
to	TO	to
Central	NP	Central
Gaza	NP	Gaza
this	DT	this
woman	NN	woman
said	VVD	say
she	PP	she
'	POS	'
d	NN	d
followed	VVD	follow
the	DT	the
Israeli	JJ	Israeli
evacuation	NN	evacuation
orders	NNS	order
but	CC	but
that	IN/that	that
now	RB	now
she	PP	she
couldn	NN	couldn
'	POS	'
t	NN	t
find	VVP	find
even	RB	even
basic	JJ	basic
supplies	NNS	supply
for	IN	for
her	PP$	her
children	NNS	child
there	RB	there
'	''	'
s	VVG	s
no	DT	no
safe	JJ	safe
place	NN	place
the	DT	the
situation	NN	situation
is	VBZ	be
very	RB	very
hard	RB	hard
there	EX	there
'	''	'
s	VVG	s
no	DT	no
food	NN	food
no	RB	no
drinks	VVZ	drink
even	RB	even
the	DT	the
water	NN	water
is	VBZ	be
hard	JJ	hard
to	TO	to
get	VV	get
my	PP$	my
children	NNS	child
cry	VVP	cry
and	CC	and
tell	VVP	tell
me	PP	me
mother	VVP	mother
we	PP	we
want	VVP	want
to	TO	to
drink	VV	drink
and	CC	and
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
what	WP	what
to	TO	to
do	VV	do
like	IN	like
everyone	NN	everyone
else	NN	else
who	WP	who
left	VVD	leave
Rafa	NP	Rafa
and	CC	and
came	VVD	come
here	RB	here
and	CC	and
we	PP	we
'	POS	'
re	NN	re
displaced	VVD	displace
here	RB	here
but	CC	but
there	EX	there
'	''	'
s	VVG	s
no	DT	no
safe	JJ	safe
place	NN	place
with	IN	with
Palestinians	NNS	Palestinian
desperately	RB	desperately
searching	VVG	search
for	IN	for
safety	NN	safety
Washington	NP	Washington
has	VHZ	have
again	RB	again
called	VVN	call
on	IN	on
Israel	NP	Israel
not	RB	not
to	TO	to
launch	VV	launch
a	DT	a
fullscale	NN	fullscale
ground	NN	ground
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
Israel	NP	Israel
'	POS	'
s	NN	S
on	IN	on
the	DT	the
trajectory	NN	trajectory
potentially	RB	potentially
to	TO	to
inherit	VV	inherit
an	DT	an
Insurgency	NN	insurgency
with	IN	with
many	JJ	many
armed	JJ	armed
toas	NNS	toas
left	VVN	leave
or	CC	or
if	IN	if
it	PP	it
leaves	VVZ	leave
a	DT	a
vacuum	NN	vacuum
filled	VVN	fill
by	IN	by
chaos	NN	chaos
filled	VVN	fill
by	IN	by
Anarchy	NN	anarchy
and	CC	and
probably	RB	probably
refilled	VVN	refill
by	IN	by
Hamas	NP	Hamas
but	CC	but
with	IN	with
Israel	NP	Israel
increasing	VVG	increase
its	PP$	its
attacks	NNS	attack
throughout	IN	throughout
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
calls	VVZ	call
for	IN	for
restraint	NN	restraint
even	RB	even
from	IN	from
its	PP$	its
closest	JJS	close
Ally	NP	Ally
seem	VVP	seem
to	TO	to
be	VB	be
falling	VVG	fall
on	IN	on
deaf	JJ	deaf
ears	NNS	ear
