<video_id>9uLG_9kDAQs</video_id>	JJ	<video_id>9uLG_9kDAQs</video_id>
discussions	NNS	discussion
of	IN	of
Nazi	JJ	Nazi
history	NN	history
of	IN	of
Germany's	NP	Germany's
Nazi	NP	Nazi
history	NN	history
um	NNS	um
have	VHP	have
been	VBN	be
made	VVN	make
since	IN	since
the	DT	the
end	NN	end
of	IN	of
the	DT	the
war	NN	war
never	RB	never
again	RB	again
should	MD	should
something	RB	something
like	VV	like
this	DT	this
happen	VV	happen
on	IN	on
German	JJ	German
soil	NN	soil
and	CC	and
that's	NNS	that's
the	DT	the
reason	NN	reason
why	WRB	why
uh	UH	uh
this	DT	this
kind	NN	kind
of	IN	of
intensity	NN	intensity
is	VBZ	be
being	VBG	be
put	VVN	put
into	IN	into
this	DT	this
discussion	NN	discussion
here	RB	here
here	RB	here
in	IN	in
Germany	NP	Germany
that	DT	that
intensity	NN	intensity
we	PP	we
feel	VVP	feel
we	PP	we
get	VV	get
from	IN	from
Robert	NP	Robert
Hab	NP	Hab
who	WP	who
is	VBZ	be
a	DT	a
very	JJ	very
uh	UH	uh
good	JJ	good
public	JJ	public
speaker	NN	speaker
and	CC	and
comes	VVZ	come
across	RP	across
as	RB	as
very	RB	very
empathetic	JJ	empathetic
and	CC	and
does	VVZ	do
his	PP$	his
statement	NN	statement
and	CC	and
the	DT	the
other	JJ	other
statements	NNS	statement
that	WDT	that
have	VHP	have
been	VBN	be
made	VVN	make
in	IN	in
this	DT	this
regard	NN	regard
um	NNS	um
make	VVP	make
it	PP	it
more	RBR	more
difficult	JJ	difficult
to	TO	to
criticize	VV	criticize
the	DT	the
Israeli	JJ	Israeli
armed	JJ	armed
forces	NNS	force
and	CC	and
what	WP	what
they're	NNS	they're
doing	VVG	do
in	IN	in
Gaza	NP	Gaza
now	RB	now
because	RB	because
there's	RB	there's
debate	VV	debate
around	RP	around
that	IN/that	that
too	RB	too
absolutely	RB	absolutely
it's	JJ	it's
a	DT	a
very	RB	very
very	RB	very
fine	JJ	fine
line	NN	line
that	IN/that	that
the	DT	the
German	JJ	German
government	NN	government
especially	RB	especially
the	DT	the
greens	NNS	green
are	VBP	be
trading	VVG	trade
here	RB	here
I	PP	I
think	VVP	think
it	PP	it
doesn't	VVD	doesn't
make	VV	make
uh	UH	uh
criticism	NN	criticism
impossible	JJ	impossible
and	CC	and
there	EX	there
have	VHP	have
in	IN	in
the	DT	the
past	NN	past
been	VBN	be
statements	NNS	statement
that	WDT	that
are	VBP	be
critical	JJ	critical
of	IN	of
the	DT	the
Israeli	JJ	Israeli
government	NN	government
at	IN	at
the	DT	the
moment	NN	moment
there	EX	there
is	VBZ	be
a	DT	a
very	RB	very
strong	JJ	strong
focus	NN	focus
on	IN	on
Israel's	NP	Israel's
right	NN	right
to	TO	to
defend	VV	defend
itself	PP	itself
is	VBZ	be
Israel's	JJ	Israel's
right	RB	right
to	TO	to
exists	VVZ	exist
and	CC	and
the	DT	the
German	JJ	German
um	NN	um
they	PP	they
call	VVP	call
it	PP	it
in	IN	in
the	DT	the
interest	NN	interest
of	IN	of
German	JJ	German
states	NNS	state
the	DT	the
national	JJ	national
interest	NN	interest
as	IN	as
reasons	NNS	reason
of	IN	of
state	NN	state
that	IN/that	that
Israel	NP	Israel
can	MD	can
exist	VV	exist
which	WDT	which
is	VBZ	be
um	JJ	um
kind	NN	kind
of	IN	of
explained	VVN	explain
in	IN	in
terms	NNS	term
of	IN	of
German	JJ	German
history	NN	history
U	NP	U
but	CC	but
there	EX	there
has	VHZ	have
been	VBN	be
criticism	NN	criticism
and	CC	and
even	RB	even
in	IN	in
recent	JJ	recent
days	NNS	day
green	JJ	green
politicians	NNS	politician
and	CC	and
the	DT	the
German	JJ	German
government	NN	government
have	VHP	have
said	VVN	say
for	IN	for
instance	NN	instance
that	WDT	that
uh	UH	uh
the	DT	the
um	JJ	um
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
should	MD	should
be	VB	be
uh	UH	uh
safe	JJ	safe
that	IN/that	that
their	PP$	their
safety	NN	safety
should	MD	should
be	VB	be
respected	VVN	respect
even	RB	even
by	IN	by
uh	UH	uh
in	IN	in
the	DT	the
course	NN	course
of	IN	of
the	DT	the
Israeli	JJ	Israeli
counter	JJ	counter
offensive	JJ	offensive
um	NNS	um
so	RB	so
there	EX	there
is	VBZ	be
some	DT	some
um	RB	um
sensitive	JJ	sensitive
one	PP	one
might	MD	might
say	VV	say
some	DT	some
careful	JJ	careful
criticism	NN	criticism
involved	VVN	involve
but	CC	but
the	DT	the
basis	NN	basis
of	IN	of
it	PP	it
of	IN	of
German	JJ	German
reaction	NN	reaction
at	IN	at
the	DT	the
moment	NN	moment
is	VBZ	be
support	NN	support
for	IN	for
Israel	NP	Israel
now	RB	now
H	NN	H
if	IN	if
you	PP	you
don't	VVD	don't
mind	NN	mind
to	TO	to
show	VV	show
our	PP$	our
viewers	NNS	viewer
some	DT	some
pictures	NNS	picture
and	CC	and
video	NN	video
that	WDT	that
have	VHP	have
been	VBN	be
shot	VVN	shoot
in	IN	in
the	DT	the
past	JJ	past
uh	UH	uh
couple	NN	couple
of	IN	of
days	NNS	day
and	CC	and
get	VV	get
you	PP	you
to	TO	to
react	VV	react
to	TO	to
them	PP	them
uh	UH	uh
police	NNS	police
have	VHP	have
reported	VVN	report
a	DT	a
dozen	NN	dozen
such	JJ	such
graffitis	NN	graffitis
in	IN	in
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
stars	NNS	star
of	IN	of
David	NP	David
being	VBG	be
painted	VVN	paint
on	IN	on
buildings	NNS	building
other	JJ	other
graffiti	NNS	graffito
there	RB	there
you	PP	you
have	VHP	have
it	PP	it
um	NN	um
evoking	VVG	evoke
what	WP	what
what	WP	what
is	VBZ	be
the	DT	the
purpose	NN	purpose
of	IN	of
this	DT	this
and	CC	and
why	WRB	why
why	RB	why
are	VBP	be
the	DT	the
police	NN	police
getting	VVG	get
involved	JJ	involved
well	NN	well
um	NNS	um
here	RB	here
in	IN	in
Germany	NP	Germany
one	CD	one
things	NNS	thing
immediately	RB	immediately
of	IN	of
the	DT	the
30s	NNS	30s
of	IN	of
Nazi	JJ	Nazi
rule	NN	rule
in	IN	in
the	DT	the
30s	NNS	30s
at	IN	at
that	DT	that
time	NN	time
The	DT	the
Naz	NP	Naz
these	DT	these
marked	JJ	marked
buildings	NNS	building
and	CC	and
shops	NNS	shop
H	NN	H
run	VVN	run
by	IN	by
Jews	NPS	Jews
with	IN	with
the	DT	the
Star	NP	Star
of	IN	of
David	NP	David
um	NNS	um
so	RB	so
there	EX	there
is	VBZ	be
this	DT	this
sense	NN	sense
that	IN/that	that
this	DT	this
could	MD	could
be	VB	be
anti-semitic	JJ	anti-semitic
graffiti	NNS	graffito
that	WDT	that
uh	UH	uh
and	CC	and
that	DT	that
is	VBZ	be
exactly	RB	exactly
how	WRB	how
the	DT	the
police	NN	police
is	VBZ	be
in	IN	in
fact	NN	fact
treating	VVG	treat
it	PP	it
as	IN	as
a	DT	a
sign	NN	sign
of	IN	of
anti-Semitism	NN	anti-Semitism
um	NNS	um
I	PP	I
think	VVP	think
one	PP	one
has	VHZ	have
to	TO	to
say	VV	say
there	EX	there
is	VBZ	be
a	DT	a
very	RB	very
intense	JJ	intense
debate	NN	debate
going	VVG	go
on	IN	on
in	IN	in
Germany	NP	Germany
at	IN	at
the	DT	the
moment	NN	moment
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
um	JJ	um
Palestinian	JJ	Palestinian
sympathizers	NNS	sympathizer
people	NNS	people
with	IN	with
a	DT	a
Palestinian	JJ	Palestinian
background	NN	background
uh	UH	uh
people	NNS	people
with	IN	with
a	DT	a
migrant	JJ	migrant
background	NN	background
from	IN	from
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
so	RB	so
on	IN	on
in	IN	in
Germany	NP	Germany
there	EX	there
have	VHP	have
been	VBN	be
Pro	NP	Pro
Palestinian	JJ	Palestinian
demonstrations	NNS	demonstration
on	IN	on
German	JJ	German
streets	NNS	street
and	CC	and
uh	UH	uh
the	DT	the
police	NNS	police
are	VBP	be
treating	VVG	treat
these	DT	these
as	RB	as
anti-semitic	JJ	anti-semitic
uh	UH	uh
graffiti	NNS	graffito
obviously	RB	obviously
if	IN	if
one	CD	one
were	VBD	be
to	TO	to
for	IN	for
instance	NN	instance
um	VVG	um
uh	UH	uh
use	VV	use
graffiti	NNS	graffito
such	JJ	such
as	IN	as
um	VVG	um
uh	UH	uh
a	DT	a
um	NNS	um
prop	VV	prop
Palestinian	JJ	Palestinian
or	CC	or
Hamas	JJ	Hamas
graffiti	NNS	graffito
that	WDT	that
would	MD	would
be	VB	be
prohibited	VVN	prohibit
in	IN	in
itself	PP	itself
whereas	IN	whereas
the	DT	the
Star	NP	Star
of	IN	of
David	NP	David
is	VBZ	be
not	RB	not
prohibited	VVN	prohibit
in	IN	in
itself	PP	itself
okay	JJ	okay
so	IN	so
police	NNS	police
are	VBP	be
on	IN	on
the	DT	the
lookout	NN	lookout
and	CC	and
and	CC	and
the	DT	the
political	JJ	political
class	NN	class
seems	VVZ	seem
to	TO	to
be	VB	be
standing	VVG	stand
as	RB	as
steadfast	JJ	steadfast
behind	IN	behind
Israel	NP	Israel
and	CC	and
and	CC	and
staying	VVG	stay
in	IN	in
that	DT	that
position	NN	position
it	PP	it
has	VHZ	have
since	IN	since
the	DT	the
beginning	NN	beginning
hence	RB	hence
brand	NN	brand
thanks	NNS	thanks
for	IN	for
that	DT	that
Insight	NP	Insight
the	DT	the
Israeli	JJ	Israeli
military	NN	military
says	VVZ	say
it	PP	it
has	VHZ	have
killed	VVN	kill
the	DT	the
Hamas	JJ	Hamas
commander	NN	commander
who	WP	who
led	VVD	lead
one	CD	one
of	IN	of
the	DT	the
terror	NN	terror
attacks	NNS	attack
on	IN	on
Border	NP	Border
villages	NNS	village
in	IN	in
Israel	NP	Israel
last	JJ	last
week	NN	week
it	PP	it
has	VHZ	have
released	VVN	release
a	DT	a
video	NN	video
of	IN	of
what	WP	what
it	PP	it
says	VVZ	say
is	VBZ	be
an	DT	an
air	NN	air
strike	NN	strike
on	IN	on
a	DT	a
building	NN	building
in	IN	in
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
City	NP	City
that	IN/that	that
it	PP	it
says	VVZ	say
killed	VVN	kill
Hamas	NP	Hamas
Commander	NP	Commander
belal	NP	belal
al-adra	NP	al-adra
the	DT	the
Army	NP	Army
said	VVD	say
he	PP	he
was	VBD	be
responsible	JJ	responsible
for	IN	for
the	DT	the
kibuts	JJ	kibuts
N	NP	N
Massacre	NN	massacre
where	WRB	where
residents	NNS	resident
were	VBD	be
killed	VVN	kill
in	IN	in
their	PP$	their
homes	NNS	home
it	PP	it
also	RB	also
said	VVD	say
two	CD	two
other	JJ	other
Hamas	NN	Hamas
commanders	NNS	commander
were	VBD	be
killed	VVN	kill
in	IN	in
recent	JJ	recent
air	NN	air
strikes	NNS	strike
on	IN	on
Gaza	NP	Gaza
Hamas	NP	Hamas
has	VHZ	have
not	RB	not
confirmed	VVN	confirm
their	PP$	their
</doc>	NN	</doc>
