<video_id>sz0O7_Ex2Po</video_id>	JJ	<video_id>sz0O7_Ex2Po</video_id>
Africa	NP	Africa
for	IN	for
his	PP$	his
statement	NN	statement
I	PP	I
now	RB	now
invite	VV	invite
Professor	NP	Professor
Von	NP	Von
L	NP	L
to	TO	to
take	VV	take
the	DT	the
floor	NN	floor
you	PP	you
have	VHP	have
the	DT	the
floor	NN	floor
sir	NN	sir
thank	VVP	thank
you	PP	you
sir	NN	sir
Mr	NP	Mr
President	NP	President
members	NNS	member
of	IN	of
the	DT	the
Court	NP	Court
it	PP	it
is	VBZ	be
a	DT	a
privilege	NN	privilege
to	TO	to
appear	VV	appear
before	IN	before
you	PP	you
and	CC	and
an	DT	an
honor	NN	honor
to	TO	to
have	VH	have
been	VBN	be
entrusted	VVN	entrust
with	IN	with
the	DT	the
presentation	NN	presentation
of	IN	of
this	DT	this
part	NN	part
of	IN	of
South	JJ	South
Africa's	NNS	Africa's
submissions	NNS	submission
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
routine	JJ	routine
case	NN	case
it's	NNS	it's
not	RB	not
even	RB	even
a	DT	a
routine	JJ	routine
case	NN	case
on	IN	on
the	DT	the
use	NN	use
of	IN	of
force	NN	force
or	CC	or
on	IN	on
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
South	NP	South
Africa	NP	Africa
is	VBZ	be
here	RB	here
because	IN	because
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
are	VBP	be
facing	VVG	face
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
and	CC	and
your	PP$	your
previous	JJ	previous
orders	NNS	order
have	VHP	have
not	RB	not
succeeded	VVN	succeed
in	IN	in
protecting	VVG	protect
them	PP	them
against	IN	against
that	IN/that	that
the	DT	the
Court	NN	court
held	VVN	hold
in	IN	in
January	NP	January
that	IN/that	that
the	DT	the
Palestinians	NPS	Palestinians
have	VHP	have
a	DT	a
legal	JJ	legal
right	NN	right
to	TO	to
protection	NN	protection
against	IN	against
genocide	NN	genocide
and	CC	and
that	IN/that	that
South	NP	South
Africa	NP	Africa
had	VHD	have
shown	VVN	show
that	IN/that	that
there	EX	there
was	VBD	be
a	DT	a
real	JJ	real
and	CC	and
imminent	JJ	imminent
risk	NN	risk
to	TO	to
the	DT	the
irreparable	JJ	irreparable
violation	NN	violation
of	IN	of
that	WDT	that
right	NN	right
the	DT	the
court	NN	court
issued	VVD	issue
an	DT	an
order	NN	order
because	IN	because
it	PP	it
considered	VVD	consider
it	PP	it
necessary	JJ	necessary
to	TO	to
protect	VV	protect
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
against	IN	against
genocide	NN	genocide
and	CC	and
it	PP	it
issued	VVD	issue
a	DT	a
further	JJR	further
order	NN	order
in	IN	in
March	NP	March
but	CC	but
whether	IN	whether
because	IN	because
of	IN	of
a	DT	a
lack	NN	lack
of	IN	of
clarity	NN	clarity
as	RB	as
to	TO	to
precisely	RB	precisely
what	WP	what
the	DT	the
orders	NNS	order
require	VVP	require
or	CC	or
because	IN	because
Israel	NP	Israel
chooses	VVZ	choose
to	TO	to
ignore	VV	ignore
them	PP	them
they	PP	they
have	VHP	have
not	RB	not
been	VBN	be
effective	JJ	effective
the	DT	the
United	NP	United
Nations	NPS	Nations
had	VHD	have
a	DT	a
framework	NN	framework
including	VVG	include
the	DT	the
security	NN	security
Council	NN	council
and	CC	and
the	DT	the
general	JJ	general
assembly	NN	assembly
for	IN	for
addressing	VVG	address
international	JJ	international
disputes	NNS	dispute
but	CC	but
this	DT	this
part	NN	part
has	VHZ	have
not	RB	not
worked	VVN	work
well	RB	well
in	IN	in
case	NN	case
and	CC	and
South	NP	South
Africa	NP	Africa
respectfully	RB	respectfully
asks	VVZ	ask
the	DT	the
court	NN	court
to	TO	to
reassert	VV	reassert
its	PP$	its
Authority	NP	Authority
and	CC	and
its	PP$	its
role	NN	role
in	IN	in
this	DT	this
framework	NN	framework
South	NP	South
Africa	NP	Africa
has	VHZ	have
considered	VVN	consider
the	DT	the
technical	JJ	technical
legal	JJ	legal
requirements	NNS	requirement
for	IN	for
provisional	JJ	provisional
measures	NNS	measure
changing	VVG	change
the	DT	the
situation	NN	situation
and	CC	and
so	RB	so
on	RB	on
and	CC	and
will	MD	will
address	VV	address
them	PP	them
but	CC	but
the	DT	the
essential	JJ	essential
point	NN	point
is	VBZ	be
that	IN/that	that
the	DT	the
court	NN	court
has	VHZ	have
has	VHZ	have
the	DT	the
power	NN	power
to	TO	to
act	VV	act
to	TO	to
ensure	VV	ensure
that	IN/that	that
its	PP$	its
previous	JJ	previous
orders	NNS	order
and	CC	and
its	PP$	its
eventual	JJ	eventual
judgment	NN	judgment
will	MD	will
not	RB	not
be	VB	be
worthless	JJ	worthless
and	CC	and
that	IN/that	that
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
will	MD	will
be	VB	be
protected	VVN	protect
and	CC	and
that	IN/that	that
it	PP	it
needs	VVZ	need
to	TO	to
exercise	VV	exercise
that	DT	that
power	NN	power
now	RB	now
Israel's	NP	Israel's
action	NN	action
is	VBZ	be
directed	VVN	direct
against	IN	against
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
throughout	IN	throughout
Gaza	NP	Gaza
and	CC	and
the	DT	the
West	NP	West
Bank	NP	Bank
South	NP	South
Africa's	NNS	Africa's
request	NN	request
was	VBD	be
initially	RB	initially
focused	VVN	focus
on	IN	on
Rafa	NP	Rafa
because	IN	because
the	DT	the
imminent	JJ	imminent
Prospect	NP	Prospect
of	IN	of
death	NN	death
and	CC	and
suffering	NN	suffering
on	IN	on
a	DT	a
massive	JJ	massive
scale	NN	scale
resulting	VVG	result
from	IN	from
Israel's	NP	Israel's
attack	NN	attack
since	IN	since
that	DT	that
request	NN	request
was	VBD	be
made	VVN	make
it	PP	it
has	VHZ	have
become	VVN	become
increasingly	RB	increasingly
clear	JJ	clear
that	IN/that	that
Israel's	NP	Israel's
actions	NNS	action
in	IN	in
Rafa	NP	Rafa
are	VBP	be
part	NN	part
of	IN	of
the	DT	the
end	NN	end
game	NN	game
in	IN	in
which	WDT	which
Gaza	NP	Gaza
is	VBZ	be
utterly	RB	utterly
destroyed	VVN	destroy
as	IN	as
an	DT	an
area	NN	area
capable	JJ	capable
of	IN	of
human	JJ	human
habitation	NN	habitation
this	DT	this
is	VBZ	be
the	DT	the
last	JJ	last
step	NN	step
in	IN	in
the	DT	the
destruction	NN	destruction
of	IN	of
Gaza	NP	Gaza
and	CC	and
its	PP$	its
Palestinian	JJ	Palestinian
people	NNS	people
it	PP	it
was	VBD	be
Rafa	NP	Rafa
that	WDT	that
brought	VVD	bring
South	NP	South
Africa	NP	Africa
to	TO	to
the	DT	the
court	NN	court
but	CC	but
it	PP	it
is	VBZ	be
all	DT	all
Palestinians	NNS	Palestinian
as	IN	as
a	DT	a
national	JJ	national
ethnical	JJ	ethnical
and	CC	and
racial	JJ	racial
group	NN	group
who	WP	who
need	VVP	need
the	DT	the
protection	NN	protection
from	IN	from
genocide	NN	genocide
that	IN/that	that
the	DT	the
court	NN	court
can	MD	can
order	VV	order
we've	NN	we've
heard	VVN	hear
expressions	NNS	expression
of	IN	of
outrage	NN	outrage
that	IN/that	that
anyone	NN	anyone
could	MD	could
accuse	VV	accuse
Israel	NP	Israel
of	IN	of
acting	VVG	act
in	IN	in
this	DT	this
way	NN	way
we've	NN	we've
heard	VVD	hear
assurances	NNS	assurance
that	IN/that	that
Israel	NP	Israel
was	VBD	be
doing	VVG	do
everything	NN	everything
in	IN	in
its	PP$	its
power	NN	power
to	TO	to
avoid	VV	avoid
civilian	JJ	civilian
deaths	NNS	death
as	IN	as
it	PP	it
exercised	VVD	exercise
its	PP$	its
claimed	VVN	claim
right	NN	right
of	IN	of
self-defense	NN	self-defense
we've	NN	we've
heard	VVD	hear
boasts	NNS	boast
that	IN/that	that
Israel's	NP	Israel's
Army	NP	Army
is	VBZ	be
the	DT	the
most	RBS	most
moral	JJ	moral
Army	NN	army
in	IN	in
history	NN	history
and	CC	and
we've	NN	we've
heard	VVD	hear
denials	NNS	denial
that	IN/that	that
there	EX	there
is	VBZ	be
famine	NN	famine
in	IN	in
Gaza	NP	Gaza
for	IN	for
months	NNS	month
people	NNS	people
particularly	RB	particularly
in	IN	in
the	DT	the
west	NN	west
have	VHP	have
appeared	VVN	appear
unwilling	JJ	unwilling
to	TO	to
accept	VV	accept
that	IN/that	that
the	DT	the
accusations	NNS	accusation
are	VBP	be
true	JJ	true
how	WRB	how
could	MD	could
people	NNS	people
who	WP	who
look	VVP	look
like	IN	like
us	PP	us
and	CC	and
sound	VV	sound
like	IN	like
us	PP	us
possibly	RB	possibly
engage	VVP	engage
in	IN	in
anything	NN	anything
like	IN	like
genocide	NN	genocide
but	CC	but
the	DT	the
evidence	NN	evidence
has	VHZ	have
to	TO	to
be	VB	be
faced	VVN	face
my	PP$	my
colleagues	NNS	colleague
will	MD	will
take	VV	take
you	PP	you
to	TO	to
that	DT	that
evidence	NN	evidence
including	VVG	include
evidence	NN	evidence
of	IN	of
continued	JJ	continued
bombings	NNS	bombing
attacks	NNS	attack
on	IN	on
people	NNS	people
in	IN	in
so-called	JJ	so-called
safe	JJ	safe
areas	NNS	area
to	TO	to
which	WDT	which
they've	NN	they've
been	VBN	be
directed	VVN	direct
by	IN	by
Israel	NP	Israel
attacks	NNS	attack
on	IN	on
Aid	NN	aid
convoys	NNS	convoy
and	CC	and
of	IN	of
mass	JJ	mass
Graves	NP	Graves
and	CC	and
the	DT	the
horrors	NNS	horror
of	IN	of
which	WDT	which
the	DT	the
corpses	NNS	corpse
speak	VVP	speak
there	EX	there
is	VBZ	be
no	DT	no
credible	JJ	credible
argument	NN	argument
that	IN/that	that
this	DT	this
catastrophe	NN	catastrophe
is	VBZ	be
not	RB	not
real	JJ	real
the	DT	the
court	NN	court
has	VHZ	have
already	RB	already
found	VVN	find
a	DT	a
real	JJ	real
and	CC	and
imminent	JJ	imminent
risk	NN	risk
of	IN	of
the	DT	the
violation	NN	violation
of	IN	of
the	DT	the
rights	NNS	right
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
to	TO	to
genocide	NN	genocide
the	DT	the
court	NN	court
is	VBZ	be
aware	JJ	aware
of	IN	of
the	DT	the
statements	NNS	statement
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
Secretary	NP	Secretary
General	NP	General
of	IN	of
the	DT	the
president	NN	president
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
heads	NNS	head
of	IN	of
state	NN	state
and	CC	and
foreign	JJ	foreign
ministers	NNS	minister
from	IN	from
around	IN	around
the	DT	the
world	NN	world
and	CC	and
of	IN	of
the	DT	the
heads	NNS	head
of	IN	of
international	JJ	international
Aid	NP	Aid
agencies	NNS	agency
they	PP	they
and	CC	and
the	DT	the
personal	JJ	personal
accounts	NNS	account
and	CC	and
the	DT	the
news	NN	news
footage	NN	footage
that	WDT	that
emerges	VVZ	emerge
from	IN	from
Gaza	NP	Gaza
tell	VVP	tell
a	DT	a
consistent	JJ	consistent
story	NN	story
of	IN	of
unimaginable	JJ	unimaginable
horror	NN	horror
and	CC	and
it	PP	it
continues	VVZ	continue
as	IN	as
we	PP	we
speak	VVP	speak
most	JJS	most
of	IN	of
Gaza	NP	Gaza
has	VHZ	have
been	VBN	be
raised	VVN	raise
the	DT	the
survivors	NNS	survivor
who	WP	who
are	VBP	be
from	IN	from
time	NN	time
to	TO	to
time	NN	time
allowed	VVD	allow
to	TO	to
return	VV	return
to	TO	to
their	PP$	their
homes	NNS	home
are	VBP	be
returning	VVG	return
to	TO	to
Rubble	NN	rubble
with	IN	with
no	DT	no
homes	NNS	home
no	RB	no
running	VVG	run
water	NN	water
or	CC	or
electricity	NN	electricity
or	CC	or
sewage	NN	sewage
or	CC	or
other	JJ	other
working	VVG	work
infrastructure	NN	infrastructure
and	CC	and
with	IN	with
the	DT	the
few	JJ	few
possessions	NNS	possession
that	WDT	that
they've	NNS	they've
manage	VVP	manage
to	TO	to
carry	VV	carry
with	IN	with
them	PP	them
on	IN	on
carts	NNS	cart
or	CC	or
cars	NNS	car
as	IN	as
they're	NN	they're
pushed	VVN	push
from	IN	from
one	CD	one
so-called	JJ	so-called
safe	JJ	safe
area	NN	area
to	TO	to
the	DT	the
next	JJ	next
if	IN	if
the	DT	the
court	NN	court
does	VVZ	do
not	RB	not
act	VV	act
now	RB	now
the	DT	the
possibility	NN	possibility
of	IN	of
rebuilding	VVG	rebuild
a	DT	a
viable	JJ	viable
Palestinian	NP	Palestinian
Society	NP	Society
in	IN	in
Gaza	NP	Gaza
will	MD	will
be	VB	be
destroyed	VVN	destroy
at	IN	at
least	JJS	least
for	IN	for
the	DT	the
lifetime	NN	lifetime
of	IN	of
those	DT	those
who	WP	who
survived	VVD	survive
the	DT	the
current	JJ	current
horrors	NNS	horror
of	IN	of
Gaza	NP	Gaza
the	DT	the
details	NNS	detail
are	VBP	be
not	RB	not
always	RB	always
easy	JJ	easy
to	TO	to
verify	VV	verify
because	IN	because
Israel	NP	Israel
continues	VVZ	continue
to	TO	to
Bar	NP	Bar
independent	JJ	independent
investigators	NNS	investigator
and	CC	and
journalists	NNS	journalist
from	IN	from
entering	VVG	enter
Gaza	NP	Gaza
and	CC	and
over	IN	over
100	CD	@card@
journalists	NNS	journalist
who	WP	who
were	VBD	be
in	IN	in
Gaza	NP	Gaza
have	VHP	have
been	VBN	be
killed	VVN	kill
since	IN	since
the	DT	the
Israeli	JJ	Israeli
attacks	NNS	attack
began	VVD	begin
but	CC	but
Israel	NP	Israel
cannot	MD	can
block	VV	block
investigations	NNS	investigation
by	IN	by
independent	JJ	independent
investigators	NNS	investigator
and	CC	and
then	RB	then
say	VVP	say
that	IN/that	that
the	DT	the
court	NN	court
cannot	MD	can
proceed	VV	proceed
because	IN	because
there	EX	there
is	VBZ	be
insufficient	JJ	insufficient
evidence	NN	evidence
against	IN	against
it	PP	it
the	DT	the
court	NN	court
has	VHZ	have
to	TO	to
deal	VV	deal
with	IN	with
this	DT	this
case	NN	case
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
its	PP$	its
appraisal	NN	appraisal
of	IN	of
the	DT	the
best	JJS	good
evidence	NN	evidence
available	JJ	available
to	TO	to
it	PP	it
Israel	NP	Israel
May	MD	may
again	RB	again
invoke	VV	invoke
its	PP$	its
claimed	VVN	claim
right	NN	right
of	IN	of
self-defense	NN	self-defense
but	CC	but
it	PP	it
does	VVZ	do
not	RB	not
address	VV	address
three	CD	three
glaringly	RB	glaringly
obvious	JJ	obvious
points	NNS	point
first	RB	first
the	DT	the
right	NN	right
of	IN	of
self-defense	NN	self-defense
does	VVZ	do
not	RB	not
give	VV	give
a	DT	a
state	NN	state
a	DT	a
license	NN	license
to	TO	to
use	VV	use
unlimited	JJ	unlimited
violence	NN	violence
no	DT	no
right	NN	right
of	IN	of
self-defense	NN	self-defense
can	MD	can
ever	RB	ever
extend	VV	extend
to	TO	to
a	DT	a
right	NN	right
to	TO	to
inflict	VV	inflict
massive	JJ	massive
indiscriminate	JJ	indiscriminate
violence	NN	violence
and	CC	and
starvation	NN	starvation
collectively	RB	collectively
on	IN	on
an	DT	an
entire	JJ	entire
people	NNS	people
second	JJ	second
nothing	NN	nothing
not	RB	not
self-defense	NN	self-defense
or	CC	or
anything	NN	anything
else	RB	else
can	MD	can
ever	RB	ever
justify	VV	justify
genocide	NN	genocide
the	DT	the
prohibition	NN	prohibition
on	IN	on
genocide	NN	genocide
is	VBZ	be
absolute	JJ	absolute
a	DT	a
peremptory	JJ	peremptory
Norm	NP	Norm
of	IN	of
international	JJ	international
law	NN	law
third	JJ	third
the	DT	the
Court	NP	Court
ruled	VVD	rule
in	IN	in
2004	CD	@card@
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
right	NN	right
of	IN	of
self-defense	NN	self-defense
by	IN	by
an	DT	an
occupying	JJ	occupying
State	NN	state
against	IN	against
the	DT	the
territory	NN	territory
that	IN/that	that
it	PP	it
occupies	VVZ	occupy
the	DT	the
key	JJ	key
point	NN	point
today	NN	today
is	VBZ	be
that	IN/that	that
Israel's	NP	Israel's
declared	VVD	declare
aim	NN	aim
of	IN	of
wiping	VVG	wipe
Gaza	NP	Gaza
from	IN	from
the	DT	the
map	NN	map
is	VBZ	be
about	RB	about
to	TO	to
be	VB	be
realized	VVN	realize
further	JJR	further
evidence	NN	evidence
of	IN	of
appalling	JJ	appalling
crimes	NNS	crime
and	CC	and
atrocities	NNS	atrocity
is	VBZ	be
literally	RB	literally
being	VBG	be
destroyed	VVN	destroy
and	CC	and
bulldozed	VVN	bulldoze
in	IN	in
effect	NN	effect
wiping	VVG	wipe
the	DT	the
Slate	NP	Slate
clean	VV	clean
for	IN	for
those	DT	those
who've	NN	who've
committed	VVD	commit
these	DT	these
crimes	NNS	crime
and	CC	and
making	VVG	make
a	DT	a
mockery	NN	mockery
of	IN	of
Justice	NP	Justice
the	DT	the
court	NN	court
is	VBZ	be
not	RB	not
powerless	JJ	powerless
and	CC	and
South	NP	South
Africa	NP	Africa
submits	VVZ	submit
with	IN	with
respect	NN	respect
that	IN/that	that
it	PP	it
must	MD	must
do	VV	do
something	NN	something
to	TO	to
assert	VV	assert
not	RB	not
only	RB	only
its	PP$	its
own	JJ	own
authority	NN	authority
but	CC	but
the	DT	the
authority	NN	authority
of	IN	of
law	NN	law
South	NP	South
Africa	NP	Africa
submits	VVZ	submit
that	IN/that	that
in	IN	in
order	NN	order
to	TO	to
secure	VV	secure
the	DT	the
entry	NN	entry
and	CC	and
distribution	NN	distribution
of	IN	of
food	NN	food
and	CC	and
humanitarian	JJ	humanitarian
supplies	NNS	supply
and	CC	and
to	TO	to
save	VV	save
lives	NNS	life
a	DT	a
halt	NN	halt
to	TO	to
Israeli	JJ	Israeli
military	JJ	military
operations	NNS	operation
across	IN	across
Gaza	NP	Gaza
is	VBZ	be
essential	JJ	essential
the	DT	the
overwhelming	JJ	overwhelming
weight	NN	weight
of	IN	of
opinion	NN	opinion
among	IN	among
states	NNS	state
and	CC	and
international	JJ	international
organizations	NNS	organization
is	VBZ	be
the	DT	the
same	JJ	same
a	DT	a
