<video_id>rMiO3DoaudU</video_id>	NP	<video_id>rMiO3DoaudU</video_id>
is	VBZ	be
a	DT	a
real	JJ	real
appetite	NN	appetite
for	IN	for
a	DT	a
for	IN	for
a	DT	a
larger	JJR	large
conflict	VV	conflict
uh	UH	uh
of	IN	of
course	NN	course
the	DT	the
problem	NN	problem
Remains	NNS	Remain
the	DT	the
error	NN	error
the	DT	the
the	DT	the
miscalculation	NN	miscalculation
but	CC	but
as	RB	as
of	IN	of
now	RB	now
it	PP	it
seems	VVZ	seem
that	IN/that	that
as	IN	as
concerning	VVG	concern
as	IN	as
the	DT	the
situation	NN	situation
is	VBZ	be
at	IN	at
the	DT	the
moment	NN	moment
there	EX	there
is	VBZ	be
still	RB	still
some	DT	some
kind	NN	kind
of	IN	of
hope	NN	hope
that	IN/that	that
no	DT	no
one	CD	one
wants	VVZ	want
to	TO	to
escalate	VV	escalate
There's	NP	There's
Hope	NP	Hope
but	CC	but
still	RB	still
a	DT	a
lot	NN	lot
of	IN	of
fear	NN	fear
and	CC	and
concern	NN	concern
as	IN	as
you	PP	you
say	VVP	say
there's	RB	there's
talk	VV	talk
of	IN	of
about	IN	about
the	DT	the
risk	NN	risk
of	IN	of
this	DT	this
war	NN	war
spreading	VVG	spread
involving	VVG	involve
Lebanon	NP	Lebanon
and	CC	and
perhaps	RB	perhaps
other	JJ	other
actors	NNS	actor
in	IN	in
the	DT	the
region	NN	region
what	WP	what
would	MD	would
it	PP	it
mean	VV	mean
not	RB	not
just	RB	just
for	IN	for
the	DT	the
region	NN	region
but	CC	but
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
if	IN	if
this	DT	this
conflict	NN	conflict
were	VBD	be
to	TO	to
spread	VV	spread
as	IN	as
I	PP	I
said	VVD	say
this	DT	this
events	NNS	event
are	VBP	be
very	RB	very
concerning	VVG	concern
because	IN	because
as	IN	as
you	PP	you
mentioned	VVD	mention
if	IN	if
the	DT	the
the	DT	the
the	DT	the
conflict	NN	conflict
expands	VVZ	expand
and	CC	and
if	IN	if
conflicts	NNS	conflict
become	VVP	become
a	DT	a
wider	JJR	wide
conflict	NN	conflict
could	MD	could
have	VH	have
a	DT	a
huge	JJ	huge
impact	NN	impact
and	CC	and
it	PP	it
could	MD	could
be	VB	be
a	DT	a
disaster	NN	disaster
uh	UH	uh
for	IN	for
the	DT	the
not	RB	not
only	JJ	only
for	IN	for
the	DT	the
the	DT	the
Lebanon	NP	Lebanon
and	CC	and
Israel	NP	Israel
but	CC	but
for	IN	for
the	DT	the
for	IN	for
for	IN	for
the	DT	the
region	NN	region
and	CC	and
and	CC	and
that's	NNS	that's
why	WRB	why
the	DT	the
role	NN	role
not	RB	not
only	RB	only
of	IN	of
the	DT	the
UN	NP	UN
at	IN	at
the	DT	the
moment	NN	moment
that	IN/that	that
we	PP	we
are	VBP	be
working	VVG	work
of	IN	of
course	NN	course
day	NN	day
and	CC	and
night	NN	night
with	IN	with
our	PP$	our
contingents	NNS	contingent
on	IN	on
the	DT	the
ground	NN	ground
with	IN	with
our	PP$	our
Force	NP	Force
Commander	NP	Commander
trying	VVG	try
to	TO	to
deescalate	VV	deescalate
the	DT	the
situation	NN	situation
but	CC	but
the	DT	the
importance	NN	importance
of	IN	of
the	DT	the
International	NP	International
Community	NP	Community
uh	UH	uh
involvement	NN	involvement
of	IN	of
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
deescalate	VV	deescalate
the	DT	the
situation	NN	situation
and	CC	and
to	TO	to
have	VH	have
this	DT	this
mediation	NN	mediation
process	NN	process
very	RB	very
active	JJ	active
I	PP	I
see	VVP	see
everyone	NN	everyone
is	VBZ	be
very	RB	very
much	RB	much
involved	VVN	involve
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
only	RB	only
hope	VVP	hope
that	IN/that	that
we	PP	we
have	VHP	have
that	DT	that
uh	UH	uh
that	IN/that	that
we	PP	we
could	MD	could
get	VV	get
some	DT	some
kind	NN	kind
of	IN	of
deescalation	NN	deescalation
based	VVN	base
on	IN	on
on	IN	on
Regional	JJ	regional
uh	UH	uh
concerns	NNS	concern
but	CC	but
also	RB	also
uh	UH	uh
mediation	NN	mediation
from	IN	from
from	IN	from
from	IN	from
everyone	NN	everyone
Andrea	NP	Andrea
tenente	NN	tenente
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
United	NP	United
Nations	NPS	Nations
interim	JJ	interim
force	NN	force
in	IN	in
Lebanon	NP	Lebanon
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
talking	VVG	talk
with	IN	with
us	PP	us
thank	VVP	thank
</doc>	NN	</doc>
