<video_id>c-YtlSWKQJc</video_id>	NP	<video_id>c-YtlSWKQJc</video_id>
the	DT	the
Hamas	NP	Hamas
L	NP	L
October	NP	October
the	DT	the
7th	JJ	7th
Terror	NN	terror
attacks	NNS	attack
let's	NNS	let's
get	VVP	get
more	RBR	more
now	RB	now
from	IN	from
DW's	NP	DW's
Tanya	NP	Tanya
Kima	NP	Kima
who's	NNS	who's
in	IN	in
Jerusalem	NP	Jerusalem
uh	UH	uh
Tanya	NP	Tanya
can	MD	can
you	PP	you
give	VV	give
us	PP	us
the	DT	the
latest	JJS	late
on	IN	on
this	DT	this
uh	UH	uh
this	DT	this
operation	NN	operation
military	JJ	military
operation	NN	operation
at	IN	at
the	DT	the
alifa	NN	alifa
hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
well	RB	well
from	IN	from
what	WP	what
we	PP	we
understand	VVP	understand
here	RB	here
we	PP	we
of	IN	of
course	NN	course
not	RB	not
on	IN	on
the	DT	the
ground	NN	ground
is	VBZ	be
that	IN/that	that
the	DT	the
uh	UH	uh
military	NN	military
operation	NN	operation
is	VBZ	be
still	RB	still
uh	UH	uh
ongoing	JJ	ongoing
um	NNS	um
this	DT	this
is	VBZ	be
as	IN	as
you	PP	you
said	VVD	say
in	IN	in
alifa	NN	alifa
hospital	NN	hospital
which	WDT	which
is	VBZ	be
in	IN	in
the	DT	the
center	NN	center
of	IN	of
Gaza	NP	Gaza
City	NP	City
it's	JJ	it's
uh	UH	uh
another	DT	another
raid	NN	raid
on	IN	on
this	DT	this
hospital	NN	hospital
and	CC	and
we	PP	we
understand	VVP	understand
that	IN/that	that
also	RB	also
from	IN	from
eyewitnesses	NNS	eyewitness
accounts	VVZ	account
uh	UH	uh
that	RB	that
there's	RB	there's
also	RB	also
fighting	VVG	fight
going	VVG	go
on	IN	on
in	IN	in
the	DT	the
vicinity	NN	vicinity
uh	UH	uh
to	TO	to
the	DT	the
hospital	NN	hospital
and	CC	and
that	IN/that	that
people	NNS	people
in	IN	in
the	DT	the
neighborhood	NN	neighborhood
but	CC	but
also	RB	also
those	DT	those
Sheltering	VVG	shelter
uh	UH	uh
in	IN	in
the	DT	the
hospital	NN	hospital
uh	UH	uh
on	IN	on
the	DT	the
hospital	NN	hospital
grounds	VVZ	ground
uh	UH	uh
have	VHP	have
been	VBN	be
asked	VVN	ask
to	TO	to
uh	UH	uh
evacuate	VV	evacuate
and	CC	and
as	RB	as
you	PP	you
said	VVD	say
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
started	VVD	start
this	DT	this
raid	NN	raid
early	RB	early
in	IN	in
the	DT	the
morning	NN	morning
uh	UH	uh
saying	VVG	say
that	DT	that
uh	UH	uh
they	PP	they
have	VHP	have
intelligence	NN	intelligence
that	IN/that	that
senior	JJ	senior
Hamas	JJ	Hamas
uh	UH	uh
terrorists	NNS	terrorist
the	DT	the
as	IN	as
they	PP	they
put	VVP	put
it	PP	it
uh	UH	uh
were	VBD	be
uh	UH	uh
inside	IN	inside
the	DT	the
hospitals	NNS	hospital
there	EX	there
were	VBD	be
shots	NNS	shot
fired	VVN	fire
at	IN	at
the	DT	the
troops	NNS	troop
operating	VVG	operate
uh	UH	uh
there	EX	there
uh	UH	uh
and	CC	and
uh	UH	uh
that	IN/that	that
basically	RB	basically
um	JJ	um
many	JJ	many
arrests	NNS	arrest
have	VHP	have
been	VBN	be
uh	UH	uh
also	RB	also
made	VVN	make
until	IN	until
now	RB	now
now	RB	now
this	DT	this
is	VBZ	be
the	DT	the
uh	UH	uh
another	DT	another
time	NN	time
that	IN/that	that
this	DT	this
hospital	NN	hospital
has	VHZ	have
been	VBN	be
raided	VVN	raid
the	DT	the
first	JJ	first
time	NN	time
was	VBD	be
in	IN	in
November	NP	November
um	NNS	um
and	CC	and
of	IN	of
course	NN	course
people	NNS	people
have	VHP	have
sought	VVN	seek
shelter	NN	shelter
in	IN	in
hospitals	NNS	hospital
such	JJ	such
as	IN	as
the	DT	the
shiffer	NN	shiffer
hospital	NN	hospital
as	IN	as
uh	UH	uh
hospitals	NNS	hospital
are	VBP	be
seen	VVN	see
as	IN	as
protector	NN	protector
space	NN	space
according	VVG	accord
to	TO	to
international	JJ	international
law	NN	law
and	CC	and
and	CC	and
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
Sheltering	VVG	shelter
there	RB	there
I	PP	I
mean	VVP	mean
is	VBZ	be
there	RB	there
any	DT	any
way	NN	way
for	IN	for
them	PP	them
to	TO	to
get	VV	get
out	RP	out
well	RB	well
there	EX	there
are	VBP	be
a	DT	a
bit	NN	bit
of	IN	of
conflicting	JJ	conflicting
reports	NNS	report
what	WP	what
we	PP	we
are	VBP	be
hearing	VVG	hear
I	PP	I
mean	VVP	mean
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
there's	NNS	there's
a	DT	a
statement	NN	statement
that	WDT	that
came	VVD	come
out	RP	out
early	RB	early
in	IN	in
the	DT	the
morning	NN	morning
by	IN	by
the	DT	the
Army	NP	Army
saying	VVG	say
they	PP	they
had	VHD	have
cautioned	VVN	caution
uh	UH	uh
the	DT	the
troops	NNS	troop
operating	VVG	operate
there	RB	there
not	RB	not
to	TO	to
harm	VV	harm
or	CC	or
to	TO	to
avoid	VV	avoid
any	DT	any
harm	NN	harm
to	TO	to
the	DT	the
medical	JJ	medical
staff	NN	staff
to	TO	to
patients	NNS	patient
that	WDT	that
are	VBP	be
inside	IN	inside
the	DT	the
hospital	NN	hospital
but	CC	but
we	PP	we
are	VBP	be
also	RB	also
hearing	VVG	hear
from	IN	from
eyewitnesses	NNS	eyewitness
there	RB	there
that	IN/that	that
leaflets	NNS	leaflet
had	VHD	have
been	VBN	be
dropped	VVN	drop
in	IN	in
the	DT	the
area	NN	area
in	IN	in
the	DT	the
neighborhood	NN	neighborhood
uh	UH	uh
of	IN	of
remal	JJ	remal
and	CC	and
also	RB	also
to	TO	to
those	DT	those
Sheltering	VVG	shelter
on	IN	on
the	DT	the
hospital	NN	hospital
grounds	NNS	ground
that	IN/that	that
they	PP	they
should	MD	should
leave	VV	leave
and	CC	and
evacuate	VV	evacuate
uh	UH	uh
to	TO	to
Southern	JJ	Southern
uh	UH	uh
Gaza	NP	Gaza
to	TO	to
the	DT	the
area	NN	area
um	NN	um
of	IN	of
marasi	NN	marasi
that	WDT	that
is	VBZ	be
uh	UH	uh
on	IN	on
the	DT	the
coast	NN	coast
in	IN	in
uh	UH	uh
near	IN	near
rafar	NN	rafar
so	RB	so
of	IN	of
course	NN	course
it's	NNS	it's
a	DT	a
bit	NN	bit
difficult	JJ	difficult
now	RB	now
to	TO	to
understand	VV	understand
how	WRB	how
this	DT	this
evacuation	NN	evacuation
of	IN	of
people	NNS	people
uh	UH	uh
will	MD	will
work	VV	work
is	VBZ	be
there	RB	there
a	DT	a
safe	JJ	safe
corridor	NN	corridor
also	RB	also
we	PP	we
have	VHP	have
to	TO	to
understand	VV	understand
these	DT	these
people	NNS	people
have	VHP	have
been	VBN	be
there	RB	there
it's	JJ	it's
a	DT	a
very	RB	very
difficult	JJ	difficult
area	NN	area
Northern	NP	Northern
Gaza	NP	Gaza
we've	NN	we've
been	VBN	be
talking	VVG	talk
about	IN	about
it	PP	it
um	JJ	um
supplies	NNS	supply
have	VHP	have
not	RB	not
reach	VV	reach
the	DT	the
area	NN	area
very	RB	very
frequently	RB	frequently
so	IN	so
people	NNS	people
would	MD	would
have	VH	have
to	TO	to
see	VV	see
how	WRB	how
they	PP	they
would	MD	would
get	VV	get
transport	NN	transport
so	IN	so
all	DT	all
of	IN	of
this	DT	this
uh	UH	uh
is	VBZ	be
still	RB	still
to	TO	to
see	VV	see
uh	UH	uh
how	WRB	how
this	DT	this
will	MD	will
unfold	VV	unfold
but	CC	but
it's	NNS	it's
certainly	RB	certainly
devastating	JJ	devastating
for	IN	for
those	DT	those
people	NNS	people
who	WP	who
have	VHP	have
stayed	VVN	stay
in	IN	in
the	DT	the
neighborhood	NN	neighborhood
now	RB	now
to	TO	to
be	VB	be
told	VVN	tell
to	TO	to
evacuate	VV	evacuate
uh	UH	uh
once	RB	once
again	RB	again
Tanya	NP	Tanya
came	VVD	come
reporting	VVG	report
from	IN	from
Jerusalem	NP	Jerusalem
Tanya	NP	Tanya
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
German	JJ	German
Chancellor	NP	Chancellor
Olaf	NP	Olaf
Schultz	NP	Schultz
has	VHZ	have
shared	VVN	share
his	PP$	his
concerns	NNS	concern
about	IN	about
the	DT	the
high	JJ	high
number	NN	number
of	IN	of
Civilian	JJ	civilian
casualties	NNS	casualty
in	IN	in
Gaza	NP	Gaza
in	IN	in
a	DT	a
meeting	NN	meeting
with	IN	with
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
benami	NP	benami
Netanyahu	NP	Netanyahu
morid	NN	morid
is	VBZ	be
now	RB	now
entering	VVG	enter
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
where	WRB	where
conditions	NNS	condition
remain	VVP	remain
extremely	RB	extremely
dire	JJ	dire
air	NN	air
drops	NNS	drop
into	IN	into
Gaza	NP	Gaza
continue	VVP	continue
Jordan	NP	Jordan
Germany	NP	Germany
and	CC	and
the	DT	the
US	NP	US
dropped	VVD	drop
Goods	NP	Goods
in	IN	in
an	DT	an
attempt	NN	attempt
to	TO	to
relieve	VV	relieve
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
there	EX	there
are	VBP	be
growing	VVG	grow
fears	NNS	fear
that	IN/that	that
Israel	NP	Israel
will	MD	will
soon	RB	soon
extend	VV	extend
its	PP$	its
ground	NN	ground
offensive	NN	offensive
to	TO	to
Rafa	NP	Rafa
where	WRB	where
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
displaced	VVN	displace
Palestinians	NNS	Palestinian
have	VHP	have
sought	VVN	seek
Refuge	NP	Refuge
eight	CD	eight
agencies	NNS	agency
warn	VVP	warn
that	IN/that	that
parts	NNS	part
of	IN	of
Gaza	NP	Gaza
already	RB	already
face	VVP	face
famine	NN	famine
meanwhile	RB	meanwhile
after	IN	after
a	DT	a
visit	NN	visit
to	TO	to
Jordan	NP	Jordan
German	NP	German
Chancellor	NP	Chancellor
Ola	NP	Ola
Schulz	NP	Schulz
arrived	VVD	arrive
in	IN	in
Israel	NP	Israel
there	EX	there
he	PP	he
once	RB	once
more	RBR	more
stressed	VVN	stress
Germany's	NP	Germany's
support	NN	support
for	IN	for
Israel	NP	Israel
while	IN	while
urging	VVG	urge
to	TO	to
keep	VV	keep
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
safe	JJ	safe
from	IN	from
the	DT	the
lum	JJ	lum
ground	NN	ground
[Music]	NN	[Music]
offensive	NN	offensive
we	PP	we
cannot	MD	can
stand	VV	stand
by	IN	by
and	CC	and
watch	VV	watch
Palestinians	NNS	Palestinian
risk	VV	risk
starvation	NN	starvation
that's	NNS	that's
not	RB	not
us	PP	us
that	RB	that
is	VBZ	be
not	RB	not
what	WP	what
we	PP	we
stand	VVP	stand
for	IN	for
together	RB	together
much	RB	much
more	RBR	more
humanitarian	JJ	humanitarian
Aid	NN	aid
is	VBZ	be
needed	VVN	need
continuously	RB	continuously
reliably	RB	reliably
I	PP	I
shared	VVD	share
my	PP$	my
concerns	NNS	concern
with	IN	with
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
that	IN/that	that
provision	NN	provision
of	IN	of
aid	NN	aid
from	IN	from
Israel	NP	Israel
into	IN	into
Gaza	NP	Gaza
and	CC	and
the	DT	the
conditions	NNS	condition
for	IN	for
distribution	NN	distribution
must	MD	must
be	VB	be
urgently	RB	urgently
and	CC	and
massively	RB	massively
improved	VVD	improve
earlier	RBR	earlier
on	IN	on
Sunday	NP	Sunday
is	VBZ	be
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
doubled	VVD	double
down	RP	down
that	IN/that	that
the	DT	the
ground	NN	ground
offensive	NN	offensive
will	MD	will
soon	RB	soon
be	VB	be
extended	VVN	extend
to	TO	to
Rafa	NP	Rafa
our	PP$	our
goal	NN	goal
in	IN	in
eliminating	VVG	eliminate
the	DT	the
remaining	VVG	remain
uh	UH	uh
terrorist	JJ	terrorist
battalions	NNS	battalion
in	IN	in
Rafa	NP	Rafa
goes	VVZ	go
hand	NN	hand
inand	NN	inand
with	IN	with
enabling	VVG	enable
the	DT	the
the	DT	the
civilian	JJ	civilian
population	NN	population
to	TO	to
leave	VV	leave
Raa	NP	Raa
it's	NNS	it's
not	RB	not
something	NN	something
that	IN/that	that
we	PP	we
will	MD	will
do	VV	do
while	IN	while
keeping	VVG	keep
the	DT	the
population	NN	population
locked	VVN	lock
in	IN	in
place	NN	place
in	IN	in
fact	NN	fact
we'll	NN	we'll
do	VVP	do
the	DT	the
very	RB	very
opposite	JJ	opposite
we'll	NN	we'll
enable	VV	enable
them	PP	them
to	TO	to
leave	VV	leave
because	IN	because
our	PP$	our
consideration	NN	consideration
for	IN	for
for	IN	for
reducing	VVG	reduce
and	CC	and
minimizing	VVG	minimize
civilian	JJ	civilian
casualties	NNS	casualty
has	VHZ	have
guided	VVN	guide
us	PP	us
and	CC	and
will	MD	will
continue	VV	continue
to	TO	to
guide	VV	guide
us	PP	us
in	IN	in
the	DT	the
future	NN	future
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
thank	VV	thank
you	PP	you
it's	NNS	it's
estimated	VVD	estimate
that	IN/that	that
1.5	CD	@card@
million	CD	million
people	NNS	people
are	VBP	be
currently	RB	currently
in	IN	in
Rafa	NP	Rafa
which	WDT	which
is	VBZ	be
more	JJR	more
than	IN	than
half	NN	half
of	IN	of
gaza's	NN	gaza's
population	NN	population
but	CC	but
Netanyahu	NP	Netanyahu
and	CC	and
Schultz	NP	Schultz
didn't	NP	didn't
specify	VV	specify
where	WRB	where
all	PDT	all
these	DT	these
people	NNS	people
should	MD	should
go	VV	go
before	IN	before
Israel's	NP	Israel's
ground	NN	ground
offensive	NN	offensive
expands	VVZ	expand
into	IN	into
the	DT	the
overcrowded	VVN	overcrowd
</doc>	NN	</doc>
