than	IN	than
it	PP	it
only	RB	only
provides	VVZ	provide
for	IN	for
quote	VV	quote
uh	UH	uh
quote	VV	quote
appropriate	JJ	appropriate
unquote	VVP	unquote
amount	NN	amount
of	IN	of
un	JJ	un
funding	NN	funding
but	CC	but
in	IN	in
order	NN	order
to	TO	to
remove	VV	remove
any	DT	any
possible	JJ	possible
ambiguity	NN	ambiguity
we	PP	we
believe	VVP	believe
that	IN/that	that
the	DT	the
resolution	NN	resolution
should	MD	should
be	VB	be
as	RB	as
clear	JJ	clear
as	IN	as
possible	JJ	possible
on	IN	on
this	DT	this
point	NN	point
not	RB	not
only	RB	only
on	IN	on
principle	NN	principle
but	CC	but
because	IN	because
a	DT	a
clear	JJ	clear
and	CC	and
actionable	JJ	actionable
resolution	NN	resolution
will	MD	will
pave	VV	pave
the	DT	the
way	NN	way
for	IN	for
the	DT	the
timely	JJ	timely
deployment	NN	deployment
of	IN	of
a	DT	a
future	JJ	future
Au	NP	Au
peace	NN	peace
support	NN	support
operation	NN	operation
and	CC	and
resolving	VVG	resolve
this	DT	this
possible	JJ	possible
ambiguity	NN	ambiguity
is	VBZ	be
an	DT	an
important	JJ	important
step	NN	step
to	TO	to
get	VV	get
us	PP	us
there	RB	there
accordingly	RB	accordingly
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
proposing	VVG	propose
this	DT	this
amendment	NN	amendment
to	TO	to
include	VV	include
a	DT	a
specific	JJ	specific
limit	NN	limit
on	IN	on
un	JJ	un
contributions	NNS	contribution
in	IN	in
clear	JJ	clear
language	NN	language
in	IN	in
this	DT	this
draft	NN	draft
resolution	NN	resolution
and	CC	and
ensure	VV	ensure
that	IN/that	that
all	DT	all
stakeholders	NNS	stakeholder
are	VBP	be
on	IN	on
the	DT	the
same	JJ	same
page	NN	page
about	IN	about
what	WP	what
this	DT	this
resolution	NN	resolution
means	VVZ	mean
we	PP	we
urge	VV	urge
all	DT	all
Security	NP	Security
Council	NP	Council
Members	NNS	member
who	WP	who
would	MD	would
like	VV	like
this	DT	this
draft	NN	draft
resolution	NN	resolution
to	TO	to
be	VB	be
adopted	VVN	adopt
unanimously	RB	unanimously
to	TO	to
also	RB	also
vote	VV	vote
Yes	UH	yes
to	TO	to
include	VV	include
this	DT	this
amendment	NN	amendment
in	IN	in
the	DT	the
draft	NN	draft
thank	VV	thank
you	PP	you
Mr	NP	Mr
statement	NN	statement
members	NNS	member
of	IN	of
the	DT	the
council	NN	council
have	VHP	have
before	IN	before
them	PP	them
a	DT	a
proposed	VVN	propose
amendment	NN	amendment
submitted	VVN	submit
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
to	TO	to
the	DT	the
text	NN	text
of	IN	of
the	DT	the
draft	NN	draft
resolution	NN	resolution
contained	VVN	contain
in	IN	in
document	NN	document
s	NNS	s
2023	CD	@card@
9996	CD	@card@
of	IN	of
the	DT	the
council	NN	council
'	POS	'
s	JJ	s
provisional	JJ	provisional
rules	NNS	rule
and	CC	and
procedure	NN	procedure
States	NNS	state
in	IN	in
alia	NP	alia
the	DT	the
following	NN	following
when	WRB	when
an	DT	an
amendment	NN	amendment
T	NN	T
of	IN	of
a	DT	a
motion	NN	motion
or	CC	or
dra	NN	dra
resolution	NN	resolution
shall	MD	shall
be	VB	be
voted	VVN	vote
on	IN	on
first	JJ	first
accordingly	RB	accordingly
Amendment	NP	Amendment
to	TO	to
the	DT	the
vote	NN	vote
first	JJ	first
of	IN	of
the	DT	the
proposed	VVN	propose
amendment	NN	amendment
contained	VVD	contain
stroke	NN	stroke
2023	CD	@card@
stroke	NN	stroke
one23	NN	one23
please	VVP	please
raise	VV	raise
their	PP$	their
extensions	NNS	extension
the	DT	the
result	NN	result
of	IN	of
the	DT	the
Voting	NP	Voting
is	VBZ	be
as	RB	as
follows	VVZ	follow
nine	CD	nine
votes	NNS	vote
in	IN	in
favor	NN	favor
zero	CD	zero
votes	NNS	vote
against	IN	against
six	CD	six
extensions	NNS	extension
the	DT	the
proposed	VVN	propose
amendment	NN	amendment
has	VHZ	have
been	VBN	be
adopted	VVN	adopt
now	RB	now
give	VV	give
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
France	NP	France
thank	VV	thank
you	PP	you
Mr	NP	Mr
President	NP	President
was	VBD	be
unfortunately	RB	unfortunately
unable	JJ	unable
to	TO	to
support	VV	support
the	DT	the
amendment	NN	amendment
submitted	VVN	submit
by	IN	by
the	DT	the
United	NP	United
States	NP	States
it	PP	it
believes	VVZ	believe
indeed	RB	indeed
that	IN/that	that
it	PP	it
was	VBD	be
insufficiently	RB	insufficiently
clear	JJ	clear
on	IN	on
the	DT	the
financing	NN	financing
of	IN	of
the	DT	the
25	CD	@card@
%	NN	%
that	WDT	that
would	MD	would
not	RB	not
be	VB	be
covered	JJ	covered
by	IN	by
assess	VVP	assess
contributions	NNS	contribution
believe	VVP	believe
that	IN/that	that
one	CD	one
of	IN	of
the	DT	the
key	JJ	key
elements	NNS	element
of	IN	of
today	NN	today
'	POS	'
s	NN	S
discussion	NN	discussion
and	CC	and
this	DT	this
resolution	NN	resolution
is	VBZ	be
precisely	RB	precisely
to	TO	to
ensure	VV	ensure
that	IN/that	that
Au	NP	Au
Le	NP	Le
operations	NNS	operation
in	IN	in
this	DT	this
context	NN	context
can	MD	can
predictable	JJ	predictable
financing	NN	financing
we	PP	we
believe	VVP	believe
that	IN/that	that
this	DT	this
does	VVZ	do
not	RB	not
meet	VV	meet
that	IN/that	that
criteria	NNS	criterion
we	PP	we
want	VVP	want
toat	NN	toat
we	PP	we
are	VBP	be
resolutely	RB	resolutely
committed	VVN	commit
to	TO	to
supporting	VVG	support
through	IN	through
contributions	NNS	contribution
Au	NP	Au
Le	NP	Le
peacekeeping	VVG	peacekeepe
operations	NNS	operation
however	RB	however
we	PP	we
wish	VVP	wish
to	TO	to
see	VV	see
the	DT	the
African	JJ	African
contribution	NN	contribution
be	VB	be
significant	JJ	significant
as	IN	as
well	RB	well
but	CC	but
we	PP	we
are	VBP	be
prepared	VVN	prepare
to	TO	to
discuss	VV	discuss
the	DT	the
various	JJ	various
levels	NNS	level
of	IN	of
financial	JJ	financial
contribution	NN	contribution
France	NP	France
and	CC	and
the	DT	the
EU	NP	EU
are	VBP	be
major	JJ	major
contributors	NNS	contributor
to	TO	to
un	NNS	un
peacekeeping	VVG	peacekeepe
budgets	VVZ	budget
uh	UH	uh
representing	VVG	represent
some	DT	some
24	CD	@card@
%	NN	%
of	IN	of
the	DT	the
total	NN	total
we	PP	we
have	VHP	have
consistently	RB	consistently
supported	VVN	support
the	DT	the
build	VV	build
up	RP	up
African	JJ	African
Peace	NN	peace
operations	NNS	operation
and	CC	and
we	PP	we
wish	VVP	wish
to	TO	to
see	VV	see
discussions	NNS	discussion
continue	VV	continue
so	RB	so
that	IN/that	that
we	PP	we
can	MD	can
achieve	VV	achieve
a	DT	a
balanced	JJ	balanced
and	CC	and
predictable	JJ	predictable
funding	NN	funding
framework	NN	framework
I	PP	I
thank	VVP	thank
the	DT	the
representative	NN	representative
of	IN	of
France	NP	France
v23	NP	v23
999	CD	@card@
as	RB	as
amended	VVN	amend
now	RB	now
the	DT	the
dra	NN	dra
resolution	NN	resolution
to	TO	to
the	DT	the
vote	NN	vote
favor	NN	favor
of	IN	of
the	DT	the
dra	NN	dra
resolution	NN	resolution
contained	VVN	contain
in	IN	in
document	NN	document
s	NNS	s
stroke	VVP	stroke
2023	CD	@card@
stroke	NN	stroke
999	CD	@card@
as	RB	as
amended	VVD	amend
raise	VV	raise
their	PP$	their
hand	NN	hand
the	DT	the
result	NN	result
of	IN	of
the	DT	the
Voting	NP	Voting
is	VBZ	be
as	RB	as
follows	VVZ	follow
13	CD	@card@
votes	NNS	vote
in	IN	in
favor	NN	favor
the	DT	the
draft	NN	draft
resolution	NN	resolution
has	VHZ	have
been	VBN	be
adopted	VVN	adopt
by	IN	by
19	CD	@card@
15	CD	@card@
15	CD	@card@
votes	NNS	vote
he	PP	he
said	VVD	say
13	CD	@card@
no	UH	no
uh	UH	uh
please	UH	please
excuse	NN	excuse
me	PP	me
says	VVZ	say
the	DT	the
president	NN	president
I	PP	I
didn	NP	didn
'	POS	'
t	NN	t
hear	VVP	hear
the	DT	the
number	NN	number
correctly	RB	correctly
the	DT	the
dra	NN	dra
resolution	NN	resolution
received	VVD	receive
15	CD	@card@
votes	NNS	vote
hased	JJ	hased
resolution	NN	resolution
2719	CD	@card@
make	VVP	make
a	DT	a
statement	NN	statement
following	VVG	follow
the	DT	the
vote	NN	vote
V	CD	@card@
representative	NN	representative
of	IN	of
Gabon	NP	Gabon
as	IN	as
a	DT	a
member	NN	member
of	IN	of
the	DT	the
A3	NP	A3
like	VVP	like
to	TO	to
thank	VV	thank
all	DT	all
of	IN	of
the	DT	the
members	NNS	member
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
for	IN	for
the	DT	the
adoption	NN	adoption
of	IN	of
the	DT	the
T	NN	T
that	WDT	that
was	VBD	be
submitted	VVN	submit
this	DT	this
evening	NN	evening
this	DT	this
afternoon	NN	afternoon
will	MD	will
this	DT	this
will	MD	will
open	VV	open
a	DT	a
new	JJ	new
page	NN	page
for	IN	for
Africa	NP	Africa
Every	DT	every
Time	NN	time
meets	VVZ	meet
itation	NN	itation
such	JJ	such
as	IN	as
today	NN	today
it	PP	it
shows	VVZ	show
that	DT	that
is	VBZ	be
a	DT	a
ramper	NN	ramper
a	DT	a
deterrent	NN	deterrent
against	IN	against
war	NN	war
and	CC	and
it	PP	it
revives	VVZ	revive
hope	NN	hope
for	IN	for
future	JJ	future
Generations	NNS	generation
the	DT	the
resolution	NN	resolution
adopted	VVD	adopt
the	DT	the
south	NN	south
is	VBZ	be
important	JJ	important
message	NN	message
from	IN	from
the	DT	the
United	NP	United
Nations	NPS	Nations
to	TO	to
uh	UH	uh
and	CC	and
the	DT	the
international	JJ	international
to	TO	to
the	DT	the
African	JJ	African
it	PP	it
'	''	'
s	NN	S
response	NN	response
to	TO	to
the	DT	the
legitimate	JJ	legitimate
aspirations	NNS	aspiration
of	IN	of
these	DT	these
people	NNS	people
to	TO	to
uh	UH	uh
dignity	NN	dignity
and	CC	and
respect	NN	respect
given	VVN	give
the	DT	the
Persistence	NN	persistence
of	IN	of
deadly	JJ	deadly
conflicts	NNS	conflict
on	IN	on
the	DT	the
continent	NN	continent
as	IN	as
Africans	NNS	African
we	PP	we
have	VHP	have
been	VBN	be
constructively	RB	constructively
self	JJ	self
-	NN	-
critical	JJ	critical
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
effectiveness	NN	effectiveness
of	IN	of
mechanisms	NNS	mechanism
and	CC	and
the	DT	the
Prov	NP	Prov
meis	NN	meis
in	IN	in
place	NN	place
we	PP	we
have	VHP	have
full	JJ	full
confidence	NN	confidence
in	IN	in
Africa	NP	Africa
being	VBG	be
able	JJ	able
to	TO	to
solve	VV	solve
its	PP$	its
own	JJ	own
problems	NNS	problem
the	DT	the
but	NN	but
insecurity	NN	insecurity
is	VBZ	be
constantly	RB	constantly
changing	VVG	change
and	CC	and
there	EX	there
are	VBP	be
asymmetrical	JJ	asymmetrical
threat	NN	threat
to	TO	to
Peace	NN	peace
So	IN	so
Many	JJ	many
conflicts	NNS	conflict
in	IN	in
different	JJ	different
areas	NNS	area
of	IN	of
the	DT	the
continent	NN	continent
therefore	RB	therefore
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
to	TO	to
change	VV	change
our	PP$	our
Paradigm	NN	paradigm
not	RB	not
only	RB	only
with	IN	with
regard	NN	regard
to	TO	to
our	PP$	our
means	NNS	mean
of	IN	of
action	NN	action
to	TO	to
address	VV	address
these	DT	these
issues	NNS	issue
but	CC	but
also	RB	also
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
very	JJ	very
image	NN	image
of	IN	of
the	DT	the
African	JJ	African
continent	NN	continent
which	WDT	which
is	VBZ	be
very	RB	very
very	RB	very
often	RB	often
seems	VVZ	seem
to	TO	to
be	VB	be
one	CD	one
war	NN	war
and	CC	and
one	CD	one
crisis	NN	crisis
ethnic	JJ	ethnic
political	JJ	political
conflicts	NNS	conflict
displacement	NN	displacement
of	IN	of
people	NNS	people
Refuge	NP	Refuge
counts	VVZ	count
um	JJ	um
misery	NN	misery
dependence	NN	dependence
Mr	NP	Mr
President	NP	President
the	DT	the
financial	JJ	financial
resources	NNS	resource
are	VBP	be
also	RB	also
the	DT	the
heart	NN	heart
of	IN	of
war	NN	war
and	CC	and
they	PP	they
are	VBP	be
the	DT	the
heart	NN	heart
of	IN	of
Peace	NN	peace
as	RB	as
well	RB	well
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
the	DT	the
African	NP	African
Union	NP	Union
depended	VVD	depend
on	IN	on
donations	NNS	donation
from	IN	from
the	DT	the
International	NP	International
Community	NP	Community
Trend	NP	Trend
ties	NNS	tie
because	IN	because
the	DT	the
contributions	NNS	contribution
from	IN	from
the	DT	the
are	VBP	be
not	RB	not
disinterested	JJ	disinterested
or	CC	or
philanthropic	JJ	philanthropic
depending	VVG	depend
on	IN	on
the	DT	the
circumstances	NNS	circumstance
lead	VVP	lead
Mercantile	NP	Mercantile
and	CC	and
transactional	JJ	transactional
approaches	NNS	approach
to	TO	to
situations	NNS	situation
in	IN	in
certain	JJ	certain
cases	NNS	case
we	PP	we
would	MD	would
underscore	VV	underscore
that	IN/that	that
Africa	NP	Africa
still	RB	still
has	VHZ	have
the	DT	the
sad	JJ	sad
record	NN	record
of	IN	of
the	DT	the
highest	JJS	high
number	NN	number
of	IN	of
peacekeeping	VVG	peacekeepe
operations	NNS	operation
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
of	IN	of
the	DT	the
16	CD	@card@
underway	JJ	underway
at	IN	at
the	DT	the
moment	NN	moment
n	NN	n
have	VHP	have
been	VBN	be
on	IN	on
the	DT	the
African	JJ	African
continent	NN	continent
words	NNS	word
the	DT	the
in	IN	in
that	WDT	that
tells	VVZ	tell
you	PP	you
a	DT	a
lot	NN	lot
about	IN	about
the	DT	the
instability	NN	instability
on	IN	on
the	DT	the
continent	NN	continent
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
the	DT	the
continent	NN	continent
is	VBZ	be
facing	VVG	face
a	DT	a
number	NN	number
of	IN	of
uh	UH	uh
existing	JJ	existing
threats	NNS	threat
and	CC	and
future	JJ	future
threats	NNS	threat
today	NN	today
the	DT	the
security	NN	security
Council	NP	Council
has	VHZ	have
been	VBN	be
able	JJ	able
to	TO	to
address	VV	address
the	DT	the
spirit	NN	spirit
and	CC	and
the	DT	the
letter	NN	letter
of	IN	of
the	DT	the
charter	NN	charter
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
by	IN	by
agreeing	VVG	agree
to	TO	to
an	DT	an
assential	JJ	assential
plan	NN	plan
M	NN	M
responsibility	NN	responsibility
in	IN	in
the	DT	the
area	NN	area
of	IN	of
the	DT	the
maintenance	NN	maintenance
of	IN	of
International	NP	International
Peace	NP	Peace
and	CC	and
security	NN	security
Africa	NP	Africa
peoples	NNS	people
are	VBP	be
of	IN	of
the	DT	the
world	NN	world
that	WDT	that
is	VBZ	be
stressed	VVN	stress
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
Charter	NP	Charter
and	CC	and
finally	RB	finally
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
enjoy	VV	enjoy
the	DT	the
same	JJ	same
aspirations	NNS	aspiration
for	IN	for
security	NN	security
and	CC	and
dignity	NN	dignity
as	IN	as
everyone	NN	everyone
else	NN	else
which	WDT	which
means	VVZ	mean
sh	NNS	sh
addressing	VVG	address
the	DT	the
threats	NNS	threat
to	TO	to
security	NN	security
and	CC	and
uh	UH	uh
that	IN/that	that
the	DT	the
funding	NN	funding
will	MD	will
come	VV	come
from	IN	from
the	DT	the
regular	JJ	regular
budget	NN	budget
we	PP	we
welcome	VVP	welcome
the	DT	the
unity	NN	unity
around	IN	around
this	DT	this
table	NN	table
to	TO	to
a	DT	a
here	RB	here
and	CC	and
show	VVP	show
that	IN/that	that
the	DT	the
International	NP	International
Community	NP	Community
is	VBZ	be
undivided	JJ	undivided
on	IN	on
this	DT	this
we	PP	we
know	VVP	know
that	IN/that	that
in	IN	in
order	NN	order
to	TO	to
regulate	VV	regulate
uh	UH	uh
these	DT	these
situations	NNS	situation
deal	NN	deal
with	IN	with
conflicts	NNS	conflict
we	PP	we
need	VVP	need
to	TO	to
go	VV	go
further	JJR	further
act	NN	act
to	TO	to
address	VV	address
the	DT	the
causes	NNS	cause
of	IN	of
conflicts	NNS	conflict
in	IN	in
Africa	NP	Africa
we	PP	we
can	MD	can
only	RB	only
address	VV	address
them	PP	them
if	IN	if
we	PP	we
have	VHP	have
a	DT	a
more	RBR	more
broad	JJ	broad
approach	NN	approach
addressing	VVG	address
socio	NN	socio
economic	JJ	economic
issues	NNS	issue
and	CC	and
living	VVG	live
conditions	NNS	condition
once	RB	once
again	RB	again
I	PP	I
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
allowing	VVG	allow
us	PP	us
this	DT	this
security	NN	security
thank	VV	thank
you	PP	you
I	PP	I
thank	VVP	thank
the	DT	the
representative	NN	representative
of	IN	of
Gab	NN	gab
for	IN	for
his	PP$	his
statement	NN	statement
I	PP	I
now	RB	now
give	VVP	give
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
mosambi	NP	mosambi
Sir	NP	Sir
president	NN	president
mosambi	NN	mosambi
wishes	VVZ	wish
to	TO	to
express	VV	express
its	PP$	its
profound	JJ	profound
gratitude	NN	gratitude
to	TO	to
the	DT	the
members	NNS	member
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
for	IN	for
the	DT	the
adoption	NN	adoption
of	IN	of
this	DT	this
important	JJ	important
draft	NN	draft
resolution	NN	resolution
on	IN	on
financing	NN	financing
of	IN	of
African	JJ	African
Union	NP	Union
lead	NN	lead
peace	NN	peace
support	NN	support
operations	NNS	operation
proposed	VVN	propose
by	IN	by
the	DT	the
A3	NP	A3
that	WDT	that
is	VBZ	be
gabon	NP	Gabon
Ghana	NP	Ghana
and	CC	and
my	PP$	my
own	JJ	own
country	NN	country
mosambik	NN	mosambik
the	DT	the
framework	NN	framework
resolution	NN	resolution
just	RB	just
adopted	VVD	adopt
translates	VVZ	translate
our	PP$	our
objective	NN	objective
to	TO	to
address	VV	address
the	DT	the
concerns	NNS	concern
of	IN	of
Africa	NP	Africa
that	WDT	that
have	VHP	have
been	VBN	be
Penning	NP	Penning
for	IN	for
many	JJ	many
years	NNS	year
at	IN	at
its	PP$	its
core	NN	core
is	VBZ	be
the	DT	the
need	NN	need
to	TO	to
give	VV	give
appropriate	JJ	appropriate
responses	NNS	response
to	TO	to
the	DT	the
growing	VVG	grow
and	CC	and
evolving	VVG	evolve
security	NN	security
challenges	NNS	challenge
on	IN	on
the	DT	the
African	JJ	African
continent	NN	continent
challenges	VVZ	challenge
that	IN/that	that
uh	UH	uh
comprise	VV	comprise
conflicts	NNS	conflict
Insurgency	NN	insurgency
Progressive	JJ	Progressive
africanization	NN	africanization
of	IN	of
terrorism	NN	terrorism
and	CC	and
proliferation	NN	proliferation
of	IN	of
extremist	JJ	extremist
armed	JJ	armed
groups	NNS	group
da3	NN	da3
has	VHZ	have
impacted	VVN	impact
on	IN	on
this	DT	this
action	NN	action
with	IN	with
the	DT	the
conviction	NN	conviction
that	IN/that	that
the	DT	the
enforcement	NN	enforcement
action	NN	action
by	IN	by
the	DT	the
African	NP	African
Union	NP	Union
will	MD	will
be	VB	be
undertaken	VVN	undertake
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
security	NN	security
Council	NN	council
whose	WP$	whose
primary	JJ	primary
responsibility	NN	responsibility
as	IN	as
the	DT	the
chter	NP	chter
prescribes	VVZ	prescribe
is	VBZ	be
the	DT	the
security	NN	security
latest	JJS	late
developments	NNS	development
in	IN	in
the	DT	the
world	NN	world
show	VVP	show
more	RBR	more
than	IN	than
ever	RB	ever
that	DT	that
peace	NN	peace
and	CC	and
security	NN	security
are	VBP	be
a	DT	a
global	JJ	global
good	JJ	good
and	CC	and
they	PP	they
cannot	MD	can
be	VB	be
segmented	VVN	segment
by	IN	by
continents	NNS	continent
or	CC	or
regions	NNS	region
this	DT	this
is	VBZ	be
what	WP	what
makes	VVZ	make
is	VBZ	be
it	PP	it
important	JJ	important
the	DT	the
adoption	NN	adoption
of	IN	of
uh	UH	uh
the	DT	the
present	JJ	present
resolution	NN	resolution
on	IN	on
financing	NN	financing
of	IN	of
the	DT	the
African	NP	African
Union	NP	Union
Leed	NP	Leed
peace	NN	peace
support	NN	support
operations	NNS	operation
this	DT	this
Landmark	NN	landmark
framework	NN	framework
resolution	NN	resolution
is	VBZ	be
aimed	VVN	aim
at	IN	at
providing	VVG	provide
enforcement	NN	enforcement
actions	NNS	action
led	VVN	lead
by	IN	by
the	DT	the
African	JJ	African
Union	NN	union
with	IN	with
the	DT	the
predictable	JJ	predictable
and	CC	and
sustainable	JJ	sustainable
funding	NN	funding
using	VVG	use
the	DT	the
United	NP	United
Nations	NPS	Nations
assessed	VVD	assess
contributions	NNS	contribution
in	IN	in
supporting	VVG	support
this	DT	this
resolution	NN	resolution
the	DT	the
council	NN	council
will	MD	will
ensure	VV	ensure
that	DT	that
financing	NN	financing
of	IN	of
African	JJ	African
Union	NP	Union
lead	NN	lead
support	NN	support
operations	NNS	operation
can	MD	can
better	RBR	well
respond	VV	respond
to	TO	to
our	PP$	our
need	NN	need
for	IN	for
funding	NN	funding
from	IN	from
the	DT	the
United	NP	United
Nations	NPS	Nations
assessed	VVD	assess
contributions	NNS	contribution
and	CC	and
I	PP	I
thank	VVP	thank
you	PP	you
Mr	NP	Mr
President	NP	President
thank	VVP	thank
the	DT	the
representative	NN	representative
of	IN	of
for	IN	for
statement	NN	statement
and	CC	and
I	PP	I
'	POS	'
ll	NNS	ll
give	VVP	give
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
uh	UH	uh
thank	VV	thank
you	PP	you
Mr	NP	Mr
President	NP	President
colleagues	NNS	colleague
two	CD	two
weeks	NNS	week
ago	RB	ago
Ambassador	NP	Ambassador
Thomas	NP	Thomas
Greenfield	NP	Greenfield
traveled	VVD	travel
to	TO	to
Ghana	NP	Ghana
for	IN	for
the	DT	the
United	NP	United
Nations	NPS	Nations
peacekeeping	VVG	peacekeepe
ministerial	JJ	ministerial
and	CC	and
while	IN	while
she	PP	she
was	VBD	be
in	IN	in
Acra	NP	Acra
she	PP	she
spoke	VVD	speak
to	TO	to
a	DT	a
group	NN	group
of	IN	of
young	JJ	young
leaders	NNS	leader
at	IN	at
the	DT	the
kofan	JJ	kofan
international	JJ	international
peacekeeping	VVG	peacekeepe
Training	NP	Training
Center	NP	Center
she	PP	she
told	VVD	tell
them	PP	them
that	IN/that	that
Africans	NNS	African
deserve	VVP	deserve
a	DT	a
better	JJR	good
vision	NN	vision
for	IN	for
security	NN	security
a	DT	a
vision	NN	vision
that	WDT	that
puts	VVZ	put
African	JJ	African
leadership	NN	leadership
at	IN	at
the	DT	the
Forefront	NN	forefront
and	CC	and
African	JJ	African
people	NNS	people
at	IN	at
the	DT	the
center	NN	center
and	CC	and
that	IN/that	that
as	IN	as
an	DT	an
International	NP	International
Community	NP	Community
we	PP	we
have	VHP	have
the	DT	the
responsibility	NN	responsibility
to	TO	to
finance	VV	finance
and	CC	and
Empower	VV	empower
Au	NP	Au
missions	NNS	mission
to	TO	to
that	DT	that
end	NN	end
and	CC	and
indeed	RB	indeed
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
pleased	VVN	please
to	TO	to
support	VV	support
this	DT	this
framework	NN	framework
resolution	NN	resolution
which	WDT	which
outlines	VVZ	outline
the	DT	the
conditions	NNS	condition
under	IN	under
which	WDT	which
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
would	MD	would
consider	VV	consider
authorizing	VVG	authorize
a	DT	a
Le	NP	Le
peace	NN	peace
support	NN	support
operations	NNS	operation
with	IN	with
access	NN	access
to	TO	to
un	JJ	un
contributions	NNS	contribution
we	PP	we
recognize	VVP	recognize
the	DT	the
au	FW	au
'	POS	'
s	JJ	s
important	JJ	important
contributions	NNS	contribution
with	IN	with
respect	NN	respect
to	TO	to
the	DT	the
psos	NNS	psos
it	PP	it
has	VHZ	have
already	RB	already
deployed	VVN	deploy
and	CC	and
we	PP	we
applaud	VVP	applaud
the	DT	the
au	FW	au
'	POS	'
s	JJ	s
partnership	NN	partnership
with	IN	with
the	DT	the
UN	NP	UN
in	IN	in
developing	VVG	develop
common	JJ	common
Frameworks	NNS	framework
on	IN	on
human	JJ	human
rights	NNS	right
conduct	NN	conduct
and	CC	and
discipline	NN	discipline
for	IN	for
those	DT	those
operations	NNS	operation
as	IN	as
we	PP	we
look	VVP	look
