high	JJ	high
Syrian	JJ	Syrian
regime	NN	regime
uh	UH	uh
internationally	RB	internationally
um	JJ	um
and	CC	and
there	EX	there
'	''	'
s	NNS	s
there	RB	there
also	RB	also
reports	VVZ	report
that	IN/that	that
a	DT	a
fifth	JJ	fifth
person	NN	person
has	VHZ	have
been	VBN	be
killed	VVN	kill
although	IN	although
the	DT	the
nationality	NN	nationality
and	CC	and
the	DT	the
details	NNS	detail
of	IN	of
that	DT	that
fifth	JJ	fifth
person	NN	person
are	VBP	be
unclear	JJ	unclear
and	CC	and
I	PP	I
understand	VVP	understand
all	PDT	all
the	DT	the
caveats	NNS	caveat
about	IN	about
Israel	NP	Israel
uh	UH	uh
acknowledging	VVG	acknowledge
or	CC	or
denying	VVG	deny
the	DT	the
strikes	NNS	strike
but	CC	but
is	VBZ	be
it	PP	it
unusual	JJ	unusual
for	IN	for
Israel	NP	Israel
to	TO	to
actually	RB	actually
strike	VV	strike
Targets	NNS	target
in	IN	in
Syria	NP	Syria
no	RB	no
this	DT	this
is	VBZ	be
a	DT	a
long	JJ	long
uh	UH	uh
followed	VVD	follow
Israeli	JJ	Israeli
uh	UH	uh
strategy	NN	strategy
uh	UH	uh
bombing	VVG	bomb
uh	UH	uh
Iranian	JJ	Iranian
Targets	NNS	target
in	IN	in
Syria	NP	Syria
and	CC	and
these	DT	these
strikes	NNS	strike
have	VHP	have
become	VVN	become
deadlier	JJR	deadly
since	IN	since
the	DT	the
October	NP	October
uh	UH	uh
7th	JJ	7th
uh	UH	uh
Terror	NN	terror
attacks	NNS	attack
in	IN	in
uh	UH	uh
in	IN	in
December	NP	December
of	IN	of
last	JJ	last
year	NN	year
two	CD	two
guard	VV	guard
uh	UH	uh
members	NNS	member
were	VBD	be
killed	VVN	kill
by	IN	by
an	DT	an
Israeli	NP	Israeli
strike	VV	strike
uh	UH	uh
in	IN	in
Damascus	NP	Damascus
okay	JJ	okay
DW	NN	DW
special	JJ	special
correspondent	NN	correspondent
a	DT	a
Ibrahim	NP	Ibrahim
in	IN	in
Jerusalem	NP	Jerusalem
thanks	NNS	thanks
so	RB	so
much	RB	much
and	CC	and
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
we	PP	we
'	POS	'
re	NN	re
joined	VVD	join
Now	RB	now
by	IN	by
Middle	NP	Middle
East	NP	East
analyst	NN	analyst
Daniel	NP	Daniel
gerlock	NN	gerlock
who	WP	who
is	VBZ	be
with	IN	with
the	DT	the
magazine	NN	magazine
Zenith	NP	Zenith
of	IN	of
which	WDT	which
he	PP	he
is	VBZ	be
the	DT	the
editor	NN	editor
and	CC	and
Chief	JJ	chief
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
specialized	VVN	specialize
on	IN	on
the	DT	the
Arab	JJ	Arab
and	CC	and
Islamic	JJ	Islamic
world	NN	world
uh	UH	uh
what	WP	what
were	VBD	be
Iran	NP	Iran
'	POS	'
s	JJ	s
revolutionary	JJ	revolutionary
guards	NNS	guard
doing	VVG	do
in	IN	in
Syria	NP	Syria
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
well	RB	well
Iran	NP	Iran
'	POS	'
s	VVZ	s
uh	UH	uh
revolutionary	JJ	revolutionary
God	NP	God
core	NN	core
is	VBZ	be
present	JJ	present
in	IN	in
Syria	NP	Syria
since	IN	since
the	DT	the
onset	NN	onset
of	IN	of
the	DT	the
Syrian	JJ	Syrian
Civil	NP	Civil
War	NP	War
um	NNS	um
more	RBR	more
visible	JJ	visible
since	IN	since
2012	CD	@card@
2013	CD	@card@
so	CC	so
uh	UH	uh
the	DT	the
uh	UH	uh
irgc	NN	irgc
are	VBP	be
advising	VVG	advise
uh	UH	uh
the	DT	the
Syrian	JJ	Syrian
government	NN	government
which	WDT	which
means	VVZ	mean
in	IN	in
fact	NN	fact
that	WDT	that
have	VHP	have
troops	NNS	troop
on	IN	on
the	DT	the
ground	JJ	ground
they	PP	they
'	''	'
re	IN	re
uh	UH	uh
they	PP	they
'	''	'
re	IN	re
conducting	VVG	conduct
operations	NNS	operation
they	PP	they
'	''	'
re	IN	re
having	VHG	have
militias	NNS	militia
which	WDT	which
are	VBP	be
Guided	VVN	guide
by	IN	by
Iran	NP	Iran
but	CC	but
not	RB	not
necessarily	RB	necessarily
composed	VVN	compose
of	IN	of
Iranian	JJ	Iranian
Nationals	NNS	national
so	IN	so
Iran	NP	Iran
is	VBZ	be
very	RB	very
present	JJ	present
as	IN	as
a	DT	a
what	WP	what
comes	VVZ	come
close	VV	close
to	TO	to
military	JJ	military
ally	NN	ally
of	IN	of
Syria	NP	Syria
um	NNS	um
these	DT	these
strikes	NNS	strike
are	VBP	be
not	RB	not
new	JJ	new
yeah	RB	yeah
Israel	NP	Israel
has	VHZ	have
attacked	VVN	attack
Iran	NP	Iran
constantly	RB	constantly
in	IN	in
Syria	NP	Syria
however	RB	however
uh	UH	uh
the	DT	the
magnitude	NN	magnitude
of	IN	of
the	DT	the
strike	NN	strike
the	DT	the
violence	NN	violence
of	IN	of
the	DT	the
strike	NN	strike
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Damascus	NP	Damascus
the	DT	the
number	NN	number
of	IN	of
of	IN	of
of	IN	of
casualties	NNS	casualty
is	VBZ	be
something	NN	something
extraordinary	JJ	extraordinary
and	CC	and
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
another	DT	another
level	NN	level
of	IN	of
escalation	NN	escalation
we	PP	we
have	VHP	have
gotten	VVN	get
newed	JJ	newed
to	TO	to
these	DT	these
strikes	NNS	strike
but	CC	but
this	DT	this
is	VBZ	be
something	NN	something
a	DT	a
bit	NN	bit
more	RBR	more
violent	JJ	violent
at	IN	at
this	DT	this
level	NN	level
taking	VVG	take
out	RP	out
a	DT	a
spy	NN	spy
Chief	NN	chief
it	PP	it
appears	VVZ	appear
has	VHZ	have
has	VHZ	have
has	VHZ	have
Israel	NP	Israel
struck	VVD	strike
this	DT	this
high	NN	high
before	IN	before
in	IN	in
Syria	NP	Syria
this	DT	this
big	JJ	big
go	VV	go
yes	UH	yes
multiple	JJ	multiple
occasions	NNS	occasion
and	CC	and
on	IN	on
the	DT	the
first	JJ	first
day	NN	day
of	IN	of
Christmas	NP	Christmas
25th	JJ	25th
of	IN	of
December	NP	December
uh	UH	uh
Israel	NP	Israel
uh	UH	uh
assassinated	VVD	assassinate
a	DT	a
high	NN	high
ranking	VVG	rank
uh	UH	uh
irgc	NN	irgc
commander	NN	commander
in	IN	in
Syria	NP	Syria
uh	UH	uh
his	PP$	his
name	NN	name
was	VBD	be
razi	NP	Razi
musawi	NP	Musawi
and	CC	and
this	DT	this
was	VBD	be
so	RB	so
far	RB	far
like	IN	like
according	VVG	accord
to	TO	to
intelligence	NN	intelligence
information	NN	information
he	PP	he
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
key	JJ	key
coordinators	NNS	coordinator
of	IN	of
operations	NNS	operation
of	IN	of
Iran	NP	Iran
in	IN	in
Syria	NP	Syria
with	IN	with
uh	UH	uh
Iranian	JJ	Iranian
militias	NNS	militia
the	DT	the
Syrian	JJ	Syrian
government	NN	government
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
Hezbollah	NP	Hezbollah
uh	UH	uh
I	PP	I
wonder	VVP	wonder
to	TO	to
what	WP	what
extent	NN	extent
Iran	NP	Iran
is	VBZ	be
going	VVG	go
to	TO	to
respond	VV	respond
to	TO	to
this	DT	this
because	IN	because
Iran	NP	Iran
Iran	NP	Iran
has	VHZ	have
been	VBN	be
taking	VVG	take
many	JJ	many
of	IN	of
those	DT	those
strikes	NNS	strike
of	IN	of
course	NN	course
there	EX	there
is	VBZ	be
a	DT	a
shadow	NN	shadow
war	NN	war
going	VVG	go
on	IN	on
between	IN	between
Israel	NP	Israel
and	CC	and
Iran	NP	Iran
but	CC	but
this	DT	this
happens	VVZ	happen
in	IN	in
in	IN	in
a	DT	a
interesting	JJ	interesting
geopolitical	JJ	geopolitical
context	NN	context
because	IN	because
there	EX	there
have	VHP	have
been	VBN	be
a	DT	a
number	NN	number
of	IN	of
Iranian	JJ	Iranian
operations	NNS	operation
in	IN	in
the	DT	the
neighborhood	NN	neighborhood
which	WDT	which
the	DT	the
Iranians	NNS	Iranian
brand	NN	brand
as	IN	as
anti	JJ	anti
-	NN	-
terror	NN	terror
operations	NNS	operation
using	VVG	use
drones	NNS	drone
and	CC	and
and	CC	and
and	CC	and
also	RB	also
missiles	NNS	missile
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
there	EX	there
is	VBZ	be
a	DT	a
very	RB	very
interesting	JJ	interesting
sec	JJ	sec
reshuffle	NN	reshuffle
of	IN	of
the	DT	the
security	NN	security
apparatus	NN	apparatus
in	IN	in
Damascus	NP	Damascus
itself	PP	itself
which	WDT	which
happened	VVD	happen
yesterday	NN	yesterday
so	RB	so
maybe	RB	maybe
it	PP	it
'	POS	'
s	NN	S
coincidence	NN	coincidence
but	CC	but
maybe	RB	maybe
it	PP	it
also	RB	also
uh	UH	uh
uh	UH	uh
there	EX	there
is	VBZ	be
an	DT	an
there	RB	there
is	VBZ	be
a	DT	a
connection	NN	connection
between	IN	between
these	DT	these
events	NNS	event
and	CC	and
to	TO	to
what	WP	what
extent	NN	extent
is	VBZ	be
this	DT	this
linked	VVN	link
to	TO	to
the	DT	the
war	NN	war
Israel	NP	Israel
is	VBZ	be
is	VBZ	be
waging	VVG	wage
on	IN	on
Hamas	NP	Hamas
and	CC	and
Gaza	NP	Gaza
it	PP	it
is	VBZ	be
connected	VVN	connect
because	IN	because
of	IN	of
course	NN	course
Iran	NP	Iran
considers	VVZ	consider
Hamas	NNS	Hamas
a	DT	a
member	NN	member
a	DT	a
part	NN	part
of	IN	of
its	PP$	its
so	RB	so
-	JJ	-
called	VVN	call
axis	NN	axis
of	IN	of
resistance	NN	resistance
against	IN	against
Israel	NP	Israel
and	CC	and
the	DT	the
US	NP	US
how	WRB	how
the	DT	the
Iranians	NNS	Iranian
have	VHP	have
made	VVN	make
it	PP	it
quite	RB	quite
clear	JJ	clear
that	IN/that	that
the	DT	the
uh	UH	uh
what	WP	what
happened	VVD	happen
on	IN	on
7th	JJ	7th
of	IN	of
October	NP	October
was	VBD	be
a	DT	a
Hamas	JJ	Hamas
affair	NN	affair
a	DT	a
Palestinian	JJ	Palestinian
uh	UH	uh
attack	NN	attack
and	CC	and
they	PP	they
had	VHD	have
no	DT	no
hand	NN	hand
in	IN	in
this	DT	this
and	CC	and
I	PP	I
think	VVP	think
we	PP	we
'	''	'
ve	NNS	ve
have	VHP	have
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
a	DT	a
number	NN	number
of	IN	of
uh	UH	uh
measured	VVN	measure
by	IN	by
its	PP$	its
own	JJ	own
standards	NNS	standard
not	RB	not
very	RB	very
bellicose	JJ	bellicose
statements	NNS	statement
of	IN	of
the	DT	the
Iranian	JJ	Iranian
government	NN	government
in	IN	in
particular	JJ	particular
the	DT	the
foreign	JJ	foreign
minister	NN	minister
who	WP	who
seem	VVP	seem
to	TO	to
want	VV	want
to	TO	to
deescalate	VV	deescalate
not	RB	not
be	VB	be
dragged	VVN	drag
into	IN	into
this	DT	this
war	NN	war
any	RB	any
further	VV	further
uh	UH	uh
the	DT	the
same	JJ	same
of	IN	of
course	NN	course
applies	VVZ	apply
to	TO	to
the	DT	the
US	NP	US
um	NN	um
but	CC	but
what	WP	what
we	PP	we
see	VVP	see
on	IN	on
the	DT	the
ground	NN	ground
is	VBZ	be
something	NN	something
different	JJ	different
and	CC	and
I	PP	I
I	PP	I
wonder	VVP	wonder
to	TO	to
what	WP	what
extent	NN	extent
the	DT	the
Iranians	NNS	Iranian
are	VBP	be
going	VVG	go
to	TO	to
perceive	VV	perceive
this	DT	this
as	IN	as
a	DT	a
provocation	NN	provocation
uh	UH	uh
the	DT	the
Iranians	NNS	Iranian
have	VHP	have
struck	VVN	strike
a	DT	a
Target	NP	Target
in	IN	in
Iran	NP	Iran
a	DT	a
few	JJ	few
days	NNS	day
ago	RB	ago
in	IN	in
Iraq	NP	Iraq
in	IN	in
neighboring	VVG	neighbor
Iraq	NP	Iraq
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
a	DT	a
a	DT	a
few	JJ	few
days	NNS	day
ago	RB	ago
and	CC	and
they	PP	they
said	VVD	say
they	PP	they
had	VHD	have
hit	VVN	hit
a	DT	a
mad	JJ	mad
cell	NN	cell
like	IN	like
a	DT	a
cell	NN	cell
of	IN	of
the	DT	the
Israeli	JJ	Israeli
intelligence	NN	intelligence
service	NN	service
that	WDT	that
was	VBD	be
illegally	RB	illegally
operating	VVG	operate
out	RP	out
of	IN	of
Iraq	NP	Iraq
against	IN	against
Iranian	JJ	Iranian
security	NN	security
interest	NN	interest
so	RB	so
in	IN	in
a	DT	a
way	NN	way
the	DT	the
Iranians	NNS	Iranian
might	MD	might
take	VV	take
this	DT	this
as	IN	as
an	DT	an
official	NN	official
as	IN	as
an	DT	an
inofficial	JJ	inofficial
response	NN	response
by	IN	by
the	DT	the
Israelis	NPS	Israelis
but	CC	but
that	DT	that
would	MD	would
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
mean	VVP	mean
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
admit	VVP	admit
they	PP	they
were	VBD	be
hit	VVN	hit
by	IN	by
the	DT	the
strike	NN	strike
in	IN	in
Iraq	NP	Iraq
they	PP	they
were	VBD	be
pres	NNS	pres
this	DT	this
at	IN	at
least	JJS	least
this	DT	this
is	VBZ	be
how	WRB	how
the	DT	the
Iranians	NNS	Iranian
are	VBP	be
going	VVG	go
to	TO	to
interpret	VV	interpret
it	PP	it
a	DT	a
TI	NP	TI
for	IN	for
Tat	NP	Tat
that	IN/that	that
I	PP	I
don	VV	don
'	''	'
t	NN	t
know	VVP	know
when	WRB	when
when	WRB	when
when	WRB	when
it	PP	it
ends	VVZ	end
right	RB	right
well	VV	well
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
taken	VVN	take
to	TO	to
a	DT	a
different	JJ	different
level	NN	level
now	RB	now
and	CC	and
I	PP	I
think	VVP	think
I	PP	I
we	PP	we
should	MD	should
be	VB	be
really	RB	really
really	RB	really
worried	VVN	worry
about	IN	about
this	DT	this
because	IN	because
this	DT	this
Shadow	NP	Shadow
War	NP	War
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
some	DT	some
time	NN	time
but	CC	but
it	PP	it
seems	VVZ	seem
that	IN/that	that
both	DT	both
sides	NNS	side
want	VVP	want
to	TO	to
show	VV	show
we	PP	we
'	POS	'
re	NN	re
not	RB	not
afraid	JJ	afraid
of	IN	of
entering	VVG	enter
a	DT	a
direct	JJ	direct
confrontation	NN	confrontation
and	CC	and
it	PP	it
seems	VVZ	seem
that	IN/that	that
the	DT	the
netan	JJ	netan
government	NN	government
in	IN	in
particular	JJ	particular
is	VBZ	be
really	RB	really
pushing	VVG	push
towards	IN	towards
it	PP	it
I	PP	I
mean	VVP	mean
this	DT	this
is	VBZ	be
a	DT	a
gesture	NN	gesture
to	TO	to
the	DT	the
Iranians	NNS	Iranian
to	TO	to
say	VV	say
we	PP	we
Israelis	NNS	Israeli
we	PP	we
'	POS	'
re	NN	re
ready	JJ	ready
for	IN	for
everything	NN	everything
but	CC	but
of	IN	of
course	NN	course
nobody	NN	nobody
in	IN	in
the	DT	the
region	NN	region
would	MD	would
be	VB	be
delighted	VVN	delight
about	IN	about
a	DT	a
major	JJ	major
escalation	NN	escalation
escalation	NN	escalation
let	VVD	let
alone	RB	alone
the	DT	the
Americans	NPS	Americans
or	CC	or
the	DT	the
Gulf	NP	Gulf
States	NPS	States
or	CC	or
anyone	NN	anyone
who	WP	who
would	MD	would
suffer	VV	suffer
from	IN	from
it	PP	it
in	IN	in
the	DT	the
region	NN	region
that	RB	that
'	POS	'
s	NN	S
the	DT	the
last	JJ	last
thing	NN	thing
people	NNS	people
need	VV	need
uh	UH	uh
Middle	NP	Middle
East	NP	East
Anis	NNS	ani
Daniel	NP	Daniel
gck	NNS	gck
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
thank	VV	thank
you	PP	you
Nick	NP	Nick
