<video_id>6PMv_Z6a_yU</video_id>	JJ	<video_id>6PMv_Z6a_yU</video_id>
meetings	NNS	meeting
well	RB	well
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
those	DT	those
insights	NNS	insight
that	DT	that
D	NN	D
that	WDT	that
is	VBZ	be
DW's	NP	DW's
Brussels	NP	Brussels
correspondent	NN	correspondent
Jack	NP	Jack
perck	NP	perck
for	IN	for
</doc>	NN	</doc>
