<video_id>lNpe1MvCJl4</video_id>	JJ	<video_id>lNpe1MvCJl4</video_id>
uh	UH	uh
welcome	VV	welcome
back	RB	back
Sammy	NP	Sammy
will	MD	will
Ben	NP	Ben
in	IN	in
Netanyahu	NP	Netanyahu
regard	NN	regard
losing	VVG	lose
Gideon	NP	Gideon
sa	NN	sa
as	IN	as
significant	JJ	significant
yeah	RB	yeah
I	PP	I
mean	VVP	mean
for	IN	for
him	PP	him
it	PP	it
shows	VVZ	show
that	IN/that	that
he	PP	he
doesn't	VVD	doesn't
have	VH	have
control	NN	control
over	IN	over
the	DT	the
uh	UH	uh
political	JJ	political
theater	NN	theater
he	PP	he
tried	VVD	try
by	IN	by
various	JJ	various
means	NNS	mean
to	TO	to
convince	VV	convince
Gideon	NP	Gideon
SAR	NP	SAR
to	TO	to
be	VB	be
an	DT	an
observer	NN	observer
in	IN	in
this	DT	this
war	NN	war
cabinet	NN	cabinet
he	PP	he
he	PP	he
told	VVD	tell
him	PP	him
that	IN/that	that
he	PP	he
would	MD	would
be	VB	be
able	JJ	able
to	TO	to
come	VV	come
every	DT	every
once	RB	once
in	IN	in
a	DT	a
while	IN	while
uh	UH	uh
and	CC	and
attend	VV	attend
the	DT	the
meetings	NNS	meeting
of	IN	of
this	DT	this
war	NN	war
cabinet	NN	cabinet
but	CC	but
gon	VVG	gon
was	VBD	be
adamant	JJ	adamant
that	IN/that	that
he	PP	he
has	VHZ	have
to	TO	to
be	VB	be
a	DT	a
full	JJ	full
member	NN	member
in	IN	in
this	DT	this
war	NN	war
cabinet	NN	cabinet
and	CC	and
this	DT	this
would	MD	would
have	VH	have
caused	VVN	cause
a	DT	a
great	JJ	great
problem	NN	problem
for	IN	for
the	DT	the
government	NN	government
because	IN	because
if	IN	if
gon	VVG	gon
sah	NN	sah
would	MD	would
have	VH	have
been	VBN	be
a	DT	a
member	NN	member
of	IN	of
this	DT	this
cabinet	NN	cabinet
thenar	JJ	thenar
Ben	NP	Ben
and	CC	and
and	NP	and
smotri	NP	smotri
the	DT	the
Finance	NP	Finance
Minister	NP	Minister
who	WP	who
both	DT	both
belong	VVP	belong
belong	VV	belong
to	TO	to
the	DT	the
far	RB	far
right	JJ	right
they	PP	they
said	VVD	say
that	IN/that	that
they	PP	they
would	MD	would
also	RB	also
want	VV	want
to	TO	to
be	VB	be
members	NNS	member
of	IN	of
this	DT	this
uh	UH	uh
War	NN	war
cabinet	NN	cabinet
uh	UH	uh
so	RB	so
he	PP	he
could	MD	could
not	RB	not
accept	VV	accept
this	DT	this
Demand	NN	demand
by	IN	by
gon	VVG	gon
sa	NN	sa
okay	NN	okay
but	CC	but
talk	VV	talk
us	PP	us
through	IN	through
the	DT	the
timing	NN	timing
because	IN	because
the	DT	the
war	NN	war
cabinet	NN	cabinet
was	VBD	be
established	VVN	establish
uh	UH	uh
months	NNS	month
ago	RB	ago
why	WRB	why
is	VBZ	be
Gideon	NP	Gideon
sa	NP	Sa
only	RB	only
resigning	VVG	resign
now	RB	now
for	IN	for
not	RB	not
being	VBG	be
included	VVN	include
okay	RB	okay
so	IN	so
gon	VVG	gon
s	NNS	s
historically	RB	historically
he	PP	he
was	VBD	be
a	DT	a
member	NN	member
of	IN	of
the	DT	the
liud	NN	liud
party	JJ	party
uh	UH	uh
he	PP	he
holds	VVZ	hold
a	DT	a
rightwing	JJ	rightwing
uh	UH	uh
positions	VVZ	position
uh	UH	uh
as	RB	as
an	DT	an
example	NN	example
he	PP	he
opposes	VVZ	oppose
any	DT	any
involvement	NN	involvement
of	IN	of
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
in	IN	in
ruling	VVG	rule
the	DT	the
Gaza	NP	Gaza
striet	NN	striet
in	IN	in
the	DT	the
day	NN	day
after	IN	after
he	PP	he
is	VBZ	be
against	IN	against
uh	UH	uh
trucks	NNS	truck
bringing	VVG	bring
in	IN	in
food	NN	food
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
so	RB	so
he	PP	he
has	VHZ	have
this	DT	this
position	NN	position
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
right	NN	right
and	CC	and
the	DT	the
far	RB	far
right	JJ	right
support	NN	support
which	WDT	which
is	VBZ	be
starving	VVG	starve
the	DT	the
people	NNS	people
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
he's	NNS	he's
trying	VVG	try
to	TO	to
disassociate	VV	disassociate
himself	PP	himself
from	IN	from
Benny	NP	Benny
gun	NN	gun
he	PP	he
ran	VVD	run
together	RB	together
with	IN	with
him	PP	him
in	IN	in
an	DT	an
attempt	NN	attempt
to	TO	to
topple	VV	topple
Netanyahu	NP	Netanyahu
in	IN	in
the	DT	the
previous	JJ	previous
elections	NNS	election
and	CC	and
he's	NNS	he's
already	RB	already
thinking	VVG	think
about	IN	about
the	DT	the
the	DT	the
day	NN	day
after	IN	after
in	IN	in
the	DT	the
next	JJ	next
elections	NNS	election
so	IN	so
he	PP	he
doesn't	VVD	doesn't
want	VV	want
to	TO	to
be	VB	be
together	RB	together
with	IN	with
Benny	NP	Benny
Gans	NP	Gans
and	CC	and
he	PP	he
rather	RB	rather
would	MD	would
like	VV	like
to	TO	to
establish	VV	establish
what	WP	what
he	PP	he
already	RB	already
said	VVD	say
would	MD	would
be	VB	be
a	DT	a
right-wing	JJ	right-wing
party	NN	party
that	WDT	that
would	MD	would
not	RB	not
be	VB	be
under	IN	under
Netanyahu	NP	Netanyahu
so	IN	so
he's	NN	he's
he's	NNS	he's
trying	VVG	try
to	TO	to
carve	VV	carve
his	PP$	his
way	NN	way
through	IN	through
Israeli	JJ	Israeli
politics	NNS	politics
and	CC	and
there	RB	there
those	DT	those
who	WP	who
believe	VVP	believe
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
public	NN	public
has	VHZ	have
been	VBN	be
shifting	VVG	shift
to	TO	to
the	DT	the
right	NN	right
but	CC	but
nevertheless	RB	nevertheless
is	VBZ	be
going	VVG	go
against	IN	against
netan	NN	netan
because	IN	because
of	IN	of
his	PP$	his
responsibility	NN	responsibility
for	IN	for
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
Fiasco	NN	fiasco
so	IN	so
there	EX	there
is	VBZ	be
room	NN	room
for	IN	for
these	DT	these
kind	NN	kind
of	IN	of
right-wing	JJ	right-wing
politicians	NNS	politician
to	TO	to
get	VV	get
support	NN	support
from	IN	from
okay	RB	okay
so	RB	so
we	PP	we
have	VH	have
Gideon	NP	Gideon
SAR	NP	SAR
a	DT	a
member	NN	member
of	IN	of
leud	NN	leud
um	JJ	um
Mr	NP	Mr
netanyahu's	NNS	netanyahu's
own	VVP	own
party	NN	party
leaving	VVG	leave
his	PP$	his
government	NN	government
are	VBP	be
we	PP	we
St	NP	St
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
this	DT	this
will	MD	will
be	VB	be
the	DT	the
only	JJ	only
resignation	NN	resignation
I	PP	I
wonder	VVP	wonder
if	IN	if
we're	NN	we're
starting	VVG	start
to	TO	to
see	VV	see
the	DT	the
splintering	VVG	splinter
of	IN	of
this	DT	this
this	DT	this
Coalition	NP	Coalition
that's	NN	that's
been	VBN	be
held	VVN	hold
together	RB	together
by	IN	by
by	IN	by
just	RB	just
the	DT	the
the	DT	the
meest	NN	meest
of	IN	of
things	NNS	thing
no	RB	no
and	CC	and
gonar	NN	gonar
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
topple	VV	topple
this	DT	this
government	NN	government
he's	NNS	he's
just	RB	just
saying	VVG	say
that	IN/that	that
currently	RB	currently
he's	NNS	he's
a	DT	a
minister	NN	minister
without	IN	without
portfolio	NN	portfolio
in	IN	in
the	DT	the
government	NN	government
uh	UH	uh
which	WDT	which
means	VVZ	mean
that	IN/that	that
he	PP	he
doesn't	VVD	doesn't
have	VH	have
much	JJ	much
impact	NN	impact
on	IN	on
anything	NN	anything
and	CC	and
the	DT	the
decision	NN	decision
making	NN	making
is	VBZ	be
not	RB	not
being	VBG	be
made	VVN	make
in	IN	in
the	DT	the
government	NN	government
so	RB	so
rather	RB	rather
he	PP	he
says	VVZ	say
that	IN/that	that
he	PP	he
wants	VVZ	want
to	TO	to
step	VV	step
aside	RB	aside
it	PP	it
doesn't	VVD	doesn't
mean	VV	mean
that	IN/that	that
he	PP	he
will	MD	will
vote	VV	vote
against	IN	against
the	DT	the
the	DT	the
government	NN	government
or	CC	or
that	IN/that	that
he	PP	he
will	MD	will
try	VV	try
to	TO	to
topple	VV	topple
the	DT	the
government	NN	government
uh	UH	uh
By	IN	by
Any	DT	any
Means	VVZ	mean
uh	UH	uh
he's	NNS	he's
just	RB	just
uh	UH	uh
trying	VVG	try
to	TO	to
kind	NN	kind
of	IN	of
build	VV	build
his	PP$	his
Niche	NN	niche
within	IN	within
Israeli	JJ	Israeli
politics	NNS	politics
looking	VVG	look
at	IN	at
the	DT	the
day	NN	day
of	IN	of
the	DT	the
elections	NNS	election
okay	JJ	okay
that's	NNS	that's
very	RB	very
clear	VVP	clear
thank	VV	thank
you	PP	you
for	IN	for
talking	VVG	talk
us	PP	us
to	TO	to
that	DT	that
Sammy	NP	Sammy
Sami	NP	Sami
sakl	NNS	sakl
in	IN	in
</doc>	NN	</doc>
