after	IN	after
uh	UH	uh
Germany	NP	Germany
rejects	VVZ	reject
these	DT	these
accusations	NNS	accusation
and	CC	and
says	VVZ	say
that	IN/that	that
they	PP	they
are	VBP	be
baseless	JJ	baseless
and	CC	and
Germany	NP	Germany
also	RB	also
sees	VVZ	see
this	DT	this
case	NN	case
as	IN	as
uh	UH	uh
politically	RB	politically
instrumentalizing	VVG	instrumentalizing
the	DT	the
convention	NN	convention
on	IN	on
genocide	NN	genocide
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
also	RB	also
heard	VVD	hear
similar	JJ	similar
strong	JJ	strong
statements	NNS	statement
coming	VVG	come
from	IN	from
the	DT	the
economy	NN	economy
Minister	NP	Minister
Robert	NP	Robert
habek	NP	habek
who	WP	who
was	VBD	be
in	IN	in
Israel	NP	Israel
on	IN	on
Thursday	NP	Thursday
and	CC	and
let	VV	let
'	''	'
s	NNS	s
have	VHP	have
a	DT	a
listen	VVP	listen
my	PP$	my
personal	JJ	personal
and	CC	and
political	JJ	political
opinion	NN	opinion
is	VBZ	be
that	IN/that	that
one	PP	one
can	MD	can
criticize	VV	criticize
the	DT	the
Israeli	JJ	Israeli
military	NN	military
for	IN	for
using	VVG	use
harsh	JJ	harsh
measures	NNS	measure
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
however	RB	however
that	RB	that
does	VVZ	do
not	RB	not
constitute	VV	constitute
genocide	NN	genocide
those	DT	those
who	WP	who
would	MD	would
commit	VV	commit
genocide	NN	genocide
or	CC	or
desire	NN	desire
to	TO	to
do	VV	do
so	RB	so
if	IN	if
given	VVN	give
the	DT	the
opportunity	NN	opportunity
are	VBP	be
Hamas	VVG	Hamas
the	DT	the
annihilation	NN	annihilation
of	IN	of
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
is	VBZ	be
on	IN	on
their	PP$	their
agenda	NN	agenda
so	IN	so
we	PP	we
can	MD	can
understand	VV	understand
the	DT	the
slogan	NN	slogan
from	IN	from
The	DT	the
River	NN	river
To	TO	to
The	DT	the
Sea	NP	Sea
as	IN	as
not	RB	not
meaning	VVG	mean
that	IN/that	that
Jews	NPS	Jews
should	MD	should
leave	VV	leave
Israel	NP	Israel
by	IN	by
boat	NN	boat
but	CC	but
as	IN	as
an	DT	an
Extinction	NN	extinction
fantasy	NN	fantasy
accusing	VVG	accuse
Israel	NP	Israel
of	IN	of
genocide	NN	genocide
is	VBZ	be
a	DT	a
complete	JJ	complete
Distortion	NN	distortion
of	IN	of
victims	NNS	victim
and	CC	and
perpetrators	NNS	perpetrator
in	IN	in
my	PP$	my
view	NN	view
and	CC	and
it	PP	it
is	VBZ	be
just	RB	just
wrong	JJ	wrong
right	NN	right
Julia	NP	Julia
so	RB	so
very	RB	very
clear	JJ	clear
statement	NN	statement
there	RB	there
from	IN	from
Robert	NP	Robert
habc	NP	habc
tell	VV	tell
us	PP	us
why	WRB	why
is	VBZ	be
Germany	NP	Germany
getting	VVG	get
involved	VVN	involve
in	IN	in
this	DT	this
case	NN	case
at	IN	at
all	DT	all
well	NN	well
our	PP$	our
countries	NNS	country
that	WDT	that
signed	VVD	sign
the	DT	the
convention	NN	convention
on	IN	on
genocide	NN	genocide
can	MD	can
take	VV	take
part	NN	part
in	IN	in
proceedings	NNS	proceeding
as	IN	as
a	DT	a
third	JJ	third
party	NN	party
and	CC	and
in	IN	in
uh	UH	uh
this	DT	this
case	NN	case
we	PP	we
don	VVP	don
'	''	'
t	NN	t
see	VV	see
this	DT	this
as	IN	as
the	DT	the
first	JJ	first
case	NN	case
that	IN/that	that
Germany	NP	Germany
joins	VVZ	join
proceedings	NNS	proceeding
they	PP	they
'	POS	'
ve	JJ	ve
done	VVN	do
that	IN/that	that
recently	RB	recently
in	IN	in
a	DT	a
case	NN	case
brought	VVN	bring
against	IN	against
against	IN	against
Myanmar	NP	Myanmar
uh	UH	uh
for	IN	for
accusations	NNS	accusation
of	IN	of
genocide	NN	genocide
uh	UH	uh
against	IN	against
the	DT	the
rohinga	NN	rohinga
and	CC	and
also	RB	also
Germany	NP	Germany
joined	VVD	join
the	DT	the
case	NN	case
against	IN	against
Russia	NP	Russia
for	IN	for
its	PP$	its
war	NN	war
and	CC	and
Ukraine	NP	Ukraine
and	CC	and
in	IN	in
those	DT	those
two	CD	two
cases	NNS	case
Germany	NP	Germany
uh	UH	uh
supported	VVD	support
the	DT	the
accusations	NNS	accusation
of	IN	of
genocide	NN	genocide
in	IN	in
the	DT	the
case	NN	case
of	IN	of
Israel	NP	Israel
it	PP	it
is	VBZ	be
not	RB	not
and	CC	and
we	PP	we
see	VVP	see
that	IN/that	that
Germany	NP	Germany
wants	VVZ	want
to	TO	to
stand	VV	stand
by	IN	by
Israel	NP	Israel
being	VBG	be
one	CD	one
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	s
strongest	JJS	strong
allies	VVZ	ally
uh	UH	uh
right	RB	right
now	RB	now
and	CC	and
also	RB	also
though	IN	though
there	EX	there
is	VBZ	be
a	DT	a
sense	NN	sense
of	IN	of
historical	JJ	historical
responsibility	NN	responsibility
on	IN	on
the	DT	the
side	NN	side
of	IN	of
Germany	NP	Germany
given	VVN	give
that	IN/that	that
the	DT	the
genocide	NN	genocide
convention	NN	convention
was	VBD	be
born	VVN	bear
out	RP	out
of	IN	of
the	DT	the
atrocities	NNS	atrocity
of	IN	of
World	NP	World
War	NP	War
II	NP	II
as	IN	as
a	DT	a
sign	NN	sign
of	IN	of
never	RB	never
again	RB	again
and	CC	and
also	RB	also
out	RB	out
of	IN	of
uh	UH	uh
the	DT	the
atrocities	NNS	atrocity
committed	VVN	commit
by	IN	by
Nazi	NP	Nazi
Germany	NP	Germany
in	IN	in
the	DT	the
Holocaust	NN	holocaust
so	IN	so
Germany	NP	Germany
sees	VVZ	see
itself	PP	itself
as	RB	as
responsible	JJ	responsible
to	TO	to
ensure	VV	ensure
that	IN/that	that
the	DT	the
convention	NN	convention
is	VBZ	be
interpreted	VVN	interpret
correctly	RB	correctly
in	IN	in
the	DT	the
way	NN	way
that	IN/that	that
Germany	NP	Germany
sees	VVZ	see
it	PP	it
correctly	RB	correctly
so	RB	so
it	PP	it
wants	VVZ	want
to	TO	to
also	RB	also
take	VV	take
a	DT	a
principled	JJ	principled
stand	NN	stand
in	IN	in
this	DT	this
case	NN	case
thanks	NNS	thanks
Julia	NP	Julia
for	IN	for
breaking	VVG	break
that	IN/that	that
down	RB	down
for	IN	for
us	PP	us
tww	VVZ	tww
political	JJ	political
correspondent	NN	correspondent
Julia	NP	Julia
