Europe	NP	Europe
member	NN	member
states	NNS	state
are	VBP	be
also	RB	also
United	VVN	unite
on	IN	on
this	DT	this
issue	NN	issue
not	RB	not
really	RB	really
no	DT	no
uh	UH	uh
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
seeing	VVG	see
real	JJ	real
divisions	NNS	division
the	DT	the
European	NP	European
Parliament	NP	Parliament
there	RB	there
were	VBD	be
obviously	RB	obviously
a	DT	a
number	NN	number
of	IN	of
people	NNS	people
voting	VVG	vote
against	IN	against
it	PP	it
in	IN	in
the	DT	the
in	IN	in
the	DT	the
parament	NN	parament
as	IN	as
well	RB	well
but	CC	but
the	DT	the
EU	NP	EU
countries	NNS	country
so	IN	so
the	DT	the
27	CD	@card@
countries	NNS	country
of	IN	of
the	DT	the
European	NP	European
Union	NP	Union
are	VBP	be
divided	JJ	divided
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
countries	NNS	country
like	IN	like
Ireland	NP	Ireland
and	CC	and
Belgium	NP	Belgium
for	IN	for
instance	NN	instance
who	WP	who
are	VBP	be
very	RB	very
keen	JJ	keen
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
have	VHP	have
also	RB	also
considered	VVN	consider
backing	VVG	back
South	NP	South
Africa	NP	Africa
'	POS	'
s	NNS	s
claim	VV	claim
uh	UH	uh
for	IN	for
the	DT	the
look	NN	look
into	IN	into
uh	UH	uh
accusations	NNS	accusation
of	IN	of
Israel	NP	Israel
of	IN	of
genocide	NN	genocide
by	IN	by
Israel	NP	Israel
in	IN	in
Gaza	NP	Gaza
at	IN	at
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
that	IN/that	that
case	NN	case
taking	VVG	take
place	NN	place
last	JJ	last
week	NN	week
other	JJ	other
countries	NNS	country
for	IN	for
instance	NN	instance
Germany	NP	Germany
are	VBP	be
much	RB	much
closer	RBR	closer
in	IN	in
line	NN	line
with	IN	with
the	DT	the
Israel	NP	Israel
position	NN	position
of	IN	of
the	DT	the
right	NN	right
to	TO	to
self	JJ	self
-	NN	-
defense	NN	defense
all	DT	all
countries	NNS	country
say	VVP	say
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
the	DT	the
right	NN	right
to	TO	to
defend	VV	defend
itself	PP	itself
but	CC	but
others	NNS	other
are	VBP	be
putting	VVG	put
and	CC	and
for	IN	for
instance	NN	instance
Ireland	NP	Ireland
and	CC	and
Belgium	NP	Belgium
are	VBP	be
putting	VVG	put
significant	JJ	significant
pressure	NN	pressure
on	IN	on
the	DT	the
European	NP	European
Union	NP	Union
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
the	DT	the
Israelis	NPS	Israelis
to	TO	to
to	TO	to
bring	VV	bring
about	IN	about
a	DT	a
ceasefire	NN	ceasefire
I	PP	I
mean	VVP	mean
you	PP	you
did	VVD	do
call	VV	call
this	DT	this
resolution	NN	resolution
significant	JJ	significant
but	CC	but
how	WRB	how
much	JJ	much
influence	NN	influence
does	VVZ	do
the	DT	the
EU	NP	EU
really	RB	really
have	VHP	have
with	IN	with
Israel	NP	Israel
right	RB	right
now	RB	now
given	VVN	give
that	IN/that	that
we	PP	we
'	POS	'
ve	NN	ve
just	RB	just
seen	VVN	see
Israel	NP	Israel
publicly	RB	publicly
defying	VVG	defy
its	PP$	its
closest	JJS	close
and	CC	and
most	RBS	most
powerful	JJ	powerful
Ally	NP	Ally
the	DT	the
United	NP	United
States	NPS	States
I	NP	I
don	NN	don
'	POS	'
t	NN	t
think	VVP	think
there	EX	there
'	''	'
s	VVG	s
any	DT	any
delusions	NNS	delusion
here	RB	here
in	IN	in
Brussels	NP	Brussels
or	CC	or
in	IN	in
the	DT	the
sort	NN	sort
of	IN	of
corridors	NNS	corridor
of	IN	of
power	NN	power
in	IN	in
the	DT	the
European	JJ	European
Union	NP	Union
that	IN/that	that
the	DT	the
real	JJ	real
power	NN	power
and	CC	and
the	DT	the
real	JJ	real
influence	NN	influence
um	NNS	um
on	IN	on
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
government	NN	government
comes	VVZ	come
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
but	CC	but
they	PP	they
don	VVP	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
step	VV	step
back	RB	back
from	IN	from
this	DT	this
issue	NN	issue
because	IN	because
they	PP	they
firstly	RB	firstly
have	VHP	have
you	PP	you
know	VVP	know
strong	JJ	strong
uh	UH	uh
ties	NNS	tie
there	EX	there
is	VBZ	be
a	DT	a
strong	JJ	strong
sentiment	NN	sentiment
among	IN	among
EU	NP	EU
citizens	NNS	citizen
on	IN	on
this	DT	this
issue	NN	issue
as	IN	as
well	RB	well
so	RB	so
they	PP	they
don	VV	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
stay	VV	stay
disengaged	VVN	disengage
they	PP	they
don	NN	don
'	POS	'
t	NN	t
want	VVP	want
to	TO	to
look	VV	look
like	IN	like
they	PP	they
'	POS	'
re	NN	re
disengaging	VVG	disengage
in	IN	in
any	DT	any
way	NN	way
while	IN	while
they	PP	they
'	POS	'
re	NN	re
aware	JJ	aware
probably	RB	probably
that	IN/that	that
resolutions	NNS	resolution
like	IN	like
this	DT	this
aren	NN	aren
'	POS	'
t	NN	t
really	RB	really
going	VVG	go
to	TO	to
uh	UH	uh
put	VV	put
too	RB	too
much	JJ	much
influence	NN	influence
on	IN	on
the	DT	the
Israeli	JJ	Israeli
government	NN	government
which	WDT	which
which	WDT	which
as	IN	as
I	PP	I
say	VVP	say
is	VBZ	be
is	VBZ	be
really	RB	really
looking	VVG	look
to	TO	to
its	PP$	its
strongest	JJS	strong
supporter	NN	supporter
and	CC	and
strongest	JJS	strong
Ally	NP	Ally
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
Jack	NP	Jack
perck	NP	perck
we	PP	we
leave	VVP	leave
it	PP	it
there	RB	there
but	CC	but
thanks	NNS	thanks
so	RB	so
much	RB	much
for	IN	for
that	DT	that
context	NN	context
