days	NNS	day
it	PP	it
takes	VVZ	take
a	DT	a
lot	NN	lot
of	IN	of
strength	NN	strength
to	TO	to
tell	VV	tell
the	DT	the
story	NN	story
for	IN	for
my	PP$	my
cousins	NNS	cousin
who	WP	who
might	MD	might
be	VB	be
orphans	NNS	orphan
for	IN	for
the	DT	the
the	DT	the
young	JJ	young
kids	NNS	kid
who	WP	who
were	VBD	be
kidnapped	VVN	kidnap
who	WP	who
are	VBP	be
eight	CD	eight
and	CC	and
3	CD	@card@
years	NNS	year
old	JJ	old
my	PP$	my
cousin	NN	cousin
'	POS	'
s	NN	S
kids	VVZ	kid
it	PP	it
'	''	'
s	NNS	s
very	RB	very
hard	JJ	hard
to	TO	to
put	VV	put
it	PP	it
in	IN	in
words	NNS	word
just	RB	just
I	PP	I
can	MD	can
just	RB	just
say	VV	say
that	IN/that	that
I	PP	I
I	PP	I
really	RB	really
don	VVP	don
'	POS	'
t	NN	t
wish	VVP	wish
it	PP	it
to	TO	to
anyone	NN	anyone
to	TO	to
be	VB	be
in	IN	in
this	DT	this
situation	NN	situation
yeah	RB	yeah
thank	VV	thank
you	PP	you
for	IN	for
trying	VVG	try
to	TO	to
put	VV	put
it	PP	it
into	IN	into
words	NNS	word
for	IN	for
us	PP	us
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
also	RB	also
been	VBN	be
putting	VVG	put
it	PP	it
into	IN	into
words	NNS	word
here	RB	here
at	IN	at
the	DT	the
European	JJ	European
Parliament	NP	Parliament
we	PP	we
'	POS	'
re	NN	re
in	IN	in
Brussels	NP	Brussels
you	PP	you
want	VVP	want
to	TO	to
put	VV	put
those	DT	those
words	NNS	word
into	IN	into
actions	NNS	action
what	WP	what
would	MD	would
you	PP	you
what	WP	what
'	POS	'
s	VVG	s
your	PP$	your
ask	VV	ask
what	WP	what
'	POS	'
s	VVG	s
your	PP$	your
request	NN	request
of	IN	of
parliamentarians	NNS	parliamentarian
and	CC	and
the	DT	the
European	JJ	European
Union	NN	union
in	IN	in
general	NN	general
we	PP	we
ask	VVP	ask
the	DT	the
people	NNS	people
here	RB	here
um	JJ	um
to	TO	to
act	VV	act
and	CC	and
put	VV	put
pressure	NN	pressure
upon	IN	upon
our	PP$	our
government	NN	government
to	TO	to
um	JJ	um
um	NNS	um
arrange	VV	arrange
some	DT	some
kind	NN	kind
of	IN	of
a	DT	a
deal	NN	deal
where	WRB	where
in	IN	in
which	WDT	which
the	DT	the
the	DT	the
the	DT	the
people	NNS	people
in	IN	in
captivity	NN	captivity
will	MD	will
return	VV	return
to	TO	to
their	PP$	their
homes	NNS	home
as	IN	as
soon	RB	soon
as	RB	as
possible	JJ	possible
because	IN	because
time	NN	time
time	NN	time
is	VBZ	be
the	DT	the
clock	NN	clock
is	VBZ	be
every	DT	every
minute	NN	minute
we	PP	we
stand	VVP	stand
here	RB	here
talking	VVG	talk
is	VBZ	be
time	NN	time
where	WRB	where
injured	JJ	injured
people	NNS	people
might	MD	might
be	VB	be
dying	VVG	die
my	PP$	my
family	NN	family
may	MD	may
may	MD	may
be	VB	be
dying	VVG	die
and	CC	and
before	IN	before
the	DT	the
war	NN	war
gets	VVZ	get
will	MD	will
move	VV	move
on	IN	on
and	CC	and
people	NNS	people
will	MD	will
forget	VV	forget
about	IN	about
those	DT	those
people	NNS	people
who	WP	who
are	VBP	be
there	RB	there
and	CC	and
bombed	VVN	bomb
and	CC	and
and	CC	and
destroy	VV	destroy
everything	NN	everything
we	PP	we
want	VVP	want
them	PP	them
back	RB	back
and	CC	and
we	PP	we
ask	VVP	ask
people	NNS	people
here	RB	here
to	TO	to
put	VV	put
a	DT	a
pressure	NN	pressure
talk	NN	talk
talk	NN	talk
to	TO	to
whoever	WP	whoever
they	PP	they
need	VVP	need
to	TO	to
talk	VV	talk
act	NN	act
and	CC	and
and	CC	and
activate	VV	activate
their	PP$	their
their	PP$	their
effect	NN	effect
in	IN	in
our	PP$	our
region	NN	region
and	CC	and
help	VV	help
us	PP	us
get	VV	get
out	RP	out
of	IN	of
this	DT	this
situation	NN	situation
um	NN	um
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
'	POS	'
re	NN	re
asking	VVG	ask
for	IN	for
Shir	NP	Shir
you	PP	you
said	VVD	say
you	PP	you
would	MD	would
like	VV	like
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
your	PP$	your
government	NN	government
so	IN	so
you	PP	you
are	VBP	be
Israeli	JJ	Israeli
you	PP	you
were	VBD	be
traveling	VVG	travel
here	RB	here
in	IN	in
Europe	NP	Europe
when	WRB	when
you	PP	you
got	VVD	get
this	DT	this
Dreadful	JJ	dreadful
news	NN	news
there	RB	there
'	POS	'
s	NN	S
also	RB	also
a	DT	a
lot	NN	lot
of	IN	of
anger	NN	anger
toward	IN	toward
the	DT	the
Israeli	JJ	Israeli
government	NN	government
is	VBZ	be
that	IN/that	that
how	WRB	how
you	PP	you
feel	VVP	feel
of	IN	of
course	NN	course
it	PP	it
'	POS	'
s	NN	S
very	RB	very
complicated	VVN	complicate
relationship	NN	relationship
with	IN	with
the	DT	the
government	NN	government
in	IN	in
my	PP$	my
country	NN	country
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
complicated	JJ	complicated
place	NN	place
to	TO	to
live	VV	live
in	IN	in
we	PP	we
are	VBP	be
people	NNS	people
who	WP	who
support	VVP	support
peace	NN	peace
and	CC	and
equality	NN	equality
and	CC	and
rights	NNS	right
for	IN	for
All	DT	all
Humans	NNS	human
no	RB	no
matter	VVP	matter
who	WP	who
they	PP	they
are	VBP	be
and	CC	and
what	WP	what
'	''	'
s	VVG	s
their	PP$	their
religion	NN	religion
or	CC	or
origion	NN	origion
or	CC	or
anything	NN	anything
so	IN	so
we	PP	we
feel	VVP	feel
abandoned	VVN	abandon
right	RB	right
now	RB	now
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
we	PP	we
are	VBP	be
here	RB	here
is	VBZ	be
is	VBZ	be
a	DT	a
desperate	JJ	desperate
act	NN	act
to	TO	to
ask	VV	ask
for	IN	for
more	JJR	more
help	NN	help
to	TO	to
to	TO	to
solve	VV	solve
the	DT	the
situation	NN	situation
because	IN	because
our	PP$	our
government	NN	government
is	VBZ	be
is	VBZ	be
is	VBZ	be
is	VBZ	be
busy	JJ	busy
with	IN	with
stuff	NN	stuff
that	WDT	that
are	VBP	be
not	RB	not
my	PP$	my
family	NN	family
right	RB	right
now	RB	now
and	CC	and
I	PP	I
want	VVP	want
my	PP$	my
family	NN	family
back	RB	back
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
want	VVP	want
it	PP	it
has	VHZ	have
never	RB	never
been	VBN	be
this	DT	this
personal	JJ	personal
it	PP	it
has	VHZ	have
never	RB	never
been	VBN	be
this	DT	this
this	DT	this
size	NN	size
of	IN	of
catastroph	NN	catastroph
me	FW	me
catastrophe	NN	catastrophe
for	IN	for
me	PP	me
personally	RB	personally
and	CC	and
obviously	RB	obviously
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
very	RB	very
hard	JJ	hard
feelings	NNS	feeling
to	TO	to
to	TO	to
ask	VV	ask
people	NNS	people
who	WP	who
are	VBP	be
not	RB	not
my	PP$	my
government	NN	government
for	IN	for
help	NN	help
even	RB	even
though	IN	though
it	PP	it
'	POS	'
s	NNS	s
also	RB	also
their	PP$	their
responsibility	NN	responsibility
but	CC	but
the	DT	the
fact	NN	fact
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
so	IN	so
desperate	JJ	desperate
and	CC	and
the	DT	the
time	NN	time
has	VHZ	have
passed	VVN	pass
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
96	CD	@card@
hours	NNS	hour
and	CC	and
nothing	NN	nothing
has	VHZ	have
been	VBN	be
done	VVN	do
we	PP	we
can	MD	can
'	''	'
t	NN	t
hear	VVP	hear
from	IN	from
them	PP	them
we	PP	we
can	MD	can
'	''	'
t	NN	t
see	VV	see
them	PP	them
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
me	PP	me
I	NP	I
'	POS	'
m	NN	m
just	RB	just
a	DT	a
representative	NN	representative
of	IN	of
my	PP$	my
family	NN	family
you	PP	you
said	VVD	say
you	PP	you
wouldn	NP	wouldn
'	POS	'
t	NN	t
wish	VVP	wish
this	DT	this
feeling	NN	feeling
on	IN	on
anyone	NN	anyone
we	PP	we
both	CC	both
know	VV	know
the	DT	the
most	RBS	most
likely	JJ	likely
outcome	NN	outcome
here	RB	here
is	VBZ	be
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
more	RBR	more
innocent	JJ	innocent
Bloodshed	NN	bloodshed
particularly	RB	particularly
in	IN	in
Gaza	NP	Gaza
among	IN	among
Palestinians	NPS	Palestinians
how	WRB	how
do	VVP	do
you	PP	you
feel	VVP	feel
about	RB	about
that	IN/that	that
as	IN	as
I	PP	I
said	VVD	say
I	PP	I
grew	VVD	grow
up	RP	up
on	IN	on
values	NNS	value
of	IN	of
equality	NN	equality
and	CC	and
Humanity	NN	humanity
for	IN	for
everyone	NN	everyone
and	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
it	PP	it
'	''	'
s	NNS	s
never	RB	never
changed	VVD	change
it	PP	it
'	''	'
s	VVG	s
the	DT	the
same	JJ	same
here	RB	here
even	RB	even
though	IN	though
my	PP$	my
family	NN	family
11	CD	@card@
members	NNS	member
of	IN	of
my	PP$	my
family	NN	family
half	NN	half
of	IN	of
my	PP$	my
family	NN	family
are	VBP	be
missing	VVG	miss
my	PP$	my
heart	NN	heart
are	NN	are
is	VBZ	be
with	IN	with
with	IN	with
the	DT	the
all	RB	all
with	IN	with
the	DT	the
other	JJ	other
families	NNS	family
who	WP	who
suffer	VVP	suffer
from	IN	from
the	DT	the
same	JJ	same
situations	NNS	situation
isra	NP	Isra
and	CC	and
Palestinians	NPS	Palestinians
obviously	RB	obviously
it	PP	it
has	VHZ	have
always	RB	always
been	VBN	be
this	DT	this
way	NN	way
for	IN	for
me	PP	me
this	DT	this
is	VBZ	be
the	DT	the
only	JJ	only
way	NN	way
to	TO	to
live	VV	live
I	PP	I
was	VBD	be
born	VVN	bear
in	IN	in
Israel	NP	Israel
I	NP	I
'	POS	'
m	NN	m
an	DT	an
Israeli	JJ	Israeli
by	IN	by
birth	NN	birth
this	DT	this
is	VBZ	be
my	PP$	my
family	NN	family
this	DT	this
is	VBZ	be
where	WRB	where
I	PP	I
grew	VVD	grow
up	RP	up
in	IN	in
but	CC	but
I	PP	I
care	VVP	care
for	IN	for
other	JJ	other
people	NNS	people
I	PP	I
want	VVP	want
this	DT	this
to	TO	to
stop	VV	stop
I	PP	I
want	VV	want
the	DT	the
stopping	NN	stopping
in	IN	in
Israel	NP	Israel
to	TO	to
stop	VV	stop
and	CC	and
I	PP	I
want	VVP	want
the	DT	the
bombing	NN	bombing
in	IN	in
Gaza	NP	Gaza
to	TO	to
stop	VV	stop
I	PP	I
want	VV	want
everyone	NN	everyone
to	TO	to
live	VV	live
in	IN	in
peace	NN	peace
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
large	JJ	large
request	NN	request
right	NN	right
now	RB	now
so	RB	so
right	RB	right
now	RB	now
I	NP	I
'	POS	'
m	NN	m
taking	VVG	take
care	NN	care
of	IN	of
my	PP$	my
family	NN	family
but	CC	but
once	IN	once
it	PP	it
'	POS	'
s	NNS	s
done	VVN	do
and	CC	and
hopefully	RB	hopefully
the	DT	the
result	NN	result
will	MD	will
be	VB	be
them	PP	them
coming	VVG	come
back	RB	back
to	TO	to
us	PP	us
alive	JJ	alive
each	DT	each
and	CC	and
every	DT	every
one	CD	one
of	IN	of
them	PP	them
young	JJ	young
kids	NNS	kid
grandfathers	NNS	grandfather
parents	NNS	parent
three	CD	three
generations	NNS	generation
that	WDT	that
are	VBP	be
missing	VVG	miss
once	IN	once
it	PP	it
'	POS	'
s	NN	S
done	VVN	do
I	PP	I
I	PP	I
just	RB	just
want	VVP	want
everything	NN	everything
to	TO	to
end	VV	end
I	PP	I
want	VV	want
everyone	NN	everyone
to	TO	to
live	VV	live
in	IN	in
peace	NN	peace
I	PP	I
want	VVP	want
families	NNS	family
kids	NNS	kid
from	IN	from
here	RB	here
from	IN	from
Gaza	NP	Gaza
from	IN	from
the	DT	the
West	NP	West
Bank	NP	Bank
all	RB	all
over	IN	over
the	DT	the
world	NN	world
to	TO	to
feel	VV	feel
safe	JJ	safe
this	DT	this
is	VBZ	be
the	DT	the
basic	JJ	basic
human	JJ	human
right	NN	right
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
important	JJ	important
message	NN	message
I	PP	I
just	RB	just
everyone	NN	everyone
suffers	VVZ	suffer
because	IN	because
of	IN	of
it	PP	it
everyone	NN	everyone
it	PP	it
'	POS	'
s	NN	S
not	RB	not
one	CD	one
-	NN	-
sided	VVD	side
and	CC	and
people	NNS	people
have	VHP	have
to	TO	to
remember	VV	remember
this	DT	this
even	RB	even
in	IN	in
this	DT	this
situation	NN	situation
in	IN	in
the	DT	the
hardest	JJS	hard
time	NN	time
this	DT	this
is	VBZ	be
the	DT	the
time	NN	time
to	TO	to
remember	VV	remember
it	PP	it
Shar	NP	Shar
havon	NN	havon
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
speaking	VVG	speak
to	TO	to
DW	NP	DW
and	CC	and
and	CC	and
sharing	VVG	share
your	PP$	your
story	NN	story
with	IN	with
