<video_id>RcPUUgdbbSo</video_id>	JJ	<video_id>RcPUUgdbbSo</video_id>
people	NNS	people
to	TO	to
leave	VV	leave
and	CC	and
cross	VV	cross
into	IN	into
Egypt	NP	Egypt
what	WP	what
more	JJR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
that	DT	that
well	UH	well
uh	UH	uh
just	RB	just
like	IN	like
everybody	NN	everybody
else	RB	else
we	PP	we
are	VBP	be
following	VVG	follow
the	DT	the
situation	NN	situation
and	CC	and
we're	NN	we're
waiting	VVG	wait
uh	UH	uh
what's	NNS	what's
going	VVG	go
to	TO	to
happen	VV	happen
and	CC	and
we	PP	we
we	PP	we
hope	VVP	hope
that	IN/that	that
people	NNS	people
who	WP	who
want	VVP	want
to	TO	to
evacuate	VV	evacuate
they	PP	they
can	MD	can
reach	VV	reach
safety	NN	safety
but	CC	but
for	IN	for
us	PP	us
as	IN	as
the	DT	the
humanitarian	JJ	humanitarian
organization	NN	organization
working	VVG	work
in	IN	in
Gaza	NP	Gaza
on	IN	on
the	DT	the
ground	NN	ground
the	DT	the
main	JJ	main
priority	NN	priority
is	VBZ	be
delivering	VVG	deliver
humanitarian	JJ	humanitarian
assistance	NN	assistance
to	TO	to
hospitals	NNS	hospital
in	IN	in
Gaza	NP	Gaza
because	IN	because
they	PP	they
are	VBP	be
running	VVG	run
a	DT	a
critically	RB	critically
short	JJ	short
on	IN	on
the	DT	the
Essential	JJ	essential
Medical	JJ	medical
Supplies	VVZ	supply
uh	UH	uh
last	JJ	last
week	NN	week
we	PP	we
managed	VVD	manage
to	TO	to
bring	VV	bring
uh	UH	uh
some	DT	some
of	IN	of
the	DT	the
trucks	NNS	truck
in	IN	in
but	CC	but
this	DT	this
is	VBZ	be
infinitely	RB	infinitely
small	JJ	small
compared	VVN	compare
to	TO	to
the	DT	the
massive	JJ	massive
scale	NN	scale
of	IN	of
the	DT	the
needs	VVZ	need
that	IN/that	that
we	PP	we
are	VBP	be
seeing	VVG	see
so	IN	so
Alon	NP	Alon
are	VBP	be
you	PP	you
expecting	VVG	expect
then	RB	then
that	IN/that	that
that	DT	that
opening	NN	opening
of	IN	of
the	DT	the
if	IN	if
that	DT	that
crossing	VVG	cross
the	DT	the
Rafa	NP	Rafa
Crossing	NN	crossing
between	IN	between
Gaza	NP	Gaza
and	CC	and
Egypt	NP	Egypt
does	VVZ	do
open	JJ	open
today	NN	today
are	VBP	be
you	PP	you
expecting	VVG	expect
more	RBR	more
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
flow	VV	flow
into	IN	into
Gaza	NP	Gaza
it's	NNS	it's
too	RB	too
early	RB	early
for	IN	for
us	PP	us
to	TO	to
tell	VV	tell
uh	UH	uh
we	PP	we
are	VBP	be
in	IN	in
con	NN	con
we	PP	we
are	VBP	be
in	IN	in
constant	JJ	constant
dialogue	NN	dialogue
and	CC	and
negotiations	NNS	negotiation
trying	VVG	try
to	TO	to
uh	UH	uh
bring	VV	bring
more	JJR	more
supplies	NNS	supply
in	IN	in
uh	UH	uh
that	IN/that	that
we	PP	we
have	VHP	have
ready	JJ	ready
and	CC	and
preposition	NN	preposition
we	PP	we
now	RB	now
have	VHP	have
our	PP$	our
surgical	JJ	surgical
team	VV	team
uh	UH	uh
that	WDT	that
arrived	VVD	arrive
in	IN	in
Gaza	NP	Gaza
and	CC	and
started	VVD	start
operating	VVG	operate
so	RB	so
yes	RB	yes
we	PP	we
are	VBP	be
constantly	RB	constantly
calling	NN	calling
on	IN	on
uh	UH	uh
safe	JJ	safe
delivery	NN	delivery
of	IN	of
humanitarian	JJ	humanitarian
need	NN	need
on	IN	on
safe	JJ	safe
humanitarian	JJ	humanitarian
access	NN	access
for	IN	for
our	PP$	our
colleagues	NNS	colleague
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
uh	UH	uh
do	VV	do
their	PP$	their
work	NN	work
and	CC	and
also	RB	also
for	IN	for
the	DT	the
necessary	JJ	necessary
supplies	NNS	supply
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
reach	VV	reach
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
now	RB	now
in	IN	in
a	DT	a
desperate	JJ	desperate
situation	NN	situation
as	IN	as
you	PP	you
know	VVP	know
Communications	NPS	Communications
have	VHP	have
been	VBN	be
cut	VVN	cut
off	RP	off
to	TO	to
Gaza	NP	Gaza
how	WRB	how
is	VBZ	be
your	PP$	your
staff	NN	staff
with	IN	with
the	DT	the
Red	NP	Red
Cross	NP	Cross
coping	VVG	cope
with	IN	with
this	DT	this
situation	NN	situation
on	IN	on
the	DT	the
ground	JJ	ground
well	UH	well
uh	UH	uh
yesterday	NN	yesterday
last	JJ	last
night	NN	night
uh	UH	uh
I	PP	I
was	VBD	be
still	RB	still
managing	VVG	manage
to	TO	to
reach	VV	reach
and	CC	and
speak	VV	speak
to	TO	to
our	PP$	our
colleagues	NNS	colleague
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
we	PP	we
Tred	VVD	Tred
to	TO	to
be	VB	be
in	IN	in
contact	NN	contact
with	IN	with
them	PP	them
all	PDT	all
the	DT	the
time	NN	time
because	IN	because
it	PP	it
is	VBZ	be
an	DT	an
extremely	RB	extremely
difficult	JJ	difficult
situation	NN	situation
for	IN	for
them	PP	them
just	RB	just
like	VVP	like
for	IN	for
the	DT	the
all	RB	all
the	DT	the
other	JJ	other
civilians	NNS	civilian
who	WP	who
are	VBP	be
there	RB	there
with	IN	with
uh	UH	uh
um	JJ	um
Relentless	JJ	relentless
sounds	NNS	sound
of	IN	of
explosion	NN	explosion
shelling	VVG	shell
it's	JJ	it's
uh	UH	uh
uh	UH	uh
extremely	RB	extremely
difficult	JJ	difficult
uh	UH	uh
I	PP	I
haven't	NNS	haven't
been	VBN	be
able	JJ	able
to	TO	to
speak	VV	speak
to	TO	to
them	PP	them
this	DT	this
morning	NN	morning
we	PP	we
are	VBP	be
of	IN	of
course	VV	course
uh	UH	uh
extremely	RB	extremely
worried	VVD	worry
uh	UH	uh
because	IN	because
it's	NNS	it's
important	JJ	important
for	IN	for
us	PP	us
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
reach	VV	reach
our	PP$	our
staff	NN	staff
to	TO	to
uh	UH	uh
carry	VV	carry
out	RP	out
our	PP$	our
work	VV	work
uh	UH	uh
it's	NNS	it's
impossible	JJ	impossible
to	TO	to
put	VV	put
up	RP	up
a	DT	a
large	JJ	large
humanitarian	JJ	humanitarian
response	NN	response
without	IN	without
the	DT	the
functioning	VVG	function
telecommunication	NN	telecommunication
lines	NNS	line
but	CC	but
also	RB	also
just	RB	just
for	IN	for
the	DT	the
for	IN	for
civilians	NNS	civilian
people	NNS	people
need	VVP	need
information	NN	information
about	IN	about
how	WRB	how
to	TO	to
reach	VV	reach
safety	NN	safety
they	PP	they
need	VVP	need
information	NN	information
about	IN	about
where	WRB	where
to	TO	to
get	VV	get
clean	VV	clean
water	VV	water
uh	UH	uh
need	VV	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
contact	VV	contact
their	PP$	their
families	NNS	family
so	CC	so
uh	UH	uh
the	DT	the
humanitarian	JJ	humanitarian
impact	NN	impact
of	IN	of
uh	UH	uh
telecommunication	NN	telecommunication
blackout	NN	blackout
is	VBZ	be
uh	UH	uh
and	CC	and
could	MD	could
be	VB	be
very	RB	very
serious	JJ	serious
what	WP	what
about	IN	about
the	DT	the
limited	JJ	limited
Aid	NN	aid
that	WDT	that
is	VBZ	be
getting	VVG	get
into	IN	into
Gaza	NP	Gaza
it's	NNS	it's
simply	RB	simply
not	RB	not
enough	JJ	enough
to	TO	to
go	VV	go
around	RP	around
the	DT	the
needs	NNS	need
are	VBP	be
so	RB	so
great	JJ	great
and	CC	and
the	DT	the
supply	NN	supply
of	IN	of
Aid	NP	Aid
is	VBZ	be
so	RB	so
small	JJ	small
how	WRB	how
do	VVP	do
you	PP	you
prioritize	VVP	prioritize
who	WP	who
gets	VVZ	get
that	DT	that
Aid	NN	aid
how	WRB	how
do	VVP	do
you	PP	you
distribute	VV	distribute
it	PP	it
how	WRB	how
do	VVP	do
you	PP	you
make	VV	make
that	DT	that
decision	NN	decision
well	RB	well
for	IN	for
us	PP	us
right	RB	right
now	RB	now
the	DT	the
priority	NN	priority
is	VBZ	be
uh	UH	uh
medical	JJ	medical
uh	UH	uh
supporting	VVG	support
hospitals	NNS	hospital
and	CC	and
uh	UH	uh
because	IN	because
what	WP	what
we	PP	we
have	VHP	have
seen	VVN	see
after	IN	after
we	PP	we
have	VHP	have
visited	VVN	visit
hospitals	NNS	hospital
around	IN	around
Gaza	NP	Gaza
in	IN	in
different	JJ	different
areas	NNS	area
uh	UH	uh
was	VBD	be
horrifying	VVG	horrify
we	PP	we
have	VHP	have
seen	VVN	see
medical	JJ	medical
professionals	NNS	professional
who	WP	who
have	VHP	have
now	RB	now
been	VBN	be
working	VVG	work
for	IN	for
weeks	NNS	week
in	IN	in
a	DT	a
row	NN	row
without	IN	without
any	DT	any
PS	NP	PS
uh	UH	uh
mer	NNS	mer
many	JJ	many
of	IN	of
them	PP	them
they're	NN	they're
also	RB	also
in	IN	in
very	RB	very
distressed	JJ	distressed
psychological	JJ	psychological
State	NN	state
because	IN	because
they	PP	they
don't	VVD	don't
know	VV	know
uh	UH	uh
if	IN	if
their	PP$	their
own	JJ	own
family	NN	family
members	NNS	member
are	VBP	be
safe	JJ	safe
and	CC	and
sometimes	RB	sometimes
they	PP	they
find	VVP	find
their	PP$	their
own	JJ	own
family	NN	family
members	NNS	member
among	IN	among
the	DT	the
victims	NNS	victim
that	IN/that	that
they	PP	they
have	VHP	have
to	TO	to
treat	VV	treat
uh	UH	uh
the	DT	the
people	NNS	people
are	VBP	be
Sheltering	VVG	shelter
in	IN	in
play	NN	play
in	IN	in
place	NN	place
also	RB	also
in	IN	in
the	DT	the
hospitals	NNS	hospital
looking	VVG	look
for	IN	for
safety	NN	safety
so	IN	so
supporting	VVG	support
hospitals	NNS	hospital
amid	IN	amid
this	DT	this
massive	JJ	massive
humanitarian	JJ	humanitarian
crisis	NN	crisis
is	VBZ	be
the	DT	the
number	NN	number
one	CD	one
priority	NN	priority
so	IN	so
we	PP	we
managed	VVD	manage
to	TO	to
send	VV	send
our	PP$	our
Surgical	JJ	surgical
team	NN	team
and	CC	and
they	PP	they
started	VVD	start
working	VVG	work
and	CC	and
uh	UH	uh
we	PP	we
brought	VVD	bring
some	DT	some
surgical	JJ	surgical
supplies	NNS	supply
but	CC	but
we	PP	we
need	VVP	need
more	JJR	more
supplies	NNS	supply
and	CC	and
yes	RB	yes
prioritizing	VVG	prioritizing
uh	UH	uh
in	IN	in
a	DT	a
situation	NN	situation
when	WRB	when
needs	NNS	need
are	VBP	be
so	RB	so
staggeringly	RB	staggeringly
high	JJ	high
and	CC	and
keep	VV	keep
Rising	VVG	rise
it's	NNS	it's
it's	NNS	it's
a	DT	a
very	RB	very
difficult	JJ	difficult
uh	UH	uh
task	NN	task
I	PP	I
agree	VVP	agree
with	IN	with
you	PP	you
Alona	NP	Alona
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
taking	VVG	take
time	NN	time
to	TO	to
talk	VV	talk
with	IN	with
us	PP	us
today	NN	today
that	WDT	that
was	VBD	be
Alona	NP	Alona
sienko	NP	Sienko
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Red	NP	Red
Cross	NP	Cross
in	IN	in
Jerusalem	NP	Jerusalem
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
