<video_id>dTRVE4lV_sc</video_id>	JJ	<video_id>dTRVE4lV_sc</video_id>
four	CD	four
days	NNS	day
Democrats	NNS	democrat
have	VHP	have
been	VBN	be
trying	VVG	try
to	TO	to
send	VV	send
out	RP	out
a	DT	a
message	NN	message
of	IN	of
unity	NN	unity
they've	NN	they've
been	VBN	be
trying	VVG	try
to	TO	to
show	VV	show
that	IN/that	that
there	EX	there
is	VBZ	be
incredible	JJ	incredible
support	NN	support
for	IN	for
kamla	NP	Kamla
Harris	NP	Harris
how	WRB	how
dangerous	JJ	dangerous
could	MD	could
this	DT	this
descent	NN	descent
in	IN	in
in	IN	in
the	DT	the
party	NN	party
the	DT	the
issue	NN	issue
of	IN	of
Israel	NP	Israel
how	WRB	how
dangerous	JJ	dangerous
could	MD	could
it	PP	it
be	VB	be
in	IN	in
the	DT	the
coming	VVG	come
months	NNS	month
of	IN	of
this	DT	this
campaign	NN	campaign
well	RB	well
the	DT	the
Israel	NP	Israel
Gaza	NP	Gaza
war	NN	war
is	VBZ	be
a	DT	a
big	JJ	big
issue	NN	issue
it's	NNS	it's
it's	NNS	it's
a	DT	a
foreign	JJ	foreign
policy	NN	policy
issue	NN	issue
yes	NN	yes
and	CC	and
this	DT	this
convention	NN	convention
here	RB	here
is	VBZ	be
focusing	VVG	focus
on	IN	on
domestic	JJ	domestic
issues	NNS	issue
predom	NN	predom
predominantly	RB	predominantly
but	CC	but
it	PP	it
is	VBZ	be
a	DT	a
problem	NN	problem
for	IN	for
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
who	WP	who
is	VBZ	be
working	VVG	work
at	IN	at
that	WDT	that
is	VBZ	be
working	VVG	work
on	IN	on
on	IN	on
a	DT	a
ceasefire	NN	ceasefire
it	PP	it
is	VBZ	be
therefore	RB	therefore
a	DT	a
problem	NN	problem
for	IN	for
Cala	NP	Cala
Harris	NP	Harris
it	PP	it
is	VBZ	be
a	DT	a
problem	NN	problem
because	IN	because
those	DT	those
people	NNS	people
here	RB	here
even	RB	even
if	IN	if
it's	NNS	it's
just	RB	just
a	DT	a
few	JJ	few
thousand	CD	thousand
represent	VVP	represent
a	DT	a
much	RB	much
larger	JJR	large
group	NN	group
of	IN	of
people	NNS	people
who	WP	who
are	VBP	be
not	RB	not
inclined	VVN	incline
to	TO	to
vote	VV	vote
for	IN	for
Joe	NP	Joe
Biden	NP	Biden
then	RB	then
and	CC	and
Camala	NP	Camala
Harris	NP	Harris
now	RB	now
why	WRB	why
because	RB	because
they	PP	they
think	VVP	think
and	CC	and
they	PP	they
say	VV	say
uh	UH	uh
the	DT	the
Harris	NP	Harris
campaign	NN	campaign
is	VBZ	be
not	RB	not
taking	VVG	take
them	PP	them
serious	JJ	serious
at	IN	at
all	DT	all
and	CC	and
doesn't	NN	doesn't
hear	VVP	hear
them	PP	them
so	RB	so
CA	MD	ca
Harris	NP	Harris
and	CC	and
the	DT	the
campaign	NN	campaign
has	VHZ	have
to	TO	to
prove	VV	prove
that	DT	that
they're	NN	they're
actually	RB	actually
hurt	VVN	hurt
number	NN	number
one	CD	one
number	NN	number
two	CD	two
the	DT	the
problem	NN	problem
is	VBZ	be
that	IN/that	that
as	RB	as
long	RB	long
as	IN	as
substantially	RB	substantially
nothing	NN	nothing
happens	VVZ	happen
in	IN	in
the	DT	the
view	NN	view
of	IN	of
those	DT	those
people	NNS	people
they	PP	they
will	MD	will
not	RB	not
make	VV	make
their	PP$	their
check	NN	check
mark	NN	mark
on	IN	on
the	DT	the
ballot	NN	ballot
pole	NN	pole
for	IN	for
Camala	NP	Camala
Harris	NP	Harris
and	CC	and
that	WDT	that
can	MD	can
be	VB	be
a	DT	a
problem	NN	problem
because	IN	because
everybody	NN	everybody
every	DT	every
expert	NN	expert
every	DT	every
pollster	NN	pollster
tells	VVZ	tell
you	PP	you
it's	NNS	it's
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
nailbiter	NN	nailbiter
at	IN	at
the	DT	the
polls	NNS	poll
in	IN	in
November	NP	November
it's	NNS	it's
about	IN	about
a	DT	a
few	JJ	few
th000	NN	th000
maybe	RB	maybe
100,000	CD	@card@
votes	NNS	vote
maybe	RB	maybe
less	RBR	less
even	RB	even
who	WP	who
can	MD	can
decide	VV	decide
which	WDT	which
can	MD	can
decide	VV	decide
this	DT	this
race	NN	race
those	DT	those
people	NNS	people
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
critical	JJ	critical
for	IN	for
that	DT	that
Stefan	NP	Stefan
Simons	NP	Simons
covering	VVG	cover
those	DT	those
protests	NNS	protest
outside	IN	outside
the	DT	the
Democratic	JJ	Democratic
National	NP	National
Convention	NP	Convention
in	IN	in
Chicago	NP	Chicago
thank	VVP	thank
you	PP	you
inform	VV	inform
</doc>	NN	</doc>
