<video_id>2qHNnWQHahQ</video_id>	NP	<video_id>2qHNnWQHahQ</video_id>
is	VBZ	be
because	IN	because
the	DT	the
US	NP	US
is	VBZ	be
worried	VVN	worry
that	IN/that	that
the	DT	the
ongoing	JJ	ongoing
negotiations	NNS	negotiation
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
that	WDT	that
would	MD	would
uh	UH	uh
be	VB	be
uh	UH	uh
linked	VVN	link
to	TO	to
the	DT	the
release	NN	release
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
they're	NP	they're
worried	VVD	worry
that	IN/that	that
that	WDT	that
would	MD	would
fall	VV	fall
apart	RP	apart
uh	UH	uh
if	IN	if
a	DT	a
resolution	NN	resolution
passed	VVD	pass
that	IN/that	that
called	VVN	call
for	IN	for
an	DT	an
immediate	JJ	immediate
uh	UH	uh
ceasefire	NN	ceasefire
now	RB	now
those	DT	those
talks	NNS	talk
have	VHP	have
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
a	DT	a
couple	NN	couple
of	IN	of
weeks	NNS	week
led	VVN	lead
by	IN	by
the	DT	the
US	NP	US
and	CC	and
the	DT	the
United	NP	United
Arab	NP	Arab
Emirates	NPS	Emirates
and	CC	and
they	PP	they
have	VHP	have
basically	RB	basically
Fallen	NP	Fallen
apart	RB	apart
after	IN	after
Israel	NP	Israel
withdrew	VVD	withdraw
saying	VVG	say
that	DT	that
uh	UH	uh
the	DT	the
Hamas	JJ	Hamas
demands	NNS	demand
were	VBD	be
delusional	JJ	delusional
so	IN	so
the	DT	the
US	NP	US
really	RB	really
wants	VVZ	want
to	TO	to
keep	VV	keep
up	RP	up
pressure	NN	pressure
on	IN	on
both	DT	both
sides	NNS	side
to	TO	to
get	VV	get
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
um	NN	um
what's	NNS	what's
interesting	JJ	interesting
here	RB	here
though	RB	though
is	VBZ	be
that	IN/that	that
the	DT	the
wording	NN	wording
in	IN	in
the	DT	the
uh	UH	uh
this	DT	this
UN	NP	UN
resolution	NN	resolution
which	WDT	which
could	MD	could
be	VB	be
proposed	VVN	propose
uh	UH	uh
after	IN	after
the	DT	the
Algerian	JJ	Algerian
resolution	NN	resolution
is	VBZ	be
vetoed	VVN	veto
uh	UH	uh
the	DT	the
wording	NN	wording
there	EX	there
is	VBZ	be
much	RB	much
stronger	JJR	strong
than	IN	than
we've	NN	we've
seen	VVN	see
in	IN	in
past	NN	past
us	PP	us
resolutions	NNS	resolution
which	WDT	which
has	VHZ	have
often	RB	often
been	VBN	be
very	RB	very
watered	VVN	water
down	RP	down
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
uh	UH	uh
resolution	NN	resolution
the	DT	the
US	NP	US
proposed	VVN	propose
that	WDT	that
is	VBZ	be
actually	RB	actually
using	VVG	use
the	DT	the
word	NN	word
ceasefire	NN	ceasefire
so	IN	so
that	WDT	that
shows	VVZ	show
you	PP	you
how	WRB	how
far	RB	far
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
has	VHZ	have
come	VVN	come
in	IN	in
being	VBG	be
critical	JJ	critical
of	IN	of
Israel's	NP	Israel's
war	NN	war
on	IN	on
Gaza	NP	Gaza
and	CC	and
Amy	NP	Amy
and	CC	and
the	DT	the
uan	NN	uan
the	DT	the
US	NP	US
has	VHZ	have
been	VBN	be
very	RB	very
vocal	JJ	vocal
in	IN	in
its	PP$	its
criticism	NN	criticism
of	IN	of
Israel's	NP	Israel's
planned	VVD	plan
operations	NNS	operation
in	IN	in
Rafa	NP	Rafa
has	VHZ	have
Israel	NP	Israel
taken	VVN	take
on	IN	on
on	IN	on
board	NN	board
that	IN/that	that
criticism	NN	criticism
publicly	RB	publicly
uh	UH	uh
they've	NNS	they've
been	VBN	be
very	RB	very
defiant	JJ	defiant
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
sign	NN	sign
that	IN/that	that
they	PP	they
actually	RB	actually
uh	UH	uh
questioning	VVG	question
whether	IN	whether
or	CC	or
not	RB	not
they	PP	they
should	MD	should
go	VV	go
ahead	RB	ahead
with	IN	with
this	DT	this
ground	NN	ground
assault	NN	assault
in	IN	in
Rafa	NP	Rafa
uh	UH	uh
the	DT	the
delay	NN	delay
might	NN	might
after	IN	after
the	DT	the
announcement	NN	announcement
of	IN	of
the	DT	the
ground	NN	ground
assault	NN	assault
and	CC	and
rafle	NN	rafle
there's	RB	there's
been	VBN	be
quite	RB	quite
a	DT	a
bit	NN	bit
of	IN	of
delay	NN	delay
and	CC	and
no	DT	no
uh	UH	uh
time	NN	time
frame	NN	frame
given	VVN	give
by	IN	by
Israeli	JJ	Israeli
military	JJ	military
yet	CC	yet
that	WDT	that
might	MD	might
suggest	VV	suggest
that	IN/that	that
they	PP	they
are	VBP	be
taking	VVG	take
into	IN	into
account	NN	account
some	DT	some
things	NNS	thing
that	IN/that	that
their	PP$	their
closest	JJS	close
allies	NNS	ally
are	VBP	be
saying	VVG	say
about	RB	about
how	WRB	how
this	DT	this
would	MD	would
be	VB	be
a	DT	a
disaster	NN	disaster
for	IN	for
security	NN	security
in	IN	in
the	DT	the
region	NN	region
and	CC	and
a	DT	a
humanitarian	JJ	humanitarian
disaster	NN	disaster
but	CC	but
they	PP	they
still	RB	still
haven't	VVD	haven't
put	VV	put
forward	RB	forward
any	RB	any
plan	VV	plan
uh	UH	uh
to	TO	to
save	VV	save
the	DT	the
lives	NNS	life
of	IN	of
civilians	NNS	civilian
there's	RB	there's
1.3	CD	@card@
million	CD	million
and	CC	and
gazin	JJ	gazin
uh	UH	uh
who	WP	who
are	VBP	be
up	RB	up
against	IN	against
the	DT	the
Egyptian	JJ	Egyptian
border	NN	border
there	RB	there
in	IN	in
Rafa	NP	Rafa
it's	NNS	it's
the	DT	the
last	JJ	last
uh	UH	uh
City	NP	City
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
that	WDT	that
still	RB	still
has	VHZ	have
functioning	NN	functioning
infrastructure	NN	infrastructure
so	IN	so
it's	NNS	it's
very	RB	very
unclear	JJ	unclear
where	WRB	where
people	NNS	people
are	VBP	be
supposed	VVN	suppose
to	TO	to
go	VV	go
but	CC	but
Israel	NP	Israel
has	VHZ	have
said	VVN	say
that	IN/that	that
if	IN	if
uh	UH	uh
they	PP	they
don't	VVD	don't
see	VV	see
the	DT	the
release	NN	release
of	IN	of
all	DT	all
Israeli	JJ	Israeli
hostages	NNS	hostage
by	IN	by
March	NP	March
10th	JJ	10th
that's	NNS	that's
the	DT	the
beginning	NN	beginning
of	IN	of
Ramadan	NN	Ramadan
then	RB	then
they	PP	they
will	MD	will
go	VV	go
ahead	RB	ahead
with	IN	with
this	DT	this
ground	NN	ground
assault	NN	assault
talk	NN	talk
with	IN	with
us	PP	us
about	IN	about
the	DT	the
pressure	NN	pressure
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
government	NN	government
is	VBZ	be
under	IN	under
to	TO	to
ensure	VV	ensure
the	DT	the
safe	JJ	safe
release	NN	release
of	IN	of
the	DT	the
remaining	VVG	remain
hostages	NNS	hostage
there	RB	there
are	VBP	be
many	JJ	many
families	NNS	family
in	IN	in
Israel	NP	Israel
who	WP	who
go	VVP	go
out	RP	out
once	IN	once
a	DT	a
week	NN	week
at	IN	at
least	JJS	least
uh	UH	uh
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
Jerusalem	NP	Jerusalem
and	CC	and
other	JJ	other
places	NNS	place
demanding	VVG	demand
the	DT	the
uh	UH	uh
that	IN/that	that
the	DT	the
government	NN	government
the	DT	the
Netanyahu	NP	Netanyahu
government	NN	government
does	VVZ	do
a	DT	a
lot	NN	lot
more	RBR	more
to	TO	to
release	VV	release
these	DT	these
hostages	NNS	hostage
don't	NN	don't
forget	VVP	forget
that	IN/that	that
a	DT	a
hostage	NN	hostage
deal	NN	deal
basically	RB	basically
is	VBZ	be
the	DT	the
only	JJ	only
way	NN	way
to	TO	to
release	VV	release
Mass	NP	Mass
hostages	NNS	hostage
uh	UH	uh
through	IN	through
nonviolent	JJ	nonviolent
means	NNS	mean
essentially	RB	essentially
the	DT	the
last	JJ	last
deal	NN	deal
they	PP	they
saw	VVD	see
about	IN	about
a	DT	a
100	CD	@card@
hostages	NNS	hostage
released	VVN	release
by	IN	by
Hamas	JJ	Hamas
coming	VVG	come
home	NN	home
to	TO	to
their	PP$	their
families	NNS	family
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
families	NNS	family
that	WDT	that
still	RB	still
have	VHP	have
people	NNS	people
uh	UH	uh
who	WP	who
are	VBP	be
being	VBG	be
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
in	IN	in
Gaza	NP	Gaza
they	PP	they
want	VVP	want
to	TO	to
see	VV	see
their	PP$	their
relatives	NNS	relative
freed	VVD	free
Israel	NP	Israel
has	VHZ	have
basically	RB	basically
uh	UH	uh
stalled	VVN	stall
on	IN	on
any	DT	any
talks	NNS	talk
to	TO	to
release	VV	release
hostages	NNS	hostage
um	NNS	um
and	CC	and
have	VHP	have
asked	VVN	ask
they	PP	they
they	PP	they
basically	RB	basically
want	VVP	want
to	TO	to
use	VV	use
military	JJ	military
means	NNS	mean
and	CC	and
that	WDT	that
angers	VVZ	anger
a	DT	a
lot	NN	lot
of	IN	of
families	NNS	family
in	IN	in
Israel	NP	Israel
Aman	NP	Aman
essf	NN	essf
in	IN	in
Jerusalem	NP	Jerusalem
thank	VVP	thank
</doc>	NN	</doc>
