kimim	NN	kimim
Palestinian	JJ	Palestinian
people	NNS	people
it	PP	it
'	POS	'
s	NN	S
not	RB	not
against	IN	against
civilians	NNS	civilian
it	PP	it
'	POS	'
s	NN	S
not	RB	not
against	IN	against
H	NP	H
men	NNS	man
women	NNS	woman
that	WDT	that
are	VBP	be
not	RB	not
involved	VVN	involve
it	PP	it
'	POS	'
s	NN	S
only	RB	only
against	IN	against
Hamas	JJ	Hamas
activities	NNS	activity
and	CC	and
terrorists	NNS	terrorist
so	IN	so
we	PP	we
do	VVP	do
all	DT	all
in	IN	in
our	PP$	our
power	NN	power
to	TO	to
avoid	VV	avoid
to	TO	to
avoid	VV	avoid
harming	VVG	harm
un	JJ	un
involved	JJ	involved
people	NNS	people
and	CC	and
civilian	JJ	civilian
nevertheless	RB	nevertheless
the	DT	the
European	JJ	European
union	NN	union
says	VVZ	say
there	EX	there
is	VBZ	be
a	DT	a
already	RB	already
a	DT	a
humanitarian	JJ	humanitarian
crisis	NN	crisis
in	IN	in
Gaza	NP	Gaza
because	IN	because
the	DT	the
two	CD	two
million	CD	million
people	NNS	people
are	VBP	be
deprived	VVN	deprive
of	IN	of
water	NN	water
food	NN	food
and	CC	and
so	RB	so
on	IN	on
and	CC	and
the	DT	the
you	PP	you
will	MD	will
now	RB	now
send	VV	send
if	IN	if
it	PP	it
'	POS	'
s	JJ	s
possible	JJ	possible
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
GA	NP	Ga
strip	VV	strip
so	RB	so
what	WP	what
can	MD	can
Israel	NP	Israel
do	VVP	do
to	TO	to
avoid	VV	avoid
that	IN/that	that
we	PP	we
are	VBP	be
not	RB	not
I	NP	I
'	POS	'
m	NN	m
not	RB	not
aware	JJ	aware
of	IN	of
any	DT	any
humanitarian	JJ	humanitarian
crisis	NN	crisis
we	PP	we
are	VBP	be
monitoring	VVG	monitor
the	DT	the
situation	NN	situation
there	EX	there
is	VBZ	be
no	DT	no
humanitarian	JJ	humanitarian
crisis	NN	crisis
the	DT	the
movement	NN	movement
of	IN	of
people	NNS	people
is	VBZ	be
because	IN	because
we	PP	we
do	VVP	do
not	RB	not
want	VV	want
to	TO	to
harm	VV	harm
any	DT	any
uninvolved	JJ	uninvolved
civilian	JJ	civilian
this	NN	this
why	WRB	why
Israel	NP	Israel
our	PP$	our
uh	UH	uh
Army	NN	army
and	CC	and
defense	NN	defense
establishment	NN	establishment
call	VVP	call
the	DT	the
population	NN	population
to	TO	to
move	VV	move
from	IN	from
areas	NNS	area
that	WDT	that
make	VVP	make
some	RB	some
there	EX	there
might	MD	might
be	VB	be
harms	VVZ	harm
so	RB	so
again	RB	again
the	DT	the
purpose	NN	purpose
of	IN	of
this	DT	this
warning	NN	warning
that	IN/that	that
we	PP	we
will	MD	will
not	RB	not
harm	VV	harm
any	DT	any
of	IN	of
people	NNS	people
that	WDT	that
are	VBP	be
not	RB	not
involved	VVN	involve
un	NNS	un
unfortunately	RB	unfortunately
the	DT	the
Hamas	NNS	Hamas
use	VVP	use
those	DT	those
people	NNS	people
as	IN	as
a	DT	a
human	JJ	human
Shields	NP	Shields
they	PP	they
do	VVP	do
not	RB	not
have	VH	have
they	PP	they
do	VVP	do
not	RB	not
care	VV	care
for	IN	for
the	DT	the
population	NN	population
like	IN	like
the	DT	the
incident	NN	incident
that	IN/that	that
we	PP	we
saw	VVD	see
yesterday	NN	yesterday
at	IN	at
the	DT	the
hospital	NN	hospital
where	WRB	where
Hamas	JJ	Hamas
fir	NN	fir
a	DT	a
rocket	NN	rocket
that	WDT	that
hit	VVD	hit
or	CC	or
Islamic	NP	Islamic
Jihad	NP	Jihad
hit	VVD	hit
the	DT	the
hospital	NN	hospital
they	PP	they
they	PP	they
fire	VVP	fire
it	PP	it
from	IN	from
a	DT	a
PO	NN	po
area	NN	area
where	WRB	where
civilian	NN	civilian
live	VV	live
in	RP	in
and	CC	and
it	PP	it
they	PP	they
hid	VVD	hide
their	PP$	their
own	JJ	own
hospital	NN	hospital
and	CC	and
they	PP	they
cause	VVP	cause
the	DT	the
deaths	NNS	death
of	IN	of
hundreds	NNS	hundred
of	IN	of
people	NNS	people
this	DT	this
is	VBZ	be
the	DT	the
way	NN	way
that	IN/that	that
they	PP	they
act	VVP	act
and	CC	and
they	PP	they
don	NN	don
'	POS	'
t	NN	t
care	NN	care
for	IN	for
them	PP	them
yesterday	RB	yesterday
was	VBD	be
a	DT	a
success	NN	success
ful	JJ	ful
day	NN	day
because	IN	because
they	PP	they
succeed	VVP	succeed
to	TO	to
sell	VV	sell
the	DT	the
story	NN	story
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
harming	VVG	harm
people	NNS	people
and	CC	and
put	VV	put
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
but	CC	but
we	PP	we
have	VHP	have
a	DT	a
full	JJ	full
evidence	NN	evidence
that	IN/that	that
it	PP	it
was	VBD	be
done	VVN	do
by	IN	by
Hamas	NP	Hamas
and	CC	and
Islamic	NP	Islamic
Jihad	NP	Jihad
well	RB	well
Hamas	NP	Hamas
is	VBZ	be
saying	VVG	say
that	IN/that	that
Israel	NP	Israel
attacked	VVD	attack
the	DT	the
hospital	NN	hospital
in	IN	in
the	DT	the
European	JJ	European
Union	NN	union
for	IN	for
example	NN	example
the	DT	the
head	NN	head
of	IN	of
the	DT	the
commission	NN	commission
USA	NP	USA
ferine	JJ	ferine
also	RB	also
said	VVD	say
the	DT	the
facts	NNS	fact
have	VHP	have
to	TO	to
be	VB	be
established	VVN	establish
I	PP	I
mean	VVP	mean
of	IN	of
course	NN	course
you	PP	you
'	''	'
re	IN	re
the	DT	the
ambassador	NN	ambassador
of	IN	of
Israel	NP	Israel
you	PP	you
tell	VVP	tell
your	PP$	your
story	NN	story
Hamas	NNS	Hamas
tell	VVP	tell
the	DT	the
other	JJ	other
story	NN	story
so	IN	so
what	WP	what
shall	MD	shall
the	DT	the
public	NN	public
do	VVP	do
there	EX	there
is	VBZ	be
only	RB	only
one	CD	one
story	NN	story
fact	NN	fact
and	CC	and
we	PP	we
have	VHP	have
a	DT	a
clear	JJ	clear
record	NN	record
of	IN	of
Hamas	JJ	Hamas
terrorist	JJ	terrorist
activist	NN	activist
and	CC	and
we	PP	we
have	VHP	have
a	DT	a
clear	JJ	clear
footage	NN	footage
video	NN	video
of	IN	of
this	DT	this
rocket	NN	rocket
so	IN	so
there	EX	there
is	VBZ	be
no	DT	no
question	NN	question
mark	NN	mark
about	IN	about
that	WDT	that
there	EX	there
is	VBZ	be
no	DT	no
doubt	NN	doubt
about	RB	about
that	IN/that	that
and	CC	and
it	PP	it
'	POS	'
s	NN	S
about	IN	about
time	NN	time
I	NP	I
'	POS	'
m	NN	m
not	RB	not
criticizing	VVG	criticize
EU	NP	EU
I	NP	I
'	POS	'
m	NN	m
just	RB	just
saying	VVG	say
that	IN/that	that
I	PP	I
think	VVP	think
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
about	IN	about
time	NN	time
to	TO	to
listen	VV	listen
I	PP	I
'	POS	'
m	NN	m
calling	VVG	call
Europe	NP	Europe
and	CC	and
and	NP	and
and	CC	and
everybody	NN	everybody
watching	VVG	watch
us	PP	us
it	PP	it
'	POS	'
s	NN	S
about	IN	about
time	NN	time
to	TO	to
believe	VV	believe
and	CC	and
to	TO	to
strust	VV	strust
Israel	NP	Israel
official	JJ	official
statement	NN	statement
and	CC	and
not	RB	not
Terror	NN	terror
organization	NN	organization
statement	NN	statement
but	CC	but
we	PP	we
have	VHP	have
the	DT	the
proof	NN	proof
it	PP	it
'	POS	'
s	NN	S
there	EX	there
is	VBZ	be
no	DT	no
question	NN	question
mark	NN	mark
on	IN	on
that	WDT	that
the	DT	the
EU	NP	EU
says	VVZ	say
also	RB	also
that	IN/that	that
Israel	NP	Israel
of	IN	of
course	NN	course
has	VHZ	have
the	DT	the
right	NN	right
to	TO	to
self	JJ	self
-	NN	-
defense	NN	defense
and	CC	and
that	IN/that	that
their	PP$	their
ground	NN	ground
offensive	NN	offensive
will	MD	will
come	VV	come
in	IN	in
the	DT	the
next	JJ	next
days	NNS	day
maybe	RB	maybe
are	VBP	be
you	PP	you
not	RB	not
afraid	JJ	afraid
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
more	JJR	more
pictures	NNS	picture
of	IN	of
maybe	RB	maybe
killed	VVN	kill
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
that	WDT	that
then	RB	then
will	MD	will
they	PP	they
temper	VV	temper
the	DT	the
the	DT	the
image	NN	image
and	CC	and
the	DT	the
cause	NN	cause
of	IN	of
Israel	NP	Israel
around	IN	around
the	DT	the
world	NN	world
we	PP	we
are	VBP	be
not	RB	not
now	RB	now
looking	VVG	look
into	IN	into
image	NN	image
we	PP	we
are	VBP	be
looking	VVG	look
into	IN	into
what	WP	what
'	POS	'
s	NN	S
happened	VVD	happen
and	CC	and
how	WRB	how
to	TO	to
solve	VV	solve
the	DT	the
problem	NN	problem
and	CC	and
as	RB	as
long	JJ	long
as	IN	as
Hamas	NP	Hamas
is	VBZ	be
there	RB	there
the	DT	the
problem	NN	problem
will	MD	will
stay	VV	stay
forever	RB	forever
we	PP	we
are	VBP	be
fighting	VVG	fight
the	DT	the
war	NN	war
of	IN	of
Israel	NP	Israel
first	JJ	first
and	CC	and
foremost	JJ	foremost
but	CC	but
this	DT	this
this	NN	this
is	VBZ	be
also	RB	also
the	DT	the
fight	NN	fight
for	IN	for
the	DT	the
Palestinian	NN	Palestinian
because	IN	because
as	RB	as
as	RB	as
long	JJ	long
as	IN	as
Hamas	NP	Hamas
is	VBZ	be
there	RB	there
they	PP	they
will	MD	will
not	RB	not
have	VH	have
any	DT	any
future	NN	future
so	IN	so
we	PP	we
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VVG	go
into	IN	into
the	DT	the
operational	JJ	operational
detail	NN	detail
of	IN	of
what	WP	what
we	PP	we
plan	VVP	plan
and	CC	and
what	WP	what
we	PP	we
are	VBP	be
not	RB	not
planning	VVG	plan
but	CC	but
Europe	NP	Europe
and	CC	and
the	DT	the
world	NN	world
need	VVP	need
to	TO	to
understand	VV	understand
what	WP	what
is	VBZ	be
this	DT	this
fight	NN	fight
about	RB	about
and	CC	and
I	PP	I
want	VVP	want
to	TO	to
tell	VV	tell
you	PP	you
another	DT	another
thing	NN	thing
is	VBZ	be
that	IN/that	that
we	PP	we
are	VBP	be
very	JJ	very
uh	UH	uh
we	PP	we
appreciate	VVP	appreciate
very	RB	very
very	RB	very
much	RB	much
the	DT	the
support	NN	support
that	IN/that	that
we	PP	we
see	VVP	see
from	IN	from
the	DT	the
you	PP	you
we	PP	we
appreciate	VVP	appreciate
very	RB	very
much	JJ	much
that	IN/that	that
the	DT	the
first	JJ	first
time	NN	time
maybe	RB	maybe
in	IN	in
our	PP$	our
history	NN	history
that	IN/that	that
the	DT	the
first	JJ	first
leader	NN	leader
who	WP	who
come	VVP	come
to	TO	to
show	VV	show
solidarity	NN	solidarity
was	VBD	be
the	DT	the
president	NN	president
of	IN	of
the	DT	the
commission	NN	commission
Ula	NP	Ula
fond	JJ	fond
line	NN	line
and	CC	and
president	NN	president
of	IN	of
the	DT	the
parliament	NN	parliament
this	DT	this
is	VBZ	be
something	NN	something
that	WDT	that
never	RB	never
happened	VVD	happen
before	RB	before
and	CC	and
it	PP	it
show	VVP	show
how	WRB	how
much	JJ	much
the	DT	the
EU	NP	EU
today	NN	today
have	VHP	have
a	DT	a
strong	JJ	strong
leadership	NN	leadership
that	WDT	that
saw	VVD	see
support	NN	support
and	CC	and
solidarity	NN	solidarity
without	IN	without
any	DT	any
Nuance	NN	nuance
you	PP	you
talked	VVD	talk
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
parliamentarians	NNS	parliamentarian
here	RB	here
in	IN	in
Strasburg	NP	Strasburg
you	PP	you
even	RB	even
went	VVD	go
to	TO	to
some	DT	some
of	IN	of
the	DT	the
groups	NNS	group
and	CC	and
showed	VVD	show
the	DT	the
pictures	NNS	picture
of	IN	of
the	DT	the
people	NNS	people
that	WDT	that
were	VBD	be
slau	NP	slau
Ed	NP	Ed
by	IN	by
Hamas	NP	Hamas
in	IN	in
Israel	NP	Israel
um	NNS	um
what	WP	what
was	VBD	be
your	PP$	your
reaction	NN	reaction
do	VVP	do
you	PP	you
think	VVP	think
this	DT	this
will	MD	will
the	DT	the
support	NN	support
might	MD	might
crumble	VV	crumble
if	IN	if
the	DT	the
operation	NN	operation
drags	VVZ	drag
on	IN	on
for	IN	for
very	RB	very
long	RB	long
we	PP	we
call	VVP	call
on	IN	on
immediate	JJ	immediate
release	NN	release
of	IN	of
those	DT	those
hostage	NN	hostage
among	IN	among
those	DT	those
hostage	NN	hostage
more	JJR	more
than	IN	than
200	CD	@card@
people	NNS	people
most	RBS	most
of	IN	of
them	PP	them
are	VBP	be
civilian	JJ	civilian
babies	NNS	baby
wom	NN	wom
old	JJ	old
Holocaust	NN	holocaust
survival	NN	survival
all	RB	all
in	IN	in
all	PDT	all
the	DT	the
Hamas	NN	Hamas
this	DT	this
brutal	JJ	brutal
Terror	NN	terror
organization	NN	organization
Isis	NP	Isis
type	NN	type
did	VVD	do
not	RB	not
spare	VV	spare
the	DT	the
life	NN	life
of	IN	of
anybody	NN	anybody
so	IN	so
we	PP	we
are	VBP	be
calling	VVG	call
for	IN	for
immediate	JJ	immediate
release	NN	release
immediate	JJ	immediate
release	NN	release
some	DT	some
of	IN	of
them	PP	them
among	IN	among
them	PP	them
are	VBP	be
European	JJ	European
citizens	NNS	citizen
many	JJ	many
of	IN	of
them	PP	them
so	IN	so
we	PP	we
want	VVP	want
to	TO	to
show	VV	show
the	DT	the
face	NN	face
of	IN	of
those	DT	those
people	NNS	people
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
are	VBP	be
doing	VVG	do
there	EX	there
is	VBZ	be
a	DT	a
strong	JJ	strong
support	NN	support
and	CC	and
sympathy	NN	sympathy
here	RB	here
to	TO	to
this	DT	this
because	IN	because
we	PP	we
all	RB	all
agree	VVP	agree
this	DT	this
should	MD	should
not	RB	not
happen	VV	happen
this	DT	this
should	MD	should
not	RB	not
happen	VV	happen
civilian	JJ	civilian
should	MD	should
not	RB	not
be	VB	be
part	NN	part
of	IN	of
any	DT	any
any	DT	any
kind	NN	kind
of	IN	of
of	IN	of
this	DT	this
this	DT	this
conflict	NN	conflict
Mr	NN	Mr
Ambassador	NN	ambassador
can	MD	can
you	PP	you
give	VV	give
us	PP	us
a	DT	a
a	DT	a
sense	NN	sense
of	IN	of
um	NNS	um
the	DT	the
end	NN	end
game	NN	game
the	DT	the
aim	NN	aim
Israel	NP	Israel
wants	VVZ	want
to	TO	to
achieve	VV	achieve
after	IN	after
Hamas	NP	Hamas
has	VHZ	have
been	VBN	be
defeated	VVN	defeat
and	CC	and
is	VBZ	be
gone	VVN	go
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
what	WP	what
will	MD	will
happen	VV	happen
then	RB	then
and	CC	and
what	WP	what
what	WDT	what
role	NN	role
could	MD	could
the	DT	the
EU	NP	EU
play	NN	play
in	IN	in
that	DT	that
situation	NN	situation
let	VV	let
me	PP	me
start	VV	start
with	IN	with
the	DT	the
opposite	NN	opposite
if	IN	if
Hamas	NP	Hamas
will	MD	will
stay	VV	stay
in	IN	in
any	DT	any
and	CC	and
they	PP	they
'	POS	'
re	NN	re
not	RB	not
going	VVG	go
to	TO	to
stay	VV	stay
Gaza	NP	Gaza
will	MD	will
never	RB	never
be	VB	be
recovered	VVN	recover
from	IN	from
that	DT	that
as	RB	as
long	JJ	long
as	IN	as
Hamas	NP	Hamas
is	VBZ	be
there	RB	there
Gaza	NP	Gaza
will	MD	will
never	RB	never
recover	VV	recover
this	DT	this
why	WRB	why
I	PP	I
'	POS	'
m	NN	m
am	VBP	be
saying	VVG	say
that	IN/that	that
we	PP	we
fighting	VVG	fight
also	RB	also
for	IN	for
the	DT	the
Palestinian	NN	Palestinian
himself	PP	himself
the	DT	the
end	NN	end
game	NN	game
is	VBZ	be
to	TO	to
eliminate	VV	eliminate
Hamas	JJ	Hamas
his	PP$	his
infrastructure	NN	infrastructure
the	DT	the
people	NNS	people
who	WP	who
conduct	VVP	conduct
this	DT	this
ter	NN	ter
attack	VV	attack
it	PP	it
'	POS	'
s	JJ	s
leadership	NN	leadership
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
any	DT	any
intention	NN	intention
to	TO	to
stay	VV	stay
there	EX	there
we	PP	we
by	IN	by
the	DT	the
way	NN	way
20	CD	@card@
years	NNS	year
we	PP	we
almost	RB	almost
20	CD	@card@
years	NNS	year
we	PP	we
are	VBP	be
not	RB	not
in	IN	in
Gaza	NP	Gaza
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
a	DT	a
misconception	NN	misconception
about	IN	about
you	PP	you
know	VVP	know
Siege	NN	siege
or	CC	or
or	CC	or
or	CC	or
controlling	VVG	control
Gaza	NP	Gaza
Gaza	NP	Gaza
is	VBZ	be
controlled	VVN	control
by	IN	by
Kamas	NP	Kamas
for	IN	for
more	JJR	more
than	IN	than
20	CD	@card@
years	NNS	year
so	RB	so
we	PP	we
don	VV	don
'	''	'
t	NN	t
have	VHP	have
any	DT	any
intention	NN	intention
to	TO	to
go	VV	go
back	RB	back
to	TO	to
Gaza	NP	Gaza
the	DT	the
only	JJ	only
intention	NN	intention
that	IN/that	that
we	PP	we
have	VHP	have
right	RB	right
now	RB	now
and	CC	and
plan	NN	plan
and	CC	and
desire	NN	desire
and	CC	and
we	PP	we
will	MD	will
do	VV	do
it	PP	it
is	VBZ	be
to	TO	to
wipe	VV	wipe
Hamas	NP	Hamas
eliminate	VV	eliminate
their	PP$	their
capability	NN	capability
the	DT	the
people	NNS	people
who	WP	who
conduct	VVP	conduct
these	DT	these
murders	NNS	murder
and	CC	and
their	PP$	their
leadership	NN	leadership
that	IN/that	that
they	PP	they
will	MD	will
Hamas	VV	Hamas
will	MD	will
not	RB	not
have	VH	have
after	IN	after
this	DT	this
war	NN	war
any	DT	any
capability	NN	capability
to	TO	to
come	VV	come
back	RB	back
and	CC	and
control	VV	control
Gaza	NP	Gaza
for	IN	for
many	JJ	many
decades	NNS	decade
also	RB	also
the	DT	the
European	NP	European
Union	NP	Union
has	VHZ	have
paid	VVN	pay
Aid	NN	aid
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
and	NP	and
and	CC	and
also	RB	also
via	IN	via
Nos	NNS	no
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
to	TO	to
GA	NP	Ga
strip	NN	strip
should	MD	should
that	RB	that
continue	VV	continue
after	IN	after
the	DT	the
operation	NN	operation
we	PP	we
for	IN	for
years	NNS	year
we	PP	we
call	VVP	call
in	IN	in
the	DT	the
European	NP	European
Union	NP	Union
and	CC	and
other	JJ	other
International	NP	International
player	NN	player
to	TO	to
support	VV	support
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
and	CC	and
to	TO	to
support	VV	support
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
we	PP	we
are	VBP	be
not	RB	not
we	PP	we
are	VBP	be
not	RB	not
against	IN	against
the	DT	the
Palestinian	NN	Palestinian
we	PP	we
are	VBP	be
not	RB	not
against	IN	against
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
We	PP	we
call	VVP	call
we	PP	we
encourage	VV	encourage
we	PP	we
in	IN	in
the	DT	the
past	JJ	past
years	NNS	year
we	PP	we
encourage	VVP	encourage
the	DT	the
EU	NP	EU
and	CC	and
other	JJ	other
players	NNS	player
to	TO	to
support	VV	support
the	DT	the
Palestinian	NN	Palestinian
economically	RB	economically
and	CC	and
and	CC	and
in	IN	in
the	DT	the
last	JJ	last
year	NN	year
we	PP	we
saw	VVD	see
that	IN/that	that
the	DT	the
EU	NP	EU
was	VBD	be
the	DT	the
biggest	JJS	big
donor	NN	donor
of	IN	of
course	NN	course
we	PP	we
do	VVP	do
not	RB	not
have	VH	have
a	DT	a
problem	NN	problem
with	IN	with
that	DT	that
right	NN	right
now	RB	now
the	DT	the
US	NP	US
is	VBZ	be
uh	UH	uh
viewing	NN	viewing
reviewing	VVG	review
and	CC	and
we	PP	we
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
good	JJ	good
to	TO	to
look	VV	look
into	IN	into
where	WRB	where
this	DT	this
money	NN	money
goes	VVZ	go
and	CC	and
not	RB	not
goes	VVZ	go
but	CC	but
basically	RB	basically
we	PP	we
are	VBP	be
supporting	VVG	support
any	DT	any
assistant	NN	assistant
for	IN	for
the	DT	the
economic	JJ	economic
assistant	NN	assistant
for	IN	for
the	DT	the
Palestinian	NP	Palestinian
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
