<video_id>Bq-egJlwHlo</video_id>	JJ	<video_id>Bq-egJlwHlo</video_id>
bodies	NNS	body
in	IN	in
AAS	NNS	aa
grave	NN	grave
which	WDT	which
is	VBZ	be
located	VVN	locate
in	IN	in
the	DT	the
courtyard	NN	courtyard
of	IN	of
the	DT	the
alasa	NN	alasa
hospital	NN	hospital
and	CC	and
this	DT	this
goes	VVZ	go
back	VV	back
uh	UH	uh
they	PP	they
say	VV	say
uh	UH	uh
when	WRB	when
there	EX	there
has	VHZ	have
been	VBN	be
heavy	JJ	heavy
fighting	VVG	fight
a	DT	a
military	JJ	military
operation	NN	operation
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
in	IN	in
KH	NP	KH
Yunis	NP	Yunis
uh	UH	uh
in	IN	in
January	NP	January
February	NP	February
um	NNS	um
which	WDT	which
ended	VVD	end
sometime	RB	sometime
in	IN	in
early	JJ	early
April	NP	April
now	RB	now
um	JJ	um
hunas	NNS	hunas
is	VBZ	be
the	DT	the
second	JJ	second
largest	JJS	large
city	NN	city
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
there	RB	there
had	VHD	have
been	VBN	be
heavy	JJ	heavy
fighting	NN	fighting
going	VVG	go
on	IN	on
and	CC	and
from	IN	from
uh	UH	uh
eyewitnesses	NNS	eyewitness
at	IN	at
the	DT	the
time	NN	time
but	CC	but
also	RB	also
from	IN	from
medical	JJ	medical
uh	UH	uh
noos	NNS	noos
from	IN	from
the	DT	the
medic	NN	medic
medical	JJ	medical
staff	NN	staff
in	IN	in
the	DT	the
hospital	NN	hospital
uh	UH	uh
they	PP	they
were	VBD	be
talking	VVG	talk
at	IN	at
the	DT	the
time	NN	time
about	IN	about
heavy	JJ	heavy
fighting	NN	fighting
around	IN	around
the	DT	the
hospital	NN	hospital
first	RB	first
but	CC	but
also	RB	also
a	DT	a
siege	NN	siege
that	IN/that	that
it	PP	it
was	VBD	be
very	RB	very
difficult	JJ	difficult
for	IN	for
uh	UH	uh
Medical	NP	Medical
Teams	NNS	team
or	CC	or
for	IN	for
patients	NNS	patient
and	CC	and
injured	JJ	injured
people	NNS	people
to	TO	to
reach	VV	reach
the	DT	the
hospital	NN	hospital
and	CC	and
then	RB	then
with	IN	with
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
military	NN	military
entering	VVG	enter
also	RB	also
uh	UH	uh
the	DT	the
hospital	NN	hospital
uh	UH	uh
that	WDT	that
was	VBD	be
in	IN	in
February	NP	February
now	RB	now
with	IN	with
the	DT	the
Army	NN	army
withdrawing	VVG	withdraw
uh	UH	uh
we're	NN	we're
seeing	VVG	see
now	RB	now
um	VVZ	um
uh	UH	uh
these	DT	these
uh	UH	uh
uh	UH	uh
Graves	NP	Graves
being	JJ	being
uh	UH	uh
um	NNS	um
discovered	VVD	discover
Hamas	JJ	Hamas
authorities	NNS	authority
have	VHP	have
said	VVN	say
that	IN/that	that
some	DT	some
as	IN	as
you	PP	you
said	VVD	say
were	VBD	be
found	VVN	find
without	IN	without
cloth	NN	cloth
somewhere	RB	somewhere
killed	VVD	kill
there	RB	there
we	PP	we
heard	VVD	hear
at	IN	at
the	DT	the
time	NN	time
from	IN	from
many	JJ	many
arrests	NNS	arrest
being	VBG	be
made	VVN	make
and	CC	and
the	DT	the
Israeli	JJ	Israeli
military	NN	military
so	RB	so
far	RB	far
has	VHZ	have
not	RB	not
commented	VVN	comment
on	IN	on
it	PP	it
but	CC	but
saying	VVG	say
it's	NN	it's
checking	VVG	check
uh	UH	uh
these	DT	these
reports	NNS	report
and	CC	and
checking	VVG	check
uh	UH	uh
the	DT	the
information	NN	information
and	CC	and
we're	NN	we're
hearing	NN	hearing
from	IN	from
uh	UH	uh
uh	UH	uh
Palestinians	NPS	Palestinians
uh	UH	uh
from	IN	from
Han	NP	Han
Yunis	NP	Yunis
and	CC	and
from	IN	from
eyewitnesses	NNS	eyewitness
there	RB	there
that	IN/that	that
there	EX	there
are	VBP	be
many	JJ	many
relatives	NNS	relative
now	RB	now
that	IN/that	that
the	DT	the
fighting	VVG	fight
at	IN	at
least	JJS	least
in	IN	in
in	IN	in
this	DT	this
hospital	NN	hospital
has	VHZ	have
stopped	VVN	stop
where	WRB	where
um	JJ	um
you	PP	you
know	VVP	know
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
they've	NN	they've
done	VVN	do
this	DT	this
also	RB	also
in	IN	in
other	JJ	other
hospitals	NNS	hospital
entering	VVG	enter
hospitals	NNS	hospital
because	IN	because
they	PP	they
are	VBP	be
saying	VVG	say
uh	UH	uh
that	IN/that	that
these	DT	these
are	VBP	be
command	NN	command
centers	NNS	center
of	IN	of
Hamas	NP	Hamas
they	PP	they
were	VBD	be
also	RB	also
looking	VVG	look
for	IN	for
uh	UH	uh
signs	NNS	sign
of	IN	of
the	DT	the
hostages	NNS	hostage
Israeli	JJ	Israeli
hostages	NNS	hostage
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
or	CC	or
potentially	RB	potentially
for	IN	for
bodies	VVZ	body
uh	UH	uh
but	RB	but
right	RB	right
now	RB	now
uh	UH	uh
for	IN	for
uh	UH	uh
many	JJ	many
uh	UH	uh
families	NNS	family
and	CC	and
relatives	NNS	relative
they're	NN	they're
going	VVG	go
back	RB	back
there	RB	there
to	TO	to
look	VV	look
for	IN	for
their	PP$	their
loved	VVN	love
ones	NNS	one
and	CC	and
and	CC	and
take	VV	take
the	DT	the
Buddies	NNS	buddy
to	TO	to
bury	VV	bury
them	PP	them
in	IN	in
a	DT	a
proper	JJ	proper
uh	UH	uh
graveyard	NN	graveyard
</doc>	NN	</doc>
