<video_id>lBk-ZPUzZl0</video_id>	JJ	<video_id>lBk-ZPUzZl0</video_id>
so	IN	so
any	DT	any
information	NN	information
that	IN/that	that
we	PP	we
have	VHP	have
is	VBZ	be
information	NN	information
that	IN/that	that
we	PP	we
have	VHP	have
from	IN	from
the	DT	the
IDF	NP	IDF
or	CC	or
other	JJ	other
sources	NNS	source
and	CC	and
what	WP	what
they	PP	they
have	VHP	have
told	VVN	tell
us	PP	us
so	RB	so
far	RB	far
is	VBZ	be
that	IN/that	that
Israeli	JJ	Israeli
soldiers	NNS	soldier
have	VHP	have
now	RB	now
encircled	VVN	encircle
God	NP	God
Gaza	NP	Gaza
uh	UH	uh
City	NP	City
that's	NNS	that's
really	RB	really
the	DT	the
heart	NN	heart
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
it's	NNS	it's
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
the	DT	the
part	NN	part
that	WDT	that
uh	UH	uh
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
been	VBN	be
asking	VVG	ask
civilians	NNS	civilian
to	TO	to
evacuate	VV	evacuate
from	IN	from
to	TO	to
the	DT	the
South	NP	South
but	CC	but
we	PP	we
do	VVP	do
know	VV	know
that	IN/that	that
not	RB	not
everyone	NN	everyone
has	VHZ	have
evacuated	VVN	evacuate
either	DT	either
uh	UH	uh
they	PP	they
are	VBP	be
unwilling	JJ	unwilling
or	CC	or
uh	UH	uh
unable	JJ	unable
uh	UH	uh
but	CC	but
Israeli	JJ	Israeli
forces	NNS	force
say	VVP	say
they	PP	they
believe	VVP	believe
that	IN/that	that
that	DT	that
northern	JJ	northern
part	NN	part
in	IN	in
in	IN	in
Gaza	NP	Gaza
City	NP	City
and	CC	and
around	IN	around
Gaza	NP	Gaza
City	NP	City
is	VBZ	be
where	WRB	where
a	DT	a
large	JJ	large
concentration	NN	concentration
of	IN	of
Hamas	JJ	Hamas
Fighters	NNS	fighter
are	VBP	be
to	TO	to
be	VB	be
found	VVN	find
we	PP	we
know	VVP	know
also	RB	also
that	IN/that	that
18	CD	@card@
Israeli	JJ	Israeli
soldiers	NNS	soldier
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
fighting	NN	fighting
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
ground	NN	ground
Invasion	NN	invasion
so	IN	so
at	IN	at
least	JJS	least
18	CD	@card@
uh	UH	uh
soldiers	NNS	soldier
in	IN	in
addition	NN	addition
of	IN	of
course	NN	course
to	TO	to
others	NNS	other
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
uh	UH	uh
since	IN	since
this	DT	this
War	NP	War
uh	UH	uh
began	VVD	begin
we	PP	we
also	RB	also
know	VVP	know
from	IN	from
uh	UH	uh
uh	UH	uh
um	NNS	um
the	DT	the
Hamas	NN	Hamas
run	VVN	run
Health	NP	Health
Ministry	NP	Ministry
in	IN	in
Gaza	NP	Gaza
that	IN/that	that
a	DT	a
uh	UH	uh
un	NN	un
run	VVN	run
School	NP	School
uh	UH	uh
near	IN	near
the	DT	the
jabala	NN	jabala
refugee	NN	refugee
camp	NN	camp
that	IN/that	that
refugee	NN	refugee
camp	NN	camp
camp	NN	camp
that	WDT	that
has	VHZ	have
recently	RB	recently
uh	UH	uh
been	VBN	be
struck	VVN	strike
uh	UH	uh
we	PP	we
know	VVP	know
that	IN/that	that
a	DT	a
school	NN	school
around	IN	around
that	DT	that
camp	NN	camp
has	VHZ	have
been	VBN	be
struck	VVN	strike
as	IN	as
well	RB	well
and	CC	and
at	IN	at
least	JJS	least
27	CD	@card@
uh	UH	uh
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
that's	NNS	that's
again	RB	again
according	VVG	accord
to	TO	to
the	DT	the
um	NN	um
to	TO	to
the	DT	the
health	NN	health
Ministry	NP	Ministry
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
strip	NN	strip
is	VBZ	be
run	VV	run
uh	UH	uh
uh	UH	uh
by	IN	by
uh	UH	uh
Hamas	NN	Hamas
and	CC	and
so	RB	so
it	PP	it
is	VBZ	be
U	NN	U
it	PP	it
is	VBZ	be
you	PP	you
know	VVP	know
it	PP	it
is	VBZ	be
changing	VVG	change
every	DT	every
minute	NN	minute
but	CC	but
that	DT	that
is	VBZ	be
the	DT	the
info	NN	info
that	IN/that	that
we	PP	we
have	VHP	have
from	IN	from
both	DT	both
sides	NNS	side
so	RB	so
far	RB	far
yeah	RB	yeah
and	CC	and
a	DT	a
there	RB	there
are	VBP	be
reports	NNS	report
again	RB	again
today	NN	today
of	IN	of
rising	VVG	rise
violence	NN	violence
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
with	IN	with
three	CD	three
Palestinians	NNS	Palestinian
and	CC	and
one	CD	one
Israeli	NN	Israeli
killed	VVN	kill
throughout	IN	throughout
the	DT	the
day	NN	day
let's	NNS	let's
take	VVP	take
a	DT	a
look	NN	look
at	IN	at
the	DT	the
situation	NN	situation
there	RB	there
and	CC	and
then	RB	then
get	VV	get
back	RB	back
to	TO	to
you	PP	you
Rescuers	NNS	rescuer
rushed	VVD	rush
to	TO	to
the	DT	the
scene	NN	scene
after	IN	after
an	DT	an
Israeli	JJ	Israeli
reservist	NN	reservist
was	VBD	be
shot	VVN	shoot
dead	JJ	dead
on	IN	on
his	PP$	his
way	NN	way
back	RB	back
to	TO	to
his	PP$	his
settlement	NN	settlement
home	NN	home
for	IN	for
Palestinians	NPS	Palestinians
living	VVG	live
close	NN	close
by	IN	by
the	DT	the
consequences	NNS	consequence
were	VBD	be
Swift	NP	Swift
and	CC	and
familiar	JJ	familiar
Israeli	JJ	Israeli
settlers	NNS	settler
stormed	VVD	storm
their	PP$	their
Village	NP	Village
setting	NN	setting
buildings	NNS	building
of	IN	of
Blaze	NP	Blaze
it's	NNS	it's
just	RB	just
the	DT	the
latest	JJS	late
outbreak	NN	outbreak
of	IN	of
violence	NN	violence
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
where	WRB	where
clashes	NNS	clash
between	IN	between
between	IN	between
settlers	NNS	settler
and	CC	and
Palestinians	NNS	Palestinian
have	VHP	have
soared	VVN	soar
since	IN	since
hamas's	NN	hamas's
terrorist	NN	terrorist
attacks	VVZ	attack
many	JJ	many
Palestinians	NPS	Palestinians
feel	VVP	feel
like	IN	like
they're	NN	they're
being	VBG	be
forced	VVN	force
out	RP	out
of	IN	of
their	PP$	their
homes	NNS	home
like	IN	like
in	IN	in
this	DT	this
Village	NP	Village
close	NN	close
to	TO	to
heon	NN	heon
where	WRB	where
locals	NNS	local
say	VVP	say
attacks	NNS	attack
by	IN	by
settlers	NNS	settler
have	VHP	have
only	RB	only
gotten	VVN	get
worse	JJR	bad
in	IN	in
recent	JJ	recent
weeks	NNS	week
we	PP	we
used	VVD	use
to	TO	to
have	VH	have
problems	NNS	problem
with	IN	with
them	PP	them
but	CC	but
after	IN	after
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
they	PP	they
want	VVP	want
to	TO	to
kill	VV	kill
all	DT	all
of	IN	of
us	PP	us
After	IN	after
the	DT	the
War	NP	War
Began	NP	Began
the	DT	the
situation	NN	situation
changed	VVD	change
they	PP	they
started	VVD	start
attacking	VVG	attack
our	PP$	our
houses	NNS	house
and	CC	and
the	DT	the
people	NNS	people
inside	IN	inside
them	PP	them
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
has	VHZ	have
also	RB	also
become	VVN	become
increasingly	RB	increasingly
active	JJ	active
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
since	IN	since
October	NP	October
7th	JJ	7th
drastically	RB	drastically
ramping	VVG	ramp
up	RP	up
its	PP$	its
raids	NNS	raid
with	IN	with
Israeli	JJ	Israeli
forces	NNS	force
detaining	VVG	detain
hundreds	NNS	hundred
of	IN	of
Palestinians	NPS	Palestinians
over	IN	over
alleged	JJ	alleged
terrorist	JJ	terrorist
links	NNS	link
clashes	NNS	clash
have	VHP	have
broken	VVN	break
out	RP	out
frequently	RB	frequently
often	RB	often
with	IN	with
deadly	JJ	deadly
consequences	NNS	consequence
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
dozens	NNS	dozen
of	IN	of
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
according	VVG	accord
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Health	NP	Health
Ministry	NP	Ministry
but	CC	but
with	IN	with
all	DT	all
eyes	NNS	eye
on	IN	on
Gaza	NP	Gaza
the	DT	the
record	NN	record
violence	NN	violence
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
is	VBZ	be
at	IN	at
risk	NN	risk
of	IN	of
being	VBG	be
overlooked	VVN	overlook
a	DT	a
how	WRB	how
much	JJ	much
of	IN	of
a	DT	a
sense	NN	sense
is	VBZ	be
there	RB	there
that	IN/that	that
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
spilling	VVG	spill
over	RP	over
into	IN	into
the	DT	the
West	NP	West
Bank	NP	Bank
as	IN	as
we	PP	we
heard	VVD	hear
in	IN	in
that	DT	that
report	NN	report
there	EX	there
really	RB	really
is	VBZ	be
a	DT	a
sense	NN	sense
that	IN/that	that
with	IN	with
all	DT	all
eyes	NNS	eye
on	IN	on
what's	NNS	what's
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
because	IN	because
of	IN	of
the	DT	the
severity	NN	severity
of	IN	of
the	DT	the
situation	NN	situation
there	IN	here
uh	UH	uh
settlers	NNS	settler
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
may	MD	may
be	VB	be
taking	VVG	take
advantage	NN	advantage
of	IN	of
that	DT	that
situation	NN	situation
so	RB	so
according	VVG	accord
to	TO	to
the	DT	the
un	JJ	un
uh	UH	uh
settler	NN	settler
violence	NN	violence
which	WDT	which
was	VBD	be
already	RB	already
at	IN	at
a	DT	a
record	NN	record
high	JJ	high
last	JJ	last
year	NN	year
has	VHZ	have
increased	VVN	increase
this	DT	this
year	NN	year
from	IN	from
an	DT	an
average	NN	average
of	IN	of
three	CD	three
incidents	NNS	incident
per	IN	per
day	NN	day
to	TO	to
seven	CD	seven
incidents	NNS	incident
per	IN	per
day	NN	day
and	CC	and
so	RB	so
we're	JJ	we're
hearing	NN	hearing
reports	NNS	report
of	IN	of
harassment	NN	harassment
violence	NN	violence
and	CC	and
at	IN	at
times	CC	times
uh	UH	uh
forced	VVN	force
evictions	NNS	eviction
if	IN	if
you	PP	you
will	MD	will
as	IN	as
Palestinians	NPS	Palestinians
feel	VVP	feel
that	IN/that	that
it	PP	it
is	VBZ	be
no	RB	no
longer	RBR	longer
safe	JJ	safe
for	IN	for
them	PP	them
to	TO	to
stay	VV	stay
in	IN	in
their	PP$	their
homes	NNS	home
both	CC	both
the	DT	the
both	CC	both
Germany	NP	Germany
and	CC	and
the	DT	the
United	NP	United
United	NP	United
States	NPS	States
have	VHP	have
warned	VVN	warn
against	IN	against
this	DT	this
and	CC	and
have	VHP	have
called	VVN	call
on	IN	on
the	DT	the
Israeli	JJ	Israeli
government	NN	government
to	TO	to
protect	VV	protect
Palestinians	NNS	Palestinian
living	VVG	live
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
now	RB	now
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
will	MD	will
be	VB	be
in	IN	in
Israel	NP	Israel
on	IN	on
Friday	NP	Friday
what	WP	what
can	MD	can
we	PP	we
expect	VV	expect
this	DT	this
will	MD	will
be	VB	be
his	PP$	his
third	JJ	third
visit	NN	visit
to	TO	to
Israel	NP	Israel
and	CC	and
his	PP$	his
second	NN	second
to	TO	to
the	DT	the
region	NN	region
since	IN	since
the	DT	the
War	NP	War
uh	UH	uh
began	VVD	begin
and	CC	and
since	IN	since
the	DT	the
terror	NN	terror
attacks	NNS	attack
on	IN	on
October	NP	October
uh	UH	uh
7th	JJ	7th
we	PP	we
can	MD	can
expect	VV	expect
that	IN/that	that
the	DT	the
messaging	VVG	message
from	IN	from
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
will	MD	will
remain	VV	remain
the	DT	the
same	JJ	same
from	IN	from
what	WP	what
it	PP	it
was	VBD	be
at	IN	at
the	DT	the
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
which	WDT	which
is	VBZ	be
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
stands	VVZ	stand
by	IN	by
Israel	NP	Israel
stands	VVZ	stand
by	IN	by
Israel's	NP	Israel's
right	VV	right
uh	UH	uh
to	TO	to
defend	VV	defend
itself	PP	itself
but	CC	but
what	WP	what
we	PP	we
will	MD	will
perhaps	RB	perhaps
be	VB	be
hearing	VVG	hear
more	RBR	more
of	IN	of
is	VBZ	be
the	DT	the
United	NP	United
States	NPS	States
calling	NN	calling
on	IN	on
Israel	NP	Israel
to	TO	to
uh	UH	uh
take	VV	take
civilian	JJ	civilian
lives	NNS	life
more	RBR	more
into	IN	into
account	NN	account
that	WDT	that
is	VBZ	be
a	DT	a
demand	NN	demand
that	IN/that	that
we've	NP	we've
heard	VVD	hear
uh	UH	uh
more	RBR	more
and	CC	and
more	RBR	more
increasingly	RB	increasingly
from	IN	from
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
as	IN	as
you	PP	you
know	VVP	know
this	DT	this
war	NN	war
enters	VVZ	enter
into	IN	into
its	PP$	its
third	JJ	third
week	NN	week
and	CC	and
as	IN	as
everyday	JJ	everyday
picture	NN	picture
of	IN	of
the	DT	the
constant	JJ	constant
air	NN	air
strikes	NNS	strike
on	IN	on
Gaza	NP	Gaza
are	VBP	be
reaching	VVG	reach
uh	UH	uh
the	DT	the
world	NN	world
we	PP	we
can	MD	can
expect	VV	expect
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
an	DT	an
emphasis	NN	emphasis
on	IN	on
the	DT	the
importance	NN	importance
of	IN	of
protecting	VVG	protect
civilian	NN	civilian
lives	VVZ	live
uh	UH	uh
in	IN	in
uh	UH	uh
Gaza	NP	Gaza
the	DT	the
secretary	NN	secretary
of	IN	of
state	NN	state
will	MD	will
also	RB	also
be	VB	be
going	VVG	go
to	TO	to
Jordan	NP	Jordan
after	IN	after
that	WDT	that
our	PP$	our
viewers	NNS	viewer
may	MD	may
remember	VV	remember
that	IN/that	that
when	WRB	when
US	NP	US
President	NP	President
Biden	NP	Biden
was	VBD	be
set	VVN	set
to	TO	to
visit	VV	visit
uh	UH	uh
uh	UH	uh
Jordan	NP	Jordan
some	DT	some
of	IN	of
the	DT	the
meetings	NNS	meeting
were	VBD	be
cancelled	VVN	cancel
because	IN	because
of	IN	of
the	DT	the
incident	NN	incident
uh	UH	uh
uh	UH	uh
explosion	NN	explosion
at	IN	at
alah	NN	alah
hospital	NN	hospital
so	IN	so
this	DT	this
is	VBZ	be
again	RB	again
another	DT	another
uh	UH	uh
attempt	NN	attempt
by	IN	by
the	DT	the
administration	NN	administration
to	TO	to
try	VV	try
and	CC	and
find	VV	find
a	DT	a
regional	JJ	regional
solution	NN	solution
to	TO	to
this	DT	this
tomorrow	NN	tomorrow
we	PP	we
also	RB	also
know	VVP	know
that	IN/that	that
the	DT	the
head	NN	head
of	IN	of
hasah	NN	hasah
hassanah	NN	hassanah
will	MD	will
be	VB	be
speaking	VVG	speak
and	CC	and
so	RB	so
this	DT	this
might	MD	might
also	RB	also
this	DT	this
visit	NN	visit
might	MD	might
also	RB	also
be	VB	be
looked	VVN	look
at	IN	at
as	IN	as
um	NNS	um
as	IN	as
a	DT	a
sense	NN	sense
as	RB	as
as	RB	as
as	IN	as
deterrence	NN	deterrence
as	IN	as
the	DT	the
Administration	NP	Administration
has	VHZ	have
emphasized	VVN	emphasize
time	NN	time
and	CC	and
time	NN	time
again	RB	again
that	IN/that	that
Regional	JJ	regional
power	NN	power
re	IN	re
Regional	JJ	regional
uh	UH	uh
uh	UH	uh
player	NN	player
should	MD	should
not	RB	not
take	VV	take
advantage	NN	advantage
of	IN	of
the	DT	the
current	JJ	current
situation	NN	situation
that	WDT	that
was	VBD	be
a	DT	a
Ibrahim	NP	Ibrahim
and	CC	and
Jerusalem	NP	Jerusalem
thanks	NNS	thanks
for	IN	for
that	DT	that
hundreds	NNS	hundred
more	RBR	more
foreign	JJ	foreign
passport	NN	passport
holders	NNS	holder
have	VHP	have
left	VVN	leave
Gaza	NP	Gaza
through	IN	through
the	DT	the
Rafa	NP	Rafa
Crossing	NN	crossing
into	IN	into
Egypt	NP	Egypt
crowds	NNS	crowd
have	VHP	have
gathered	VVN	gather
at	IN	at
the	DT	the
border	NN	border
but	CC	but
only	RB	only
those	DT	those
on	IN	on
an	DT	an
official	JJ	official
list	NN	list
are	VBP	be
being	VBG	be
allowed	VVN	allow
to	TO	to
pass	VV	pass
the	DT	the
biggest	JJS	big
group	NN	group
of	IN	of
around	RB	around
400	CD	@card@
were	VBD	be
US	NP	US
citizens	NNS	citizen
today	NN	today
the	DT	the
crossing	NN	crossing
has	VHZ	have
been	VBN	be
open	JJ	open
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
since	IN	since
the	DT	the
start	NN	start
of	IN	of
the	DT	the
current	JJ	current
conflict	NN	conflict
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
desperate	JJ	desperate
to	TO	to
get	VV	get
out	RP	out
of	IN	of
Gaza	NP	Gaza
the	DT	the
rough	JJ	rough
for	IN	for
border	NN	border
crossing	NN	crossing
is	VBZ	be
the	DT	the
only	JJ	only
Escape	NN	escape
for	IN	for
these	DT	these
families	NNS	family
many	JJ	many
have	VHP	have
been	VBN	be
at	IN	at
this	DT	this
bus	NN	bus
terminal	NN	terminal
for	IN	for
hours	NNS	hour
waiting	VVG	wait
to	TO	to
have	VH	have
their	PP$	their
documents	NNS	document
approved	VVD	approve
and	CC	and
be	VB	be
allowed	VVN	allow
to	TO	to
board	VV	board
the	DT	the
next	JJ	next
bus	NN	bus
heading	VVG	head
across	IN	across
the	DT	the
border	NN	border
into	IN	into
Egypt	NP	Egypt
I	PP	I
have	VHP	have
an	DT	an
American	JJ	American
passport	NN	passport
my	PP$	my
daughter	NN	daughter
has	VHZ	have
one	CD	one
too	RB	too
my	PP$	my
husband	NN	husband
submitted	VVD	submit
his	PP$	his
papers	NNS	paper
but	CC	but
he	PP	he
still	RB	still
didn't	VVD	didn't
get	VV	get
his	PP$	his
passport	NN	passport
I'm	NN	I'm
pregnant	JJ	pregnant
how	WRB	how
am	VBP	be
I	PP	I
supposed	VVN	suppose
to	TO	to
get	VV	get
out	RP	out
without	IN	without
my	PP$	my
husband	NN	husband
I	PP	I
appeal	VVP	appeal
to	TO	to
anyone	NN	anyone
I	PP	I
want	VVP	want
to	TO	to
get	VV	get
out	RP	out
with	IN	with
my	PP$	my
husband	NN	husband
and	CC	and
my	PP$	my
daughter	NN	daughter
and	CC	and
I	PP	I
don't	VVD	don't
know	VV	know
what's	NNS	what's
going	VVG	go
to	TO	to
happen	VV	happen
and	CC	and
just	RB	just
about	IN	about
an	DT	an
hour	NN	hour
ago	RB	ago
you	PP	you
heard	VVD	hear
it	PP	it
probably	RB	probably
a	DT	a
aom	NN	aom
came	VVD	come
down	RB	down
almost	RB	almost
explode	VV	explode
everything	NN	everything
and	CC	and
I	PP	I
have	VHP	have
hard	JJ	hard
condition	NN	condition
you	PP	you
know	VVP	know
guy	NN	guy
[Music]	NN	[Music]
could	MD	could
so	RB	so
I	PP	I
don't	VVD	don't
know	VV	know
what's	NNS	what's
going	VVG	go
to	TO	to
happen	VV	happen
I'm	NP	I'm
just	RB	just
the	DT	the
other	JJ	other
side	NN	side
several	JJ	several
hundred	CD	hundred
Jew	NP	Jew
nationality	NN	nationality
Palestinians	NNS	Palestinian
foreign	JJ	foreign
National	NP	National
and	CC	and
critically	RB	critically
injured	VVN	injure
Garin	NP	Garin
have	VHP	have
crossed	VVN	cross
the	DT	the
border	NN	border
Egyptian	JJ	Egyptian
officials	NNS	official
say	VVP	say
they	PP	they
will	MD	will
assist	VV	assist
around	RB	around
7,000	CD	@card@
people	NNS	people
to	TO	to
leave	VV	leave
but	CC	but
the	DT	the
process	NN	process
may	MD	may
take	VV	take
weeks	NNS	week
we	PP	we
do	VVP	do
not	RB	not
have	VH	have
any	DT	any
information	NN	information
regarding	VVG	regard
the	DT	the
opening	NN	opening
of	IN	of
The	DT	the
Crossing	NN	crossing
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
our	PP$	our
operations	NNS	operation
are	VBP	be
being	VBG	be
managed	VVN	manage
on	IN	on
a	DT	a
day-to-day	JJ	day-to-day
basis	NN	basis
we	PP	we
sincerely	RB	sincerely
hope	VVP	hope
that	IN/that	that
our	PP$	our
Egyptian	JJ	Egyptian
Brothers	NPS	Brothers
will	MD	will
keep	VV	keep
the	DT	the
crossing	VVG	cross
open	JJ	open
on	IN	on
a	DT	a
continuous	JJ	continuous
basis	NN	basis
especially	RB	especially
for	IN	for
those	DT	those
who	WP	who
are	VBP	be
severely	RB	severely
wounded	VVN	wound
we	PP	we
have	VHP	have
approximately	RB	approximately
20,000	CD	@card@
injured	JJ	injured
individuals	NNS	individual
with	IN	with
thousands	NNS	thousand
of	IN	of
them	PP	them
in	IN	in
critical	JJ	critical
condition	NN	condition
ambulances	NNS	ambulance
waiting	VVG	wait
at	IN	at
the	DT	the
Crossing	NN	crossing
rushed	VVD	rush
severely	RB	severely
injured	VVN	injure
Palestinians	NNS	Palestinian
to	TO	to
Egyptian	JJ	Egyptian
hospitals	NNS	hospital
with	IN	with
more	JJR	more
than	IN	than
a	DT	a
third	JJ	third
of	IN	of
hospitals	NNS	hospital
in	IN	in
Gaza	NP	Gaza
not	RB	not
operating	VVG	operate
at	IN	at
all	DT	all
many	JJ	many
more	JJR	more
people	NNS	people
need	VVP	need
urgent	JJ	urgent
care	NN	care
but	CC	but
Egypt	NP	Egypt
remains	VVZ	remain
firm	NN	firm
that	IN/that	that
its	PP$	its
medical	JJ	medical
evacuations	NNS	evacuation
will	MD	will
be	VB	be
temporary	JJ	temporary
with	IN	with
no	DT	no
Mass	NP	Mass
Exodus	NN	exodus
from	IN	from
Gaza	NP	Gaza
and	CC	and
we	PP	we
can	MD	can
speak	VV	speak
now	RB	now
to	TO	to
hea	NN	hea
TV	NN	TV
she's	NNS	she's
the	DT	the
country	NN	country
director	NN	director
for	IN	for
the	DT	the
NGO	NP	Ngo
care	NN	care
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
territories	NNS	territory
and	CC	and
joins	VVZ	join
us	PP	us
from	IN	from
rala	NN	rala
and	CC	and
the	DT	the
West	NP	West
Bank	NP	Bank
hea	NN	hea
good	JJ	good
to	TO	to
see	VV	see
you	PP	you
now	RB	now
some	DT	some
Aid	NN	aid
has	VHZ	have
been	VBN	be
delivered	VVN	deliver
through	IN	through
the	DT	the
ga	NN	ga
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
through	IN	through
the	DT	the
Rafa	NP	Rafa
Crossing	VVG	cross
we	PP	we
saw	VVD	see
there	RB	there
do	VV	do
you	PP	you
know	VV	know
at	IN	at
all	RB	all
how	WRB	how
many	JJ	many
Gins	NP	Gins
can	MD	can
benefit	VV	benefit
from	IN	from
it	PP	it
um	RB	um
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
for	IN	for
this	DT	this
question	NN	question
I	PP	I
think	VVP	think
that	IN/that	that
over	IN	over
the	DT	the
last	JJ	last
days	NNS	day
we	PP	we
have	VH	have
he	PP	he
the	DT	the
estimations	NNS	estimation
by	IN	by
the	DT	the
UN	NP	UN
on	IN	on
the	DT	the
necessity	NN	necessity
of	IN	of
constant	JJ	constant
and	CC	and
bigger	JJR	big
numbers	NNS	number
much	RB	much
bigger	JJR	big
numbers	NNS	number
hundreds	NNS	hundred
of	IN	of
trucks	NNS	truck
on	IN	on
daily	JJ	daily
basis	NN	basis
to	TO	to
uh	UH	uh
be	VB	be
able	JJ	able
to	TO	to
secure	VV	secure
the	DT	the
requirements	NNS	requirement
for	IN	for
the	DT	the
mass	JJ	mass
uh	UH	uh
population	NN	population
that	WDT	that
is	VBZ	be
affected	VVN	affect
but	CC	but
unfortunately	RB	unfortunately
uh	UH	uh
the	DT	the
number	NN	number
of	IN	of
trucks	NNS	truck
that	IN/that	that
entered	VVN	enter
is	VBZ	be
very	RB	very
limited	VVN	limit
it	PP	it
it	PP	it
of	IN	of
course	NN	course
serves	VVZ	serve
