I	NP	I
according	VVG	accord
to	TO	to
this	DT	this
report	NN	report
that	IN/that	that
they	PP	they
identified	VVD	identify
a	DT	a
gunman	NN	gunman
on	IN	on
an	DT	an
aid	NN	aid
truck	NN	truck
as	IN	as
they	PP	they
say	VVP	say
and	CC	and
then	RB	then
at	IN	at
a	DT	a
later	JJR	late
stage	NN	stage
another	DT	another
gunman	NN	gunman
also	RB	also
at	IN	at
the	DT	the
warehouse	NN	warehouse
and	CC	and
uh	UH	uh
they	PP	they
say	VV	say
uh	UH	uh
the	DT	the
IDF	NP	IDF
the	DT	the
Israeli	JJ	Israeli
military	NN	military
saying	VVG	say
that	IN/that	that
they	PP	they
believe	VVP	believe
um	NNS	um
that	IN/that	that
the	DT	the
forces	NNS	force
believe	VVP	believe
that	IN/that	that
these	DT	these
uh	UH	uh
two	CD	two
gunmen	NNS	gunman
were	VBD	be
in	IN	in
one	CD	one
of	IN	of
the	DT	the
three	CD	three
uh	UH	uh
vehicles	NNS	vehicle
and	CC	and
they	PP	they
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
a	DT	a
misidentification	NN	misidentification
they	PP	they
'	POS	'
re	NN	re
talking	VVG	talk
about	RB	about
misclassification	JJ	misclassification
uh	UH	uh
of	IN	of
uh	UH	uh
the	DT	the
uh	UH	uh
event	NN	event
and	CC	and
as	IN	as
you	PP	you
said	VVD	say
two	CD	two
of	IN	of
the	DT	the
officers	NNS	officer
have	VHP	have
been	VBN	be
uh	UH	uh
uh	UH	uh
dismissed	VVN	dismiss
and	CC	and
three	CD	three
uh	UH	uh
were	VBD	be
reprimanded	VVN	reprimand
but	CC	but
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
details	NNS	detail
are	VBP	be
not	RB	not
really	RB	really
uh	UH	uh
yet	RB	yet
known	VVN	know
there	EX	there
will	MD	will
be	VB	be
a	DT	a
lot	NN	lot
of	IN	of
questions	NNS	question
asked	VVN	ask
as	IN	as
this	DT	this
Convoy	VV	convoy
uh	UH	uh
was	VBD	be
hit	VVN	hit
uh	UH	uh
with	IN	with
according	VVG	accord
to	TO	to
reports	NNS	report
here	RB	here
at	IN	at
least	JJS	least
three	CD	three
missiles	NNS	missile
there	RB	there
is	VBZ	be
also	RB	also
talk	NN	talk
about	IN	about
a	DT	a
complete	JJ	complete
uh	UH	uh
breakdown	NN	breakdown
of	IN	of
the	DT	the
chain	NN	chain
of	IN	of
command	VV	command
uh	UH	uh
so	IN	so
we	PP	we
'	POS	'
ll	NNS	ll
have	VHP	have
to	TO	to
see	VV	see
whether	IN	whether
this	DT	this
is	VBZ	be
an	DT	an
an	DT	an
answer	NN	answer
you	PP	you
know	VVP	know
for	IN	for
uh	UH	uh
the	DT	the
World	NP	World
Central	NP	Central
kit	NN	kit
but	CC	but
also	RB	also
of	IN	of
course	NN	course
for	IN	for
the	DT	the
relatives	NNS	relative
and	CC	and
the	DT	the
eight	CD	eight
workers	NNS	worker
community	NN	community
that	WDT	that
is	VBZ	be
working	VVG	work
in	IN	in
Gaza	NP	Gaza
and	CC	and
now	RB	now
this	DT	this
comes	VVZ	come
as	IN	as
International	NP	International
pressure	NN	pressure
is	VBZ	be
mounting	VVG	mount
on	IN	on
Israel	NP	Israel
to	TO	to
do	VV	do
more	RBR	more
to	TO	to
protect	VV	protect
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
the	DT	the
United	NP	United
Nations	NPS	Nations
top	JJ	top
human	JJ	human
rights	NNS	right
body	NN	body
has	VHZ	have
in	IN	in
fact	NN	fact
just	RB	just
passed	VVD	pass
a	DT	a
resolution	NN	resolution
calling	VVG	call
for	IN	for
Israel	NP	Israel
to	TO	to
be	VB	be
held	VVN	hold
accountable	JJ	accountable
for	IN	for
possible	JJ	possible
war	NN	war
crimes	NNS	crime
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Council	NP	Council
has	VHZ	have
also	RB	also
called	VVN	call
for	IN	for
a	DT	a
halt	NN	halt
in	IN	in
armed	JJ	armed
sales	NNS	sale
to	TO	to
Israel	NP	Israel
28	CD	@card@
countries	NNS	country
voted	VVD	vote
in	RB	in
favor	VV	favor
uh	UH	uh
six	CD	six
including	VVG	include
Germany	NP	Germany
the	DT	the
United	NP	United
States	NPS	States
voted	VVD	vote
against	IN	against
and	CC	and
13	CD	@card@
abstained	VVN	abstain
from	IN	from
the	DT	the
resolution	NN	resolution
it	PP	it
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
the	DT	the
UN	NP	UN
body	NN	body
has	VHZ	have
taken	VVN	take
a	DT	a
position	NN	position
on	IN	on
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
so	IN	so
Tanya	NP	Tanya
it	PP	it
really	RB	really
seems	VVZ	seem
like	IN	like
International	NP	International
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
is	VBZ	be
mounting	VVG	mount
by	IN	by
the	DT	the
day	NN	day
well	RB	well
that	RB	that
'	''	'
s	NNS	s
quite	RB	quite
right	RB	right
this	DT	this
is	VBZ	be
another	DT	another
another	DT	another
international	JJ	international
organization	NN	organization
and	CC	and
another	DT	another
resolution	NN	resolution
that	WDT	that
has	VHZ	have
been	VBN	be
adopted	VVN	adopt
criticizing	VVG	criticize
Israel	NP	Israel
'	POS	'
s	VVZ	s
uh	UH	uh
conduct	NN	conduct
of	IN	of
War	NP	War
we	PP	we
got	VVD	get
a	DT	a
first	JJ	first
reaction	NN	reaction
there	RB	there
from	IN	from
the	DT	the
Israeli	JJ	Israeli
Ambassador	NN	ambassador
in	IN	in
Geneva	NP	Geneva
that	WDT	that
was	VBD	be
distributed	VVN	distribute
here	RB	here
by	IN	by
the	DT	the
foreign	JJ	foreign
Ministry	NP	Ministry
that	WDT	that
said	VVD	say
that	IN/that	that
the	DT	the
decision	NN	decision
today	NN	today
a	DT	a
stain	NN	stain
on	IN	on
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Council	NP	Council
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
uh	UH	uh
in	IN	in
uh	UH	uh
General	JJ	general
uh	UH	uh
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
saying	VVG	say
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
not	RB	not
mentioned	VVN	mention
and	CC	and
their	PP$	their
role	NN	role
on	IN	on
October	NP	October
7th	JJ	7th
uh	UH	uh
that	WDT	that
also	RB	also
reflects	VVZ	reflect
of	IN	of
course	NN	course
this	DT	this
very	RB	very
strained	VVN	strain
relationship	NN	relationship
between	IN	between
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
uh	UH	uh
Israel	NP	Israel
as	IN	as
well	UH	well
uh	UH	uh
but	CC	but
of	IN	of
course	NN	course
it	PP	it
is	VBZ	be
just	RB	just
another	DT	another
uh	UH	uh
International	NP	International
or	CC	or
organization	NN	organization
uh	UH	uh
that	WDT	that
is	VBZ	be
now	RB	now
uh	UH	uh
criticizing	VVG	criticize
Israel	NP	Israel
again	RB	again
amidst	IN	amidst
this	DT	this
really	RB	really
mounting	VVG	mount
as	IN	as
you	PP	you
said	VVD	say
International	NP	International
a	DT	a
pressure	NN	pressure
further	RBR	further
pushing	VVG	push
uh	UH	uh
Israel	NP	Israel
uh	UH	uh
to	TO	to
change	VV	change
its	PP$	its
conduct	NN	conduct
of	IN	of
war	NN	war
and	CC	and
among	IN	among
them	PP	them
also	RB	also
uh	UH	uh
its	PP$	its
closest	JJS	close
allies	NNS	ally
in	IN	in
the	DT	the
United	NP	United
States	NP	States
that	WDT	that
have	VHP	have
also	RB	also
you	PP	you
know	VVP	know
criticized	VVN	criticize
isra	NN	isra
and	CC	and
asked	VVD	ask
them	PP	them
to	TO	to
do	VV	do
more	RBR	more
to	TO	to
protect	VV	protect
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
given	VVN	give
the	DT	the
high	JJ	high
death	NN	death
tall	JJ	tall
and	CC	and
to	TO	to
do	VV	do
more	RBR	more
uh	UH	uh
to	TO	to
protect	VV	protect
uh	UH	uh
to	TO	to
bring	VV	bring
in	IN	in
more	JJR	more
Aid	NN	aid
and	CC	and
also	RB	also
of	IN	of
course	NN	course
in	IN	in
this	DT	this
case	NN	case
to	TO	to
protect	VV	protect
more	JJR	more
Aid	NN	aid
workers	NNS	worker
but	CC	but
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
really	RB	really
seen	VVN	see
this	DT	this
translating	VVG	translate
into	IN	into
any	DT	any
significant	JJ	significant
changes	VVZ	change
uh	UH	uh
for	IN	for
the	DT	the
population	NN	population
for	IN	for
the	DT	the
civilian	JJ	civilian
population	NN	population
on	IN	on
the	DT	the
ground	NN	ground
there	RB	there
in	IN	in
Gaza	NP	Gaza
now	RB	now
in	IN	in
the	DT	the
six	CD	six
months	NNS	month
uh	UH	uh
of	IN	of
this	DT	this
war	NN	war
on	IN	on
the	DT	the
subject	NN	subject
of	IN	of
Aid	NP	Aid
Israel	NP	Israel
has	VHZ	have
also	RB	also
now	RB	now
announced	VVD	announce
the	DT	the
temporary	JJ	temporary
opening	NN	opening
of	IN	of
more	JJR	more
Aid	NN	aid
routs	NNS	rout
into	IN	into
Gaza	NP	Gaza
what	WP	what
more	JJR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	RB	about
that	IN/that	that
well	RB	well
yeah	RB	yeah
this	DT	this
is	VBZ	be
uh	UH	uh
quite	RB	quite
a	DT	a
significant	JJ	significant
uh	UH	uh
development	NN	development
because	IN	because
eight	CD	eight
organization	NN	organization
ations	NNS	ations
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
have	VHP	have
called	VVN	call
for	IN	for
weeks	NNS	week
to	TO	to
open	VV	open
another	DT	another
uh	UH	uh
land	VV	land
uh	UH	uh
Crossing	VVG	cross
to	TO	to
get	VV	get
eight	CD	eight
uh	UH	uh
more	RBR	more
directly	RB	directly
into	IN	into
especially	RB	especially
Northern	JJ	northern
Gaza	NP	Gaza
where	WRB	where
the	DT	the
population	NN	population
is	VBZ	be
really	RB	really
in	IN	in
a	DT	a
critical	JJ	critical
situation	NN	situation
as	IN	as
the	DT	the
United	NP	United
Nations	NPS	Nations
have	VHP	have
said	VVN	say
on	IN	on
the	DT	the
brink	NN	brink
of	IN	of
famine	NN	famine
and	CC	and
this	DT	this
decision	NN	decision
came	VVD	come
after	IN	after
what	WP	what
was	VBD	be
described	VVN	describe
here	RB	here
in	IN	in
the	DT	the
Israeli	JJ	Israeli
media	NNS	medium
after	IN	after
a	DT	a
10	CD	@card@
'	POS	'
s	JJ	s
phone	NN	phone
call	NN	call
between	IN	between
uh	UH	uh
the	DT	the
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
and	CC	and
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
saying	VVG	say
that	IN/that	that
they	PP	they
will	VV	will
uh	UH	uh
open	VV	open
at	IN	at
least	JJS	least
temporarily	RB	temporarily
uh	UH	uh
the	DT	the
AIS	NNS	ai
Crossing	NN	crossing
that	WDT	that
is	VBZ	be
a	DT	a
Crossing	NN	crossing
in	IN	in
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
it	PP	it
used	VVD	use
to	TO	to
be	VB	be
more	RBR	more
a	DT	a
pedestrian	NN	pedestrian
Crossing	VVG	cross
also	RB	also
uh	UH	uh
there	EX	there
were	VBD	be
some	DT	some
cars	NNS	car
going	NN	going
through	IN	through
uh	UH	uh
but	CC	but
again	RB	again
it	PP	it
is	VBZ	be
still	RB	still
to	TO	to
see	VV	see
how	WRB	how
the	DT	the
logistic	NN	logistic
of	IN	of
all	DT	all
of	IN	of
this	DT	this
will	MD	will
be	VB	be
uh	UH	uh
how	WRB	how
many	JJ	many
trucks	NNS	truck
will	MD	will
go	VV	go
in	IN	in
there	RB	there
when	WRB	when
this	DT	this
will	MD	will
happen	VV	happen
and	CC	and
we	PP	we
heard	VVD	hear
the	DT	the
uh	UH	uh
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
also	RB	also
saying	VVG	say
that	IN/that	that
the	DT	the
the	DT	the
test	NN	test
will	MD	will
be	VB	be
uh	UH	uh
you	PP	you
know	VV	know
uh	UH	uh
the	DT	the
the	DT	the
reality	NN	reality
test	NN	test
with	IN	with
what	WP	what
will	MD	will
happen	VV	happen
and	CC	and
that	IN/that	that
they	PP	they
will	MD	will
watch	VV	watch
it	PP	it
very	RB	very
close	VV	close
what	WP	what
Israel	NP	Israel
will	MD	will
do	VV	do
in	IN	in
this	DT	this
regard	NN	regard
Tanya	NP	Tanya
thank	VVP	thank
you	PP	you
as	RB	as
always	RB	always
for	IN	for
bringing	VVG	bring
us	PP	us
up	RP	up
to	TO	to
speed	VV	speed
that	DT	that
is	VBZ	be
Tanya	NP	Tanya
Kramer	NP	Kramer
in	IN	in
