<video_id>6PIlRdmGHwE</video_id>	JJ	<video_id>6PIlRdmGHwE</video_id>
know	VVP	know
the	DT	the
people	NNS	people
were	VBD	be
swarming	VVG	swarm
towards	IN	towards
these	DT	these
trucks	NNS	truck
and	CC	and
uh	UH	uh
uh	UH	uh
there	EX	there
was	VBD	be
a	DT	a
a	DT	a
panic	VV	panic
uh	UH	uh
there	EX	there
was	VBD	be
a	DT	a
stampede	VV	stampede
uh	UH	uh
basically	RB	basically
and	CC	and
then	RB	then
they're	NN	they're
talking	VVG	talk
about	IN	about
another	DT	another
incident	NN	incident
that	WDT	that
happened	VVD	happen
not	RB	not
far	RB	far
away	RP	away
uh	UH	uh
from	IN	from
that	DT	that
area	NN	area
where	WRB	where
they	PP	they
say	VVP	say
that	IN/that	that
the	DT	the
military	NN	military
responded	VVD	respond
with	IN	with
li	JJ	li
fire	NN	fire
as	IN	as
they	PP	they
uh	UH	uh
felt	VVD	feel
threatened	VVN	threaten
um	NNS	um
so	IN	so
the	DT	the
incident	NN	incident
is	VBZ	be
still	RB	still
under	IN	under
investigation	NN	investigation
we	PP	we
also	RB	also
heard	VVD	hear
from	IN	from
a	DT	a
um	JJ	um
government	NN	government
spokesperson	NN	spokesperson
he	PP	he
put	VV	put
uh	UH	uh
you	PP	you
know	VVP	know
the	DT	the
uh	UH	uh
numbers	NNS	number
that	IN/that	that
the	DT	the
health	NN	health
Ministry	NP	Ministry
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
put	VV	put
out	RP	out
there	RB	there
in	IN	in
question	NN	question
and	CC	and
he	PP	he
described	VVD	describe
it	PP	it
as	IN	as
a	DT	a
tragedy	NN	tragedy
but	CC	but
of	IN	of
course	NN	course
we	PP	we
should	MD	should
not	RB	not
forget	VV	forget
um	NNS	um
we	PP	we
have	VHP	have
been	VBN	be
hearing	VVG	hear
from	IN	from
eight	CD	eight
organizations	NNS	organization
from	IN	from
the	DT	the
United	NP	United
Nations	NPS	Nations
in	IN	in
the	DT	the
past	JJ	past
days	NNS	day
especially	RB	especially
warning	VVG	warn
of	IN	of
this	DT	this
extremely	RB	extremely
dire	JJ	dire
situation	NN	situation
especially	RB	especially
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
because	IN	because
they	PP	they
have	VHP	have
difficulties	NNS	difficulty
to	TO	to
reach	VV	reach
Gaza	NP	Gaza
and	CC	and
you	PP	you
see	VVP	see
on	IN	on
these	DT	these
pictures	VVZ	picture
uh	UH	uh
um	RB	um
coming	VVG	come
out	RP	out
how	WRB	how
desperately	RB	desperately
uh	UH	uh
people	NNS	people
are	VBP	be
trying	VVG	try
uh	UH	uh
to	TO	to
get	VV	get
the	DT	the
aid	NN	aid
they	PP	they
need	VVP	need
Tanya	NP	Tanya
kma	NP	kma
in	IN	in
Jerusalem	NP	Jerusalem
Tanya	NP	Tanya
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	DT	that
update	NN	update
</doc>	NN	</doc>
