seated	VVN	seat
Palestinian	JJ	Palestinian
territory	NN	territory
occupied	VVN	occupy
since	IN	since
1967	CD	@card@
including	VVG	include
measures	NNS	measure
aimed	VVN	aim
at	IN	at
altering	VVG	alter
the	DT	the
demographic	JJ	demographic
composition	NN	composition
character	NN	character
and	CC	and
status	NN	status
of	IN	of
the	DT	the
holy	JJ	holy
city	NN	city
of	IN	of
Jerusalem	NP	Jerusalem
and	CC	and
from	IN	from
its	PP$	its
adoption	NN	adoption
of	IN	of
related	JJ	related
discriminatory	JJ	discriminatory
legislation	NN	legislation
and	CC	and
measures	NNS	measure
B	NN	B
how	WRB	how
do	VVP	do
the	DT	the
policies	NNS	policy
and	CC	and
practices	NNS	practice
of	IN	of
Israel	NP	Israel
referred	VVD	refer
to	TO	to
in	IN	in
paragraph	NN	paragraph
18	CD	@card@
a	DT	a
affect	NN	affect
the	DT	the
legal	JJ	legal
status	NN	status
of	IN	of
the	DT	the
occupation	NN	occupation
and	CC	and
what	WP	what
are	VBP	be
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
that	WDT	that
arise	VVP	arise
for	IN	for
all	DT	all
states	NNS	state
and	CC	and
United	NP	United
Nations	NPS	Nations
from	IN	from
this	DT	this
status	NN	status
and	CC	and
of	IN	of
quote	NN	quote
in	IN	in
accordance	NN	accordance
with	IN	with
usual	JJ	usual
practice	NN	practice
I	PP	I
shall	MD	shall
not	RB	not
read	VV	read
out	RP	out
the	DT	the
introductory	JJ	introductory
paragraphs	NNS	paragraph
of	IN	of
the	DT	the
opinion	NN	opinion
will	MD	will
set	VV	set
out	RP	out
the	DT	the
main	JJ	main
elements	NNS	element
of	IN	of
the	DT	the
procedural	JJ	procedural
history	NN	history
or	CC	or
the	DT	the
proceedings	NNS	proceeding
I	PP	I
shall	MD	shall
also	RB	also
omit	VV	omit
or	CC	or
summarize	VV	summarize
some	DT	some
of	IN	of
the	DT	the
other	JJ	other
paragraphs	NNS	paragraph
of	IN	of
the	DT	the
opinion	NN	opinion
I	PP	I
shall	MD	shall
accordingly	RB	accordingly
begin	VV	begin
reading	VVG	read
The	DT	the
Advisory	NP	Advisory
opinion	NN	opinion
at	IN	at
paragraph	NN	paragraph
22	CD	@card@
the	DT	the
full	JJ	full
text	NN	text
of	IN	of
the	DT	the
opinion	NN	opinion
will	MD	will
of	IN	of
course	NN	course
be	VB	be
available	JJ	available
at	IN	at
the	DT	the
close	NN	close
of	IN	of
the	DT	the
sitting	NN	sitting
when	WRB	when
seized	VVN	seize
with	IN	with
the	DT	the
request	NN	request
for	IN	for
the	DT	the
advisor	NN	advisor
opinion	NN	opinion
the	DT	the
court	NN	court
must	MD	must
first	RB	first
consider	VV	consider
whether	IN	whether
it	PP	it
has	VHZ	have
jurisdiction	NN	jurisdiction
to	TO	to
give	VV	give
the	DT	the
opinion	NN	opinion
requested	VVD	request
and	CC	and
if	IN	if
so	RB	so
whether	IN	whether
there	EX	there
is	VBZ	be
any	DT	any
reason	NN	reason
why	WRB	why
the	DT	the
court	NN	court
should	MD	should
in	IN	in
the	DT	the
exercise	NN	exercise
of	IN	of
its	PP$	its
discretion	NN	discretion
decline	NN	decline
to	TO	to
answer	VV	answer
the	DT	the
request	NN	request
the	DT	the
court	NN	court
must	MD	must
satisfy	VV	satisfy
itself	PP	itself
in	IN	in
accordance	NN	accordance
with	IN	with
the	DT	the
requirement	NN	requirement
of	IN	of
article	NN	article
96	CD	@card@
of	IN	of
the	DT	the
charter	NN	charter
and	CC	and
article	NN	article
65	CD	@card@
of	IN	of
its	PP$	its
statute	NN	statute
that	IN/that	that
the	DT	the
question	NN	question
on	IN	on
which	WDT	which
it	PP	it
'	POS	'
s	NN	S
required	VVD	require
to	TO	to
give	VV	give
its	PP$	its
opinion	NN	opinion
is	VBZ	be
a	DT	a
legal	JJ	legal
question	NN	question
in	IN	in
the	DT	the
present	JJ	present
proceedings	NNS	proceeding
the	DT	the
general	JJ	general
assembly	NN	assembly
put	VVD	put
two	CD	two
questions	NNS	question
to	TO	to
the	DT	the
court	NN	court
these	DT	these
questions	NNS	question
relate	VVP	relate
first	JJ	first
to	TO	to
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
arising	VVG	arise
from	IN	from
certain	JJ	certain
policies	NNS	policy
and	CC	and
practices	NNS	practice
of	IN	of
Israel	NP	Israel
as	IN	as
an	DT	an
occupying	JJ	occupying
power	NN	power
in	IN	in
a	DT	a
situation	NN	situation
of	IN	of
belligerent	JJ	belligerent
occupation	NN	occupation
since	IN	since
1967	CD	@card@
secondly	RB	secondly
they	PP	they
relate	VVP	relate
to	TO	to
how	WRB	how
such	JJ	such
policies	NNS	policy
and	CC	and
practices	NNS	practice
affect	VVP	affect
the	DT	the
legal	JJ	legal
status	NN	status
of	IN	of
the	DT	the
occupation	NN	occupation
in	IN	in
l	NN	l
of	IN	of
certain	JJ	certain
rules	NNS	rule
and	CC	and
principle	NN	principle
of	IN	of
international	JJ	international
law	NN	law
and	CC	and
to	TO	to
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
which	WDT	which
arise	VVP	arise
from	IN	from
the	DT	the
status	NN	status
the	DT	the
court	NN	court
considers	VVZ	consider
that	IN/that	that
these	DT	these
questions	NNS	question
are	VBP	be
legal	JJ	legal
questions	NNS	question
in	IN	in
light	NN	light
of	IN	of
the	DT	the
above	IN	above
the	DT	the
court	NN	court
concludes	VVZ	conclude
that	IN/that	that
the	DT	the
request	NN	request
has	VHZ	have
been	VBN	be
made	VVN	make
in	IN	in
accordance	NN	accordance
with	IN	with
the	DT	the
provisions	NNS	provision
of	IN	of
the	DT	the
charter	NN	charter
and	CC	and
of	IN	of
the	DT	the
statute	NN	statute
of	IN	of
the	DT	the
court	NN	court
and	CC	and
therefore	RB	therefore
that	IN/that	that
it	PP	it
has	VHZ	have
jurisdiction	NN	jurisdiction
to	TO	to
render	VV	render
the	DT	the
requested	VVN	request
opinion	NN	opinion
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
court	NN	court
has	VHZ	have
jurisdiction	NN	jurisdiction
to	TO	to
give	VV	give
an	DT	an
advisory	JJ	advisory
opinion	NN	opinion
does	VVZ	do
not	RB	not
mean	VV	mean
that	IN/that	that
it	PP	it
is	VBZ	be
obliged	VVN	oblige
to	TO	to
exercise	VV	exercise
it	PP	it
however	RB	however
only	RB	only
compelling	JJ	compelling
reasons	NNS	reason
may	MD	may
lead	VV	lead
the	DT	the
court	NN	court
to	TO	to
refuse	VV	refuse
to	TO	to
give	VV	give
its	PP$	its
opinion	NN	opinion
in	IN	in
response	NN	response
to	TO	to
a	DT	a
request	NN	request
falling	VVG	fall
within	IN	within
its	PP$	its
jurisdiction	NN	jurisdiction
some	DT	some
participants	NNS	participant
in	IN	in
the	DT	the
present	JJ	present
proceedings	NNS	proceeding
have	VHP	have
argued	VVN	argue
that	IN/that	that
there	EX	there
are	VBP	be
compelling	JJ	compelling
reasons	NNS	reason
for	IN	for
the	DT	the
court	NN	court
to	TO	to
decline	VV	decline
to	TO	to
give	VV	give
its	PP$	its
opinion	NN	opinion
as	RB	as
to	TO	to
the	DT	the
argument	NN	argument
that	IN/that	that
the	DT	the
request	NN	request
raised	VVD	raise
to	TO	to
a	DT	a
dispute	NN	dispute
between	IN	between
two	CD	two
parties	NNS	party
one	CD	one
of	IN	of
which	WDT	which
has	VHZ	have
not	RB	not
consented	VVN	consent
to	TO	to
the	DT	the
jurisdiction	NN	jurisdiction
of	IN	of
the	DT	the
Court	NP	Court
the	DT	the
court	NN	court
considers	VVZ	consider
that	IN/that	that
the	DT	the
subject	JJ	subject
matter	NN	matter
of	IN	of
the	DT	the
request	NN	request
is	VBZ	be
not	RB	not
only	RB	only
a	DT	a
bilateral	JJ	bilateral
matter	NN	matter
between	IN	between
Israel	NP	Israel
and	CC	and
Palestine	NP	Palestine
but	CC	but
it	PP	it
is	VBZ	be
of	IN	of
particular	JJ	particular
interest	NN	interest
and	CC	and
concern	NN	concern
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
that	IN/that	that
giving	VVG	give
the	DT	the
opinion	NN	opinion
requested	VVD	request
does	VVZ	do
not	RB	not
have	VH	have
effect	NN	effect
of	IN	of
circumventing	VVG	circumvent
the	DT	the
principle	NN	principle
of	IN	of
consent	NN	consent
to	TO	to
judicial	JJ	judicial
settlement	NN	settlement
as	RB	as
to	TO	to
the	DT	the
argument	NN	argument
that	IN/that	that
the	DT	the
Court	NP	Court
'	POS	'
s	NN	S
opinion	NN	opinion
would	MD	would
not	RB	not
assist	VV	assist
the	DT	the
general	JJ	general
assembly	NN	assembly
in	IN	in
the	DT	the
performance	NN	performance
of	IN	of
its	PP$	its
functions	NNS	function
the	DT	the
court	NN	court
considers	VVZ	consider
that	IN/that	that
it	PP	it
cannot	MD	can
substitute	VV	substitute
its	PP$	its
own	JJ	own
assessment	NN	assessment
of	IN	of
the	DT	the
need	NN	need
for	IN	for
such	PDT	such
an	DT	an
opinion	NN	opinion
with	IN	with
that	DT	that
of	IN	of
the	DT	the
organ	NN	organ
requesting	VVG	request
it	PP	it
as	IN	as
to	TO	to
the	DT	the
argument	NN	argument
that	IN/that	that
the	DT	the
opinion	NN	opinion
of	IN	of
the	DT	the
Court	NP	Court
would	MD	would
have	VH	have
an	DT	an
adverse	JJ	adverse
effect	NN	effect
on	IN	on
the	DT	the
negotiation	NN	negotiation
framework	NN	framework
the	DT	the
court	NN	court
considers	VVZ	consider
that	IN/that	that
it	PP	it
is	VBZ	be
a	DT	a
matter	NN	matter
of	IN	of
conjecture	NN	conjecture
on	IN	on
which	WDT	which
the	DT	the
court	NN	court
should	MD	should
not	RB	not
speculate	VV	speculate
as	RB	as
to	TO	to
the	DT	the
argument	NN	argument
that	IN/that	that
the	DT	the
court	NN	court
does	VVZ	do
not	RB	not
have	VH	have
sufficient	JJ	sufficient
information	NN	information
to	TO	to
enable	VV	enable
it	PP	it
to	TO	to
give	VV	give
an	DT	an
advisor	NN	advisor
opinion	NN	opinion
the	DT	the
court	NN	court
considers	VVZ	consider
that	IN/that	that
it	PP	it
has	VHZ	have
before	IN	before
it	PP	it
sufficient	JJ	sufficient
information	NN	information
to	TO	to
decide	VV	decide
legal	JJ	legal
questions	NNS	question
any	RB	any
a	DT	a
matter	NN	matter
any	RB	any
a	DT	a
manner	NN	manner
consistent	JJ	consistent
with	IN	with
its	PP$	its
judicial	JJ	judicial
function	NN	function
as	RB	as
to	TO	to
the	DT	the
argument	NN	argument
that	IN/that	that
the	DT	the
questions	NNS	question
are	VBP	be
formulated	VVN	formulate
in	IN	in
a	DT	a
biased	VVN	bias
manner	NN	manner
the	DT	the
court	NN	court
does	VVZ	do
not	RB	not
consider	VV	consider
that	IN/that	that
the	DT	the
general	JJ	general
assembly	NN	assembly
intended	VVN	intend
to	TO	to
restrict	VV	restrict
the	DT	the
Court	NP	Court
'	POS	'
s	JJ	s
freedom	NN	freedom
to	TO	to
determine	VV	determine
these	DT	these
issues	NNS	issue
the	DT	the
court	NN	court
will	MD	will
assertain	VV	assertain
for	IN	for
itself	PP	itself
whether	IN	whether
Israel	NP	Israel
'	POS	'
s	NN	S
policies	NNS	policy
and	CC	and
practices	NNS	practice
are	VBP	be
in	IN	in
violation	NN	violation
of	IN	of
the	DT	the
applicable	JJ	applicable
rules	NNS	rule
and	CC	and
principles	NNS	principle
of	IN	of
international	JJ	international
law	NN	law
before	IN	before
determining	VVG	determine
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
of	IN	of
any	DT	any
such	JJ	such
violations	NNS	violation
having	VHG	have
examined	VVN	examine
each	DT	each
of	IN	of
these	DT	these
arguments	NNS	argument
in	IN	in
turn	NN	turn
the	DT	the
court	NN	court
concludes	VVZ	conclude
that	IN/that	that
there	EX	there
are	VBP	be
no	DT	no
compelling	JJ	compelling
reasons	NNS	reason
for	IN	for
it	PP	it
to	TO	to
decline	VV	decline
to	TO	to
give	VV	give
the	DT	the
opinion	NN	opinion
requested	VVN	request
by	IN	by
the	DT	the
general	JJ	general
assembly	NN	assembly
the	DT	the
court	NN	court
then	RB	then
records	VVZ	record
the	DT	the
general	JJ	general
context	NN	context
of	IN	of
the	DT	the
case	NN	case
before	IN	before
turning	VVG	turn
to	TO	to
the	DT	the
scope	NN	scope
and	CC	and
meaning	NN	meaning
of	IN	of
the	DT	the
questions	NNS	question
posed	VVN	pose
by	IN	by
the	DT	the
general	JJ	general
assembly	NN	assembly
in	IN	in
this	DT	this
regard	NN	regard
the	DT	the
court	NN	court
notes	VVZ	note
that	IN/that	that
the	DT	the
questions	NNS	question
Define	VVP	define
the	DT	the
material	NN	material
Territorial	JJ	territorial
and	CC	and
temporal	JJ	temporal
scope	NN	scope
of	IN	of
the	DT	the
Court	NP	Court
'	POS	'
s	JJ	s
inquiry	NN	inquiry
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
material	NN	material
scope	NN	scope
questions	VVZ	question
a	DT	a
identifies	VVZ	identify
three	CD	three
types	NNS	type
conduct	VV	conduct
which	WDT	which
question	NN	question
B	NP	B
describes	VVZ	describe
as	IN	as
policies	NNS	policy
and	CC	and
practices	NNS	practice
of	IN	of
Israel	NP	Israel
first	RB	first
the	DT	the
ongoing	JJ	ongoing
violation	NN	violation
by	IN	by
Israel	NP	Israel
of	IN	of
the	DT	the
right	NN	right
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
to	TO	to
self	JJ	self
-	NN	-
determination	NN	determination
second	JJ	second
Israel	NP	Israel
'	POS	'
s	JJ	s
prolonged	JJ	prolonged
occupation	NN	occupation
settlement	NN	settlement
and	CC	and
annexation	NN	annexation
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
occupied	VVN	occupy
since	IN	since
Jerusalem	NP	Jerusalem
third	JJ	third
Israel	NP	Israel
'	POS	'
s	JJ	s
adoption	NN	adoption
of	IN	of
measures	NNS	measure
the	DT	the
specific	JJ	specific
scope	NN	scope
of	IN	of
each	DT	each
of	IN	of
these	DT	these
policies	NNS	policy
and	CC	and
practices	NNS	practice
is	VBZ	be
determined	VVN	determine
later	RBR	later
as	IN	as
the	DT	the
court	NN	court
examined	VVD	examine
them	PP	them
in	IN	in
turn	NN	turn
before	IN	before
turning	VVG	turn
to	TO	to
that	DT	that
examination	NN	examination
the	DT	the
court	NN	court
limits	VVZ	limit
itself	PP	itself
to	TO	to
observing	VVG	observe
a	DT	a
feature	NN	feature
common	JJ	common
to	TO	to
all	DT	all
of	IN	of
them	PP	them
namely	RB	namely
that	IN/that	that
the	DT	the
term	NN	term
of	IN	of
question	NN	question
that	IN/that	that
the	DT	the
terms	NNS	term
of	IN	of
question	NN	question
a	DT	a
assume	VVP	assume
that	IN/that	that
these	DT	these
policies	NNS	policy
and	CC	and
practices	NNS	practice
are	VBP	be
contrary	JJ	contrary
to	TO	to
international	JJ	international
law	NN	law
by	IN	by
virtue	NN	virtue
of	IN	of
its	PP$	its
judicial	JJ	judicial
function	NN	function
however	RB	however
the	DT	the
course	NN	course
must	MD	must
itself	PP	itself
determin	NN	determin
the	DT	the
lawfulness	NN	lawfulness
of	IN	of
the	DT	the
policies	NNS	policy
and	CC	and
practices	NNS	practice
identified	VVN	identify
by	IN	by
the	DT	the
general	JJ	general
assembly	NN	assembly
in	IN	in
the	DT	the
present	JJ	present
case	NN	case
the	DT	the
court	NN	court
considered	VVD	consider
that	DT	that
question	NN	question
a	DT	a
required	VVD	require
an	DT	an
assessment	NN	assessment
of	IN	of
the	DT	the
Conformity	NN	conformity
with	IN	with
international	JJ	international
law	NN	law
of	IN	of
those	DT	those
polies	NNS	polies
and	CC	and
practices	NNS	practice
of	IN	of
Israel	NP	Israel
identified	VVN	identify
in	IN	in
the	DT	the
request	NN	request
the	DT	the
court	NN	court
considers	VVZ	consider
that	IN/that	that
in	IN	in
its	PP$	its
request	NN	request
the	DT	the
general	JJ	general
assembly	NN	assembly
has	VHZ	have
not	RB	not
sought	VVN	seek
from	IN	from
the	DT	the
court	NN	court
a	DT	a
detail	NN	detail
factual	JJ	factual
determination	NN	determination
of	IN	of
Israel	NP	Israel
'	POS	'
s	NN	S
policies	NNS	policy
and	CC	and
practices	NNS	practice
therefore	RB	therefore
in	IN	in
order	NN	order
to	TO	to
give	VV	give
an	DT	an
advisor	NN	advisor
opinion	NN	opinion
in	IN	in
this	DT	this
case	NN	case
it	PP	it
'	POS	'
s	NN	S
not	RB	not
necessary	JJ	necessary
for	IN	for
the	DT	the
court	NN	court
to	TO	to
make	VV	make
findings	NNS	finding
of	IN	of
fact	NN	fact
with	IN	with
regard	NN	regard
to	TO	to
specific	JJ	specific
incidents	NNS	incident
allegedly	RB	allegedly
in	IN	in
violation	NN	violation
of	IN	of
international	JJ	international
law	NN	law
the	DT	the
court	NN	court
need	MD	need
only	RB	only
establish	VV	establish
the	DT	the
main	JJ	main
features	NNS	feature
of	IN	of
Israel	NP	Israel
policies	NNS	policy
and	CC	and
practices	NNS	practice
and	CC	and
on	IN	on
that	DT	that
basis	NN	basis
assess	VV	assess
the	DT	the
conf	NN	conf
formity	NN	formity
of	IN	of
these	DT	these
policies	NNS	policy
and	CC	and
practices	NNS	practice
with	IN	with
international	JJ	international
law	NN	law
in	IN	in
terms	NNS	term
of	IN	of
its	PP$	its
teritorial	JJ	teritorial
scope	NN	scope
question	NN	question
a	DT	a
refers	VVZ	refer
to	TO	to
and	CC	and
I	PP	I
quote	VVP	quote
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
occupied	VVN	occupy
since	IN	since
1967	CD	@card@
unquote	VVP	unquote
which	WDT	which
encompasses	VVZ	encompass
the	DT	the
West	NP	West
Bank	NP	Bank
East	NP	East
Jerusalem	NP	Jerusalem
and	CC	and
the	DT	the
gasa	NN	gasa
strip	VV	strip
the	DT	the
court	NN	court
notes	VVZ	note
that	IN/that	that
the	DT	the
various	JJ	various
United	NP	United
Nations	NPS	Nations
organs	NNS	organ
and	CC	and
bodies	NNS	body
frequently	RB	frequently
make	VVP	make
specific	JJ	specific
reference	NN	reference
to	TO	to
the	DT	the
different	JJ	different
parts	NNS	part
of	IN	of
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
the	DT	the
court	NN	court
also	RB	also
does	VVZ	do
so	RB	so
in	IN	in
the	DT	the
present	JJ	present
adviser	NN	adviser
opinion	NN	opinion
as	IN	as
appropriate	JJ	appropriate
however	RB	however
the	DT	the
court	NN	court
recalls	VVZ	recall
that	IN/that	that
from	IN	from
a	DT	a
legal	JJ	legal
standpoint	NN	standpoint
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
constitutes	VVZ	constitute
a	DT	a
single	JJ	single
territorial	JJ	territorial
unit	NN	unit
uh	UH	uh
uh	UH	uh
unit	NN	unit
the	DT	the
unity	NN	unity
contiguity	NN	contiguity
and	CC	and
integrity	NN	integrity
of	IN	of
which	WDT	which
is	VBZ	be
to	TO	to
be	VB	be
preserved	VVN	preserve
and	CC	and
respected	VVN	respect
thus	RB	thus
all	DT	all
references	NNS	reference
in	IN	in
this	DT	this
opinion	NN	opinion
to	TO	to
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
are	VBP	be
references	NNS	reference
to	TO	to
a	DT	a
single	JJ	single
territorial	JJ	territorial
unit	NN	unit
the	DT	the
court	NN	court
further	RBR	further
observes	VVZ	observe
that	IN/that	that
the	DT	the
question	NN	question
mentions	VVZ	mention
measures	NNS	measure
pertaining	VVG	pertain
to	TO	to
the	DT	the
holy	JJ	holy
city	NN	city
of	IN	of
Jerusalem	NP	Jerusalem
the	DT	the
ordinary	JJ	ordinary
meaning	NN	meaning
of	IN	of
this	DT	this
term	NN	term
is	VBZ	be
ambiguous	JJ	ambiguous
and	CC	and
may	MD	may
be	VB	be
subject	JJ	subject
to	TO	to
multiple	JJ	multiple
interpretations	NNS	interpretation
but	CC	but
the	DT	the
context	NN	context
provides	VVZ	provide
useful	JJ	useful
clarification	NN	clarification
in	IN	in
the	DT	the
present	JJ	present
case	NN	case
in	IN	in
light	NN	light
of	IN	of
this	DT	this
context	NN	context
the	DT	the
quote	NN	quote
is	VBZ	be
of	IN	of
you	PP	you
that	IN/that	that
the	DT	the
question	NN	question
posed	VVN	pose
by	IN	by
the	DT	the
general	JJ	general
assembly	NN	assembly
relating	VVG	relate
to	TO	to
the	DT	the
holy	JJ	holy
city	NN	city
of	IN	of
Jerusalem	NP	Jerusalem
is	VBZ	be
confined	VVN	confine
to	TO	to
measures	NNS	measure
taken	VVN	take
by	IN	by
Israel	NP	Israel
in	IN	in
East	NP	East
Jerusalem	NP	Jerusalem
in	IN	in
terms	NNS	term
of	IN	of
its	PP$	its
temporal	JJ	temporal
scope	NN	scope
question	NN	question
a	DT	a
requests	NNS	request
the	DT	the
court	NN	court
to	TO	to
take	VV	take
account	NN	account
of	IN	of
measures	NNS	measure
adopted	VVN	adopt
by	IN	by
Israel	NP	Israel
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
since	IN	since
1967	CD	@card@
however	RB	however
the	DT	the
court	NN	court
is	VBZ	be
not	RB	not
precluded	VVN	preclude
from	IN	from
having	VHG	have
regard	NN	regard
to	TO	to
facts	NNS	fact
predating	VVG	predate
the	DT	the
occupation	NN	occupation
to	TO	to
the	DT	the
extent	NN	extent
that	IN/that	that
this	DT	this
is	VBZ	be
necessary	JJ	necessary
for	IN	for
the	DT	the
proper	JJ	proper
discharge	NN	discharge
of	IN	of
its	PP$	its
judicial	JJ	judicial
function	NN	function
the	DT	the
court	NN	court
notes	VVZ	note
that	IN/that	that
the	DT	the
request	NN	request
for	IN	for
an	DT	an
advisor	NN	advisor
opinion	NN	opinion
was	VBD	be
adopted	VVN	adopt
by	IN	by
the	DT	the
general	JJ	general
assembly	NN	assembly
on	IN	on
2022	CD	@card@
and	CC	and
as	IN	as
the	DT	the
court	NN	court
to	TO	to
address	VV	address
Israel	NP	Israel
'	POS	'
s	NN	S
I	PP	I
quote	VVP	quote
ongoing	JJ	ongoing
or	CC	or
I	PP	I
quote	VVP	quote
again	RB	again
continuing	VVG	continue
practices	NNS	practice
thus	RB	thus
the	DT	the
court	NN	court
is	VBZ	be
of	IN	of
the	DT	the
view	NN	view
that	IN/that	that
the	DT	the
policies	NNS	policy
and	CC	and
practices	NNS	practice
contemplated	VVN	contemplate
by	IN	by
the	DT	the
request	NN	request
of	IN	of
the	DT	the
general	JJ	general
assembly	NN	assembly
do	VVP	do
not	RB	not
include	VV	include
conduct	NN	conduct
by	IN	by
Israel	NP	Israel
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
response	NN	response
to	TO	to
the	DT	the
attack	NN	attack
carried	VVD	carry
out	RP	out
against	IN	against
it	PP	it
by	IN	by
Hamas	JJ	Hamas
and	CC	and
other	JJ	other
armed	JJ	armed
group	NN	group
on	IN	on
October	NP	October
7	CD	@card@
2023	CD	@card@
question	NN	question
B	NN	B
has	VHZ	have
two	CD	two
parts	NNS	part
the	DT	the
first	JJ	first
