earlier	RBR	earlier
and	CC	and
medical	JJ	medical
supplies	NNS	supply
before	IN	before
this	DT	this
war	NN	war
started	VVD	start
19	CD	@card@
days	NNS	day
ago	RB	ago
and	CC	and
we	PP	we
are	VBP	be
facilitating	VVG	facilitate
and	CC	and
indeed	RB	indeed
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
several	JJ	several
trucks	NNS	truck
come	VVP	come
in	RP	in
from	IN	from
through	IN	through
Rafa	NP	Rafa
Mr	NP	Mr
sorry	JJ	sorry
War	NP	War
need	MD	need
change	VV	change
the	DT	the
Paradigm	NN	paradigm
sorry	JJ	sorry
I	NP	I
I	PP	I
I	PP	I
just	RB	just
wanted	VVD	want
to	TO	to
to	TO	to
ask	VV	ask
you	PP	you
you	PP	you
I	PP	I
see	VVP	see
your	PP$	your
points	NNS	point
there	RB	there
but	CC	but
I	PP	I
was	VBD	be
wondering	VVG	wonder
about	IN	about
a	DT	a
ceasefire	NN	ceasefire
or	CC	or
a	DT	a
pause	VV	pause
uh	UH	uh
are	VBP	be
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
military	NN	military
planning	VVG	plan
a	DT	a
pause	NN	pause
in	IN	in
the	DT	the
fighting	NN	fighting
or	CC	or
ceasefire	NN	ceasefire
the	DT	the
IDF	NP	IDF
is	VBZ	be
continuing	VVG	continue
its	PP$	its
strikes	NNS	strike
against	IN	against
Hamas	NN	Hamas
that	WDT	that
is	VBZ	be
our	PP$	our
mission	NN	mission
that	WDT	that
is	VBZ	be
our	PP$	our
goal	NN	goal
at	IN	at
this	DT	this
time	NN	time
I	PP	I
'	POS	'
m	NN	m
not	RB	not
aware	JJ	aware
of	IN	of
any	DT	any
plans	NNS	plan
to	TO	to
conduct	VV	conduct
a	DT	a
ceasefire	NN	ceasefire
or	CC	or
any	DT	any
need	NN	need
for	IN	for
or	CC	or
any	DT	any
need	NN	need
for	IN	for
that	DT	that
at	IN	at
this	DT	this
time	NN	time
indeed	RB	indeed
we	PP	we
'	POS	'
re	NN	re
listening	VVG	listen
to	TO	to
the	DT	the
international	JJ	international
actors	NNS	actor
and	CC	and
and	CC	and
we	PP	we
are	VBP	be
listening	VVG	listen
very	RB	very
carefully	RB	carefully
but	CC	but
nevertheless	RB	nevertheless
the	DT	the
time	NN	time
has	VHZ	have
come	VVN	come
where	WRB	where
Hamas	NP	Hamas
has	VHZ	have
to	TO	to
go	VV	go
all	DT	all
right	NN	right
now	RB	now
let	VVD	let
'	''	'
s	NNS	s
talk	VVP	talk
about	RB	about
fuel	VV	fuel
uh	UH	uh
fuel	NN	fuel
is	VBZ	be
not	RB	not
being	VBG	be
allowed	VVN	allow
into	IN	into
Gaza	NP	Gaza
it	PP	it
'	POS	'
s	NN	S
desperately	RB	desperately
needed	VVN	need
for	IN	for
hospitals	NNS	hospital
and	CC	and
sanitation	NN	sanitation
as	IN	as
you	PP	you
know	VV	know
uh	UH	uh
your	PP$	your
government	NN	government
says	VVZ	say
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
hoarding	VVG	hoard
fuel	NN	fuel
but	CC	but
even	RB	even
if	IN	if
that	DT	that
'	''	'
s	VVG	s
the	DT	the
case	NN	case
what	WP	what
speaks	VVZ	speak
against	IN	against
the	DT	the
UN	NP	UN
supplying	VVG	supply
fuel	NN	fuel
to	TO	to
hospitals	NNS	hospital
and	CC	and
desalination	NN	desalination
plants	NNS	plant
ask	VVP	ask
Hamas	NN	Hamas
that	WDT	that
is	VBZ	be
precisely	RB	precisely
the	DT	the
problem	NN	problem
Hamas	NN	Hamas
is	VBZ	be
controlling	VVG	control
the	DT	the
dimmer	NN	dimmer
of	IN	of
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
or	CC	or
the	DT	the
image	NN	image
of	IN	of
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
that	WDT	that
is	VBZ	be
developing	VVG	develop
Hamas	NNS	Hamas
has	VHZ	have
the	DT	the
fuel	NN	fuel
fuel	VV	fuel
it	PP	it
'	POS	'
s	JJ	s
holding	NN	holding
it	PP	it
has	VHZ	have
the	DT	the
ability	NN	ability
the	DT	the
the	DT	the
request	NN	request
for	IN	for
fuel	NN	fuel
needs	VVZ	need
to	TO	to
go	VV	go
not	RB	not
to	TO	to
Israel	NP	Israel
but	CC	but
to	TO	to
Hamas	VV	Hamas
they	PP	they
are	VBP	be
the	DT	the
governing	VVG	govern
authority	NN	authority
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
they	PP	they
are	VBP	be
set	VVN	set
claiming	VVG	claim
the	DT	the
responsibility	NN	responsibility
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
they	PP	they
should	MD	should
instead	RB	instead
of	IN	of
hoarding	VVG	hoard
the	DT	the
fuel	NN	fuel
for	IN	for
their	PP$	their
Terror	NN	terror
tunnel	NN	tunnel
so	RB	so
that	IN/that	that
they	PP	they
can	MD	can
have	VH	have
ventilation	NN	ventilation
or	CC	or
for	IN	for
their	PP$	their
rockets	NNS	rocket
for	IN	for
propellant	NN	propellant
fuel	NN	fuel
or	CC	or
whatever	WDT	whatever
they	PP	they
'	POS	'
re	NN	re
doing	VVG	do
with	IN	with
it	PP	it
they	PP	they
should	MD	should
give	VV	give
it	PP	it
to	TO	to
the	DT	the
hospitals	NNS	hospital
they	PP	they
should	MD	should
give	VV	give
it	PP	it
to	TO	to
the	DT	the
people	NNS	people
for	IN	for
the	DT	the
water	NN	water
pumps	NNS	pump
that	WDT	that
is	VBZ	be
the	DT	the
right	JJ	right
thing	NN	thing
to	TO	to
do	VV	do
they	PP	they
should	MD	should
do	VV	do
it	PP	it
the	DT	the
world	NN	world
needs	VVZ	need
to	TO	to
Rally	VV	rally
around	RP	around
this	DT	this
chain	NN	chain
of	IN	of
regime	NN	regime
so	IN	so
that	WDT	that
Hamas	NP	Hamas
can	MD	can
never	RB	never
hold	VV	hold
israeli	NP	Israeli
'	POS	'
s	NN	S
hostage	NN	hostage
222	NP	@card@
Israel	NP	Israel
being	VBG	be
hostaged	VVN	hostaged
this	DT	this
morning	NN	morning
or	CC	or
the	DT	the
people	NNS	people
the	DT	the
2002	CD	@card@
million	CD	million
people	NNS	people
of	IN	of
Gaza	NP	Gaza
hostage	NN	hostage
I	PP	I
do	VVP	do
want	VV	want
to	TO	to
ask	VV	ask
you	PP	you
about	IN	about
those	DT	those
hostages	NNS	hostage
in	IN	in
just	RB	just
a	DT	a
moment	NN	moment
but	CC	but
um	NNS	um
regarding	VVG	regard
the	DT	the
fuel	NN	fuel
um	NN	um
you	PP	you
know	VVP	know
that	IN/that	that
the	DT	the
un	JJ	un
uh	UH	uh
organization	NN	organization
that	RB	that
'	POS	'
s	NNS	s
operating	VVG	operate
in	IN	in
Gaza	NP	Gaza
providing	VVG	provide
relief	NN	relief
to	TO	to
refugees	NNS	refugee
it	PP	it
says	VVZ	say
it	PP	it
'	''	'
s	NNS	s
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
stop	VV	stop
its	PP$	its
operations	NNS	operation
uh	UH	uh
if	IN	if
it	PP	it
doesn	NN	doesn
'	POS	'
t	NN	t
get	VVP	get
fuel	NN	fuel
coming	VVG	come
in	IN	in
uh	UH	uh
today	NN	today
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
is	VBZ	be
going	VVG	go
to	TO	to
happen	VV	happen
in	IN	in
Gaza	NP	Gaza
if	IN	if
the	DT	the
UN	NP	UN
is	VBZ	be
no	RB	no
longer	RBR	longer
operating	VVG	operate
well	RB	well
it	PP	it
'	POS	'
s	NN	S
not	RB	not
important	JJ	important
what	WP	what
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NN	S
important	JJ	important
what	WP	what
they	PP	they
do	VVP	do
and	CC	and
they	PP	they
need	VVP	need
to	TO	to
demand	VV	demand
from	IN	from
Hamas	NN	Hamas
to	TO	to
instead	RB	instead
of	IN	of
holding	VVG	hold
the	DT	the
fuel	NN	fuel
they	PP	they
need	VVP	need
to	TO	to
give	VV	give
it	PP	it
to	TO	to
the	DT	the
people	NNS	people
that	WDT	that
are	VBP	be
in	IN	in
dire	JJ	dire
need	NN	need
and	CC	and
we	PP	we
'	POS	'
re	NN	re
not	RB	not
we	PP	we
'	POS	'
re	NN	re
not	RB	not
um	RB	um
saying	VVG	say
that	IN/that	that
there	EX	there
'	''	'
s	NNS	s
not	RB	not
a	DT	a
dire	JJ	dire
need	NN	need
of	IN	of
course	NN	course
when	WRB	when
you	PP	you
um	VVZ	um
when	WRB	when
we	PP	we
'	POS	'
ve	NN	ve
asked	VVD	ask
um	NN	um
a	DT	a
million	CD	million
people	NNS	people
to	TO	to
evacuate	VV	evacuate
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
to	TO	to
the	DT	the
South	NP	South
to	TO	to
get	VV	get
them	PP	them
out	RP	out
of	IN	of
Harm	NP	Harm
'	POS	'
s	NN	S
Way	NN	way
then	RB	then
there	RB	there
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
an	DT	an
increased	VVN	increase
need	NN	need
in	IN	in
the	DT	the
South	NP	South
and	CC	and
so	RB	so
Hamas	NNS	Hamas
need	VVP	need
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
the	DT	the
people	NNS	people
their	PP$	their
needs	NNS	need
is	VBZ	be
the	DT	the
responsibility	NN	responsibility
of	IN	of
Hamas	NN	Hamas
they	PP	they
are	VBP	be
the	DT	the
governing	VVG	govern
authority	NN	authority
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
they	PP	they
decided	VVD	decide
as	IN	as
a	DT	a
governing	VVG	govern
authority	NN	authority
to	TO	to
go	VV	go
to	TO	to
war	NN	war
with	IN	with
Israel	NP	Israel
you	PP	you
can	MD	can
'	''	'
t	NN	t
expect	VVP	expect
Israel	NP	Israel
to	TO	to
give	VV	give
Hamas	JJ	Hamas
fuel	NN	fuel
that	WDT	that
is	VBZ	be
it	PP	it
'	POS	'
s	VVG	s
quite	PDT	quite
a	DT	a
simple	JJ	simple
conundrum	NN	conundrum
unfortunately	RB	unfortunately
uh	UH	uh
the	DT	the
international	JJ	international
humanitarian	JJ	humanitarian
organizations	NNS	organization
demanding	VVG	demand
this	DT	this
assistant	NN	assistant
come	VVN	come
from	IN	from
Israel	NP	Israel
are	VBP	be
missing	VVG	miss
the	DT	the
point	NN	point
Hamas	NNS	Hamas
need	VVP	need
to	TO	to
be	VB	be
held	VVN	hold
responsible	JJ	responsible
for	IN	for
their	PP$	their
actions	NNS	action
they	PP	they
need	VVP	need
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
they	PP	they
are	VBP	be
giving	VVG	give
the	DT	the
supplies	NNS	supply
to	TO	to
the	DT	the
hospitals	NNS	hospital
hospitals	NNS	hospital
have	VHP	have
only	JJ	only
fuel	NN	fuel
for	IN	for
one	CD	one
for	IN	for
one	CD	one
more	JJR	more
day	NN	day
but	CC	but
every	DT	every
day	NN	day
they	PP	they
keep	VVP	keep
giving	VVG	give
them	PP	them
fuel	VV	fuel
so	IN	so
it	PP	it
shows	VVZ	show
that	IN/that	that
Hamas	NNS	Hamas
are	VBP	be
actually	RB	actually
Distributing	VVG	distribute
well	RB	well
Ju	NP	Ju
Just	RB	just
to	TO	to
be	VB	be
clear	JJ	clear
I	PP	I
think	VVP	think
what	WP	what
they	PP	they
'	POS	'
re	NN	re
asking	VVG	ask
for	IN	for
is	VBZ	be
for	IN	for
the	DT	the
aid	VV	aid
uh	UH	uh
the	DT	the
fuel	NN	fuel
to	TO	to
come	VV	come
in	RP	in
from	IN	from
from	IN	from
Egypt	NP	Egypt
at	IN	at
that	DT	that
at	IN	at
that	DT	that
Crossing	VVG	cross
there	RB	there
and	CC	and
not	RB	not
asking	VVG	ask
for	IN	for
Israel	NP	Israel
to	TO	to
provide	VV	provide
the	DT	the
fuel	NN	fuel
itself	PP	itself
but	CC	but
to	TO	to
Simply	RB	simply
allow	VV	allow
it	PP	it
in	IN	in
for	IN	for
the	DT	the
humanitarian	JJ	humanitarian
work	NN	work
but	CC	but
I	PP	I
wanted	VVD	want
to	TO	to
move	VV	move
on	IN	on
to	TO	to
to	TO	to
something	NN	something
else	RB	else
the	DT	the
question	NN	question
of	IN	of
safe	JJ	safe
areas	NNS	area
in	IN	in
the	DT	the
South	NP	South
you	PP	you
you	PP	you
you	PP	you
referred	VVD	refer
to	TO	to
those	DT	those
uh	UH	uh
those	DT	those
areas	NNS	area
is	VBZ	be
are	VBP	be
also	RB	also
being	VBG	be
bombed	VVN	bomb
we	PP	we
plenty	NN	plenty
of	IN	of
eyewitnesses	NNS	eyewitness
um	NNS	um
confirm	VVP	confirm
that	IN/that	that
what	WP	what
are	VBP	be
you	PP	you
doing	VVG	do
to	TO	to
assure	VV	assure
that	IN/that	that
innocent	JJ	innocent
civilians	NNS	civilian
are	VBP	be
are	VBP	be
not	RB	not
being	VBG	be
killed	VVN	kill
uh	UH	uh
in	IN	in
those	DT	those
safe	JJ	safe
areas	NNS	area
soal	JJ	soal
so	IN	so
I	PP	I
just	RB	just
received	VVD	receive
a	DT	a
report	NN	report
that	IN/that	that
in	IN	in
the	DT	the
humanitarian	JJ	humanitarian
Zone	NP	Zone
that	IN/that	that
we	PP	we
designated	VVD	designate
that	IN/that	that
a	DT	a
rocket	NN	rocket
had	VHD	have
actually	RB	actually
been	VBN	be
fired	VVN	fire
out	RP	out
of	IN	of
that	DT	that
so	IN	so
that	WDT	that
poses	VVZ	pose
the	DT	the
exact	JJ	exact
challenge	NN	challenge
we	PP	we
are	VBP	be
facing	VVG	face
do	VV	do
we	PP	we
not	RB	not
protect	VV	protect
ourselves	PP	ourselves
because	IN	because
Hamas	NP	Hamas
is	VBZ	be
launching	VVG	launch
Rockets	NNS	rocket
behind	IN	behind
civilians	NNS	civilian
do	VVP	do
we	PP	we
not	RB	not
protect	VV	protect
our	PP$	our
civilians	NNS	civilian
this	DT	this
is	VBZ	be
the	DT	the
Dilemma	NN	dilemma
what	WP	what
we	PP	we
are	VBP	be
doing	VVG	do
is	VBZ	be
trying	VVG	try
to	TO	to
minimize	VV	minimize
the	DT	the
impact	NN	impact
we	PP	we
are	VBP	be
targeting	VVG	target
Hamas	NNS	Hamas
for	IN	for
sure	RB	sure
we	PP	we
will	MD	will
continue	VV	continue
to	TO	to
pursue	VV	pursue
this	DT	this
terrorist	JJ	terrorist
organization	NN	organization
that	WDT	that
brutally	RB	brutally
massacred	VVD	massacre
maimed	VVN	maim
uh	UH	uh
abducted	VVN	abduct
over	IN	over
1	CD	@card@
,	,	,
400	CD	@card@
people	NNS	people
1	CD	@card@
,	,	,
400	CD	@card@
men	NNS	man
women	NNS	woman
and	CC	and
children	NNS	child
when	WRB	when
they	PP	they
dismembered	VVD	dismember
when	WRB	when
they	PP	they
came	VVD	come
in	IN	in
and	CC	and
penetrated	VVD	penetrate
our	PP$	our
border	NN	border
they	PP	they
signed	VVD	sign
their	PP$	their
own	JJ	own
destiny	NN	destiny
they	PP	they
cannot	MD	can
be	VB	be
permitted	VVN	permit
to	TO	to
ever	RB	ever
hold	VV	hold
the	DT	the
power	NN	power
of	IN	of
government	NN	government
in	IN	in
Gaza	NP	Gaza
again	RB	again
to	TO	to
launch	VV	launch
such	PDT	such
a	DT	a
against	IN	against
Israel	NP	Israel
that	WDT	that
is	VBZ	be
the	DT	the
situation	NN	situation
unfortunately	RB	unfortunately
it	PP	it
is	VBZ	be
the	DT	the
civilians	NNS	civilian
of	IN	of
Gaza	NP	Gaza
that	WDT	that
have	VHP	have
been	VBN	be
let	VVN	let
down	RB	down
miserably	RB	miserably
by	IN	by
this	DT	this
terrorist	JJ	terrorist
organization	NN	organization
it	PP	it
is	VBZ	be
their	PP$	their
responsibility	NN	responsibility
to	TO	to
try	VV	try
and	CC	and
alleviate	VV	alleviate
those	DT	those
issues	NNS	issue
on	IN	on
the	DT	the
humanitarian	JJ	humanitarian
but	CC	but
also	RB	also
on	IN	on
security	NN	security
