us	PP	us
Israelis	NPS	Israelis
want	VVP	want
to	TO	to
see	VV	see
that	IN/that	that
after	IN	after
the	DT	the
war	NN	war
ends	VVZ	end
there	EX	there
should	MD	should
be	VB	be
new	JJ	new
elections	NNS	election
and	CC	and
yes	RB	yes
it	PP	it
seems	VVZ	seem
like	IN	like
in	IN	in
the	DT	the
face	NN	face
of	IN	of
the	DT	the
growing	VVG	grow
criticism	NN	criticism
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
has	VHZ	have
remained	VVN	remain
defiant	JJ	defiant
but	CC	but
how	WRB	how
long	RB	long
can	MD	can
he	PP	he
afford	VV	afford
to	TO	to
stay	VV	stay
the	DT	the
course	NN	course
well	RB	well
I	PP	I
think	VVP	think
he	PP	he
seems	VVZ	seem
to	TO	to
be	VB	be
quite	RB	quite
unfaced	JJ	unfaced
as	IN	as
you	PP	you
said	VVD	say
by	IN	by
the	DT	the
uh	UH	uh
criticism	NN	criticism
uh	UH	uh
he	PP	he
says	VVZ	say
uh	UH	uh
he	PP	he
wants	VVZ	want
to	TO	to
achieve	VV	achieve
the	DT	the
goals	NNS	goal
that	IN/that	that
he	PP	he
has	VHZ	have
set	VVN	set
to	TO	to
remove	VV	remove
Hamas	NNS	Hamas
from	IN	from
from	IN	from
power	NN	power
and	CC	and
also	RB	also
that	IN/that	that
the	DT	the
war	NN	war
continues	VVZ	continue
has	VHZ	have
to	TO	to
continue	VV	continue
as	RB	as
long	RB	long
as	IN	as
it	PP	it
takes	VVZ	take
but	CC	but
he	PP	he
is	VBZ	be
under	RB	under
more	RBR	more
pressure	VV	pressure
uh	UH	uh
internationally	RB	internationally
by	IN	by
his	PP$	his
allies	NNS	ally
the	DT	the
United	NP	United
States	NP	States
they	PP	they
want	VVP	want
to	TO	to
see	VV	see
a	DT	a
scaling	NN	scaling
down	RB	down
of	IN	of
the	DT	the
intensity	NN	intensity
of	IN	of
the	DT	the
war	NN	war
um	NN	um
a	DT	a
more	JJR	more
Aid	NP	Aid
uh	UH	uh
a	DT	a
more	JJR	more
protection	NN	protection
of	IN	of
the	DT	the
civilian	JJ	civilian
population	NN	population
in	IN	in
Gaza	NP	Gaza
but	CC	but
domestically	RB	domestically
as	RB	as
well	RB	well
there	EX	there
'	''	'
s	VVG	s
the	DT	the
issue	NN	issue
that	IN/that	that
he	PP	he
needs	VVZ	need
to	TO	to
bring	VV	bring
those	DT	those
hostages	NNS	hostage
home	NN	home
that	WDT	that
is	VBZ	be
very	RB	very
much	JJ	much
on	IN	on
the	DT	the
Public	NP	Public
'	POS	'
s	NNS	s
mind	VV	mind
his	PP$	his
popularity	NN	popularity
has	VHZ	have
dropped	VVN	drop
dramatically	RB	dramatically
um	JJ	um
in	IN	in
polls	NNS	poll
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
have	VHP	have
criticized	VVN	criticize
him	PP	him
because	IN	because
he	PP	he
didn	NN	didn
'	POS	'
t	NN	t
take	VV	take
so	RB	so
far	RB	far
responsibility	NN	responsibility
for	IN	for
the	DT	the
security	NN	security
failures	NNS	failure
uh	UH	uh
during	IN	during
the	DT	the
terror	NN	terror
attack	NN	attack
for	IN	for
the	DT	the
terror	NN	terror
attacks	VVZ	attack
uh	UH	uh
on	IN	on
o	NN	o
oober	NN	oober
7th	JJ	7th
you	PP	you
you	PP	you
started	VVD	start
touching	VVG	touch
on	IN	on
it	PP	it
a	DT	a
bit	NN	bit
but	CC	but
uh	UH	uh
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
this	DT	this
uh	UH	uh
there	EX	there
reports	VVZ	report
that	IN/that	that
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
are	VBP	be
close	JJ	close
to	TO	to
a	DT	a
deal	NN	deal
to	TO	to
Halt	NP	Halt
the	DT	the
fighting	NN	fighting
in	IN	in
return	NN	return
for	IN	for
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
well	RB	well
there	EX	there
have	VHP	have
been	VBN	be
a	DT	a
lot	NN	lot
of	IN	of
reports	NNS	report
here	RB	here
in	IN	in
the	DT	the
past	JJ	past
days	NNS	day
uh	UH	uh
but	CC	but
you	PP	you
know	VVP	know
these	DT	these
are	VBP	be
all	DT	all
talks	NNS	talk
that	WDT	that
are	VBP	be
happening	VVG	happen
behind	IN	behind
closed	JJ	closed
doors	NNS	door
so	IN	so
it	PP	it
'	POS	'
s	NN	S
very	RB	very
hard	JJ	hard
uh	UH	uh
to	TO	to
see	VV	see
where	WRB	where
they	PP	they
are	VBP	be
at	IN	at
at	IN	at
the	DT	the
moment	NN	moment
so	IN	so
there	EX	there
are	VBP	be
reports	NNS	report
now	RB	now
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
a	DT	a
four	CD	four
-	NN	-
way	NN	way
meeting	NN	meeting
supposed	VVN	suppose
to	TO	to
take	VV	take
take	VV	take
place	VV	place
uh	UH	uh
in	IN	in
uh	UH	uh
in	IN	in
France	NP	France
uh	UH	uh
um	NNS	um
from	IN	from
the	DT	the
uh	UH	uh
you	PP	you
know	VVP	know
this	DT	this
heads	NNS	head
of	IN	of
the	DT	the
C	NP	C
the	DT	the
mosad	NN	mosad
and	CC	and
the	DT	the
Kat	NP	Kat
Egyptian	NP	Egyptian
U	NP	U
mediators	NNS	mediator
uh	UH	uh
trying	VVG	try
to	TO	to
hammer	VV	hammer
out	RP	out
a	DT	a
new	JJ	new
deal	NN	deal
that	WDT	that
would	MD	would
be	VB	be
a	DT	a
phase	NN	phase
deal	NN	deal
where	WRB	where
first	JJ	first
some	DT	some
of	IN	of
the	DT	the
hostages	NNS	hostage
would	MD	would
be	VB	be
released	VVN	release
uh	UH	uh
uh	UH	uh
in	IN	in
exchange	NN	exchange
for	IN	for
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
held	VVN	hold
in	IN	in
Israeli	JJ	Israeli
uh	UH	uh
prisons	NNS	prison
and	CC	and
also	RB	also
a	DT	a
longer	JJR	long
period	NN	period
of	IN	of
a	DT	a
temporary	JJ	temporary
ceasefire	NN	ceasefire
but	CC	but
of	IN	of
course	NN	course
Hamas	NN	Hamas
has	VHZ	have
always	RB	always
said	VVN	say
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
see	VV	see
a	DT	a
full	JJ	full
stop	NN	stop
of	IN	of
the	DT	the
hostilities	NNS	hostility
and	CC	and
a	DT	a
full	JJ	full
withdrawal	NN	withdrawal
of	IN	of
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
from	IN	from
Gaza	NP	Gaza
so	IN	so
it	PP	it
'	POS	'
s	NN	S
still	RB	still
to	TO	to
see	VV	see
how	WRB	how
this	DT	this
will	MD	will
play	VV	play
out	RP	out
right	JJ	right
DW	NN	DW
correspondent	NN	correspondent
Tanya	NP	Tanya
kma	NP	kma
thank	VVP	thank
