two	CD	two
2	CD	@card@
.	SENT	.
2	CD	@card@
million	CD	million
people	NNS	people
so	RB	so
imagine	VVP	imagine
like	IN	like
a	DT	a
60	CD	@card@
more	JJR	more
than	IN	than
60	CD	@card@
million	CD	million
people	NNS	people
in	IN	in
Germany	NP	Germany
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
huge	JJ	huge
the	DT	the
majority	NN	majority
of	IN	of
the	DT	the
people	NNS	people
this	DT	this
place	NN	place
and	CC	and
93	CD	@card@
%	NN	%
of	IN	of
them	PP	them
starving	VVG	starve
so	RB	so
that	WDT	that
is	VBZ	be
what	WP	what
the	DT	the
court	NN	court
describ	NN	describ
quoting	VVG	quote
different	JJ	different
sources	NNS	source
so	IN	so
that	WDT	that
is	VBZ	be
very	RB	very
compelling	JJ	compelling
and	CC	and
his	PP$	his
idea	NN	idea
this	DT	this
could	MD	could
not	RB	not
happen	VV	happen
yes	UH	yes
no	UH	no
one	CD	one
like	IN	like
Hamas	NNS	Hamas
attacking	VVG	attack
Israelis	NPS	Israelis
no	DT	no
one	CD	one
condemned	VVD	condemn
that	DT	that
everyone	NN	everyone
accept	VVP	accept
Israel	NP	Israel
had	VHD	have
the	DT	the
right	NN	right
to	TO	to
defend	VV	defend
itself	PP	itself
but	CC	but
this	DT	this
could	MD	could
not	RB	not
happen	VV	happen
this	DT	this
attack	NN	attack
on	IN	on
civilian	JJ	civilian
population	NN	population
could	MD	could
not	RB	not
happen	VV	happen
and	CC	and
that	DT	that
is	VBZ	be
for	IN	for
me	PP	me
the	DT	the
most	RBS	most
important	JJ	important
part	NN	part
or	CC	or
very	RB	very
important	JJ	important
part	NN	part
of	IN	of
the	DT	the
decision	NN	decision
giving	VVG	give
us	PP	us
sense	NN	sense
of	IN	of
order	NN	order
we	PP	we
live	VVP	live
in	IN	in
a	DT	a
in	IN	in
a	DT	a
21st	JJ	21st
century	NN	century
civilization	NN	civilization
not	RB	not
in	IN	in
in	IN	in
in	RB	in
in	IN	in
in	IN	in
the	DT	the
Roman	NP	Roman
Empire	NP	Empire
time	NN	time
when	WRB	when
Barbarian	NN	barbarian
could	MD	could
be	VB	be
killed	VVN	kill
no	RB	no
so	RB	so
then	RB	then
the	DT	the
the	DT	the
second	JJ	second
part	NN	part
if	IN	if
I	PP	I
may	MD	may
the	DT	the
the	DT	the
decision	NN	decision
the	DT	the
call	NN	call
was	VBD	be
is	VBZ	be
a	DT	a
compromise	NN	compromise
obviously	RB	obviously
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
compromise	NN	compromise
I	PP	I
was	VBD	be
expecting	VVG	expect
something	NN	something
much	RB	much
bigger	JJR	big
but	CC	but
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
compromise	NN	compromise
and	CC	and
but	RB	but
it	PP	it
'	POS	'
s	JJ	s
interesting	JJ	interesting
compromise	NN	compromise
because	IN	because
it	PP	it
give	VVP	give
it	PP	it
give	VVP	give
us	PP	us
a	DT	a
space	NN	space
to	TO	to
political	JJ	political
leaders	NNS	leader
to	TO	to
find	VV	find
a	DT	a
solution	NN	solution
and	CC	and
that	IN/that	that
the	DT	the
moment	NN	moment
of	IN	of
Germany	NP	Germany
us	PP	us
stopping	VVG	stop
Israel	NP	Israel
Israel	NP	Israel
has	VHZ	have
a	DT	a
right	JJ	right
-	NN	-
wing	NN	wing
government	NN	government
Israel	NP	Israel
Netanyahu	NP	Netanyahu
is	VBZ	be
fighting	VVG	fight
with	IN	with
this	DT	this
with	IN	with
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
in	IN	in
Israel	NP	Israel
and	CC	and
now	RB	now
fighting	VVG	fight
with	IN	with
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
okay	JJ	okay
if	IN	if
we	PP	we
believe	VVP	believe
low	RB	low
we	PP	we
have	VHP	have
to	TO	to
stop	VV	stop
it	PP	it
how	WRB	how
adverse	JJ	adverse
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
this	DT	this
uh	UH	uh
this	DT	this
ruling	JJ	ruling
uh	UH	uh
this	DT	this
preliminary	JJ	preliminary
ruling	NN	ruling
is	VBZ	be
for	IN	for
Israel	NP	Israel
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
the	DT	the
effect	NN	effect
direct	JJ	direct
perhaps	RB	perhaps
uh	UH	uh
effect	NN	effect
on	IN	on
Israel	NP	Israel
will	MD	will
be	VB	be
well	RB	well
the	DT	the
court	NN	court
is	VBZ	be
saying	VVG	say
to	TO	to
Israel	NP	Israel
what	WDT	what
you	PP	you
are	VBP	be
doing	VVG	do
is	VBZ	be
a	DT	a
very	RB	very
imminent	JJ	imminent
risk	NN	risk
of	IN	of
genocide	NN	genocide
for	IN	for
these	DT	these
people	NNS	people
in	IN	in
Gaza	NP	Gaza
what	WP	what
else	RB	else
could	MD	could
be	VB	be
good	JJ	good
or	CC	or
imagine	VV	imagine
Israel	NP	Israel
State	NP	State
built	VVD	build
to	TO	to
avoid	VV	avoid
the	DT	the
194	CD	@card@
the	DT	the
Nazi	JJ	Nazi
Genocide	NN	genocide
is	VBZ	be
now	RB	now
committing	VVG	commit
a	DT	a
genocide	NN	genocide
that	WDT	that
is	VBZ	be
what	WP	what
they	PP	they
saying	VVG	say
and	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
right	RB	right
now	RB	now
the	DT	the
judge	NN	judge
were	VBD	be
very	RB	very
careful	JJ	careful
they	PP	they
say	VVP	say
it	PP	it
'	''	'
s	VVG	s
an	DT	an
imminent	JJ	imminent
reason	NN	reason
they	PP	they
are	VBP	be
not	RB	not
saying	VVG	say
it	PP	it
did	VVD	do
it	PP	it
they	PP	they
say	VVP	say
it	PP	it
'	''	'
s	VVG	s
an	DT	an
imminent	JJ	imminent
risk	NN	risk
that	IN/that	that
the	DT	the
victim	NN	victim
suffer	VVP	suffer
genocide	NN	genocide
that	IN/that	that
what	WP	what
they	PP	they
say	VVP	say
imminent	JJ	imminent
risk	NN	risk
and	CC	and
that	IN/that	that
why	WRB	why
to	TO	to
protect	VV	protect
them	PP	them
measure	VV	measure
have	VHP	have
to	TO	to
be	VB	be
taken	VVN	take
that	IN/that	that
what	WP	what
the	DT	the
court	NN	court
is	VBZ	be
saying	VVG	say
that	DT	that
'	''	'
s	NNS	s
hug	VVP	hug
it	PP	it
'	''	'
s	VVG	s
a	DT	a
l	NN	l
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
careful	JJ	careful
language	NN	language
but	CC	but
it	PP	it
'	POS	'
s	JJ	s
hug	NN	hug
so	IN	so
Israel	NP	Israel
have	VHP	have
to	TO	to
adjust	VV	adjust
now	RB	now
this	DT	this
this	NN	this
is	VBZ	be
not	RB	not
a	DT	a
court	NN	court
of	IN	of
Palestinian	NP	Palestinian
this	DT	this
is	VBZ	be
Court	NN	court
of	IN	of
people	NNS	people
from	IN	from
all	DT	all
over	IN	over
the	DT	the
world	NN	world
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
why	WRB	why
it	PP	it
'	POS	'
s	NN	S
so	RB	so
important	JJ	important
the	DT	the
US	NP	US
judge	NN	judge
rule	NN	rule
in	IN	in
favor	NN	favor
of	IN	of
the	DT	the
majority	NN	majority
the	DT	the
um	JJ	um
application	NN	application
enforcement	NN	enforcement
of	IN	of
the	DT	the
ruling	NN	ruling
will	MD	will
much	RB	much
depend	VV	depend
uh	UH	uh
essentially	RB	essentially
on	IN	on
the	DT	the
International	NP	International
Community	NP	Community
correct	VV	correct
there	EX	there
is	VBZ	be
no	DT	no
actual	JJ	actual
mechanism	NN	mechanism
for	IN	for
enforcement	NN	enforcement
of	IN	of
the	DT	the
rulings	NNS	ruling
even	RB	even
though	IN	though
this	DT	this
is	VBZ	be
now	RB	now
essentially	RB	essentially
becomes	VVZ	become
becomes	VVZ	become
International	NP	International
Juris	NP	Juris
Prudence	NP	Prudence
right	RB	right
well	RB	well
that	IN/that	that
why	WRB	why
is	VBZ	be
interesting	JJ	interesting
because	IN	because
the	DT	the
court	NN	court
did	VVD	do
not	RB	not
say	VV	say
stop	VV	stop
the	DT	the
blockade	NN	blockade
stop	VV	stop
the	DT	the
bombing	NN	bombing
did	VVD	do
not	RB	not
give	VV	give
this	DT	this
type	NN	type
of	IN	of
specific	JJ	specific
infraction	NN	infraction
that	IN/that	that
I	PP	I
expected	VVD	expect
the	DT	the
court	NN	court
did	VVD	do
something	NN	something
different	JJ	different
that	WDT	that
could	MD	could
be	VB	be
smarter	RBR	smarter
the	DT	the
cour	NN	cour
say	VVP	say
Israel	NP	Israel
had	VHD	have
to	TO	to
decide	VV	decide
how	WRB	how
to	TO	to
stop	VV	stop
it	PP	it
came	VVD	come
to	TO	to
us	PP	us
in	IN	in
a	DT	a
month	NN	month
and	CC	and
to	TO	to
tell	VV	tell
her	PP	her
what	WP	what
you	PP	you
are	VBP	be
doing	VVG	do
so	IN	so
Israel	NP	Israel
now	RB	now
is	VBZ	be
on	IN	on
notice	NN	notice
whatever	WDT	whatever
you	PP	you
are	VBP	be
saying	VVG	say
if	IN	if
you	PP	you
continue	VVP	continue
doing	VVG	do
that	DT	that
is	VBZ	be
a	DT	a
genocide	NN	genocide
and	CC	and
to	TO	to
tell	VV	tell
us	PP	us
you	PP	you
are	VBP	be
doing	VVG	do
something	RB	something
different	JJ	different
you	PP	you
have	VHP	have
to	TO	to
give	VV	give
us	PP	us
a	DT	a
report	NN	report
and	CC	and
the	DT	the
court	NN	court
will	MD	will
decide	VV	decide
so	RB	so
in	IN	in
this	DT	this
sense	NN	sense
the	DT	the
court	NN	court
keep	VV	keep
enforcement	NN	enforcement
ability	NN	ability
because	IN	because
it	PP	it
'	POS	'
s	NN	S
forcing	VVG	force
Israel	NP	Israel
to	TO	to
do	VV	do
it	PP	it
and	CC	and
come	VV	come
back	RB	back
to	TO	to
the	DT	the
court	NN	court
the	DT	the
court	NN	court
is	VBZ	be
also	RB	also
asking	VVG	ask
Israel	NP	Israel
to	TO	to
essentially	RB	essentially
prevent	VV	prevent
and	CC	and
prosecute	VV	prosecute
uh	UH	uh
potential	JJ	potential
violations	NNS	violation
to	TO	to
the	DT	the
convention	NN	convention
including	VVG	include
uh	UH	uh
the	DT	the
promotion	NN	promotion
or	CC	or
incitement	NN	incitement
and	CC	and
it	PP	it
did	VVD	do
essentially	RB	essentially
quote	VV	quote
uh	UH	uh
in	IN	in
the	DT	the
preliminary	NN	preliminary
ruling	VVG	rule
uh	UH	uh
no	RB	no
fewer	JJR	few
than	IN	than
for	IN	for
uh	UH	uh
essentially	RB	essentially
high	JJ	high
ranking	JJ	ranking
Israeli	JJ	Israeli
politicians	NNS	politician
do	VVP	do
you	PP	you
expect	VVP	expect
the	DT	the
Israeli	JJ	Israeli
judicial	JJ	judicial
system	NN	system
to	TO	to
turn	VV	turn
its	PP$	its
attention	NN	attention
to	TO	to
uh	UH	uh
essentially	RB	essentially
its	PP$	its
ruling	NN	ruling
Coalition	NP	Coalition
Well	NP	Well
normally	RB	normally
states	VVZ	state
don	NN	don
'	POS	'
t	NN	t
like	VVP	like
to	TO	to
prosecute	VV	prosecute
their	PP$	their
own	JJ	own
people	NNS	people
what	WP	what
I	PP	I
expect	VVP	expect
is	VBZ	be
the	DT	the
court	NN	court
will	MD	will
start	VV	start
proceedings	NNS	proceeding
but	CC	but
there	EX	there
was	VBD	be
no	RB	no
real	JJ	real
I	PP	I
will	MD	will
see	VV	see
we	PP	we
'	POS	'
ll	NNS	ll
see	VVP	see
how	WRB	how
the	DT	the
convention	NN	convention
go	VV	go
because	IN	because
basically	RB	basically
the	DT	the
court	NN	court
is	VBZ	be
quoting	VVG	quote
the	DT	the
president	NN	president
of	IN	of
Isel	NP	Isel
and	CC	and
the	DT	the
court	NN	court
is	VBZ	be
is	VBZ	be
quoting	VVG	quote
the	DT	the
meid	NN	meid
of	IN	of
the	DT	the
fence	NN	fence
two	CD	two
key	JJ	key
characters	NNS	character
no	RB	no
but	CC	but
would	MD	would
it	PP	it
be	VB	be
would	MD	would
it	PP	it
be	VB	be
part	NN	part
of	IN	of
the	DT	the
duty	NN	duty
of	IN	of
the	DT	the
Israeli	JJ	Israeli
judicial	JJ	judicial
system	NN	system
at	IN	at
this	DT	this
point	NN	point
in	IN	in
order	NN	order
to	TO	to
essentially	RB	essentially
act	VV	act
in	IN	in
accordance	NN	accordance
with	IN	with
the	DT	the
ruling	NN	ruling
to	TO	to
actually	RB	actually
look	VV	look
into	IN	into
those	DT	those
cases	NNS	case
that	WDT	that
were	VBD	be
actually	RB	actually
on	IN	on
record	NN	record
named	VVN	name
during	IN	during
the	DT	the
proceedings	NNS	proceeding
today	NN	today
well	RB	well
yes	RB	yes
it	PP	it
will	MD	will
be	VB	be
and	CC	and
in	IN	in
fact	NN	fact
Israel	NP	Israel
is	VBZ	be
already	RB	already
conducting	VVG	conduct
they	PP	they
say	VVP	say
some	DT	some
investigation	NN	investigation
instigation	NN	instigation
and	CC	and
in	IN	in
fact	NN	fact
that	IN/that	that
specific	JJ	specific
part	NN	part
of	IN	of
the	DT	the
ruling	NN	ruling
was	VBD	be
voted	VVN	vote
in	IN	in
favor	NN	favor
by	IN	by
the	DT	the
Israeli	JJ	Israeli
judge	NN	judge
but	CC	but
judge	NN	judge
Barack	NN	Barack
so	IN	so
judge	NN	judge
Barack	NP	Barack
was	VBD	be
against	IN	against
the	DT	the
other	JJ	other
part	NN	part
but	CC	but
on	IN	on
this	DT	this
part	NN	part
on	IN	on
investiga	NN	investiga
instigation	NN	instigation
he	PP	he
was	VBD	be
in	IN	in
agreement	NN	agreement
so	IN	so
I	PP	I
that	WDT	that
part	NN	part
is	VBZ	be
feasible	JJ	feasible
but	CC	but
the	DT	the
problem	NN	problem
is	VBZ	be
not	RB	not
to	TO	to
punish	VV	punish
people	NNS	people
here	RB	here
the	DT	the
priority	NN	priority
is	VBZ	be
to	TO	to
prevent	VV	prevent
genocide	NN	genocide
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
why	WRB	why
the	DT	the
issue	NN	issue
is	VBZ	be
how	WRB	how
Israel	NP	Israel
will	MD	will
adjust	VV	adjust
this	DT	this
the	DT	the
the	DT	the
siege	NN	siege
of	IN	of
Gaza	NP	Gaza
how	WRB	how
is	VBZ	be
will	MD	will
adjust	VV	adjust
its	PP$	its
tactic	NN	tactic
to	TO	to
bomb	VV	bomb
people	NNS	people
to	TO	to
bomb	VV	bomb
buildings	NNS	building
what	WP	what
do	VVP	do
you	PP	you
expect	VVP	expect
Israel	NP	Israel
to	TO	to
do	VV	do
over	IN	over
the	DT	the
next	JJ	next
couple	NN	couple
of	IN	of
days	NNS	day
leading	VVG	lead
to	TO	to
the	DT	the
one	CD	one
month	NN	month
Benchmark	NN	benchmark
that	IN/that	that
the	DT	the
that	IN/that	that
the	DT	the
court	NN	court
has	VHZ	have
established	VVN	establish
well	RB	well
net	JJ	net
report	NN	report
thoric	JJ	thoric
immediately	RB	immediately
was	VBD	be
very	RB	very
tough	JJ	tough
against	IN	against
the	DT	the
court	NN	court
and	CC	and
I	PP	I
think	VVP	think
now	RB	now
we	PP	we
we	PP	we
'	POS	'
ll	NNS	ll
see	VVP	see
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
with	IN	with
the	DT	the
US	NP	US
the	DT	the
US	NP	US
now	RB	now
I	PP	I
think	VVP	think
this	DT	this
this	DT	this
decision	NN	decision
is	VBZ	be
really	RB	really
much	JJ	much
is	VBZ	be
pretty	RB	pretty
much	JJ	much
something	NN	something
that	IN/that	that
us	PP	us
wanted	VVD	want
because	IN	because
it	PP	it
'	POS	'
s	NN	S
giving	VVG	give
a	DT	a
space	NN	space
to	TO	to
us	PP	us
to	TO	to
man	VV	man
maneuver	NN	maneuver
I	PP	I
think	VVP	think
now	RB	now
us	PP	us
is	VBZ	be
sent	VVN	send
the	DT	the
CIA	NP	CIA
director	NN	director
to	TO	to
qatal	NN	qatal
to	TO	to
negotiate	VV	negotiate
a	DT	a
new	JJ	new
hostage	NN	hostage
release	NN	release
and	CC	and
that	WDT	that
could	MD	could
be	VB	be
Next	RB	next
Step	VV	step
a	DT	a
um	JJ	um
pause	NN	pause
in	IN	in
the	DT	the
conflict	NN	conflict
based	VVN	base
on	IN	on
freeing	VVG	free
free	JJ	free
the	DT	the
hostages	NNS	hostage
that	WDT	that
could	MD	could
be	VB	be
a	DT	a
political	JJ	political
maneuver	NN	maneuver
to	TO	to
stop	VV	stop
the	DT	the
conflict	NN	conflict
for	IN	for
different	JJ	different
reasons	NNS	reason
and	CC	and
that	WDT	that
could	MD	could
happen	VV	happen
the	DT	the
this	NN	this
is	VBZ	be
not	RB	not
the	DT	the
end	NN	end
of	IN	of
the	DT	the
process	NN	process
now	RB	now
the	DT	the
the	DT	the
the	DT	the
the	DT	the
case	NN	case
will	MD	will
move	VV	move
uh	UH	uh
to	TO	to
the	DT	the
Merit	NN	merit
phase	NN	phase
can	MD	can
you	PP	you
explain	VV	explain
a	DT	a
little	JJ	little
bit	NN	bit
what	WP	what
that	RB	that
'	''	'
s	NNS	s
about	RB	about
when	WRB	when
should	MD	should
be	VB	be
expected	VVN	expect
no	RB	no
no	RB	no
but	CC	but
this	DT	this
is	VBZ	be
the	DT	the
most	RBS	most
important	JJ	important
decision	NN	decision
this	DT	this
and	CC	and
the	DT	the
decision	NN	decision
in	IN	in
a	DT	a
month	NN	month
when	WRB	when
Israel	NP	Israel
came	VVD	come
with	IN	with
the	DT	the
measures	VVZ	measure
the	DT	the
final	JJ	final
conclusion	NN	conclusion
will	MD	will
be	VB	be
8	CD	@card@
years	NNS	year
10	CD	@card@
years	NNS	year
nine	CD	nine
years	NNS	year
will	MD	will
be	VB	be
important	JJ	important
