<video_id>keANY7X6oKI</video_id>	JJ	<video_id>keANY7X6oKI</video_id>
Ibrahim	NP	Ibrahim
she	PP	she
is	VBZ	be
in	IN	in
Jerusalem	NP	Jerusalem
covering	VVG	cover
this	DT	this
story	NN	story
for	IN	for
us	PP	us
good	JJ	good
to	TO	to
see	VV	see
you	PP	you
a	DT	a
what	WP	what
more	RBR	more
what	WP	what
more	RBR	more
do	VV	do
we	PP	we
know	VV	know
at	IN	at
this	DT	this
point	NN	point
about	IN	about
these	DT	these
three	CD	three
hostages	NNS	hostage
so	IN	so
we	PP	we
know	VVP	know
that	IN/that	that
uh	UH	uh
their	PP$	their
remains	NNS	remains
were	VBD	be
recovered	VVN	recover
in	IN	in
an	DT	an
overnight	JJ	overnight
operation	NN	operation
that's	NNS	that's
according	VVG	accord
to	TO	to
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
military	JJ	military
spokesperson	NN	spokesperson
Daniel	NP	Daniel
hagari	NNS	hagari
who	WP	who
we've	VVP	we've
also	RB	also
just	RB	just
heard	VVD	hear
uh	UH	uh
from	IN	from
Shany	NP	Shany
Luke	NP	Luke
as	IN	as
you	PP	you
mentioned	VVD	mention
a	DT	a
dual	JJ	dual
Israeli	JJ	Israeli
uh	UH	uh
German	JJ	German
uh	UH	uh
National	NP	National
um	NNS	um
she	PP	she
had	VHD	have
been	VBN	be
presumed	VVN	presume
dead	RB	dead
for	IN	for
a	DT	a
while	NN	while
now	IN	now
uh	UH	uh
as	RB	as
as	RB	as
as	IN	as
the	DT	the
Israeli	JJ	Israeli
military	NN	military
had	VHD	have
previously	RB	previously
found	VVN	find
a	DT	a
part	NN	part
of	IN	of
her	PP$	her
skull	NN	skull
that	WDT	that
was	VBD	be
identified	VVN	identify
uh	UH	uh
but	CC	but
the	DT	the
other	JJ	other
two	CD	two
a	DT	a
young	JJ	young
woman	NN	woman
in	IN	in
her	PP$	her
late	JJ	late
20s	NNS	20s
and	CC	and
a	DT	a
a	DT	a
man	NN	man
in	IN	in
his	PP$	his
early	JJ	early
50s	NN	50s
there	RB	there
hadn't	NN	hadn't
really	RB	really
been	VBN	be
any	DT	any
signs	NNS	sign
of	IN	of
life	NN	life
from	IN	from
them	PP	them
since	IN	since
they	PP	they
were	VBD	be
taken	VVN	take
on	IN	on
October	NP	October
7th	JJ	7th
so	RB	so
of	IN	of
course	NN	course
there	EX	there
was	VBD	be
some	DT	some
hope	NN	hope
that	IN/that	that
they	PP	they
might	MD	might
be	VB	be
exchanged	VVN	exchange
uh	UH	uh
in	IN	in
a	DT	a
deal	NN	deal
with	IN	with
Hamas	NNS	Hamas
that	IN/that	that
they	PP	they
might	MD	might
be	VB	be
released	VVN	release
or	CC	or
might	MD	might
be	VB	be
found	VVN	find
it's	NN	it's
a	DT	a
devastating	JJ	devastating
devastating	JJ	devastating
news	NN	news
for	IN	for
the	DT	the
families	NNS	family
of	IN	of
the	DT	the
hostages	NNS	hostage
of	IN	of
course	NN	course
but	CC	but
really	RB	really
for	IN	for
the	DT	the
entire	JJ	entire
uh	UH	uh
country	NN	country
this	DT	this
news	NN	news
coming	VVG	come
uh	UH	uh
this	DT	this
uh	UH	uh
uh	UH	uh
Shabbat	NP	Shabbat
afternoon	NN	afternoon
as	IN	as
every	DT	every
as	RB	as
as	IN	as
life	NN	life
here	RB	here
in	IN	in
Israel	NP	Israel
winds	NNS	wind
down	RB	down
for	IN	for
the	DT	the
day	NN	day
of	IN	of
rest	NN	rest
we've	NN	we've
also	RB	also
heard	VVN	hear
for	IN	for
the	DT	the
from	IN	from
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
I'm	NP	I'm
just	RB	just
going	VVG	go
to	TO	to
read	VV	read
to	TO	to
you	PP	you
the	DT	the
statement	NN	statement
that	IN/that	that
they	PP	they
just	RB	just
put	VVP	put
out	IN	out
he	PP	he
said	VVD	say
this	DT	this
terrible	JJ	terrible
loss	NN	loss
is	VBZ	be
heartbreaking	JJ	heartbreaking
and	CC	and
that	IN/that	that
him	PP	him
and	CC	and
his	PP$	his
wife	NN	wife
Sarah	NP	Sarah
are	VBP	be
grieving	VVG	grieve
um	NNS	um
he	PP	he
also	RB	also
said	VVD	say
that	IN/that	that
they	PP	they
that	IN/that	that
we	PP	we
will	MD	will
return	VV	return
all	DT	all
of	IN	of
our	PP$	our
hostages	NNS	hostage
the	DT	the
living	NN	living
and	CC	and
the	DT	the
deceased	NN	deceased
alike	RB	alike
this	DT	this
is	VBZ	be
likely	JJ	likely
to	TO	to
cause	VV	cause
more	JJR	more
anger	NN	anger
tomorrow	NN	tomorrow
uh	UH	uh
in	IN	in
the	DT	the
weekly	JJ	weekly
protests	NNS	protest
that	WDT	that
have	VHP	have
been	VBN	be
taking	VVG	take
place	NN	place
calling	VVG	call
on	IN	on
the	DT	the
Israeli	JJ	Israeli
government	NN	government
to	TO	to
reach	VV	reach
a	DT	a
deal	VV	deal
uh	UH	uh
to	TO	to
return	VV	return
the	DT	the
hostages	NNS	hostage
alive	JJ	alive
to	TO	to
their	PP$	their
loved	VVN	love
ones	NNS	one
and	CC	and
with	IN	with
this	DT	this
news	NN	news
this	DT	this
is	VBZ	be
likely	JJ	likely
uh	UH	uh
to	TO	to
cause	VV	cause
a	DT	a
lot	NN	lot
of	IN	of
anger	VV	anger
uh	UH	uh
tomorrow	NN	tomorrow
here	RB	here
in	IN	in
Israel	NP	Israel
yeah	RB	yeah
definitely	RB	definitely
the	DT	the
news	NN	news
that	IN/that	that
people	NNS	people
in	IN	in
Israel	NP	Israel
did	VVD	do
not	RB	not
want	VV	want
to	TO	to
hear	VV	hear
this	DT	this
Friday	NP	Friday
our	PP$	our
special	JJ	special
correspondent	NN	correspondent
a	DT	a
Ibrahim	NP	Ibrahim
in	IN	in
Jerusalem	NP	Jerusalem
tonight	NN	tonight
ya	NN	ya
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
