<video_id>42lmdVCYudQ</video_id>	JJ	<video_id>42lmdVCYudQ</video_id>
Kaylor	NP	Kaylor
he's	NNS	he's
the	DT	the
co-founder	NN	co-founder
of	IN	of
the	DT	the
NGO	NN	Ngo
met	VVD	meet
Global	NP	Global
and	CC	and
a	DT	a
pediatrician	NN	pediatrician
who's	NNS	who's
visited	VVD	visit
Gaza	NP	Gaza
multiple	JJ	multiple
times	NNS	time
this	DT	this
year	NN	year
already	RB	already
Dr	NP	Dr
Kaylor	NP	Kaylor
welcome	VVP	welcome
to	TO	to
DW	VV	DW
now	RB	now
how	WRB	how
dangerous	JJ	dangerous
would	MD	would
a	DT	a
large	JJ	large
scale	NN	scale
polio	NN	polio
outbreak	NN	outbreak
be	VB	be
in	IN	in
a	DT	a
war	NN	war
zone	NN	zone
like	IN	like
Gaza	NP	Gaza
well	RB	well
first	RB	first
of	IN	of
all	DT	all
thank	VVP	thank
you	PP	you
for	IN	for
the	DT	the
thank	VVP	thank
you	PP	you
for	IN	for
the	DT	the
invite	VV	invite
uh	UH	uh
a	DT	a
large	JJ	large
scale	NN	scale
outbreak	NN	outbreak
of	IN	of
polio	NN	polio
would	MD	would
be	VB	be
a	DT	a
very	RB	very
very	RB	very
significant	JJ	significant
event	NN	event
it	PP	it
would	MD	would
be	VB	be
both	CC	both
a	DT	a
significant	JJ	significant
monitor	NN	monitor
of	IN	of
a	DT	a
bad	JJ	bad
Public	NP	Public
Health	NP	Health
event	NN	event
as	RB	as
well	RB	well
as	IN	as
a	DT	a
medical	JJ	medical
catastrophe	NN	catastrophe
uh	UH	uh
there	RB	there
hasn't	NNS	hasn't
been	VBN	be
a	DT	a
case	NN	case
of	IN	of
polio	NN	polio
in	IN	in
Gaza	NP	Gaza
in	IN	in
25	CD	@card@
years	NNS	year
and	CC	and
for	IN	for
20	CD	@card@
years	NNS	year
before	IN	before
that	WDT	that
the	DT	the
cases	NNS	case
were	VBD	be
diminishing	VVG	diminish
so	RB	so
there's	RB	there's
very	RB	very
few	JJ	few
people	NNS	people
there	RB	there
that	WDT	that
have	VHP	have
experienced	VVN	experience
this	DT	this
and	CC	and
when	WRB	when
they	PP	they
did	VVD	do
they	PP	they
experienced	VVD	experience
it	PP	it
at	IN	at
a	DT	a
time	NN	time
when	WRB	when
there	EX	there
was	VBD	be
a	DT	a
better	JJR	good
Public	NP	Public
Health	NP	Health
uh	UH	uh
infrastructure	NN	infrastructure
there	EX	there
is	VBZ	be
zero	NN	zero
Public	NP	Public
Health	NP	Health
infrastructure	NN	infrastructure
now	RB	now
yeah	RB	yeah
are	VBP	be
the	DT	the
amounts	NNS	amount
of	IN	of
vaccine	NN	vaccine
available	JJ	available
enough	RB	enough
to	TO	to
contain	VV	contain
a	DT	a
major	JJ	major
outbreak	NN	outbreak
if	IN	if
there's	RB	there's
a	DT	a
million	CD	million
doses	NNS	dose
of	IN	of
vaccine	NN	vaccine
it's	NNS	it's
it's	NNS	it's
it's	NNS	it's
enough	RB	enough
to	TO	to
contain	VV	contain
a	DT	a
contain	VVP	contain
an	DT	an
outbreak	NN	outbreak
the	DT	the
issue	NN	issue
isn't	NN	isn't
amount	NN	amount
of	IN	of
vaccine	NN	vaccine
there's	NNS	there's
plenty	NN	plenty
of	IN	of
vaccine	NN	vaccine
in	IN	in
the	DT	the
world	NN	world
and	CC	and
there'll	RB	there'll
be	VB	be
plenty	NN	plenty
of	IN	of
people	NNS	people
to	TO	to
give	VV	give
it	PP	it
the	DT	the
issue	NN	issue
is	VBZ	be
the	DT	the
safety	NN	safety
in	IN	in
giving	VVG	give
it	PP	it
how	WRB	how
you're	NN	you're
going	VVG	go
to	TO	to
give	VV	give
it	PP	it
uh	UH	uh
and	CC	and
then	RB	then
the	DT	the
repeat	NN	repeat
doses	VVZ	dose
uh	UH	uh
because	IN	because
it's	NNS	it's
not	RB	not
an	DT	an
issue	NN	issue
of	IN	of
one	CD	one
and	CC	and
done	VVN	do
it's	NNS	it's
an	DT	an
issue	NN	issue
for	IN	for
those	DT	those
kids	NNS	kid
who	WP	who
have	VHP	have
not	RB	not
been	VBN	be
vaccinated	VVN	vaccinate
it's	NNS	it's
an	DT	an
issue	NN	issue
of	IN	of
two	CD	two
doses	NNS	dose
separated	VVN	separate
by	IN	by
6	CD	@card@
to	TO	to
8	CD	@card@
weeks	NNS	week
so	RB	so
to	TO	to
what	WP	what
extent	NN	extent
would	MD	would
a	DT	a
successful	JJ	successful
vaccination	NN	vaccination
campaign	NN	campaign
be	VB	be
possible	JJ	possible
if	IN	if
fighting	VVG	fight
continued	JJ	continued
at	IN	at
its	PP$	its
current	JJ	current
intensity	NN	intensity
then	RB	then
well	RB	well
I	PP	I
can't	VVD	can't
estimate	NN	estimate
that	IN/that	that
but	CC	but
certainly	RB	certainly
the	DT	the
issue	NN	issue
is	VBZ	be
uh	UH	uh
an	DT	an
issue	NN	issue
of	IN	of
safety	NN	safety
if	IN	if
you've	NN	you've
got	VVD	get
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
that	WDT	that
are	VBP	be
afraid	JJ	afraid
for	IN	for
their	PP$	their
lives	NNS	life
and	CC	and
you	PP	you
tell	VVP	tell
them	PP	them
there's	RB	there's
a	DT	a
potential	NN	potential
of	IN	of
a	DT	a
disease	NN	disease
that	WDT	that
may	MD	may
harm	VV	harm
them	PP	them
if	IN	if
they	PP	they
come	VVP	come
to	TO	to
a	DT	a
certain	JJ	certain
area	NN	area
to	TO	to
get	VV	get
the	DT	the
the	DT	the
vaccine	NN	vaccine
most	JJS	most
people	NNS	people
are	VBP	be
going	VVG	go
to	TO	to
opt	VV	opt
to	TO	to
stay	VV	stay
safe	JJ	safe
so	IN	so
it's	NNS	it's
going	VVG	go
to	TO	to
be	VB	be
an	DT	an
extremely	RB	extremely
difficult	JJ	difficult
situation	NN	situation
both	CC	both
from	IN	from
a	DT	a
public	JJ	public
health	NN	health
messaging	VVG	message
standpoint	NN	standpoint
but	CC	but
also	RB	also
a	DT	a
very	RB	very
very	RB	very
scary	JJ	scary
situation	NN	situation
for	IN	for
for	IN	for
those	DT	those
Personnel	NNS	Personnel
that	WDT	that
are	VBP	be
there	RB	there
to	TO	to
administer	VV	administer
the	DT	the
vaccine	NN	vaccine
uh	UH	uh
given	VVN	give
that	IN/that	that
they	PP	they
will	MD	will
be	VB	be
uh	UH	uh
depending	VVG	depend
on	IN	on
this	DT	this
whole	JJ	whole
concept	NN	concept
of	IN	of
deconfliction	NN	deconfliction
and	CC	and
we	PP	we
know	VVP	know
how	WRB	how
how	WRB	how
fraught	JJ	fraught
that	DT	that
is	VBZ	be
with	IN	with
mistake	NN	mistake
yeah	RB	yeah
can	MD	can
you	PP	you
explain	VV	explain
to	TO	to
us	PP	us
how	WRB	how
the	DT	the
war	NN	war
and	CC	and
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
are	VBP	be
making	VVG	make
it	PP	it
easier	JJR	easy
for	IN	for
diseases	NNS	disease
like	IN	like
polio	NN	polio
but	CC	but
others	NNS	other
as	RB	as
well	RB	well
to	TO	to
spread	VV	spread
in	IN	in
Gaza	NP	Gaza
so	RB	so
um	VVZ	um
most	RBS	most
contagious	JJ	contagious
diseases	NNS	disease
are	VBP	be
um	VVG	um
a	DT	a
function	NN	function
of	IN	of
congestion	NN	congestion
um	NNS	um
there	EX	there
are	VBP	be
some	DT	some
that	WDT	that
are	VBP	be
easily	RB	easily
contagious	JJ	contagious
such	JJ	such
as	IN	as
respiratory	JJ	respiratory
diseases	NNS	disease
like	IN	like
covid	JJ	covid
measles	NN	measles
uh	UH	uh
and	CC	and
then	RB	then
there	EX	there
are	VBP	be
some	DT	some
that	WDT	that
are	VBP	be
contagious	JJ	contagious
because	IN	because
of	IN	of
breakdown	NN	breakdown
in	IN	in
hygiene	NN	hygiene
and	CC	and
that's	JJ	that's
oral	JJ	oral
feal	JJ	feal
that's	NNS	that's
hand	VVP	hand
the	DT	the
mouth	NN	mouth
um	NNS	um
there	EX	there
is	VBZ	be
no	DT	no
adequate	JJ	adequate
hygiene	NN	hygiene
in	IN	in
Gaza	NP	Gaza
zero	CD	zero
um	NN	um
so	IN	so
people	NNS	people
even	RB	even
when	WRB	when
they	PP	they
clean	VV	clean
their	PP$	their
kid	NN	kid
they	PP	they
clean	VVP	clean
their	PP$	their
kids	NNS	kid
diaper	NN	diaper
and	CC	and
stuff	NN	stuff
like	IN	like
that	WDT	that
they	PP	they
won't	NP	won't
be	VB	be
washing	VVG	wash
their	PP$	their
hands	NNS	hand
they'll	RB	they'll
be	VB	be
touching	VVG	touch
their	PP$	their
own	JJ	own
mouth	NN	mouth
they'll	NN	they'll
be	VB	be
spreading	VVG	spread
it	PP	it
polio	NN	polio
vaccine	NN	vaccine
is	VBZ	be
also	RB	also
a	DT	a
type	NN	type
of	IN	of
vaccine	NN	vaccine
that	WDT	that
can	MD	can
live	VV	live
off	RP	off
the	DT	the
body	NN	body
so	IN	so
it'll	NN	it'll
be	VB	be
in	IN	in
the	DT	the
soil	NN	soil
it'll	NN	it'll
be	VB	be
in	IN	in
the	DT	the
water	NN	water
um	NN	um
um	NNS	um
and	CC	and
easily	RB	easily
spread	VVN	spread
with	IN	with
lack	NN	lack
of	IN	of
with	IN	with
with	IN	with
poor	JJ	poor
with	IN	with
poor	JJ	poor
gastrointestinal	JJ	gastrointestinal
hygiene	NN	hygiene
because	IN	because
it	PP	it
goes	VVZ	go
hand	NN	hand
to	TO	to
mouth	VV	mouth
now	RB	now
many	JJ	many
countries	NNS	country
spent	VVD	spend
decades	NNS	decade
trying	VVG	try
to	TO	to
eradicate	VV	eradicate
polio	NN	polio
and	CC	and
doing	VVG	do
so	RB	so
successfully	RB	successfully
now	RB	now
if	IN	if
it	PP	it
really	RB	really
gained	VVD	gain
a	DT	a
foothold	NN	foothold
in	IN	in
Gaza	NP	Gaza
how	WRB	how
easily	RB	easily
could	MD	could
it	PP	it
spread	VV	spread
internationally	RB	internationally
well	RB	well
it	PP	it
can	MD	can
the	DT	the
the	DT	the
there's	NNS	there's
no	RB	no
question	VVP	question
that	IN/that	that
the	DT	the
virus	NN	virus
will	MD	will
go	VV	go
internationally	RB	internationally
that's	NNS	that's
not	RB	not
a	DT	a
question	NN	question
um	NN	um
anybody	NN	anybody
who's	NN	who's
been	VBN	be
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
who	WP	who
has	VHZ	have
worked	VVN	work
intimately	RB	intimately
for	IN	for
any	DT	any
period	NN	period
of	IN	of
time	NN	time
um	VVG	um
uh	UH	uh
with	IN	with
the	DT	the
patients	NNS	patient
that	WDT	that
have	VHP	have
it	PP	it
some	DT	some
of	IN	of
those	DT	those
people	NNS	people
will	MD	will
carry	VV	carry
it	PP	it
the	DT	the
it's	NN	it's
an	DT	an
extremely	RB	extremely
contagious	JJ	contagious
disease	NN	disease
meaning	VVG	mean
it	PP	it
goes	VVZ	go
it's	NNS	it's
easily	RB	easily
spread	VVN	spread
but	CC	but
the	DT	the
good	JJ	good
thing	NN	thing
about	IN	about
it	PP	it
is	VBZ	be
that	IN/that	that
it	PP	it
can	MD	can
be	VB	be
broken	VVN	break
by	IN	by
by	IN	by
uh	UH	uh
um	NN	um
what's	NNS	what's
called	VVD	call
herd	NN	herd
immunity	NN	immunity
and	CC	and
most	JJS	most
countries	NNS	country
most	RBS	most
countries	NNS	country
in	IN	in
the	DT	the
world	NN	world
other	JJ	other
than	IN	than
a	DT	a
certain	JJ	certain
subset	NN	subset
of	IN	of
them	PP	them
have	VHP	have
our	PP$	our
have	VH	have
HT	NP	HT
immunity	NN	immunity
one	CD	one
of	IN	of
the	DT	the
worries	NNS	worry
is	VBZ	be
for	IN	for
vulnerable	JJ	vulnerable
populations	NNS	population
so	RB	so
there	EX	there
are	VBP	be
populations	NNS	population
that	IN/that	that
for	IN	for
religious	JJ	religious
reasons	NNS	reason
or	CC	or
ethical	JJ	ethical
reasons	NNS	reason
or	CC	or
whatever	WDT	whatever
reasons	NNS	reason
don't	VVD	don't
get	VV	get
their	PP$	their
children	NNS	child
uh	UH	uh
vaccinated	VVN	vaccinate
all	RB	all
of	IN	of
those	DT	those
children	NNS	child
will	MD	will
be	VB	be
susceptible	JJ	susceptible
if	IN	if
the	DT	the
virus	NN	virus
gets	VVZ	get
into	IN	into
that	DT	that
sub	NN	sub
Community	NN	community
those	DT	those
communities	NNS	community
are	VBP	be
usually	RB	usually
pretty	RB	pretty
localized	VVN	localize
so	RB	so
if	IN	if
you	PP	you
can	MD	can
keep	VV	keep
it	PP	it
out	RP	out
of	IN	of
those	DT	those
communities	NNS	community
you'll	RB	you'll
be	VB	be
all	DT	all
right	NN	right
the	DT	the
general	JJ	general
population	NN	population
the	DT	the
general	JJ	general
population	NN	population
will	MD	will
be	VB	be
pretty	RB	pretty
well	RB	well
protected	VVN	protect
around	IN	around
the	DT	the
world	NN	world
that	WDT	that
is	VBZ	be
Dr	NP	Dr
John	NP	John
Kaylor	NP	Kaylor
he's	NNS	he's
the	DT	the
co-founder	NN	co-founder
of	IN	of
the	DT	the
NGO	NN	Ngo
met	VVD	meet
Global	NP	Global
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
and	CC	and
those	DT	those
very	RB	very
interesting	JJ	interesting
insights	NNS	insight
you're	VVP	you're
very	RB	very
welcome	VV	welcome
and	CC	and
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
having	VHG	have
me	PP	me
</doc>	JJ	</doc>
