military	JJ	military
kill	VVP	kill
that	DT	that
'	''	'
s	VVG	s
the	DT	the
problem	NN	problem
they	PP	they
'	POS	'
ve	NN	ve
got	VVD	get
and	CC	and
at	IN	at
the	DT	the
moment	NN	moment
they	PP	they
only	RB	only
have	VHP	have
about	RB	about
two	CD	two
brigades	NNS	brigade
in	IN	in
the	DT	the
hold	NN	hold
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
they	PP	they
'	POS	'
ve	NN	ve
withdrawn	VVN	withdraw
most	JJS	most
of	IN	of
their	PP$	their
troops	NNS	troop
they	PP	they
hold	VVP	hold
Rafer	NN	Rafer
they	PP	they
hold	VVP	hold
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
at	IN	at
the	DT	the
South	NP	South
that	WDT	that
runs	VVZ	run
along	IN	along
the	DT	the
southern	JJ	southern
border	NN	border
with	IN	with
Egypt	NP	Egypt
and	CC	and
they	PP	they
hold	VVP	hold
the	DT	the
netsim	NN	netsim
corridor	NN	corridor
um	NNS	um
in	IN	in
the	DT	the
the	DT	the
North	NP	North
and	CC	and
the	DT	the
shua	NP	shua
Camp	NP	Camp
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
so	RB	so
there	RB	there
'	''	'
s	NNS	s
only	JJ	only
three	CD	three
areas	NNS	area
and	CC	and
the	DT	the
area	NN	area
of	IN	of
Rafa	NP	Rafa
that	IN/that	that
they	PP	they
actually	RB	actually
control	VVP	control
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
place	NN	place
is	VBZ	be
now	RB	now
open	JJ	open
for	IN	for
Hamas	NP	Hamas
to	TO	to
come	VV	come
back	RB	back
which	WDT	which
is	VBZ	be
what	WP	what
they	PP	they
'	''	'
re	IN	re
doing	VVG	do
and	CC	and
and	CC	and
a	DT	a
brief	JJ	brief
word	NN	word
about	IN	about
those	DT	those
moderated	VVN	moderate
aims	NNS	aim
that	IN/that	that
you	PP	you
you	PP	you
talked	VVD	talk
us	PP	us
through	RB	through
is	VBZ	be
that	IN/that	that
a	DT	a
reflection	NN	reflection
of	IN	of
the	DT	the
difficulty	NN	difficulty
of	IN	of
this	DT	this
war	NN	war
or	CC	or
is	VBZ	be
that	IN/that	that
just	RB	just
what	WP	what
they	PP	they
should	MD	should
have	VH	have
been	VBN	be
saying	VVG	say
right	RB	right
at	IN	at
the	DT	the
start	NN	start
and	CC	and
they	PP	they
they	PP	they
started	VVD	start
off	IN	off
having	VHG	have
high	RB	high
flown	VVN	flow
aims	NNS	aim
because	IN	because
that	DT	that
'	''	'
s	NNS	s
what	WP	what
you	PP	you
do	VVP	do
at	IN	at
the	DT	the
start	NN	start
of	IN	of
a	DT	a
war	NN	war
yes	NN	yes
I	PP	I
mean	VVP	mean
the	DT	the
the	DT	the
Netanyahu	NP	Netanyahu
government	NN	government
didn	NN	didn
'	POS	'
t	NN	t
think	VVP	think
through	IN	through
with	IN	with
any	DT	any
credibility	NN	credibility
or	CC	or
Clarity	NP	Clarity
what	WP	what
they	PP	they
were	VBD	be
really	RB	really
trying	VVG	try
to	TO	to
achieve	VV	achieve
and	CC	and
they	PP	they
gave	VVD	give
the	DT	the
IDF	NP	IDF
the	DT	the
Israeli	JJ	Israeli
Defense	NP	Defense
Forces	NPS	Forces
a	DT	a
quite	RB	quite
impossible	JJ	impossible
job	NN	job
to	TO	to
do	VV	do
and	CC	and
they	PP	they
wouldn	NP	wouldn
'	POS	'
t	NN	t
specify	VV	specify
what	WP	what
they	PP	they
were	VBD	be
supposed	VVN	suppose
to	TO	to
to	TO	to
do	VV	do
as	RB	as
in	IN	in
when	WRB	when
they	PP	they
cleared	VVD	clear
Hamas	JJ	Hamas
people	NNS	people
out	IN	out
of	IN	of
the	DT	the
North	NP	North
and	CC	and
then	RB	then
the	DT	the
center	NN	center
and	CC	and
then	RB	then
Gaza	NP	Gaza
City	NP	City
then	RB	then
Kan	NP	Kan
yunas	NNS	yunas
and	CC	and
so	RB	so
the	DT	the
IDF	NP	IDF
have	VHP	have
been	VBN	be
making	VVG	make
this	DT	this
up	RP	up
as	IN	as
they	PP	they
go	VVP	go
along	IN	along
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
it	PP	it
'	POS	'
s	NN	S
a	DT	a
a	DT	a
strategic	JJ	strategic
failure	NN	failure
from	IN	from
start	NN	start
to	TO	to
finish	VV	finish
and	CC	and
it	PP	it
leaves	VVZ	leave
the	DT	the
IDF	NP	IDF
basically	RB	basically
Chas	NP	Chas
faing	VVG	faing
its	PP$	its
tail	NN	tail
inside	IN	inside
Gaza	NP	Gaza
while	IN	while
the	DT	the
situation	NN	situation
doesn	NN	doesn
'	POS	'
t	NN	t
get	VV	get
doesn	NP	doesn
'	POS	'
t	NN	t
get	VV	get
worse	RBR	worse
but	CC	but
it	PP	it
doesn	NP	doesn
'	POS	'
t	NN	t
get	VV	get
any	DT	any
better	JJR	good
for	IN	for
Israel	NP	Israel
but	CC	but
it	PP	it
gets	VVZ	get
considerably	RB	considerably
worse	JJR	bad
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
that	DT	that
'	''	'
s	NNS	s
very	RB	very
clear	VVP	clear
thank	VV	thank
you	PP	you
for	IN	for
talking	VVG	talk
us	PP	us
through	IN	through
that	DT	that
military	JJ	military
analyst	NN	analyst
from	IN	from
Kings	NP	Kings
college	NN	college
at	IN	at
London	NP	London
Michael	NP	Michael
Clark	NP	Clark
