<video_id>WWf_FqsjuA0</video_id>	JJ	<video_id>WWf_FqsjuA0</video_id>
speaking	VVG	speak
between	IN	between
them	PP	them
in	IN	in
Arabic	NP	Arabic
and	CC	and
the	DT	the
daughter	NN	daughter
safe	JJ	safe
room	NN	room
broke	VVD	break
even	RB	even
though	IN	though
my	PP$	my
eldest	JJ	eldest
held	VVD	hold
it	PP	it
very	RB	very
very	RB	very
strongly	RB	strongly
he's	JJ	he's
a	DT	a
strong	JJ	strong
lad	NN	lad
but	CC	but
he	PP	he
couldn't	NN	couldn't
hold	VV	hold
it	PP	it
anymore	RB	anymore
and	CC	and
they	PP	they
opened	VVD	open
the	DT	the
the	DT	the
safe	JJ	safe
rooms	NNS	room
door	NN	door
and	CC	and
uh	UH	uh
I	PP	I
could	MD	could
hear	VV	hear
my	PP$	my
youngest	JJS	young
saying	NN	saying
on	IN	on
the	DT	the
phone	NN	phone
well	RB	well
I	PP	I
could	MD	could
hear	VV	hear
him	PP	him
on	IN	on
the	DT	the
phone	NN	phone
saying	VVG	say
to	TO	to
them	PP	them
uh	UH	uh
don't	NN	don't
take	VV	take
me	PP	me
I'm	NN	I'm
too	RB	too
young	JJ	young
and	CC	and
that	WDT	that
was	VBD	be
it	PP	it
the	DT	the
line	NN	line
cut	VVN	cut
off	RP	off
and	CC	and
uh	UH	uh
that's	NNS	that's
the	DT	the
last	JJ	last
I've	NN	I've
heard	VVN	hear
of	IN	of
him	PP	him
um	RB	um
and	CC	and
they	PP	they
were	VBD	be
dragged	VVN	drag
into	IN	into
Gaza	NP	Gaza
and	CC	and
I	PP	I
don't	VVD	don't
even	RB	even
know	VV	know
I	PP	I
don't	NN	don't
know	VV	know
where	WRB	where
they	PP	they
are	VBP	be
and	CC	and
where	WRB	where
they're	NN	they're
about	RB	about
or	CC	or
who	WP	who
they're	NN	they're
with	IN	with
or	CC	or
even	RB	even
there	RB	there
if	IN	if
they're	NN	they're
still	RB	still
alive	JJ	alive
and	CC	and
what	WP	what
have	VHP	have
you	PP	you
heard	VVN	hear
from	IN	from
the	DT	the
the	DT	the
the	DT	the
government	NN	government
has	VHZ	have
anyone	NN	anyone
been	VBN	be
in	IN	in
touch	NN	touch
has	VHZ	have
anybody	NN	anybody
told	VVD	tell
you	PP	you
what	WP	what
what	WDT	what
steps	NNS	step
are	VBP	be
being	VBG	be
taken	VVN	take
to	TO	to
try	VV	try
and	CC	and
secure	VV	secure
their	PP$	their
release	VV	release
uh	UH	uh
no	UH	no
well	RB	well
they	PP	they
they	PP	they
did	VVD	do
you	PP	you
know	VVP	know
there's	RB	there's
always	RB	always
someone	NN	someone
who's	NNS	who's
supposed	VVN	suppose
to	TO	to
be	VB	be
like	IN	like
a	DT	a
contact	NN	contact
person	NN	person
on	IN	on
cases	NNS	case
like	IN	like
this	DT	this
but	CC	but
they	PP	they
don't	VVD	don't
have	VH	have
any	DT	any
new	JJ	new
information	NN	information
that	IN/that	that
they	PP	they
can	MD	can
give	VV	give
me	PP	me
uh	UH	uh
and	CC	and
I	PP	I
presume	VVP	presume
that	IN/that	that
even	RB	even
if	IN	if
they	PP	they
were	VBD	be
to	TO	to
have	VH	have
new	JJ	new
information	NN	information
they	PP	they
wouldn't	VVD	wouldn't
give	VV	give
it	PP	it
to	TO	to
me	PP	me
and	CC	and
they	PP	they
you	PP	you
know	VVP	know
there's	RB	there's
200	CD	@card@
families	NNS	family
in	IN	in
Israel	NP	Israel
waiting	VVG	wait
for	IN	for
this	DT	this
those	DT	those
news	NN	news
and	CC	and
um	NNS	um
obviously	RB	obviously
it's	JJ	it's
uh	UH	uh
it's	NNS	it's
it	PP	it
might	MD	might
work	VV	work
against	IN	against
um	VVG	um
the	DT	the
actual	JJ	actual
um	JJ	um
release	NN	release
if	IN	if
um	NNS	um
if	IN	if
they	PP	they
were	VBD	be
to	TO	to
give	VV	give
any	DT	any
information	NN	information
so	RB	so
and	CC	and
last	RB	last
on	IN	on
on	IN	on
Friday	NP	Friday
we	PP	we
we	PP	we
heard	VVD	hear
that	IN/that	that
the	DT	the
news	NN	news
that	IN/that	that
two	CD	two
people	NNS	people
had	VHD	have
been	VBN	be
uh	UH	uh
released	VVN	release
that	WDT	that
must	MD	must
have	VH	have
given	VVN	give
you	PP	you
some	DT	some
hope	VVP	hope
it	PP	it
has	VHZ	have
actually	RB	actually
yes	RB	yes
um	JJ	um
you	PP	you
know	VVP	know
I	PP	I
would	MD	would
say	VV	say
that	IN/that	that
um	JJ	um
um	NNS	um
as	IN	as
they	PP	they
know	VVP	know
that	IN/that	that
we	PP	we
treasure	VVP	treasure
life	NN	life
they	PP	they
will	MD	will
keep	VV	keep
them	PP	them
uh	UH	uh
they	PP	they
will	MD	will
keep	VV	keep
them	PP	them
safe	JJ	safe
because	IN	because
they	PP	they
know	VVP	know
they're	JJ	they're
worth	NN	worth
a	DT	a
lot	NN	lot
more	RBR	more
alive	JJ	alive
so	IN	so
this	DT	this
is	VBZ	be
my	PP$	my
hope	NN	hope
and	CC	and
obviously	RB	obviously
to	TO	to
see	VV	see
those	DT	those
two	CD	two
ladies	NNS	lady
uh	UH	uh
released	VVN	release
uh	UH	uh
in	IN	in
a	DT	a
good	JJ	good
condition	NN	condition
and	CC	and
U	NN	U
in	IN	in
good	JJ	good
health	NN	health
it	PP	it
it	PP	it
did	VVD	do
give	VV	give
me	PP	me
a	DT	a
lot	NN	lot
of	IN	of
hope	NN	hope
that	WDT	that
uh	UH	uh
that	RB	that
there	RB	there
that	IN/that	that
there	EX	there
can	MD	can
be	VB	be
a	DT	a
good	JJ	good
end	NN	end
to	TO	to
this	DT	this
tragedy	NN	tragedy
and	CC	and
meanwhile	RB	meanwhile
um	JJ	um
the	DT	the
IDF	NP	IDF
does	VVZ	do
appear	VV	appear
to	TO	to
be	VB	be
building	VVG	build
up	RP	up
to	TO	to
a	DT	a
ground	NN	ground
offensive	NN	offensive
in	IN	in
Gaza	NP	Gaza
um	JJ	um
part	NN	part
of	IN	of
the	DT	the
aims	NNS	aim
of	IN	of
which	WDT	which
is	VBZ	be
getting	VVG	get
the	DT	the
hostages	NNS	hostage
back	RB	back
is	VBZ	be
that	IN/that	that
the	DT	the
right	JJ	right
thing	NN	thing
to	TO	to
do	VV	do
to	TO	to
go	VV	go
in	IN	in
on	IN	on
the	DT	the
ground	NN	ground
um	NN	um
obviously	RB	obviously
I'm	NN	I'm
not	RB	not
the	DT	the
um	JJ	um
um	NN	um
IDF	NP	IDF
chief	JJ	chief
commander	NN	commander
and	CC	and
um	NN	um
don't	NN	don't
want	VVP	want
to	TO	to
be	VB	be
um	JJ	um
and	CC	and
I'm	NP	I'm
not	RB	not
an	DT	an
army	NN	army
uh	UH	uh
expert	NN	expert
so	IN	so
um	JJ	um
it's	NNS	it's
it's	NNS	it's
a	DT	a
bit	NN	bit
unfair	JJ	unfair
to	TO	to
ask	VV	ask
me	PP	me
as	IN	as
a	DT	a
mother	NN	mother
obviously	RB	obviously
I	PP	I
don't	VVD	don't
want	VV	want
the	DT	the
IDF	NP	IDF
to	TO	to
go	VV	go
in	IN	in
before	IN	before
they	PP	they
take	VVP	take
my	PP$	my
children	NNS	child
out	RP	out
and	CC	and
to	TO	to
be	VB	be
honest	JJ	honest
I'm	NN	I'm
against	IN	against
War	NP	War
at	IN	at
for	IN	for
for	IN	for
any	DT	any
uh	UH	uh
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
I	PP	I
saw	VVD	see
them	PP	them
as	RB	as
neighbors	VVZ	neighbor
all	PDT	all
these	DT	these
years	NNS	year
and	CC	and
look	VV	look
what	WP	what
they've	NN	they've
done	VVN	do
to	TO	to
us	PP	us
they've	NN	they've
murdered	VVN	murder
and	CC	and
raped	VVN	rape
and	CC	and
butchered	VVN	butcher
people	NNS	people
and	CC	and
families	NNS	family
complete	JJ	complete
families	NNS	family
were	VBD	be
butchered	VVN	butcher
in	IN	in
their	PP$	their
beds	NNS	bed
so	IN	so
um	NNS	um
I	PP	I
must	MD	must
say	VV	say
I	PP	I
don't	NN	don't
have	VHP	have
uh	UH	uh
the	DT	the
the	DT	the
answer	NN	answer
to	TO	to
that	WDT	that
all	DT	all
I	PP	I
know	VVP	know
is	VBZ	be
I	PP	I
want	VVP	want
my	PP$	my
children	NNS	child
back	RB	back
home	RB	home
now	RB	now
before	IN	before
any	DT	any
other	JJ	other
um	JJ	um
uh	UH	uh
move	NN	move
is	VBZ	be
done	VVN	do
or	CC	or
taken	VVN	take
um	NNS	um
I	PP	I
don't	VVD	don't
know	VV	know
what	WP	what
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
get	VV	get
them	PP	them
out	RB	out
is	VBZ	be
I	PP	I
if	IN	if
it	PP	it
was	VBD	be
up	RP	up
to	TO	to
me	PP	me
obviously	RB	obviously
I'd	VVZ	I'd
rather	RB	rather
have	VH	have
um	VVN	um
some	DT	some
kind	NN	kind
of	IN	of
transaction	NN	transaction
and	CC	and
have	VH	have
their	PP$	their
prisoners	NNS	prisoner
released	VVD	release
doesn't	JJ	doesn't
matter	NN	matter
in	IN	in
a	DT	a
year's	JJ	year's
time	NN	time
we'll	NN	we'll
have	VHP	have
another	DT	another
you	PP	you
know	VVP	know
5,000	CD	@card@
or	CC	or
6,000	CD	@card@
prisoners	NNS	prisoner
in	IN	in
our	PP$	our
in	IN	in
our	PP$	our
sales	NNS	sale
given	VVN	give
hot	JJ	hot
meals	NNS	meal
and	CC	and
hot	JJ	hot
showers	NNS	shower
and	CC	and
telephones	NNS	telephone
so	RB	so
all	RB	all
I	PP	I
know	VVP	know
is	VBZ	be
I	PP	I
want	VVP	want
my	PP$	my
children	NNS	child
back	RB	back
home	RB	home
now	RB	now
understood	VVN	understand
and	CC	and
and	CC	and
clearly	RB	clearly
this	DT	this
has	VHZ	have
been	VBN	be
a	DT	a
terrible	JJ	terrible
traumatizing	VVG	traumatize
experience	NN	experience
why	WRB	why
did	VVD	do
you	PP	you
agree	VVP	agree
to	TO	to
talk	VV	talk
to	TO	to
us	PP	us
about	IN	about
it	PP	it
uh	UH	uh
because	IN	because
I	PP	I
want	VVP	want
the	DT	the
world	NN	world
to	TO	to
know	VV	know
and	CC	and
I	PP	I
want	VVP	want
the	DT	the
world	NN	world
to	TO	to
uh	UH	uh
enlist	VV	enlist
to	TO	to
the	DT	the
effort	NN	effort
of	IN	of
releasing	VVG	release
them	PP	them
children	NNS	child
should	MD	should
not	RB	not
be	VB	be
a	DT	a
part	NN	part
of	IN	of
the	DT	the
war	NN	war
game	NN	game
they're	NN	they're
not	RB	not
bargain	NN	bargain
ships	NNS	ship
and	CC	and
um	NNS	um
I	PP	I
think	VVP	think
the	DT	the
world	NN	world
uh	UH	uh
has	VHZ	have
um	VVN	um
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
power	NN	power
on	IN	on
Palestinians	NPS	Palestinians
uh	UH	uh
the	DT	the
EU	NP	EU
has	VHZ	have
a	DT	a
lot	NN	lot
of	IN	of
power	NN	power
Qatar	NP	Qatar
has	VHZ	have
a	DT	a
lot	NN	lot
of	IN	of
power	NN	power
the	DT	the
US	NP	US
has	VHZ	have
a	DT	a
lot	NN	lot
of	IN	of
power	VV	power
uh	UH	uh
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
is	VBZ	be
flowing	VVG	flow
into	IN	into
the	DT	the
Palestinian	JJ	Palestinian
um	NN	um
state	NN	state
so	RB	so
to	TO	to
speak	VV	speak
uh	UH	uh
it	PP	it
was	VBD	be
supposed	VVN	suppose
this	DT	this
money	NN	money
was	VBD	be
supposed	VVN	suppose
to	TO	to
build	VV	build
a	DT	a
Palestinian	JJ	Palestinian
state	NN	state
but	CC	but
it	PP	it
instead	RB	instead
it	PP	it
was	VBD	be
used	VVN	use
to	TO	to
build	VV	build
an	DT	an
a	DT	a
terror	NN	terror
organization	NN	organization
and	CC	and
I	PP	I
think	VVP	think
the	DT	the
world	NN	world
should	MD	should
know	VV	know
that	IN/that	that
and	CC	and
the	DT	the
world	NN	world
should	MD	should
again	RB	again
Enlisted	VVD	enlist
the	DT	the
effort	NN	effort
of	IN	of
releasing	VVG	release
my	PP$	my
children	NNS	child
and	CC	and
the	DT	the
other	JJ	other
children	NNS	child
there	EX	there
are	VBP	be
31	CD	@card@
children	NNS	child
who	WP	who
are	VBP	be
uninvolved	JJ	uninvolved
in	IN	in
any	DT	any
in	IN	in
any	DT	any
way	NN	way
um	NN	um
I	PP	I
want	VVP	want
the	DT	the
world	NN	world
to	TO	to
enlist	VV	enlist
to	TO	to
their	PP$	their
to	TO	to
the	DT	the
effort	NN	effort
of	IN	of
releasing	VVG	release
them	PP	them
now	RB	now
I	PP	I
want	VVP	want
them	PP	them
home	RB	home
now	RB	now
there's	RB	there's
no	RB	no
and	CC	and
you	PP	you
know	VVP	know
there's	RB	there's
no	DT	no
reason	NN	reason
to	TO	to
hold	VV	hold
them	PP	them
and	CC	and
and	CC	and
the	DT	the
first	JJ	first
thing	NN	thing
you'll	NN	you'll
do	VVP	do
say	VV	say
to	TO	to
them	PP	them
when	WRB	when
you	PP	you
get	VVP	get
them	PP	them
home	NN	home
I	PP	I
don't	VVD	don't
want	VV	want
to	TO	to
say	VV	say
anything	NN	anything
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
hug	VV	hug
them	PP	them
and	CC	and
have	VH	have
them	PP	them
in	IN	in
my	PP$	my
arms	NNS	arm
and	CC	and
want	VVP	want
to	TO	to
make	VV	make
them	PP	them
feel	VV	feel
safe	JJ	safe
again	RB	again
and	CC	and
feel	VV	feel
home	NN	home
again	RB	again
even	RB	even
they	PP	they
don't	VVD	don't
have	VH	have
a	DT	a
home	NN	home
to	TO	to
come	VV	come
back	RB	back
to	TO	to
but	CC	but
they	PP	they
have	VHP	have
me	PP	me
to	TO	to
come	VV	come
back	RB	back
to	TO	to
well	RB	well
thank	VV	thank
you	PP	you
for	IN	for
telling	VVG	tell
your	PP$	your
story	NN	story
and	CC	and
sharing	VVG	share
your	PP$	your
story	NN	story
with	IN	with
us	PP	us
and	CC	and
we	PP	we
wish	VVP	wish
you	PP	you
um	JJ	um
the	DT	the
best	JJS	good
of	IN	of
all	DT	all
possible	JJ	possible
outcomes	NNS	outcome
renina	NN	renina
gome	NN	gome
a	DT	a
mother	NN	mother
of	IN	of
two	CD	two
boys	NNS	boy
held	VVD	hold
hostages	NNS	hostage
by	IN	by
Hamas	NNS	Hamas
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
</doc>	NN	</doc>
