<video_id>-nH9LYNAnKQ</video_id>	JJ	<video_id>-nH9LYNAnKQ</video_id>
somewhat	RB	somewhat
different	JJ	different
with	IN	with
the	DT	the
uh	UH	uh
earlier	RBR	earlier
the	DT	the
the	DT	the
late	JJ	late
January	NP	January
application	NN	application
South	NP	South
Africa	NP	Africa
was	VBD	be
focusing	VVG	focus
on	IN	on
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
area	NN	area
of	IN	of
Rafa	NP	Rafa
uh	UH	uh
saying	VVG	say
that	IN/that	that
the	DT	the
court	NN	court
should	MD	should
prevent	VV	prevent
Israel	NP	Israel
from	IN	from
entering	VVG	enter
that	DT	that
territory	NN	territory
the	DT	the
court	NN	court
felt	VVD	feel
that	IN/that	that
the	DT	the
measures	NNS	measure
that	WDT	that
were	VBD	be
already	RB	already
in	IN	in
place	NN	place
were	VBD	be
strong	JJ	strong
enough	RB	enough
to	TO	to
deal	VV	deal
with	IN	with
any	DT	any
situation	NN	situation
that	WDT	that
arises	VVZ	arise
there	RB	there
now	RB	now
um	JJ	um
the	DT	the
the	DT	the
the	DT	the
application	NN	application
brought	VVN	bring
by	IN	by
South	NP	South
Africa	NP	Africa
it	PP	it
comes	VVZ	come
after	IN	after
Israel	NP	Israel
has	VHZ	have
actually	RB	actually
submitted	VVN	submit
um	NNS	um
the	DT	the
timeline	NN	timeline
for	IN	for
Israel	NP	Israel
to	TO	to
submit	VV	submit
its	PP$	its
report	NN	report
to	TO	to
the	DT	the
international	JJ	international
uh	UH	uh
court	NN	court
of	IN	of
justice	NN	justice
on	IN	on
what	WP	what
it	PP	it
has	VHZ	have
done	VVN	do
uh	UH	uh
to	TO	to
ensure	VV	ensure
that	DT	that
life	NN	life
is	VBZ	be
is	VBZ	be
preserved	VVN	preserve
and	CC	and
also	RB	also
the	DT	the
focus	NN	focus
is	VBZ	be
different	JJ	different
looking	VVG	look
more	JJR	more
on	IN	on
the	DT	the
human	JJ	human
humanitarian	JJ	humanitarian
aspects	NNS	aspect
um	JJ	um
of	IN	of
Aid	NP	Aid
and	CC	and
and	CC	and
making	VVG	make
sure	JJ	sure
that	IN/that	that
Aid	NP	Aid
actually	RB	actually
reaches	VVZ	reach
people	NNS	people
across	IN	across
um	VVG	um
the	DT	the
the	DT	the
the	DT	the
area	NN	area
of	IN	of
Gaza	NP	Gaza
what	WP	what
exactly	RB	exactly
is	VBZ	be
uh	UH	uh
South	NP	South
Africa	NP	Africa
expecting	VVG	expect
the	DT	the
court	NN	court
will	MD	will
will	MD	will
do	VV	do
this	DT	this
time	NN	time
around	RB	around
because	IN	because
last	JJ	last
time	NN	time
the	DT	the
court	NN	court
I	PP	I
think	VVP	think
asked	VVN	ask
Israel	NP	Israel
to	TO	to
take	VV	take
preventive	JJ	preventive
action	NN	action
when	WRB	when
it	PP	it
came	VVD	come
to	TO	to
that	DT	that
genocide	NN	genocide
case	NN	case
that	IN/that	that
South	NP	South
Africa	NP	Africa
had	VHD	have
filed	VVN	file
what	WP	what
is	VBZ	be
South	NP	South
Africa	NP	Africa
expecting	VVG	expect
the	DT	the
court	NN	court
will	MD	will
do	VV	do
this	DT	this
time	NN	time
around	IN	around
well	RB	well
South	NP	South
Africa	NP	Africa
is	VBZ	be
being	VBG	be
more	RBR	more
um	RB	um
explicit	JJ	explicit
it	PP	it
seems	VVZ	seem
in	IN	in
its	PP$	its
request	NN	request
and	CC	and
saying	VVG	say
that	IN/that	that
there	EX	there
needs	VVZ	need
to	TO	to
actually	RB	actually
be	VB	be
a	DT	a
halt	NN	halt
an	DT	an
immediate	JJ	immediate
halt	NN	halt
um	NNS	um
to	TO	to
the	DT	the
conflict	NN	conflict
in	IN	in
the	DT	the
area	NN	area
and	CC	and
it's	NNS	it's
also	RB	also
uh	UH	uh
requesting	VVG	request
the	DT	the
release	NN	release
of	IN	of
all	DT	all
hostages	NNS	hostage
um	NN	um
which	WDT	which
would	MD	would
not	RB	not
only	RB	only
apply	VV	apply
um	NNS	um
you	PP	you
know	VVP	know
to	TO	to
Israel	NP	Israel
but	CC	but
it	PP	it
would	MD	would
also	RB	also
apply	VV	apply
if	IN	if
the	DT	the
court	NN	court
were	VBD	be
to	TO	to
order	VV	order
this	DT	this
uh	UH	uh
to	TO	to
the	DT	the
the	DT	the
the	DT	the
Hamas	JJ	Hamas
uh	UH	uh
group	NN	group
and	CC	and
any	DT	any
other	JJ	other
groups	NNS	group
that	WDT	that
are	VBP	be
holding	VVG	hold
hostages	NNS	hostage
now	RB	now
South	NP	South
Africa	NP	Africa
is	VBZ	be
saying	VVG	say
that	IN/that	that
it	PP	it
believes	VVZ	believe
that	IN/that	that
Israel	NP	Israel
hasn't	NP	hasn't
complied	VVD	comply
with	IN	with
the	DT	the
initial	JJ	initial
court	NN	court
order	NN	order
um	NNS	um
and	CC	and
it	PP	it
would	MD	would
obviously	RB	obviously
have	VH	have
to	TO	to
motivate	VV	motivate
why	WRB	why
it	PP	it
says	VVZ	say
that	IN/that	that
um	NNS	um
it	PP	it
says	VVZ	say
that	IN/that	that
Israel's	NP	Israel's
actions	NNS	action
over	IN	over
the	DT	the
period	NN	period
since	IN	since
the	DT	the
initial	JJ	initial
court	NN	court
order	NN	order
and	CC	and
now	RB	now
do	VVP	do
not	RB	not
demonstrate	VV	demonstrate
that	IN/that	that
it	PP	it
has	VHZ	have
complied	VVN	comply
with	IN	with
that	DT	that
court	NN	court
order	NN	order
so	RB	so
in	IN	in
a	DT	a
way	NN	way
it	PP	it
wants	VVZ	want
the	DT	the
court	NN	court
to	TO	to
examine	VV	examine
in	IN	in
Israel's	NP	Israel's
actions	NNS	action
in	IN	in
this	DT	this
period	NN	period
as	IN	as
well	RB	well
as	RB	as
to	TO	to
make	VV	make
a	DT	a
further	VV	further
uh	UH	uh
step	NN	step
by	IN	by
requesting	VVG	request
um	NNS	um
or	CC	or
ordering	VVG	order
that	IN/that	that
there	EX	there
should	MD	should
be	VB	be
a	DT	a
halt	NN	halt
to	TO	to
the	DT	the
conflict	VVP	conflict
itself	PP	itself
how	WRB	how
much	JJ	much
support	NN	support
is	VBZ	be
there	RB	there
in	IN	in
South	NP	South
Africa	NP	Africa
for	IN	for
the	DT	the
government's	NNS	government's
efforts	NNS	effort
at	IN	at
the	DT	the
icj	NN	icj
in	IN	in
in	IN	in
South	NP	South
Africa	NP	Africa
I	PP	I
would	MD	would
say	VV	say
there	EX	there
is	VBZ	be
quite	RB	quite
a	DT	a
lot	NN	lot
of	IN	of
support	NN	support
of	IN	of
course	NN	course
there	EX	there
are	VBP	be
different	JJ	different
perspectives	NNS	perspective
uh	UH	uh
from	IN	from
all	DT	all
different	JJ	different
walks	NNS	walk
of	IN	of
life	NN	life
but	CC	but
we	PP	we
regularly	RB	regularly
do	VVP	do
see	VV	see
protests	NNS	protest
taking	VVG	take
place	NN	place
usually	RB	usually
on	IN	on
a	DT	a
Friday	NP	Friday
and	CC	and
Saturday	NP	Saturday
where	WRB	where
there	EX	there
are	VBP	be
large	JJ	large
groups	NNS	group
Gathering	VVG	gather
particularly	RB	particularly
in	IN	in
the	DT	the
Western	JJ	Western
Cape	NP	Cape
um	NNS	um
where	WRB	where
there's	RB	there's
a	DT	a
large	JJ	large
Muslim	NP	Muslim
Community	NP	Community
um	NNS	um
where	WRB	where
people	NNS	people
are	VBP	be
requesting	VVG	request
that	IN/that	that
um	NNS	um
you	PP	you
know	VVP	know
South	NP	South
Africa	NP	Africa
should	MD	should
continue	VV	continue
this	DT	this
and	CC	and
also	RB	also
saying	VVG	say
that	IN/that	that
there	EX	there
should	MD	should
be	VB	be
other	JJ	other
interventions	NNS	intervention
not	RB	not
only	RB	only
from	IN	from
South	NP	South
Africa	NP	Africa
but	CC	but
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
International	NP	International
Community	NP	Community
um	NNS	um
I	PP	I
think	VVP	think
it	PP	it
is	VBZ	be
important	JJ	important
to	TO	to
also	RB	also
note	VV	note
that	IN/that	that
there	EX	there
have	VHP	have
been	VBN	be
other	JJ	other
countries	NNS	country
that	WDT	that
that	RB	that
have	VHP	have
expressed	VVN	express
their	PP$	their
support	NN	support
for	IN	for
example	NN	example
Nicaragua	NP	Nicaragua
has	VHZ	have
requested	VVN	request
to	TO	to
join	VV	join
the	DT	the
the	DT	the
broader	JJR	broad
case	NN	case
um	NNS	um
at	IN	at
the	DT	the
icj	NN	icj
and	CC	and
a	DT	a
number	NN	number
of	IN	of
other	JJ	other
countries	NNS	country
in	IN	in
uh	UH	uh
the	DT	the
the	DT	the
Arab	NP	Arab
League	NP	League
have	VHP	have
also	RB	also
expressed	VVN	express
their	PP$	their
support	NN	support
thanks	NNS	thanks
so	RB	so
much	RB	much
for	IN	for
that	IN/that	that
our	PP$	our
correspondent	NN	correspondent
Diane	NP	Diane
Hawker	NP	Hawker
reporting	NN	reporting
from	IN	from
Johannesburg	NP	Johannesburg
</doc>	NP	</doc>
