<video_id>DaboSLKSkwA</video_id>	JJ	<video_id>DaboSLKSkwA</video_id>
of	IN	of
what	WP	what
the	DT	the
government	NN	government
is	VBZ	be
doing	VVG	do
to	TO	to
try	VV	try
to	TO	to
get	VV	get
them	PP	them
back	RB	back
home	RB	home
well	RB	well
Thailand	NP	Thailand
has	VHZ	have
actually	RB	actually
been	VBN	be
pursuing	VVG	pursue
its	PP$	its
own	JJ	own
sort	NN	sort
of	IN	of
diplomatic	JJ	diplomatic
behind	IN	behind
the	DT	the
scenes	NNS	scene
course	NN	course
on	IN	on
these	DT	these
hostages	NNS	hostage
um	NN	um
it's	NNS	it's
um	JJ	um
foreign	JJ	foreign
minister	NN	minister
has	VHZ	have
traveled	VVN	travel
to	TO	to
Qatar	NP	Qatar
and	CC	and
Egypt	NP	Egypt
but	CC	but
also	RB	also
although	IN	although
Thailand	NP	Thailand
is	VBZ	be
a	DT	a
predominantly	RB	predominantly
Buddhist	NN	Buddhist
country	NN	country
there	RB	there
is	VBZ	be
a	DT	a
Muslim	JJ	Muslim
minority	NN	minority
here	RB	here
and	CC	and
um	JJ	um
leaders	NNS	leader
of	IN	of
the	DT	the
Muslim	NP	Muslim
Community	NP	Community
U	NP	U
traveled	VVD	travel
to	TO	to
tan	VV	tan
to	TO	to
meet	VV	meet
Iranian	JJ	Iranian
and	CC	and
Hamas	JJ	Hamas
officials	NNS	official
and	CC	and
the	DT	the
Iranian	JJ	Iranian
foreign	JJ	foreign
Deputy	NP	Deputy
foreign	JJ	foreign
minister	NN	minister
was	VBD	be
just	RB	just
in	IN	in
Bangkok	NP	Bangkok
so	IN	so
tand	NN	tand
has	VHZ	have
been	VBN	be
very	RB	very
much	JJ	much
working	NN	working
with	IN	with
Iran	NP	Iran
given	VVN	give
it's	NNS	it's
a	DT	a
major	JJ	major
sponsor	NN	sponsor
of	IN	of
Hamas	NP	Hamas
to	TO	to
negotiate	VV	negotiate
um	NNS	um
back	JJ	back
Channel	NP	Channel
sort	NN	sort
of	IN	of
ways	NNS	way
to	TO	to
get	VV	get
their	PP$	their
people	NNS	people
out	RP	out
so	IN	so
that's	NN	that's
that's	NNS	that's
what	WP	what
they're	NN	they're
pursuing	VVG	pursue
for	IN	for
the	DT	the
remaining	VVG	remain
for	IN	for
the	DT	the
remaining	VVG	remain
20	CD	@card@
but	CC	but
um	RB	um
they	PP	they
may	MD	may
be	VB	be
dealing	VVG	deal
with	IN	with
groups	NNS	group
other	JJ	other
than	IN	than
Hamas	NP	Hamas
within	IN	within
Gaza	NP	Gaza
also	RB	also
how	WRB	how
has	VHZ	have
the	DT	the
Tha	NP	tha
government	NN	government
been	VBN	be
addressing	VVG	address
the	DT	the
safety	NN	safety
and	CC	and
of	IN	of
its	PP$	its
citizens	NNS	citizen
still	RB	still
working	VVG	work
in	IN	in
Israel	NP	Israel
yes	RB	yes
well	RB	well
Thailand	NP	Thailand
there	EX	there
were	VBD	be
30,000	CD	@card@
Ties	NNS	tie
working	VVG	work
in	IN	in
Israel	NP	Israel
before	IN	before
the	DT	the
October	NP	October
7	CD	@card@
attacks	NNS	attack
um	RB	um
predominantly	RB	predominantly
in	IN	in
the	DT	the
agriculture	NN	agriculture
sector	NN	sector
as	IN	as
migrant	JJ	migrant
workers	NNS	worker
um	JJ	um
about	IN	about
the	DT	the
the	DT	the
the	DT	the
Thai	NP	Thai
government	NN	government
encouraged	VVD	encourage
everybody	NN	everybody
to	TO	to
return	VV	return
back	RB	back
to	TO	to
Thailand	NP	Thailand
and	CC	and
laid	VVN	lay
on	IN	on
repatriation	NN	repatriation
flights	NNS	flight
about	IN	about
8	CD	@card@
and	CC	and
a	DT	a
half	JJ	half
thousand	CD	thousand
Tha	NP	tha
have	VHP	have
returned	VVN	return
but	CC	but
more	JJR	more
than	IN	than
20,000	CD	@card@
have	VHP	have
chosen	VVN	choose
to	TO	to
remain	VV	remain
they	PP	they
are	VBP	be
working	VVG	work
in	IN	in
areas	NNS	area
further	RBR	further
away	RB	away
from	IN	from
Gaza	NP	Gaza
and	CC	and
the	DT	the
immediate	JJ	immediate
fighting	NN	fighting
um	NNS	um
and	CC	and
also	RB	also
you	PP	you
have	VHP	have
to	TO	to
remember	VV	remember
they	PP	they
are	VBP	be
from	IN	from
poor	NN	poor
you	PP	you
know	VVP	know
poorer	JJR	poor
areas	NNS	area
of	IN	of
Thailand	NP	Thailand
rural	JJ	rural
areas	NNS	area
and	CC	and
they	PP	they
were	VBD	be
getting	VVG	get
much	RB	much
larger	JJR	large
wages	NNS	wage
in	IN	in
Israel	NP	Israel
than	IN	than
they	PP	they
would	MD	would
have	VH	have
been	VBN	be
in	IN	in
Thailand	NP	Thailand
they	PP	they
traveled	VVD	travel
there	RB	there
for	IN	for
economic	JJ	economic
reasons	NNS	reason
um	RB	um
overwhelmingly	RB	overwhelmingly
male	JJ	male
workers	NNS	worker
to	TO	to
send	VV	send
money	NN	money
back	RB	back
for	IN	for
their	PP$	their
families	NNS	family
and	CC	and
um	NNS	um
many	JJ	many
have	VHP	have
decided	VVN	decide
to	TO	to
stay	VV	stay
and	CC	and
the	DT	the
uh	UH	uh
the	DT	the
Thai	JJ	Thai
government	NN	government
has	VHZ	have
left	VVN	leave
the	DT	the
option	NN	option
open	JJ	open
if	IN	if
they	PP	they
want	VVP	want
to	TO	to
return	VV	return
but	CC	but
otherwise	RB	otherwise
is	VBZ	be
working	VVG	work
with	IN	with
the	DT	the
Israelis	NPS	Israelis
and	CC	and
Israeli	JJ	Israeli
employment	NN	employment
agencies	NNS	agency
to	TO	to
try	VV	try
and	CC	and
make	VV	make
sure	JJ	sure
they	PP	they
are	VBP	be
safe	JJ	safe
on	IN	on
the	DT	the
ground	NN	ground
okay	JJ	okay
journalist	NN	journalist
Philip	NP	Philip
sherwell	NP	sherwell
in	IN	in
Bangkok	NP	Bangkok
thank	VVP	thank
you	PP	you
thank	VVP	thank
</doc>	NN	</doc>
