<video_id>6xrHXJZSFXU</video_id>	JJ	<video_id>6xrHXJZSFXU</video_id>
Biden's	NP	Biden's
announcement	NN	announcement
to	TO	to
end	VV	end
his	PP$	his
uh	UH	uh
bid	NN	bid
for	IN	for
uh	UH	uh
a	DT	a
second	JJ	second
term	NN	term
in	IN	in
office	NN	office
um	NNS	um
it	PP	it
also	RB	also
comes	VVZ	come
uh	UH	uh
after	RB	after
a	DT	a
time	NN	time
of	IN	of
really	RB	really
Frosty	JJ	frosty
relations	NNS	relation
between	IN	between
Netanyahu	NP	Netanyahu
and	CC	and
Biden	NP	Biden
over	IN	over
Israel's	NP	Israel's
conduct	NN	conduct
of	IN	of
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
and	CC	and
more	JJR	more
specifically	RB	specifically
uh	UH	uh
Israel's	NP	Israel's
um	JJ	um
incursion	NN	incursion
on	IN	on
RAF	NN	RAF
which	WDT	which
the	DT	the
United	NP	United
States	NPS	States
had	VHD	have
been	VBN	be
uh	UH	uh
quite	RB	quite
critical	JJ	critical
of	IN	of
after	IN	after
uh	UH	uh
you	PP	you
know	VVP	know
sort	NN	sort
of	IN	of
more	RBR	more
or	CC	or
less	RBR	less
unconditionally	RB	unconditionally
supporting	VVG	support
Israel	NP	Israel
following	VVG	follow
the	DT	the
attacks	NNS	attack
of	IN	of
October	NP	October
uh	UH	uh
uh	UH	uh
7th	JJ	7th
and	CC	and
now	RB	now
we're	NN	we're
seeing	VVG	see
Netanyahu	NP	Netanyahu
strike	VV	strike
a	DT	a
more	RBR	more
unified	JJ	unified
tone	NN	tone
given	VVN	give
um	NN	um
given	VVN	give
Biden's	NP	Biden's
announcement	NN	announcement
he's	NNS	he's
Netanyahu	NP	Netanyahu
is	VBZ	be
expected	VVN	expect
to	TO	to
address	VV	address
uh	UH	uh
Congress	NP	Congress
and	CC	and
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
speculation	NN	speculation
that	IN/that	that
that	DT	that
speech	NN	speech
would	MD	would
try	VV	try
to	TO	to
play	VV	play
up	RP	up
uh	UH	uh
uh	UH	uh
uh	UH	uh
um	RB	um
his	PP$	his
perceived	VVN	perceive
uh	UH	uh
uh	UH	uh
his	PP$	his
perceived	VVN	perceive
um	NN	um
lack	NN	lack
of	IN	of
support	NN	support
from	IN	from
Biden	NP	Biden
but	CC	but
we're	NN	we're
now	RB	now
hearing	VVG	hear
that	IN/that	that
that	DT	that
speech	NN	speech
to	TO	to
Congress	NP	Congress
is	VBZ	be
likely	JJ	likely
to	TO	to
strike	VV	strike
another	DT	another
uh	UH	uh
you	PP	you
know	VVP	know
more	JJR	more
of	IN	of
the	DT	the
of	IN	of
what	WP	what
we've	NN	we've
heard	VVD	hear
today	NN	today
uh	UH	uh
more	JJR	more
emphasis	NN	emphasis
on	IN	on
the	DT	the
unity	NN	unity
and	CC	and
everything	NN	everything
that	IN/that	that
Biden	NP	Biden
has	VHZ	have
done	VVN	do
for	IN	for
uh	UH	uh
uh	UH	uh
Israel	NP	Israel
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
this	DT	this
comes	VVZ	come
at	IN	at
a	DT	a
kind	NN	kind
of	IN	of
more	JJR	more
or	CC	or
less	JJR	less
a	DT	a
low	JJ	low
point	NN	point
for	IN	for
netanyahu's	NNS	netanyahu's
popularity	NN	popularity
uh	UH	uh
the	DT	the
war	NN	war
in	IN	in
its	PP$	its
ninth	JJ	ninth
ninth	JJ	ninth
month	NN	month
now	RB	now
and	CC	and
with	IN	with
uh	UH	uh
hostages	NNS	hostage
still	RB	still
being	VBG	be
held	VVN	hold
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
we	PP	we
even	RB	even
saw	VVD	see
protesters	NNS	protester
at	IN	at
the	DT	the
airport	NN	airport
here	RB	here
in	IN	in
Israel	NP	Israel
as	IN	as
uh	UH	uh
uh	UH	uh
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
was	VBD	be
leaving	VVG	leave
calling	VVG	call
on	IN	on
him	PP	him
to	TO	to
try	VV	try
and	CC	and
find	VV	find
another	DT	another
deal	NN	deal
that	WDT	that
would	MD	would
bring	VV	bring
back	RB	back
the	DT	the
remaining	VVG	remain
hostages	NNS	hostage
and	CC	and
end	VV	end
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
so	IN	so
considering	VVG	consider
all	PDT	all
those	DT	those
factors	NNS	factor
just	RB	just
briefly	RB	briefly
if	IN	if
you	PP	you
could	MD	could
Aya	NN	Aya
could	MD	could
you	PP	you
broaden	VV	broaden
this	DT	this
out	RP	out
and	CC	and
tell	VV	tell
us	PP	us
where	WRB	where
this	DT	this
leaves	VVZ	leave
us	PP	us
and	CC	and
Israeli	JJ	Israeli
relations	NNS	relation
I	PP	I
don't	VVD	don't
think	VV	think
this	DT	this
is	VBZ	be
likely	JJ	likely
to	TO	to
have	VH	have
a	DT	a
huge	JJ	huge
effect	NN	effect
on	IN	on
Israeli	JJ	Israeli
American	JJ	American
relations	NNS	relation
look	VVP	look
even	RB	even
though	IN	though
there	EX	there
have	VHP	have
been	VBN	be
critical	JJ	critical
statements	NNS	statement
coming	VVG	come
from	IN	from
Washington	NP	Washington
towards	IN	towards
the	DT	the
Netanyahu	NP	Netanyahu
Administration	NP	Administration
and	CC	and
the	DT	the
conduct	NN	conduct
of	IN	of
the	DT	the
war	NN	war
the	DT	the
United	NP	United
States	NP	States
Still	RB	still
Remains	NNS	Remain
Israel's	NNS	Israel's
biggest	JJS	big
Ally	NP	Ally
and	CC	and
not	RB	not
just	RB	just
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
providing	VVG	provide
weapons	NNS	weapon
uh	UH	uh
that	WDT	that
have	VHP	have
of	IN	of
course	NN	course
contributed	VVD	contribute
to	TO	to
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
but	CC	but
also	RB	also
providing	VVG	provide
diplomatic	JJ	diplomatic
cover	NN	cover
for	IN	for
Israel	NP	Israel
in	IN	in
international	JJ	international
forums	NNS	forum
like	IN	like
the	DT	the
United	NP	United
Nations	NPS	Nations
security	NN	security
Council	NP	Council
and	CC	and
so	RB	so
even	RB	even
though	IN	though
there	EX	there
are	VBP	be
disagreements	NNS	disagreement
I	PP	I
don't	VVD	don't
think	VV	think
this	DT	this
really	RB	really
marks	VVZ	mark
a	DT	a
huge	JJ	huge
departure	NN	departure
from	IN	from
the	DT	the
Ironclad	JJ	ironclad
American	JJ	American
support	NN	support
for	IN	for
Israel	NP	Israel
uh	UH	uh
and	CC	and
to	TO	to
a	DT	a
very	RB	very
large	JJ	large
extent	NN	extent
the	DT	the
war	NN	war
well	RB	well
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
that	IN/that	that
that	DT	that
is	VBZ	be
our	PP$	our
correspondent	NN	correspondent
a	DT	a
Ibrahim	NP	Ibrahim
in	IN	in
Jerusalem	NP	Jerusalem
</doc>	NP	</doc>
