kisin	NN	kisin
have	VH	have
to	TO	to
be	VB	be
delivered	VVN	deliver
to	TO	to
the	DT	the
court	NN	court
and	CC	and
we	PP	we
we	PP	we
'	POS	'
ll	NNS	ll
see	VVP	see
what	WP	what
Israel	NP	Israel
does	VVZ	do
to	TO	to
prevent	VV	prevent
a	DT	a
genocide	NN	genocide
now	RB	now
all	RB	all
of	IN	of
this	DT	this
means	VVZ	mean
that	IN/that	that
the	DT	the
Germany	NP	Germany
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
also	RB	also
other	JJ	other
Western	JJ	Western
supporters	NNS	supporter
of	IN	of
Israel	NP	Israel
find	VVP	find
themselves	PP	themselves
accused	VVD	accuse
of	IN	of
of	IN	of
caring	VVG	care
more	JJR	more
say	NN	say
about	IN	about
Ukrainian	JJ	Ukrainian
civilians	NNS	civilian
than	IN	than
about	RB	about
Palestinian	JJ	Palestinian
civilians	NNS	civilian
by	IN	by
the	DT	the
sound	NN	sound
of	IN	of
what	WP	what
you	PP	you
'	''	'
re	IN	re
saying	VVG	say
it	PP	it
sounds	VVZ	sound
like	IN	like
you	PP	you
can	MD	can
understand	VV	understand
where	WRB	where
that	DT	that
criticism	NN	criticism
is	VBZ	be
coming	VVG	come
from	IN	from
well	RB	well
we	PP	we
um	JJ	um
we	PP	we
hear	VVP	hear
this	DT	this
as	IN	as
I	PP	I
said	VVD	say
there	EX	there
are	VBP	be
150	CD	@card@
countries	NNS	country
who	WP	who
urgently	RB	urgently
ask	VVP	ask
for	IN	for
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
this	DT	this
is	VBZ	be
a	DT	a
majority	NN	majority
of	IN	of
of	IN	of
of	IN	of
Nations	NP	Nations
um	NNS	um
and	CC	and
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
something	NN	something
that	WDT	that
um	VVZ	um
the	DT	the
International	NP	International
Community	NP	Community
asks	VVZ	ask
for	IN	for
and	CC	and
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
what	WP	what
um	NNS	um
should	MD	should
be	VB	be
asked	VVN	ask
um	RB	um
the	DT	the
Israeli	JJ	Israeli
government	NN	government
to	TO	to
to	TO	to
actually	RB	actually
Implement	VV	implement
now	RB	now
the	DT	the
other	JJ	other
kind	NN	kind
major	JJ	major
conflict	NN	conflict
not	RB	not
far	RB	far
from	IN	from
here	RB	here
that	IN/that	that
that	DT	that
'	''	'
s	NNS	s
raging	VVG	rage
in	IN	in
Europe	NP	Europe
of	IN	of
course	NN	course
Russia	NP	Russia
'	POS	'
s	JJ	s
um	JJ	um
war	NN	war
against	IN	against
Ukraine	NP	Ukraine
uh	UH	uh
which	WDT	which
has	VHZ	have
been	VBN	be
grinding	VVG	grind
on	RP	on
for	IN	for
so	RB	so
long	JJ	long
long	RB	long
um	RB	um
we	PP	we
see	VV	see
uh	UH	uh
a	DT	a
certain	JJ	certain
amount	NN	amount
of	IN	of
jitters	NNS	jitter
in	IN	in
the	DT	the
west	NN	west
here	RB	here
um	RB	um
we	PP	we
see	VVP	see
that	IN/that	that
American	JJ	American
Military	JJ	military
Support	NN	support
could	MD	could
be	VB	be
you	PP	you
know	VVP	know
close	RB	close
to	TO	to
the	DT	the
brink	NN	brink
of	IN	of
collapse	NN	collapse
we	PP	we
saw	VVD	see
Olaf	NP	Olaf
Schultz	NP	Schultz
of	IN	of
J	NP	J
Cher	NP	Cher
was	VBD	be
just	RB	just
in	IN	in
Washington	NP	Washington
he	PP	he
warned	VVD	warn
that	IN/that	that
uh	UH	uh
Ukraine	NP	Ukraine
is	VBZ	be
absolutely	RB	absolutely
dependent	JJ	dependent
on	IN	on
that	DT	that
support	NN	support
the	DT	the
implication	NN	implication
the	DT	the
strong	JJ	strong
implication	NN	implication
being	VBG	be
that	DT	that
if	IN	if
that	WDT	that
support	NN	support
Falls	NP	Falls
away	RB	away
then	RB	then
Ukraine	NP	Ukraine
loses	VVZ	lose
is	VBZ	be
that	IN/that	that
the	DT	the
situation	NN	situation
we	PP	we
'	POS	'
re	NN	re
looking	VVG	look
at	IN	at
well	RB	well
we	PP	we
um	VVZ	um
the	DT	the
jury	NN	jury
is	VBZ	be
still	RB	still
out	IN	out
I	PP	I
think	VVP	think
that	IN/that	that
the	DT	the
US	NP	US
president	NN	president
the	DT	the
US	NP	US
government	NN	government
um	NN	um
is	VBZ	be
pushing	VVG	push
um	NNS	um
for	IN	for
um	NNS	um
the	DT	the
continuation	NN	continuation
of	IN	of
um	JJ	um
delivery	NN	delivery
of	IN	of
weapons	NNS	weapon
to	TO	to
to	TO	to
Ukraine	NP	Ukraine
we	PP	we
just	RB	just
saw	VVD	see
that	IN/that	that
in	IN	in
the	DT	the
Senate	NP	Senate
there	RB	there
was	VBD	be
a	DT	a
two	CD	two
-	NN	-
thirds	NNS	third
majority	NN	majority
in	IN	in
in	IN	in
favor	NN	favor
it	PP	it
and	CC	and
I	PP	I
just	RB	just
can	MD	can
'	''	'
t	NN	t
believe	VVP	believe
that	IN/that	that
um	NNS	um
us	PP	us
parliamentarians	NNS	parliamentarian
um	NNS	um
will	MD	will
let	VV	let
um	JJ	um
Ukraine	NP	Ukraine
down	NN	down
and	CC	and
will	NN	will
um	NN	um
Putin	NP	Putin
Vladimir	NP	Vladimir
Putin	NP	Putin
um	NNS	um
strike	VVP	strike
a	DT	a
victory	NN	victory
um	NN	um
so	IN	so
I	PP	I
don	NN	don
'	POS	'
t	NN	t
believe	VVP	believe
that	IN/that	that
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
what	WP	what
I	PP	I
must	MD	must
say	VV	say
there	EX	there
is	VBZ	be
also	RB	also
there	RB	there
'	''	'
s	NNS	s
always	RB	always
something	RB	something
positive	JJ	positive
even	RB	even
in	IN	in
the	DT	the
worst	JJS	bad
developments	NNS	development
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
European	JJ	European
Awakening	NN	awakening
we	PP	we
see	VVP	see
very	RB	very
clear	VV	clear
the	DT	the
the	DT	the
German	JJ	German
Chancellor	NP	Chancellor
assuming	VVG	assume
a	DT	a
leading	VVG	lead
role	NN	role
in	IN	in
Europe	NP	Europe
to	TO	to
for	IN	for
the	DT	the
support	NN	support
of	IN	of
um	JJ	um
Ukraine	NP	Ukraine
he	PP	he
is	VBZ	be
um	JJ	um
um	NNS	um
really	RB	really
drumming	VVG	drum
up	RP	up
support	NN	support
from	IN	from
his	PP$	his
European	JJ	European
Partners	NNS	partner
to	TO	to
do	VV	do
more	RBR	more
I	PP	I
think	VVP	think
we	PP	we
'	''	'
ll	NNS	ll
see	VVP	see
a	DT	a
drive	NN	drive
now	RB	now
for	IN	for
more	JJR	more
European	JJ	European
Defense	NN	defense
for	IN	for
the	DT	the
European	NP	European
Union	NP	Union
to	TO	to
assume	VV	assume
more	JJR	more
responsibility	NN	responsibility
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
need	VVP	need
in	IN	in
general	NN	general
we	PP	we
need	VVP	need
the	DT	the
European	JJ	European
Union	NP	Union
um	NN	um
the	DT	the
European	JJ	European
countries	NNS	country
um	VVG	um
the	DT	the
European	JJ	European
members	NNS	member
of	IN	of
NATO	NP	NATO
to	TO	to
assume	VV	assume
more	JJR	more
responsibility	NN	responsibility
for	IN	for
European	JJ	European
um	JJ	um
security	NN	security
because	IN	because
no	DT	no
matter	NN	matter
who	WP	who
will	MD	will
um	RB	um
be	VB	be
the	DT	the
next	JJ	next
US	NP	US
president	NN	president
it	PP	it
'	POS	'
s	NNS	s
clear	VVP	clear
that	IN/that	that
the	DT	the
US	NP	US
will	MD	will
have	VH	have
to	TO	to
concentrate	VV	concentrate
on	IN	on
their	PP$	their
domestic	JJ	domestic
challenges	NNS	challenge
and	CC	and
they	PP	they
will	MD	will
um	RB	um
concentrate	VV	concentrate
on	IN	on
Asia	NP	Asia
and	CC	and
therefore	RB	therefore
Europe	NP	Europe
has	VHZ	have
to	TO	to
do	VV	do
its	PP$	its
home	NN	home
homework	NN	homework
yeah	RB	yeah
and	CC	and
of	IN	of
course	NN	course
I	PP	I
mean	VVP	mean
you	PP	you
talking	VVG	talk
about	IN	about
the	DT	the
elephant	NN	elephant
in	IN	in
the	DT	the
room	NN	room
causing	VVG	cause
a	DT	a
lot	NN	lot
of	IN	of
angst	NN	angst
here	RB	here
in	IN	in
Europe	NP	Europe
a	DT	a
possible	JJ	possible
second	JJ	second
Trump	NP	Trump
Administration	NP	Administration
over	IN	over
the	DT	the
weekend	NN	weekend
Donald	NP	Donald
Trump	NP	Trump
was	VBD	be
saying	VVG	say
that	IN/that	that
he	PP	he
would	MD	would
even	RB	even
encourage	VV	encourage
Vladimir	NP	Vladimir
Putin	NP	Putin
to	TO	to
attack	VV	attack
NATO	NP	NATO
members	NNS	member
that	IN/that	that
he	PP	he
feels	VVZ	feel
are	VBP	be
not	RB	not
paying	VVG	pay
his	PP$	his
dues	NNS	due
their	PP$	their
dubes	NNS	dubes
what	WP	what
does	VVZ	do
Europe	NP	Europe
need	VV	need
to	TO	to
do	VV	do
in	IN	in
that	DT	that
regard	NN	regard
because	IN	because
Europe	NP	Europe
is	VBZ	be
totally	RB	totally
dependent	JJ	dependent
on	IN	on
American	JJ	American
nuclear	JJ	nuclear
weapons	NNS	weapon
well	RB	well
um	RB	um
there	EX	there
are	VBP	be
several	JJ	several
questions	NNS	question
but	CC	but
first	JJ	first
of	IN	of
all	DT	all
um	NN	um
that	WDT	that
may	MD	may
surprise	VV	surprise
you	PP	you
but	CC	but
um	JJ	um
Donald	NP	Donald
Trump	NP	Trump
has	VHZ	have
a	DT	a
point	NN	point
know	VVP	know
the	DT	the
European	JJ	European
members	NNS	member
of	IN	of
NATO	NP	NATO
all	DT	all
member	NN	member
states	NNS	state
of	IN	of
NATO	NP	NATO
have	VHP	have
committed	VVN	commit
10	CD	@card@
years	NNS	year
ago	RB	ago
to	TO	to
spend	VV	spend
2	CD	@card@
%	NN	%
of	IN	of
their	PP$	their
GDP	NP	GDP
on	IN	on
defense	NN	defense
and	CC	and
many	JJ	many
countries	NNS	country
including	VVG	include
my	PP$	my
own	JJ	own
have	VHP	have
not	RB	not
delivered	VVN	deliver
they	PP	they
have	VHP	have
only	RB	only
now	RB	now
finally	RB	finally
um	JJ	um
you	PP	you
know	VVP	know
with	IN	with
um	JJ	um
um	NNS	um
you	PP	you
know	VVP	know
with	IN	with
a	DT	a
special	JJ	special
effort	NN	effort
um	NNS	um
reach	VVP	reach
these	DT	these
2	CD	@card@
%	NN	%
and	CC	and
um	NN	um
it	PP	it
will	MD	will
be	VB	be
key	JJ	key
that	IN/that	that
Germany	NP	Germany
and	CC	and
other	JJ	other
partners	NNS	partner
continue	VVP	continue
to	TO	to
do	VV	do
that	IN/that	that
not	RB	not
to	TO	to
do	VV	do
a	DT	a
favor	NN	favor
to	TO	to
president	NN	president
Trump	NP	Trump
but	CC	but
um	NNS	um
to	TO	to
secure	VV	secure
European	JJ	European
uh	UH	uh
protection	NN	protection
to	TO	to
strengthen	VV	strengthen
the	DT	the
European	JJ	European
um	NN	um
um	NNS	um
European	JJ	European
part	NN	part
of	IN	of
of	IN	of
of	IN	of
NATO	NP	NATO
with	IN	with
regard	NN	regard
to	TO	to
um	JJ	um
European	JJ	European
cooporation	NN	cooporation
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
nuclear	JJ	nuclear
umbrella	NN	umbrella
of	IN	of
course	NN	course
we	PP	we
rely	VVP	rely
on	IN	on
um	NNS	um
on	IN	on
the	DT	the
US	NP	US
um	NN	um
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
I	PP	I
think	VVP	think
it	PP	it
it	PP	it
would	MD	would
be	VB	be
safe	JJ	safe
um	NNS	um
for	IN	for
Germany	NP	Germany
um	NNS	um
for	IN	for
the	DT	the
other	JJ	other
um	NN	um
European	NP	European
NATO	NP	NATO
Partners	NPS	Partners
to	TO	to
actually	RB	actually
pick	VV	pick
up	RP	up
what	WP	what
um	VVZ	um
the	DT	the
French	JJ	French
president	NN	president
has	VHZ	have
offered	VVN	offer
to	TO	to
have	VH	have
a	DT	a
discussion	NN	discussion
about	IN	about
the	DT	the
force	NN	force
fra	NN	fra
about	IN	about
the	DT	the
nuclear	JJ	nuclear
um	JJ	um
French	JJ	French
forces	NNS	force
and	CC	and
we	PP	we
should	MD	should
add	VV	add
Great	NP	Great
Britain	NP	Britain
to	TO	to
that	DT	that
discussion	NN	discussion
and	CC	and
see	VV	see
how	WRB	how
much	JJ	much
are	VBP	be
we	PP	we
ready	JJ	ready
to	TO	to
have	VH	have
as	IN	as
a	DT	a
complimentary	JJ	complimentary
Shield	NP	Shield
a	DT	a
a	DT	a
European	JJ	European
protection	NN	protection
by	IN	by
those	DT	those
Europeans	NPS	Europeans
who	WP	who
um	NNS	um
have	VHP	have
at	IN	at
their	PP$	their
disposal	NN	disposal
their	PP$	their
own	JJ	own
nuclear	JJ	nuclear
forces	NNS	force
now	RB	now
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
on	IN	on
Ukraine	NP	Ukraine
you	PP	you
'	POS	'
ve	RB	ve
been	VBN	be
saying	VVG	say
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
really	RB	really
time	NN	time
time	NN	time
to	TO	to
be	VB	be
thinking	VVG	think
about	IN	about
the	DT	the
form	NN	form
of	IN	of
negotiations	NNS	negotiation
that	WDT	that
could	MD	could
happen	VV	happen
at	IN	at
the	DT	the
end	NN	end
of	IN	of
this	DT	this
conflict	NN	conflict
whenever	WRB	whenever
this	DT	this
conflict	NN	conflict
does	VVZ	do
come	VV	come
to	TO	to
an	DT	an
end	VV	end
uh	UH	uh
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
a	DT	a
negotiating	VVG	negotiate
process	NN	process
what	WP	what
could	MD	could
that	RB	that
involve	VV	involve
how	WRB	how
do	VVP	do
you	PP	you
envisage	VVP	envisage
that	IN/that	that
well	RB	well
when	WRB	when
you	PP	you
look	VVP	look
at	IN	at
conflicts	NNS	conflict
worldwide	RB	worldwide
most	RBS	most
um	JJ	um
uh	UH	uh
have	VHP	have
not	RB	not
only	RB	only
end	VV	end
ended	VVN	end
but	CC	but
they	PP	they
have	VHP	have
ended	VVN	end
with	IN	with
some	DT	some
kind	NN	kind
of	IN	of
agreement	NN	agreement
and	CC	and
therefore	RB	therefore
um	NNS	um
I	PP	I
think	VVP	think
we	PP	we
have	VHP	have
to	TO	to
look	VV	look
at	IN	at
it	PP	it
it	PP	it
could	MD	could
be	VB	be
something	NN	something
like	IN	like
the	DT	the
um	JJ	um
Minsk	NP	Minsk
agreement	NN	agreement
which	WDT	which
is	VBZ	be
not	RB	not
favorable	JJ	favorable
looked	VVN	look
at	IN	at
but	CC	but
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
not	RB	not
favor	VVP	favor
looked	VVN	look
at	IN	at
not	RB	not
because	IN	because
of	IN	of
its	PP$	its
content	NN	content
because	IN	because
the	DT	the
content	NN	content
is	VBZ	be
pretty	RB	pretty
normal	JJ	normal
you	PP	you
ask	VVP	ask
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
you	PP	you
ask	VVP	ask
a	DT	a
withdrawal	NN	withdrawal
of	IN	of
uh	UH	uh
heavy	JJ	heavy
weapons	NNS	weapon
you	PP	you
have	VHP	have
an	DT	an
observer	NN	observer
troop	NN	troop
you	PP	you
have	VHP	have
a	DT	a
political	JJ	political
perspective	NN	perspective
all	PDT	all
this	DT	this
the	DT	the
criticism	NN	criticism
that	WDT	that
is	VBZ	be
at	IN	at
Minsk	NP	Minsk
and	CC	and
other	JJ	other
agreements	NNS	agreement
is	VBZ	be
that	IN/that	that
Russia	NP	Russia
just	RB	just
um	RB	um
tear	VV	tear
these	DT	these
kind	NN	kind
of	IN	of
um	JJ	um
agreements	NNS	agreement
apart	RB	apart
when	WRB	when
it	PP	it
suits	VVZ	suit
um	NNS	um
the	DT	the
president	NN	president
and	CC	and
therefore	RB	therefore
what	WP	what
is	VBZ	be
key	JJ	key
for	IN	for
any	DT	any
agreement	NN	agreement
that	IN/that	that
we	PP	we
could	MD	could
enter	VV	enter
and	CC	and
um	NNS	um
could	MD	could
have	VH	have
in	IN	in
the	DT	the
end	NN	end
there	EX	there
have	VHP	have
to	TO	to
be	VB	be
guarantees	VVZ	guarantee
there	RB	there
have	VH	have
to	TO	to
be	VB	be
security	NN	security
guarantees	VVZ	guarantee
that	IN/that	that
Vladimir	NP	Vladimir
Putin	NP	Putin
knows	VVZ	know
he	PP	he
has	VHZ	have
to	TO	to
pay	VV	pay
a	DT	a
prize	NN	prize
if	IN	if
he	PP	he
again	RB	again
tear	VV	tear
up	RP	up
an	DT	an
agreement	NN	agreement
and	CC	and
from	IN	from
my	PP$	my
perspective	NN	perspective
the	DT	the
best	JJS	good
would	MD	would
be	VB	be
for	IN	for
Ukraine	NP	Ukraine
to	TO	to
join	VV	join
NATO	NP	NATO
the	DT	the
strongest	JJS	strong
military	JJ	military
Alliance	NP	Alliance
um	NNS	um
and	CC	and
do	VVP	do
you	PP	you
imagine	VVP	imagine
that	IN/that	that
as	IN	as
being	VBG	be
part	NN	part
of	IN	of
a	DT	a
deal	NN	deal
where	WRB	where
then	RB	then
Ukraine	NP	Ukraine
does	VVZ	do
seed	NN	seed
some	DT	some
territory	NN	territory
to	TO	to
Russia	NP	Russia
so	IN	so
Russia	NP	Russia
keeps	VVZ	keep
the	DT	the
donbass	NN	donbass
the	DT	the
rest	NN	rest
of	IN	of
Ukraine	NP	Ukraine
goes	VVZ	go
into	IN	into
NATO	NP	NATO
for	IN	for
instance	NN	instance
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	VVG	s
a	DT	a
very	RB	very
bad	JJ	bad
idea	NN	idea
just	RB	just
to	TO	to
think	VV	think
about	IN	about
seeding	VVG	seed
territory	NN	territory
this	DT	this
means	VVZ	mean
that	IN/that	that
by	IN	by
force	NN	force
you	PP	you
change	VVP	change
borders	NNS	border
in	IN	in
in	IN	in
Europe	NP	Europe
and	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
cannot	MD	can
be	VB	be
part	NN	part
of	IN	of
any	DT	any
any	DT	any
agreement	NN	agreement
no	RB	no
it	PP	it
'	POS	'
s	JJ	s
um	NN	um
you	PP	you
know	VVP	know
what	WP	what
kind	NN	kind
of	IN	of
agreement	NN	agreement
we	PP	we
have	VHP	have
in	IN	in
the	DT	the
end	NN	end
you	PP	you
know	VVP	know
we	PP	we
we	PP	we
have	VHP	have
to	TO	to
see	VV	see
the	DT	the
ukrainians	NNS	ukrainians
have	VHP	have
to	TO	to
decide	VV	decide
for	IN	for
this	DT	this
could	MD	could
this	RB	this
be	VB	be
you	PP	you
know	VVP	know
something	NN	something
temporary	JJ	temporary
as	IN	as
it	PP	it
was	VBD	be
foreseen	VVN	foresee
for	IN	for
the	DT	the
donbas	NNS	donbas
in	IN	in
the	DT	the
2015	CD	@card@
Minsk	NP	Minsk
agreement	NN	agreement
um	NN	um
this	DT	this
is	VBZ	be
for	IN	for
the	DT	the
ukrainians	NNS	ukrainians
to	TO	to
to	TO	to
decide	VV	decide
how	WRB	how
they	PP	they
want	VVP	want
to	TO	to
play	VV	play
it	PP	it
um	JJ	um
but	CC	but
again	RB	again
to	TO	to
change	VV	change
borders	NNS	border
in	IN	in
Europe	NP	Europe
by	IN	by
force	NN	force
would	MD	would
set	VV	set
a	DT	a
a	DT	a
horrible	JJ	horrible
precedent	NN	precedent
I	PP	I
think	VVP	think
shouldn	NN	shouldn
'	''	'
t	NN	t
be	VB	be
key	JJ	key
is	VBZ	be
security	NN	security
key	NN	key
is	VBZ	be
guarantee	NN	guarantee
so	IN	so
that	WDT	that
Putin	NP	Putin
knows	VVZ	know
this	DT	this
is	VBZ	be
where	WRB	where
the	DT	the
buck	NN	buck
stops	VVZ	stop
yeah	RB	yeah
and	CC	and
it	PP	it
it	PP	it
it	PP	it
'	POS	'
s	NNS	s
clear	JJ	clear
in	IN	in
your	PP$	your
own	JJ	own
report	NN	report
that	IN/that	that
ukrainians	NNS	ukrainians
don	VV	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
give	VV	give
up	RP	up
any	DT	any
territory	NN	territory
and	CC	and
that	DT	that
is	VBZ	be
of	IN	of
course	VV	course
uh	UH	uh
highly	RB	highly
understandable	JJ	understandable
but	CC	but
the	DT	the
Minsk	NP	Minsk
agreement	NN	agreement
it	PP	it
just	RB	just
froze	VVD	freeze
the	DT	the
conflict	NN	conflict
and	CC	and
isn	NN	isn
'	POS	'
t	NN	t
this	DT	this
the	DT	the
consider	VVP	consider
like	IN	like
well	RB	well
you	PP	you
have	VHP	have
to	TO	to
understand	VV	understand
this	DT	this
is	VBZ	be
only	RB	only
you	PP	you
know	VVP	know
part	NN	part
of	IN	of
it	PP	it
it	PP	it
um	VVZ	um
when	WRB	when
Minsk	NP	Minsk
was	VBD	be
concluded	VVD	conclude
there	EX	there
was	VBD	be
um	NNS	um
Russia	NP	Russia
was	VBD	be
attacking	VVG	attack
president	NN	president
penko	NN	penko
told	VVD	tell
Chancellor	NP	Chancellor
Merkel	NP	Merkel
he	PP	he
needs	VVZ	need
to	TO	to
have	VH	have
a	DT	a
a	DT	a
ceasefire	NN	ceasefire
because	IN	because
otherwise	RB	otherwise
the	DT	the
Russian	JJ	Russian
troops	NNS	troop
at	IN	at
the	DT	the
time	NN	time
could	MD	could
March	NP	March
all	RB	all
the	DT	the
way	NN	way
to	TO	to
M	NN	M
to	TO	to
to	TO	to
Kev	NP	Kev
so	IN	so
what	WP	what
was	VBD	be
Min	NN	Min
about	RB	about
was	VBD	be
a	DT	a
ceasefire	NN	ceasefire
which	WDT	which
the	DT	the
by	IN	by
the	DT	the
way	NN	way
the	DT	the
Russians	NPS	Russians
didn	NP	didn
'	POS	'
t	NN	t
really	RB	really
observe	VVP	observe
but	CC	but
it	PP	it
did	VVD	do
have	VH	have
this	DT	this
political	JJ	political
perspective	NN	perspective
that	IN/that	that
um	NNS	um
