<video_id>Qjvi1JD_OsE</video_id>	NP	<video_id>Qjvi1JD_OsE</video_id>
that	IN/that	that
Israel's	NP	Israel's
security	NN	security
was	VBD	be
reason	NN	reason
of	IN	of
State	NP	State
in	IN	in
Germany	NP	Germany
now	RB	now
in	IN	in
this	DT	this
hour	NN	hour
of	IN	of
need	NN	need
Olaf	NP	Olaf
Schultz	NP	Schultz
made	VVD	make
clear	JJ	clear
that	IN/that	that
that	WDT	that
means	VVZ	mean
um	JJ	um
backing	NN	backing
Israel	NP	Israel
is	VBZ	be
with	IN	with
whatever	WDT	whatever
it	PP	it
needs	VVZ	need
he	PP	he
said	VVD	say
he	PP	he
spoke	VVD	speak
to	TO	to
bamin	NP	bamin
Netanyahu	NP	Netanyahu
and	CC	and
um	NNS	um
pledged	VVD	pledge
that	IN/that	that
he	PP	he
would	MD	would
send	VV	send
whatever	WDT	whatever
Israel	NP	Israel
requests	NNS	request
we've	NN	we've
learned	VVD	learn
from	IN	from
the	DT	the
German	JJ	German
defense	NN	defense
minister	NN	minister
that	IN/that	that
that	DT	that
means	NN	means
ammunition	NN	ammunition
for	IN	for
warships	NNS	warship
at	IN	at
this	DT	this
moment	NN	moment
in	IN	in
time	NN	time
but	CC	but
also	RB	also
he	PP	he
announced	VVD	announce
a	DT	a
flurry	NN	flurry
of	IN	of
diplomatic	JJ	diplomatic
activity	NN	activity
high	JJ	high
level	NN	level
talks	NNS	talk
he's	NNS	he's
due	JJ	due
to	TO	to
hold	VV	hold
today	NN	today
beginning	NN	beginning
with	IN	with
the	DT	the
emia	NN	emia
of	IN	of
Qatar	NP	Qatar
who	WP	who
is	VBZ	be
and	CC	and
who	WP	who
was	VBD	be
scheduled	VVN	schedule
to	TO	to
come	VV	come
to	TO	to
Berlin	NP	Berlin
even	RB	even
before	IN	before
this	DT	this
attack	NN	attack
took	VVD	take
place	NN	place
with	IN	with
Qatar	NP	Qatar
being	VBG	be
seen	VVN	see
as	IN	as
a	DT	a
major	JJ	major
financier	NN	financier
of	IN	of
ham	NN	ham
but	CC	but
also	RB	also
a	DT	a
clamp	NN	clamp
down	RB	down
on	IN	on
pro-	NN	pro-
Hamas	NN	Hamas
demonstrations	NNS	demonstration
here	RB	here
in	IN	in
Germany	NP	Germany
yeah	RB	yeah
michellea	NN	michellea
there	EX	there
was	VBD	be
also	RB	also
uh	UH	uh
a	DT	a
word	NN	word
there	RB	there
directed	VVN	direct
at	IN	at
the	DT	the
Palestinian	JJ	Palestinian
authorities	NNS	authority
let's	NNS	let's
have	VHP	have
a	DT	a
listen	NN	listen
to	TO	to
that	WDT	that
stand	VVP	stand
by	IN	by
and	CC	and
we'll	NN	we'll
pick	VVP	pick
up	RP	up
after	IN	after
this	DT	this
next	JJ	next
sound	JJ	sound
bite	NN	bite
from	IN	from
the	DT	the
German	JJ	German
Chancellor	NP	Chancellor
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
ham	VVP	ham
the	DT	the
attack	NN	attack
of	IN	of
Hamas	NP	Hamas
on	IN	on
Israel	NP	Israel
also	RB	also
has	VHZ	have
repercussions	NNS	repercussion
in	IN	in
our	PP$	our
cooperation	NN	cooperation
with	IN	with
the	DT	the
Palestine	NP	Palestine
where	WRB	where
is	VBZ	be
the	DT	the
clear	JJ	clear
condemnation	NN	condemnation
of	IN	of
terrorist	JJ	terrorist
Violence	NN	violence
by	IN	by
the	DT	the
president	NN	president
Mahmud	NP	Mahmud
abas	NNS	aba
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
disgrace	NN	disgrace
and	CC	and
all	PDT	all
our	PP$	our
development	NN	development
cooperation	NN	cooperation
with	IN	with
uh	UH	uh
Palestinians	NPS	Palestinians
will	MD	will
be	VB	be
reexamined	VVN	reexamine
and	CC	and
we	PP	we
will	MD	will
see	VV	see
how	WRB	how
our	PP$	our
projects	NNS	project
can	MD	can
support	VV	support
peace	NN	peace
in	IN	in
the	DT	the
region	NN	region
and	CC	and
support	VV	support
the	DT	the
security	NN	security
of	IN	of
Israel	NP	Israel
so	IN	so
Michela	NP	Michela
we're	NN	we're
hearing	NN	hearing
there	RB	there
from	IN	from
the	DT	the
German	JJ	German
Chancellor	NP	Chancellor
that	IN/that	that
Aid	NN	aid
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
is	VBZ	be
now	RB	now
under	IN	under
review	NN	review
tell	VV	tell
us	PP	us
more	RBR	more
yes	RB	yes
this	DT	this
is	VBZ	be
something	NN	something
that	IN/that	that
Germany	NP	Germany
said	VVD	say
very	RB	very
early	RB	early
on	IN	on
that	IN/that	that
it	PP	it
will	MD	will
review	VV	review
any	DT	any
assistance	NN	assistance
given	VVN	give
to	TO	to
Palestinians	NPS	Palestinians
we	PP	we
also	RB	also
saw	VVD	see
him	PP	him
um	RB	um
discussed	VVD	discuss
this	DT	this
with	IN	with
French	JJ	French
president	NN	president
Emmanuel	NP	Emmanuel
marcco	NP	marcco
earlier	RBR	earlier
in	IN	in
the	DT	the
week	NN	week
when	WRB	when
they	PP	they
had	VHD	have
a	DT	a
bilateral	JJ	bilateral
cabinet	NN	cabinet
meeting	NN	meeting
in	IN	in
the	DT	the
German	JJ	German
city	NN	city
of	IN	of
Hamburg	NP	Hamburg
but	CC	but
both	DT	both
also	RB	also
said	VVD	say
that	IN/that	that
that	WDT	that
would	MD	would
not	RB	not
mean	VV	mean
ending	VVG	end
all	DT	all
humanitarian	JJ	humanitarian
assistance	NN	assistance
there	EX	there
is	VBZ	be
a	DT	a
huge	JJ	huge
distinction	NN	distinction
between	IN	between
development	NN	development
assistance	NN	assistance
and	CC	and
humanitarian	JJ	humanitarian
assistance	NN	assistance
uh	UH	uh
with	IN	with
uh	UH	uh
both	DT	both
sides	NNS	side
both	CC	both
saying	VVG	say
they	PP	they
are	VBP	be
aligned	VVN	align
with	IN	with
Israel	NP	Israel
stand	VVP	stand
side	NN	side
by	IN	by
side	NN	side
with	IN	with
Israel	NP	Israel
and	CC	and
Israel	NP	Israel
will	MD	will
have	VH	have
the	DT	the
final	JJ	final
say	NN	say
on	IN	on
which	WDT	which
Aid	NP	Aid
goes	VVZ	go
in	IN	in
and	CC	and
which	WDT	which
doesn't	NN	doesn't
it	PP	it
does	VVZ	do
so	RB	so
in	IN	in
concrete	JJ	concrete
terms	NNS	term
anyway	RB	anyway
because	IN	because
it	PP	it
controls	VVZ	control
access	NN	access
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
on	IN	on
the	DT	the
ground	NN	ground
but	CC	but
this	DT	this
is	VBZ	be
something	NN	something
that	WDT	that
is	VBZ	be
also	RB	also
being	VBG	be
debated	VVN	debate
across	IN	across
Europe	NP	Europe
what	WP	what
that	RB	that
means	VVZ	mean
in	IN	in
terms	NNS	term
of	IN	of
humanitarian	JJ	humanitarian
assistance	NN	assistance
but	CC	but
also	RB	also
other	JJ	other
assistance	NN	assistance
towards	IN	towards
any	DT	any
Palestinian	JJ	Palestinian
cause	NN	cause
now	RB	now
that	IN/that	that
the	DT	the
terrorist	JJ	terrorist
Wing	NP	Wing
Hamas	NP	Hamas
launched	VVD	launch
this	DT	this
vicious	JJ	vicious
attack	NN	attack
this	DT	this
inhumane	JJ	inhumane
attack	NN	attack
on	IN	on
Israel	NP	Israel
michella	NP	michella
the	DT	the
we	PP	we
also	RB	also
heard	VVD	hear
uh	UH	uh
the	DT	the
German	JJ	German
Chancellor	NP	Chancellor
talk	NN	talk
about	IN	about
mediation	NN	mediation
efforts	NNS	effort
uh	UH	uh
today	NN	today
he	PP	he
he	PP	he
referenced	VVD	reference
countries	NNS	country
Egypt	NP	Egypt
turkey	NN	turkey
and	CC	and
Qatar	NP	Qatar
let's	NNS	let's
have	VHP	have
a	DT	a
listen	NN	listen
to	TO	to
what	WP	what
he	PP	he
had	VHD	have
to	TO	to
say	VV	say
on	IN	on
that	IN/that	that
quickly	RB	quickly
I	PP	I
have	VHP	have
very	RB	very
close	JJ	close
contacts	NNS	contact
with	IN	with
Mr	NP	Mr
alissi	NP	alissi
the	DT	the
Egyptian	JJ	Egyptian
head	NN	head
of	IN	of
state	NN	state
and	CC	and
he	PP	he
also	RB	also
has	VHZ	have
channels	NNS	channel
of	IN	of
communication	NN	communication
with	IN	with
Gaza	NP	Gaza
I'm	NP	I'm
going	VVG	go
to	TO	to
talk	VV	talk
to	TO	to
the	DT	the
Turkish	JJ	Turkish
president	NN	president
Mr	NN	Mr
erdogan	NN	erdogan
I	PP	I
am	VBP	be
also	RB	also
going	VVG	go
to	TO	to
see	VV	see
representatives	NNS	representative
of	IN	of
Qatar	NP	Qatar
uh	UH	uh
they	PP	they
are	VBP	be
very	RB	very
important	JJ	important
as	IN	as
mediators	NNS	mediator
and	CC	and
they	PP	they
use	VVP	use
this	DT	this
capacity	NN	capacity
all	RB	all
three	CD	three
of	IN	of
us	PP	us
can	MD	can
play	VV	play
an	DT	an
important	JJ	important
role	NN	role
in	IN	in
De	NP	De
escalating	VVG	escalate
the	DT	the
situation	NN	situation
and	CC	and
the	DT	the
critics	NNS	critic
of	IN	of
such	JJ	such
contacts	NNS	contact
and	CC	and
those	DT	those
who	WP	who
say	VVP	say
we	PP	we
shouldn't	NN	shouldn't
be	VB	be
speaking	VVG	speak
to	TO	to
the	DT	the
actors	NNS	actor
let	VVP	let
me	PP	me
just	RB	just
tell	VVP	tell
them	PP	them
it	PP	it
would	MD	would
be	VB	be
absolutely	RB	absolutely
irresponsible	JJ	irresponsible
in	IN	in
that	DT	that
situation	NN	situation
not	RB	not
to	TO	to
use	VV	use
all	PDT	all
the	DT	the
channels	NNS	channel
that	IN/that	that
we	PP	we
can	MD	can
use	VV	use
we	PP	we
do	VVP	do
that	IN/that	that
very	RB	very
close	JJ	close
coordination	NN	coordination
with	IN	with
Israel	NP	Israel
and	CC	and
we	PP	we
do	VVP	do
it	PP	it
for	IN	for
those	DT	those
people	NNS	people
who	WP	who
were	VBD	be
abducted	VVN	abduct
by	IN	by
Hamas	NP	Hamas
and	CC	and
on	IN	on
the	DT	the
note	NN	note
of	IN	of
those	DT	those
people	NNS	people
who	WP	who
were	VBD	be
abducted	VVN	abduct
by	IN	by
Hamas	NP	Hamas
the	DT	the
German	JJ	German
Chancellor	NP	Chancellor
is	VBZ	be
due	JJ	due
to	TO	to
meet	VV	meet
uh	UH	uh
with	IN	with
the	DT	the
Amir	NP	Amir
of	IN	of
Qatar	NP	Qatar
to	TO	to
negotiate	VV	negotiate
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
in	IN	in
Gaza	NP	Gaza
Michelle	NP	Michelle
you're	NN	you're
still	RB	still
with	IN	with
us	PP	us
what	WP	what
more	RBR	more
do	VVP	do
we	PP	we
know	VVP	know
about	RB	about
uh	UH	uh
these	DT	these
mediation	NN	mediation
efforts	NNS	effort
in	IN	in
that	DT	that
regard	NN	regard
well	RB	well
these	DT	these
were	VBD	be
scheduled	VVN	schedule
as	IN	as
talks	NNS	talk
which	WDT	which
surely	RB	surely
were	VBD	be
about	IN	about
investment	NN	investment
and	CC	and
energy	NN	energy
and	CC	and
have	VHP	have
now	RB	now
become	VVN	become
diplomatically	RB	diplomatically
absolutely	RB	absolutely
key	JJ	key
um	NNS	um
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
Olaf	NP	Olaf
Schultz	NP	Schultz
said	VVD	say
there	EX	there
you	PP	you
can	MD	can
also	RB	also
sense	VV	sense
the	DT	the
overarching	JJ	overarching
fear	NN	fear
that	IN/that	that
this	DT	this
could	MD	could
become	VV	become
a	DT	a
much	RB	much
bigger	JJR	big
conflict	NN	conflict
he	PP	he
also	RB	also
warned	VVD	warn
Hezbollah	NP	Hezbollah
not	RB	not
to	TO	to
get	VV	get
involved	VVN	involve
and	CC	and
the	DT	the
biggest	JJS	big
concern	NN	concern
is	VBZ	be
of	IN	of
course	NN	course
that	IN/that	that
Iran	NP	Iran
is	VBZ	be
involved	VVN	involve
in	IN	in
this	DT	this
and	CC	and
that	IN/that	that
there	EX	there
could	MD	could
be	VB	be
a	DT	a
full-scale	JJ	full-scale
escalation	NN	escalation
of	IN	of
this	DT	this
uh	UH	uh
involving	VVG	involve
Iran	NP	Iran
that's	NNS	that's
when	WRB	when
it	PP	it
gets	VVZ	get
very	RB	very
dangerous	JJ	dangerous
not	RB	not
just	RB	just
for	IN	for
the	DT	the
region	NN	region
but	CC	but
for	IN	for
the	DT	the
entire	JJ	entire
world	NN	world
so	IN	so
diplomatic	JJ	diplomatic
activities	NNS	activity
at	IN	at
all	DT	all
levels	NNS	level
the	DT	the
Americans	NPS	Americans
the	DT	the
Germans	NPS	Germans
the	DT	the
Europeans	NPS	Europeans
everyone	NN	everyone
michella	NP	michella
Israel	NP	Israel
has	VHZ	have
requested	VVN	request
military	JJ	military
help	NN	help
as	IN	as
well	UH	well
uh	UH	uh
do	VV	do
we	PP	we
know	VV	know
if	IN	if
Germany	NP	Germany
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
sending	VVG	send
weapons	NNS	weapon
well	RB	well
we've	VV	we've
uh	UH	uh
heard	VVN	hear
from	IN	from
the	DT	the
German	JJ	German
defense	NN	defense
minister	NN	minister
arriving	VVG	arrive
at	IN	at
a	DT	a
NATO	NP	NATO
meeting	VVG	meet
uh	UH	uh
where	WRB	where
he	PP	he
said	VVD	say
that	IN/that	that
ammunition	NN	ammunition
would	MD	would
be	VB	be
supplied	VVN	supply
to	TO	to
the	DT	the
Israelis	NPS	Israelis
for	IN	for
Israeli	JJ	Israeli
warships	NNS	warship
there's	RB	there's
also	RB	also
reports	VVZ	report
that	IN/that	that
those	DT	those
drones	NNS	drone
that	WDT	that
Germany	NP	Germany
has	VHZ	have
um	RB	um
leased	VVN	lease
from	IN	from
from	IN	from
Israel	NP	Israel
that	IN/that	that
some	DT	some
of	IN	of
those	DT	those
would	MD	would
be	VB	be
basically	RB	basically
left	VVN	leave
with	IN	with
Israel	NP	Israel
for	IN	for
their	PP$	their
own	JJ	own
defense	NN	defense
purposes	NNS	purpose
and	CC	and
we	PP	we
have	VHP	have
the	DT	the
pledge	NN	pledge
from	IN	from
the	DT	the
German	JJ	German
Chancellor	NP	Chancellor
today	NN	today
that	IN/that	that
whatever	WDT	whatever
Benyamin	NP	Benyamin
Netanyahu	NP	Netanyahu
requests	NNS	request
would	MD	would
also	RB	also
be	VB	be
delivered	VVN	deliver
H	NN	H
so	IN	so
um	NN	um
that	WDT	that
is	VBZ	be
not	RB	not
much	JJ	much
of	IN	of
an	DT	an
expectation	NN	expectation
here	RB	here
in	IN	in
terms	NNS	term
of	IN	of
Defense	NP	Defense
capabilities	NNS	capability
I've	NN	I've
spoken	VVN	speak
to	TO	to
high	JJ	high
level	NN	level
politicians	NNS	politician
from	IN	from
other	JJ	other
parties	NNS	party
um	NNS	um
who	WP	who
do	VVP	do
not	RB	not
expect	VV	expect
there	RB	there
to	TO	to
be	VB	be
a	DT	a
very	RB	very
long	RB	long
list	VV	list
uh	UH	uh
but	CC	but
Germany	NP	Germany
mapping	VVG	map
it	PP	it
out	RP	out
very	RB	very
clearly	RB	clearly
that	DT	that
solidarity	NN	solidarity
as	IN	as
the	DT	the
Chan	NP	Chan
to	TO	to
put	VV	put
it	PP	it
won't	JJ	won't
end	NN	end
with	IN	with
words	NNS	word
all	DT	all
right	NN	right
that	WDT	that
is	VBZ	be
DW's	NP	DW's
Chief	NP	Chief
political	JJ	political
editor	NN	editor
Michelle	NN	Michelle
kufner	NNS	kufner
here	RB	here
in	IN	in
Berlin	JJ	Berlin
uh	UH	uh
of	IN	of
course	NN	course
breaking	VVG	break
down	RP	down
for	IN	for
us	PP	us
that	WDT	that
speech	NN	speech
uh	UH	uh
by	IN	by
the	DT	the
German	JJ	German
Chancellor	NP	Chancellor
in	IN	in
the	DT	the
bundestag	NN	bundestag
today	NN	today
as	IN	as
ever	RB	ever
Michelle	NN	Michelle
appreciate	VV	appreciate
that	WDT	that
thank	VVP	thank
</doc>	JJ	</doc>
