sources	NNS	source
mentioned	VVD	mention
there	RB	there
the	DT	the
the	DT	the
SII	NP	SII
Foundation	NP	Foundation
of	IN	of
Human	NP	Human
Rights	NNS	right
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
talking	VVG	talk
to	TO	to
two	CD	two
contractors	NNS	contractor
on	IN	on
the	DT	the
ground	NN	ground
who	WP	who
'	POS	'
ve	NN	ve
confirmed	VVD	confirm
that	IN/that	that
this	DT	this
is	VBZ	be
indeed	RB	indeed
the	DT	the
case	NN	case
that	IN/that	that
this	DT	this
area	NN	area
is	VBZ	be
being	VBG	be
built	VVN	build
and	CC	and
on	IN	on
the	DT	the
satellite	JJ	satellite
uh	UH	uh
imagery	NN	imagery
we	PP	we
can	MD	can
see	VV	see
it	PP	it
'	POS	'
s	NN	S
from	IN	from
the	DT	the
Gaza	NP	Gaza
border	VV	border
uh	UH	uh
through	IN	through
quite	RB	quite
quite	PDT	quite
an	DT	an
area	NN	area
to	TO	to
one	CD	one
of	IN	of
the	DT	the
to	TO	to
another	DT	another
Highway	NN	highway
inside	IN	inside
the	DT	the
Sinai	NP	Sinai
Peninsula	NP	Peninsula
and	CC	and
that	WDT	that
is	VBZ	be
being	VBG	be
built	VVN	build
for	IN	for
as	IN	as
you	PP	you
say	VVP	say
the	DT	the
case	NN	case
where	WRB	where
we	PP	we
might	MD	might
see	VV	see
a	DT	a
mass	JJ	mass
Exodus	NN	exodus
of	IN	of
Palestinians	NPS	Palestinians
now	IN	now
Egypt	NP	Egypt
have	VHP	have
been	VBN	be
saying	VVG	say
that	IN/that	that
they	PP	they
don	VV	don
'	''	'
t	NN	t
uh	UH	uh
want	VV	want
to	TO	to
accept	VV	accept
a	DT	a
a	DT	a
huge	JJ	huge
amount	NN	amount
of	IN	of
Palestinians	NPS	Palestinians
into	IN	into
their	PP$	their
territory	NN	territory
for	IN	for
fear	NN	fear
that	IN/that	that
they	PP	they
won	VVD	win
'	''	'
t	NN	t
be	VB	be
able	JJ	able
to	TO	to
return	VV	return
uh	UH	uh
but	CC	but
this	DT	this
is	VBZ	be
of	IN	of
course	NN	course
an	DT	an
emergency	NN	emergency
measure	NN	measure
should	MD	should
Palestinians	NNS	Palestinian
either	RB	either
break	VVP	break
through	IN	through
the	DT	the
Border	NP	Border
or	CC	or
or	CC	or
or	CC	or
should	MD	should
for	IN	for
some	DT	some
reason	NN	reason
the	DT	the
Border	NP	Border
be	VB	be
opened	VVN	open
and	CC	and
does	VVZ	do
it	PP	it
look	VV	look
like	IN	like
Israel	NP	Israel
will	MD	will
heed	VV	heed
International	NP	International
criticisms	NNS	criticism
and	CC	and
call	VV	call
off	RP	off
its	PP$	its
offensive	NN	offensive
on	IN	on
Rafa	NP	Rafa
it	PP	it
'	POS	'
s	NN	S
really	RB	really
difficult	JJ	difficult
to	TO	to
say	VV	say
we	PP	we
we	PP	we
the	DT	the
IDF	NP	IDF
do	VVP	do
not	RB	not
give	VV	give
us	PP	us
advanced	JJ	advanced
warning	NN	warning
of	IN	of
their	PP$	their
plan	NN	plan
plans	NNS	plan
but	CC	but
we	PP	we
have	VHP	have
no	DT	no
reason	NN	reason
to	TO	to
believe	VV	believe
that	IN/that	that
they	PP	they
won	VVD	win
'	''	'
t	NN	t
carry	VV	carry
out	RP	out
what	WP	what
they	PP	they
say	VVP	say
they	PP	they
have	VHP	have
been	VBN	be
going	VVG	go
to	TO	to
do	VV	do
and	CC	and
that	DT	that
is	VBZ	be
to	TO	to
continue	VV	continue
their	PP$	their
ground	NN	ground
offensive	NN	offensive
into	IN	into
the	DT	the
Rafa	NP	Rafa
City	NP	City
into	IN	into
the	DT	the
Rafa	NP	Rafa
region	NN	region
where	WRB	where
more	JJR	more
than	IN	than
a	DT	a
million	CD	million
people	NNS	people
are	VBP	be
now	RB	now
Sheltering	VVG	shelter
from	IN	from
other	JJ	other
parts	NNS	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
were	VBD	be
told	VVN	tell
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
go	VV	go
down	RP	down
there	RB	there
to	TO	to
shelter	VV	shelter
in	IN	in
that	DT	that
area	NN	area
so	IN	so
we	PP	we
they	PP	they
'	''	'
ve	VVG	ve
they	PP	they
'	POS	'
ve	NN	ve
carried	VVD	carry
through	RP	through
with	IN	with
all	DT	all
of	IN	of
their	PP$	their
other	JJ	other
uh	UH	uh
statements	NNS	statement
that	IN/that	that
they	PP	they
say	VVP	say
that	IN/that	that
they	PP	they
were	VBD	be
going	VVG	go
to	TO	to
go	VV	go
into	IN	into
hunas	NNS	hunas
they	PP	they
were	VBD	be
going	VVG	go
to	TO	to
go	VV	go
into	IN	into
the	DT	the
South	NP	South
they	PP	they
did	VVD	do
so	RB	so
so	RB	so
we	PP	we
have	VHP	have
no	DT	no
reason	NN	reason
to	TO	to
believe	VV	believe
that	IN/that	that
they	PP	they
won	VVD	win
'	''	'
t	NN	t
in	IN	in
fact	NN	fact
uh	UH	uh
go	VV	go
ahead	RB	ahead
with	IN	with
their	PP$	their
ground	NN	ground
offensive	NN	offensive
of	IN	of
Rafa	NP	Rafa
as	IN	as
well	UH	well
uh	UH	uh
of	IN	of
course	NN	course
there	EX	there
have	VHP	have
been	VBN	be
huge	JJ	huge
international	JJ	international
calls	NNS	call
to	TO	to
ensure	VV	ensure
that	IN/that	that
the	DT	the
civilians	NNS	civilian
that	WDT	that
are	VBP	be
Sheltering	VVG	shelter
there	EX	there
are	VBP	be
able	JJ	able
to	TO	to
leave	VV	leave
and	CC	and
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
has	VHZ	have
publicly	RB	publicly
stated	VVN	state
that	IN/that	that
he	PP	he
'	POS	'
s	NN	S
asked	VVD	ask
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
come	VV	come
up	RP	up
with	IN	with
a	DT	a
plan	NN	plan
to	TO	to
evacuate	VV	evacuate
these	DT	these
people	NNS	people
Sheltering	VVG	shelter
there	RB	there
though	IN	though
we	PP	we
have	VHP	have
noos	NNS	noos
you	PP	you
know	VVP	know
the	DT	the
UN	NP	UN
and	CC	and
many	JJ	many
other	JJ	other
NOS	NNS	no
saying	VVG	say
that	IN/that	that
there	EX	there
simply	RB	simply
isn	NP	isn
'	POS	'
t	NN	t
room	NN	room
there	RB	there
isn	NP	isn
'	POS	'
t	NN	t
space	NN	space
where	WRB	where
where	WRB	where
will	MD	will
these	DT	these
people	NNS	people
go	VV	go
uh	UH	uh
many	JJ	many
of	IN	of
them	PP	them
have	VHP	have
been	VBN	be
displaced	VVN	displace
multiple	JJ	multiple
times	NNS	time
already	RB	already
and	CC	and
they	PP	they
'	POS	'
re	NN	re
tired	VVD	tire
we	PP	we
we	PP	we
'	POS	'
ve	NNS	ve
spoken	VVN	speak
to	TO	to
some	DT	some
people	NNS	people
on	IN	on
the	DT	the
ground	NN	ground
there	EX	there
who	WP	who
say	VVP	say
they	PP	they
simply	RB	simply
would	MD	would
just	RB	just
rather	RB	rather
die	VV	die
and	CC	and
rougher	JJR	rough
than	IN	than
have	VHP	have
to	TO	to
move	VV	move
again	RB	again
they	PP	they
'	POS	'
re	NN	re
tired	JJ	tired
uh	UH	uh
and	CC	and
they	PP	they
'	POS	'
re	NN	re
living	NN	living
in	IN	in
squalid	JJ	squalid
conditions	NNS	condition
with	IN	with
little	JJ	little
belongings	NNS	belonging
left	VVN	leave
and	CC	and
they	PP	they
'	POS	'
ve	NN	ve
seen	VVN	see
many	JJ	many
of	IN	of
their	PP$	their
family	NN	family
members	NNS	member
die	VVP	die
already	RB	already
so	RB	so
there	EX	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
of	IN	of
frustration	NN	frustration
and	CC	and
fear	NN	fear
from	IN	from
the	DT	the
civilians	NNS	civilian
who	WP	who
are	VBP	be
still	RB	still
Sheltering	VVG	shelter
but	CC	but
plans	VVZ	plan
a	DT	a
concrete	JJ	concrete
plan	NN	plan
to	TO	to
evacuate	VV	evacuate
them	PP	them
hasn	NN	hasn
'	POS	'
t	NN	t
emerged	VVD	emerge
yet	RB	yet
okay	JJ	okay
Rebecca	NP	Rebecca
thanks	NNS	thanks
for	IN	for
that	DT	that
Rebecca	NP	Rebecca
rers	NNS	rers
in	IN	in
Jerusalem	NP	Jerusalem
journalist	NN	journalist
Karim	NP	Karim
El	NP	El
gavari	NN	gavari
joins	VVZ	join
me	PP	me
now	RB	now
from	IN	from
Cairo	NN	Cairo
with	IN	with
more	JJR	more
Karim	NP	Karim
what	WP	what
do	VVP	do
you	PP	you
know	VVP	know
about	IN	about
Egypt	NP	Egypt
'	POS	'
s	NN	S
plans	VVZ	plan
in	IN	in
the	DT	the
area	NN	area
well	RB	well
we	PP	we
first	RB	first
know	VVP	know
that	IN/that	that
there	EX	there
are	VBP	be
satellite	NN	satellite
pictures	NNS	picture
that	WDT	that
shows	VVZ	show
an	DT	an
area	NN	area
about	IN	about
12	CD	@card@
square	JJ	square
miles	NNS	mile
that	WDT	that
is	VBZ	be
prepared	VVN	prepare
for	IN	for
something	NN	something
like	IN	like
this	DT	this
we	PP	we
have	VHP	have
now	RB	now
the	DT	the
videos	NNS	video
from	IN	from
this	DT	this
NGO	NN	Ngo
from	IN	from
sa	NN	sa
you	PP	you
were	VBD	be
showing	VVG	show
in	IN	in
your	PP$	your
report	NN	report
and	CC	and
we	PP	we
have	VHP	have
um	NN	um
we	PP	we
have	VHP	have
security	NN	security
sources	NNS	source
anonymously	RB	anonymously
talking	VVG	talk
that	IN/that	that
this	DT	this
Camp	NP	Camp
is	VBZ	be
in	IN	in
the	DT	the
making	VVG	make
uh	UH	uh
that	IN/that	that
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
surrounded	VVN	surround
by	IN	by
a	DT	a
wall	NN	wall
and	CC	and
that	IN/that	that
it	PP	it
will	MD	will
be	VB	be
housing	NN	housing
something	NN	something
between	IN	between
60	CD	@card@
what	WP	what
is	VBZ	be
able	JJ	able
to	TO	to
house	VV	house
between	IN	between
60	CD	@card@
to	TO	to
100	CD	@card@
,	,	,
000	CD	@card@
um	JJ	um
people	NNS	people
accepting	VVG	accept
Palestinians	NPS	Palestinians
forced	VVN	force
out	RP	out
from	IN	from
G	NP	G
was	VBD	be
a	DT	a
red	JJ	red
line	NN	line
for	IN	for
the	DT	the
Egyptian	JJ	Egyptian
government	NN	government
has	VHZ	have
the	DT	the
government	NN	government
now	RB	now
changed	VVD	change
its	PP$	its
mind	NN	mind
no	RB	no
um	VVG	um
it	PP	it
'	POS	'
s	NN	S
clearly	RB	clearly
a	DT	a
constituency	NN	constituency
plan	NN	plan
I	PP	I
mean	VVP	mean
they	PP	they
don	VV	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
be	VB	be
part	NN	part
of	IN	of
any	DT	any
official	JJ	official
plan	NN	plan
of	IN	of
any	DT	any
displacement	NN	displacement
uh	UH	uh
of	IN	of
Palestinians	NNS	Palestinian
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
of	IN	of
any	DT	any
forceful	JJ	forceful
conviction	NN	conviction
eviction	NN	eviction
of	IN	of
Palestinians	NPS	Palestinians
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
this	DT	this
is	VBZ	be
a	DT	a
camp	NN	camp
that	WDT	that
is	VBZ	be
just	RB	just
preparing	VVG	prepare
for	IN	for
what	WP	what
might	MD	might
come	VV	come
because	IN	because
of	IN	of
course	NN	course
on	IN	on
the	DT	the
Egyptian	JJ	Egyptian
side	NN	side
there	EX	there
is	VBZ	be
Big	JJ	big
fear	NN	fear
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
some	DT	some
kind	NN	kind
of	IN	of
mass	JJ	mass
Exodus	NN	exodus
when	WRB	when
um	JJ	um
this	DT	this
Israeli	JJ	Israeli
ground	NN	ground
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
really	RB	really
start	VVP	start
because	IN	because
I	PP	I
mean	VVP	mean
what	WP	what
the	DT	the
people	NNS	people
will	MD	will
do	VV	do
in	IN	in
front	NN	front
of	IN	of
them	PP	them
they	PP	they
have	VHP	have
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
behind	IN	behind
them	PP	them
they	PP	they
have	VHP	have
the	DT	the
Egyptian	JJ	Egyptian
uh	UH	uh
uh	UH	uh
wall	NN	wall
of	IN	of
the	DT	the
border	NN	border
so	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
possibility	NN	possibility
that	IN/that	that
they	PP	they
might	MD	might
to	TO	to
try	VV	try
to	TO	to
get	VV	get
out	RP	out
onto	IN	onto
the	DT	the
Egyptian	JJ	Egyptian
side	NN	side
and	CC	and
they	PP	they
'	POS	'
re	NN	re
just	RB	just
basically	RB	basically
preparing	VVG	prepare
for	IN	for
this	DT	this
they	PP	they
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
put	VV	put
it	PP	it
into	IN	into
so	RB	so
some	DT	some
kind	NN	kind
of	IN	of
controlled	JJ	controlled
area	NN	area
that	WDT	that
was	VBD	be
was	VBD	be
the	DT	the
and	CC	and
because	IN	because
the	DT	the
Egyptian	JJ	Egyptian
Army	NN	army
also	RB	also
don	NN	don
'	POS	'
t	NN	t
forget	VVP	forget
they	PP	they
will	MD	will
be	VB	be
not	RB	not
able	JJ	able
to	TO	to
go	VV	go
against	IN	against
these	DT	these
refugees	NNS	refugee
or	CC	or
the	DT	the
people	NNS	people
who	WP	who
come	VVP	come
over	IN	over
the	DT	the
Palestinians	NPS	Palestinians
by	RB	by
force	VV	force
it	PP	it
'	POS	'
s	NN	S
politically	RB	politically
impossible	JJ	impossible
even	RB	even
that	IN/that	that
they	PP	they
shoot	VVP	shoot
at	IN	at
the	DT	the
Lis	NP	Lis
so	IN	so
they	PP	they
try	VVP	try
to	TO	to
set	VV	set
up	RP	up
something	NN	something
where	WRB	where
they	PP	they
can	MD	can
control	VV	control
the	DT	the
situation	NN	situation
and	CC	and
is	VBZ	be
Egypt	NP	Egypt
certain	JJ	certain
that	IN/that	that
if	IN	if
it	PP	it
came	VVD	come
to	TO	to
this	DT	this
that	IN/that	that
these	DT	these
refugees	NNS	refugee
in	IN	in
the	DT	the
Sinai	NP	Sinai
in	IN	in
the	DT	the
places	NNS	place
that	WDT	that
are	VBP	be
being	VBG	be
uh	UH	uh
in	IN	in
the	DT	the
area	NN	area
where	WRB	where
all	PDT	all
this	DT	this
construction	NN	construction
work	NN	work
is	VBZ	be
happening	VVG	happen
that	IN/that	that
these	DT	these
refugees	NNS	refugee
would	MD	would
be	VB	be
there	RB	there
only	RB	only
temporarily	RB	temporarily
well	RB	well
that	DT	that
is	VBZ	be
the	DT	the
big	JJ	big
fear	NN	fear
I	PP	I
mean	VVP	mean
the	DT	the
big	JJ	big
fear	NN	fear
is	VBZ	be
of	IN	of
Egypt	NP	Egypt
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
they	PP	they
they	PP	they
really	RB	really
don	VVP	don
'	POS	'
t	NN	t
want	VVP	want
to	TO	to
be	VB	be
part	NN	part
of	IN	of
a	DT	a
displacement	NN	displacement
scenario	NN	scenario
and	CC	and
uh	UH	uh
uh	UH	uh
of	IN	of
course	NN	course
first	RB	first
I	PP	I
mean	VVP	mean
big	JJ	big
parts	NNS	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
strips	NNS	strip
are	VBP	be
completely	RB	completely
destroyed	VVN	destroy
so	RB	so
where	WRB	where
would	MD	would
the	DT	the
people	NNS	people
go	VVP	go
back	RB	back
to	TO	to
when	WRB	when
the	DT	the
war	NN	war
is	VBZ	be
over	IN	over
and	CC	and
the	DT	the
second	JJ	second
thing	NN	thing
is	VBZ	be
there	EX	there
'	''	'
s	NN	S
of	IN	of
course	NN	course
parts	NNS	part
of	IN	of
the	DT	the
benam	NP	benam
Beno	NP	Beno
government	NN	government
who	WP	who
is	VBZ	be
talking	VVG	talk
openly	RB	openly
about	IN	about
the	DT	the
displacement	NN	displacement
of	IN	of
Palestinians	NPS	Palestinians
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
forever	RB	forever
so	RB	so
that	DT	that
is	VBZ	be
something	NN	something
of	IN	of
course	NN	course
Egypt	NP	Egypt
has	VHZ	have
in	IN	in
mind	NN	mind
that	IN/that	that
Egypt	NP	Egypt
is	VBZ	be
very	RB	very
fearful	JJ	fearful
of	IN	of
are	VBP	be
there	RB	there
concerns	NNS	concern
Karim	NP	Karim
that	IN/that	that
this	DT	this
could	MD	could
eventually	RB	eventually
affect	VV	affect
bilateral	JJ	bilateral
relations	NNS	relation
between	IN	between
Israel	NP	Israel
and	CC	and
Egypt	NP	Egypt
h	NN	h
if	IN	if
it	PP	it
comes	VVZ	come
to	TO	to
that	DT	that
absolutely	RB	absolutely
I	PP	I
mean	VVP	mean
the	DT	the
Egyptians	NNS	Egyptian
already	RB	already
said	VVD	say
if	IN	if
their	PP$	their
security	NN	security
concerns	NNS	concern
are	VBP	be
uh	UH	uh
not	RB	not
addressed	VVN	address
through	IN	through
this	DT	this
Israeli	JJ	Israeli
offensive	NN	offensive
they	PP	they
might	MD	might
even	RB	even
recall	VV	recall
the	DT	the
Ambassador	NN	ambassador
and	CC	and
there	EX	there
was	VBD	be
even	RB	even
talk	VV	talk
uh	UH	uh
few	JJ	few
days	NNS	day
ago	RB	ago
that	IN/that	that
the	DT	the
Camp	NP	Camp
David	NP	David
peace	NN	peace
agreement	NN	agreement
might	MD	might
be	VB	be
uh	UH	uh
completely	RB	completely
suspended	VVN	suspend
but	CC	but
that	IN/that	that
'	POS	'
s	JJ	s
something	NN	something
the	DT	the
Egyptian	JJ	Egyptian
government	NN	government
denied	VVN	deny
by	IN	by
now	RB	now
we	PP	we
'	POS	'
ll	NNS	ll
leave	VVP	leave
it	PP	it
there	RB	there
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
thanks	NNS	thanks
for	IN	for
speaking	VVG	speak
to	TO	to
us	PP	us
journalist	NN	journalist
Karim	NP	Karim
Al	NP	Al
gavari	NNS	gavari
reporting	VVG	report
from	IN	from
the	DT	the
Egyptian	JJ	Egyptian
Capital	NP	Capital
Kyo	NP	Kyo
thanks	VVZ	thank
so	RB	so
much	JJ	much
you	PP	you
'	''	'
re	IN	re
welcome	JJ	welcome
