<video_id>OOwIfWVdw-8</video_id>	NP	<video_id>OOwIfWVdw-8</video_id>
an	DT	an
open	JJ	open
area	NN	area
in	IN	in
naria	NN	naria
city	NN	city
was	VBD	be
also	RB	also
struck	VVN	strike
Mr	NP	Mr
President	NP	President
I	PP	I
urge	VVP	urge
continued	JJ	continued
attention	NN	attention
to	TO	to
the	DT	the
worsening	VVG	worsen
situation	NN	situation
and	CC	and
ongoing	JJ	ongoing
violence	NN	violence
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
including	VVG	include
East	NP	East
Jerusalem	NP	Jerusalem
on	IN	on
3	CD	@card@
August	NP	August
the	DT	the
IDF	NP	IDF
said	VVD	say
it	PP	it
conducted	VVD	conduct
two	CD	two
air	NN	air
strikes	NNS	strike
on	IN	on
a	DT	a
Hamas	JJ	Hamas
cell	NN	cell
in	IN	in
taram	NN	taram
killing	VVG	kill
nine	CD	nine
Palestinians	NPS	Palestinians
who	WP	who
the	DT	the
IDF	NP	IDF
said	VVD	say
were	VBD	be
planning	VVG	plan
to	TO	to
conduct	VV	conduct
an	DT	an
attack	NN	attack
inside	IN	inside
Israel	NP	Israel
separate	JJ	separate
IDF	NP	IDF
operations	NNS	operation
in	IN	in
Janine	NP	Janine
and	CC	and
tubas	NNS	tuba
early	RB	early
last	JJ	last
week	NN	week
also	RB	also
killed	VVD	kill
another	DT	another
16	CD	@card@
Palestinians	NPS	Palestinians
on	IN	on
11	CD	@card@
August	NP	August
a	DT	a
shooting	NN	shooting
attack	NN	attack
claimed	VVN	claim
by	IN	by
Hamas	NP	Hamas
killed	VVD	kill
one	CD	one
Israeli	JJ	Israeli
civilian	JJ	civilian
and	CC	and
wounded	VVN	wound
another	DT	another
in	IN	in
the	DT	the
northern	JJ	northern
Jordan	NP	Jordan
Valley	NP	Valley
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
another	DT	another
Palestinian	JJ	Palestinian
shooting	NN	shooting
attack	NN	attack
now	RB	now
cilia	NNS	cilium
reportedly	RB	reportedly
injured	VVN	injure
one	CD	one
Israeli	JJ	Israeli
and	CC	and
two	CD	two
Palestinians	NNS	Palestinian
the	DT	the
as	RB	as
salant	JJ	salant
who	WP	who
was	VBD	be
claimed	VVN	claim
by	IN	by
Hamas	NNS	Hamas
as	IN	as
an	DT	an
alassan	NP	alassan
brigades	NNS	brigade
Commander	NP	Commander
was	VBD	be
subsequently	RB	subsequently
killed	VVN	kill
by	IN	by
ISF	NP	ISF
Mr	NP	Mr
president	NN	president
if	IN	if
the	DT	the
slide	NN	slide
towards	IN	towards
an	DT	an
even	RB	even
greater	JJR	great
catastrophe	NN	catastrophe
is	VBZ	be
to	TO	to
be	VB	be
halted	VVN	halt
the	DT	the
parties	NNS	party
must	MD	must
end	VV	end
all	DT	all
escalatory	JJ	escalatory
rhetoric	NN	rhetoric
and	CC	and
actions	NNS	action
I	PP	I
reiterate	VVP	reiterate
the	DT	the
secretary	NN	secretary
General's	NNS	General's
call	VVP	call
for	IN	for
all	RB	all
to	TO	to
work	VV	work
vigorously	RB	vigorously
towards	IN	towards
Regional	JJ	regional
deescalation	NN	deescalation
in	IN	in
the	DT	the
interest	NN	interest
of	IN	of
long-term	JJ	long-term
peace	NN	peace
and	CC	and
stability	NN	stability
I	PP	I
welcome	VVP	welcome
efforts	NNS	effort
by	IN	by
Egypt	NP	Egypt
Qatar	NP	Qatar
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
bring	VV	bring
both	DT	both
sides	NNS	side
to	TO	to
conclude	VV	conclude
a	DT	a
deal	NN	deal
to	TO	to
bring	VV	bring
about	IN	about
a	DT	a
ceasefire	NN	ceasefire
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
and	CC	and
desperately	RB	desperately
needed	VVN	need
humanitarian	JJ	humanitarian
relief	NN	relief
as	IN	as
the	DT	the
leaders	NNS	leader
of	IN	of
Egypt	NP	Egypt
katar	NP	katar
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
emphasized	VVD	emphasize
in	IN	in
their	PP$	their
joint	JJ	joint
statement	NN	statement
on	IN	on
8	CD	@card@
August	NP	August
and	CC	and
I	PP	I
quote	VVP	quote
there	EX	there
is	VBZ	be
no	DT	no
further	JJR	further
time	NN	time
to	TO	to
waste	NN	waste
nor	CC	nor
excuses	NNS	excuse
from	IN	from
any	DT	any
party	NN	party
for	IN	for
further	JJR	further
delay	NN	delay
end	NN	end
quote	VVP	quote
their	PP$	their
call	NN	call
for	IN	for
immediate	JJ	immediate
relief	NN	relief
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
and	CC	and
the	DT	the
hostages	NNS	hostage
and	CC	and
their	PP$	their
families	NNS	family
must	MD	must
be	VB	be
heated	VVN	heat
I	PP	I
urge	VVP	urge
all	DT	all
parties	NNS	party
to	TO	to
prioritize	VV	prioritize
the	DT	the
protection	NN	protection
of	IN	of
civilians	NNS	civilian
and	CC	and
promptly	RB	promptly
conclude	VV	conclude
this	DT	this
deal	NN	deal
as	IN	as
endorsed	VVN	endorse
by	IN	by
the	DT	the
security	NN	security
Council	NN	council
in	IN	in
resolution	NN	resolution
2735	CD	@card@
the	DT	the
United	NP	United
Nations	NPS	Nations
is	VBZ	be
committed	VVN	commit
to	TO	to
supporting	VVG	support
all	DT	all
efforts	NNS	effort
towards	IN	towards
this	DT	this
goal	NN	goal
and	CC	and
remains	VVZ	remain
in	IN	in
close	JJ	close
contact	NN	contact
with	IN	with
the	DT	the
relevant	JJ	relevant
parties	NNS	party
Mr	NP	Mr
President	NP	President
The	DT	the
Killing	VVG	kill
destruction	NN	destruction
and	CC	and
suffering	NN	suffering
in	IN	in
Gaza	NP	Gaza
must	MD	must
end	VV	end
the	DT	the
hostages	NNS	hostage
must	MD	must
be	VB	be
United	VVN	unite
with	IN	with
their	PP$	their
families	NNS	family
but	CC	but
even	RB	even
as	IN	as
efforts	NNS	effort
to	TO	to
achieve	VV	achieve
these	DT	these
goals	NNS	goal
continue	VVP	continue
we	PP	we
cannot	MD	can
lose	VV	lose
sight	NN	sight
of	IN	of
what	WP	what
we	PP	we
consider	VVP	consider
indisputable	JJ	indisputable
in	IN	in
the	DT	the
absence	NN	absence
of	IN	of
a	DT	a
clear	JJ	clear
path	NN	path
towards	IN	towards
a	DT	a
future	NN	future
in	IN	in
which	WDT	which
Israelis	NNS	Israeli
see	VVP	see
their	PP$	their
legitimate	JJ	legitimate
needs	NNS	need
for	IN	for
security	NN	security
materialize	VVP	materialize
and	CC	and
Palestinians	NPS	Palestinians
see	VVP	see
their	PP$	their
legitimate	JJ	legitimate
aspir	NN	aspir
erations	NNS	erations
for	IN	for
a	DT	a
fully	RB	fully
independent	JJ	independent
viable	JJ	viable
and	CC	and
sovereign	JJ	sovereign
state	NN	state
realized	VVD	realize
lasting	JJ	lasting
peace	NN	peace
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
will	MD	will
remain	VV	remain
elusive	JJ	elusive
thank	VVP	thank
you	PP	you
Mr	NP	Mr
President	NP	President
I	PP	I
thank	VVP	thank
Miss	NP	Miss
car	NN	car
Deo	NP	Deo
for	IN	for
uh	UH	uh
briefing	NN	briefing
I	PP	I
now	RB	now
give	VVP	give
the	DT	the
floor	NN	floor
to	TO	to
Miss	NP	Miss
Lisa	NP	Lisa
dotin	NN	dotin
thank	VV	thank
you	PP	you
Mr	NP	Mr
President	NP	President
members	NNS	member
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
here	RB	here
we	PP	we
are	VBP	be
again	RB	again
in	IN	in
the	DT	the
aftermath	NN	aftermath
of	IN	of
yet	RB	yet
another	DT	another
horrendous	JJ	horrendous
episode	NN	episode
in	IN	in
this	DT	this
brutal	JJ	brutal
war	NN	war
in	IN	in
Gaza	NP	Gaza
like	IN	like
under	IN	under
Secretary	NP	Secretary
General	NP	General
Dar	NP	Dar
Carlo	NP	Carlo
were	VBD	be
deeply	RB	deeply
horrified	VVN	horrify
by	IN	by
the	DT	the
strike	NN	strike
on	IN	on
alabin	NN	alabin
school	NN	school
in	IN	in
Adar	NP	Adar
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
on	IN	on
Saturday	NP	Saturday
the	DT	the
school	NN	school
was	VBD	be
Sheltering	VVG	shelter
several	JJ	several
hundred	CD	hundred
displaced	VVN	displace
families	NNS	family
many	JJ	many
of	IN	of
whom	WP	whom
had	VHD	have
moved	VVN	move
there	RB	there
because	IN	because
of	IN	of
recent	JJ	recent
evacuation	NN	evacuation
orders	NNS	order
and	CC	and
the	DT	the
strike	NN	strike
was	VBD	be
conducted	VVN	conduct
during	IN	during
Dawn	NP	Dawn
prayers	NNS	prayer
initial	JJ	initial
report	NN	report
suggests	VVZ	suggest
this	DT	this
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
deadliest	JJS	deadly
attacks	NNS	attack
on	IN	on
a	DT	a
school	NN	school
Sheltering	VVG	shelter
displaced	VVN	displace
people	NNS	people
since	IN	since
the	DT	the
start	NN	start
of	IN	of
this	DT	this
conflict	NN	conflict
tragically	RB	tragically
this	DT	this
is	VBZ	be
far	RB	far
from	IN	from
an	DT	an
isolated	VVN	isolate
in	IN	in
incident	NN	incident
indeed	RB	indeed
such	JJ	such
attacks	NNS	attack
appear	VVP	appear
to	TO	to
be	VB	be
occurring	VVG	occur
with	IN	with
increasing	VVG	increase
frequency	NN	frequency
the	DT	the
most	RBS	most
recent	JJ	recent
in	IN	in
incidents	NNS	incident
include	VVP	include
three	CD	three
schools	NNS	school
hit	VVN	hit
within	IN	within
48	CD	@card@
hours	NNS	hour
between	IN	between
3	CD	@card@
and	CC	and
four	CD	four
August	NP	August
and	CC	and
two	CD	two
schools	NNS	school
hit	VVN	hit
on	IN	on
8	CD	@card@
August	NP	August
all	DT	all
in	IN	in
Gaza	NP	Gaza
City	NP	City
with	IN	with
alabin	NN	alabin
on	IN	on
Saturday	NP	Saturday
the	DT	the
latest	JJS	late
such	JJ	such
attack	NN	attack
according	VVG	accord
to	TO	to
ohchr	NN	ohchr
this	DT	this
is	VBZ	be
at	IN	at
least	JJS	least
the	DT	the
21st	JJ	21st
strike	NN	strike
on	IN	on
a	DT	a
school	NN	school
that	WDT	that
has	VHZ	have
been	VBN	be
serving	VVG	serve
as	IN	as
a	DT	a
shelter	NN	shelter
recorded	VVN	record
since	IN	since
Four	NP	Four
July	NP	July
this	DT	this
year	NN	year
scor	NN	scor
scores	NNS	score
of	IN	of
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
these	DT	these
strikes	NNS	strike
among	IN	among
them	PP	them
women	NNS	woman
and	CC	and
children	NNS	child
Mr	NP	Mr
President	NP	President
sadly	RB	sadly
these	DT	these
large	JJ	large
scale	NN	scale
incidents	NNS	incident
are	VBP	be
only	RB	only
some	DT	some
of	IN	of
the	DT	the
Myriad	NN	myriad
of	IN	of
ways	NNS	way
in	IN	in
which	WDT	which
this	DT	this
horrendous	JJ	horrendous
conflict	NN	conflict
is	VBZ	be
causing	VVG	cause
unbearable	JJ	unbearable
suffering	NN	suffering
and	CC	and
Devastation	NN	devastation
unremitting	JJ	unremitting
violence	NN	violence
in	IN	in
Gaza	NP	Gaza
has	VHZ	have
now	RB	now
killed	VVN	kill
almost	RB	almost
40,000	CD	@card@
Palestinians	NNS	Palestinian
and	CC	and
injured	VVN	injure
more	JJR	more
than	IN	than
90,000	CD	@card@
others	NNS	other
according	VVG	accord
to	TO	to
the	DT	the
Gaza	NP	Gaza
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
some	DT	some
10,000	CD	@card@
people	NNS	people
remain	VVP	remain
unaccounted	JJ	unaccounted
for	IN	for
and	CC	and
are	VBP	be
thought	VVN	think
to	TO	to
be	VB	be
buried	VVN	bury
under	IN	under
the	DT	the
rubble	NN	rubble
and	CC	and
as	RB	as
of	IN	of
9	CD	@card@
August	NP	August
an	DT	an
estimated	JJ	estimated
115	CD	@card@
hostages	NNS	hostage
remain	VVP	remain
captive	NN	captive
in	IN	in
Gaza	NP	Gaza
despite	IN	despite
repeated	JJ	repeated
demands	NNS	demand
for	IN	for
their	PP$	their
release	NN	release
including	VVG	include
hostages	NNS	hostage
who've	NNS	who've
been	VBN	be
declared	VVN	declare
dead	JJ	dead
and	CC	and
whose	WP$	whose
remains	NNS	remains
are	VBP	be
in	IN	in
Gaza	NP	Gaza
the	DT	the
health	NN	health
situation	NN	situation
Gaza	NP	Gaza
remains	VVZ	remain
critical	JJ	critical
and	CC	and
the	DT	the
Health	NP	Health
Care	NP	Care
system	NN	system
is	VBZ	be
barely	RB	barely
functional	JJ	functional
providing	VVG	provide
brave	JJ	brave
but	CC	but
limited	JJ	limited
support	NN	support
for	IN	for
the	DT	the
injured	JJ	injured
and	CC	and
the	DT	the
sick	JJ	sick
for	IN	for
the	DT	the
women	NNS	woman
and	CC	and
childbirth	NN	childbirth
and	CC	and
against	IN	against
rapidly	RB	rapidly
spreading	VVG	spread
disease	NN	disease
thousands	NNS	thousand
of	IN	of
patients	NNS	patient
in	IN	in
critical	JJ	critical
condition	NN	condition
are	VBP	be
on	IN	on
waiting	VVG	wait
list	NN	list
for	IN	for
medical	JJ	medical
evacuations	NNS	evacuation
more	JJR	more
than	IN	than
60%	CD	@card@
of	IN	of
residential	JJ	residential
buildings	NNS	building
and	CC	and
65%	CD	@card@
of	IN	of
the	DT	the
road	NN	road
Network	NN	network
have	VHP	have
been	VBN	be
damaged	VVN	damage
or	CC	or
destroyed	VVN	destroy
according	VVG	accord
to	TO	to
un	JJ	un
recent	JJ	recent
analysis	NN	analysis
in	IN	in
just	RB	just
two	CD	two
weeks	NNS	week
more	RBR	more
than	IN	than
a	DT	a
quarter	NN	quarter
of	IN	of
a	DT	a
million	CD	million
people	NNS	people
have	VHP	have
been	VBN	be
displaced	VVN	displace
often	RB	often
on	IN	on
multiple	JJ	multiple
occasions	NNS	occasion
evacuation	NN	evacuation
orders	NNS	order
supposedly	RB	supposedly
for	IN	for
civilian	JJ	civilian
security	NN	security
are	VBP	be
clearly	RB	clearly
having	VHG	have
the	DT	the
opposite	JJ	opposite
outcome	NN	outcome
civilians	NNS	civilian
are	VBP	be
repeatedly	RB	repeatedly
asked	VVN	ask
to	TO	to
evacuate	VV	evacuate
to	TO	to
areas	NNS	area
where	WRB	where
Essentials	NNS	essential
for	IN	for
their	PP$	their
survival	NN	survival
are	VBP	be
absent	JJ	absent
they're	NN	they're
repeatedly	RB	repeatedly
being	VBG	be
killed	VVN	kill
and	CC	and
injured	VVN	injure
in	IN	in
the	DT	the
very	JJ	very
places	NNS	place
they've	NNS	they've
been	VBN	be
told	VVN	tell
were	VBD	be
safe	JJ	safe
to	TO	to
go	VV	go
shelters	NNS	shelter
and	CC	and
displacement	NN	displacement
camps	NNS	camp
are	VBP	be
reportedly	RB	reportedly
used	VVN	use
for	IN	for
military	JJ	military
purposes	NNS	purpose
by	IN	by
Palestinian	JJ	Palestinian
armed	JJ	armed
groups	NNS	group
exposing	VVG	expose
those	DT	those
Sheltering	VVG	shelter
there	RB	there
to	TO	to
terrible	JJ	terrible
danger	NN	danger
overcrowding	NN	overcrowding
in	IN	in
these	DT	these
places	NNS	place
is	VBZ	be
putting	VVG	put
immense	JJ	immense
strain	NN	strain
on	IN	on
already	RB	already
severely	RB	severely
stretched	VVN	stretch
Water	NP	Water
Sanitation	NN	sanitation
and	CC	and
hygiene	NN	hygiene
facilities	NNS	facility
acute	JJ	acute
respiratory	JJ	respiratory
infections	NNS	infection
diarrheal	JJ	diarrheal
illnesses	NNS	illness
acute	JJ	acute
ja	NN	ja
syndrome	NN	syndrome
and	CC	and
skin	NN	skin
infections	NNS	infection
are	VBP	be
all	RB	all
surging	VVG	surge
and	CC	and
very	RB	very
worryingly	RB	worryingly
with	IN	with
school	NN	school
immunization	NN	immunization
programs	NNS	program
practically	RB	practically
impossible	JJ	impossible
polio	NN	polio
looms	VVZ	loom
as	IN	as
a	DT	a
new	JJ	new
threat	NN	threat
after	IN	after
six	CD	six
circulating	VVG	circulate
polio	NN	polio
virus	NN	virus
strains	NNS	strain
were	VBD	be
detected	VVN	detect
in	IN	in
environmental	JJ	environmental
samples	NNS	sample
in	IN	in
June	NP	June
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
urgency	NN	urgency
health	NN	health
workers	NNS	worker
must	MD	must
be	VB	be
allowed	VVN	allow
to	TO	to
carry	VV	carry
out	RP	out
an	DT	an
immunization	NN	immunization
campaign	NN	campaign
this	DT	this
war	NN	war
is	VBZ	be
destroying	VVG	destroy
lives	NNS	life
dreams	NNS	dream
and	CC	and
Futures	NNS	future
more	JJR	more
than	IN	than
half	PDT	half
a	DT	a
million	CD	million
students	NNS	student
have	VHP	have
lost	VVN	lose
an	DT	an
entire	JJ	entire
academ	NN	academ
mic	JJ	mic
year	NN	year
with	IN	with
39,000	CD	@card@
students	NNS	student
missing	VVG	miss
their	PP$	their
final	JJ	final
exams	NNS	exam
even	RB	even
if	IN	if
this	DT	this
war	NN	war
were	VBD	be
to	TO	to
end	VV	end
today	NN	today
we	PP	we
estimate	VVP	estimate
that	IN/that	that
at	IN	at
least	JJS	least
8	CD	@card@
and	CC	and
10	CD	@card@
schools	NNS	school
would	MD	would
require	VV	require
Rehabilitation	NP	Rehabilitation
and	CC	and
we	PP	we
must	MD	must
not	RB	not
discount	VV	discount
the	DT	the
immense	JJ	immense
emotional	JJ	emotional
and	CC	and
psychological	JJ	psychological
trauma	NN	trauma
this	DT	this
war	NN	war
has	VHZ	have
had	VHN	have
on	IN	on
children	NNS	child
indeed	RB	indeed
people	NNS	people
of	IN	of
all	DT	all
ages	NNS	age
trauma	NN	trauma
they	PP	they
will	MD	will
carry	VV	carry
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
their	PP$	their
lives	NNS	life
it	PP	it
Bears	NPS	Bears
repeating	VVG	repeat
there's	RB	there's
no	DT	no
protection	NN	protection
of	IN	of
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
alongside	IN	alongside
the	DT	the
Relentless	JJ	relentless
Mass	NP	Mass
displacement	NN	displacement
within	IN	within
Gaza	NP	Gaza
many	JJ	many
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
have	VHP	have
left	VVN	leave
and	CC	and
many	JJ	many
more	JJR	more
are	VBP	be
trying	VVG	try
to	TO	to
as	IN	as
this	DT	this
conflict	NN	conflict
persists	VVZ	persist
and	CC	and
lives	NNS	life
are	VBP	be
threatened	VVN	threaten
daily	JJ	daily
civilians	NNS	civilian
must	MD	must
be	VB	be
allowed	VVN	allow
to	TO	to
seek	VV	seek
protection	NN	protection
those	DT	those
displaced	VVN	displace
must	MD	must
also	RB	also
be	VB	be
guaranteed	VVN	guarantee
the	DT	the
right	NN	right
to	TO	to
voluntarily	RB	voluntarily
return	VV	return
what	WP	what
we're	NN	we're
seeing	VVG	see
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
a	DT	a
result	NN	result
of	IN	of
a	DT	a
