<video_id>fcaIVECkzo4</video_id>	JJ	<video_id>fcaIVECkzo4</video_id>
death	NN	death
sentence	NN	sentence
some	DT	some
of	IN	of
those	DT	those
who	WP	who
have	VHP	have
tried	VVN	try
to	TO	to
leave	VV	leave
the	DT	the
area	NN	area
have	VHP	have
come	VVN	come
under	IN	under
attack	NN	attack
including	VVG	include
a	DT	a
doctor's	NNS	doctor's
Without	IN	without
Borders	NP	Borders
Convoy	VVP	convoy
many	JJ	many
patients	NNS	patient
and	CC	and
staff	NN	staff
are	VBP	be
still	RB	still
stuck	VVN	stick
inside	IN	inside
alifa	NN	alifa
with	IN	with
little	JJ	little
to	TO	to
know	VV	know
water	NN	water
food	NN	food
or	CC	or
medicine	NN	medicine
and	CC	and
for	IN	for
more	JJR	more
of	IN	of
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
Let's	NP	Let's
cross	NN	cross
to	TO	to
Margaret	NP	Margaret
Harris	NP	Harris
she's	NNS	she's
the	DT	the
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
Margaret	NP	Margaret
the	DT	the
who	WP	who
has	VHZ	have
been	VBN	be
in	IN	in
alifa	NN	alifa
supporting	VVG	support
evacuations	NNS	evacuation
there	RB	there
what's	JJ	what's
the	DT	the
situation	NN	situation
there	RB	there
so	RB	so
there	RB	there
still	RB	still
remain	VV	remain
over	IN	over
250	CD	@card@
patients	NNS	patient
and	CC	and
20	CD	@card@
health	NN	health
workers	NNS	worker
at	IN	at
alifa	NN	alifa
and	CC	and
they	PP	they
all	RB	all
all	RB	all
are	VBP	be
desperate	JJ	desperate
they	PP	they
all	DT	all
request	NN	request
immediate	JJ	immediate
evacuation	NN	evacuation
because	IN	because
the	DT	the
hospital	NN	hospital
can	MD	can
no	RB	no
longer	RBR	longer
function	VV	function
in	IN	in
any	DT	any
shape	NN	shape
or	CC	or
form	NN	form
as	IN	as
a	DT	a
hospital	NN	hospital
no	DT	no
food	NN	food
no	DT	no
medicine	NN	medicine
no	DT	no
water	NN	water
um	NN	um
and	CC	and
as	IN	as
you	PP	you
heard	VVD	hear
the	DT	the
description	NN	description
of	IN	of
the	DT	the
waste	NN	waste
filling	VVG	fill
the	DT	the
corridors	NNS	corridor
because	IN	because
they	PP	they
can't	VVD	can't
go	VV	go
outside	IN	outside
for	IN	for
fear	NN	fear
of	IN	of
being	VBG	be
harmed	VVN	harm
uh	UH	uh
so	RB	so
we	PP	we
we're	VVP	we're
working	VVG	work
today	NN	today
to	TO	to
get	VV	get
the	DT	the
rest	NN	rest
out	IN	out
the	DT	the
priority	NN	priority
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
G	NN	G
is	VBZ	be
being	VBG	be
given	VVN	give
to	TO	to
the	DT	the
20	CD	@card@
to	TO	to
dialysis	NN	dialysis
patients	NNS	patient
those	DT	those
are	VBP	be
people	NNS	people
who	WP	who
need	VVP	need
to	TO	to
have	VH	have
hemodialysis	NN	hemodialysis
every	DT	every
few	JJ	few
days	NNS	day
to	TO	to
clean	VV	clean
the	DT	the
toxins	NNS	toxin
from	IN	from
their	PP$	their
blood	NN	blood
cuz	NN	cuz
they're	NN	they're
in	IN	in
kidney	NN	kidney
failure	NN	failure
and	CC	and
without	IN	without
that	IN/that	that
they	PP	they
will	MD	will
die	VV	die
and	CC	and
there	EX	there
are	VBP	be
also	RB	also
50	CD	@card@
patients	NNS	patient
with	IN	with
spinal	JJ	spinal
injuries	NNS	injury
uh	UH	uh
and	CC	and
again	RB	again
they	PP	they
are	VBP	be
people	NNS	people
who	WP	who
need	VVP	need
complex	JJ	complex
care	NN	care
which	WDT	which
is	VBZ	be
not	RB	not
in	IN	in
any	DT	any
shape	NN	shape
now	RB	now
available	JJ	available
at	IN	at
alifa	NN	alifa
but	CC	but
also	RB	also
need	VVP	need
very	RB	very
complex	JJ	complex
uh	UH	uh
and	CC	and
careful	JJ	careful
moving	VVG	move
to	TO	to
ensure	VV	ensure
that	IN/that	that
you	PP	you
don't	VVD	don't
make	VV	make
their	PP$	their
conditions	NNS	condition
worse	JJR	bad
so	IN	so
that	DT	that
is	VBZ	be
what	WP	what
we're	NNS	we're
doing	VVG	do
now	RB	now
and	CC	and
and	CC	and
and	CC	and
I	PP	I
would	MD	would
just	RB	just
like	VV	like
to	TO	to
also	RB	also
say	VV	say
we	PP	we
re	IN	re
reaffirm	VV	reaffirm
our	PP$	our
respect	NN	respect
for	IN	for
the	DT	the
extraordinary	JJ	extraordinary
dedication	NN	dedication
and	CC	and
professionalism	NN	professionalism
and	CC	and
humanity	NN	humanity
and	CC	and
courage	NN	courage
of	IN	of
the	DT	the
health	NN	health
staff	NN	staff
who	WP	who
stayed	VVD	stay
there	RB	there
they've	NN	they've
continued	VVD	continue
to	TO	to
care	VV	care
for	IN	for
their	PP$	their
patients	NNS	patient
under	IN	under
unimaginable	JJ	unimaginable
conditions	NNS	condition
now	RB	now
there	EX	there
have	VHP	have
also	RB	also
been	VBN	be
reports	NNS	report
of	IN	of
strikes	NNS	strike
at	IN	at
other	JJ	other
hospitals	NNS	hospital
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
what's	NN	what's
your	PP$	your
team	NN	team
there	RB	there
telling	VVG	tell
you	PP	you
so	IN	so
we're	NN	we're
hearing	VVG	hear
the	DT	the
reports	NNS	report
as	IN	as
well	UH	well
uh	UH	uh
that	IN/that	that
currently	RB	currently
there	EX	there
are	VBP	be
reports	NNS	report
we	PP	we
are	VBP	be
only	RB	only
hearing	VVG	hear
from	IN	from
the	DT	the
media	NNS	medium
so	IN	so
we	PP	we
you	PP	you
know	VVP	know
we	PP	we
we	PP	we
have	VHP	have
a	DT	a
verification	NN	verification
system	NN	system
but	CC	but
again	RB	again
no	DT	no
attack	NN	attack
on	IN	on
a	DT	a
hospital	NN	hospital
or	CC	or
health	NN	health
care	VVP	care
it	PP	it
is	VBZ	be
never	RB	never
acceptable	JJ	acceptable
and	CC	and
what	WP	what
I'd	NNS	I'd
like	VVP	like
to	TO	to
make	VV	make
absolutely	RB	absolutely
clear	JJ	clear
this	DT	this
is	VBZ	be
not	RB	not
acceptable	JJ	acceptable
Health	NP	Health
Care	NP	Care
can	MD	can
never	RB	never
be	VB	be
a	DT	a
Target	NP	Target
it	PP	it
is	VBZ	be
a	DT	a
neutral	JJ	neutral
Safe	NP	Safe
Haven	NP	Haven
or	CC	or
should	MD	should
be	VB	be
still	RB	still
Israel	NP	Israel
says	VVZ	say
that	IN/that	that
Gaza	NP	Gaza
that	IN/that	that
that	DT	that
Hamas	NN	Hamas
is	VBZ	be
using	VVG	use
hospitals	NNS	hospital
what	WP	what
do	VVP	do
you	PP	you
say	VVP	say
to	TO	to
that	DT	that
so	RB	so
again	RB	again
you	PP	you
know	VVP	know
I'm	NP	I'm
not	RB	not
going	VVG	go
to	TO	to
go	VV	go
into	IN	into
he	PP	he
said	VVD	say
she	PP	she
said	VVD	say
our	PP$	our
job	NN	job
is	VBZ	be
to	TO	to
look	VV	look
at	IN	at
the	DT	the
hospital	NN	hospital
we	PP	we
know	VVP	know
what	WP	what
happens	VVZ	happen
above	RB	above
ground	VV	ground
what	WP	what
we	PP	we
see	VVP	see
above	IN	above
ground	NN	ground
was	VBD	be
the	DT	the
largest	JJS	large
most	RBS	most
advanced	JJ	advanced
Hospital	NN	hospital
in	IN	in
the	DT	the
strip	NN	strip
which	WDT	which
has	VHZ	have
now	RB	now
been	VBN	be
reduced	VVN	reduce
to	TO	to
a	DT	a
not	RB	not
a	DT	a
building	NN	building
a	DT	a
non-functioning	JJ	non-functioning
building	NN	building
um	NNS	um
where	WRB	where
Healthcare	NP	Healthcare
cannot	MD	can
be	VB	be
provided	VVN	provide
currently	RB	currently
uh	UH	uh
uh	UH	uh
and	CC	and
we	PP	we
know	VVP	know
that	IN/that	that
what	WP	what
was	VBD	be
going	VVG	go
on	IN	on
before	RB	before
was	VBD	be
Advanced	NP	Advanced
Health	NP	Health
Care	NP	Care
and	CC	and
that's	NNS	that's
it	PP	it
we've	VVP	we've
seen	VVN	see
um	NNS	um
some	DT	some
more	JJR	more
un	NN	un
a	DT	a
trucks	NNS	truck
Crossing	VVG	cross
into	IN	into
Gaza	NP	Gaza
from	IN	from
Egypt	NP	Egypt
has	VHZ	have
that	RB	that
made	VVN	make
any	DT	any
difference	NN	difference
yet	CC	yet
it's	NNS	it's
a	DT	a
glimmer	NN	glimmer
of	IN	of
hope	NN	hope
we	PP	we
want	VVP	want
to	TO	to
see	VV	see
much	RB	much
more	RBR	more
we	PP	we
need	VVP	need
a	DT	a
huge	JJ	huge
amount	NN	amount
of	IN	of
Aid	NP	Aid
to	TO	to
come	VV	come
in	IN	in
we	PP	we
particularly	RB	particularly
need	VVP	need
the	DT	the
fuel	NN	fuel
to	TO	to
come	VV	come
in	IN	in
because	IN	because
we	PP	we
need	VVP	need
the	DT	the
hospital	NN	hospital
generators	NNS	generator
to	TO	to
be	VB	be
powered	VVN	power
we	PP	we
need	VVP	need
the	DT	the
sewage	NN	sewage
systems	NNS	system
to	TO	to
be	VB	be
powered	VVN	power
we	PP	we
need	VVP	need
the	DT	the
water	NN	water
and	CC	and
sanitation	NN	sanitation
to	TO	to
work	VV	work
as	IN	as
I'm	NP	I'm
sure	JJ	sure
you	PP	you
know	VVP	know
the	DT	the
the	DT	the
rains	NNS	rain
have	VHP	have
come	VVN	come
the	DT	the
winter	NN	winter
weather	NN	weather
has	VHZ	have
come	VVN	come
so	IN	so
the	DT	the
problems	NNS	problem
with	IN	with
the	DT	the
