<video_id>5XBKuPfL38U</video_id>	JJ	<video_id>5XBKuPfL38U</video_id>
they're	NN	they're
putting	VVG	put
them	PP	them
in	IN	in
in	IN	in
danger	JJR	dang
uh	UH	uh
we	PP	we
know	VVP	know
that	IN/that	that
Qatar	NP	Qatar
is	VBZ	be
involved	VVN	involve
in	IN	in
in	IN	in
these	DT	these
talks	NNS	talk
and	CC	and
they're	NN	they're
um	NNS	um
the	DT	the
ones	NNS	one
who	WP	who
are	VBP	be
have	VHP	have
been	VBN	be
most	RBS	most
active	JJ	active
in	IN	in
the	DT	the
channel	NN	channel
to	TO	to
release	VV	release
those	DT	those
held	VVN	hold
captive	NN	captive
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
yeah	RB	yeah
Kar	NP	Kar
of	IN	of
course	NN	course
with	IN	with
um	NNS	um
very	RB	very
strong	JJ	strong
ties	NNS	tie
to	TO	to
Hamas	NN	Hamas
what	WP	what
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
government's	NN	government's
outlook	NN	outlook
on	IN	on
security	NN	security
during	IN	during
the	DT	the
release	NN	release
of	IN	of
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
hostages	NNS	hostage
200	CD	@card@
of	IN	of
them	PP	them
at	IN	at
least	JJS	least
can	MD	can
they	PP	they
bring	VV	bring
them	PP	them
back	RB	back
without	IN	without
some	DT	some
kind	NN	kind
of	IN	of
a	DT	a
deal	NN	deal
with	IN	with
Hamas	NNS	Hamas
yeah	RB	yeah
well	RB	well
the	DT	the
the	DT	the
prime	JJ	prime
minister's	NN	minister's
office	NN	office
today	NN	today
released	VVD	release
a	DT	a
statement	NN	statement
and	CC	and
and	CC	and
they	PP	they
said	VVD	say
that	IN/that	that
the	DT	the
government	NN	government
is	VBZ	be
prioritizing	VVG	prioritizing
the	DT	the
release	NN	release
of	IN	of
those	DT	those
has	VHZ	have
held	VVN	hold
the	DT	the
hostage	NN	hostage
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
they	PP	they
say	VVP	say
they	PP	they
want	VVP	want
to	TO	to
wage	VV	wage
a	DT	a
a	DT	a
military	JJ	military
round	NN	round
campaign	NN	campaign
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
H	NP	H
today	NN	today
we've	NN	we've
heard	VVD	hear
assessments	NNS	assessment
that	IN/that	that
this	DT	this
campaign	NN	campaign
is	VBZ	be
going	VVG	go
to	TO	to
last	VV	last
for	IN	for
months	NNS	month
uh	UH	uh
many	JJ	many
months	NNS	month
H	NN	H
this	DT	this
means	VVZ	mean
that	IN/that	that
those	DT	those
who	WP	who
are	VBP	be
held	VVN	hold
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
could	MD	could
be	VB	be
in	IN	in
in	IN	in
danger	NN	danger
and	CC	and
for	IN	for
sure	JJ	sure
uh	UH	uh
there	EX	there
is	VBZ	be
a	DT	a
a	DT	a
a	DT	a
problem	NN	problem
here	RB	here
because	RB	because
on	IN	on
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
the	DT	the
government	NN	government
is	VBZ	be
saying	VVG	say
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
release	VV	release
them	PP	them
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
they're	NN	they're
saying	VVG	say
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
exterminate	VV	exterminate
Hamas	NNS	Hamas
they	PP	they
want	VVP	want
to	TO	to
eradicate	VV	eradicate
Hamas	NNS	Hamas
they	PP	they
want	VVP	want
to	TO	to
destroy	VV	destroy
the	DT	the
military	JJ	military
capabilities	NNS	capability
of	IN	of
Hamas	NN	Hamas
and	CC	and
they	PP	they
want	VVP	want
to	TO	to
launch	VV	launch
a	DT	a
ground	NN	ground
offensive	NN	offensive
against	IN	against
Hamas	NNS	Hamas
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
now	RB	now
how	WRB	how
will	MD	will
the	DT	the
Israeli	JJ	Israeli
government	NN	government
be	VB	be
able	JJ	able
to	TO	to
both	DT	both
release	NN	release
prisoners	NNS	prisoner
and	CC	and
wage	VV	wage
this	DT	this
campaign	NN	campaign
this	DT	this
is	VBZ	be
the	DT	the
big	JJ	big
question	NN	question
that's	NNS	that's
the	DT	the
big	JJ	big
question	NN	question
indeed	RB	indeed
that	DT	that
was	VBD	be
journalist	NN	journalist
samiul	NN	samiul
in	IN	in
Jerusalem	NP	Jerusalem
</doc>	NP	</doc>
