meantime	RB	meantime
the	DT	the
program	NN	program
and	CC	and
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
today	NN	today
um	NNS	um
what	WP	what
exactly	RB	exactly
is	VBZ	be
the	DT	the
hearing	NN	hearing
at	IN	at
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
in	IN	in
the	DT	the
he	PP	he
about	RB	about
yeah	RB	yeah
the	DT	the
case	NN	case
that	IN/that	that
South	NP	South
Africa	NP	Africa
brought	VVD	bring
against	IN	against
Israel	NP	Israel
as	IN	as
you	PP	you
rightly	RB	rightly
already	RB	already
recalled	VVN	recall
is	VBZ	be
about	RB	about
the	DT	the
alleged	JJ	alleged
violation	NN	violation
of	IN	of
the	DT	the
convention	NN	convention
uh	UH	uh
to	TO	to
prevent	VV	prevent
genocide	NN	genocide
so	IN	so
we	PP	we
have	VHP	have
seen	VVN	see
on	IN	on
the	DT	the
26th	JJ	26th
of	IN	of
January	NP	January
exactly	RB	exactly
one	CD	one
month	NN	month
ago	RB	ago
the	DT	the
court	NN	court
which	WDT	which
I	PP	I
remember	VVP	remember
is	VBZ	be
the	DT	the
highest	JJS	high
judicial	JJ	judicial
institution	NN	institution
at	IN	at
the	DT	the
UN	NP	UN
level	NN	level
ordered	VVD	order
very	RB	very
precise	JJ	precise
provisional	JJ	provisional
measures	NNS	measure
that	WDT	that
Israel	NP	Israel
has	VHZ	have
to	TO	to
take	VV	take
in	IN	in
order	NN	order
to	TO	to
stop	VV	stop
prevent	VV	prevent
and	CC	and
punish	VV	punish
acts	NNS	act
of	IN	of
genocide	NN	genocide
incitement	NN	incitement
to	TO	to
genocide	NN	genocide
okay	RB	okay
so	RB	so
now	RB	now
it	PP	it
is	VBZ	be
one	CD	one
yes	NN	yes
sorry	RB	sorry
um	VVD	um
I	PP	I
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
ask	VV	ask
you	PP	you
because	IN	because
I	PP	I
really	RB	really
want	VVP	want
to	TO	to
get	VV	get
to	TO	to
what	WP	what
um	NN	um
is	VBZ	be
supposed	VVN	suppose
to	TO	to
be	VB	be
submitted	VVN	submit
today	NN	today
because	IN	because
we	PP	we
know	VVP	know
that	IN/that	that
you	PP	you
know	VVP	know
previously	RB	previously
Israel	NP	Israel
um	VVD	um
uh	UH	uh
said	VVD	say
that	IN/that	that
it	PP	it
wanted	VVD	want
this	DT	this
case	NN	case
to	TO	to
be	VB	be
thrown	VVN	throw
out	IN	out
the	DT	the
court	NN	court
came	VVD	come
back	RB	back
and	CC	and
said	VVD	say
that	IN/that	that
indeed	RB	indeed
it	PP	it
did	VVD	do
have	VH	have
the	DT	the
jurisdiction	NN	jurisdiction
to	TO	to
hear	VV	hear
this	DT	this
case	NN	case
can	MD	can
we	PP	we
now	RB	now
expect	VVP	expect
Israel	NP	Israel
to	TO	to
make	VV	make
this	DT	this
report	NN	report
public	NN	public
that	IN/that	that
they	PP	they
are	VBP	be
due	JJ	due
to	TO	to
present	VV	present
today	NN	today
I	PP	I
mean	VVP	mean
after	IN	after
all	DT	all
it	PP	it
is	VBZ	be
a	DT	a
confidential	JJ	confidential
report	NN	report
to	TO	to
the	DT	the
icj	NN	icj
which	WDT	which
will	MD	will
be	VB	be
sent	VVN	send
to	TO	to
South	NP	South
Africa	NP	Africa
for	IN	for
comment	NN	comment
will	MD	will
we	PP	we
get	VV	get
any	DT	any
more	JJR	more
information	NN	information
well	RB	well
um	VVG	um
it	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
hearing	NN	hearing
what	WP	what
is	VBZ	be
happening	VVG	happen
today	NN	today
the	DT	the
report	NN	report
is	VBZ	be
as	IN	as
you	PP	you
said	VVD	say
sent	VVN	send
confidentially	RB	confidentially
and	CC	and
I	PP	I
don	VVP	don
'	''	'
t	NN	t
think	VVP	think
that	IN/that	that
there	EX	there
are	VBP	be
indications	NNS	indication
that	WDT	that
let	VVP	let
us	PP	us
think	VVP	think
that	IN/that	that
the	DT	the
report	NN	report
will	MD	will
be	VB	be
available	JJ	available
to	TO	to
the	DT	the
broader	JJR	broad
public	NN	public
there	EX	there
are	VBP	be
some	DT	some
precedents	NNS	precedent
the	DT	the
most	RBS	most
important	JJ	important
in	IN	in
this	DT	this
case	NN	case
is	VBZ	be
the	DT	the
one	CD	one
regarding	VVG	regard
in	IN	in
the	DT	the
case	NN	case
of	IN	of
Gambia	NP	Gambia
against	IN	against
Myanmar	NP	Myanmar
we	PP	we
have	VHP	have
seen	VVN	see
Myanmar	NP	Myanmar
in	IN	in
2020	CD	@card@
also	RB	also
having	VHG	have
to	TO	to
report	VV	report
back	RB	back
to	TO	to
the	DT	the
icj	NN	icj
and	CC	and
that	DT	that
report	NN	report
also	RB	also
was	VBD	be
confidential	JJ	confidential
but	CC	but
of	IN	of
course	NN	course
there	EX	there
is	VBZ	be
a	DT	a
possibility	NN	possibility
that	IN/that	that
the	DT	the
icj	JJ	icj
uh	UH	uh
in	IN	in
case	NN	case
the	DT	the
judges	NNS	judge
decide	VVP	decide
to	TO	to
issue	VV	issue
additional	JJ	additional
provisional	JJ	provisional
measures	NNS	measure
for	IN	for
instance	NN	instance
that	WDT	that
can	MD	can
be	VB	be
taken	VVN	take
prop	NN	prop
Motu	NP	Motu
by	IN	by
the	DT	the
court	NN	court
or	CC	or
also	RB	also
at	IN	at
request	NN	request
of	IN	of
South	NP	South
Africa	NP	Africa
which	WDT	which
will	MD	will
have	VH	have
access	NN	access
to	TO	to
the	DT	the
Israeli	JJ	Israeli
report	NN	report
might	MD	might
in	RB	in
way	RB	way
summarize	VV	summarize
a	DT	a
bit	NN	bit
the	DT	the
content	NN	content
of	IN	of
the	DT	the
report	NN	report
in	IN	in
their	PP$	their
order	NN	order
in	IN	in
case	NN	case
but	CC	but
really	RB	really
there	EX	there
are	VBP	be
no	DT	no
indications	NNS	indication
that	IN/that	that
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
at	IN	at
the	DT	the
moment	NN	moment
is	VBZ	be
thinking	VVG	think
of	IN	of
making	VVG	make
the	DT	the
report	NN	report
public	JJ	public
to	TO	to
the	DT	the
broader	JJR	broad
public	JJ	public
okay	JJ	okay
um	NNS	um
I	PP	I
'	POS	'
d	NN	d
like	VVP	like
to	TO	to
get	VV	get
your	PP$	your
legal	JJ	legal
expertise	NN	expertise
on	IN	on
on	IN	on
a	DT	a
separate	JJ	separate
matter	NN	matter
as	IN	as
well	RB	well
um	JJ	um
because	IN	because
hearings	NNS	hearing
on	IN	on
the	DT	the
legality	NN	legality
of	IN	of
almost	RB	almost
60	CD	@card@
years	NNS	year
of	IN	of
Israeli	JJ	Israeli
occupation	NN	occupation
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
territories	NNS	territory
began	VVD	begin
a	DT	a
week	NN	week
ago	RB	ago
as	RB	as
well	RB	well
at	IN	at
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
in	IN	in
the	DT	the
ha	NP	ha
representatives	NNS	representative
of	IN	of
50	CD	@card@
states	NNS	state
are	VBP	be
taking	VVG	take
part	NN	part
Israel	NP	Israel
itself	PP	itself
is	VBZ	be
saying	VVG	say
is	VBZ	be
staying	VVG	stay
away	RB	away
from	IN	from
those	DT	those
hearings	NNS	hearing
give	VVP	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
there	EX	there
yeah	RB	yeah
that	DT	that
is	VBZ	be
a	DT	a
very	RB	very
important	JJ	important
uh	UH	uh
advisory	JJ	advisory
opinion	NN	opinion
that	WDT	that
has	VHZ	have
been	VBN	be
in	IN	in
the	DT	the
making	NN	making
for	IN	for
many	JJ	many
years	NNS	year
so	RB	so
in	IN	in
a	DT	a
sense	NN	sense
it	PP	it
is	VBZ	be
a	DT	a
coincidence	NN	coincidence
that	IN/that	that
now	RB	now
we	PP	we
are	VBP	be
seeing	VVG	see
two	CD	two
cases	NNS	case
regarding	VVG	regard
Israel	NP	Israel
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
in	IN	in
parallel	RB	parallel
ongoing	JJ	ongoing
at	IN	at
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
in	IN	in
that	DT	that
case	NN	case
is	VBZ	be
not	RB	not
a	DT	a
state	NN	state
that	WDT	that
brought	VVD	bring
Israel	NP	Israel
in	IN	in
front	NN	front
of	IN	of
the	DT	the
court	NN	court
it	PP	it
is	VBZ	be
the	DT	the
general	JJ	general
assembly	NN	assembly
that	WDT	that
put	VVD	put
a	DT	a
legal	JJ	legal
question	NN	question
in	IN	in
front	NN	front
of	IN	of
the	DT	the
judges	NNS	judge
and	CC	and
it	PP	it
is	VBZ	be
about	RB	about
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
of	IN	of
a	DT	a
prolonged	JJ	prolonged
occupation	NN	occupation
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
so	RB	so
basically	RB	basically
what	WP	what
is	VBZ	be
at	IN	at
stake	NN	stake
there	RB	there
and	CC	and
we	PP	we
have	VHP	have
seen	VVN	see
a	DT	a
unprecedented	JJ	unprecedented
number	NN	number
of	IN	of
states	NNS	state
participating	VVG	participate
in	IN	in
that	IN/that	that
proceeding	VVG	proceed
the	DT	the
whole	JJ	whole
past	JJ	past
week	NN	week
has	VHZ	have
been	VBN	be
hearings	NNS	hearing
to	TO	to
hear	VV	hear
not	RB	not
only	RB	only
from	IN	from
the	DT	the
state	NN	state
of	IN	of
Palestine	NP	Palestine
but	CC	but
also	RB	also
from	IN	from
55	CD	@card@
third	JJ	third
states	NNS	state
there	RB	there
legal	JJ	legal
reasonings	NNS	reasoning
will	MD	will
be	VB	be
for	IN	for
the	DT	the
court	NN	court
to	TO	to
assess	VV	assess
whether	IN	whether
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
since	IN	since
57	CD	@card@
years	NNS	year
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
can	MD	can
still	RB	still
be	VB	be
assessed	VVN	assess
as	IN	as
an	DT	an
occupation	NN	occupation
in	IN	in
case	NN	case
whether	IN	whether
this	DT	this
is	VBZ	be
lawful	JJ	lawful
or	CC	or
unlawful	JJ	unlawful
but	CC	but
in	IN	in
the	DT	the
end	NN	end
basically	RB	basically
what	WP	what
we	PP	we
are	VBP	be
talking	VVG	talk
about	RB	about
is	VBZ	be
whether	IN	whether
there	EX	there
is	VBZ	be
a	DT	a
crime	NN	crime
of	IN	of
aperti	NNS	aperti
or	CC	or
a	DT	a
situation	NN	situation
of	IN	of
aperti	NNS	aperti
ongoing	JJ	ongoing
there	RB	there
okay	JJ	okay
and	CC	and
of	IN	of
course	NN	course
that	RB	that
'	POS	'
s	NN	S
a	DT	a
disputed	JJ	disputed
term	NN	term
I	NP	I
'	POS	'
m	NN	m
just	RB	just
very	RB	very
very	RB	very
very	RB	very
very	RB	very
briefly	RB	briefly
will	MD	will
there	RB	there
be	VB	be
a	DT	a
verdict	NN	verdict
in	IN	in
in	IN	in
that	DT	that
case	NN	case
and	CC	and
if	IN	if
so	RB	so
when	WRB	when
yeah	RB	yeah
we	PP	we
can	MD	can
expect	VV	expect
uh	UH	uh
in	IN	in
a	DT	a
few	JJ	few
months	NNS	month
probably	RB	probably
uh	UH	uh
according	VVG	accord
to	TO	to
what	WP	what
has	VHZ	have
been	VBN	be
the	DT	the
practice	NN	practice
of	IN	of
the	DT	the
court	NN	court
in	IN	in
other	JJ	other
similar	JJ	similar
cases	NNS	case
there	EX	there
will	MD	will
be	VB	be
so	RB	so
a	DT	a
advisory	JJ	advisory
opinion	NN	opinion
as	IN	as
I	PP	I
said	VVD	say
it	PP	it
'	''	'
s	NNS	s
not	RB	not
a	DT	a
judgment	NN	judgment
it	PP	it
is	VBZ	be
not	RB	not
the	DT	the
same	JJ	same
uh	UH	uh
procedure	NN	procedure
as	IN	as
the	DT	the
one	CD	one
that	IN/that	that
we	PP	we
are	VBP	be
seeing	VVG	see
South	NP	South
Africa	NP	Africa
against	IN	against
Israel	NP	Israel
it	PP	it
will	MD	will
not	RB	not
be	VB	be
formally	RB	formally
B	NP	B
but	CC	but
still	RB	still
very	RB	very
relevant	JJ	relevant
Professor	NP	Professor
Chantal	NP	Chantal
Malone	NP	Malone
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
to	TO	to
share	VV	share
share	NN	share
your	PP$	your
legal	JJ	legal
expertise	NN	expertise
today	NN	today
thank	VVP	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
and	CC	and
I	PP	I
'	POS	'
m	NN	m
joined	VVD	join
Now	RB	now
by	IN	by
Michael	NP	Michael
Becker	NP	Becker
he	PP	he
was	VBD	be
an	DT	an
associate	NN	associate
legal	JJ	legal
officer	NN	officer
at	IN	at
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
from	IN	from
2010	CD	@card@
until	IN	until
2014	CD	@card@
now	RB	now
he	PP	he
'	POS	'
s	NN	S
teaching	VVG	teach
international	JJ	international
human	JJ	human
rights	NNS	right
law	NN	law
at	IN	at
Trinity	NP	Trinity
College	NP	College
Dublin	NP	Dublin
welcome	NN	welcome
to	TO	to
DW	NN	DW
thanks	NNS	thanks
so	RB	so
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
today	NN	today
now	RB	now
Israel	NP	Israel
'	POS	'
s	JJ	s
report	NN	report
to	TO	to
the	DT	the
icj	NN	icj
isn	NN	isn
'	POS	'
t	NN	t
expected	VVN	expect
to	TO	to
be	VB	be
made	VVN	make
public	JJ	public
but	CC	but
do	VVP	do
we	PP	we
have	VHP	have
any	DT	any
indication	NN	indication
what	WP	what
might	MD	might
be	VB	be
in	IN	in
this	DT	this
report	NN	report
right	NN	right
you	PP	you
'	POS	'
re	NN	re
exactly	RB	exactly
correct	JJ	correct
that	IN/that	that
these	DT	these
reports	NNS	report
are	VBP	be
confidential	JJ	confidential
reports	NNS	report
and	CC	and
the	DT	the
report	NN	report
will	MD	will
go	VV	go
to	TO	to
the	DT	the
court	NN	court
and	CC	and
then	RB	then
to	TO	to
South	NP	South
Africa	NP	Africa
for	IN	for
South	NP	South
Africa	NP	Africa
'	POS	'
s	JJ	s
response	NN	response
so	IN	so
we	PP	we
may	MD	may
not	RB	not
see	VV	see
this	DT	this
anytime	RB	anytime
soon	RB	soon
if	IN	if
ever	RB	ever
but	CC	but
we	PP	we
can	MD	can
predict	VV	predict
I	PP	I
think	VV	think
what	WP	what
Israel	NP	Israel
will	MD	will
try	VV	try
to	TO	to
emphasize	VV	emphasize
in	IN	in
the	DT	the
report	NN	report
but	CC	but
I	PP	I
should	MD	should
say	VV	say
at	IN	at
the	DT	the
start	NN	start
that	IN/that	that
there	EX	there
have	VHP	have
been	VBN	be
reports	NNS	report
today	NN	today
for	IN	for
example	NN	example
that	IN/that	that
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
has	VHZ	have
asked	VVN	ask
for	IN	for
the	DT	the
report	NN	report
to	TO	to
be	VB	be
sparse	JJ	sparse
I	PP	I
think	VVP	think
that	IN/that	that
would	MD	would
be	VB	be
a	DT	a
big	JJ	big
mistake	NN	mistake
for	IN	for
Israel	NP	Israel
because	IN	because
this	DT	this
is	VBZ	be
an	DT	an
opportunity	NN	opportunity
for	IN	for
Israel	NP	Israel
to	TO	to
try	VV	try
to	TO	to
convey	VV	convey
to	TO	to
the	DT	the
court	VV	court
uh	UH	uh
everything	NN	everything
that	IN/that	that
it	PP	it
thinks	VVZ	think
thinks	VVZ	think
it	PP	it
'	''	'
s	NNS	s
doing	VVG	do
to	TO	to
comply	VV	comply
with	IN	with
the	DT	the
order	NN	order
I	PP	I
would	MD	would
expect	VV	expect
Israel	NP	Israel
to	TO	to
focus	VV	focus
mainly	RB	mainly
on	IN	on
what	WP	what
Israel	NP	Israel
sees	VVZ	see
as	IN	as
its	PP$	its
best	JJS	good
efforts	NNS	effort
to	TO	to
facilitate	VV	facilitate
humanitarian	JJ	humanitarian
assistance	NN	assistance
into	IN	into
Gaza	NP	Gaza
now	RB	now
whether	IN	whether
the	DT	the
way	NN	way
Israel	NP	Israel
portrays	VVZ	portray
its	PP$	its
efforts	NNS	effort
to	TO	to
deliver	VV	deliver
humanitarian	JJ	humanitarian
assistance	NN	assistance
would	MD	would
be	VB	be
credible	JJ	credible
to	TO	to
a	DT	a
broader	JJR	broad
audience	NN	audience
is	VBZ	be
a	DT	a
different	JJ	different
question	NN	question
but	CC	but
I	PP	I
think	VVP	think
that	IN/that	that
that	DT	that
'	''	'
s	NN	S
where	WRB	where
the	DT	the
emphasis	NN	emphasis
will	MD	will
be	VB	be
placed	VVN	place
in	IN	in
Israel	NP	Israel
'	POS	'
s	JJ	s
report	NN	report
okay	NN	okay
but	CC	but
if	IN	if
the	DT	the
report	NN	report
isn	NN	isn
'	POS	'
t	NN	t
made	VVD	make
public	NN	public
I	PP	I
mean	VVP	mean
is	VBZ	be
anything	RB	anything
going	VVG	go
to	TO	to
come	VV	come
of	IN	of
this	DT	this
because	IN	because
surely	RB	surely
there	RB	there
'	''	'
ll	NN	ll
be	VB	be
less	RBR	less
public	JJ	public
pressure	NN	pressure
on	RB	on
is	VBZ	be
to	TO	to
to	TO	to
comply	VV	comply
you	PP	you
know	VV	know
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
know	VVP	know
what	WP	what
'	POS	'
s	NN	S
in	IN	in
the	DT	the
report	NN	report
absolutely	RB	absolutely
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
reason	NN	reason
why	WRB	why
the	DT	the
court	NN	court
should	MD	should
change	VV	change
its	PP$	its
practices	NNS	practice
and	CC	and
uh	UH	uh
require	VV	require
that	IN/that	that
these	DT	these
implementation	NN	implementation
reports	NNS	report
be	VB	be
made	VVN	make
public	JJ	public
but	CC	but
the	DT	the
the	DT	the
it	PP	it
'	POS	'
s	NN	S
really	RB	really
for	IN	for
South	NP	South
Africa	NP	Africa
here	RB	here
to	TO	to
play	VV	play
the	DT	the
role	NN	role
of	IN	of
having	VHG	have
to	TO	to
come	VV	come
back	RB	back
to	TO	to
the	DT	the
court	NN	court
and	CC	and
try	VV	try
to	TO	to
refute	VV	refute
what	WP	what
it	PP	it
may	MD	may
see	VV	see
as	IN	as
Israel	NP	Israel
'	POS	'
s	JJ	s
incomplete	JJ	incomplete
or	CC	or
even	RB	even
potentially	RB	potentially
misleading	VVG	mislead
narrative	NN	narrative
about	IN	about
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
on	IN	on
the	DT	the
ground	NN	ground
so	RB	so
in	IN	in
some	DT	some
ways	NNS	way
I	PP	I
actually	RB	actually
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
South	NP	South
Africa	NP	Africa
'	POS	'
s	NN	S
response	NN	response
again	RB	again
a	DT	a
confidential	JJ	confidential
report	NN	report
but	CC	but
South	NP	South
Africa	NP	Africa
'	POS	'
s	NN	S
response	NN	response
rather	RB	rather
than	IN	than
Israel	NP	Israel
'	POS	'
s	JJ	s
initial	JJ	initial
report	NN	report
that	RB	that
'	POS	'
s	NNS	s
more	RBR	more
important	JJ	important
here	RB	here
because	IN	because
this	DT	this
is	VBZ	be
an	DT	an
opportunity	NN	opportunity
for	IN	for
South	NP	South
Africa	NP	Africa
to	TO	to
point	VV	point
out	RP	out
omissions	NNS	omission
from	IN	from
Israel	NP	Israel
'	POS	'
s	NNS	s
report	VV	report
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
over	IN	over
the	DT	the
past	JJ	past
several	JJ	several
weeks	NNS	week
reports	NNS	report
about	IN	about
Israeli	JJ	Israeli
officials	NNS	official
directly	RB	directly
impeding	VVG	impede
certain	JJ	certain
efforts	NNS	effort
to	TO	to
deliver	VV	deliver
humanitarian	JJ	humanitarian
assistance	NN	assistance
there	EX	there
are	VBP	be
also	RB	also
ways	NNS	way
in	IN	in
which	WDT	which
South	NP	South
Africa	NP	Africa
can	MD	can
probably	RB	probably
point	VV	point
out	RP	out
to	TO	to
the	DT	the
court	NN	court
other	JJ	other
things	NNS	thing
that	WDT	that
are	VBP	be
within	IN	within
Israel	NP	Israel
'	POS	'
s	JJ	s
power	NN	power
to	TO	to
do	VV	do
that	DT	that
for	IN	for
whatever	WDT	whatever
reason	NN	reason
Israel	NP	Israel
has	VHZ	have
not	RB	not
been	VBN	be
doing	VVG	do
and	CC	and
so	RB	so
is	VBZ	be
a	DT	a
chance	NN	chance
for	IN	for
South	NP	South
Africa	NP	Africa
to	TO	to
put	VV	put
these	DT	these
things	NNS	thing
before	IN	before
the	DT	the
court	NN	court
and	CC	and
it	PP	it
may	MD	may
in	IN	in
fact	NN	fact
be	VB	be
the	DT	the
impetus	NN	impetus
for	IN	for
South	NP	South
Africa	NP	Africa
now	RB	now
to	TO	to
go	VV	go
back	RB	back
to	TO	to
the	DT	the
court	NN	court
and	CC	and
request	VV	request
new	JJ	new
provisional	JJ	provisional
measures	NNS	measure
or	CC	or
modified	VVN	modify
provisional	JJ	provisional
measures	NNS	measure
but	CC	but
measures	NNS	measure
that	WDT	that
would	MD	would
be	VB	be
much	RB	much
more	RBR	more
specific	JJ	specific
much	RB	much
more	RBR	more
pric	JJ	pric
than	IN	than
the	DT	the
types	NNS	type
of	IN	of
quite	RB	quite
broadly	RB	broadly
worded	VVN	word
measures	NNS	measure
that	IN/that	that
the	DT	the
court	NN	court
um	NN	um
imposed	VVD	impose
a	DT	a
month	NN	month
ago	RB	ago
okay	RB	okay
now	RB	now
there	EX	there
are	VBP	be
several	JJ	several
organizations	NNS	organization
the	DT	the
UN	NP	UN
Amnesty	NN	amnesty
International	NP	International
Etc	FW	etc
they	PP	they
'	POS	'
ve	NN	ve
all	RB	all
called	VVN	call
on	IN	on
Israel	NP	Israel
to	TO	to
comply	VV	comply
with	IN	with
the	DT	the
icj	NN	icj
'	POS	'
s	NN	S
orders	NNS	order
um	NN	um
what	WP	what
happens	VVZ	happen
if	IN	if
it	PP	it
doesn	NN	doesn
'	POS	'
t	NN	t
do	VVP	do
anything	NN	anything
briefly	RB	briefly
if	IN	if
you	PP	you
could	MD	could
well	VV	well
we	PP	we
'	''	'
re	IN	re
we	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
a	DT	a
situation	NN	situation
where	WRB	where
the	DT	the
courts	NNS	court
powers	NNS	power
of	IN	of
enforcement	NN	enforcement
are	VBP	be
very	RB	very
limited	JJ	limited
it	PP	it
'	''	'
s	NNS	s
not	RB	not
really	RB	really
the	DT	the
Court	NP	Court
'	POS	'
s	JJ	s
job	NN	job
to	TO	to
enforce	VV	enforce
its	PP$	its
own	JJ	own
decisions	NNS	decision
This	DT	this
falls	NNS	fall
on	IN	on
the	DT	the
International	NP	International
Community	NP	Community
so	IN	so
we	PP	we
'	POS	'
ve	NN	ve
already	RB	already
seen	VVN	see
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
from	IN	from
last	JJ	last
month	NN	month
have	VHP	have
put	VVN	put
enormous	JJ	enormous
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
and	CC	and
that	DT	that
pressure	NN	pressure
is	VBZ	be
coming	VVG	come
from	IN	from
other	JJ	other
countries	NNS	country
including	VVG	include
some	DT	some
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	s
strongest	JJS	strong
supporters	NNS	supporter
so	IN	so
I	PP	I
think	VVP	think
that	IN/that	that
this	DT	this
process	NN	process
simply	RB	simply
feeds	VVZ	feed
into	IN	into
that	DT	that
broader	JJR	broad
uh	UH	uh
political	JJ	political
Dynamic	NN	dynamic
with	IN	with
States	NPS	States
including	VVG	include
the	DT	the
United	NP	United
States	NPS	States
putting	VVG	put
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
to	TO	to
change	VV	change
its	PP$	its
course	NN	course
to	TO	to
find	VV	find
a	DT	a
way	NN	way
towards	IN	towards
a	DT	a
ceasefire	NN	ceasefire
find	VV	find
a	DT	a
way	NN	way
to	TO	to
resolve	VV	resolve
the	DT	the
hostages	NNS	hostage
crisis	NN	crisis
and	CC	and
very	RB	very
importantly	RB	importantly
find	VV	find
a	DT	a
way	NN	way
to	TO	to
