Jordan	NP	Jordan
border	NN	border
to	TO	to
Egypt	NP	Egypt
uh	UH	uh
is	VBZ	be
there	RB	there
any	DT	any
hope	NN	hope
of	IN	of
things	NNS	thing
getting	VVG	get
better	RBR	well
there	RB	there
'	''	'
s	RB	s
been	VBN	be
Talk	NN	talk
of	IN	of
the	DT	the
errors	NNS	error
Crossing	VVG	cross
in	IN	in
the	DT	the
north	NN	north
being	VBG	be
open	JJ	open
for	IN	for
example	NN	example
yeah	RB	yeah
look	VVP	look
we	PP	we
'	''	'
re	IN	re
calling	VVG	call
for	IN	for
all	DT	all
existing	JJ	existing
um	NN	um
Crossings	NNS	crossing
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
that	WDT	that
were	VBD	be
were	VBD	be
operating	VVG	operate
before	IN	before
the	DT	the
escalation	NN	escalation
in	IN	in
hostilities	NNS	hostility
to	TO	to
be	VB	be
reopened	VVN	reopen
uh	UH	uh
one	CD	one
of	IN	of
those	DT	those
Crossings	NNS	crossing
Kem	NP	Kem
Shalom	NP	Shalom
has	VHZ	have
been	VBN	be
um	RB	um
opening	VVG	open
for	IN	for
for	IN	for
some	DT	some
days	NNS	day
but	CC	but
but	RB	but
as	IN	as
you	PP	you
say	VVP	say
there	EX	there
are	VBP	be
others	NNS	other
that	WDT	that
could	MD	could
be	VB	be
opened	VVN	open
and	CC	and
we	PP	we
really	RB	really
need	VVP	need
access	NN	access
from	IN	from
as	IN	as
many	JJ	many
possible	JJ	possible
routes	NNS	route
that	WDT	that
are	VBP	be
proven	VVN	prove
in	IN	in
order	NN	order
for	IN	for
us	PP	us
to	TO	to
get	VV	get
more	JJR	more
Aid	NN	aid
in	IN	in
because	IN	because
at	IN	at
the	DT	the
moment	NN	moment
we	PP	we
'	POS	'
re	NN	re
only	RB	only
getting	VVG	get
in	IN	in
you	PP	you
know	VVP	know
100	CD	@card@
150	CD	@card@
trucks	NNS	truck
a	DT	a
day	NN	day
day	NN	day
and	CC	and
before	IN	before
the	DT	the
escalation	NN	escalation
in	IN	in
hostilities	NNS	hostility
there	EX	there
was	VBD	be
500	CD	@card@
so	IN	so
the	DT	the
need	NN	need
has	VHZ	have
skyrocketed	VVN	skyrocket
and	CC	and
the	DT	the
aid	NN	aid
has	VHZ	have
dwindled	VVN	dwindle
so	IN	so
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
really	RB	really
a	DT	a
a	DT	a
a	DT	a
very	RB	very
tragic	JJ	tragic
situation	NN	situation
for	IN	for
the	DT	the
children	NNS	child
and	CC	and
families	NNS	family
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
gazer	NN	gazer
at	IN	at
the	DT	the
moment	NN	moment
I	PP	I
was	VBD	be
going	VVG	go
to	TO	to
say	VV	say
that	DT	that
aid	NN	aid
needs	VVZ	need
to	TO	to
get	VV	get
to	TO	to
so	RB	so
many	JJ	many
children	NNS	child
uh	UH	uh
who	WP	who
were	VBD	be
overproportional	NN	overproportional
affected	VVN	affect
in	IN	in
this	DT	this
war	NN	war
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
the	DT	the
situation	NN	situation
for	IN	for
them	PP	them
which	WDT	which
should	MD	should
should	MD	should
make	VV	make
up	RP	up
about	IN	about
half	NN	half
of	IN	of
the	DT	the
population	NN	population
of	IN	of
Gaza	NP	Gaza
so	RB	so
as	IN	as
you	PP	you
say	VVP	say
they	PP	they
'	''	'
re	IN	re
being	VBG	be
proportionately	RB	proportionately
affected	VVN	affect
by	IN	by
this	DT	this
conflict	NN	conflict
there	RB	there
'	POS	'
s	NN	S
you	PP	you
know	VVP	know
no	DT	no
safe	JJ	safe
space	NN	space
for	IN	for
a	DT	a
child	NN	child
in	IN	in
Gaza	NP	Gaza
at	IN	at
the	DT	the
moment	NN	moment
there	RB	there
'	POS	'
s	NN	S
bombs	NNS	bomb
falling	VVG	fall
from	IN	from
the	DT	the
air	NN	air
and	CC	and
disease	NN	disease
loing	NN	loing
around	IN	around
every	DT	every
corner	JJ	corner
um	NN	um
as	IN	as
we	PP	we
just	RB	just
heard	VVD	hear
in	IN	in
your	PP$	your
report	NN	report
there	RB	there
'	POS	'
s	NNS	s
no	DT	no
food	NN	food
no	DT	no
Safe	NP	Safe
Water	NP	Water
no	DT	no
shelter	NN	shelter
and	CC	and
so	RB	so
parents	NNS	parent
and	CC	and
families	NNS	family
are	VBP	be
really	RB	really
just	RB	just
exhausted	VVN	exhaust
by	IN	by
the	DT	the
sheer	JJ	sheer
exertion	NN	exertion
of	IN	of
trying	VVG	try
to	TO	to
survive	VV	survive
every	DT	every
day	NN	day
um	NN	um
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
hearing	NN	hearing
accounts	NNS	account
from	IN	from
families	NNS	family
and	CC	and
children	NNS	child
on	IN	on
the	DT	the
ground	NN	ground
that	IN/that	that
they	PP	they
often	RB	often
go	VVP	go
days	NNS	day
without	IN	without
eating	VVG	eat
and	CC	and
when	WRB	when
they	PP	they
do	VVP	do
it	PP	it
'	''	'
s	NNS	s
just	RB	just
a	DT	a
you	PP	you
know	VVP	know
a	DT	a
small	JJ	small
amount	NN	amount
of	IN	of
bread	NN	bread
um	NNS	um
so	IN	so
the	DT	the
situation	NN	situation
in	IN	in
terms	NNS	term
of	IN	of
food	NN	food
is	VBZ	be
is	VBZ	be
incredibly	RB	incredibly
difficult	JJ	difficult
and	CC	and
we	PP	we
'	POS	'
re	NN	re
worried	VVN	worry
in	IN	in
the	DT	the
coming	VVG	come
weeks	NNS	week
about	IN	about
a	DT	a
very	RB	very
real	JJ	real
risk	NN	risk
of	IN	of
widespread	JJ	widespread
famine	NN	famine
and	CC	and
for	IN	for
the	DT	the
kids	NNS	kid
who	WP	who
do	VVP	do
manage	VV	manage
to	TO	to
survive	VV	survive
uh	UH	uh
this	DT	this
Onslaught	NN	onslaught
what	WP	what
what	WP	what
sort	NN	sort
of	IN	of
future	NN	future
is	VBZ	be
for	IN	for
them	PP	them
how	WRB	how
how	WRB	how
worried	JJ	worried
are	VBP	be
you	PP	you
about	IN	about
the	DT	the
long	JJ	long
-	NN	-
term	NN	term
effects	NNS	effect
of	IN	of
this	DT	this
war	NN	war
on	IN	on
them	PP	them
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
tragedy	NN	tragedy
Beyond	IN	beyond
anyone	NN	anyone
'	POS	'
s	JJ	s
wildest	JJS	wild
imagination	NN	imagination
and	CC	and
I	PP	I
think	VVP	think
um	RB	um
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
we	PP	we
UNICEF	NP	UNICEF
are	VBP	be
are	VBP	be
trying	VVG	try
to	TO	to
prepare	VV	prepare
for	IN	for
and	CC	and
get	VV	get
ahead	RB	ahead
of	IN	of
is	VBZ	be
the	DT	the
long	JJ	long
-	NN	-
term	NN	term
mental	JJ	mental
health	NN	health
impacts	VVZ	impact
obviously	RB	obviously
these	DT	these
children	NNS	child
will	MD	will
have	VH	have
many	JJ	many
of	IN	of
them	PP	them
physical	JJ	physical
scars	NNS	scar
from	IN	from
this	DT	this
conflict	NN	conflict
but	CC	but
others	NNS	other
uh	UH	uh
will	MD	will
have	VH	have
lost	VVN	lose
family	NN	family
they	PP	they
will	MD	will
have	VH	have
lost	VVN	lose
their	PP$	their
home	NN	home
um	NNS	um
and	CC	and
endured	VVN	endure
uh	UH	uh
ongoing	JJ	ongoing
fear	NN	fear
for	IN	for
for	IN	for
for	IN	for
days	NNS	day
and	CC	and
for	IN	for
weeks	NNS	week
throughout	IN	throughout
these	DT	these
hostilities	NNS	hostility
so	RB	so
as	IN	as
UNICEF	NP	UNICEF
we	PP	we
'	POS	'
re	NN	re
not	RB	not
just	RB	just
there	RB	there
delivering	VVG	deliver
Aid	NP	Aid
we	PP	we
'	POS	'
re	NN	re
also	RB	also
providing	VVG	provide
support	NN	support
services	NNS	service
to	TO	to
some	DT	some
of	IN	of
these	DT	these
children	NNS	child
to	TO	to
meet	VV	meet
them	PP	them
where	WRB	where
they	PP	they
'	POS	'
re	NN	re
at	IN	at
and	CC	and
um	NNS	um
help	VVP	help
them	PP	them
process	VVP	process
some	DT	some
of	IN	of
those	DT	those
emotions	NNS	emotion
to	TO	to
try	VV	try
and	CC	and
reduce	VV	reduce
the	DT	the
long	JJ	long
-	NN	-
term	NN	term
impact	NN	impact
of	IN	of
the	DT	the
traum	NP	traum
trauma	NN	trauma
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
experiencing	VVG	experience
at	IN	at
the	DT	the
moment	NN	moment
their	PP$	their
situation	NN	situation
though	RB	though
is	VBZ	be
dependent	JJ	dependent
on	IN	on
diplomacy	NN	diplomacy
uh	UH	uh
that	WDT	that
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
around	IN	around
the	DT	the
region	NN	region
at	IN	at
the	DT	the
moment	NN	moment
and	CC	and
and	CC	and
so	RB	so
many	JJ	many
different	JJ	different
players	NNS	player
but	CC	but
who	WP	who
is	VBZ	be
to	TO	to
blame	VV	blame
for	IN	for
things	NNS	thing
not	RB	not
having	VHG	have
changed	VVN	change
I	PP	I
mean	VVP	mean
from	IN	from
day	NN	day
one	CD	one
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
three	CD	three
months	NNS	month
into	IN	into
this	DT	this
war	NN	war
and	CC	and
the	DT	the
situation	NN	situation
hasn	NN	hasn
'	POS	'
t	NN	t
changed	VVD	change
it	PP	it
really	RB	really
it	PP	it
is	VBZ	be
um	RB	um
unfathomable	JJ	unfathomable
that	IN/that	that
we	PP	we
'	''	'
re	IN	re
allowing	VVG	allow
this	DT	this
as	IN	as
a	DT	a
global	JJ	global
Community	NN	community
to	TO	to
continue	VV	continue
UNICEF	NP	UNICEF
has	VHZ	have
been	VBN	be
calling	VVG	call
for	IN	for
weeks	NNS	week
now	RB	now
for	IN	for
an	DT	an
immediate	JJ	immediate
and	CC	and
long	JJ	long
lasting	JJ	lasting
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
because	IN	because
we	PP	we
talk	VVP	talk
about	IN	about
Aid	NP	Aid
and	CC	and
the	DT	the
changes	NNS	change
that	WDT	that
need	VVP	need
to	TO	to
happen	VV	happen
to	TO	to
get	VV	get
more	JJR	more
Aid	NN	aid
in	IN	in
and	CC	and
that	IN/that	that
'	POS	'
s	JJ	s
important	JJ	important
but	CC	but
a	DT	a
ceasefire	NN	ceasefire
really	RB	really
is	VBZ	be
the	DT	the
only	JJ	only
way	NN	way
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
deliver	VV	deliver
enough	JJ	enough
Aid	NN	aid
to	TO	to
meet	VV	meet
the	DT	the
need	MD	need
get	VV	get
it	PP	it
around	IN	around
Gaza	NP	Gaza
to	TO	to
the	DT	the
children	NNS	child
and	CC	and
families	NNS	family
that	WDT	that
need	VVP	need
it	PP	it
and	CC	and
ultimately	RB	ultimately
for	IN	for
the	DT	the
fighting	NN	fighting
to	TO	to
stop	VV	stop
because	IN	because
most	JJS	most
people	NNS	people
that	IN/that	that
we	PP	we
speak	VVP	speak
to	TO	to
in	IN	in
Gaza	NP	Gaza
at	IN	at
the	DT	the
moment	NN	moment
are	VBP	be
just	RB	just
urging	VVG	urge
us	PP	us
for	IN	for
do	VVP	do
to	TO	to
do	VV	do
whatever	WDT	whatever
we	PP	we
can	MD	can
to	TO	to
end	VV	end
the	DT	the
fighting	NN	fighting
as	IN	as
a	DT	a
humanitarian	JJ	humanitarian
Aid	NN	aid
agency	NN	agency
we	PP	we
can	MD	can
Advocate	NN	advocate
uh	UH	uh
to	TO	to
to	TO	to
all	DT	all
parties	NNS	party
and	CC	and
to	TO	to
all	DT	all
of	IN	of
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
do	VV	do
what	WP	what
everybody	NN	everybody
can	MD	can
to	TO	to
try	VV	try
and	CC	and
um	NNS	um
end	VVP	end
the	DT	the
fighting	NN	fighting
but	CC	but
It	PP	it
ultimately	RB	ultimately
needs	VVZ	need
needs	NNS	need
to	TO	to
come	VV	come
from	IN	from
outside	IN	outside
you	PP	you
heard	VVD	hear
it	PP	it
from	IN	from
unicef	NN	Unicef
'	POS	'
s	NN	S
Tess	NP	Tess
Ingram	NP	Ingram
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
taking	VVG	take
the	DT	the
time	NN	time
out	IN	out
today	NN	today
to	TO	to
speak	VV	speak
to	TO	to
us	PP	us
here	RB	here
on	IN	on
D	NP	D
news	NN	news
