Israeli	JJ	Israeli
Jihad	NP	Jihad
launched	VVD	launch
a	DT	a
rocket	NN	rocket
and	CC	and
it	PP	it
hit	VV	hit
uh	UH	uh
the	DT	the
hospital	NN	hospital
Al	NP	Al
hospital	NN	hospital
um	VVG	um
uh	UH	uh
parking	NN	parking
lot	VV	lot
uh	UH	uh
in	IN	in
this	DT	this
this	DT	this
case	NN	case
I	PP	I
would	MD	would
rather	RB	rather
be	VB	be
than	IN	than
sorry	JJ	sorry
and	CC	and
so	RB	so
we	PP	we
have	VHP	have
to	TO	to
be	VB	be
confirmed	VVN	confirm
once	IN	once
we	PP	we
can	MD	can
confirm	VV	confirm
what	WP	what
what	WP	what
was	VBD	be
struck	VVN	strike
and	CC	and
indeed	RB	indeed
if	IN	if
the	DT	the
target	NN	target
was	VBD	be
indeed	RB	indeed
hit	VVN	hit
then	RB	then
we	PP	we
'	POS	'
ll	NNS	ll
make	VVP	make
an	DT	an
announcement	NN	announcement
as	IN	as
we	PP	we
did	VVD	do
yesterday	NN	yesterday
so	RB	so
just	RB	just
to	TO	to
be	VB	be
clear	JJ	clear
um	NNS	um
at	IN	at
this	DT	this
stage	NN	stage
you	PP	you
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
whether	IN	whether
Israel	NP	Israel
struck	VVD	strike
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
again	RB	again
at	IN	at
at	IN	at
this	DT	this
time	NN	time
I	PP	I
can	MD	can
'	''	'
t	NN	t
confirm	VVP	confirm
that	IN/that	that
but	RB	but
but	CC	but
there	EX	there
is	VBZ	be
a	DT	a
distinct	JJ	distinct
possibility	NN	possibility
that	IN/that	that
it	PP	it
was	VBD	be
us	PP	us
rather	RB	rather
than	IN	than
jumping	VVG	jump
to	TO	to
conclusions	NNS	conclusion
I	PP	I
suggest	VVP	suggest
we	PP	we
have	VHP	have
a	DT	a
bit	NN	bit
more	JJR	more
patience	NN	patience
it	PP	it
'	POS	'
s	JJ	s
Peter	NP	Peter
larner	NN	larner
from	IN	from
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NP	Forces
well	RB	well
some	DT	some
foreign	JJ	foreign
passport	NN	passport
holders	NNS	holder
have	VHP	have
now	RB	now
been	VBN	be
allowed	VVN	allow
to	TO	to
leave	VV	leave
Gaza	NP	Gaza
a	DT	a
first	JJ	first
group	NN	group
of	IN	of
critically	RB	critically
injured	VVN	injure
Garin	NP	Garin
has	VHZ	have
already	RB	already
arrived	VVN	arrive
on	IN	on
the	DT	the
Egyptian	JJ	Egyptian
side	NN	side
of	IN	of
the	DT	the
Rafa	NP	Rafa
border	NN	border
crossing	VVG	cross
it	PP	it
'	POS	'
s	NNS	s
unclear	JJ	unclear
how	WRB	how
long	JJ	long
the	DT	the
crossing	NN	crossing
will	MD	will
remain	VV	remain
open	JJ	open
people	NNS	people
in	IN	in
Gaza	NP	Gaza
have	VHP	have
waited	VVN	wait
for	IN	for
weeks	NNS	week
for	IN	for
this	DT	this
gate	NN	gate
to	TO	to
open	VV	open
towards	IN	towards
Egypt	NP	Egypt
and	CC	and
now	RB	now
it	PP	it
has	VHZ	have
within	IN	within
an	DT	an
hour	NN	hour
these	DT	these
ambulances	NNS	ambulance
were	VBD	be
rushing	VVG	rush
through	IN	through
according	VVG	accord
to	TO	to
the	DT	the
UN	NP	UN
thousands	NNS	thousand
of	IN	of
civilians	NNS	civilian
have	VHP	have
been	VBN	be
injured	VVN	injure
in	IN	in
Gaza	NP	Gaza
since	IN	since
Israel	NP	Israel
began	VVD	begin
its	PP$	its
war	NN	war
on	IN	on
terror	NN	terror
group	NN	group
Hamas	NNS	Hamas
many	JJ	many
of	IN	of
them	PP	them
critically	RB	critically
wounded	VVN	wound
are	VBP	be
in	IN	in
urgent	JJ	urgent
need	NN	need
of	IN	of
Medical	NP	Medical
Care	NP	Care
Egyptian	JJ	Egyptian
authorities	NNS	authority
say	VVP	say
81	CD	@card@
gazin	NN	gazin
were	VBD	be
allowed	VVN	allow
to	TO	to
go	VV	go
across	IN	across
based	VVN	base
on	IN	on
a	DT	a
deal	NN	deal
struck	VVN	strike
between	IN	between
Egypt	NP	Egypt
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
and	CC	and
mediated	VVN	mediate
by	IN	by
Qatar	NP	Qatar
on	IN	on
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
Egypt	NP	Egypt
has	VHZ	have
set	VVN	set
up	RP	up
a	DT	a
field	NN	field
hospital	NN	hospital
to	TO	to
treat	VV	treat
injured	JJ	injured
Palestinians	NNS	Palestinian
and	CC	and
thousands	NNS	thousand
of	IN	of
doctors	NNS	doctor
have	VHP	have
registered	VVN	register
to	TO	to
help	VV	help
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
Volunteers	NNS	volunteer
in	IN	in
Egypt	NP	Egypt
are	VBP	be
trying	VVG	try
to	TO	to
get	VV	get
more	JJR	more
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
today	NN	today
60	CD	@card@
trucks	NNS	truck
have	VHP	have
passed	VVN	pass
yesterday	NN	yesterday
another	DT	another
60	CD	@card@
the	DT	the
priority	NN	priority
is	VBZ	be
for	IN	for
medicine	NN	medicine
to	TO	to
pass	VV	pass
we	PP	we
'	POS	'
ve	JJ	ve
seen	VVN	see
children	NNS	child
undergoing	VVG	undergo
surgeries	NNS	surgery
without	IN	without
anesthesia	NN	anesthesia
these	DT	these
border	NN	border
crossings	NNS	crossing
take	VVP	take
time	NN	time
as	IN	as
vehicles	NNS	vehicle
and	CC	and
documents	NNS	document
are	VBP	be
checked	VVN	check
to	TO	to
ensure	VV	ensure
safety	NN	safety
that	WDT	that
adds	VVZ	add
to	TO	to
people	NNS	people
'	POS	'
s	NN	S
anxiety	NN	anxiety
to	TO	to
get	VV	get
across	RP	across
for	IN	for
no	DT	no
one	CD	one
knows	VVZ	know
how	WRB	how
long	JJ	long
the	DT	the
Rua	NP	Rua
Crossing	NN	crossing
will	MD	will
remain	VV	remain
open	JJ	open
for	IN	for
those	DT	those
standing	NN	standing
in	IN	in
Gaza	NP	Gaza
it	PP	it
'	POS	'
s	NN	S
the	DT	the
only	JJ	only
way	NN	way
out	IN	out
of	IN	of
War	NP	War
well	RB	well
our	PP$	our
correspondent	JJ	correspondent
Rebecca	NP	Rebecca
rits	NNS	rits
is	VBZ	be
in	IN	in
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
town	NN	town
of	IN	of
stero	NN	stero
near	IN	near
the	DT	the
Garen	NP	Garen
border	NN	border
I	PP	I
asked	VVD	ask
her	PP	her
about	IN	about
efforts	NNS	effort
to	TO	to
evacuate	VV	evacuate
the	DT	the
injured	JJ	injured
and	CC	and
foreign	JJ	foreign
Nationals	NNS	national
across	IN	across
the	DT	the
ruer	NN	ruer
cross	VV	cross
uh	UH	uh
they	PP	they
are	VBP	be
going	VVG	go
well	RB	well
we	PP	we
hear	VVP	hear
but	CC	but
they	PP	they
are	VBP	be
slow	JJ	slow
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
it	PP	it
'	POS	'
s	NN	S
a	DT	a
complicated	JJ	complicated
process	NN	process
but	CC	but
it	PP	it
for	IN	for
the	DT	the
first	JJ	first
time	VV	time
uh	UH	uh
since	IN	since
this	DT	this
War	NP	War
Began	NP	Began
we	PP	we
'	''	'
ve	VVG	ve
we	PP	we
'	POS	'
re	NN	re
starting	VVG	start
to	TO	to
see	VV	see
uh	UH	uh
evacuees	NNS	evacuee
be	VB	be
able	JJ	able
to	TO	to
cross	VV	cross
that	DT	that
border	NN	border
we	PP	we
know	VVP	know
that	IN/that	that
at	IN	at
least	JJS	least
some	DT	some
ambulances	NNS	ambulance
have	VHP	have
crossed	VVN	cross
already	RB	already
carrying	VVG	carry
what	WP	what
is	VBZ	be
expected	VVN	expect
to	TO	to
be	VB	be
a	DT	a
total	NN	total
of	IN	of
88	CD	@card@
sick	JJ	sick
and	CC	and
injured	JJ	injured
people	NNS	people
across	IN	across
the	DT	the
border	NN	border
this	DT	this
morning	NN	morning
there	EX	there
was	VBD	be
also	RB	also
a	DT	a
List	NP	List
released	VVN	release
of	IN	of
some	DT	some
4	CD	@card@
to	TO	to
500	CD	@card@
foreign	JJ	foreign
Nationals	NNS	national
or	CC	or
Jewel	NP	Jewel
passport	NN	passport
holders	NNS	holder
and	CC	and
some	DT	some
Palestinians	NPS	Palestinians
who	WP	who
worked	VVD	work
for	IN	for
foreign	JJ	foreign
NOS	NNS	no
now	RB	now
they	PP	they
are	VBP	be
also	RB	also
supposed	VVN	suppose
to	TO	to
be	VB	be
crossing	VVG	cross
over	IN	over
today	NN	today
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
reports	NNS	report
that	IN/that	that
some	DT	some
of	IN	of
them	PP	them
have	VHP	have
and	CC	and
it	PP	it
is	VBZ	be
expected	VVN	expect
that	IN/that	that
hopefully	RB	hopefully
all	RB	all
of	IN	of
those	DT	those
4	CD	@card@
to	TO	to
500	CD	@card@
people	NNS	people
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
cross	VV	cross
over	IN	over
today	NN	today
we	PP	we
know	VVP	know
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
a	DT	a
bigger	JJR	big
list	NN	list
of	IN	of
around	RB	around
about	IN	about
7	CD	@card@
,	,	,
000	CD	@card@
Jewel	NP	Jewel
Nationals	NNS	national
or	CC	or
other	JJ	other
people	NNS	people
who	WP	who
work	VVP	work
for	IN	for
NOS	NNS	no
that	WDT	that
are	VBP	be
on	IN	on
various	JJ	various
lists	NNS	list
and	CC	and
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
hearing	VVG	hear
for	IN	for
from	IN	from
sources	NNS	source
within	IN	within
the	DT	the
British	JJ	British
government	NN	government
that	IN/that	that
they	PP	they
expect	VVP	expect
around	RB	around
500	CD	@card@
to	TO	to
1	CD	@card@
,	,	,
000	CD	@card@
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
be	VB	be
let	VVN	let
out	RP	out
potentially	RB	potentially
uh	UH	uh
each	DT	each
day	NN	day
in	IN	in
a	DT	a
kind	NN	kind
of	IN	of
slow	JJ	slow
tranch	NN	tranch
system	NN	system
we	PP	we
have	VHP	have
to	TO	to
see	VV	see
how	WRB	how
that	DT	that
will	MD	will
progress	VV	progress
and	CC	and
exactly	RB	exactly
when	WRB	when
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
that	IN/that	that
um	RB	um
German	JJ	German
the	DT	the
German	JJ	German
uh	UH	uh
Embassy	NP	Embassy
has	VHZ	have
also	RB	also
uh	UH	uh
instructed	VVD	instruct
its	PP$	its
uh	UH	uh
Jewel	NP	Jewel
Nationals	NNS	national
to	TO	to
start	VV	start
heading	VVG	head
to	TO	to
the	DT	the
Border	NP	Border
they	PP	they
weren	NP	weren
'	POS	'
t	NN	t
initially	RB	initially
on	IN	on
that	DT	that
list	NN	list
that	WDT	that
was	VBD	be
released	VVN	release
this	DT	this
morning	NN	morning
nor	CC	nor
were	VBD	be
us	PP	us
or	CC	or
UK	NP	UK
Nationals	NNS	national
um	VVG	um
other	JJ	other
countries	NNS	country
were	VBD	be
Australia	NP	Australia
Norway	NP	Norway
Japan	NP	Japan
and	CC	and
as	IN	as
I	PP	I
said	VVD	say
some	DT	some
people	NNS	people
who	WP	who
work	VVP	work
for	IN	for
NOS	NNS	no
so	IN	so
we	PP	we
'	POS	'
ll	NNS	ll
have	VHP	have
to	TO	to
see	VV	see
who	WP	who
and	CC	and
how	WRB	how
and	CC	and
when	WRB	when
the	DT	the
next	JJ	next
list	NN	list
will	MD	will
be	VB	be
published	VVN	publish
and	CC	and
when	WRB	when
those	DT	those
people	NNS	people
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
cross	VV	cross
over	RP	over
but	CC	but
it	PP	it
'	POS	'
s	NN	S
very	RB	very
positive	JJ	positive
sign	VV	sign
we	PP	we
'	POS	'
re	NN	re
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
certainly	RB	certainly
that	IN/that	that
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
the	DT	the
sick	JJ	sick
and	CC	and
injured	VVN	injure
be	VB	be
able	JJ	able
to	TO	to
cross	VV	cross
to	TO	to
better	RBR	well
medical	JJ	medical
tension	NN	tension
across	IN	across
the	DT	the
border	NN	border
okay	JJ	okay
thanks	NNS	thanks
for	IN	for
that	DT	that
uh	UH	uh
let	NN	let
'	POS	'
s	JJ	s
talk	NN	talk
about	IN	about
this	DT	this
second	JJ	second
attack	NN	attack
on	IN	on
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
um	NNS	um
what	WP	what
are	VBP	be
you	PP	you
hearing	VVG	hear
about	RB	about
that	IN/that	that
at	IN	at
this	DT	this
stage	NN	stage
information	NN	information
still	RB	still
trickling	VVG	trickle
out	IN	out
it	PP	it
'	POS	'
s	NN	S
incredibly	RB	incredibly
hard	JJ	hard
to	TO	to
report	VV	report
on	IN	on
what	WP	what
'	POS	'
s	NNS	s
Happening	VVG	happen
inside	IN	inside
Gaza	NP	Gaza
as	IN	as
you	PP	you
can	MD	can
imagine	VV	imagine
this	DT	this
is	VBZ	be
about	RB	about
as	RB	as
close	JJ	close
as	IN	as
we	PP	we
can	MD	can
get	VV	get
we	PP	we
'	''	'
re	IN	re
a	DT	a
couple	NN	couple
of	IN	of
kilometers	NNS	kilometer
away	RB	away
from	IN	from
the	DT	the
border	NN	border
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
here	RB	here
since	IN	since
the	DT	the
beginning	VVG	begin
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
here	RB	here
multiple	JJ	multiple
times	NNS	time
coming	VVG	come
back	RB	back
and	CC	and
forth	RB	forth
to	TO	to
this	DT	this
area	NN	area
because	IN	because
this	DT	this
is	VBZ	be
about	RB	about
as	RB	as
close	JJ	close
as	IN	as
we	PP	we
can	MD	can
get	VV	get
we	PP	we
from	IN	from
here	RB	here
we	PP	we
can	MD	can
see	VV	see
some	DT	some
of	IN	of
the	DT	the
air	NN	air
strikes	VVZ	strike
happening	VVG	happen
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
the	DT	the
area	NN	area
known	VVN	know
as	IN	as
B	NP	B
hanon	NN	hanon
um	NNS	um
and	CC	and
we	PP	we
can	MD	can
of	IN	of
course	NN	course
hear	VVP	hear
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
artillery	NN	artillery
fire	NN	fire
and	CC	and
uh	UH	uh
and	CC	and
other	JJ	other
um	JJ	um
Warfare	NN	warfare
that	IN/that	that
happening	VVG	happen
there	RB	there
and	CC	and
even	RB	even
some	DT	some
uh	UH	uh
gunfire	NN	gunfire
happening	VVG	happen
so	RB	so
to	TO	to
say	VV	say
that	IN/that	that
there	EX	there
is	VBZ	be
some	DT	some
close	JJ	close
combat	NN	combat
fights	NNS	fight
going	VVG	go
on	IN	on
on	IN	on
the	DT	the
ground	NN	ground
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
border	NN	border
now	RB	now
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
jabalia	NN	jabalia
camp	NN	camp
we	PP	we
know	VVP	know
that	IN/that	that
it	PP	it
was	VBD	be
struck	JJ	struck
we	PP	we
'	''	'
ve	NNS	ve
seen	VVN	see
the	DT	the
pictures	NNS	picture
you	PP	you
saw	VVD	see
them	PP	them
in	IN	in
that	DT	that
report	NN	report
the	DT	the
huge	JJ	huge
crater	NN	crater
that	WDT	that
was	VBD	be
created	VVN	create
U	NN	U
more	JJR	more
than	IN	than
50	CD	@card@
people	NNS	people
reportedly	RB	reportedly
killed	VVN	kill
in	IN	in
that	DT	that
strike	NN	strike
and	CC	and
we	PP	we
do	VVP	do
believe	VV	believe
that	IN/that	that
it	PP	it
has	VHZ	have
been	VBN	be
struck	VVN	strike
today	NN	today
I	PP	I
spoke	VVD	speak
to	TO	to
somebody	NN	somebody
in	IN	in
Gaza	NP	Gaza
who	WP	who
confirmed	VVD	confirm
that	IN/that	that
though	IN	though
we	PP	we
have	VHP	have
no	DT	no
number	NN	number
no	DT	no
numbers	NNS	number
and	CC	and
fatalities	NNS	fatality
but	CC	but
we	PP	we
do	VVP	do
know	VV	know
that	IN/that	that
the	DT	the
jbala	NN	jbala
camp	NN	camp
is	VBZ	be
at	IN	at
one	CD	one
of	IN	of
the	DT	the
targets	NNS	target
that	IN/that	that
the	DT	the
ID	NN	id
F	NN	F
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
military	NN	military
I	PP	I
should	MD	should
say	VV	say
are	VBP	be
targeting	VVG	target
they	PP	they
believe	VVP	believe
that	IN/that	that
it	PP	it
'	POS	'
s	NNS	s
being	VBG	be
used	VVN	use
as	IN	as
a	DT	a
Hamas	NP	Hamas
Command	NP	Command
Center	NP	Center
and	CC	and
HQ	NP	HQ
and	CC	and
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
a	DT	a
huge	JJ	huge
network	NN	network
of	IN	of
tunnels	NNS	tunnel
underneath	IN	underneath
which	WDT	which
is	VBZ	be
another	DT	another
source	NN	source
of	IN	of
their	PP$	their
target	NN	target
okay	RB	okay
thank	VV	thank
you	PP	you
for	IN	for
that	DT	that
Rebecca	NP	Rebecca
Rebecca	NP	Rebecca
aritus	NN	aritus
and	CC	and
uh	UH	uh
in	IN	in
Israel	NP	Israel
well	RB	well
we	PP	we
can	MD	can
speak	VV	speak
to	TO	to
a	DT	a
journalist	NN	journalist
aen	NN	aen
baloa	NN	baloa
who	WP	who
'	POS	'
s	NN	S
in	IN	in
Gaza	NP	Gaza
and	CC	and
joins	VVZ	join
us	PP	us
on	IN	on
the	DT	the
line	NN	line
welcome	JJ	welcome
back	NN	back
hajm	NN	hajm
and	CC	and
what	WP	what
are	VBP	be
you	PP	you
hearing	VVG	hear
about	IN	about
this	DT	this
latest	JJS	late
strike	NN	strike
on	IN	on
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
we	PP	we
have	VHP	have
information	NN	information
according	VVG	accord
to	TO	to
the	DT	the
civil	JJ	civil
defense	NN	defense
and	CC	and
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
that	IN/that	that
that	WDT	that
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
strike	NN	strike
took	VVD	take
place	NN	place
um	NNS	um
today	NN	today
afternoon	NN	afternoon
and	CC	and
that	DT	that
caused	VVN	cause
damage	NN	damage
of	IN	of
a	DT	a
huge	JJ	huge
place	NN	place
in	IN	in
overpopulated	JJ	overpopulated
and	CC	and
refugee	NN	refugee
camp	VVP	camp
it	PP	it
'	''	'
s	VVG	s
the	DT	the
biggest	JJS	big
refugee	NN	refugee
camp	NN	camp
in	IN	in
Gaza	NP	Gaza
St	NP	St
uh	UH	uh
at	IN	at
least	JJS	least
50	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
and	CC	and
hundreds	NNS	hundred
were	VBD	be
injured	VVN	injure
um	JJ	um
um	NNS	um
according	VVG	accord
to	TO	to
the	DT	the
civil	JJ	civil
defense	NN	defense
they	PP	they
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
evacuate	VV	evacuate
all	DT	all
um	NN	um
the	DT	the
the	DT	the
people	NNS	people
under	IN	under
the	DT	the
rubble	NN	rubble
because	IN	because
they	PP	they
have	VHP	have
very	RB	very
limited	VVN	limit
equipment	NN	equipment
and	CC	and
there	EX	there
are	VBP	be
many	JJ	many
calls	NNS	call
of	IN	of
of	IN	of
strikes	NNS	strike
and	CC	and
and	CC	and
and	CC	and
damages	NNS	damage
across	IN	across
the	DT	the
G	NP	G
threat	NN	threat
so	IN	so
they	PP	they
are	VBP	be
doing	VVG	do
whatever	WDT	whatever
they	PP	they
can	MD	can
and	CC	and
whatever	WDT	whatever
they	PP	they
evacuate	VVP	evacuate
in	IN	in
in	IN	in
help	NN	help
and	CC	and
uh	UH	uh
with	IN	with
other	JJ	other
local	JJ	local
who	WP	who
living	NN	living
area	NN	area
trying	VVG	try
to	TO	to
get	VV	get
out	RP	out
um	NNS	um
whether	IN	whether
the	DT	the
the	DT	the
injured	JJ	injured
or	CC	or
the	DT	the
killed	VVN	kill
people	NNS	people
you	PP	you
describe	VVP	describe
this	DT	this
as	IN	as
an	DT	an
Israeli	JJ	Israeli
strike	NN	strike
Israel	NP	Israel
haven	NN	haven
'	POS	'
t	NN	t
confirmed	VVD	confirm
that	IN/that	that
this	DT	this
was	VBD	be
them	PP	them
yet	RB	yet
um	VVZ	um
clearly	RB	clearly
it	PP	it
sounds	VVZ	sound
like	IN	like
there	EX	there
'	''	'
s	VVG	s
no	DT	no
doubt	NN	doubt
in	IN	in
Gaza	NP	Gaza
that	IN/that	that
it	PP	it
was	VBD	be
well	RB	well
I	PP	I
mean	VVP	mean
I	PP	I
don	VV	don
'	''	'
t	NN	t
know	VVP	know
yeah	RB	yeah
I	PP	I
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
if	IN	if
it	PP	it
was	VBD	be
confir	NN	confir
I	PP	I
mean	VVP	mean
yesterday	RB	yesterday
Israel	NP	Israel
there	EX	there
was	VBD	be
another	DT	another
strike	NN	strike
a	DT	a
big	JJ	big
one	CD	one
200	CD	@card@
people	NNS	people
at	IN	at
least	JJS	least
were	VBD	be
killed	VVN	kill
and	CC	and
two	CD	two
other	JJ	other
200	CD	@card@
others	NNS	other
were	VBD	be
were	VBD	be
were	VBD	be
injured	VVN	injure
last	JJ	last
night	NN	night
and	CC	and
or	CC	or
and	CC	and
Israel	NP	Israel
confirmed	VVD	confirm
it	PP	it
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
if	IN	if
Israel	NP	Israel
confirm	VVP	confirm
this	DT	this
one	CD	one
or	CC	or
not	RB	not
I	PP	I
I	PP	I
haven	VVP	haven
'	''	'
t	NN	t
seen	VVN	see
this	DT	this
but	CC	but
uh	UH	uh
if	IN	if
from	IN	from
the	DT	the
damage	NN	damage
that	WDT	that
happened	VVD	happen
and	CC	and
and	CC	and
the	DT	the
similar	JJ	similar
in	IN	in
in	IN	in
different	JJ	different
places	NNS	place
um	VVD	um
it	PP	it
it	PP	it
could	MD	could
tell	VV	tell
at	IN	at
least	JJS	least
the	DT	the
ban	NN	ban
say	VV	say
it	PP	it
'	POS	'
s	JJ	s
Israel	NP	Israel
right	NN	right
um	NN	um
some	DT	some
people	NNS	people
have	VHP	have
been	VBN	be
allowed	VVN	allow
out	RP	out
of	IN	of
Gaza	NP	Gaza
today	NN	today
but	CC	but
Aid	NN	aid
into	IN	into
the	DT	the
territory	NN	territory
has	VHZ	have
been	VBN	be
sporadic	JJ	sporadic
what	WP	what
is	VBZ	be
the	DT	the
latest	JJS	late
there	EX	there
well	RB	well
according	VVG	accord
to	TO	to
the	DT	the
latest	JJS	late
number	NN	number
that	DT	that
72	JJ	@card@
uh	UH	uh
paans	NNS	paans
wanted	VVD	want
Palestinians	NNS	Palestinian
with	IN	with
their	PP$	their
escorts	NNS	escort
left	VVD	leave
um	NNS	um
from	IN	from
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
to	TO	to
the	DT	the
Egyptian	JJ	Egyptian
side	NN	side
through	IN	through
ambulances	NNS	ambulance
they	PP	they
are	VBP	be
um	RB	um
um	JJ	um
um	NN	um
people	NNS	people
out	RP	out
of	IN	of
alist	NN	alist
where	WRB	where
was	VBD	be
sent	VVN	send
to	TO	to
the	DT	the
Egyptian	JJ	Egyptian
side	NN	side
which	WDT	which
is	VBZ	be
which	WDT	which
is	VBZ	be
checked	VVN	check
with	IN	with
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
as	IN	as
well	RB	well
um	JJ	um
81	CD	@card@
were	VBD	be
were	VBD	be
were	VBD	be
