<video_id>XbdJHMjdV4Q</video_id>	NP	<video_id>XbdJHMjdV4Q</video_id>
uh	UH	uh
we	PP	we
will	MD	will
provide	VV	provide
you	PP	you
with	IN	with
videos	NNS	video
of	IN	of
the	DT	the
bankers	NNS	banker
underneath	IN	underneath
hunis	NNS	hunis
but	CC	but
we	PP	we
have	VHP	have
the	DT	the
evidence	NN	evidence
and	CC	and
we	PP	we
have	VHP	have
the	DT	the
uh	UH	uh
data	NNS	datum
that	DT	that
uh	UH	uh
I	PP	I
think	VVP	think
make	VV	make
it	PP	it
quite	RB	quite
reliable	JJ	reliable
and	CC	and
uh	UH	uh
uh	UH	uh
hopefully	RB	hopefully
within	IN	within
days	NNS	day
we'll	NN	we'll
reach	VVP	reach
out	RP	out
there	RB	there
and	CC	and
uh	UH	uh
you	PP	you
all	RB	all
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
see	VV	see
why	WRB	why
then	RB	then
the	DT	the
focus	NN	focus
on	IN	on
the	DT	the
alifa	NN	alifa
hospital	NN	hospital
if	IN	if
hunis	NNS	hunis
is	VBZ	be
really	RB	really
the	DT	the
bigger	JJR	big
military	JJ	military
Target	NP	Target
not	RB	not
the	DT	the
only	JJ	only
from	IN	from
shifa	NN	shifa
hospital	NN	hospital
they	PP	they
were	VBD	be
launching	VVG	launch
uh	UH	uh
the	DT	the
missiles	NNS	missile
to	TO	to
Israel	NP	Israel
they	PP	they
were	VBD	be
using	VVG	use
the	DT	the
shifa	NN	shifa
hospital	NN	hospital
as	IN	as
a	DT	a
hiding	VVG	hide
place	NN	place
for	IN	for
many	JJ	many
of	IN	of
the	DT	the
killers	NNS	killer
and	CC	and
the	DT	the
uh	UH	uh
terrorists	NNS	terrorist
and	CC	and
they	PP	they
use	VVP	use
the	DT	the
uh	UH	uh
underground	NN	underground
for	IN	for
the	DT	the
hiding	NN	hiding
weapons	NNS	weapon
and	CC	and
uh	UH	uh
the	DT	the
terrorists	NNS	terrorist
the	DT	the
leaders	NNS	leader
ran	VVD	run
away	RB	away
when	WRB	when
we	PP	we
came	VVD	come
close	RB	close
to	TO	to
shifa	NN	shifa
they	PP	they
escaped	VVD	escape
for	IN	for
obvious	JJ	obvious
reasons	NNS	reason
but	CC	but
um	NNS	um
that	WDT	that
doesn't	VVD	doesn't
make	VV	make
shifa	NN	shifa
into	IN	into
a	DT	a
legitimate	JJ	legitimate
um	JJ	um
place	NN	place
it's	NNS	it's
definitely	RB	definitely
more	RBR	more
than	IN	than
just	RB	just
a	DT	a
hospital	NN	hospital
by	IN	by
the	DT	the
way	NN	way
it	PP	it
was	VBD	be
built	VVN	build
by	IN	by
Israelis	NPS	Israelis
it	PP	it
was	VBD	be
designed	VVN	design
by	IN	by
Israeli	JJ	Israeli
Architects	NNS	architect
but	CC	but
the	DT	the
bankers	NNS	banker
were	VBD	be
built	VVN	build
by	IN	by
Hamas	NP	Hamas
and	CC	and
so	RB	so
from	IN	from
what	WP	what
I	PP	I
gather	VVP	gather
we	PP	we
are	VBP	be
bound	VVN	bind
to	TO	to
see	VV	see
Israeli	JJ	Israeli
troops	NNS	troop
expand	VV	expand
their	PP$	their
operations	NNS	operation
to	TO	to
the	DT	the
South	NP	South
that	WDT	that
is	VBZ	be
precisely	RB	precisely
where	WRB	where
gazin	NN	gazin
from	IN	from
the	DT	the
north	NN	north
were	VBD	be
told	VVN	tell
to	TO	to
seek	VV	seek
safety	NN	safety
where	WRB	where
are	VBP	be
the	DT	the
people	NNS	people
who	WP	who
live	VVP	live
there	RB	there
in	IN	in
the	DT	the
South	NP	South
plus	CC	plus
the	DT	the
over	IN	over
1	CD	@card@
million	CD	million
displaced	VVN	displace
now	RB	now
supposed	VVN	suppose
to	TO	to
go	VV	go
that	IN/that	that
even	RB	even
Han	NP	Han
Yunis	NP	Yunis
and	CC	and
the	DT	the
area	NN	area
surrounding	VVG	surround
it	PP	it
is	VBZ	be
not	RB	not
safe	JJ	safe
anymore	RB	anymore
look	VV	look
uh	UH	uh
I	PP	I
don't	VVD	don't
think	VV	think
that	IN/that	that
I	PP	I
need	VVP	need
to	TO	to
uh	UH	uh
and	CC	and
I	PP	I
don't	VVD	don't
know	VV	know
to	TO	to
be	VB	be
honest	JJ	honest
with	IN	with
you	PP	you
I'm	NN	I'm
not	RB	not
in	IN	in
the	DT	the
government	NN	government
now	RB	now
I'm	NN	I'm
not	RB	not
in	IN	in
the	DT	the
general	JJ	general
staff	NN	staff
of	IN	of
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
and	CC	and
I	PP	I
can't	VVD	can't
share	NN	share
with	IN	with
you	PP	you
the	DT	the
specific	JJ	specific
military	JJ	military
planes	NNS	plane
for	IN	for
the	DT	the
expanded	JJ	expanded
Israeli	JJ	Israeli
operation	NN	operation
we'll	NN	we'll
do	VVP	do
everything	NN	everything
as	IN	as
we	PP	we
did	VVD	do
we	PP	we
try	VVP	try
to	TO	to
do	VV	do
in	IN	in
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
to	TO	to
avoid	VV	avoid
any	DT	any
unnecessary	JJ	unnecessary
collateral	NN	collateral
damage	NN	damage
and	CC	and
that's	NNS	that's
why	WRB	why
we	PP	we
are	VBP	be
it	PP	it
takes	VVZ	take
time	NN	time
we	PP	we
try	VVP	try
to	TO	to
be	VB	be
as	RB	as
careful	JJ	careful
we	PP	we
can	MD	can
and	CC	and
uh	UH	uh
we	PP	we
hope	VVP	hope
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
reach	VV	reach
out	RP	out
the	DT	the
centers	NNS	center
of	IN	of
where	WRB	where
the	DT	the
terrorist	JJ	terrorist
leaders	NNS	leader
are	VBP	be
hiding	VVG	hide
without	IN	without
affecting	VVG	affect
the	DT	the
civilians	NNS	civilian
that	WDT	that
move	VVP	move
South	JJ	South
uh	UH	uh
this	DT	this
is	VBZ	be
it's	NNS	it's
not	RB	not
a	DT	a
game	NN	game
it's	NN	it's
a	DT	a
very	RB	very
difficult	JJ	difficult
and	CC	and
complex	JJ	complex
and	CC	and
painful	JJ	painful
and	CC	and
bloody	JJ	bloody
and	CC	and
we	PP	we
try	VVP	try
to	TO	to
uh	UH	uh
avoid	VV	avoid
the	DT	the
necessary	JJ	necessary
uh	UH	uh
uh	UH	uh
consequences	NN	consequences
to	TO	to
uh	UH	uh
noninvolved	JJ	noninvolved
civilians	NNS	civilian
but	CC	but
you	PP	you
must	MD	must
understand	VV	understand
one	CD	one
thing	NN	thing
and	CC	and
I	PP	I
tell	VVP	tell
you	PP	you
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
liong	NP	liong
lifelong	JJ	lifelong
experience	NN	experience
and	CC	and
very	RB	very
good	JJ	good
connections	NNS	connection
with	IN	with
all	DT	all
of	IN	of
the	DT	the
Arab	JJ	Arab
countries	NNS	country
that	IN/that	that
surrounding	VVG	surround
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
to	TO	to
this	DT	this
day	NN	day
there	EX	there
is	VBZ	be
nothing	NN	nothing
that	IN/that	that
they	PP	they
want	VVP	want
more	JJR	more
of	IN	of
Israel	NP	Israel
than	IN	than
to	TO	to
destroy	VV	destroy
Hamas	NP	Hamas
Hamas	NP	Hamas
is	VBZ	be
obviously	RB	obviously
the	DT	the
enemy	NN	enemy
of	IN	of
Israel	NP	Israel
but	CC	but
it's	NNS	it's
the	DT	the
enemy	NN	enemy
of	IN	of
all	PDT	all
the	DT	the
moderate	JJ	moderate
Arab	JJ	Arab
countries	NNS	country
they	PP	they
are	VBP	be
scared	VVN	scare
that	IN/that	that
if	IN	if
Hamas	NP	Hamas
will	MD	will
prevail	VV	prevail
the	DT	the
stability	NN	stability
in	IN	in
those	DT	those
countries	NNS	country
may	MD	may
be	VB	be
jadiz	VVN	jadiz
in	IN	in
a	DT	a
very	RB	very
serious	JJ	serious
way	NN	way
and	CC	and
they	PP	they
are	VBP	be
anxious	JJ	anxious
that	IN/that	that
Israel	NP	Israel
will	MD	will
continue	VV	continue
what	WP	what
we	PP	we
are	VBP	be
doing	VVG	do
now	RB	now
which	WDT	which
is	VBZ	be
to	TO	to
destroy	VV	destroy
and	CC	and
Isis	NP	Isis
which	WDT	which
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
area	NN	area
here	IN	here
which	WDT	which
threatens	VVZ	threaten
the	DT	the
stability	NN	stability
of	IN	of
the	DT	the
entire	JJ	entire
region	NN	region
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
only	RB	only
not	RB	not
only	RB	only
be	VB	be
in	IN	in
Israel's	NP	Israel's
interest	NN	interest
to	TO	to
uh	UH	uh
to	TO	to
to	TO	to
destroy	VV	destroy
Hamas	NNS	Hamas
I	PP	I
understand	VVP	understand
that	IN/that	that
but	CC	but
there	EX	there
has	VHZ	have
been	VBN	be
widespread	JJ	widespread
condemnation	NN	condemnation
of	IN	of
the	DT	the
blockade	NN	blockade
of	IN	of
Gaza	NP	Gaza
that	WDT	that
came	VVD	come
as	IN	as
a	DT	a
result	NN	result
or	CC	or
that	IN/that	that
intensified	VVN	intensify
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
October	NP	October
7th	JJ	7th
attack	NN	attack
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
and	CC	and
the	DT	the
number	NN	number
of	IN	of
civilians	NNS	civilian
killed	VVN	kill
in	IN	in
this	DT	this
war	NN	war
and	CC	and
we're	NN	we're
seeing	VVG	see
this	DT	this
week	NN	week
again	RB	again
thousands	NNS	thousand
of	IN	of
protesters	NNS	protester
in	IN	in
cities	NNS	city
around	IN	around
the	DT	the
world	NN	world
almost	RB	almost
every	DT	every
day	NN	day
demanding	VVG	demand
a	DT	a
ceasefire	NN	ceasefire
so	IN	so
I	PP	I
I	PP	I
want	VVP	want
to	TO	to
know	VV	know
from	IN	from
you	PP	you
is	VBZ	be
Israel	NP	Israel
at	IN	at
risk	NN	risk
of	IN	of
losing	VVG	lose
international	JJ	international
support	NN	support
over	IN	over
how	WRB	how
it	PP	it
is	VBZ	be
conducting	VVG	conduct
this	DT	this
war	NN	war
as	IN	as
someone	NN	someone
who	WP	who
is	VBZ	be
not	RB	not
directly	RB	directly
involved	VVN	involve
they	PP	they
unfortunately	RB	unfortunately
uh	UH	uh
you	PP	you
are	VBP	be
correct	JJ	correct
in	IN	in
describing	VVG	describe
the	DT	the
U	NP	U
uh	UH	uh
reaction	NN	reaction
in	IN	in
different	JJ	different
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
against	IN	against
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
on	IN	on
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
they	PP	they
all	RB	all
demonstrated	VVD	demonstrate
in	IN	in
favor	NN	favor
of	IN	of
Israel	NP	Israel
and	CC	and
in	IN	in
the	DT	the
meantime	NN	meantime
as	IN	as
it	PP	it
turns	VVZ	turn
out	RP	out
and	CC	and
uh	UH	uh
since	IN	since
life	NN	life
is	VBZ	be
not	RB	not
a	DT	a
linear	JJ	linear
line	VV	line
uh	UH	uh
they	PP	they
Focus	NP	Focus
now	RB	now
on	IN	on
the	DT	the
pictures	NNS	picture
coming	VVG	come
from	IN	from
Gaza	NP	Gaza
and	CC	and
they	PP	they
forgot	VVD	forget
the	DT	the
Israelis	NNS	Israeli
that	WDT	that
were	VBD	be
beheaded	VVN	behead
and	CC	and
tortured	VVN	torture
and	CC	and
and	CC	and
raped	VVN	rape
and	CC	and
uh	UH	uh
slaughtered	VVN	slaughter
um	NNS	um
only	RB	only
um	RB	um
45	CD	@card@
days	NNS	day
ago	RB	ago
now	RB	now
I	PP	I
think	VVP	think
that	IN/that	that
there	EX	there
is	VBZ	be
certainly	RB	certainly
a	DT	a
danger	NN	danger
I	PP	I
can't	VVD	can't
ignore	VV	ignore
it	PP	it
that	IN/that	that
the	DT	the
international	JJ	international
public	JJ	public
opinion	NN	opinion
will	MD	will
not	RB	not
be	VB	be
patient	JJ	patient
enough	JJ	enough
and	CC	and
tolerant	JJ	tolerant
enough	RB	enough
to	TO	to
understand	VV	understand
that	IN/that	that
we	PP	we
have	VHP	have
to	TO	to
live	VV	live
with	IN	with
the	DT	the
consequences	NNS	consequence
of	IN	of
having	VHG	have
Hamas	VVN	Hamas
here	RB	here
and	CC	and
that	IN/that	that
it	PP	it
has	VHZ	have
come	VVN	come
to	TO	to
a	DT	a
point	NN	point
where	WRB	where
we	PP	we
just	RB	just
can't	VVD	can't
continue	VV	continue
as	IN	as
it	PP	it
was	VBD	be
we	PP	we
have	VHP	have
to	TO	to
get	VV	get
rid	JJ	rid
of	IN	of
them	PP	them
however	RB	however
I	PP	I
think	VVP	think
that	IN/that	that
what	WP	what
the	DT	the
Israeli	JJ	Israeli
government	NN	government
has	VHZ	have
to	TO	to
do	VV	do
and	CC	and
this	DT	this
is	VBZ	be
not	RB	not
something	NN	something
I	PP	I
don't	VVD	don't
speak	VV	speak
for	IN	for
the	DT	the
government	NN	government
as	IN	as
you	PP	you
understand	VVP	understand
I	PP	I
don't	VVD	don't
represent	VV	represent
the	DT	the
government	NN	government
the	DT	the
government	NN	government
is	VBZ	be
probably	RB	probably
on	IN	on
an	DT	an
entirely	RB	entirely
different	JJ	different
direction	NN	direction
but	CC	but
I	PP	I
speak	VVP	speak
for	IN	for
what	WP	what
I	PP	I
think	VVP	think
most	JJS	most
Israelis	NPS	Israelis
want	VVP	want
we	PP	we
need	VVP	need
to	TO	to
do	VV	do
the	DT	the
following	VVG	follow
things	NNS	thing
number	NN	number
one	CD	one
we	PP	we
have	VHP	have
to	TO	to
declare	VV	declare
that	IN/that	that
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
battle	NN	battle
the	DT	the
military	JJ	military
battle	NN	battle
we	PP	we
will	MD	will
pull	VV	pull
out	RP	out
from	IN	from
Gaza	NP	Gaza
we	PP	we
don't	VVD	don't
want	VV	want
to	TO	to
occupy	VV	occupy
Gaza	NP	Gaza
it's	NNS	it's
not	RB	not
in	IN	in
our	PP$	our
interest	NN	interest
we	PP	we
don't	VVD	don't
want	VV	want
to	TO	to
be	VB	be
there	RB	there
we	PP	we
want	VVP	want
to	TO	to
destroy	VV	destroy
the	DT	the
Hamas	NN	Hamas
and	CC	and
move	VV	move
back	RB	back
to	TO	to
the	DT	the
international	JJ	international
border	NN	border
that's	NNS	that's
number	NN	number
one	CD	one
number	NN	number
two	CD	two
I	PP	I
think	VVP	think
that	IN/that	that
it	PP	it
is	VBZ	be
important	JJ	important
it's	NNS	it's
essential	JJ	essential
that	WDT	that
uh	UH	uh
an	DT	an
intervention	NN	intervention
in	IN	in
military	JJ	military
force	NN	force
um	NNS	um
European	JJ	European
International	NP	International
uh	UH	uh
military	JJ	military
force	NN	force
will	MD	will
take	VV	take
over	IN	over
Gaza	NP	Gaza
when	WRB	when
Israel	NP	Israel
pulls	VVZ	pull
out	RP	out
no	RB	no
Arab	JJ	Arab
no	DT	no
Palestinian	NN	Palestinian
will	MD	will
ever	RB	ever
take	VV	take
over	RP	over
from	IN	from
Israel	NP	Israel
so	RB	so
if	IN	if
we	PP	we
don't	VVD	don't
want	VV	want
Terror	NN	terror
to	TO	to
immediately	RB	immediately
return	VV	return
back	RB	back
into	IN	into
Gaza	NP	Gaza
we	PP	we
have	VHP	have
for	IN	for
a	DT	a
period	NN	period
of	IN	of
a	DT	a
year	NN	year
a	DT	a
year	NN	year
and	CC	and
a	DT	a
half	NN	half
to	TO	to
have	VH	have
an	DT	an
international	JJ	international
intervention	NN	intervention
Force	NP	Force
just	RB	just
as	IN	as
we	PP	we
did	VVD	do
in	IN	in
the	DT	the
south	NN	south
of	IN	of
Lebanon	NP	Lebanon
after	IN	after
the	DT	the
war	NN	war
in	IN	in
Lebanon	NP	Lebanon
in	IN	in
2006	CD	@card@
which	WDT	which
was	VBD	be
very	RB	very
helpful	JJ	helpful
and	CC	and
which	WDT	which
created	VVD	create
an	DT	an
a	DT	a
quiet	JJ	quiet
area	NN	area
for	IN	for
17	CD	@card@
years	NNS	year
yeah	RB	yeah
under	IN	under
the	DT	the
current	JJ	current
leadership	NN	leadership
sorry	JJ	sorry
to	TO	to
interrupt	VV	interrupt
you	PP	you
there	RB	there
under	IN	under
the	DT	the
current	JJ	current
leadership	NN	leadership
do	VVP	do
you	PP	you
think	VVP	think
what	WP	what
you're	NN	you're
laying	VVG	lay
out	RB	out
is	VBZ	be
an	DT	an
attainable	JJ	attainable
goal	NN	goal
this	DT	this
is	VBZ	be
something	NN	something
that	WDT	that
needs	VVZ	need
to	TO	to
be	VB	be
achieved	VVN	achieve
uh	UH	uh
needs	VVZ	need
to	TO	to
be	VB	be
uh	UH	uh
uh	UH	uh
accepted	VVN	accept
by	IN	by
President	NP	President
Biden	NP	Biden
and	CC	and
the	DT	the
European	JJ	European
leaders	NNS	leader
uh	UH	uh
Rai	NP	Rai
sunak	NN	sunak
and	CC	and
president	NN	president
macron	NN	macron
and	CC	and
Chancellor	NP	Chancellor
Schultz	NP	Schultz
and	CC	and
all	PDT	all
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
European	JJ	European
leaders	NNS	leader
and	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
good	JJ	good
chance	NN	chance
that	IN/that	that
they	PP	they
will	MD	will
understand	VV	understand
that	IN/that	that
there	EX	there
must	MD	must
be	VB	be
an	DT	an
international	JJ	international
Force	NP	Force
because	IN	because
if	IN	if
Israel	NP	Israel
is	VBZ	be
not	RB	not
to	TO	to
stay	VV	stay
there	RB	there
and	CC	and
don't	NN	don't
want	VVP	want
to	TO	to
stay	VV	stay
there	RB	there
and	CC	and
the	DT	the
International	NP	International
Community	NP	Community
doesn't	NP	doesn't
want	VVP	want
Israel	NP	Israel
to	TO	to
stay	VV	stay
there	RB	there
and	CC	and
if	IN	if
Palestinians	NPS	Palestinians
or	CC	or
Arabs	NPS	Arabs
will	MD	will
not	RB	not
come	VV	come
over	RP	over
so	IN	so
what	WP	what
then	RB	then
so	IN	so
number	NN	number
one	CD	one
as	IN	as
I	PP	I
said	VVD	say
I	PP	I
think	VVP	think
there	EX	there
should	MD	should
be	VB	be
an	DT	an
international	JJ	international
Force	NP	Force
for	IN	for
a	DT	a
period	NN	period
of	IN	of
interim	JJ	interim
period	NN	period
of	IN	of
a	DT	a
year	NN	year
a	DT	a
year	NN	year
and	CC	and
a	DT	a
half	NN	half
that	WDT	that
will	MD	will
help	VV	help
create	VV	create
a	DT	a
restore	VV	restore
and	CC	and
a	DT	a
civil	JJ	civil
Administration	NN	administration
that	WDT	that
now	RB	now
will	MD	will
disappear	VV	disappear
because	IN	because
of	IN	of
the	DT	the
radication	NN	radication
of	IN	of
Hamas	NP	Hamas
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
and	CC	and
this	DT	this
is	VBZ	be
perhaps	RB	perhaps
the	DT	the
most	RBS	most
critical	JJ	critical
and	CC	and
important	JJ	important
thing	NN	thing
the	DT	the
Israeli	JJ	Israeli
government	NN	government
has	VHZ	have
to	TO	to
declare	VV	declare
today	NN	today
and	CC	and
make	VV	make
a	DT	a
public	JJ	public
commitment	NN	commitment
that	IN/that	that
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
military	JJ	military
battle	NN	battle
we	PP	we
will	MD	will
immediately	RB	immediately
embark	VV	embark
on	IN	on
negotiations	NNS	negotiation
for	IN	for
peace	NN	peace
based	VVN	base
on	IN	on
the	DT	the
creation	NN	creation
of	IN	of
a	DT	a
Palestinian	JJ	Palestinian
state	NN	state
in	IN	in
both	CC	both
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
Gaza	NP	Gaza
does	VVZ	do
Israel's	NP	Israel's
current	JJ	current
leadership	NN	leadership
want	VVP	want
peace	NN	peace
though	IN	though
not	RB	not
only	RB	only
for	IN	for
Israelis	NNS	Israeli
for	IN	for
everybody	NN	everybody
in	IN	in
the	DT	the
region	NN	region
yeah	RB	yeah
I	PP	I
if	IN	if
you	PP	you
ask	VVP	ask
me	PP	me
whether	IN	whether
the	DT	the
present	JJ	present
Israeli	JJ	Israeli
government	NN	government
is	VBZ	be
ready	JJ	ready
to	TO	to
say	VV	say
this	DT	this
or	CC	or
that	DT	that
to	TO	to
work	VV	work
for	IN	for
it	PP	it
or	CC	or
to	TO	to
declare	VV	declare
it	PP	it
or	CC	or
to	TO	to
make	VV	make
any	DT	any
commitment	NN	commitment
about	IN	about
it	PP	it
I	PP	I
don't	VVD	don't
think	VV	think
so	IN	so
I	PP	I
have	VHP	have
to	TO	to
be	VB	be
very	RB	very
honest	JJ	honest
with	IN	with
you	PP	you
that's	NNS	that's
why	WRB	why
I	PP	I
think	VVP	think
that	IN/that	that
this	DT	this
government	NN	government
has	VHZ	have
to	TO	to
be	VB	be
removed	VVN	remove
today	NN	today
I	PP	I
think	VVP	think
that	IN/that	that
this	DT	this
government	NN	government
has	VHZ	have
failed	VVN	fail
completely	RB	completely
in	IN	in
providing	VVG	provide
security	NN	security
of	IN	of
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
is	VBZ	be
unable	JJ	unable
and	CC	and
un	RB	un
unprepared	JJ	unprepared
to	TO	to
make	VV	make
the	DT	the
necessary	JJ	necessary
accommodation	NN	accommodation
in	IN	in
order	NN	order
to	TO	to
create	VV	create
the	DT	the
corridor	NN	corridor
that	WDT	that
can	MD	can
lead	VV	lead
us	PP	us
from	IN	from
where	WRB	where
we	PP	we
are	VBP	be
now	RB	now
all	RB	all
the	DT	the
sides	NNS	side
into	IN	into
a	DT	a
potential	JJ	potential
meaningful	JJ	meaningful
peace	NN	peace
negotiations	NNS	negotiation
for	IN	for
the	DT	the
creation	NN	creation
of	IN	of
a	DT	a
Palestinian	JJ	Palestinian
state	NN	state
that	WDT	that
will	MD	will
live	VV	live
alongside	IN	alongside
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
the	DT	the
plans	VVZ	plan
that	DT	that
I've	NP	I've
have	VHP	have
submitted	VVN	submit
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
or	CC	or
anyway	RB	anyway
within	IN	within
the	DT	the
framework	NN	framework
of	IN	of
acceptable	JJ	acceptable
principles	NNS	principle
that	WDT	that
must	MD	must
be	VB	be
worked	VVN	work
out	RP	out
between	IN	between
us	PP	us
and	CC	and
the	DT	the
Palestinians	NPS	Palestinians
unfortunately	RB	unfortunately
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
remind	VV	remind
you	PP	you
miss	VV	miss
flish	JJ	flish
if	IN	if
I	PP	I
can	MD	can
just	RB	just
one	CD	one
thing	NN	thing
briefly	NN	briefly
in	IN	in
200	CD	@card@
in	IN	in
2008	CD	@card@
I	PP	I
presented	VVD	present
the	DT	the
Palestinians	NPS	Palestinians
with	IN	with
a	DT	a
peace	NN	peace
plan	NN	plan
based	VVN	base
on	IN	on
the	DT	the
creation	NN	creation
of	IN	of
a	DT	a
Palestinian	JJ	Palestinian
State	NN	state
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
two	CD	two
of	IN	of
67	CD	@card@
borders	NNS	border
and	CC	and
of	IN	of
having	VHG	have
the	DT	the
Arab	JJ	Arab
side	NN	side
of	IN	of
Jerusalem	NP	Jerusalem
as	IN	as
the	DT	the
capital	NN	capital
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
state	NN	state
of	IN	of
having	VHG	have
the	DT	the
holy	JJ	holy
Basin	NP	Basin
of	IN	of
Jerusalem	NP	Jerusalem
uh	UH	uh
controlled	VVN	control
by	IN	by
an	DT	an
international	JJ	international
Trust	NP	Trust
of	IN	of
