my	PP$	my
about	IN	about
retribution	NN	retribution
for	IN	for
himself	PP	himself
and	CC	and
it	PP	it
will	MD	will
consume	VV	consume
much	RB	much
of	IN	of
a	DT	a
second	JJ	second
term	NN	term
so	IN	so
John	NP	John
Bolton	NP	Bolton
who	WP	who
are	VBP	be
the	DT	the
likely	JJ	likely
targets	NNS	target
of	IN	of
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	NN	S
retribution	NN	retribution
and	CC	and
what	WP	what
'	POS	'
s	NN	S
payback	NNS	payback
likely	JJ	likely
to	TO	to
look	VV	look
like	IN	like
well	RB	well
I	PP	I
think	VVP	think
given	VVN	give
that	IN/that	that
Trump	NP	Trump
'	POS	'
s	JJ	s
view	NN	view
of	IN	of
the	DT	the
presidency	NN	presidency
is	VBZ	be
a	DT	a
series	NN	series
of	IN	of
decisions	NNS	decision
about	IN	about
what	WP	what
benefits	VVZ	benefit
Donald	NP	Donald
Trump	NP	Trump
politically	RB	politically
primarily	RB	primarily
but	CC	but
maybe	RB	maybe
economically	RB	economically
as	IN	as
well	RB	well
he	PP	he
he	PP	he
will	MD	will
look	VV	look
at	IN	at
the	DT	the
people	NNS	people
who	WP	who
stood	VVD	stand
in	IN	in
his	PP$	his
way	NN	way
his	PP$	his
political	JJ	political
opponents	NNS	opponent
and	CC	and
in	IN	in
uh	UH	uh
his	PP$	his
world	NN	world
the	DT	the
constitutional	JJ	constitutional
constraints	NNS	constraint
that	IN/that	that
we	PP	we
have	VHP	have
the	DT	the
protections	NNS	protection
for	IN	for
uh	UH	uh
dissent	VV	dissent
uh	UH	uh
really	RB	really
uh	UH	uh
are	VBP	be
not	RB	not
things	NNS	thing
that	WDT	that
concern	VVP	concern
him	PP	him
so	IN	so
he	PP	he
'	POS	'
s	NN	S
indicated	VVD	indicate
for	IN	for
example	NN	example
he	PP	he
thinks	VVZ	think
Mark	NP	Mark
millee	NP	millee
the	DT	the
former	JJ	former
chairman	NN	chairman
of	IN	of
the	DT	the
Joint	NP	Joint
Chiefs	NPS	Chiefs
of	IN	of
Staff	NP	Staff
uh	UH	uh
committed	VVN	commit
treason	NN	treason
uh	UH	uh
for	IN	for
talking	VVG	talk
to	TO	to
his	PP$	his
Chinese	JJ	Chinese
counterpart	NN	counterpart
uh	UH	uh
in	IN	in
2020	CD	@card@
to	TO	to
say	VV	say
that	IN/that	that
whatever	WDT	whatever
you	PP	you
see	VVP	see
on	IN	on
television	NN	television
it	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
political	JJ	political
there	RB	there
'	''	'
s	VVG	s
no	DT	no
change	NN	change
in	IN	in
the	DT	the
US	NP	US
uh	UH	uh
uh	UH	uh
military	JJ	military
or	CC	or
diplomatic	JJ	diplomatic
retin	NN	retin
status	FW	status
uh	UH	uh
Trump	NP	Trump
always	RB	always
used	VVD	use
to	TO	to
say	VV	say
when	WRB	when
I	PP	I
was	VBD	be
National	NP	National
Security	NP	Security
advisor	NN	advisor
he	PP	he
wanted	VVD	want
to	TO	to
prosecute	VV	prosecute
former	JJ	former
Secretary	NP	Secretary
of	IN	of
State	NP	State
John	NP	John
KY	NP	Ky
for	IN	for
violating	VVG	violate
what	WP	what
we	PP	we
call	VVP	call
the	DT	the
Logan	NP	Logan
act	NN	act
which	WDT	which
is	VBZ	be
an	DT	an
old	JJ	old
statute	NN	statute
about	IN	about
not	RB	not
conducting	VVG	conduct
a	DT	a
private	JJ	private
foreign	JJ	foreign
policy	NN	policy
U	NP	U
and	CC	and
he	PP	he
tried	VVD	try
to	TO	to
repress	VV	repress
my	PP$	my
book	NN	book
that	IN/that	that
that	WDT	that
you	PP	you
just	RB	just
mentioned	VVN	mention
from	IN	from
being	VBG	be
published	VVN	publish
because	IN	because
he	PP	he
didn	NN	didn
'	POS	'
t	NN	t
like	IN	like
it	PP	it
saying	VVG	say
critical	JJ	critical
things	NNS	thing
about	IN	about
him	PP	him
and	CC	and
his	PP$	his
conduct	NN	conduct
in	IN	in
office	NN	office
so	IN	so
there	EX	there
are	VBP	be
a	DT	a
wide	JJ	wide
range	NN	range
of	IN	of
potential	JJ	potential
targets	NNS	target
and	CC	and
I	PP	I
'	POS	'
m	NN	m
sure	JJ	sure
Trump	NP	Trump
will	MD	will
be	VB	be
eager	JJ	eager
to	TO	to
get	VV	get
at	IN	at
it	PP	it
all	DT	all
right	NN	right
well	RB	well
that	RB	that
'	''	'
s	NNS	s
still	RB	still
something	NN	something
that	IN/that	that
that	WDT	that
may	MD	may
or	CC	or
may	MD	may
not	RB	not
happen	VV	happen
let	NN	let
'	POS	'
s	NNS	s
look	VVP	look
at	IN	at
something	NN	something
that	IN/that	that
that	DT	that
'	''	'
s	NNS	s
happening	VVG	happen
at	IN	at
the	DT	the
moment	NN	moment
the	DT	the
the	DT	the
the	DT	the
conflict	NN	conflict
in	IN	in
Gaza	NP	Gaza
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
and	CC	and
the	DT	the
White	NP	White
House	NP	House
has	VHZ	have
been	VBN	be
pressing	VVG	press
Israel	NP	Israel
not	RB	not
to	TO	to
launch	VV	launch
a	DT	a
ground	NN	ground
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
uh	UH	uh
where	WRB	where
something	NN	something
like	IN	like
a	DT	a
million	CD	million
civilians	NNS	civilian
are	VBP	be
Sheltering	VVG	shelter
with	IN	with
nowhere	RB	nowhere
to	TO	to
go	VV	go
um	NN	um
what	WDT	what
is	VBZ	be
your	PP$	your
take	NN	take
on	IN	on
whether	IN	whether
or	CC	or
not	RB	not
Israel	NP	Israel
should	MD	should
do	VV	do
this	DT	this
well	RB	well
I	PP	I
think	VVP	think
they	PP	they
'	''	'
re	IN	re
going	VVG	go
to	TO	to
go	VV	go
ahead	RB	ahead
I	PP	I
mean	VVP	mean
when	WRB	when
the	DT	the
people	NNS	people
talk	VVP	talk
about	IN	about
a	DT	a
ground	NN	ground
defensive	NN	defensive
you	PP	you
make	VVP	make
it	PP	it
sound	VV	sound
like	IN	like
the	DT	the
Battle	NN	battle
of	IN	of
the	DT	the
Bulge	NN	bulge
or	CC	or
something	NN	something
when	WRB	when
in	IN	in
fact	NN	fact
most	JJS	most
of	IN	of
the	DT	the
combat	NN	combat
in	IN	in
Gaza	NP	Gaza
right	NN	right
now	RB	now
is	VBZ	be
being	VBG	be
conducted	VVN	conduct
in	IN	in
this	DT	this
incredible	JJ	incredible
system	NN	system
of	IN	of
tunnels	NNS	tunnel
that	IN/that	that
Hamas	NP	Hamas
dug	VVD	dig
underneath	IN	underneath
what	WP	what
seems	VVZ	seem
to	TO	to
be	VB	be
most	RBS	most
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
how	WRB	how
many	JJ	many
tens	NNS	ten
of	IN	of
millions	NNS	million
of	IN	of
dollars	NNS	dollar
they	PP	they
spent	VVD	spend
on	RP	on
that	IN/that	that
rather	RB	rather
than	IN	than
the	DT	the
economic	JJ	economic
betterment	NN	betterment
of	IN	of
the	DT	the
Gaz	NP	Gaz
and	CC	and
residents	NNS	resident
is	VBZ	be
an	DT	an
interesting	JJ	interesting
question	NN	question
but	CC	but
they	PP	they
'	POS	'
re	NN	re
H	NN	H
up	RB	up
down	RB	down
there	RB	there
and	CC	and
they	PP	they
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
last	VV	last
the	DT	the
Israelis	NPS	Israelis
out	RB	out
so	RB	so
I	PP	I
think	VVP	think
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
obviously	RB	obviously
have	VHP	have
an	DT	an
obligation	NN	obligation
to	TO	to
take	VV	take
due	JJ	due
concern	NN	concern
for	IN	for
civilian	JJ	civilian
life	NN	life
but	CC	but
they	PP	they
'	POS	'
re	NN	re
also	RB	also
free	JJ	free
to	TO	to
to	TO	to
uh	UH	uh
rid	VV	rid
themselves	PP	themselves
of	IN	of
the	DT	the
threat	NN	threat
of	IN	of
Hamas	JJ	Hamas
terrorism	NN	terrorism
right	NN	right
so	RB	so
so	RB	so
in	IN	in
any	DT	any
white	NN	white
house	VV	house
uh	UH	uh
in	IN	in
which	WDT	which
you	PP	you
may	MD	may
or	CC	or
may	MD	may
not	RB	not
serve	VV	serve
yours	PP	yours
would	MD	would
not	RB	not
be	VB	be
one	CD	one
of	IN	of
the	DT	the
voices	VVZ	voice
uh	UH	uh
uh	UH	uh
cautioning	VVG	caution
uh	UH	uh
Israel	NP	Israel
uh	UH	uh
to	TO	to
U	NP	U
be	VB	be
uh	UH	uh
to	TO	to
to	TO	to
take	VV	take
more	JJR	more
care	NN	care
or	CC	or
to	TO	to
or	CC	or
to	TO	to
not	RB	not
to	TO	to
go	VV	go
into	IN	into
Gaza	NP	Gaza
well	RB	well
I	PP	I
think	VVP	think
they	PP	they
did	VVD	do
what	WP	what
they	PP	they
were	VBD	be
entitled	VVN	entitle
to	TO	to
do	VV	do
the	DT	the
right	NN	right
of	IN	of
self	JJ	self
-	NN	-
defense	NN	defense
means	VVZ	mean
you	PP	you
don	NN	don
'	POS	'
t	NN	t
uh	UH	uh
respond	VV	respond
merely	RB	merely
by	IN	by
killing	VVG	kill
the	DT	the
number	NN	number
of	IN	of
people	NNS	people
that	DT	that
uh	UH	uh
Hamas	NN	Hamas
killed	VVN	kill
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
you	PP	you
'	''	'
re	IN	re
entitled	VVN	entitle
to	TO	to
eliminate	VV	eliminate
the	DT	the
threat	NN	threat
in	IN	in
World	NP	World
War	NP	War
II	NP	II
the	DT	the
United	NP	United
States	NPS	States
eliminated	VVD	eliminate
Japanese	JJ	Japanese
and	CC	and
German	JJ	German
threats	NNS	threat
which	WDT	which
we	PP	we
were	VBD	be
entitled	VVN	entitle
to	TO	to
do	VV	do
in	IN	in
our	PP$	our
own	JJ	own
self	NN	self
-	NN	-
defense	NN	defense
and	CC	and
as	IN	as
part	NN	part
of	IN	of
this	DT	this
elimination	NN	elimination
of	IN	of
threat	NN	threat
as	IN	as
you	PP	you
put	VVD	put
it	PP	it
um	VVZ	um
Israel	NP	Israel
has	VHZ	have
killed	VVN	kill
something	NN	something
like	IN	like
30	CD	@card@
,	,	,
000	CD	@card@
civilians	NNS	civilian
again	RB	again
the	DT	the
White	NP	White
House	NP	House
has	VHZ	have
criticized	VVN	criticize
Israel	NP	Israel
for	IN	for
going	VVG	go
too	RB	too
far	RB	far
in	IN	in
its	PP$	its
response	NN	response
to	TO	to
the	DT	the
October	NP	October
7	CD	@card@
Terror	NN	terror
attacks	NNS	attack
at	IN	at
the	DT	the
White	NP	White
House	NP	House
most	RBS	most
countries	NNS	country
in	IN	in
Europe	NP	Europe
and	CC	and
indeed	RB	indeed
most	JJS	most
of	IN	of
the	DT	the
global	JJ	global
South	JJ	South
um	NNS	um
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
has	VHZ	have
Israel	NP	Israel
gone	VVN	go
too	RB	too
far	RB	far
well	RB	well
I	CD	@card@
th	NN	th
those	DT	those
are	VBP	be
Hamas	JJ	Hamas
figures	NNS	figure
and	CC	and
it	PP	it
raises	VVZ	raise
the	DT	the
question	NN	question
even	RB	even
if	IN	if
30	CD	@card@
,	,	,
000	CD	@card@
is	VBZ	be
the	DT	the
right	JJ	right
number	NN	number
H	NP	H
how	WRB	how
many	RB	many
do	VV	do
you	PP	you
consider	VV	consider
Hamas	JJ	Hamas
terrorist	NN	terrorist
and	CC	and
how	WRB	how
many	RB	many
do	VV	do
you	PP	you
consider	VV	consider
civilians	NNS	civilian
you	PP	you
know	VVP	know
most	RBS	most
most	JJS	most
terrorists	NNS	terrorist
don	NN	don
'	POS	'
t	NN	t
go	VV	go
around	RP	around
in	IN	in
un	NN	un
uniforms	VVZ	uniform
uh	UH	uh
and	CC	and
and	CC	and
you	PP	you
can	MD	can
you	PP	you
can	MD	can
Aid	NN	aid
in	IN	in
a	DT	a
beted	JJ	beted
terrorist	JJ	terrorist
activity	NN	activity
in	IN	in
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
ways	NNS	way
uh	UH	uh
so	IN	so
I	PP	I
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	VVG	s
uh	UH	uh
it	PP	it
'	POS	'
s	NN	S
there	RB	there
'	POS	'
s	NNS	s
a	DT	a
propaganda	NN	propaganda
war	NN	war
going	VVG	go
on	IN	on
here	RB	here
I	PP	I
think	VVP	think
Kamas	NP	Kamas
is	VBZ	be
beating	VVG	beat
Israel	NP	Israel
in	IN	in
the	DT	the
propaganda	NN	propaganda
War	NP	War
but	CC	but
I	NP	I
'	POS	'
m	NN	m
not	RB	not
sure	RB	sure
that	RB	that
'	''	'
s	VVG	s
a	DT	a
reflection	NN	reflection
of	IN	of
reality	NN	reality
so	RB	so
just	RB	just
so	IN	so
we	PP	we
'	POS	'
re	NN	re
clear	VV	clear
uh	UH	uh
you	PP	you
don	VVP	don
'	''	'
t	NN	t
believe	VVP	believe
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
gone	VVN	go
too	RB	too
far	RB	far
in	IN	in
its	PP$	its
reaction	NN	reaction
no	RB	no
I	PP	I
mean	VVP	mean
if	IN	if
if	IN	if
you	PP	you
believe	VVP	believe
in	IN	in
the	DT	the
right	NN	right
to	TO	to
self	JJ	self
-	NN	-
defense	NN	defense
you	PP	you
have	VHP	have
to	TO	to
believe	VV	believe
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
permissible	JJ	permissible
to	TO	to
eliminate	VV	eliminate
a	DT	a
terrorist	JJ	terrorist
threat	NN	threat
nobody	NN	nobody
should	MD	should
have	VH	have
to	TO	to
live	VV	live
with	IN	with
a	DT	a
terrorist	JJ	terrorist
threat	NN	threat
on	IN	on
their	PP$	their
border	NN	border
and	CC	and
that	IN/that	that
'	POS	'
s	VVG	s
what	WP	what
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
doing	VVG	do
returning	VVG	return
to	TO	to
um	JJ	um
Donald	NP	Donald
Trump	NP	Trump
because	IN	because
one	CD	one
of	IN	of
the	DT	the
the	DT	the
the	DT	the
big	JJ	big
issues	NNS	issue
um	NNS	um
regardless	RB	regardless
of	IN	of
who	WP	who
is	VBZ	be
next	JJ	next
in	IN	in
the	DT	the
White	NP	White
House	NP	House
is	VBZ	be
is	VBZ	be
the	DT	the
future	NN	future
of	IN	of
NATO	NP	NATO
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
European	JJ	European
leaders	NNS	leader
have	VHP	have
been	VBN	be
much	RB	much
exercised	VVN	exercise
by	IN	by
Mr	NP	Mr
Trump	NP	Trump
'	POS	'
s	JJ	s
recent	JJ	recent
statement	NN	statement
that	IN/that	that
he	PP	he
would	MD	would
encourage	VV	encourage
Russia	NP	Russia
to	TO	to
do	VV	do
whatever	WDT	whatever
the	DT	the
hell	NN	hell
they	PP	they
want	VVP	want
to	TO	to
any	DT	any
NATO	NP	NATO
country	NN	country
that	IN/that	that
doesn	NP	doesn
'	POS	'
t	NN	t
meet	VV	meet
the	DT	the
the	DT	the
2	CD	@card@
%	NN	%
guidelines	NNS	guideline
on	IN	on
defense	NN	defense
spending	NN	spending
um	NNS	um
was	VBD	be
this	DT	this
Bluster	NN	bluster
do	VVP	do
you	PP	you
think	VVP	think
no	RB	no
I	PP	I
think	VVP	think
in	IN	in
a	DT	a
second	JJ	second
term	NN	term
Trump	NP	Trump
will	MD	will
withdraw	VV	withdraw
the	DT	the
United	NP	United
States	NPS	States
from	IN	from
NATO	NP	NATO
I	NP	I
describ	NN	describ
in	IN	in
my	PP$	my
book	VV	book
uh	UH	uh
the	DT	the
scene	NN	scene
at	IN	at
the	DT	the
2018	CD	@card@
NATO	NP	NATO
Summit	NP	Summit
in	IN	in
Brussels	NP	Brussels
where	WRB	where
he	PP	he
came	VVD	come
within	IN	within
an	DT	an
inch	NN	inch
of	IN	of
actually	RB	actually
doing	VVG	do
it	PP	it
then	RB	then
uh	UH	uh
so	RB	so
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
very	RB	very
likely	RB	likely
he	PP	he
will	MD	will
withdraw	VV	withdraw
in	IN	in
a	DT	a
second	JJ	second
term	NN	term
I	PP	I
think	VVP	think
that	DT	that
'	''	'
s	VVG	s
a	DT	a
catastrophic	JJ	catastrophic
mistake	VV	mistake
uh	UH	uh
for	IN	for
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
and	CC	and
the	DT	the
West	NN	west
as	IN	as
a	DT	a
whole	JJ	whole
but	CC	but
uh	UH	uh
he	PP	he
has	VHZ	have
been	VBN	be
able	JJ	able
to	TO	to
beat	VV	beat
the	DT	the
drum	NN	drum
very	RB	very
effectively	RB	effectively
on	IN	on
the	DT	the
number	NN	number
of	IN	of
European	JJ	European
countries	NNS	country
that	DT	that
haven	NN	haven
'	POS	'
t	NN	t
lived	VVD	live
up	RP	up
to	TO	to
the	DT	the
commitment	NN	commitment
they	PP	they
made	VVD	make
voluntarily	RB	voluntarily
in	IN	in
2014	CD	@card@
to	TO	to
spend	VV	spend
2	CD	@card@
%	NN	%
of	IN	of
GDP	NP	GDP
on	IN	on
defense	NN	defense
uh	UH	uh
uh	UH	uh
Trump	NP	Trump
is	VBZ	be
very	RB	very
transactional	JJ	transactional
he	PP	he
thinks	VVZ	think
in	IN	in
dollars	NNS	dollar
and	CC	and
cents	NNS	cent
terms	NNS	term
he	PP	he
doesn	NP	doesn
'	POS	'
t	NN	t
have	VHP	have
a	DT	a
strategic	JJ	strategic
Vision	NP	Vision
uh	UH	uh
and	CC	and
uh	UH	uh
and	CC	and
many	JJ	many
Europeans	NPS	Europeans
and	CC	and
I	NP	I
'	POS	'
ll	NNS	ll
be	VB	be
honest	JJ	honest
Canada	NP	Canada
have	VHP	have
played	VVN	play
right	RB	right
into	IN	into
his	PP$	his
hands	NNS	hand
he	PP	he
'	''	'
s	VVG	s
he	PP	he
'	POS	'
s	NN	S
not	RB	not
urging	VVG	urge
people	NNS	people
to	TO	to
spend	VV	spend
more	JJR	more
because	IN	because
he	PP	he
wants	VVZ	want
to	TO	to
strengthen	VV	strengthen
NATO	NP	NATO
he	PP	he
doesn	NP	doesn
'	POS	'
t	NN	t
expect	VVP	expect
ultimately	RB	ultimately
that	IN/that	that
that	DT	that
most	JJS	most
of	IN	of
these	DT	these
members	NNS	member
will	MD	will
make	VV	make
it	PP	it
to	TO	to
2	CD	@card@
%	NN	%
and	CC	and
that	WDT	that
will	MD	will
be	VB	be
the	DT	the
basis	NN	basis
on	IN	on
which	WDT	which
he	PP	he
withdraws	VVZ	withdraw
the	DT	the
United	NP	United
States	NPS	States
from	IN	from
the	DT	the
alliance	NN	alliance
right	RB	right
so	RB	so
that	IN/that	that
so	RB	so
lacking	VVG	lack
a	DT	a
defense	NN	defense
strategy	NN	strategy
this	DT	this
is	VBZ	be
entirely	RB	entirely
this	DT	this
and	CC	and
I	PP	I
appreciate	VVP	appreciate
we	PP	we
'	''	'
re	IN	re
speculating	VVG	speculate
this	DT	this
would	MD	would
be	VB	be
entirely	RB	entirely
transactional	JJ	transactional
this	DT	this
would	MD	would
not	RB	not
be	VB	be
as	IN	as
part	NN	part
of	IN	of
some	DT	some
uh	UH	uh
bigger	JJR	big
strategy	NN	strategy
this	DT	this
would	MD	would
be	VB	be
just	RB	just
because	IN	because
you	PP	you
haven	NN	haven
'	POS	'
t	NN	t
paid	VVD	pay
your	PP$	your
money	NN	money
therefore	RB	therefore
we	PP	we
are	VBP	be
leaving	VVG	leave
well	RB	well
that	IN/that	that
and	CC	and
he	PP	he
doesn	NP	doesn
'	POS	'
t	NN	t
like	IN	like
the	DT	the
trade	NN	trade
deals	NNS	deal
that	WDT	that
exist	VVP	exist
between	IN	between
the	DT	the
European	NP	European
Union	NP	Union
and	CC	and
the	DT	the
United	NP	United
states	VVZ	state
he	PP	he
never	RB	never
liked	VVD	like
the	DT	the
fact	NN	fact
that	IN/that	that
Europe	NP	Europe
was	VBD	be
buying	VVG	buy
natural	JJ	natural
gas	NN	gas
from	IN	from
Russia	NP	Russia
over	IN	over
the	DT	the
nordstream	NN	nordstream
pipeline	NN	pipeline
which	WDT	which
I	PP	I
I	PP	I
think	VVP	think
was	VBD	be
an	DT	an
entirely	RB	entirely
valid	JJ	valid
point	NN	point
Ronald	NP	Ronald
Reagan	NP	Reagan
warned	VVD	warn
Europe	NP	Europe
warned	VVD	warn
Europe	NP	Europe
in	IN	in
the	DT	the
1980s	NNS	1980s
do	VVP	do
not	RB	not
become	VV	become
dependent	JJ	dependent
on	IN	on
Russian	JJ	Russian
oil	NN	oil
and	CC	and
natural	JJ	natural
gas	NN	gas
good	JJ	good
talking	VVG	talk
to	TO	to
you	PP	you
you	PP	you
'	POS	'
ve	NN	ve
given	VVN	give
us	PP	us
much	JJ	much
to	TO	to
think	VV	think
about	IN	about
former	JJ	former
US	NP	US
National	NP	National
Security	NP	Security
advisor	NN	advisor
uh	UH	uh
Ambassador	NP	Ambassador
