<video_id>CT7U_yKsmH8</video_id>	NP	<video_id>CT7U_yKsmH8</video_id>
continue	VV	continue
those	DT	those
negotiations	NNS	negotiation
uh	UH	uh
to	TO	to
uh	UH	uh
send	VV	send
mediators	NNS	mediator
also	RB	also
uh	UH	uh
to	TO	to
Q	NP	Q
those	DT	those
talks	NNS	talk
had	VHD	have
broken	VVN	break
down	RP	down
a	DT	a
couple	NN	couple
of	IN	of
weeks	NNS	week
ago	RB	ago
and	CC	and
now	RB	now
it	PP	it
seems	VVZ	seem
there	EX	there
is	VBZ	be
a	DT	a
new	JJ	new
framework	NN	framework
now	RB	now
the	DT	the
details	NNS	detail
are	VBP	be
of	IN	of
course	VV	course
uh	UH	uh
not	RB	not
known	VVN	know
but	CC	but
there's	RB	there's
talk	VV	talk
about	IN	about
a	DT	a
phased	VVN	phase
release	NN	release
of	IN	of
hostages	NNS	hostage
up	RB	up
to	TO	to
40	CD	@card@
in	IN	in
a	DT	a
first	JJ	first
phase	NN	phase
in	IN	in
exchange	NN	exchange
for	IN	for
Palestinian	JJ	Palestinian
uh	UH	uh
prisoners	NNS	prisoner
uh	UH	uh
but	CC	but
again	RB	again
you	PP	you
know	VVP	know
the	DT	the
the	DT	the
starting	VVG	start
points	NNS	point
are	VBP	be
from	IN	from
what	WP	what
we	PP	we
are	VBP	be
hearing	VVG	hear
Hamas	NNS	Hamas
has	VHZ	have
uh	UH	uh
asked	VVN	ask
for	IN	for
a	DT	a
complete	JJ	complete
hold	NN	hold
or	CC	or
cessation	NN	cessation
of	IN	of
hostilities	NNS	hostility
and	CC	and
end	NN	end
to	TO	to
the	DT	the
war	NN	war
and	CC	and
complete	VV	complete
withdrawal	NN	withdrawal
uh	UH	uh
of	IN	of
Israeli	JJ	Israeli
uh	UH	uh
forces	VVZ	force
this	DT	this
had	VHD	have
been	VBN	be
rejected	VVN	reject
uh	UH	uh
by	IN	by
Israel	NP	Israel
but	CC	but
we	PP	we
heard	VVD	hear
also	RB	also
the	DT	the
Israeli	JJ	Israeli
national	JJ	national
uh	UH	uh
security	NN	security
adviser	NN	adviser
tan	JJ	tan
neby	NN	neby
talking	VVG	talk
on	IN	on
Saturday	NP	Saturday
night	NN	night
that	IN/that	that
he	PP	he
says	VVZ	say
there's	RB	there's
room	NN	room
for	IN	for
maneuvering	NN	maneuvering
for	IN	for
moving	VVG	move
forward	RB	forward
so	IN	so
it's	NNS	it's
still	RB	still
to	TO	to
see	VV	see
whether	IN	whether
this	DT	this
framework	NN	framework
will	MD	will
work	VV	work
out	RP	out
this	DT	this
time	NN	time
DW	NN	DW
is	VBZ	be
Tanya	NP	Tanya
ker	NN	ker
in	IN	in
Jerusalem	NP	Jerusalem
many	JJ	many
thanks	NNS	thanks
for	IN	for
that	DT	that
</doc>	NN	</doc>
