<video_id>kA5CFjEbbuI</video_id>	JJ	<video_id>kA5CFjEbbuI</video_id>
could	MD	could
allow	VV	allow
additional	JJ	additional
Aid	NN	aid
to	TO	to
be	VB	be
brought	VVN	bring
in	IN	in
in	IN	in
but	CC	but
they	PP	they
contined	VVD	contined
to	TO	to
press	VV	press
Israel	NP	Israel
to	TO	to
allow	VV	allow
more	JJR	more
deliveries	NNS	delivery
by	IN	by
Road	NP	Road
these	DT	these
are	VBP	be
the	DT	the
latest	JJS	late
pictures	NNS	picture
from	IN	from
lanica	NN	lanica
in	IN	in
Cyprus	NP	Cyprus
as	IN	as
you	PP	you
can	MD	can
see	VV	see
Aid	NN	aid
is	VBZ	be
being	VBG	be
loaded	VVN	load
onto	IN	onto
a	DT	a
ship	NN	ship
which	WDT	which
is	VBZ	be
due	JJ	due
to	TO	to
depart	VV	depart
in	IN	in
a	DT	a
couple	NN	couple
of	IN	of
hours	NNS	hour
the	DT	the
European	JJ	European
Union's	NP	Union's
ambassador	NN	ambassador
to	TO	to
the	DT	the
US	NP	US
told	VVD	tell
the	DT	the
BBC	NP	BBC
a	DT	a
little	RB	little
more	JJR	more
about	IN	about
the	DT	the
plans	NNS	plan
for	IN	for
the	DT	the
maritime	JJ	maritime
Corridor	NP	Corridor
hopefully	RB	hopefully
the	DT	the
p	NN	p
uh	UH	uh
the	DT	the
pilot	NN	pilot
the	DT	the
first	JJ	first
try	NN	try
to	TO	to
to	TO	to
to	TO	to
get	VV	get
Aid	NP	Aid
already	RB	already
happened	VVD	happen
over	IN	over
the	DT	the
weekend	NN	weekend
but	CC	but
uh	UH	uh
it	PP	it
it	PP	it
takes	VVZ	take
some	DT	some
time	NN	time
to	TO	to
make	VV	make
sure	RB	sure
that	DT	that
uh	UH	uh
it's	NN	it's
not	RB	not
only	RB	only
once	RB	once
in	IN	in
a	DT	a
once	RB	once
in	IN	in
a	DT	a
time	NN	time
but	CC	but
it's	NNS	it's
a	DT	a
sustainable	JJ	sustainable
way	NN	way
to	TO	to
provide	VV	provide
aid	NN	aid
for	IN	for
the	DT	the
for	IN	for
the	DT	the
people	NNS	people
in	IN	in
in	IN	in
Gaza	NP	Gaza
and	CC	and
Palestine	NP	Palestine
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
we	PP	we
alleviate	VVP	alleviate
ease	VV	ease
the	DT	the
situation	NN	situation
in	IN	in
in	IN	in
the	DT	the
region	NN	region
Cyprus	NP	Cyprus
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
have	VHP	have
been	VBN	be
a	DT	a
a	DT	a
part	NN	part
on	IN	on
on	IN	on
the	DT	the
way	NN	way
uh	UH	uh
to	TO	to
uh	UH	uh
to	TO	to
to	TO	to
the	DT	the
region	NN	region
so	RB	so
hopefully	RB	hopefully
this	DT	this
could	MD	could
really	RB	really
help	VV	help
because	IN	because
five	CD	five
of	IN	of
the	DT	the
EU	NP	EU
member	NN	member
states	NNS	state
is	VBZ	be
is	VBZ	be
on	IN	on
board	NN	board
and	CC	and
uh	UH	uh
and	CC	and
we	PP	we
see	VVP	see
it	PP	it
as	IN	as
the	DT	the
possibility	NN	possibility
to	TO	to
to	TO	to
increase	VV	increase
fre	NN	fre
the	DT	the
aid	NN	aid
and	CC	and
to	TO	to
have	VH	have
a	DT	a
possibility	NN	possibility
to	TO	to
provide	VV	provide
it	PP	it
as	RB	as
soon	RB	soon
as	IN	as
possible	JJ	possible
here's	NP	here's
Pentagon	NP	Pentagon
spokesperson	NN	spokesperson
Patrick	NP	Patrick
Ryder	NP	Ryder
importantly	RB	importantly
there	EX	there
will	MD	will
be	VB	be
no	DT	no
US	NP	US
forces	NNS	force
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
finally	RB	finally
in	IN	in
terms	NNS	term
of	IN	of
timing	NN	timing
we're	NN	we're
working	VVG	work
to	TO	to
set	VV	set
this	DT	this
up	RB	up
as	RB	as
quickly	RB	quickly
as	IN	as
possible	JJ	possible
but	CC	but
we	PP	we
expect	VVP	expect
that	IN/that	that
it	PP	it
will	MD	will
take	VV	take
several	JJ	several
weeks	NNS	week
to	TO	to
plan	VV	plan
and	CC	and
execute	VV	execute
once	RB	once
operational	JJ	operational
the	DT	the
actual	JJ	actual
amount	NN	amount
of	IN	of
Aid	NN	aid
delivered	VVN	deliver
will	MD	will
depend	VV	depend
on	IN	on
many	JJ	many
variables	NNS	variable
and	CC	and
will	MD	will
likely	RB	likely
scale	VV	scale
Over	IN	over
time	NN	time
however	RB	however
we	PP	we
expect	VVP	expect
that	IN/that	that
deliveries	NNS	delivery
via	IN	via
jots	NNS	jot
could	MD	could
provide	VV	provide
more	JJR	more
than	IN	than
2	CD	@card@
million	CD	million
meals	NNS	meal
to	TO	to
the	DT	the
citizens	NNS	citizen
of	IN	of
Gaza	NP	Gaza
per	IN	per
day	NN	day
for	IN	for
the	DT	the
latest	JJS	late
on	IN	on
the	DT	the
maritime	JJ	maritime
Aid	NN	aid
corridors	NNS	corridor
I	PP	I
spoke	VVD	speak
to	TO	to
our	PP$	our
Middle	NP	Middle
East	NP	East
correspondent	NN	correspondent
W	NP	W
Davis	NP	Davis
in	IN	in
Jerusalem	NP	Jerusalem
of	IN	of
course	NN	course
there	EX	there
are	VBP	be
several	JJ	several
possible	JJ	possible
routes	NNS	route
to	TO	to
get	VV	get
Aid	NP	Aid
into	IN	into
Gaza	NP	Gaza
where	WRB	where
there	EX	there
is	VBZ	be
a	DT	a
huge	JJ	huge
humanitarian	JJ	humanitarian
crisis	NN	crisis
uh	UH	uh
children	NNS	child
dying	VVG	die
from	IN	from
malnutrition	NN	malnutrition
a	DT	a
real	JJ	real
risk	NN	risk
of	IN	of
famine	NN	famine
according	VVG	accord
to	TO	to
the	DT	the
UN	NP	UN
300,000	CD	@card@
people	NNS	people
particularly	RB	particularly
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
without	IN	without
any	DT	any
real	JJ	real
adequate	JJ	adequate
food	NN	food
or	CC	or
Aid	NN	aid
some	DT	some
trucks	NNS	truck
are	VBP	be
getting	VVG	get
in	IN	in
clearly	RB	clearly
not	RB	not
enough	NN	enough
so	IN	so
uh	UH	uh
the	DT	the
U	NP	U
EU	NP	EU
uh	UH	uh
the	DT	the
UAE	NNS	UAE
and	CC	and
other	JJ	other
organizations	NNS	organization
have	VHP	have
come	VVN	come
up	RP	up
with	IN	with
this	DT	this
plan	NN	plan
for	IN	for
a	DT	a
sort	NN	sort
of	IN	of
a	DT	a
maritime	JJ	maritime
Corridor	NP	Corridor
and	CC	and
this	DT	this
would	MD	would
entail	VV	entail
a	DT	a
ship	NN	ship
leaving	VVG	leave
Cyprus	NP	Cyprus
today	NN	today
car	NN	car
towing	VVG	tow
a	DT	a
barge	NN	barge
and	CC	and
on	IN	on
that	DT	that
barge	NN	barge
would	MD	would
be	VB	be
around	IN	around
we	PP	we
understand	VVP	understand
200	CD	@card@
tons	NNS	ton
of	IN	of
Aid	NN	aid
problem	NN	problem
is	VBZ	be
that	IN/that	that
when	WRB	when
it	PP	it
gets	VVZ	get
to	TO	to
Gaza	NP	Gaza
there's	NP	there's
no	DT	no
port	NN	port
in	IN	in
Gaza	NP	Gaza
there's	NPS	there's
a	DT	a
war	NN	war
going	VVG	go
on	IN	on
there's	RB	there's
no	DT	no
obvious	JJ	obvious
way	NN	way
to	TO	to
safely	RB	safely
uh	UH	uh
remove	VV	remove
and	CC	and
then	RB	then
distribute	VV	distribute
all	DT	all
of	IN	of
that	DT	that
Aid	NN	aid
and	CC	and
it's	NNS	it's
a	DT	a
real	JJ	real
logistical	JJ	logistical
nightmare	NN	nightmare
we've	NN	we've
been	VBN	be
asking	VVG	ask
questions	NNS	question
but	CC	but
haven't	NN	haven't
really	RB	really
had	VHD	have
any	DT	any
satisfactory	JJ	satisfactory
answers	NNS	answer
this	DT	this
is	VBZ	be
a	DT	a
test	NN	test
run	VV	run
this	DT	this
weekend	NN	weekend
if	IN	if
it	PP	it
works	VVZ	work
and	CC	and
it's	NNS	it's
a	DT	a
big	JJ	big
if	IN	if
I	PP	I
think	VVP	think
then	RB	then
that	IN/that	that
will	MD	will
become	VV	become
a	DT	a
regular	JJ	regular
route	NN	route
for	IN	for
aid	NN	aid
from	IN	from
Cyprus	NP	Cyprus
towards	IN	towards
Gaza	NP	Gaza
of	IN	of
course	NN	course
we	PP	we
then	RB	then
got	VVD	get
the	DT	the
separate	JJ	separate
Joe	NP	Joe
Biden	NP	Biden
plan	NN	plan
to	TO	to
build	VV	build
a	DT	a
temporary	JJ	temporary
Port	NP	Port
facility	NN	facility
off	IN	off
the	DT	the
coast	NN	coast
of	IN	of
Gaza	NP	Gaza
uh	UH	uh
that	WDT	that
would	MD	would
be	VB	be
built	VVN	build
by	IN	by
American	NP	American
Army	NP	Army
Engineers	NPS	Engineers
but	CC	but
critically	RB	critically
no	DT	no
American	JJ	American
boots	NNS	boot
on	IN	on
the	DT	the
uh	UH	uh
military	NN	military
boots	NNS	boot
on	IN	on
the	DT	the
ground	NN	ground
but	CC	but
that's	JJ	that's
two	CD	two
months	NNS	month
away	RB	away
at	IN	at
the	DT	the
very	RB	very
least	JJS	least
all	PDT	all
the	DT	the
while	IN	while
the	DT	the
aid	NN	aid
agencies	NNS	agency
is	VBZ	be
saying	VVG	say
look	VV	look
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
get	VV	get
Aid	NP	Aid
into	IN	into
Gaza	NP	Gaza
is	VBZ	be
through	IN	through
Israel	NP	Israel
uh	UH	uh
let's	NNS	let's
try	VV	try
and	CC	and
persuade	VV	persuade
the	DT	the
Israelis	NPS	Israelis
and	CC	and
I	PP	I
know	VVP	know
Lord	NP	Lord
Cameron	NP	Cameron
the	DT	the
UK	NP	UK
foreign	JJ	foreign
secretary	NN	secretary
has	VHZ	have
been	VBN	be
talking	VVG	talk
to	TO	to
the	DT	the
Israelis	NPS	Israelis
about	IN	about
opening	VVG	open
up	RP	up
the	DT	the
port	NN	port
of	IN	of
ashod	NN	ashod
that	WDT	that
is	VBZ	be
just	RB	just
to	TO	to
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
it's	NNS	it's
a	DT	a
huge	JJ	huge
container	NN	container
Port	NP	Port
it's	NP	it's
only	RB	only
half	PDT	half
an	DT	an
hour	NN	hour
40	CD	@card@
minutes	NNS	minute
away	RB	away
from	IN	from
the	DT	the
eres	NNS	eres
Crossing	VVG	cross
into	IN	into
Gaza	NP	Gaza
and	CC	and
that	WDT	that
would	MD	would
be	VB	be
uh	UH	uh
the	DT	the
aid	NN	aid
agencies	NNS	agency
in	IN	in
particular	JJ	particular
say	VVP	say
a	DT	a
much	RB	much
more	RBR	more
practical	JJ	practical
way	NN	way
of	IN	of
getting	VVG	get
badly	RB	badly
needed	VVN	need
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
meanwhile	RB	meanwhile
while	IN	while
that's	NNS	that's
not	RB	not
happen	VVP	happen
happening	VVG	happen
while	IN	while
there's	RB	there's
a	DT	a
disagreement	NN	disagreement
between	IN	between
the	DT	the
Israelis	NPS	Israelis
and	CC	and
various	JJ	various
agencies	NNS	agency
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
ceasefire	NN	ceasefire
this	DT	this
Maritime	NP	Maritime
Corridor	NP	Corridor
is	VBZ	be
the	DT	the
favored	JJ	favored
method	NN	method
of	IN	of
hopefully	RB	hopefully
getting	VVG	get
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
although	IN	although
it	PP	it
probably	RB	probably
won't	NN	won't
be	VB	be
enough	JJ	enough
and	CC	and
what	WP	what
the	DT	the
are	VBP	be
the	DT	the
Israelis	NPS	Israelis
saying	VVG	say
about	IN	about
um	VVG	um
their	PP$	their
military	JJ	military
campaign	NN	campaign
and	CC	and
the	DT	the
latest	JJS	late
from	IN	from
there	RB	there
it's	NNS	it's
interesting	JJ	interesting
you	PP	you
know	VVP	know
this	DT	this
ceasefire	NN	ceasefire
that	IN/that	that
everybody	NN	everybody
had	VHD	have
hoped	VVN	hope
would	MD	would
be	VB	be
in	IN	in
place	NN	place
this	DT	this
weekend	NN	weekend
simply	RB	simply
hasn't	NN	hasn't
happened	VVD	happen
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
reiterated	VVD	reiterate
his	PP$	his
priority	JJ	priority
uh	UH	uh
a	DT	a
couple	NN	couple
of	IN	of
days	NNS	day
ago	RB	ago
at	IN	at
a	DT	a
military	JJ	military
graduation	NN	graduation
ceremony	NN	ceremony
he	PP	he
said	VVD	say
that	IN/that	that
Israel	NP	Israel
will	MD	will
continue	VV	continue
its	PP$	its
military	JJ	military
operation	NN	operation
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
not	RB	not
to	TO	to
do	VV	do
that	WDT	that
would	MD	would
be	VB	be
to	TO	to
admit	VV	admit
defeat	NN	defeat
despite	IN	despite
the	DT	the
international	JJ	international
pressure	NN	pressure
Mr	NP	Mr
Netanyahu	NP	Netanyahu
acknowledged	VVD	acknowledge
the	DT	the
level	NN	level
of	IN	of
pressure	NN	pressure
he's	NNS	he's
coming	VVG	come
under	IN	under
to	TO	to
to	TO	to
agree	VV	agree
to	TO	to
to	TO	to
a	DT	a
cease	VVP	cease
fire	NN	fire
to	TO	to
allow	VV	allow
more	JJR	more
Aid	NN	aid
in	IN	in
but	CC	but
I	PP	I
think	VVP	think
reading	NN	reading
between	IN	between
the	DT	the
lines	NNS	line
for	IN	for
for	IN	for
Mr	NP	Mr
Netanyahu	NP	Netanyahu
his	PP$	his
priority	NN	priority
is	VBZ	be
this	DT	this
as	IN	as
he	PP	he
would	MD	would
see	VV	see
it	PP	it
this	DT	this
unfinished	JJ	unfinished
military	JJ	military
business	NN	business
in	IN	in
Gaza	NP	Gaza
and	CC	and
what	WP	what
more	RBR	more
of	IN	of
any	DT	any
hopes	NNS	hope
of	IN	of
ceasefire	NN	ceasefire
talks	NNS	talk
with	IN	with
Ramadan	NP	Ramadan
approaching	VVG	approach
now	RB	now
just	RB	just
hours	NNS	hour
away	RB	away
yeah	RB	yeah
that	IN/that	that
that's	NNS	that's
a	DT	a
really	RB	really
good	JJ	good
question	NN	question
I	PP	I
think	VVP	think
they	PP	they
haven't	NN	haven't
given	VVN	give
up	RP	up
on	IN	on
that	DT	that
Hamas	NNS	Hamas
have	VHP	have
left	VVN	leave
Cairo	NN	Cairo
now	RB	now
but	CC	but
the	DT	the
Qatari	JJ	Qatari
and	CC	and
Egyptian	JJ	Egyptian
mediators	NNS	mediator
are	VBP	be
ready	JJ	ready
to	TO	to
to	TO	to
talk	VV	talk
to	TO	to
Hamas	NP	Hamas
and	CC	and
the	DT	the
Israelis	NPS	Israelis
indirectly	RB	indirectly
hopefully	RB	hopefully
get	VV	get
them	PP	them
back	RB	back
around	IN	around
the	DT	the
table	NN	table
and	CC	and
agree	VV	agree
to	TO	to
a	DT	a
a	DT	a
40-day	JJ	40-day
Seas	NNS	sea
fire	NN	fire
that's	NN	that's
the	DT	the
this	DT	this
Paris	NP	Paris
framework	NN	framework
uh	UH	uh
if	IN	if
that	DT	that
doesn't	NN	doesn't
happen	VV	happen
the	DT	the
war	NN	war
continues	VVZ	continue
if	IN	if
it	PP	it
happens	VVZ	happen
and	CC	and
there	EX	there
are	VBP	be
significant	JJ	significant
obstacles	NNS	obstacle
to	TO	to
allowing	VVG	allow
it	PP	it
to	TO	to
happen	VV	happen
but	CC	but
if	IN	if
it	PP	it
happens	VVZ	happen
then	RB	then
of	IN	of
course	NN	course
one	CD	one
of	IN	of
the	DT	the
big	JJ	big
beneficiaries	NNS	beneficiary
would	MD	would
be	VB	be
more	JJR	more
Aid	NN	aid
officially	RB	officially
to	TO	to
a	DT	a
to	TO	to
get	VV	get
into	IN	into
Gaza	NP	Gaza
uh	UH	uh
through	IN	through
roads	NNS	road
through	IN	through
Israel	NP	Israel
which	WDT	which
is	VBZ	be
a	DT	a
much	RB	much
more	RBR	more
effective	JJ	effective
and	CC	and
efficient	JJ	efficient
way	NN	way
of	IN	of
getting	VVG	get
Aid	NN	aid
to	TO	to
the	DT	the
people	NNS	people
who	WP	who
need	VVP	need
it	PP	it
</doc>	JJ	</doc>
