<video_id>YT9s4HAKPD4</video_id>	NP	<video_id>YT9s4HAKPD4</video_id>
move	NN	move
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
why	WRB	why
this	DT	this
action	NN	action
was	VBD	be
taken	VVN	take
we	PP	we
have	VHP	have
to	TO	to
resist	VV	resist
it	PP	it
and	CC	and
we	PP	we
have	VHP	have
to	TO	to
win	VV	win
above	IN	above
all	DT	all
we	PP	we
have	VHP	have
to	TO	to
win	VV	win
we	PP	we
have	VHP	have
to	TO	to
release	VV	release
the	DT	the
hostages	NNS	hostage
you	PP	you
have	VHP	have
Nationals	NNS	national
understand	VVP	understand
that	IN/that	that
I	PP	I
know	VVP	know
you	PP	you
do	VVP	do
that	IN/that	that
we	PP	we
have	VHP	have
their	PP$	their
children	NNS	child
babies	NNS	baby
women	NNS	woman
uh	UH	uh
elderly	JJ	elderly
Holocaust	NN	holocaust
Survivors	NNS	survivor
and	CC	and
your	PP$	your
Nationals	NNS	national
and	CC	and
we	PP	we
have	VHP	have
to	TO	to
work	VV	work
together	RB	together
in	IN	in
every	DT	every
way	NN	way
possible	JJ	possible
and	CC	and
we're	JJ	we're
doing	VVG	do
that	IN/that	that
to	TO	to
get	VV	get
them	PP	them
back	VV	back
I	PP	I
appreciate	VV	appreciate
the	DT	the
fact	NN	fact
that	IN/that	that
you	PP	you
also	RB	also
sent	VVD	send
some	DT	some
military	JJ	military
forces	NNS	force
into	IN	into
the	DT	the
region	NN	region
we	PP	we
discussed	VVD	discuss
practical	JJ	practical
cooperation	NN	cooperation
on	IN	on
many	JJ	many
fronts	NNS	front
and	CC	and
I	PP	I
value	VVP	value
that	IN/that	that
very	RB	very
much	RB	much
80	CD	@card@
years	NNS	year
ago	RB	ago
80	CD	@card@
years	NNS	year
ago	RB	ago
prime	JJ	prime
minister	NN	minister
the	DT	the
Civilized	JJ	civilized
World	NN	world
stood	VVD	stand
with	IN	with
you	PP	you
in	IN	in
your	PP$	your
darkest	JJS	dark
hour	NN	hour
this	DT	this
is	VBZ	be
our	PP$	our
darkest	JJS	dark
hour	NN	hour
it's	NNS	it's
the	DT	the
world's	JJ	world's
darkest	JJS	dark
hour	NN	hour
we	PP	we
need	VVP	need
to	TO	to
stand	VV	stand
together	RB	together
and	CC	and
we	PP	we
want	VVP	want
to	TO	to
win	VV	win
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
I	PP	I
support	VVP	support
I	PP	I
value	VVP	value
your	PP$	your
support	NN	support
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
you're	NNS	you're
here	RB	here
we	PP	we
must	MD	must
win	VV	win
together	RB	together
that	WDT	that
means	VVZ	mean
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
long	JJ	long
war	NN	war
and	CC	and
we'll	NN	we'll
need	VVP	need
your	PP$	your
continous	JJ	continous
support	NN	support
continuous	JJ	continuous
support	NN	support
there'll	RB	there'll
be	VB	be
ups	NNS	up
and	CC	and
downs	NNS	down
there'll	RB	there'll
be	VB	be
difficulties	NNS	difficulty
the	DT	the
people	NNS	people
here	RB	here
are	VBP	be
united	VVN	unite
they're	NN	they're
prepared	VVN	prepare
to	TO	to
take	VV	take
the	DT	the
necessary	JJ	necessary
action	NN	action
I've	NN	I've
never	RB	never
seen	VVN	see
the	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
as	IN	as
United	NP	United
more	RBR	more
united	VVN	unite
than	IN	than
they	PP	they
are	VBP	be
now	RB	now
but	CC	but
we	PP	we
need	VVP	need
that	IN/that	that
Unity	NP	Unity
across	IN	across
the	DT	the
board	NN	board
and	CC	and
continuous	JJ	continuous
support	NN	support
as	IN	as
we	PP	we
prosecute	VVP	prosecute
and	CC	and
win	VVP	win
this	DT	this
just	JJ	just
war	NN	war
against	IN	against
the	DT	the
modern	JJ	modern
barbarians	NNS	barbarian
the	DT	the
worst	JJS	bad
monsters	NNS	monster
on	IN	on
the	DT	the
planet	NN	planet
thank	VV	thank
you	PP	you
Richie	NP	Richie
for	IN	for
coming	VVG	come
here	RB	here
well	RB	well
prime	JJ	prime
minister	NN	minister
thank	VV	thank
you	PP	you
for	IN	for
your	PP$	your
warm	JJ	warm
words	NNS	word
and	CC	and
for	IN	for
welcoming	VVG	welcome
me	PP	me
to	TO	to
Israel	NP	Israel
I'm	NP	I'm
just	RB	just
sorry	JJ	sorry
to	TO	to
be	VB	be
here	RB	here
in	IN	in
such	JJ	such
terrible	JJ	terrible
circumstances	NNS	circumstance
in	IN	in
the	DT	the
last	JJ	last
two	CD	two
weeks	NNS	week
this	DT	this
country	NN	country
has	VHZ	have
gone	VVN	go
through	IN	through
something	NN	something
that	IN/that	that
no	DT	no
country	NN	country
no	DT	no
people	NNS	people
should	MD	should
have	VH	have
to	TO	to
endure	VV	endure
least	JJS	least
of	IN	of
all	DT	all
Israel	NP	Israel
which	WDT	which
has	VHZ	have
lived	VVN	live
through	IN	through
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
awful	JJ	awful
scenes	NNS	scene
the	DT	the
Spectre	NN	spectre
of	IN	of
violence	NN	violence
and	CC	and
terrorism	NN	terrorism
every	DT	every
day	NN	day
of	IN	of
its	PP$	its
existence	NN	existence
and	CC	and
I	PP	I
want	VVP	want
to	TO	to
share	VV	share
the	DT	the
Deep	JJ	deep
condolences	NNS	condolence
of	IN	of
the	DT	the
British	JJ	British
people	NNS	people
and	CC	and
stress	VVP	stress
that	IN/that	that
we	PP	we
absolutely	RB	absolutely
support	VVP	support
Israel's	NP	Israel's
right	NN	right
to	TO	to
defend	VV	defend
itself	PP	itself
in	IN	in
line	NN	line
with	IN	with
international	JJ	international
law	NN	law
to	TO	to
go	VV	go
after	IN	after
Hamas	NN	Hamas
to	TO	to
take	VV	take
back	JJ	back
hostages	NNS	hostage
deter	VVP	deter
further	JJR	further
in	IN	in
incursions	NNS	incursion
and	CC	and
to	TO	to
strengthen	VV	strengthen
your	PP$	your
security	NN	security
for	IN	for
the	DT	the
long	JJ	long
term	NN	term
now	RB	now
I	PP	I
know	VVP	know
that	IN/that	that
you	PP	you
are	VBP	be
taking	VVG	take
every	DT	every
precaution	NN	precaution
to	TO	to
avoid	VV	avoid
harming	VVG	harm
civilians	NNS	civilian
in	IN	in
direct	JJ	direct
contrast	NN	contrast
to	TO	to
the	DT	the
terrorists	NNS	terrorist
of	IN	of
Hamas	NNS	Hamas
which	WDT	which
seek	VVP	seek
to	TO	to
put	VV	put
civilians	NNS	civilian
In	IN	in
Harm's	NP	Harm's
Way	NP	Way
but	CC	but
I	PP	I
also	RB	also
want	VVP	want
to	TO	to
thank	VV	thank
you	PP	you
for	IN	for
the	DT	the
support	NN	support
that	IN/that	that
your	PP$	your
government	NN	government
has	VHZ	have
given	VVN	give
to	TO	to
the	DT	the
families	NNS	family
of	IN	of
British	JJ	British
Nationals	NNS	national
caught	VVN	catch
up	RP	up
in	IN	in
this	DT	this
horror	NN	horror
including	VVG	include
your	PP$	your
efforts	NNS	effort
to	TO	to
release	VV	release
the	DT	the
hostages	NNS	hostage
SEC	NP	SEC
cure	VV	cure
their	PP$	their
release	NN	release
and	CC	and
I	PP	I
know	VVP	know
that	IN/that	that
we	PP	we
will	MD	will
continue	VV	continue
to	TO	to
cooperate	VV	cooperate
particularly	RB	particularly
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
British	JJ	British
Nationals	NNS	national
that	WDT	that
are	VBP	be
involved	VVN	involve
can	MD	can
I	PP	I
also	RB	also
say	VVP	say
that	IN/that	that
we	PP	we
have	VHP	have
seen	VVN	see
the	DT	the
scenes	NNS	scene
over	IN	over
the	DT	the
past	JJ	past
day	NN	day
that	WDT	that
have	VHP	have
shocked	VVN	shock
all	RB	all
of	IN	of
us	PP	us
particularly	RB	particularly
at	IN	at
the	DT	the
hospital	NN	hospital
and	CC	and
we	PP	we
mourn	VVP	mourn
the	DT	the
loss	NN	loss
of	IN	of
every	DT	every
innocent	JJ	innocent
life	NN	life
civilians	NNS	civilian
of	IN	of
every	DT	every
Faith	NP	Faith
every	DT	every
nationality	NN	nationality
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
we	PP	we
also	RB	also
recognize	VVP	recognize
that	IN/that	that
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
are	VBP	be
victims	NNS	victim
of	IN	of
Hamas	NNS	Hamas
too	RB	too
and	CC	and
that	DT	that
is	VBZ	be
why	WRB	why
I	PP	I
welcome	VVP	welcome
your	PP$	your
decision	NN	decision
yesterday	NN	yesterday
that	IN/that	that
you	PP	you
took	VVD	take
to	TO	to
ensure	VV	ensure
that	DT	that
Roots	NP	Roots
into	IN	into
Gaza	NP	Gaza
will	MD	will
be	VB	be
opened	VVN	open
for	IN	for
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
enter	VV	enter
I'm	NP	I'm
glad	JJ	glad
that	IN/that	that
you	PP	you
made	VVD	make
that	DT	that
decision	NN	decision
we	PP	we
will	MD	will
support	VV	support
it	PP	it
we're	NN	we're
increasing	VVG	increase
our	PP$	our
Aid	NN	aid
to	TO	to
the	DT	the
region	NN	region
and	CC	and
we	PP	we
will	MD	will
look	VV	look
to	TO	to
get	VV	get
more	JJR	more
support	NN	support
to	TO	to
people	NNS	people
as	RB	as
quickly	RB	quickly
as	IN	as
we	PP	we
can	MD	can
uh	UH	uh
the	DT	the
last	JJ	last
thing	NN	thing
for	IN	for
me	PP	me
to	TO	to
close	VV	close
on	IN	on
is	VBZ	be
this	DT	this
you	PP	you
describe	VVP	describe
this	DT	this
as	IN	as
Israel's	JJ	Israel's
Darkest	JJS	dark
Hour	NN	hour
well	RB	well
then	RB	then
it's	JJ	it's
for	IN	for
me	PP	me
to	TO	to
say	VV	say
I'm	NP	I'm
proud	JJ	proud
to	TO	to
stand	VV	stand
here	RB	here
with	IN	with
you	PP	you
in	IN	in
Israel's	JJ	Israel's
Darkest	JJS	dark
Hour	NN	hour
as	IN	as
your	PP$	your
friend	NN	friend
we	PP	we
will	MD	will
stand	VV	stand
with	IN	with
you	PP	you
in	IN	in
solidarity	NN	solidarity
we	PP	we
will	MD	will
stand	VV	stand
with	IN	with
you	PP	you
people	NNS	people
and	CC	and
we	PP	we
also	RB	also
want	VVP	want
you	PP	you
to	TO	to
win	VV	win
thank	VV	thank
you	PP	you
thank	VV	thank
you	PP	you
thank	VV	thank
you	PP	you
very	JJ	very
you	PP	you
the	DT	the
bushes	VVZ	bush
prime	JJ	prime
minister	NN	minister
there	RB	there
Richi	NP	Richi
sunak	NN	sunak
standing	NN	standing
alongside	IN	alongside
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
saying	VVG	say
this	DT	this
is	VBZ	be
Benjamin	NP	Benjamin
netan	NN	netan
who	WP	who
said	VVD	say
this	DT	this
isn't	NN	isn't
just	RB	just
our	PP$	our
battle	NN	battle
this	DT	this
is	VBZ	be
a	DT	a
battle	NN	battle
of	IN	of
uh	UH	uh
the	DT	the
Western	JJ	Western
civil	JJ	civil
ization	NN	ization
it	PP	it
is	VBZ	be
a	DT	a
battle	NN	battle
he	PP	he
said	VVD	say
for	IN	for
the	DT	the
Free	NP	Free
World	NP	World
he	PP	he
said	VVD	say
it's	NNS	it's
a	DT	a
battle	NN	battle
that	IN/that	that
we	PP	we
have	VHP	have
to	TO	to
resist	VV	resist
we	PP	we
have	VHP	have
to	TO	to
win	VV	win
and	CC	and
we	PP	we
have	VHP	have
to	TO	to
release	VV	release
the	DT	the
hostages	NNS	hostage
he	PP	he
said	VVD	say
80	CD	@card@
years	NNS	year
ago	RB	ago
the	DT	the
Civilized	JJ	civilized
World	NN	world
stood	VVD	stand
with	IN	with
the	DT	the
UK	NP	UK
talking	VVG	talk
to	TO	to
Rishi	NP	Rishi
suak	NN	suak
there	RB	there
Rishi	NP	Rishi
sunak	NP	sunak
said	VVD	say
in	IN	in
the	DT	the
past	JJ	past
two	CD	two
weeks	NNS	week
this	DT	this
country	NN	country
and	CC	and
its	PP$	its
people	NNS	people
has	VHZ	have
gone	VVN	go
through	IN	through
something	NN	something
no	DT	no
country	NN	country
should	MD	should
endure	VV	endure
he	PP	he
said	VVD	say
we	PP	we
support	VV	support
Israel's	NP	Israel's
right	NN	right
to	TO	to
defend	VV	defend
itself	PP	itself
under	IN	under
international	JJ	international
law	NN	law
he	PP	he
said	VVD	say
I	PP	I
know	VVP	know
you're	NN	you're
taking	VVG	take
every	DT	every
precaution	NN	precaution
to	TO	to
protect	VV	protect
civilians	NNS	civilian
he	PP	he
also	RB	also
said	VVD	say
Rishi	NP	Rishi
sunak	NP	sunak
said	VVD	say
we	PP	we
recognize	VVP	recognize
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
are	VBP	be
victims	NNS	victim
of	IN	of
Hamas	NNS	Hamas
as	IN	as
well	RB	well
and	CC	and
we	PP	we
welcome	VVP	welcome
Israel's	NP	Israel's
decision	NN	decision
decision	NN	decision
to	TO	to
allow	VV	allow
humanitarian	JJ	humanitarian
Aid	NN	aid
in	IN	in
and	CC	and
he	PP	he
finished	VVD	finish
by	IN	by
saying	VVG	say
that	IN/that	that
we	PP	we
are	VBP	be
proud	JJ	proud
to	TO	to
stand	VV	stand
with	IN	with
you	PP	you
in	IN	in
your	PP$	your
darkest	JJS	dark
hour	NN	hour
we	PP	we
want	VVP	want
you	PP	you
to	TO	to
win	VV	win
</doc>	NN	</doc>
