<video_id>KFDtYFt7TCo</video_id>	JJ	<video_id>KFDtYFt7TCo</video_id>
first	JJ	first
oliran	NN	oliran
is	VBZ	be
in	IN	in
Baghdad	NP	Baghdad
for	IN	for
us	PP	us
tonight	RB	tonight
and	CC	and
Alla	NP	Alla
you	PP	you
try	VVP	try
to	TO	to
get	VV	get
close	NN	close
to	TO	to
the	DT	the
scene	NN	scene
of	IN	of
this	DT	this
attack	NN	attack
this	DT	this
evening	NN	evening
what	WP	what
happened	VVD	happen
well	RB	well
this	DT	this
was	VBD	be
an	DT	an
attack	NN	attack
at	IN	at
9:30	CD	@card@
in	IN	in
the	DT	the
evening	NN	evening
Sophie	NP	Sophie
there	RB	there
were	VBD	be
three	CD	three
audible	JJ	audible
explosions	NNS	explosion
we	PP	we
could	MD	could
hear	VV	hear
them	PP	them
at	IN	at
our	PP$	our
hotel	NN	hotel
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
time	NN	time
when	WRB	when
people	NNS	people
are	VBP	be
out	RB	out
on	IN	on
the	DT	the
streets	NNS	street
in	IN	in
Baghdad	NP	Baghdad
when	WRB	when
cafes	NNS	cafe
and	CC	and
restaurants	NNS	restaurant
are	VBP	be
open	RB	open
now	RB	now
we	PP	we
got	VVD	get
to	TO	to
the	DT	the
scene	NN	scene
pretty	RB	pretty
quickly	RB	quickly
there	EX	there
was	VBD	be
a	DT	a
security	NN	security
presence	NN	presence
already	RB	already
there	RB	there
of	IN	of
Iraqi	JJ	Iraqi
police	NNS	police
and	CC	and
we	PP	we
tried	VVD	try
to	TO	to
approach	VV	approach
the	DT	the
burnt	JJ	burnt
out	IN	out
wreck	NN	wreck
to	TO	to
speak	VV	speak
to	TO	to
people	NNS	people
and	CC	and
ask	VV	ask
them	PP	them
about	IN	about
what	WP	what
they	PP	they
had	VHD	have
seen	VVN	see
and	CC	and
heard	VVN	hear
and	CC	and
we	PP	we
were	VBD	be
very	RB	very
very	RB	very
quickly	RB	quickly
surrounded	VVN	surround
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
anger	NN	anger
a	DT	a
lot	NN	lot
of	IN	of
hostility	NN	hostility
in	IN	in
the	DT	the
crowd	VV	crowd
uh	UH	uh
people	NNS	people
telling	VVG	tell
us	PP	us
we	PP	we
were	VBD	be
not	RB	not
welcome	JJ	welcome
because	IN	because
foreigners	NNS	foreigner
were	VBD	be
responsible	JJ	responsible
for	IN	for
what	WP	what
had	VHD	have
happened	VVN	happen
for	IN	for
the	DT	the
attack	NN	attack
on	IN	on
the	DT	the
Iraqi	JJ	Iraqi
commander	NN	commander
and	CC	and
therefore	RB	therefore
we	PP	we
as	IN	as
foreigners	NNS	foreigner
were	VBD	be
not	RB	not
welcome	JJ	welcome
at	IN	at
the	DT	the
location	NN	location
now	RB	now
we	PP	we
were	VBD	be
not	RB	not
harmed	VVN	harm
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
pull	VV	pull
back	RB	back
to	TO	to
an	DT	an
area	NN	area
where	WRB	where
even	RB	even
more	JJR	more
security	NN	security
forces	NNS	force
were	VBD	be
arriving	VVG	arrive
and	CC	and
members	NNS	member
of	IN	of
Iraqi	JJ	Iraqi
SWAT	NN	swat
teams	NNS	team
and	CC	and
then	RB	then
a	DT	a
crane	NN	crane
came	VVD	come
in	IN	in
to	TO	to
take	VV	take
away	RP	away
the	DT	the
wreckage	NN	wreckage
of	IN	of
the	DT	the
car	NN	car
and	CC	and
the	DT	the
crowd	NN	crowd
actually	RB	actually
started	VVD	start
following	VVG	follow
now	RB	now
there	EX	there
have	VHP	have
been	VBN	be
calls	NNS	call
tonight	NN	tonight
from	IN	from
uh	UH	uh
Shia	NP	Shia
paramilitary	JJ	paramilitary
leaders	NNS	leader
pro-iranian	JJ	pro-iranian
militia	NN	militia
leaders	NNS	leader
for	IN	for
their	PP$	their
supporters	NNS	supporter
to	TO	to
come	VV	come
out	RP	out
on	IN	on
the	DT	the
streets	NNS	street
to	TO	to
show	VV	show
their	PP$	their
anger	NN	anger
there	EX	there
have	VHP	have
been	VBN	be
calls	NNS	call
also	RB	also
for	IN	for
retaliation	NN	retaliation
specifically	RB	specifically
one	CD	one
militia	NN	militia
leader	NN	leader
saying	VVG	say
We	PP	we
Want	NP	Want
Blood	NP	Blood
for	IN	for
Blood	NP	Blood
now	RB	now
us	PP	us
Central	NP	Central
Command	NP	Command
has	VHZ	have
said	VVN	say
this	DT	this
was	VBD	be
a	DT	a
necessary	JJ	necessary
strike	NN	strike
to	TO	to
protect	VV	protect
American	JJ	American
lives	NNS	life
and	CC	and
that	IN/that	that
they	PP	they
would	MD	would
not	RB	not
hesitate	VV	hesitate
to	TO	to
take	VV	take
further	JJR	further
measures	NNS	measure
in	IN	in
the	DT	the
future	NN	future
but	CC	but
we've	NN	we've
already	RB	already
we've	NN	we've
already	RB	already
had	VHD	have
one	CD	one
very	JJ	very
angry	JJ	angry
response	NN	response
from	IN	from
the	DT	the
Iraqi	JJ	Iraqi
military	NN	military
saying	VVG	say
this	DT	this
is	VBZ	be
a	DT	a
threat	NN	threat
to	TO	to
sovereignty	NN	sovereignty
and	CC	and
to	TO	to
Safety	NP	Safety
and	CC	and
Security	NP	Security
in	IN	in
the	DT	the
country	NN	country
and	CC	and
it's	NNS	it's
hard	JJ	hard
to	TO	to
see	VV	see
how	WRB	how
it	PP	it
can	MD	can
do	VV	do
other	JJ	other
than	IN	than
increase	NN	increase
the	DT	the
level	NN	level
of	IN	of
tension	NN	tension
here	RB	here
Allan	NP	Allan
with	IN	with
the	DT	the
very	RB	very
latest	JJS	late
there	RB	there
from	IN	from
Baghdad	NP	Baghdad
thank	VVP	thank
you	PP	you
well	RB	well
let's	NNS	let's
go	VVP	go
to	TO	to
our	PP$	our
International	NP	International
editor	NN	editor
Jeremy	NP	Jeremy
Bowen	NP	Bowen
who	WP	who
is	VBZ	be
in	IN	in
Jerusalem	NP	Jerusalem
Jeremy	NP	Jeremy
just	RB	just
put	VVD	put
in	IN	in
context	NN	context
how	WRB	how
significant	JJ	significant
this	DT	this
escalation	NN	escalation
is	VBZ	be
tonight	RB	tonight
well	RB	well
it's	NNS	it's
clearly	RB	clearly
a	DT	a
serious	JJ	serious
escalation	NN	escalation
though	IN	though
the	DT	the
Americans	NPS	Americans
are	VBP	be
saying	VVG	say
this	DT	this
is	VBZ	be
really	RB	really
about	IN	about
stability	NN	stability
in	IN	in
sending	VVG	send
a	DT	a
message	NN	message
to	TO	to
Teran	NP	Teran
it	PP	it
all	RB	all
depends	VVZ	depend
what	WP	what
happens	VVZ	happen
when	WRB	when
the	DT	the
inevitable	JJ	inevitable
retaliation	NN	retaliation
occurs	VVZ	occur
and	CC	and
whether	IN	whether
they	PP	they
do	VVP	do
get	VV	get
as	IN	as
all	DT	all
is	VBZ	be
said	VVN	say
Blood	NP	Blood
for	IN	for
Blood	NP	Blood
and	CC	and
whether	IN	whether
that	DT	that
blood	NN	blood
is	VBZ	be
American	JJ	American
because	IN	because
that	WDT	that
will	MD	will
then	RB	then
uh	UH	uh
prompt	VV	prompt
another	DT	another
American	JJ	American
response	NN	response
without	IN	without
doubt	NN	doubt
now	RB	now
the	DT	the
whole	JJ	whole
region	NN	region
is	VBZ	be
a	DT	a
flame	NN	flame
and	CC	and
here	RB	here
in	IN	in
Jerusalem	NP	Jerusalem
The	NP	The
American	NP	American
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
has	VHZ	have
been	VBN	be
meeting	VVG	meet
uh	UH	uh
Palestinian	JJ	Palestinian
president	NN	president
mahmmed	NN	mahmmed
abas	NNS	aba
and	CC	and
also	RB	also
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
uh	UH	uh
Mr	NP	Mr
Netanyahu	NP	Netanyahu
and	CC	and
he's	NNS	he's
been	VBN	be
trying	VVG	try
to	TO	to
pull	VV	pull
off	RP	off
Mr	NP	Mr
blink	VV	blink
a	DT	a
diplomatic	JJ	diplomatic
miracle	NN	miracle
if	IN	if
you	PP	you
like	VVP	like
to	TO	to
close	VV	close
the	DT	the
gap	NN	gap
between	IN	between
Israel's	NP	Israel's
position	NN	position
on	IN	on
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
position	NN	position
held	VVN	hold
by	IN	by
Hamas	NNS	Hamas
now	RB	now
as	RB	as
well	RB	well
as	IN	as
that	DT	that
there's	NP	there's
concern	NN	concern
about	IN	about
what's	NNS	what's
happening	VVG	happen
north	RB	north
of	IN	of
here	RB	here
on	IN	on
the	DT	the
border	NN	border
with	IN	with
Lebanon	NP	Lebanon
where	WRB	where
there	EX	there
has	VHZ	have
been	VBN	be
an	DT	an
increasingly	RB	increasingly
intense	JJ	intense
war	NN	war
going	VVG	go
on	IN	on
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
and	CC	and
Israel	NP	Israel
says	VVZ	say
that	IN/that	that
if	IN	if
hisbah	NN	hisbah
the	DT	the
pro	JJ	pro
Iranian	JJ	Iranian
group	NN	group
in	IN	in
Lebanon	NP	Lebanon
doesn't	NP	doesn't
pull	VVP	pull
back	RB	back
from	IN	from
the	DT	the
border	NN	border
then	RB	then
it	PP	it
will	MD	will
take	VV	take
even	RB	even
more	JJR	more
action	NN	action
and	CC	and
I've	NN	I've
been	VBN	be
up	RB	up
right	JJ	right
up	RB	up
to	TO	to
that	DT	that
Frontier	NP	Frontier
Israel's	NP	Israel's
border	NN	border
with	IN	with
Lebanon	NP	Lebanon
feels	VVZ	feel
isolated	JJ	isolated
and	CC	and
empty	JJ	empty
in	IN	in
Matula	NP	Matula
Israel's	NP	Israel's
most	RBS	most
Northerly	JJ	northerly
Community	NP	Community
the	DT	the
only	JJ	only
residents	NNS	resident
left	VVN	leave
are	VBP	be
mobilized	VVN	mobilize
Army	NP	Army
reservists	NNS	reservist
here	RB	here
they're	RB	they're
surrounded	VVN	surround
on	IN	on
three	CD	three
sides	NNS	side
by	IN	by
hisbah	NP	hisbah
Iran	NP	Iran
powerful	JJ	powerful
Ally	NP	Ally
in	IN	in
Lebanon	NP	Lebanon
one	CD	one
of	IN	of
the	DT	the
men	NNS	man
who	WP	who
didn't	VVD	didn't
want	VVP	want
his	PP$	his
face	NN	face
shown	VVN	show
pointed	VVD	point
to	TO	to
his	PP$	his
brother's	NN	brother's
positions	NNS	position
mile	NN	mile
and	CC	and
then	RB	then
to	TO	to
the	DT	the
north	NN	north
is	VBZ	be
half	PDT	half
a	DT	a
mile	NN	mile
the	DT	the
border	NN	border
with	IN	with
leanon	NN	leanon
and	CC	and
then	RB	then
in	IN	in
the	DT	the
east	JJ	east
of	IN	of
us	PP	us
it	PP	it
is	VBZ	be
half	PDT	half
a	DT	a
mile	NN	mile
definitely	RB	definitely
can	MD	can
can	MD	can
turn	VV	turn
into	IN	into
a	DT	a
big	JJ	big
war	NN	war
and	CC	and
a	DT	a
big	JJ	big
war	NN	war
with	IN	with
hisbah	NN	hisbah
it's	NNS	it's
not	RB	not
like	IN	like
Hamas	VVG	Hamas
the	DT	the
real	JJ	real
army	NN	army
very	RB	very
trained	VVN	train
greatly	RB	greatly
equipped	JJ	equipped
great	JJ	great
intelligence	NN	intelligence
and	CC	and
they	PP	they
have	VHP	have
a	DT	a
lot	NN	lot
of	IN	of
experience	NN	experience
real	JJ	real
experience	NN	experience
in	IN	in
Syria	NP	Syria
Israel	NP	Israel
released	VVD	release
video	NN	video
of	IN	of
their	PP$	their
attacks	NNS	attack
and	CC	and
what	WP	what
they	PP	they
said	VVD	say
were	VBD	be
hisb	NN	hisb
positions	NNS	position
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
civilians	NNS	civilian
on	IN	on
either	DT	either
side	NN	side
of	IN	of
the	DT	the
Border	NP	Border
have	VHP	have
been	VBN	be
evacuated	VVN	evacuate
the	DT	the
war	NN	war
there	RB	there
is	VBZ	be
intensifying	VVG	intensify
yeah	RB	yeah
more	RBR	more
urgent	JJ	urgent
for	IN	for
Anthony	NP	Anthony
blinkin	NP	blinkin
is	VBZ	be
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
but	CC	but
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
doubled	VVD	double
down	RP	down
calling	VVG	call
for	IN	for
total	JJ	total
Victory	NP	Victory
and	CC	and
dismissing	VVG	dismiss
the	DT	the
h	NN	h
Mass	NP	Mass
response	NN	response
to	TO	to
the	DT	the
US	NP	US
ceasefire	NN	ceasefire
proposal	NN	proposal
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
still	RB	still
believes	VVZ	believe
a	DT	a
deal	NN	deal
is	VBZ	be
possible	JJ	possible
and	CC	and
at	IN	at
the	DT	the
agq	NP	agq
of	IN	of
the	DT	the
rivals	NNS	rival
of	IN	of
Hamas	VVG	Hamas
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
he	PP	he
repeated	VVD	repeat
to	TO	to
president	NN	president
Mahmud	NP	Mahmud
Abbas	NP	Abbas
that	IN/that	that
America	NP	America
wants	VVZ	want
a	DT	a
Palestinian	JJ	Palestinian
state	NN	state
which	WDT	which
Israel's	NP	Israel's
leader	NN	leader
opposes	VVZ	oppose
and	CC	and
reminded	VVD	remind
Israelis	NNS	Israeli
later	RBR	later
that	IN/that	that
their	PP$	their
suffering	NN	suffering
was	VBD	be
no	DT	no
justification	NN	justification
for	IN	for
killing	VVG	kill
Palestinian	JJ	Palestinian
civilians	NNS	civilian
that	WDT	that
cannot	MD	can
be	VB	be
a	DT	a
license	NN	license
to	TO	to
dehumanize	VV	dehumanize
others	NNS	other
the	DT	the
overwhelming	JJ	overwhelming
majority	NN	majority
of	IN	of
people	NNS	people
in	IN	in
Gaza	NP	Gaza
had	VHD	have
nothing	NN	nothing
to	TO	to
do	VV	do
with	IN	with
the	DT	the
attacks	NNS	attack
of	IN	of
October	NP	October
7th	JJ	7th
and	CC	and
the	DT	the
families	NNS	family
in	IN	in
Gaza	NP	Gaza
whose	WP$	whose
survival	NN	survival
depends	VVZ	depend
on	IN	on
deliveries	NNS	delivery
of	IN	of
aid	NN	aid
from	IN	from
Israel	NP	Israel
are	VBP	be
just	RB	just
like	IN	like
our	PP$	our
families	NNS	family
their	PP$	their
mothers	NNS	mother
and	CC	and
fathers	VVZ	father
Sons	NPS	Sons
and	CC	and
Daughters	NNS	daughter
Gaza	NP	Gaza
is	VBZ	be
the	DT	the
key	NN	key
to	TO	to
stabilizing	VVG	stabilize
the	DT	the
Middle	NP	Middle
East	NP	East
this	DT	this
is	VBZ	be
the	DT	the
occupied	JJ	occupied
Goan	NP	Goan
Heights	NP	Heights
another	DT	another
potential	JJ	potential
flash	NN	flash
point	NN	point
where	WRB	where
the	DT	the
borders	NNS	border
of	IN	of
Israel	NP	Israel
Lebanon	NP	Lebanon
and	CC	and
Syria	NP	Syria
meet	VVP	meet
over	RP	over
on	IN	on
the	DT	the
Syrian	JJ	Syrian
side	NN	side
you	PP	you
can	MD	can
see	VV	see
ruins	NNS	ruin
from	IN	from
previous	JJ	previous
Wars	NP	Wars
Anthony	NP	Anthony
blinkin	NN	blinkin
warns	VVZ	warn
this	DT	this
is	VBZ	be
the	DT	the
most	RBS	most
dangerous	JJ	dangerous
moment	NN	moment
for	IN	for
the	DT	the
Middle	NP	Middle
East	NP	East
since	IN	since
1973	CD	@card@
without	IN	without
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
the	DT	the
risks	NNS	risk
that	IN/that	that
a	DT	a
wider	JJR	wide
war	NN	war
will	MD	will
intensify	VV	intensify
remain	VV	remain
very	RB	very
real	JJ	real
Israel	NP	Israel
has	VHZ	have
heavily	RB	heavily
reinforced	VVN	reinforce
its	PP$	its
northern	JJ	northern
Borderlands	NNS	borderland
this	DT	this
is	VBZ	be
a	DT	a
former	JJ	former
Syrian	JJ	Syrian
base	NN	base
occupied	VVN	occupy
by	IN	by
the	DT	the
Israelis	NPS	Israelis
since	IN	since
1967	CD	@card@
inside	IN	inside
the	DT	the
ruin	NN	ruin
the	DT	the
head	NN	head
of	IN	of
the	DT	the
Regional	NP	Regional
Council	NP	Council
a	DT	a
retired	VVN	retire
Colonel	NP	Colonel
Was	VBD	be
preparing	VVG	prepare
for	IN	for
the	DT	the
worst	JJS	bad
if	IN	if
we	PP	we
go	VVP	go
from	IN	from
here	RB	here
to	TO	to
where	WRB	where
we	PP	we
going	VVG	go
to	TO	to
hia	NNS	hia
then	RB	then
they	PP	they
they	PP	they
bomb	VVP	bomb
Us	PP	us
in	IN	in
hia	NNS	hia
then	RB	then
we	PP	we
go	VVP	go
to	TO	to
T	NN	T
Aviv	NP	Aviv
then	RB	then
Bas	NPS	Bas
in	IN	in
in	IN	in
t	NN	t
AV	NP	AV
people	NNS	people
prefer	VVP	prefer
to	TO	to
move	VV	move
by	IN	by
night	NN	night
on	IN	on
the	DT	the
most	RBS	most
exposed	JJ	exposed
roads	NNS	road
in	IN	in
Northern	NP	Northern
Israel	NP	Israel
in	IN	in
places	NNS	place
shielded	VVN	shield
by	IN	by
blast	NN	blast
prooof	JJ	prooof
concrete	JJ	concrete
walls	NNS	wall
don't	NN	don't
think	VVP	think
of	IN	of
this	DT	this
war	NN	war
on	IN	on
the	DT	the
Lebanese	JJ	Lebanese
border	NN	border
as	IN	as
a	DT	a
side	NN	side
sh	NN	sh
to	TO	to
Gaza	NP	Gaza
it	PP	it
could	MD	could
become	VV	become
even	RB	even
worse	JJR	bad
this	DT	this
is	VBZ	be
the	DT	the
most	RBS	most
dangerous	JJ	dangerous
the	DT	the
most	RBS	most
unstable	JJ	unstable
Frontier	NP	Frontier
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
at	IN	at
the	DT	the
moment	NN	moment
what	WP	what
started	VVD	start
as	IN	as
a	DT	a
low-level	JJ	low-level
War	NN	war
back	RB	back
in	IN	in
October	NP	October
has	VHZ	have
been	VBN	be
intensifying	VVG	intensify
but	CC	but
all	DT	all
sides	NNS	side
know	VVP	know
how	WRB	how
much	JJ	much
worse	JJR	bad
it	PP	it
could	MD	could
get	VV	get
not	RB	not
just	RB	just
causing	VVG	cause
great	JJ	great
destruction	NN	destruction
in	IN	in
Israel	NP	Israel
and	CC	and
in	IN	in
Lebanon	NP	Lebanon
but	CC	but
it's	NP	it's
also	RB	also
got	VVD	get
the	DT	the
capacity	NN	capacity
to	TO	to
ignite	VV	ignite
the	DT	the
region	NN	region
the	DT	the
fate	NN	fate
of	IN	of
the	DT	the
whole	JJ	whole
Middle	NP	Middle
East	NP	East
not	RB	not
just	RB	just
Israel's	JJ	Israel's
empty	JJ	empty
evacuated	VVN	evacuate
Northern	JJ	northern
towns	NNS	town
depends	VVZ	depend
on	IN	on
breaking	VVG	break
through	IN	through
the	DT	the
shock	NN	shock
and	CC	and
hatred	NN	hatred
of	IN	of
War	NP	War
so	RB	so
far	RB	far
the	DT	the
diplomats	NNS	diplomat
are	VBP	be
fighting	VVG	fight
a	DT	a
losing	VVG	lose
battle	NN	battle
Jeremy	NP	Jeremy
bow	NN	bow
BBC	NP	BBC
news	NN	news
in	IN	in
Israel	NP	Israel
</doc>	NP	</doc>
