<video_id>rJoQUFaQGMQ</video_id>	JJ	<video_id>rJoQUFaQGMQ</video_id>
we've	NP	we've
got	VVD	get
uh	UH	uh
Joe	NP	Joe
Biden	NP	Biden
arriving	VVG	arrive
tomorrow	NN	tomorrow
and	CC	and
the	DT	the
Americans	NPS	Americans
have	VHP	have
been	VBN	be
urging	VVG	urge
uh	UH	uh
Israel	NP	Israel
to	TO	to
limit	VV	limit
the	DT	the
number	NN	number
of	IN	of
Civilian	JJ	civilian
casualties	NNS	casualty
and	CC	and
if	IN	if
Joe	NP	Joe
Biden	NP	Biden
arrives	VVZ	arrive
here	RB	here
tomorrow	NN	tomorrow
morning	NN	morning
and	CC	and
we're	JJ	we're
getting	VVG	get
confirmation	NN	confirmation
that	IN/that	that
we've	NN	we've
got	VVD	get
people	NNS	people
having	VHG	have
been	VBN	be
killed	VVN	kill
in	IN	in
their	PP$	their
hundreds	NNS	hundred
in	IN	in
a	DT	a
hospital	NN	hospital
uh	UH	uh
in	IN	in
in	IN	in
an	DT	an
apparent	JJ	apparent
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
then	RB	then
um	JJ	um
that	IN/that	that
presumably	RB	presumably
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
go	VV	go
down	RP	down
very	RB	very
well	RB	well
yeah	RB	yeah
and	CC	and
give	VV	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
I	PP	I
mean	VVP	mean
how	WRB	how
many	JJ	many
people	NNS	people
may	MD	may
possibly	RB	possibly
have	VH	have
been	VBN	be
there	RB	there
I	PP	I
know	VVP	know
it's	NNS	it's
impossible	JJ	impossible
for	IN	for
you	PP	you
to	TO	to
say	VV	say
exactly	RB	exactly
but	CC	but
given	VVN	give
that	IN/that	that
so	RB	so
many	JJ	many
people	NNS	people
have	VHP	have
been	VBN	be
displaced	VVN	displace
and	CC	and
they	PP	they
have	VHP	have
been	VBN	be
moving	VVG	move
to	TO	to
places	NNS	place
of	IN	of
what	WP	what
they	PP	they
think	VVP	think
is	VBZ	be
safety	NN	safety
like	IN	like
hospitals	NNS	hospital
like	IN	like
schools	NNS	school
yeah	RB	yeah
I	PP	I
mean	VVP	mean
look	VV	look
we	PP	we
know	VV	know
that	IN/that	that
about	RB	about
600,000	CD	@card@
people	NNS	people
have	VHP	have
uh	UH	uh
moved	VVD	move
South	JJ	South
after	IN	after
that	DT	that
warning	NN	warning
from	IN	from
Israel	NP	Israel
to	TO	to
evacuate	VV	evacuate
their	PP$	their
homes	NNS	home
uh	UH	uh
last	JJ	last
week	NN	week
but	CC	but
there	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
people	NNS	people
who	WP	who
can't	VVD	can't
move	NN	move
or	CC	or
didn't	NN	didn't
want	VVP	want
to	TO	to
move	VV	move
you	PP	you
know	VV	know
the	DT	the
injured	VVN	injure
the	DT	the
vulnerable	JJ	vulnerable
uh	UH	uh
people	NNS	people
in	IN	in
hospital	NN	hospital
they	PP	they
can't	VVD	can't
move	NN	move
so	IN	so
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
have	VHP	have
been	VBN	be
uh	UH	uh
just	RB	just
heading	VVG	head
to	TO	to
anywhere	RB	anywhere
they	PP	they
think	VVP	think
is	VBZ	be
uh	UH	uh
relatively	RB	relatively
safe	JJ	safe
though	IN	though
that	DT	that
that	WDT	that
could	MD	could
be	VB	be
schools	NNS	school
it	PP	it
could	MD	could
be	VB	be
un	JJ	un
facilities	NNS	facility
it	PP	it
could	MD	could
be	VB	be
hospitals	NNS	hospital
we	PP	we
know	VVP	know
that	DT	that
we've	NN	we've
also	RB	also
heard	VVD	hear
this	DT	this
evening	VVG	even
uh	UH	uh
that	IN/that	that
a	DT	a
un	NN	un
school	NN	school
has	VHZ	have
been	VBN	be
hit	VVN	hit
in	IN	in
the	DT	the
center	NN	center
of	IN	of
Gaza	NP	Gaza
City	NP	City
six	CD	six
people	NNS	people
killed	VVN	kill
there	RB	there
including	VVG	include
some	DT	some
un	JJ	un
staff	NN	staff
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
body	NN	body
there	RB	there
in	IN	in
Gaza	NP	Gaza
calling	VVG	call
that	DT	that
uh	UH	uh
strike	NN	strike
outrageous	JJ	outrageous
we've	NN	we've
got	VVD	get
people	NNS	people
just	RB	just
packed	VVN	pack
into	IN	into
anywhere	RB	anywhere
they	PP	they
think	VVP	think
might	MD	might
be	VB	be
safe	JJ	safe
apparently	RB	apparently
in	IN	in
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
near	IN	near
Rafa	NP	Rafa
you've	NN	you've
got	VVD	get
8,000	CD	@card@
PE	NN	pe
people	NNS	people
packed	VVN	pack
into	IN	into
a	DT	a
warehouse	NN	warehouse
with	IN	with
very	RB	very
very	RB	very
limited	VVN	limit
facilities	NNS	facility
so	IN	so
people	NNS	people
are	VBP	be
going	VVG	go
anywhere	RB	anywhere
that	IN/that	that
they	PP	they
think	VVP	think
was	VBD	be
safe	JJ	safe
but	CC	but
a	DT	a
hospital	NN	hospital
not	RB	not
even	RB	even
a	DT	a
hospital	NN	hospital
is	VBZ	be
a	DT	a
safe	JJ	safe
place	NN	place
yeah	RB	yeah
John	NP	John
Hamas	NN	Hamas
of	IN	of
uh	UH	uh
released	VVD	release
a	DT	a
statement	NN	statement
calling	VVG	call
the	DT	the
attack	NN	attack
on	IN	on
the	DT	the
hospital	NN	hospital
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
a	DT	a
war	NN	war
crime	NN	crime
it	PP	it
said	VVD	say
the	DT	the
hospital	NN	hospital
was	VBD	be
housing	NN	housing
hundreds	NNS	hundred
of	IN	of
sick	JJ	sick
and	CC	and
wounded	JJ	wounded
and	CC	and
P	NN	P
people	NNS	people
forcibly	RB	forcibly
displaced	VVN	displace
from	IN	from
their	PP$	their
homes	NNS	home
as	IN	as
a	DT	a
result	NN	result
of	IN	of
other	JJ	other
strikes	NNS	strike
the	DT	the
statement	NN	statement
says	VVZ	say
hundreds	NNS	hundred
of	IN	of
victims	NNS	victim
are	VBP	be
still	RB	still
under	IN	under
the	DT	the
rubble	NN	rubble
um	NNS	um
obviously	RB	obviously
we	PP	we
just	RB	just
have	VHP	have
their	PP$	their
words	NNS	word
at	IN	at
the	DT	the
moment	NN	moment
we	PP	we
are	VBP	be
waiting	VVG	wait
for	IN	for
any	DT	any
kind	NN	kind
of	IN	of
response	NN	response
from	IN	from
Israel	NP	Israel
who	WP	who
have	VHP	have
just	RB	just
said	VVN	say
that	IN/that	that
they	PP	they
will	MD	will
look	VV	look
into	IN	into
it	PP	it
</doc>	JJ	</doc>
