<video_id>_YWxrsqc8JA</video_id>	NP	<video_id>_YWxrsqc8JA</video_id>
uh	UH	uh
and	CC	and
I	PP	I
think	VVP	think
there's	RB	there's
been	VBN	be
a	DT	a
a	DT	a
lot	NN	lot
of	IN	of
pressure	VV	pressure
uh	UH	uh
in	IN	in
recent	JJ	recent
days	NNS	day
from	IN	from
Western	JJ	Western
countries	NNS	country
warning	VVG	warn
Iran	NP	Iran
against	IN	against
escalating	VVG	escalate
uh	UH	uh
the	DT	the
situation	NN	situation
here	RB	here
and	CC	and
uh	UH	uh
and	CC	and
the	DT	the
Iranian	JJ	Iranian
foreign	JJ	foreign
minister	NN	minister
has	VHZ	have
been	VBN	be
visiting	VVG	visit
some	DT	some
countries	NNS	country
in	IN	in
the	DT	the
region	NN	region
he	PP	he
was	VBD	be
here	RB	here
in	IN	in
Lebanon	NP	Lebanon
uh	UH	uh
where	WRB	where
he	PP	he
met	VVD	meet
the	DT	the
leader	NN	leader
of	IN	of
Hezbollah	NP	Hezbollah
uh	UH	uh
Hassan	NP	Hassan
nzala	NP	nzala
and	CC	and
uh	UH	uh
he	PP	he
also	RB	also
reacted	VVD	react
to	TO	to
those	DT	those
comments	NNS	comment
being	VBG	be
made	VVN	make
by	IN	by
Western	JJ	Western
leaders	NNS	leader
saying	VVG	say
that	IN/that	that
well	RB	well
if	IN	if
the	DT	the
United	NP	United
States	NPS	States
wants	VVZ	want
to	TO	to
prevent	VV	prevent
an	DT	an
escalation	NN	escalation
of	IN	of
the	DT	the
conflict	NN	conflict
it	PP	it
should	MD	should
tell	VV	tell
Israel	NP	Israel
to	TO	to
stop	VV	stop
uh	UH	uh
the	DT	the
aggression	NN	aggression
in	IN	in
his	PP$	his
words	NNS	word
against	IN	against
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
so	RB	so
again	RB	again
it	PP	it
shows	VVZ	show
how	WRB	how
volatile	JJ	volatile
the	DT	the
situation	NN	situation
is	VBZ	be
and	CC	and
I	PP	I
think	VVP	think
there	EX	there
are	VBP	be
fears	NNS	fear
that	IN/that	that
Lebanon	NP	Lebanon
could	MD	could
uh	UH	uh
you	PP	you
know	VVP	know
be	VB	be
dragged	VVN	drag
into	IN	into
this	DT	this
conflict	NN	conflict
okay	JJ	okay
Hugo	NP	Hugo
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
dating	VVG	date
us	PP	us
there	RB	there
from	IN	from
Southern	NP	Southern
Lebanon	NP	Lebanon
</doc>	NN	</doc>
